SUA_CODE_2016,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_0_4,P_Hong_Kong_5_14,P_Hong_Kong_15_24,P_Hong_Kong_25_44,P_Hong_Kong_45_54,P_Hong_Kong_55_64,P_Hong_Kong_65_74,P_Hong_Kong_75_84,P_Hong_Kong_85ov,P_Hong_Kong_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_Nthern_Ireland_0_4,P_Nthern_Ireland_5_14,P_Nthern_Ireland_15_24,P_Nthern_Ireland_25_44,P_Nthern_Ireland_45_54,P_Nthern_Ireland_55_64,P_Nthern_Ireland_65_74,P_Nthern_Ireland_75_84,P_Nthern_Ireland_85ov,P_Nthern_Ireland_Tot,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot
2010,58,643,750,2198,4150,7466,13133,13491,3464,45353,254,853,3132,8319,2723,3475,1421,501,106,20776,3216,9058,16889,99734,12993,8913,5385,2345,848,159374,180,624,3914,8517,1500,982,742,299,108,16863,171,1494,1717,8883,1688,969,511,183,49,15671,167,1404,2295,7535,3270,1703,786,356,96,17621,109,642,416,5912,1688,1445,1359,942,447,12949,79,407,813,4180,4490,10369,17291,17439,7375,62443,137,631,976,3925,1184,450,336,105,68,7812,146,917,2577,7818,1597,626,236,85,16,14011,92,305,771,5159,3949,3092,1917,782,219,16281,581,2389,8579,18256,6031,6385,3648,1224,315,47403,4,38,126,622,1077,3729,5681,3122,816,15217,17,285,791,4000,1778,2041,1350,690,295,11260,53,730,1842,4678,1206,628,303,199,73,9722,48,322,1960,6007,271,156,54,15,3,8842,46,294,260,1394,981,2024,3627,2265,1078,11971,1358,7917,10503,30932,11601,8224,3739,1349,465,76090,10,83,115,949,709,746,900,530,186,4233,622,2034,3201,11687,1283,650,305,64,18,19867
2011,0,0,0,6,18,27,36,21,3,119,3,0,0,11,3,7,4,0,0,25,19,90,86,949,90,85,44,11,11,1381,0,3,7,39,15,10,0,3,0,80,0,3,3,9,12,4,4,0,0,37,0,0,0,26,3,4,3,0,0,40,0,6,5,24,17,22,43,12,4,129,0,0,4,14,33,90,82,41,10,274,0,0,0,8,0,0,3,0,0,18,0,6,3,23,13,3,3,0,0,51,0,0,7,26,18,16,14,0,0,75,9,15,4,48,24,23,11,3,0,131,4,13,21,63,79,211,252,83,10,736,0,0,0,28,13,6,5,0,0,59,0,17,40,67,20,13,0,3,0,153,0,5,16,12,0,4,0,0,0,40,0,0,0,18,6,32,59,18,7,140,67,282,285,534,205,128,69,10,5,1585,0,0,0,9,9,19,17,4,4,65,3,15,10,92,20,12,3,0,0,154
2012,0,0,0,0,8,14,48,54,10,138,0,0,6,25,5,10,3,0,0,47,4,20,21,232,29,23,9,4,0,348,4,0,0,11,0,6,0,0,0,21,0,5,4,17,3,0,0,0,0,33,0,8,5,23,11,0,0,0,0,47,0,0,0,13,4,3,6,0,4,31,0,3,3,19,31,87,184,194,77,604,0,0,7,16,0,3,0,0,0,30,3,4,17,40,0,0,0,0,0,56,0,0,0,0,3,0,0,0,0,3,4,4,47,134,8,4,3,0,0,215,0,0,0,0,0,4,5,0,0,6,0,0,0,8,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,5,12,0,0,0,0,0,22,0,0,3,7,7,17,38,17,3,90,4,28,62,129,87,58,41,14,0,425,0,3,0,3,3,3,4,0,0,16,0,17,11,12,3,0,0,0,0,43
2013,0,0,0,3,0,3,3,5,3,24,0,0,0,7,3,0,0,0,0,8,0,3,0,14,0,0,0,0,0,23,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,17,0,0,0,0,0,13,12,22,7,54,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,4,5,0,0,0,13,0,0,0,0,6,27,61,46,10,156,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,14,9,28,64,74,22,218,0,11,11,41,26,17,23,13,3,137,0,0,0,4,0,3,6,0,3,19,0,0,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,13,3,3,0,0,0,24,0,0,0,0,6,0,0,0,0,5,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,8,0,0,0,0,4,0,0,3,5,8,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,13,0,0,0,0,0,0,6,3,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,17,13,11,11,56,0,8,11,28,23,35,8,7,0,121,0,0,0,0,0,0,3,3,0,8,0,0,0,4,0,0,0,0,0,8
2015,0,0,0,0,0,3,3,0,0,9,0,0,3,8,0,0,0,0,0,13,3,9,0,109,3,8,4,3,0,133,0,0,0,3,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,11,0,5,3,3,0,24,0,3,0,3,0,3,16,17,0,47,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,10,0,3,5,25,5,14,4,0,0,61,0,0,0,0,0,0,5,3,0,11,0,0,0,3,0,3,0,0,0,11,0,0,0,3,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,4,0,0,0,8,4,10,29,21,8,84,3,7,19,39,31,23,17,8,0,143,0,0,0,0,0,3,3,4,0,14,3,4,0,11,3,0,0,0,0,23
2016,0,3,5,5,9,21,38,53,10,151,0,0,10,25,3,3,3,0,0,36,16,89,89,721,107,68,30,9,4,1128,0,0,0,17,0,0,0,3,0,28,5,36,29,36,3,0,0,0,0,114,3,23,86,225,87,24,9,0,0,462,0,10,0,17,10,11,6,5,0,64,0,0,0,16,33,97,205,184,90,624,0,0,3,10,5,0,0,0,0,14,0,0,3,20,0,0,0,0,0,25,0,0,5,4,3,3,0,0,0,10,3,3,24,117,20,19,4,0,0,194,0,0,0,0,0,6,8,0,0,12,0,0,3,3,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,7,0,0,3,13,0,3,0,0,0,25,0,0,0,3,3,25,54,25,18,135,18,81,77,153,90,52,46,12,3,538,0,0,0,6,0,10,14,3,0,34,4,60,36,107,13,8,0,0,0,231
2017,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,9,7,8,20,123,8,9,4,0,0,174,0,3,3,18,9,0,0,0,0,34,0,0,4,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,9,0,0,0,8,0,0,0,0,0,8,0,0,0,5,0,16,40,49,21,125,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,4,0,0,0,14,0,0,0,0,0,0,0,0,0,0,3,9,10,43,6,0,0,0,0,62,0,0,0,0,0,3,0,0,0,3,0,3,0,8,0,3,0,0,0,10,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,14,3,4,5,20,13,0,7,0,0,48,0,0,0,0,0,0,0,0,0,0,0,5,4,25,6,0,0,0,0,39
2018,0,0,0,0,6,9,15,27,7,70,0,3,0,7,0,5,0,0,0,21,3,29,13,159,19,9,11,8,0,250,0,0,0,11,0,4,7,7,0,28,0,0,0,7,0,0,0,0,0,7,4,3,0,3,0,0,0,0,0,5,0,3,0,14,14,18,13,13,6,78,0,0,0,6,32,98,145,158,74,516,0,0,0,13,6,0,0,0,0,22,0,3,3,12,0,4,0,0,0,24,0,0,0,0,3,0,0,0,0,3,0,3,11,27,13,12,3,0,0,65,0,0,0,8,0,28,74,27,14,158,0,0,0,6,0,3,0,0,0,16,0,0,0,13,0,0,0,0,0,14,0,0,3,13,3,0,0,0,0,22,0,0,5,7,14,51,130,74,37,312,3,16,29,122,63,77,47,10,0,366,0,0,0,3,6,15,26,7,4,61,0,0,0,12,0,0,0,0,0,17
2019,0,0,0,0,0,4,4,3,3,18,0,0,0,6,0,3,0,0,0,8,0,6,3,55,0,0,4,3,0,76,0,0,0,3,0,3,0,0,0,5,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,3,0,3,12,0,0,0,4,5,35,90,78,44,262,0,0,0,7,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,7,0,0,0,33,0,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,17,0,0,0,0,0,26,0,0,0,4,4,15,33,13,12,82,0,3,5,32,17,6,24,7,5,106,0,0,0,0,0,4,0,0,0,6,0,0,0,8,0,0,0,0,0,8
2020,0,0,0,0,3,6,8,8,0,26,0,0,4,5,3,3,0,0,0,20,4,4,6,88,16,5,16,0,0,143,0,0,5,3,3,0,3,0,0,10,0,0,0,6,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,14,3,10,4,15,3,60,0,0,0,0,9,16,36,38,7,110,0,3,3,12,0,0,0,0,0,13,0,0,0,5,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,10,7,4,3,0,0,33,0,0,0,0,3,3,5,3,0,11,0,0,0,7,13,3,4,0,0,33,0,0,0,3,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,3,0,0,0,8,14,57,119,61,19,289,3,12,52,111,84,51,42,9,7,371,0,0,0,7,11,12,14,9,3,49,0,0,0,10,0,0,0,0,0,12
2021,0,0,0,0,0,0,3,3,3,13,0,0,9,22,3,0,0,0,0,33,0,10,4,49,7,3,5,0,0,80,0,0,0,20,3,0,0,0,0,26,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,13,6,18,10,8,6,3,3,69,0,0,3,4,0,4,9,3,3,25,0,0,0,16,3,0,0,0,0,24,0,0,37,60,0,0,0,0,0,97,0,0,0,0,0,3,3,0,0,6,0,3,5,21,6,6,0,0,0,45,0,0,0,0,4,0,12,0,0,18,0,3,0,4,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,6,0,0,0,5,0,0,0,0,0,3,0,0,4,6,3,12,45,26,7,102,7,29,40,118,77,60,27,10,0,372,0,0,0,4,3,7,9,6,3,29,0,0,0,0,0,0,0,0,0,0
