SUA_CODE_2016,A75_84_L_PinE_NS_14,A75_84_L_PinE_NS_15,A75_84_L_PinE_NS_16,A75_84_L_PinE_NS_YNS,A75_84_L_PinE_NS_T,A75_84_T_B00,A75_84_T_00_05,A75_84_T_06_10,A75_84_T_11,A75_84_T_12,A75_84_T_13,A75_84_T_14,A75_84_T_15,A75_84_T_16,A75_84_T_YNS,A75_84_T_T,A85ov_SEO_B00,A85ov_SEO_00_05,A85ov_SEO_06_10,A85ov_SEO_11,A85ov_SEO_12,A85ov_SEO_13,A85ov_SEO_14,A85ov_SEO_15,A85ov_SEO_16,A85ov_SEO_YNS,A85ov_SEO_T,A85ov_SOLSE_VWW_B00,A85ov_SOLSE_VWW_00_05,A85ov_SOLSE_VWW_06_10,A85ov_SOLSE_VWW_11,A85ov_SOLSE_VWW_12,A85ov_SOLSE_VWW_13,A85ov_SOLSE_VWW_14,A85ov_SOLSE_VWW_15,A85ov_SOLSE_VWW_16,A85ov_SOLSE_VWW_YNS,A85ov_SOLSE_VWW_T,A85ov_SOLSE_NWNAA_B00,A85ov_SOLSE_NWNAA_00_05,A85ov_SOLSE_NWNAA_06_10,A85ov_SOLSE_NWNAA_11,A85ov_SOLSE_NWNAA_12,A85ov_SOLSE_NWNAA_13,A85ov_SOLSE_NWNAA_14,A85ov_SOLSE_NWNAA_15,A85ov_SOLSE_NWNAA_16,A85ov_SOLSE_NWNAA_YNS,A85ov_SOLSE_NWNAA_T,A85ov_SOLSE_PinE_NS_B00,A85ov_SOLSE_PinE_NS_00_05,A85ov_SOLSE_PinE_NS_06_10,A85ov_SOLSE_PinE_NS_11,A85ov_SOLSE_PinE_NS_12,A85ov_SOLSE_PinE_NS_13,A85ov_SOLSE_PinE_NS_14,A85ov_SOLSE_PinE_NS_15,A85ov_SOLSE_PinE_NS_16,A85ov_SOLSE_PinE_NS_YNS,A85ov_SOLSE_PinE_NS_T,A85ov_SOLSE_T_B00,A85ov_SOLSE_T_00_05,A85ov_SOLSE_T_06_10,A85ov_SOLSE_T_11,A85ov_SOLSE_T_12,A85ov_SOLSE_T_13,A85ov_SOLSE_T_14,A85ov_SOLSE_T_15,A85ov_SOLSE_T_16,A85ov_SOLSE_T_YNS,A85ov_SOLSE_T_T,A85ov_L_PinE_NS_B00,A85ov_L_PinE_NS_00_05,A85ov_L_PinE_NS_06_10,A85ov_L_PinE_NS_11,A85ov_L_PinE_NS_12,A85ov_L_PinE_NS_13,A85ov_L_PinE_NS_14,A85ov_L_PinE_NS_15,A85ov_L_PinE_NS_16,A85ov_L_PinE_NS_YNS,A85ov_L_PinE_NS_T,A85ov_T_B00,A85ov_T_00_05,A85ov_T_06_10,A85ov_T_11,A85ov_T_12,A85ov_T_13,A85ov_T_14,A85ov_T_15,A85ov_T_16,A85ov_T_YNS,A85ov_T_T,T_SEO_B00,T_SEO_00_05,T_SEO_06_10,T_SEO_11,T_SEO_12,T_SEO_13,T_SEO_14,T_SEO_15,T_SEO_16,T_SEO_YNS,T_SEO_T,T_SOLSE_VWW_B00,T_SOLSE_VWW_00_05,T_SOLSE_VWW_06_10,T_SOLSE_VWW_11,T_SOLSE_VWW_12,T_SOLSE_VWW_13,T_SOLSE_VWW_14,T_SOLSE_VWW_15,T_SOLSE_VWW_16,T_SOLSE_VWW_YNS,T_SOLSE_VWW_T,T_SOLSE_NWNAA_B00,T_SOLSE_NWNAA_00_05,T_SOLSE_NWNAA_06_10,T_SOLSE_NWNAA_11,T_SOLSE_NWNAA_12,T_SOLSE_NWNAA_13,T_SOLSE_NWNAA_14,T_SOLSE_NWNAA_15,T_SOLSE_NWNAA_16,T_SOLSE_NWNAA_YNS,T_SOLSE_NWNAA_T,T_SOLSE_PinE_NS_B00,T_SOLSE_PinE_NS_00_05,T_SOLSE_PinE_NS_06_10,T_SOLSE_PinE_NS_11,T_SOLSE_PinE_NS_12,T_SOLSE_PinE_NS_13,T_SOLSE_PinE_NS_14,T_SOLSE_PinE_NS_15,T_SOLSE_PinE_NS_16,T_SOLSE_PinE_NS_YNS,T_SOLSE_PinE_NS_T,T_SOLSE_T_B00,T_SOLSE_T_00_05,T_SOLSE_T_06_10,T_SOLSE_T_11,T_SOLSE_T_12,T_SOLSE_T_13,T_SOLSE_T_14,T_SOLSE_T_15,T_SOLSE_T_16,T_SOLSE_T_YNS,T_SOLSE_T_T,T_L_PinE_NS_B00,T_L_PinE_NS_00_05,T_L_PinE_NS_06_10,T_L_PinE_NS_11,T_L_PinE_NS_12,T_L_PinE_NS_13,T_L_PinE_NS_14,T_L_PinE_NS_15,T_L_PinE_NS_16,T_L_PinE_NS_YNS,T_L_PinE_NS_T,T_T_B00,T_T_00_05,T_T_06_10,T_T_11,T_T_12,T_T_13,T_T_14,T_T_15,T_T_16,T_T_YNS,T_T_T
2010,0,0,0,173,401,87130,1799,1679,291,238,243,220,167,123,3741,95625,10989,163,102,14,16,8,10,7,4,938,12256,10514,83,79,9,21,12,4,10,5,736,11466,10589,248,163,32,19,22,29,28,20,1069,12208,206,3,0,0,0,0,0,0,0,113,323,21310,332,238,38,43,34,32,32,26,1917,24005,131,4,0,0,0,0,0,0,0,228,364,32430,500,347,46,57,43,48,42,30,3084,36621,271039,45126,51517,12337,12926,11352,10832,11498,7087,13119,446823,318729,99843,169441,29795,36278,41210,44902,46156,27516,20827,834677,91279,14348,23631,5908,7951,10933,10733,13407,10728,12356,201277,3196,692,1107,155,251,325,316,347,254,777,7418,413195,114875,194178,35862,44483,52464,55953,59907,38502,33957,1043376,879,130,158,35,41,50,53,77,82,2186,3695,685113,160129,245854,48235,57447,63862,66839,71482,45667,49269,1493895
2011,0,0,0,3,5,622,11,6,0,0,3,0,0,0,28,672,118,0,0,0,0,0,0,0,0,16,133,47,0,0,0,0,0,0,0,0,6,49,25,0,5,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,4,67,0,3,0,0,0,0,0,0,5,83,0,0,0,0,0,0,0,0,0,0,0,190,0,3,0,0,0,0,0,0,19,214,3724,438,660,112,151,118,111,80,40,221,5649,2481,1201,1965,253,218,261,267,233,113,173,7165,388,101,176,43,34,65,76,66,47,48,1058,26,17,21,3,6,0,0,3,0,6,91,2893,1319,2169,298,264,329,346,307,157,230,8312,11,9,4,0,0,0,0,0,0,15,44,6638,1762,2829,417,421,443,454,388,201,469,14009
2012,0,0,0,0,6,483,8,0,0,0,0,0,0,0,31,523,67,0,0,0,0,0,0,0,0,4,69,67,0,0,0,0,0,0,0,0,19,84,39,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,15,131,0,0,0,0,0,0,0,0,0,0,3,176,0,0,0,0,0,0,0,0,23,203,1424,150,174,41,31,52,28,49,28,88,2078,987,215,443,90,100,127,113,121,80,122,2403,331,53,98,44,52,36,39,73,85,104,923,10,0,0,0,0,0,0,0,3,5,26,1329,274,546,137,158,166,151,196,169,232,3355,12,0,0,0,0,0,0,0,8,8,32,2767,422,721,177,195,220,180,253,198,333,5467
2013,0,0,0,0,3,390,0,3,0,0,0,0,0,0,21,416,113,0,0,0,0,0,0,0,0,10,126,44,0,0,0,0,0,0,0,0,4,44,11,0,0,0,0,0,0,0,0,3,12,3,0,0,0,0,0,0,0,0,0,3,60,0,0,0,0,0,0,0,0,6,61,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,12,186,1286,31,47,10,8,9,5,4,0,58,1453,426,40,71,5,10,9,12,8,0,14,604,72,8,10,0,0,5,5,3,0,6,110,9,0,0,0,0,0,0,0,0,0,7,505,42,86,8,12,12,15,10,4,25,723,14,0,0,0,0,0,0,0,0,3,18,1797,74,136,15,21,18,21,19,3,83,2188
2014,0,0,0,0,0,82,3,0,0,0,0,0,0,0,3,94,35,0,0,0,0,0,0,0,0,5,34,8,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,3,51,476,35,52,8,6,8,4,0,4,25,619,87,20,43,9,21,5,3,8,5,7,196,6,3,0,0,0,0,0,3,3,0,22,3,0,0,0,0,0,0,0,0,0,3,96,20,46,7,24,9,4,10,3,8,221,0,0,0,0,0,0,0,0,0,3,3,566,60,97,14,29,12,11,14,10,32,846
2015,0,0,0,0,0,161,6,0,0,0,0,0,0,0,10,177,41,0,0,0,0,0,0,0,0,4,54,24,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,69,0,3,0,0,0,0,0,0,9,83,752,67,117,32,11,27,16,24,10,58,1114,190,45,174,20,27,32,27,35,9,12,574,20,6,9,0,12,6,11,19,7,9,103,6,0,0,0,0,0,0,0,0,0,5,216,47,182,18,37,37,41,55,13,24,677,3,0,0,0,0,0,0,0,0,0,7,975,115,305,51,51,61,62,77,26,82,1792
2016,0,0,0,0,0,471,10,11,3,0,3,0,0,0,24,527,60,0,0,0,0,0,0,0,0,3,63,61,0,0,0,0,0,0,0,0,7,74,57,0,3,0,0,0,0,0,0,5,66,0,0,0,0,0,0,0,0,0,0,0,122,0,3,0,0,0,0,0,0,15,138,0,0,0,0,0,0,0,0,0,0,0,183,0,3,0,0,0,0,0,0,21,208,1401,180,223,67,48,57,71,49,12,90,2195,1143,589,1277,199,214,327,248,224,106,126,4444,342,159,251,52,77,140,127,121,114,101,1473,23,6,18,0,0,0,3,6,0,8,64,1502,757,1544,252,288,471,378,353,214,231,5992,10,0,3,0,0,0,3,3,0,4,24,2915,940,1774,313,341,526,446,403,230,329,8211
2017,0,0,0,0,0,72,0,0,0,0,0,0,0,0,6,79,5,0,0,0,0,0,0,0,0,3,12,3,0,0,0,0,0,0,0,0,0,3,13,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,3,20,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,4,33,179,25,33,11,6,10,10,3,6,21,304,108,63,194,36,42,47,41,29,10,20,592,29,20,38,19,31,19,14,21,11,7,202,3,0,0,0,0,0,0,0,0,4,14,145,84,230,52,79,65,57,52,22,30,811,3,0,0,0,0,0,0,0,0,3,9,328,113,266,66,87,75,65,50,28,47,1116
2018,0,0,0,3,7,715,3,3,0,0,0,0,0,0,28,750,159,0,0,0,0,0,0,0,0,7,170,104,0,0,0,0,0,0,0,0,0,108,39,0,0,0,0,0,0,0,0,0,43,3,0,0,0,0,0,0,0,0,0,3,150,0,0,0,0,0,0,0,0,3,155,3,0,0,0,0,0,0,0,0,0,3,310,0,0,0,0,0,0,0,0,13,325,2304,138,154,40,22,34,36,35,24,100,2891,912,192,463,39,72,69,69,62,31,69,1989,185,23,47,11,5,3,18,10,11,20,338,5,0,3,0,0,0,0,0,0,4,11,1103,220,515,50,81,74,86,73,49,90,2335,20,0,0,0,0,0,0,0,0,11,25,3428,357,671,90,108,105,123,100,72,203,5260
2019,0,0,0,5,8,202,3,0,0,0,0,0,0,0,12,222,65,0,0,0,0,0,0,0,0,0,65,31,0,0,0,0,0,0,0,0,0,31,18,0,0,0,0,0,0,0,0,0,18,4,0,0,0,0,0,0,0,0,0,4,54,0,0,0,0,0,0,0,0,0,54,14,0,0,0,0,0,0,0,0,0,16,130,0,0,0,0,0,0,0,0,5,137,724,56,57,5,5,3,9,22,6,25,921,251,54,123,20,21,17,12,14,11,18,532,81,3,6,0,0,0,4,0,4,7,113,4,0,0,0,0,5,0,0,0,0,10,331,58,133,21,21,21,15,15,11,28,653,17,0,0,0,0,0,0,0,0,13,27,1075,115,197,34,25,21,24,33,13,61,1599
2020,0,0,0,0,4,478,0,0,0,0,0,0,0,0,11,490,99,4,0,0,0,0,0,0,0,3,106,23,0,0,0,0,0,0,0,0,0,23,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,129,4,0,0,0,0,0,0,0,11,138,2199,195,200,34,54,37,34,15,13,79,2859,481,75,191,29,31,23,29,32,6,33,928,43,3,7,5,3,3,9,13,9,30,126,5,0,0,0,0,0,0,0,0,0,7,525,77,200,33,29,24,37,47,16,66,1065,6,0,0,0,0,0,0,0,0,6,14,2727,276,398,72,91,59,69,65,24,150,3937
2021,0,0,0,3,3,171,5,0,0,0,0,0,0,0,7,186,53,0,0,0,0,0,0,0,0,9,63,17,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,10,80,1052,161,154,59,44,22,27,35,12,64,1628,179,122,223,27,34,22,45,48,57,23,780,11,13,21,3,8,4,43,80,78,54,320,3,0,3,0,0,0,0,0,3,0,12,191,136,251,35,45,29,82,129,134,84,1110,5,3,0,0,0,0,0,0,0,3,12,1249,297,401,94,87,56,111,163,146,147,2750
