SUA_CODE_2016,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
2010,769364,562354,681771,596668,546034,436546,307803,177397,81668,4159603,493,689,595,454,434,385,378,310,170,3903,446,1080,2254,2359,2667,2178,1126,311,83,12490,11687,17103,21026,13083,11274,10609,8773,6421,3919,103894,349,753,1246,1087,1591,1344,778,179,42,7380,177,393,555,535,706,690,419,116,26,3622,173,440,637,667,808,737,459,129,26,4071,96,363,233,288,382,518,365,101,15,2355,61,132,97,77,79,70,45,6,0,565,36,133,262,170,194,173,119,23,5,1114,0,8,0,0,3,3,3,0,0,17,13033,20404,26306,18261,17699,16318,12096,7284,4126,135522,13521,21096,26903,18717,18126,16697,12473,7593,4296,139423,782890,583444,708669,615387,564163,453243,320272,184991,85963,4299024
2011,13812,7334,9244,8305,6813,6236,4192,1456,507,57890,10,14,7,10,6,5,0,3,0,60,4,3,4,8,4,9,0,0,0,42,263,250,284,191,125,109,73,48,19,1358,0,3,3,3,9,4,4,0,0,27,0,3,0,3,3,5,0,3,0,15,3,3,9,3,0,6,3,0,0,27,3,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,275,271,305,211,144,125,80,49,19,1480,285,289,307,222,150,125,80,55,20,1537,14091,7625,9552,8522,6970,6363,4271,1511,527,59433
2012,9278,5777,5689,5453,6190,6013,4818,2814,1215,47241,8,14,3,9,7,5,11,8,3,57,36,69,56,49,83,80,72,22,15,484,168,290,300,188,205,257,271,138,44,1858,7,10,11,8,12,22,27,3,0,101,16,40,48,39,48,76,102,50,9,428,0,3,3,3,10,10,6,6,0,52,0,0,0,4,6,8,6,7,0,33,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,3,0,0,12,0,0,0,0,0,0,0,0,0,0,228,406,423,296,375,463,488,231,64,2978,234,417,423,306,380,473,499,241,68,3036,9505,6191,6116,5761,6569,6485,5312,3051,1283,50277
2013,2642,1938,1769,1682,2037,2189,1747,1073,504,15585,0,3,3,0,0,3,8,5,3,22,0,0,4,0,0,0,0,0,0,6,77,140,100,56,54,39,37,16,13,526,4,7,0,0,7,0,0,0,0,22,0,0,3,0,3,4,0,3,0,11,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,79,148,107,58,66,42,42,19,12,575,79,155,113,56,66,50,47,24,14,595,2716,2092,1883,1736,2097,2237,1789,1098,523,16179
2014,1762,1139,939,1190,1462,1515,1060,628,308,9999,3,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,12,43,75,62,40,46,67,42,10,8,393,0,4,3,3,0,3,0,3,0,14,0,3,5,9,9,8,3,0,0,39,0,0,0,0,6,3,3,3,0,14,0,0,4,0,0,4,3,0,0,13,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,85,70,52,61,97,48,15,8,479,44,86,73,54,61,92,48,15,10,490,1810,1224,1013,1244,1518,1610,1107,646,321,10490
2015,2741,1579,1714,1631,1755,1683,1270,792,427,13598,4,0,3,0,3,6,7,3,0,30,3,5,11,3,14,11,11,4,0,54,47,120,104,72,87,95,47,37,16,627,5,5,15,8,8,4,0,0,0,52,0,0,0,0,0,0,4,0,0,8,0,0,3,4,3,4,4,0,0,17,0,0,0,3,3,3,4,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,50,137,135,89,120,126,65,42,15,781,55,133,136,92,127,128,70,48,20,807,2800,1716,1849,1726,1881,1815,1337,841,440,14412
2016,9702,5882,6052,5744,6127,5483,4195,2509,1165,46850,15,17,13,15,8,3,4,9,3,79,9,24,5,14,26,26,7,4,0,121,236,339,315,266,232,214,146,110,45,1902,5,3,3,13,8,14,3,5,0,57,0,0,7,12,5,5,0,0,0,25,4,0,4,3,0,3,4,0,0,19,0,0,0,4,0,15,3,3,0,25,0,0,0,0,4,0,0,0,0,3,0,0,0,3,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,256,364,341,311,275,280,176,120,50,2167,266,379,355,327,283,284,178,127,53,2248,9965,6263,6410,6074,6412,5766,4371,2629,1214,49107
2017,1984,1265,1308,1195,1258,1157,912,730,367,10184,3,0,3,0,0,0,4,0,0,6,4,14,8,6,7,12,9,0,0,72,35,93,76,72,67,69,32,30,12,496,0,0,0,3,0,6,16,3,0,31,0,3,10,11,14,11,7,5,0,56,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,11,3,0,0,16,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,44,112,109,91,97,108,77,40,12,681,45,112,108,96,95,114,74,40,12,696,2027,1378,1419,1289,1352,1272,989,765,384,10875
2018,7348,4660,5055,4463,4965,4786,3596,2289,1019,38177,13,11,3,8,10,3,3,5,3,53,6,3,12,6,19,14,12,3,0,68,170,288,301,199,174,188,130,127,79,1651,0,0,11,6,9,7,3,0,0,39,0,0,0,5,0,3,0,3,0,16,0,3,3,3,0,3,3,0,0,25,0,0,0,0,0,4,0,0,0,11,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,296,326,221,208,220,147,129,79,1809,191,308,328,229,219,219,151,139,79,1864,7536,4964,5383,4698,5187,5004,3745,2424,1095,40039
2019,3250,1899,1852,2031,2230,2261,1901,1334,798,17562,0,6,3,0,3,3,6,6,0,29,6,12,7,3,5,17,3,3,0,54,89,124,123,89,83,86,73,46,42,756,6,5,4,3,8,11,3,0,0,34,0,0,0,0,0,0,3,0,0,11,0,0,5,0,3,0,0,0,0,8,0,0,0,0,0,4,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,101,137,141,100,102,112,93,56,42,889,101,144,149,103,109,119,98,58,45,920,3352,2048,1998,2134,2335,2373,1996,1397,845,18484
2020,6614,3878,3802,3731,4399,4171,3580,2000,786,32961,12,12,7,0,5,5,5,4,0,47,0,0,3,0,4,0,10,0,0,23,113,180,155,61,104,93,78,51,28,867,11,4,8,5,13,10,10,0,0,56,3,0,0,3,0,3,3,0,0,18,0,0,3,0,5,3,0,0,0,12,0,0,0,0,0,5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,186,168,77,127,110,104,56,28,979,134,204,177,77,132,116,106,60,27,1028,6746,4073,3979,3800,4529,4288,3687,2057,815,33983
2021,5995,4180,3862,3800,4286,3938,3051,1832,911,31859,13,14,6,6,4,3,0,3,5,44,9,3,10,3,16,6,12,0,0,58,123,242,195,137,166,172,122,69,51,1286,3,4,3,5,0,11,3,0,0,32,8,4,9,0,16,10,11,3,3,64,0,3,5,0,0,0,0,0,0,13,0,0,0,0,0,3,4,3,0,12,0,0,3,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,141,259,228,163,200,199,151,80,57,1471,155,269,236,165,204,197,151,81,59,1518,6150,4453,4098,3965,4489,4141,3204,1913,970,33376
