SUA_CODE_2016,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
2010,9334,3475,4836,1140,18786,3646,1257,1859,449,7216,2938,2259,5054,588,10842,1767,1541,5454,261,9022,15568,5074,8514,898,30056,8475,7322,13708,896,30395,40508,12435,14924,1635,69502,24756,20094,16886,2146,63889,31517,32192,18229,2599,84540,29965,36699,14072,2302,83039,20348,36650,11084,1532,69613,22713,37587,8544,1474,70317,48006,77833,12240,2421,140502,32649,58090,5156,1311,97206,19805,39382,2252,695,62135,13444,30196,2655,328,46623,28122,75703,2591,536,106954,24419,59103,16042,931,100496,7584,5720,3567,425,17301,385580,542609,167682,22566,1118439
2011,74,55,87,3,218,30,20,32,0,89,39,28,107,10,177,10,14,161,0,186,199,75,238,18,522,117,113,420,16,659,674,221,387,19,1300,343,340,398,18,1105,454,611,365,30,1471,463,718,271,26,1477,312,704,165,15,1198,345,665,140,24,1171,629,1185,175,25,2015,310,724,70,10,1105,169,378,29,0,581,76,230,22,0,326,91,308,16,3,420,295,739,274,13,1315,123,109,89,8,329,4756,7233,3447,238,15679
2012,76,26,23,3,130,60,18,23,0,101,31,21,80,5,138,26,9,125,0,159,250,57,207,13,520,138,86,287,12,524,907,144,308,27,1381,431,265,310,27,1027,557,404,227,24,1207,535,473,159,20,1186,270,431,109,8,819,340,436,67,4,846,552,728,72,10,1360,264,479,24,4,775,148,277,3,3,431,61,140,8,0,211,111,257,16,0,384,361,714,214,16,1305,177,71,95,9,354,5310,5027,2347,175,12858
2013,17,5,10,3,37,11,3,11,3,30,15,4,37,0,56,4,3,62,0,70,112,16,76,3,210,46,20,143,3,207,343,46,149,7,543,142,85,116,11,350,162,138,83,9,384,139,152,55,4,350,90,131,35,0,260,80,117,20,4,221,162,169,32,3,370,83,126,18,0,220,42,78,10,0,133,26,49,7,0,80,56,123,5,0,176,116,193,101,6,414,56,22,42,3,120,1712,1476,1000,53,4240
2014,9,0,3,0,15,9,0,3,0,14,11,3,16,0,33,9,0,23,3,35,61,14,38,0,114,27,16,64,0,113,194,33,63,4,294,110,54,67,6,231,128,91,53,3,279,105,87,40,3,233,66,90,17,0,173,79,77,20,0,170,127,145,19,0,291,65,122,8,0,198,39,51,4,0,97,24,33,4,0,60,34,36,3,3,73,64,151,54,0,265,46,12,11,3,75,1212,1012,518,31,2774
2015,23,0,12,0,34,9,0,4,0,14,4,8,14,4,28,0,0,34,0,34,47,13,56,3,122,31,12,70,0,120,198,36,82,0,314,126,66,81,11,282,158,101,69,8,337,126,111,46,4,289,84,130,32,3,245,103,127,35,3,260,170,203,20,7,399,102,157,7,0,268,52,90,0,0,151,31,75,9,0,114,70,136,6,0,213,133,215,56,0,409,35,14,24,0,74,1505,1494,653,54,3707
2016,68,32,42,3,151,35,10,16,0,58,25,32,59,3,124,14,16,99,0,131,222,98,179,9,509,131,109,287,10,530,732,155,300,18,1201,347,257,295,17,917,510,415,268,15,1214,453,444,194,15,1108,281,449,104,13,844,307,430,83,10,826,506,797,93,14,1409,320,504,37,4,868,130,277,8,0,418,54,167,12,0,236,134,308,14,0,455,281,619,209,13,1119,132,67,80,10,288,4683,5190,2378,159,12416
2017,12,0,7,0,12,7,3,3,0,15,8,3,13,0,28,3,7,26,0,34,47,10,36,3,94,29,14,55,3,98,168,32,45,0,247,89,42,54,7,190,120,96,53,3,267,112,113,32,12,262,57,93,17,4,176,85,93,16,3,195,113,169,21,4,311,63,100,7,0,168,34,51,0,0,87,5,34,5,0,51,30,41,0,0,76,62,132,45,0,244,40,15,14,0,71,1091,1042,455,50,2630
2018,53,9,19,0,79,32,4,14,3,53,24,15,73,3,109,21,8,115,0,140,212,45,177,7,445,123,41,324,8,491,635,120,241,6,1003,345,167,217,23,753,343,253,227,13,840,388,290,109,13,807,200,286,98,8,596,229,314,81,11,635,478,642,77,20,1218,259,435,38,6,742,168,264,7,0,438,89,164,16,0,267,151,303,12,0,472,243,469,176,10,904,114,51,50,4,225,4099,3883,2094,135,10212
2019,21,3,5,0,28,6,0,14,0,23,9,3,31,6,46,4,0,33,0,47,93,20,77,3,196,56,21,104,3,179,325,43,116,12,489,222,81,117,10,430,242,151,100,11,507,208,185,64,11,466,140,181,40,4,360,119,150,27,4,304,193,308,40,3,543,110,193,17,4,320,46,86,4,0,132,26,57,11,0,89,52,70,5,0,122,129,186,73,3,389,59,23,39,3,125,2050,1769,909,77,4802
2020,51,17,22,4,99,38,3,18,3,61,23,14,46,0,83,12,9,65,0,89,195,32,89,0,321,107,26,163,5,303,626,65,168,17,873,357,167,163,17,704,415,306,174,18,915,331,361,123,16,824,212,343,99,3,659,232,368,46,11,656,403,585,69,8,1065,226,408,23,3,661,109,237,8,0,348,75,123,9,0,207,135,263,9,0,411,221,442,138,9,808,103,51,29,3,184,3878,3815,1460,106,9265
2021,40,7,13,4,68,27,4,14,0,41,21,4,40,3,67,13,3,66,3,85,157,18,87,7,269,96,23,182,3,313,479,72,183,6,742,302,138,188,14,642,391,239,156,19,795,329,318,125,16,793,197,316,74,3,596,247,325,53,7,632,432,584,68,12,1100,240,402,21,9,669,92,217,5,0,313,48,131,13,0,196,118,222,5,0,346,194,397,114,9,718,75,30,41,3,154,3490,3466,1452,122,8535
