SUA_CODE_2016,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
2010,80,569,121049,121695,2896,9618,133985,146499,106595,56492,151558,314647,176645,34434,66844,277923,164177,25427,62091,251694,135929,15117,48685,199729,100669,6433,30569,137673,53345,1781,17640,72769,13932,367,9674,23975,754270,150243,642094,1546610,246,982,115532,116758,8357,14437,120350,143146,141337,58686,127977,327996,182548,33369,74845,290754,165152,23949,81445,270548,129987,12691,73805,216486,89316,4686,60025,154027,37785,1043,49818,88644,6273,186,28650,35106,760997,150029,732450,1643476,324,1550,236585,238458,11251,24056,254338,289647,247931,115180,279536,642647,359188,67802,141687,568686,329328,49376,143529,522236,265919,27810,122489,416219,189987,11124,90596,291697,91127,2824,67459,161412,20208,555,38326,59087,1515266,300271,1374549,3190087
2011,0,17,1741,1763,48,228,1488,1756,1537,852,1698,4092,2246,576,1070,3894,1848,349,948,3142,1807,211,733,2749,1376,97,487,1962,417,17,201,635,61,3,71,135,9342,2350,8432,20127,0,31,1630,1656,134,318,1355,1802,2082,919,1629,4628,2196,545,1254,3990,1830,334,1140,3307,1842,190,1110,3145,1078,70,843,1990,251,11,417,678,32,0,178,213,9441,2415,9553,21406,3,43,3371,3418,176,546,2837,3560,3623,1769,3326,8721,4442,1123,2322,7886,3679,682,2089,6443,3647,402,1840,5894,2454,163,1330,3952,669,32,613,1315,94,5,246,350,18781,4766,17983,41536
2012,0,20,1521,1541,38,230,912,1170,850,608,1022,2483,1353,363,701,2421,1549,310,894,2753,1720,208,832,2764,1509,113,561,2181,784,37,295,1122,209,3,135,354,8016,1901,6872,16788,0,42,1321,1364,79,308,880,1267,1095,616,1041,2754,1564,378,790,2731,1711,328,1029,3066,1711,195,933,2836,1357,78,812,2253,603,18,739,1364,92,3,403,502,8216,1970,7952,18141,0,63,2840,2906,115,530,1790,2436,1941,1230,2062,5236,2914,749,1493,5149,3268,638,1922,5824,3431,400,1764,5602,2869,196,1370,4438,1385,61,1033,2486,305,12,539,855,16226,3876,14830,34924
2013,0,0,473,474,21,93,355,468,239,171,369,784,347,132,287,763,451,93,359,901,562,82,375,1017,496,37,258,786,263,12,150,421,85,0,43,125,2456,628,2672,5754,0,14,399,409,14,120,330,472,327,179,379,885,381,128,320,826,506,119,403,1020,569,66,426,1058,438,32,382,844,220,8,305,531,32,0,176,212,2487,659,3115,6266,0,15,874,884,36,220,685,937,564,354,752,1667,730,253,608,1588,954,210,756,1928,1135,145,795,2081,930,67,641,1637,478,18,455,951,118,0,219,344,4945,1294,5783,12021
2014,0,7,316,322,7,53,196,251,125,113,179,420,257,91,175,520,367,80,250,698,412,68,209,686,319,20,153,490,176,6,62,245,48,0,31,78,1704,444,1571,3714,0,15,258,271,10,76,138,218,174,123,174,473,314,89,187,597,378,88,221,686,419,67,246,734,278,12,184,479,133,0,161,296,22,0,85,106,1727,466,1658,3851,0,21,572,592,16,131,330,469,302,238,356,892,573,186,367,1116,745,171,471,1383,831,140,452,1418,599,36,343,971,309,6,222,537,73,0,114,184,3427,917,3228,7571
2015,0,5,423,429,9,63,286,357,306,170,285,756,441,103,171,707,439,82,217,736,476,46,207,728,399,27,139,564,206,11,95,306,62,0,52,111,2325,505,1875,4703,0,14,375,381,16,91,216,332,379,190,285,857,480,100,258,836,481,84,338,911,494,52,303,853,351,18,251,619,141,3,250,390,45,0,147,198,2392,553,2426,5368,0,17,792,814,23,158,507,685,689,355,570,1615,921,201,429,1547,922,172,558,1646,970,102,512,1585,750,40,394,1181,348,14,340,697,105,0,200,306,4718,1052,4301,10069
2016,0,18,1580,1596,58,175,1013,1247,1048,549,1112,2710,1491,312,773,2574,1676,257,856,2782,1584,171,689,2453,1291,83,466,1840,686,31,282,994,201,3,116,319,8038,1588,6886,16517,6,32,1414,1458,144,245,850,1248,1310,536,1060,2907,1623,310,895,2824,1712,258,972,2942,1544,159,952,2654,1164,51,786,1994,516,23,663,1198,96,8,367,471,8108,1622,7961,17690,6,49,2990,3052,202,420,1868,2499,2359,1083,2170,5619,3110,620,1667,5394,3381,513,1831,5727,3133,331,1642,5105,2453,135,1251,3839,1201,51,942,2188,296,10,484,789,16150,3214,14847,34213
2017,0,5,302,301,6,64,224,292,218,136,245,605,305,53,166,527,338,59,173,562,347,26,145,520,257,16,113,382,187,6,71,264,62,0,38,104,1724,356,1470,3549,0,9,281,298,27,76,172,279,263,126,215,611,351,54,165,567,338,43,198,587,336,22,177,536,236,11,186,436,150,4,224,381,33,0,121,155,1747,357,1741,3848,0,14,584,600,39,136,391,570,484,265,461,1212,655,105,333,1095,675,101,373,1146,684,49,322,1052,497,25,294,816,339,12,297,644,99,0,161,259,3473,715,3215,7400
2018,0,13,1070,1081,33,216,837,1090,708,556,955,2219,1067,299,627,1991,1197,261,774,2227,1321,144,694,2157,1044,71,446,1558,623,24,234,880,149,0,108,256,6138,1591,5742,13469,3,40,960,1002,59,312,789,1156,921,560,982,2459,1174,278,744,2201,1234,254,884,2378,1363,133,797,2294,978,54,720,1750,441,16,624,1082,60,3,322,382,6232,1647,6824,14709,4,55,2030,2088,97,527,1625,2247,1625,1115,1939,4678,2245,581,1373,4195,2434,518,1657,4607,2679,277,1491,4452,2020,120,1166,3309,1064,40,854,1967,205,3,426,640,12369,3239,12568,28178
2019,0,6,485,490,8,93,295,402,265,229,340,836,523,129,269,926,596,114,318,1025,623,72,297,994,541,28,227,802,352,11,115,483,111,0,72,187,3026,691,2433,6148,0,13,481,494,19,130,263,414,368,222,359,944,562,127,348,1029,588,113,434,1127,659,63,430,1153,537,30,412,979,282,3,396,685,45,6,250,300,3066,699,3366,7131,0,19,970,992,26,222,561,813,636,454,697,1783,1089,254,616,1952,1181,223,750,2155,1288,130,730,2146,1083,64,637,1785,637,20,513,1171,155,7,325,482,6094,1387,5796,13277
2020,0,7,1039,1041,30,128,684,838,689,430,609,1731,1022,236,385,1641,1231,228,457,1922,1261,159,453,1873,1222,70,309,1594,631,24,224,878,127,0,84,214,6214,1277,4244,11736,0,15,988,1006,56,171,576,802,854,443,598,1889,1117,255,500,1876,1342,231,656,2223,1280,136,659,2074,1143,49,584,1777,418,13,518,945,63,3,281,346,6276,1313,5354,12941,0,22,2025,2052,90,291,1257,1639,1540,872,1208,3627,2139,493,881,3518,2578,460,1115,4146,2540,296,1111,3946,2362,115,896,3371,1046,36,742,1822,191,0,368,563,12486,2591,9605,24684
2021,0,10,1000,1017,23,155,818,991,545,442,795,1790,986,265,458,1707,1153,196,505,1851,1147,143,452,1745,993,55,285,1329,485,15,167,669,151,7,87,235,5483,1288,4567,11339,4,23,969,996,33,220,650,902,700,437,737,1873,1058,247,601,1898,1258,200,726,2183,1153,130,680,1965,895,33,564,1498,385,14,554,951,77,3,319,396,5555,1313,5795,12662,4,34,1967,2011,52,373,1460,1892,1249,882,1532,3661,2036,509,1061,3608,2412,397,1228,4035,2301,272,1132,3706,1890,92,847,2828,873,28,730,1623,225,6,398,630,11046,2598,10355,23998
