SUA_CODE_2016,P_15_19_Num_chld_evr_brn_Nne,P_15_19_Num_chld_evr_brn_1,P_15_19_Num_chld_evr_brn_2,P_15_19_Num_chld_evr_brn_3,P_15_19_Num_chld_evr_brn_4,P_15_19_Num_chld_evr_brn_5,P_15_19_Num_chd_evr_brn_6_mr,P_15_19_Num_chld_evr_brn_ns,P_15_19_yrs_Total,P_20_24_Num_chld_evr_brn_Nne,P_20_24_Num_chld_evr_brn_1,P_20_24_Num_chld_evr_brn_2,P_20_24_Num_chld_evr_brn_3,P_20_24_Num_chld_evr_brn_4,P_20_24_Num_chld_evr_brn_5,P_20_24_Num_chd_evr_brn_6_mr,P_20_24_Num_chld_evr_brn_ns,P_20_24_yrs_Total,P_25_29_Num_chld_evr_brn_Nne,P_25_29_Num_chld_evr_brn_1,P_25_29_Num_chld_evr_brn_2,P_25_29_Num_chld_evr_brn_3,P_25_29_Num_chld_evr_brn_4,P_25_29_Num_chld_evr_brn_5,P_25_29_Num_chd_evr_brn_6_mr,P_25_29_Num_chld_evr_brn_ns,P_25_29_yrs_Total,P_30_34_Num_chld_evr_brn_Nne,P_30_34_Num_chld_evr_brn_1,P_30_34_Num_chld_evr_brn_2,P_30_34_Num_chld_evr_brn_3,P_30_34_Num_chld_evr_brn_4,P_30_34_Num_chld_evr_brn_5,P_30_34_Num_chd_evr_brn_6_mr,P_30_34_Num_chld_evr_brn_ns,P_30_34_yrs_Total,P_35_39_Num_chld_evr_brn_Nne,P_35_39_Num_chld_evr_brn_1,P_35_39_Num_chld_evr_brn_2,P_35_39_Num_chld_evr_brn_3,P_35_39_Num_chld_evr_brn_4,P_35_39_Num_chld_evr_brn_5,P_35_39_Num_chd_evr_brn_6_mr,P_35_39_Num_chld_evr_brn_ns,P_35_39_yrs_Total,P_40_44_Num_chld_evr_brn_Nne,P_40_44_Num_chld_evr_brn_1,P_40_44_Num_chld_evr_brn_2,P_40_44_Num_chld_evr_brn_3,P_40_44_Num_chld_evr_brn_4,P_40_44_Num_chld_evr_brn_5,P_40_44_Num_chd_evr_brn_6_mr,P_40_44_Num_chld_evr_brn_ns,P_40_44_yrs_Total,P_45_49_Num_chld_evr_brn_Nne,P_45_49_Num_chld_evr_brn_1,P_45_49_Num_chld_evr_brn_2,P_45_49_Num_chld_evr_brn_3,P_45_49_Num_chld_evr_brn_4,P_45_49_Num_chld_evr_brn_5,P_45_49_Num_chd_evr_brn_6_mr,P_45_49_Num_chld_evr_brn_ns,P_45_49_yrs_Total,P_50_54_Num_chld_evr_brn_Nne,P_50_54_Num_chld_evr_brn_1,P_50_54_Num_chld_evr_brn_2,P_50_54_Num_chld_evr_brn_3,P_50_54_Num_chld_evr_brn_4,P_50_54_Num_chld_evr_brn_5,P_50_54_Num_chd_evr_brn_6_mr,P_50_54_Num_chld_evr_brn_ns,P_50_54_yrs_Total,P_55_59_Num_chld_evr_brn_Nne,P_55_59_Num_chld_evr_brn_1,P_55_59_Num_chld_evr_brn_2,P_55_59_Num_chld_evr_brn_3,P_55_59_Num_chld_evr_brn_4,P_55_59_Num_chld_evr_brn_5,P_55_59_Num_chd_evr_brn_6_mr,P_55_59_Num_chld_evr_brn_ns,P_55_59_yrs_Total,P_60_64_Num_chld_evr_brn_Nne,P_60_64_Num_chld_evr_brn_1,P_60_64_Num_chld_evr_brn_2,P_60_64_Num_chld_evr_brn_3,P_60_64_Num_chld_evr_brn_4,P_60_64_Num_chld_evr_brn_5,P_60_64_Num_chd_evr_brn_6_mr,P_60_64_Num_chld_evr_brn_ns,P_60_64_yrs_Total,P_65_69_Num_chld_evr_brn_Nne,P_65_69_Num_chld_evr_brn_1,P_65_69_Num_chld_evr_brn_2,P_65_69_Num_chld_evr_brn_3,P_65_69_Num_chld_evr_brn_4,P_65_69_Num_chld_evr_brn_5,P_65_69_Num_chd_evr_brn_6_mr,P_65_69_Num_chld_evr_brn_ns,P_65_69_yrs_Total,P_70_74_Num_chld_evr_brn_Nne,P_70_74_Num_chld_evr_brn_1,P_70_74_Num_chld_evr_brn_2,P_70_74_Num_chld_evr_brn_3,P_70_74_Num_chld_evr_brn_4,P_70_74_Num_chld_evr_brn_5,P_70_74_Num_chd_evr_brn_6_mr,P_70_74_Num_chld_evr_brn_ns,P_70_74_yrs_Total,P_75_79_Num_chld_evr_brn_Nne,P_75_79_Num_chld_evr_brn_1,P_75_79_Num_chld_evr_brn_2,P_75_79_Num_chld_evr_brn_3,P_75_79_Num_chld_evr_brn_4,P_75_79_Num_chld_evr_brn_5,P_75_79_Num_chd_evr_brn_6_mr,P_75_79_Num_chld_evr_brn_ns,P_75_79_yrs_Total,P_80_84_Num_chld_evr_brn_Nne,P_80_84_Num_chld_evr_brn_1,P_80_84_Num_chld_evr_brn_2,P_80_84_Num_chld_evr_brn_3,P_80_84_Num_chld_evr_brn_4,P_80_84_Num_chld_evr_brn_5,P_80_84_Num_chd_evr_brn_6_mr,P_80_84_Num_chld_evr_brn_ns,P_80_84_yrs_Total,P_85_ov_Num_chld_evr_brn_Nne,P_85_ov_Num_chld_evr_brn_1,P_85_ov_Num_chld_evr_brn_2,P_85_ov_Num_chld_evr_brn_3,P_85_ov_Num_chld_evr_brn_4,P_85_ov_Num_chld_evr_brn_5,P_85_ov_Num_chd_evr_brn_6_mr,P_85_ov_Num_chld_evr_brn_ns,P_85ov_Total,Tot_Nmbr_child_ever_born_None,Tot_Nmbr_children_ever_born_1,Tot_Nmbr_children_ever_born_2,Tot_Nmbr_children_ever_born_3,Tot_Nmbr_children_ever_born_4,Tot_Nmbr_children_ever_born_5,Tot_Nmbr_chidrn_ever_brn_6_mr,Tot_Nmbr_childrn_ever_born_Ns,Total_Total
2010,111619,541,91,17,9,5,28,14919,127227,136008,6135,2088,429,72,14,47,15587,160384,126353,22049,10646,2994,770,183,115,15951,179060,79972,41326,33830,9512,2608,767,450,13260,181730,40155,29902,52600,18544,4938,1421,1004,9689,158242,28790,23939,57667,25020,6902,2009,1475,8856,154655,25293,21974,58477,26845,7726,2178,1560,8650,152700,21007,19070,51601,26314,7948,2077,1459,7913,137382,17641,16381,46288,26143,8695,2324,1536,7620,126630,13717,13701,40218,23623,8297,2334,1467,6793,110134,9919,10087,37139,22854,8354,2444,1560,6691,99055,6270,6165,26354,18379,7659,2483,1799,5431,74548,4354,4429,17816,14624,7534,2819,2522,4944,59050,3168,3435,12225,10695,6124,2648,2819,4677,45787,4277,5069,13279,11032,6420,3118,3561,7781,54543,628553,224196,460323,237019,84043,26834,21405,138755,1821126
2011,1516,23,0,0,0,0,0,254,1793,1404,253,123,26,0,0,0,206,2007,1122,499,403,154,44,8,6,216,2444,666,583,708,278,102,49,18,181,2599,374,391,681,395,140,60,58,154,2255,281,274,688,381,168,61,57,136,2041,250,227,609,394,159,77,69,124,1906,173,189,573,387,150,64,31,120,1683,131,141,627,445,176,48,28,102,1706,104,147,622,477,172,61,22,130,1746,75,105,467,369,181,44,39,121,1402,36,65,241,218,100,52,36,70,821,27,26,100,117,82,39,36,49,478,14,15,72,75,53,27,36,43,334,9,26,67,81,49,27,46,41,350,6185,2964,5984,3780,1590,624,477,1945,23553
2012,1293,33,3,0,0,0,0,227,1563,1101,162,68,16,8,0,3,168,1519,793,288,222,106,33,10,6,159,1622,375,280,403,210,75,31,11,135,1515,215,180,469,281,97,26,32,91,1390,186,166,545,360,147,33,29,126,1601,173,173,544,423,179,53,43,132,1728,178,148,578,382,159,49,38,123,1648,166,150,568,402,198,46,36,165,1730,139,115,489,396,181,38,19,140,1522,107,115,500,400,181,50,34,169,1547,73,53,314,269,166,57,43,131,1106,61,48,170,213,182,83,63,131,949,29,29,124,137,139,85,60,127,732,34,57,123,148,126,51,59,191,795,4931,1987,5138,3744,1863,613,475,2207,20954
2013,381,15,0,0,0,0,0,60,460,386,80,21,6,3,3,0,60,555,234,114,84,24,9,0,0,35,502,131,93,151,46,25,5,3,40,486,72,62,125,71,41,11,5,27,418,79,55,169,87,32,16,18,25,474,66,55,183,99,55,25,13,43,532,64,60,190,127,52,21,17,45,571,54,48,177,152,63,23,11,48,570,52,44,212,170,63,19,18,51,628,43,42,182,156,72,28,13,55,590,26,22,106,96,52,26,21,48,395,15,13,76,92,60,29,41,32,370,14,14,41,60,49,24,32,32,268,13,29,62,68,63,21,34,63,354,1628,747,1773,1264,634,257,220,651,7166
2014,261,9,0,0,0,0,0,51,319,177,35,20,9,0,0,0,26,265,111,40,44,20,3,0,0,23,243,69,60,90,40,14,0,4,18,296,46,45,109,51,14,4,3,21,301,41,43,140,68,23,15,0,23,356,33,36,138,67,32,7,6,23,346,46,50,150,86,27,12,5,25,408,44,28,162,106,37,15,4,37,446,26,37,148,108,39,12,9,37,420,22,23,126,87,38,13,3,32,348,15,13,70,67,34,15,10,26,244,7,9,58,54,42,15,17,28,223,3,5,24,41,28,18,13,25,153,7,15,47,44,33,24,22,20,217,921,447,1334,850,376,141,97,427,4582
2015,368,8,0,0,0,0,0,54,427,293,28,17,5,3,0,0,36,385,250,100,66,16,3,0,0,41,480,116,99,149,53,17,9,0,41,481,62,54,139,87,28,7,4,27,424,59,55,168,110,32,11,10,40,480,61,52,172,134,43,10,8,40,523,53,40,198,117,36,16,11,41,509,50,41,183,144,49,21,7,47,544,42,26,175,112,35,15,10,38,454,28,26,155,101,55,18,6,33,423,18,21,98,80,47,13,15,32,327,22,13,54,74,50,27,22,32,291,18,16,34,41,34,14,18,22,203,26,22,63,55,63,30,16,27,297,1454,598,1683,1137,500,195,126,552,6250
2016,1376,36,0,0,0,0,0,225,1639,1042,170,94,15,3,0,0,145,1477,848,294,207,95,28,5,4,172,1650,430,316,437,201,79,27,15,133,1645,215,211,489,281,114,46,30,116,1511,185,185,539,337,119,46,73,115,1589,176,153,575,383,136,49,43,117,1629,175,154,532,402,147,47,41,138,1643,141,121,509,391,183,47,32,133,1556,111,103,477,384,195,45,29,138,1471,91,80,448,376,179,39,34,145,1386,50,54,245,280,176,59,37,130,1038,30,35,158,227,123,74,68,102,820,26,30,109,161,125,62,72,81,671,50,38,142,146,113,67,72,145,780,4940,1985,4957,3673,1727,619,551,2037,20494
2017,279,7,0,0,0,0,0,61,354,233,51,15,0,0,0,0,35,333,186,75,48,12,4,0,0,40,359,86,73,89,46,15,11,0,27,347,51,44,107,60,23,9,3,41,339,27,33,89,77,39,14,10,21,301,37,28,100,88,33,7,12,40,333,36,24,94,100,31,17,4,25,333,37,18,105,85,39,17,4,34,337,29,8,101,102,27,9,4,30,305,15,17,73,79,43,7,11,40,298,15,9,58,62,50,21,16,30,257,13,6,35,67,48,31,28,28,255,9,7,24,34,46,22,40,25,207,15,12,38,54,45,25,25,35,243,1078,395,978,864,436,174,157,518,4602
2018,938,24,4,0,0,0,0,167,1133,981,139,74,9,0,0,0,143,1344,743,248,209,54,17,5,0,145,1421,394,270,377,165,53,12,10,124,1410,202,187,397,195,88,23,34,85,1204,162,142,416,281,91,25,24,99,1239,152,149,414,305,101,26,22,98,1270,167,130,459,344,133,41,19,120,1408,149,125,472,344,145,40,28,113,1412,96,83,429,311,128,39,21,113,1226,69,68,424,302,137,37,20,103,1168,57,53,250,250,130,53,45,101,937,45,43,182,216,126,54,50,92,800,22,28,111,131,88,54,48,103,592,23,42,144,116,98,47,63,143,679,4201,1714,4353,3028,1349,468,386,1749,17251
2019,450,10,3,0,0,0,0,85,554,364,49,17,5,0,0,0,50,487,271,109,68,17,11,3,3,29,507,159,118,149,60,12,6,0,31,525,98,65,196,117,32,13,4,27,559,87,66,194,116,47,14,8,29,562,68,57,223,147,49,23,8,34,603,82,45,192,174,62,13,10,47,633,71,74,220,171,73,24,7,37,667,50,46,193,174,80,22,15,47,629,59,42,177,179,74,20,5,44,606,52,26,136,153,77,21,29,60,553,38,10,83,120,85,37,33,42,455,31,15,68,104,59,22,26,64,391,28,16,88,76,90,36,44,181,570,1911,748,2012,1611,746,257,197,802,8290
2020,960,17,0,0,0,0,0,101,1080,717,101,30,10,3,0,0,80,935,576,187,147,57,10,0,0,67,1053,286,190,292,146,49,15,10,50,1033,148,150,300,219,82,24,12,73,1018,132,113,354,255,82,37,15,61,1045,147,130,417,291,121,27,16,89,1239,142,104,387,301,131,35,17,81,1200,132,104,360,327,138,44,28,89,1221,120,67,361,313,141,38,20,76,1141,95,80,370,338,132,48,29,86,1181,59,58,266,273,133,50,28,72,934,39,32,149,180,133,35,32,52,663,23,18,75,121,96,52,39,49,472,33,39,100,110,84,52,76,56,542,3607,1382,3613,2931,1335,461,321,1093,14752
2021,974,5,0,0,0,0,0,143,1119,853,68,37,4,0,0,3,113,1072,594,175,139,55,11,3,3,108,1085,292,221,282,94,40,6,8,64,1013,188,160,320,188,65,21,20,61,1014,152,101,330,263,92,25,16,81,1064,149,136,406,274,103,34,16,94,1208,155,98,384,306,131,38,20,72,1205,147,107,359,330,139,38,17,84,1220,102,102,340,269,126,27,14,79,1061,81,40,301,304,149,49,17,91,1039,58,36,195,185,114,63,35,74,769,44,23,100,144,105,50,69,79,612,27,32,77,100,100,41,89,78,547,57,33,94,124,91,43,77,116,633,3879,1347,3367,2636,1254,442,400,1338,14664
