SUA_CODE_2016,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_0_4,F_Hong_Kong_5_14,F_Hong_Kong_15_24,F_Hong_Kong_25_44,F_Hong_Kong_45_54,F_Hong_Kong_55_64,F_Hong_Kong_65_74,F_Hong_Kong_75_84,F_Hong_Kong_85ov,F_Hong_Kong_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot
2010,595,2966,21925,36143,11751,8287,3356,2194,828,88046,3,12,93,763,1087,1402,1658,1318,315,6649,57,389,312,1201,769,1194,1241,747,359,6275,496,3030,3257,12977,11518,10670,10599,6580,3182,62310,10,131,353,2282,1116,796,416,198,39,5354,31,149,307,1329,421,256,266,152,83,2995,42,164,545,1893,1116,1057,2864,1515,951,10149,34,338,380,1040,1928,3782,7480,7213,1795,23992,126,395,1541,4344,1576,1912,738,234,65,10934,1645,4296,6026,45449,6132,4522,2762,1287,516,72632,89,304,2020,4970,880,581,395,146,57,9443,93,720,776,3956,723,481,236,102,27,7106,68,660,1142,3837,1429,810,395,208,56,8609,55,321,219,2687,805,718,683,493,244,6218,41,195,367,1581,2099,5216,8819,9413,4108,31837,68,311,559,2961,852,284,215,76,63,5391,63,429,1352,4346,905,345,130,36,12,7630,44,142,408,2408,1977,1576,815,389,121,7877,274,1184,4246,9761,3478,3666,1980,662,191,25440,0,16,63,320,524,1922,2860,1567,522,7804
2011,0,0,11,54,26,8,8,4,0,115,0,0,3,14,28,28,20,8,4,105,0,13,6,9,3,14,15,5,3,72,0,12,18,97,175,225,184,115,39,870,0,8,7,49,17,6,0,0,0,83,0,0,0,3,4,6,3,0,0,15,0,0,3,14,11,17,62,14,7,138,0,0,0,3,3,12,15,12,0,53,0,0,0,7,0,3,0,0,0,9,4,50,40,446,41,51,21,3,11,660,0,3,0,32,15,9,0,0,0,56,0,0,4,5,6,0,4,0,0,16,0,0,0,7,3,4,5,0,0,21,0,3,5,8,6,11,14,3,0,59,0,0,0,9,13,41,24,21,7,115,0,0,0,9,0,0,3,0,0,11,0,0,0,13,11,0,0,0,0,32,0,0,0,11,5,12,5,0,0,32,5,12,0,27,11,11,6,3,0,72,0,4,5,35,36,104,116,37,11,354
2012,0,3,14,29,13,5,3,0,0,66,0,0,0,0,3,7,11,7,6,34,0,0,0,0,0,0,0,0,0,3,0,4,13,50,75,67,81,49,24,362,0,0,3,7,0,3,0,0,0,17,0,0,3,3,0,5,0,0,0,10,0,0,3,9,3,4,35,3,4,60,0,0,0,0,3,3,26,28,7,66,0,0,7,16,0,5,3,0,0,29,4,7,9,111,12,10,5,4,0,160,4,0,0,7,0,0,0,0,0,7,0,3,0,3,0,0,0,0,0,10,0,0,3,7,5,0,0,0,0,20,0,3,0,6,0,3,3,0,3,13,0,0,0,10,17,30,98,103,39,300,0,0,3,12,0,0,0,0,0,15,0,0,8,18,0,0,0,0,0,23,0,0,0,0,3,0,0,0,0,0,0,7,17,56,0,3,0,0,0,90,0,0,0,0,0,0,0,0,0,0
2013,0,0,0,17,3,3,0,0,0,29,0,0,0,0,4,0,3,3,0,17,0,0,0,0,0,0,0,0,0,3,0,4,0,7,31,70,75,69,29,291,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,7,33,14,8,68,0,0,0,0,0,4,4,3,0,13,0,0,0,4,3,0,0,0,0,4,0,3,0,10,0,0,0,0,0,11,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,5,0,14,0,0,0,0,0,4,5,15,3,25,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,3,0,0,0,7,0,0,0,0,3,17,26,23,4,69
2014,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,6,0,0,0,3,0,0,0,0,0,3,0,4,0,7,9,36,29,22,8,115,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,15,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,15,0,0,0,0,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,6,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,6
2015,0,0,0,6,3,3,0,0,0,16,0,0,0,0,3,0,3,0,0,11,0,0,0,0,0,0,0,0,0,6,0,6,8,22,41,48,54,38,18,238,0,0,0,3,0,5,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,12,3,0,26,0,0,0,0,0,3,0,0,0,6,0,0,3,6,0,0,0,0,0,7,0,6,0,46,0,5,3,3,0,63,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,3,0,0,12,0,0,0,0,0,4,9,9,3,23,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,5,0,13,3,11,3,0,0,37,0,0,0,0,0,0,4,0,0,6
2016,0,5,8,41,16,6,8,0,0,81,0,0,0,0,3,0,8,0,0,16,0,5,0,0,0,0,0,0,0,12,0,9,11,43,37,75,86,55,19,336,0,4,4,16,0,0,0,0,0,21,0,0,0,0,0,7,0,0,0,3,0,0,0,7,3,5,13,4,0,41,0,0,3,3,3,5,19,30,8,81,0,0,5,15,0,0,0,0,0,28,13,30,38,356,44,33,17,3,0,534,0,0,0,15,0,0,0,0,0,18,3,23,10,18,0,0,0,0,0,58,3,11,43,126,36,5,4,0,0,226,0,4,0,5,9,3,4,0,0,28,0,0,0,6,13,52,96,87,61,314,0,0,0,4,0,0,0,0,0,10,0,0,0,11,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,6,0,0,8,61,12,12,3,0,0,97,0,0,0,0,0,0,6,0,0,6
2017,0,0,0,8,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,8,12,11,8,6,3,50,0,0,0,3,3,0,0,0,0,7,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,5,3,3,4,55,3,6,3,0,0,78,0,0,3,9,4,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,5,0,0,0,0,0,7,22,28,7,70,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,3,3,0,19,0,0,0,0,0,28,0,0,0,0,0,3,0,0,0,3
2018,0,0,11,43,19,8,3,0,0,89,0,0,0,0,3,0,4,0,0,14,0,5,0,3,0,0,0,4,0,15,7,11,8,27,56,107,157,109,53,528,0,0,0,8,0,0,0,0,0,13,0,0,0,0,4,4,0,7,0,12,0,0,0,3,9,21,62,28,10,134,0,0,0,0,3,3,11,14,0,37,0,3,0,3,0,3,0,0,0,9,0,11,10,71,13,8,0,3,0,117,0,0,0,8,0,4,4,3,0,15,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,4,3,5,5,10,3,25,0,0,0,0,17,47,75,86,40,260,0,0,0,3,4,0,0,0,0,8,0,0,0,8,0,5,0,0,0,8,0,0,0,0,3,0,0,0,0,3,0,5,4,14,7,7,3,0,0,41,0,0,0,3,0,13,31,10,12,76
2019,0,0,3,8,4,0,0,0,0,15,0,0,0,0,0,0,3,0,0,6,0,3,0,3,0,0,0,0,0,3,0,3,5,14,22,33,44,23,18,168,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,5,0,0,0,0,3,0,21,9,9,42,0,0,0,0,0,3,3,0,0,11,0,0,0,3,0,0,0,0,0,5,0,4,0,22,0,0,3,0,0,39,0,0,0,3,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,7,21,37,42,27,133,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,0,0,0,15,0,0,0,0,0,3,0,0,0,3
2020,0,3,4,14,12,3,0,0,0,44,0,0,0,0,3,8,3,0,0,12,0,0,0,0,0,0,5,0,0,6,3,20,19,71,117,142,177,102,37,682,0,0,0,8,3,3,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,11,10,9,36,19,3,80,0,0,0,0,0,3,3,4,0,11,0,0,3,3,3,0,0,0,0,7,3,4,3,39,4,0,7,0,0,70,0,0,0,3,3,0,0,0,0,6,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,8,6,4,3,33,0,0,0,0,5,5,11,23,3,43,0,0,0,10,0,0,0,0,0,7,0,0,0,5,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,3,3,0,0,25,0,0,0,0,0,0,4,3,0,6
2021,0,5,9,40,14,5,3,0,0,69,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,3,0,0,13,0,16,5,44,40,51,75,36,23,286,0,0,3,3,0,0,0,0,0,9,0,3,3,0,4,0,0,0,0,9,0,0,0,0,0,5,3,6,3,17,0,0,0,0,0,0,0,0,0,6,0,0,3,7,3,0,0,0,0,17,0,7,3,28,3,3,0,0,0,42,0,3,0,12,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,10,0,8,7,0,0,37,0,0,0,0,0,4,0,0,0,8,0,0,0,7,3,0,0,0,0,13,0,0,7,14,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,3,0,0,0,11,6,3,0,0,0,16,0,0,0,0,3,0,5,0,0,10
