SUA_CODE_2016,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
2010,5433,5962,4261,984,1609,380,18626,1270,1167,1160,207,499,40,4339,2412,2294,2185,495,1092,109,8579,2000,2233,2005,508,1001,86,7833,3021,3722,3283,906,1623,157,12705,4235,5991,4435,1417,2215,237,18534,5775,9876,5746,1947,2682,289,26322,7313,13499,6198,2532,2943,373,32857,7997,16956,5878,2439,2598,383,36256,9239,19698,6080,2375,2442,430,40272,7477,16454,4104,1555,1443,317,31351,13339,29256,9082,2369,2411,562,57015,5698,12093,2714,854,750,170,22269,5292,11074,2607,679,598,170,20425,8290,17129,4516,1129,1037,259,32360,11379,25788,7277,1475,1357,358,47637,4337,10531,2986,587,564,149,19150,3436,9908,2764,623,526,133,17389,4747,8790,4774,1137,1701,376,21532,112700,222417,82067,24216,29085,4971,475451
2011,51,58,30,9,11,5,167,29,17,29,4,13,3,94,46,34,32,13,28,3,156,44,35,34,4,26,3,147,85,75,44,31,35,6,281,113,128,79,51,66,3,452,160,276,125,74,77,10,713,261,493,132,110,96,10,1099,254,486,108,83,52,16,996,277,559,130,69,47,8,1082,170,349,76,41,22,7,659,197,371,111,45,21,8,746,61,137,27,13,6,3,251,33,69,15,0,3,0,126,51,144,51,12,8,0,261,65,111,41,12,13,4,237,19,38,14,4,3,0,82,14,27,4,3,4,4,52,76,127,69,30,29,7,340,1996,3520,1168,603,569,92,7943
2012,61,37,22,3,9,0,138,19,11,11,0,8,0,59,62,27,32,5,12,0,137,37,47,23,17,19,0,141,121,106,55,34,36,5,357,164,202,104,64,44,8,576,191,288,98,62,55,4,702,203,303,105,51,30,9,693,156,253,59,21,28,4,506,107,268,64,29,13,0,483,66,111,39,11,9,0,232,80,171,64,9,8,0,336,20,53,11,0,0,0,93,17,41,11,0,0,0,69,27,60,28,6,3,0,115,33,63,26,3,0,0,127,11,22,6,3,4,0,51,15,16,8,0,0,0,38,65,102,47,5,14,4,234,1442,2174,813,334,289,40,5091
2013,12,3,4,5,4,0,31,13,3,6,0,0,0,17,29,14,10,4,12,3,80,29,13,9,7,13,0,72,49,56,27,20,24,0,173,62,89,29,24,14,0,217,70,85,40,15,17,3,242,56,90,26,12,5,3,200,33,59,13,14,7,0,131,29,48,22,4,10,0,106,5,26,10,6,0,0,45,27,39,21,7,3,0,91,3,17,4,0,0,0,21,3,8,0,0,0,0,11,10,7,6,0,5,0,26,11,11,3,0,0,0,22,3,4,0,0,0,0,15,4,3,0,0,0,0,11,23,18,17,9,8,4,75,477,596,258,120,123,13,1588
2014,16,7,5,4,0,0,33,0,7,3,0,0,0,18,14,0,4,0,5,0,28,20,12,8,4,5,0,38,30,21,10,10,15,0,79,31,28,17,10,9,0,98,38,71,22,13,11,0,153,37,68,25,9,8,0,139,33,55,11,10,5,0,116,17,39,20,0,0,0,84,13,21,4,0,3,0,42,17,30,10,3,0,0,55,4,8,0,0,0,0,14,3,0,0,0,0,0,5,8,9,4,3,0,0,20,9,11,7,0,3,0,32,4,3,0,0,0,0,6,3,3,0,0,0,0,7,20,13,13,3,7,3,57,320,409,165,70,80,6,1047
2015,15,15,10,0,5,0,44,11,0,3,0,3,0,13,12,8,13,3,4,0,39,7,15,11,6,4,0,46,33,22,5,5,8,0,76,36,43,20,9,18,0,131,58,55,12,18,10,0,152,52,79,26,13,13,0,182,34,88,16,7,12,3,158,36,77,17,12,4,0,141,19,42,15,3,0,0,83,30,62,11,0,4,0,108,11,14,0,0,3,0,22,4,13,9,0,0,0,26,17,39,7,0,0,0,59,3,29,3,0,3,0,45,3,3,4,0,0,0,8,3,7,0,0,0,0,15,8,21,5,0,3,0,49,390,622,189,81,101,12,1394
2016,52,45,26,10,7,0,130,18,14,13,0,7,0,53,38,31,21,9,10,3,105,38,38,14,7,9,0,117,96,81,41,41,26,3,291,127,174,68,50,45,3,465,150,222,83,51,48,0,545,181,283,106,64,45,4,673,136,255,62,37,17,5,518,127,277,66,42,13,7,524,49,153,57,7,14,0,282,100,193,51,16,13,0,374,29,45,14,8,3,3,93,19,27,11,0,0,0,58,27,81,22,8,5,0,143,27,69,17,9,3,0,128,8,27,9,0,3,0,50,10,11,5,0,0,0,30,66,87,28,14,12,0,209,1291,2131,702,364,277,36,4791
2017,7,6,8,0,3,0,21,0,3,3,0,0,0,6,7,7,5,4,0,0,26,9,5,3,0,3,0,20,27,26,13,12,5,3,82,37,40,21,5,10,6,122,38,59,12,12,11,0,131,37,57,21,15,3,0,136,29,44,14,4,0,0,97,30,48,19,4,3,0,97,6,21,7,3,5,0,40,17,45,12,0,0,0,79,6,14,0,3,0,0,22,0,3,3,0,0,0,8,5,9,8,0,0,0,20,7,23,3,0,0,0,23,3,6,0,0,0,0,6,0,3,0,0,0,0,12,21,20,10,3,3,0,48,287,434,149,64,53,16,1004
2018,43,21,9,0,3,0,85,21,19,3,8,6,0,58,54,30,19,14,8,0,122,51,27,15,17,17,0,130,86,90,53,35,44,0,308,148,140,74,61,43,3,472,156,213,66,60,41,8,536,128,195,80,45,31,0,477,138,181,51,37,22,0,436,85,174,46,22,22,9,362,53,130,31,15,10,0,243,87,179,43,8,5,4,327,24,67,5,4,0,0,99,14,18,5,3,0,0,36,36,74,26,0,0,0,137,27,50,16,3,0,0,96,14,14,7,3,0,0,46,9,13,0,0,0,0,24,32,66,25,15,13,3,154,1208,1691,604,340,281,31,4153
2019,26,5,13,3,7,0,49,12,6,0,0,3,0,21,24,12,4,4,10,5,60,17,9,15,4,5,0,47,29,29,20,12,16,0,104,51,68,23,28,18,0,187,59,97,24,30,19,0,230,78,129,29,26,10,0,274,61,105,16,15,8,4,208,47,93,33,10,4,3,190,17,57,17,3,0,3,94,36,68,21,0,4,0,133,19,14,8,0,0,0,43,13,9,0,0,0,0,27,10,28,12,3,0,0,52,11,23,5,0,0,0,37,0,11,0,0,0,0,11,3,3,0,0,0,0,10,21,28,11,11,3,0,71,529,799,250,141,116,17,1856
2020,61,32,25,7,12,0,143,18,6,3,0,3,0,28,44,16,26,3,3,0,90,25,23,14,9,7,0,73,44,37,30,18,26,3,156,64,83,55,21,26,0,255,112,145,68,40,29,0,396,109,219,74,32,25,0,459,103,233,51,20,23,0,440,123,226,59,28,19,4,462,87,134,37,6,9,3,278,94,182,71,11,7,3,368,31,78,16,9,5,0,141,19,35,12,6,0,0,78,46,107,28,6,3,0,194,54,92,26,5,6,0,178,20,30,12,0,0,0,61,10,19,10,3,0,0,40,48,48,50,13,17,0,177,1124,1749,664,237,221,24,4017
2021,44,33,13,5,7,0,107,11,15,4,0,9,0,38,30,21,14,3,9,0,80,18,12,4,3,9,0,56,42,38,33,14,18,0,141,51,89,56,24,25,3,240,82,122,55,27,14,3,308,99,196,68,39,24,4,419,103,193,44,21,16,5,388,111,191,53,30,15,3,401,59,157,25,10,3,0,259,76,147,48,13,7,0,298,20,48,12,4,4,0,95,5,30,10,3,0,0,45,38,62,26,7,3,0,141,28,51,19,0,3,0,105,12,22,3,0,0,0,35,5,16,9,0,0,0,36,39,53,23,5,0,3,124,889,1496,529,199,165,36,3318
