SUA_CODE_2016,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
2010,56576,109733,264560,228713,215023,132345,26952,2310,439,1036652,65123,41641,74029,68188,60734,91949,135668,93469,47115,677907,5528,9006,22200,16002,14324,12472,10990,9056,6992,106564,127227,160384,360791,312904,290080,236763,173605,104837,54543,1821126,11353,86297,368256,317251,289696,168929,27056,1805,361,1271003,67643,99633,126868,128411,118420,90459,34569,4429,529,670966,2755,4923,18775,13796,9037,9016,2966,380,73,61717,2297,5184,10523,7536,6834,4168,1424,455,172,38591,84049,196031,524424,466991,423981,272576,66010,7072,1142,2042271,4225,12137,21890,15356,13791,8811,657,62,25,76949,20265,16612,12063,8860,7136,5621,1288,148,29,72009,24485,28745,33957,24219,20926,14427,1942,213,47,148960,108532,224779,558379,491210,444906,287005,67956,7282,1193,2191237,138790,80829,107549,93001,90693,144776,240458,166601,75164,1137871,11244,18417,44778,33160,29209,24664,20765,16077,10538,208848,258561,324024,710699,617372,564806,456448,329185,189963,86899,3537956
2011,870,1373,3211,2782,2369,1666,213,10,3,12499,826,496,1497,1268,989,1565,1837,703,302,9486,91,141,335,251,230,217,171,90,41,1568,1793,2007,5042,4301,3587,3453,2215,808,350,23553,323,1441,4469,4061,3298,2088,286,9,3,15971,935,871,1557,1501,1200,1107,271,16,0,7460,39,68,269,192,139,149,26,3,0,885,47,90,127,104,100,65,11,6,0,550,1339,2460,6427,5858,4738,3405,595,30,3,24867,141,290,392,296,220,145,5,0,0,1488,219,127,179,158,94,103,18,0,0,896,363,417,572,446,310,249,23,0,3,2385,1700,2882,6996,6305,5050,3655,617,31,4,27254,1794,808,1908,1734,1511,2395,3491,1347,474,15467,202,271,658,520,457,429,313,162,59,3067,3700,3965,9565,8557,7016,6479,4430,1541,541,45789
2012,822,1057,2057,2153,2462,1837,381,35,7,10802,635,325,822,645,682,1133,2024,1435,671,8362,109,133,255,195,233,274,257,213,119,1794,1563,1519,3134,2987,3377,3247,2653,1675,795,20954,282,1117,2632,2627,3101,2261,365,46,4,12434,930,639,1162,1276,1299,1188,453,49,9,7011,55,59,184,104,122,169,55,3,3,767,36,49,103,86,82,76,25,17,4,476,1305,1864,4088,4098,4604,3693,895,113,26,20681,108,194,253,181,177,108,12,0,0,1033,202,87,109,84,71,79,17,3,0,651,306,283,360,265,248,187,31,3,0,1689,1610,2142,4449,4368,4853,3887,923,119,26,22366,1431,551,1117,979,1182,2009,3797,2514,1075,14660,228,280,565,415,504,563,518,375,175,3622,3271,2975,6132,5758,6536,6454,5239,3002,1275,40649
2013,227,387,654,593,735,544,109,14,0,3256,204,129,264,247,305,566,796,563,311,3401,25,44,68,50,71,89,77,52,39,513,460,555,986,891,1106,1194,977,632,354,7166,78,392,735,666,785,582,89,8,3,3338,275,236,395,404,492,405,117,14,0,2341,9,14,59,28,46,77,8,3,0,255,18,22,19,22,24,31,8,6,0,152,389,667,1205,1122,1350,1096,225,28,5,6085,58,107,111,105,90,78,0,4,0,553,47,43,59,37,34,37,7,0,0,260,103,153,167,141,125,120,8,0,0,812,486,818,1371,1268,1473,1214,231,34,5,6901,447,205,373,378,515,967,1517,1006,471,5881,58,84,141,111,154,173,162,103,57,1039,990,1104,1882,1754,2145,2350,1906,1141,537,13818
2014,179,177,332,465,534,431,85,12,4,2218,116,71,170,143,171,370,449,315,185,1993,21,19,39,43,42,70,61,50,26,373,319,265,539,655,751,872,594,378,217,4582,52,193,397,525,688,469,72,17,0,2403,213,134,208,319,341,339,111,16,4,1683,14,13,49,33,51,67,17,0,0,240,17,13,21,20,17,16,5,3,0,120,290,347,679,899,1098,884,203,39,3,4446,26,48,38,42,34,35,3,0,0,220,34,19,18,17,21,15,0,0,0,115,60,62,54,52,51,43,6,0,0,340,355,412,732,953,1153,934,213,39,3,4788,283,107,221,211,293,612,887,576,287,3482,41,54,77,88,101,123,113,95,40,727,678,572,1034,1249,1542,1667,1209,704,333,8988
2015,251,268,666,644,713,545,91,9,3,3192,165,83,239,203,243,370,609,424,265,2595,15,32,61,59,79,83,55,58,28,461,427,385,966,903,1036,997,755,490,297,6250,72,314,872,786,843,606,96,8,0,3593,302,195,352,394,426,388,100,16,4,2183,8,13,76,53,54,45,16,3,0,263,16,15,23,21,21,19,3,0,3,115,399,537,1324,1257,1337,1052,212,31,10,6155,31,45,44,50,56,35,8,0,0,259,68,21,35,17,14,21,4,0,0,182,94,67,82,70,69,52,11,0,0,445,489,602,1414,1324,1404,1109,224,31,10,6600,371,147,309,283,351,610,1111,755,400,4330,40,61,129,129,149,149,109,109,43,915,901,808,1845,1743,1906,1860,1439,885,448,11842
2016,857,971,2148,2134,2347,1694,324,24,7,10519,675,398,888,755,677,1100,1846,1289,629,8253,103,104,266,216,240,235,247,173,140,1723,1639,1477,3296,3106,3271,3032,2423,1482,780,20494,276,1097,2900,2662,2966,2071,353,28,3,12350,978,585,1120,1284,1317,1141,421,52,10,6903,53,68,180,131,142,167,42,6,0,789,57,56,90,82,72,43,33,6,9,456,1362,1812,4282,4165,4497,3425,845,94,20,20507,104,170,228,166,154,72,3,0,0,896,236,88,92,88,72,56,7,0,0,638,343,255,322,255,225,131,4,0,3,1540,1706,2068,4608,4418,4718,3554,852,94,25,22043,1462,644,1277,1168,1176,1820,3343,2349,998,14230,207,221,542,439,508,474,480,309,195,3373,3374,2934,6431,6027,6404,5844,4677,2751,1210,39647
2017,184,243,488,451,487,398,65,11,0,2317,127,66,160,128,108,184,419,399,202,1805,41,25,61,60,66,64,65,54,39,476,354,333,704,643,667,647,550,463,243,4602,73,308,706,575,637,468,59,12,0,2837,223,139,257,264,278,265,90,9,0,1530,15,14,39,24,34,41,18,3,0,190,5,15,24,14,12,22,4,7,0,108,322,476,1019,884,970,796,165,31,4,4666,17,29,34,38,23,10,3,0,0,154,20,10,13,23,14,9,3,0,0,86,36,35,47,52,36,19,4,0,0,236,356,513,1073,935,1003,818,174,31,5,4899,274,100,218,198,180,319,742,662,314,3003,64,67,128,123,133,124,134,104,65,944,702,676,1414,1257,1320,1255,1049,792,385,8849
2018,592,946,1902,1782,1800,1323,233,31,3,8616,454,290,686,487,665,1109,1675,1160,540,7074,89,103,243,180,210,204,199,204,137,1560,1133,1344,2827,2445,2670,2639,2108,1393,679,17251,174,910,2431,2038,2251,1554,222,15,4,9608,712,613,986,1102,1084,914,295,51,0,5752,33,57,180,115,116,163,40,8,0,710,29,46,70,53,47,42,23,7,3,315,946,1622,3671,3300,3505,2673,577,80,8,16376,106,211,253,201,187,170,4,0,0,1130,146,79,102,111,57,65,9,0,0,572,257,286,357,304,248,230,18,3,0,1701,1199,1909,4027,3612,3748,2902,592,79,6,18079,976,488,917,761,1070,1813,3043,2062,860,11986,177,214,445,340,411,448,384,335,197,2945,2348,2615,5390,4712,5228,5166,4014,2473,1068,33011
2019,332,354,754,836,933,779,127,16,0,4142,176,95,225,228,224,447,931,716,388,3436,40,30,52,60,71,68,95,108,174,711,554,487,1031,1120,1237,1293,1162,843,570,8290,110,373,956,946,1138,802,88,12,0,4430,403,235,420,562,561,549,176,18,4,2927,25,24,62,51,63,79,21,4,0,335,19,20,36,20,31,23,10,3,0,166,558,655,1469,1583,1793,1449,296,39,10,7862,26,56,48,50,52,44,0,0,0,278,45,15,30,37,17,26,7,0,0,166,62,75,77,81,67,73,13,0,0,447,622,729,1545,1672,1863,1522,307,39,10,8308,394,165,325,336,370,741,1638,1222,592,5791,75,63,101,128,134,153,157,181,257,1255,1094,959,1977,2132,2366,2415,2110,1446,856,15346
2020,562,703,1476,1443,1816,1343,250,43,4,7633,476,174,498,488,471,872,1702,963,452,6103,46,59,109,130,152,144,164,126,86,1018,1080,935,2086,2062,2443,2359,2114,1130,542,14752,233,813,2029,1773,2211,1510,278,45,10,8891,649,444,798,931,1100,982,362,67,4,5335,26,35,162,84,109,144,40,12,0,613,22,24,53,39,61,55,22,4,0,292,934,1321,3036,2829,3483,2687,703,121,17,15136,54,102,89,77,88,87,3,0,0,496,147,59,55,47,41,52,8,0,0,409,198,158,138,124,127,135,8,0,0,910,1130,1483,3181,2956,3619,2828,711,122,18,16041,981,301,648,678,687,1357,3021,1846,679,10198,91,118,223,249,299,282,303,228,135,1926,2197,1898,4050,3874,4605,4471,4033,2198,835,28164
2021,703,827,1541,1586,1901,1347,223,27,4,8153,352,181,424,374,358,773,1422,985,527,5405,72,64,129,123,152,152,169,147,101,1113,1119,1072,2099,2079,2409,2278,1809,1165,633,14664,224,903,2000,1797,2174,1449,195,17,3,8747,914,617,911,1089,1166,1005,305,39,7,6057,26,51,168,114,136,137,40,3,7,679,35,45,47,53,51,39,20,10,0,300,1203,1618,3116,3052,3526,2629,548,68,16,15780,56,97,110,72,61,53,0,0,0,462,123,57,49,55,52,57,9,3,0,403,184,158,161,127,108,102,14,4,0,868,1383,1773,3282,3178,3639,2733,563,74,16,16645,735,318,577,546,566,1275,2562,1686,820,9087,139,149,251,245,317,294,306,247,145,2095,2263,2240,4110,3977,4521,4307,3436,2009,978,27830
