SUA_CODE_2016,F_ID_NS_0,F_ID_NS_1_15,F_ID_NS_16_24,F_ID_NS_25_34,F_ID_NS_35_39,F_ID_NS_40,F_ID_NS_41_48,F_ID_NS_49over,F_ID_NS_hours_NS,F_ID_NS_Tot,F_Tot_0,F_Tot_1_15,F_Tot_16_24,F_Tot_25_34,F_Tot_35_39,F_Tot_40,F_Tot_41_48,F_Tot_49over,F_Tot_hours_NS,F_Tot_Tot,P_AgriForestFish_0,P_AgriForestFish_1_15,P_AgriForestFish_16_24,P_AgriForestFish_25_34,P_AgriForestFish_35_39,P_AgriForestFish_40,P_AgriForestFish_41_48,P_AgriForestFish_49over,P_AgriForestFish_hours_NS,P_AgriForestFish_Tot,P_Min_0,P_Min_1_15,P_Min_16_24,P_Min_25_34,P_Min_35_39,P_Min_40,P_Min_41_48,P_Min_49over,P_Min_hours_NS,P_Min_Tot,P_Mnfg_0,P_Mnfg_1_15,P_Mnfg_16_24,P_Mnfg_25_34,P_Mnfg_35_39,P_Mnfg_40,P_Mnfg_41_48,P_Mnfg_49over,P_Mnfg_hours_NS,P_Mnfg_Tot,P_EGW_WS_0,P_EGW_WS_1_15,P_EGW_WS_16_24,P_EGW_WS_25_34,P_EGW_WS_35_39,P_EGW_WS_40,P_EGW_WS_41_48,P_EGW_WS_49over,P_EGW_WS_hours_NS,P_EGW_WS_Tot,P_Cnstn_0,P_Cnstn_1_15,P_Cnstn_16_24,P_Cnstn_25_34,P_Cnstn_35_39,P_Cnstn_40,P_Cnstn_41_48,P_Cnstn_49over,P_Cnstn_hours_NS,P_Cnstn_Tot,P_WTrade_0,P_WTrade_1_15,P_WTrade_16_24,P_WTrade_25_34,P_WTrade_35_39,P_WTrade_40,P_WTrade_41_48,P_WTrade_49over,P_WTrade_hours_NS,P_WTrade_Tot,P_RTrade_0,P_RTrade_1_15,P_RTrade_16_24,P_RTrade_25_34,P_RTrade_35_39,P_RTrade_40,P_RTrade_41_48,P_RTrade_49over,P_RTrade_hours_NS,P_RTrade_Tot,P_AccomFoodS_0,P_AccomFoodS_1_15,P_AccomFoodS_16_24,P_AccomFoodS_25_34,P_AccomFoodS_35_39,P_AccomFoodS_40,P_AccomFoodS_41_48,P_AccomFoodS_49over,P_AccomFoodS_hours_NS,P_AccomFoodS_Tot,P_TransPostWhse_0,P_TransPostWhse_1_15,P_TransPostWhse_16_24,P_TransPostWhse_25_34,P_TransPostWhse_35_39,P_TransPostWhse_40,P_TransPostWhse_41_48,P_TransPostWhse_49over,P_TransPostWhse_hours_NS,P_TransPostWhse_Tot,P_InfoMedTelecom_0,P_InfoMedTelecom_1_15,P_InfoMedTelecom_16_24,P_InfoMedTelecom_25_34,P_InfoMedTelecom_35_39,P_InfoMedTelecom_40,P_InfoMedTelecom_41_48,P_InfoMedTelecom_49over,P_InfoMedTelecom_hours_NS,P_InfoMedTelecom_Tot,P_FinInsurS_0,P_FinInsurS_1_15,P_FinInsurS_16_24,P_FinInsurS_25_34,P_FinInsurS_35_39,P_FinInsurS_40,P_FinInsurS_41_48,P_FinInsurS_49over,P_FinInsurS_hours_NS,P_FinInsurS_Tot,P_RentHirREserv_0,P_RentHirREserv_1_15,P_RentHirREserv_16_24,P_RentHirREserv_25_34,P_RentHirREserv_35_39,P_RentHirREserv_40,P_RentHirREserv_41_48,P_RentHirREserv_49over,P_RentHirREserv_hours_NS,P_RentHirREserv_Tot,P_ProScieTechServ_0,P_ProScieTechServ_1_15,P_ProScieTechServ_16_24,P_ProScieTechServ_25_34,P_ProScieTechServ_35_39,P_ProScieTechServ_40,P_ProScieTechServ_41_48,P_ProScieTechServ_49over,P_ProScieTechServ_hours_NS,P_ProScieTechServ_Tot,P_AdminSupServ_0,P_AdminSupServ_1_15,P_AdminSupServ_16_24,P_AdminSupServ_25_34,P_AdminSupServ_35_39,P_AdminSupServ_40,P_AdminSupServ_41_48,P_AdminSupServ_49over,P_AdminSupServ_hours_NS,P_AdminSupServ_Tot,P_PubAdmiSafety_0,P_PubAdmiSafety_1_15,P_PubAdmiSafety_16_24,P_PubAdmiSafety_25_34,P_PubAdmiSafety_35_39,P_PubAdmiSafety_40,P_PubAdmiSafety_41_48,P_PubAdmiSafety_49over,P_PubAdmiSafety_hours_NS,P_PubAdmiSafety_Tot,P_EducTrain_0,P_EducTrain_1_15,P_EducTrain_16_24,P_EducTrain_25_34,P_EducTrain_35_39,P_EducTrain_40,P_EducTrain_41_48,P_EducTrain_49over,P_EducTrain_hours_NS,P_EducTrain_Tot,P_HealthCareSocA_0,P_HealthCareSocA_1_15,P_HealthCareSocA_16_24,P_HealthCareSocA_25_34,P_HealthCareSocA_35_39,P_HealthCareSocA_40,P_HealthCareSocA_41_48,P_HealthCareSocA_49over,P_HealthCareSocA_hours_NS,P_HealthCareSocA_Tot,P_ArtRecServ_0,P_ArtRecServ_1_15,P_ArtRecServ_16_24,P_ArtRecServ_25_34,P_ArtRecServ_35_39,P_ArtRecServ_40,P_ArtRecServ_41_48,P_ArtRecServ_49over,P_ArtRecServ_hours_NS,P_ArtRecServ_Tot
2010,1367,5562,4299,4024,6079,5159,1470,2135,7890,37992,38481,153559,141955,145279,181954,147989,64590,74363,16369,964541,369,1247,1203,1282,2031,2157,939,1854,167,11239,258,132,162,152,439,971,521,1539,29,4199,3314,8472,8628,10009,44098,38160,19984,22374,1354,156394,608,567,866,1111,5699,5750,2504,3192,154,20447,3714,7862,9028,12107,25524,50369,19763,33496,2280,164141,1659,4079,4748,5069,17385,18855,8753,11329,475,72350,5873,46307,29488,25738,35968,27264,14547,19698,2296,207184,3243,39798,23727,15527,15386,12516,7781,13152,2062,133192,3149,5366,7338,9894,20265,22662,12031,17671,1374,99751,1207,3028,2853,3179,10234,12233,5081,6836,364,45026,3289,3066,5796,6864,19140,29247,10099,14920,658,93073,863,2859,2782,2843,6397,7864,3991,7229,313,35137,4871,14664,14222,15833,31760,50992,20606,33509,1211,187669,1995,11299,11237,9397,14235,12248,5085,6778,900,73171,5090,5771,7997,9546,27287,22742,12235,10345,783,101792,5591,27907,22379,21962,31473,25890,15354,24716,1402,176673,10812,26847,38650,48688,47198,36978,15030,18889,2398,245482,1307,10176,4893,4929,5832,6531,3053,4954,444,42125
2011,15,61,44,50,92,67,19,14,107,476,530,1723,1556,1881,2490,1681,619,624,203,11314,0,18,12,12,31,34,14,31,0,149,3,0,0,4,13,12,10,36,0,76,59,78,90,117,634,497,274,254,12,2023,13,6,11,17,103,99,30,59,4,342,60,99,121,198,478,845,336,478,39,2652,27,36,46,56,264,213,137,116,7,904,103,572,378,386,616,357,168,214,38,2817,41,497,194,181,172,138,73,80,20,1385,81,105,133,228,542,664,353,606,38,2764,14,23,23,26,102,72,31,26,5,317,51,29,57,62,189,204,53,38,6,688,17,16,25,21,88,82,44,66,0,350,34,79,77,85,212,262,85,88,17,950,35,126,105,127,209,151,61,68,9,903,70,100,115,128,408,378,158,148,16,1509,70,168,200,264,376,236,134,174,7,1638,119,263,395,591,602,373,109,169,31,2651,18,97,48,55,61,54,23,45,12,407
2012,15,50,33,40,45,35,4,20,84,322,458,1674,1381,1827,2055,1196,548,733,197,10074,45,153,121,204,238,337,124,425,33,1679,15,3,0,8,15,28,19,104,8,194,32,81,42,88,284,330,158,195,6,1222,10,8,6,13,77,99,33,35,0,280,24,68,47,118,227,457,196,296,31,1457,10,34,26,33,131,113,89,105,6,549,104,620,312,377,524,260,173,179,30,2578,58,482,235,203,223,108,80,180,27,1588,39,72,56,69,130,167,100,292,15,939,4,31,7,19,67,43,21,17,3,215,19,19,30,39,74,84,27,51,3,348,6,24,19,23,67,34,27,52,3,247,31,68,57,81,171,128,81,124,3,743,26,131,114,108,199,146,57,101,22,895,71,50,94,107,318,294,143,90,12,1178,55,198,220,292,384,212,184,294,22,1855,144,232,395,571,700,379,163,184,27,2799,7,79,10,39,34,32,14,11,3,234
2013,3,12,5,7,13,4,6,3,36,91,149,600,524,528,507,280,128,127,76,2920,4,13,7,23,21,20,10,25,4,128,13,3,4,3,14,13,16,29,0,96,9,33,28,32,106,94,69,48,6,415,17,6,16,23,138,106,57,66,3,424,17,35,31,32,98,191,66,120,5,590,0,8,5,9,22,17,17,9,0,99,22,180,99,112,134,65,44,41,15,722,16,173,50,47,49,23,26,27,9,414,7,15,17,22,42,43,18,46,0,219,0,9,8,5,10,12,6,7,0,47,5,8,17,16,41,17,5,5,3,120,3,8,6,7,26,8,8,12,0,78,17,25,23,17,32,37,17,33,0,195,8,38,28,30,42,13,13,9,0,187,23,46,47,52,113,51,25,28,3,405,15,71,71,80,90,61,37,33,7,461,59,114,190,217,140,83,37,35,14,901,3,28,7,9,9,7,3,3,0,72
2014,8,12,6,7,7,3,3,3,25,65,127,406,365,398,277,203,97,142,49,2074,0,14,10,20,30,35,13,51,9,182,0,0,0,0,0,0,0,3,0,10,38,24,29,33,152,174,185,93,7,731,4,0,7,0,18,8,7,7,0,54,9,5,16,31,33,86,17,41,0,259,9,6,9,5,22,17,15,24,0,96,15,116,66,58,51,39,32,34,8,405,21,128,62,52,27,24,14,41,8,383,12,31,28,19,29,38,39,107,7,311,0,5,0,5,10,3,3,3,0,31,3,8,9,6,8,4,0,8,0,48,3,5,5,5,13,11,3,6,0,55,4,30,5,23,22,20,12,16,0,138,7,49,10,19,20,7,3,4,3,113,14,23,20,19,58,59,19,14,8,237,11,43,51,66,38,44,26,53,8,339,65,73,127,151,83,78,21,35,10,645,3,22,4,3,11,3,0,3,0,47
2015,0,12,6,11,9,6,0,3,21,74,143,546,520,505,443,388,160,222,51,2981,10,19,29,24,34,34,31,60,0,246,18,0,0,4,37,22,31,90,0,209,7,15,16,22,76,61,38,36,4,280,8,0,7,4,24,26,18,18,0,101,11,23,24,37,87,148,54,170,9,555,7,9,7,7,11,21,13,16,0,86,31,194,105,89,100,78,60,56,8,721,13,161,76,57,45,37,29,52,9,471,9,19,13,20,20,28,16,31,3,159,0,5,3,3,8,6,7,3,0,42,5,6,3,10,19,18,6,18,0,92,5,8,7,4,21,19,6,16,0,76,10,31,21,27,38,48,18,32,0,221,10,37,23,29,26,17,8,17,7,171,43,36,24,36,164,167,119,105,8,702,17,84,73,105,78,77,45,85,7,572,63,83,174,201,148,168,43,63,9,947,5,20,10,9,11,6,0,4,0,68
2016,22,36,38,33,46,35,19,9,88,328,456,1578,1429,1811,1905,1268,595,624,193,9855,37,65,88,109,165,203,98,163,20,958,3,0,0,0,4,7,9,17,0,39,72,94,91,130,501,460,302,289,23,1965,22,13,16,23,132,132,75,60,4,480,44,75,89,110,322,556,201,295,28,1710,14,32,37,36,89,123,58,75,7,467,77,585,274,385,474,254,184,219,23,2471,36,454,142,154,132,108,70,136,15,1258,30,77,57,69,125,153,86,228,3,836,11,29,16,21,61,43,20,25,3,236,12,25,27,36,88,66,36,52,3,356,11,20,20,27,56,41,22,35,3,229,20,78,66,85,223,171,87,123,3,864,25,110,73,102,135,123,52,57,6,674,55,60,61,102,221,205,95,86,3,889,53,164,202,244,380,247,193,239,9,1725,189,269,506,754,624,524,185,215,47,3323,11,64,18,19,16,18,20,16,5,190
2017,5,18,6,10,6,10,3,0,19,70,104,398,300,383,427,304,122,136,48,2218,8,24,21,31,35,76,28,79,11,303,3,0,0,0,3,0,3,9,3,17,14,36,24,43,90,89,57,53,4,409,3,0,4,0,5,23,0,11,0,45,14,24,11,25,67,97,41,57,6,346,6,4,7,12,25,47,26,33,3,157,20,122,62,71,111,63,52,67,12,567,12,140,54,49,45,35,14,48,3,401,10,14,14,15,42,27,19,53,7,204,0,6,0,3,19,4,3,3,0,45,3,5,9,8,30,22,13,17,0,99,3,5,3,4,11,7,8,4,0,44,3,20,11,25,35,51,15,24,3,174,9,34,18,29,23,12,3,5,3,137,12,11,7,21,73,64,21,14,3,239,17,44,46,56,96,74,48,46,3,438,43,36,87,123,111,124,32,39,7,604,3,15,7,9,5,8,3,9,3,54
2018,14,29,23,18,20,19,3,6,60,184,401,1480,1274,1416,1422,835,429,503,122,7893,12,29,18,29,29,48,35,92,6,298,11,5,8,9,63,29,47,91,4,276,39,64,41,50,340,268,286,147,16,1250,54,28,44,42,314,186,122,138,3,930,51,57,64,90,202,454,145,344,10,1420,9,11,14,22,61,53,42,49,0,269,79,506,265,273,333,191,126,190,19,1988,41,459,161,152,135,86,58,111,16,1221,26,44,39,50,97,93,79,134,5,563,3,28,22,11,52,41,12,11,0,180,16,14,31,32,79,71,23,43,4,308,7,13,19,21,42,24,24,44,0,197,30,57,39,54,119,134,45,89,6,565,16,105,62,63,78,61,27,35,11,462,94,103,142,192,398,231,139,93,13,1406,52,174,147,178,204,118,123,195,9,1208,129,239,445,560,442,327,153,176,22,2478,6,66,13,17,19,10,9,15,3,162
2019,9,17,9,11,9,5,0,6,31,96,204,682,645,780,682,437,183,229,74,3930,6,16,15,21,16,25,24,27,6,151,0,0,0,0,0,7,0,3,0,12,18,38,38,61,203,216,84,120,7,788,3,0,4,6,21,7,16,12,0,64,12,29,29,49,88,184,73,106,7,580,11,13,17,17,33,39,20,32,5,187,47,210,123,148,147,128,75,73,17,973,15,218,96,80,79,43,21,63,13,632,12,22,33,43,51,49,33,86,4,321,0,13,11,9,26,23,7,13,0,93,7,8,13,18,35,27,17,19,0,140,4,13,3,6,15,11,16,13,0,84,3,26,30,39,47,38,31,39,3,249,18,73,35,30,79,32,19,13,5,302,31,23,40,57,133,124,54,43,0,497,27,65,82,87,139,95,65,76,10,651,105,123,235,363,232,175,67,113,15,1430,3,29,14,8,13,7,6,15,0,89
