SUA_CODE_2016,F_Health_Occ_Mng,F_Health_Occ_Pro,F_Health_Occ_TTW,F_Health_Occ_CPS,F_Health_Occ_CA,F_Health_Occ_Sal,F_Health_Occ_MOD,F_Health_Occ_Lab,F_Health_Occ_IDNS,F_Health_Total,F_Educat_Occ_Mng,F_Educat_Occ_Pro,F_Educat_Occ_TTW,F_Educat_Occ_CPS,F_Educat_Occ_CA,F_Educat_Occ_Sal,F_Educat_Occ_MOD,F_Educat_Occ_Lab,F_Educat_Occ_IDNS,F_Educat_Total,F_ManagCom_Occ_Mng,F_ManagCom_Occ_Pro,F_ManagCom_Occ_TTW,F_ManagCom_Occ_CPS,F_ManagCom_Occ_CA,F_ManagCom_Occ_Sal,F_ManagCom_Occ_MOD,F_ManagCom_Occ_Lab,F_ManagCom_Occ_IDNS,F_ManagCom_Total,F_SocietCultu_Occ_Mng,F_SocietCultu_Occ_Pro,F_SocietCultu_Occ_TTW,F_SocietCultu_Occ_CPS,F_SocietCultu_Occ_CA,F_SocietCultu_Occ_Sal,F_SocietCultu_Occ_MOD,F_SocietCultu_Occ_Lab,F_SocietCultu_Occ_IDNS,F_SocietCultu_Total,F_CreatArt_Occ_Mng,F_CreatArt_Occ_Pro,F_CreatArt_Occ_TTW,F_CreatArt_Occ_CPS,F_CreatArt_Occ_CA,F_CreatArt_Occ_Sal,F_CreatArt_Occ_MOD,F_CreatArt_Occ_Lab,F_CreatArt_Occ_IDNS,F_CreatArt_Total,F_FoodHospPersServ_Occ_Mng,F_FoodHospPersServ_Occ_Pro,F_FoodHospPersServ_Occ_TTW,F_FoodHospPersServ_Occ_CPS,F_FoodHospPersServ_Occ_CA,F_FoodHospPersServ_Occ_Sal,F_FoodHospPersServ_Occ_MOD,F_FoodHospPersServ_Occ_Lab,F_FoodHospPersServ_Occ_IDNS,F_FoodHospPersServ_Total,F_MixFieldProg_Occ_Mng,F_MixFieldProg_Occ_Pro,F_MixFieldProg_Occ_TTW,F_MixFieldProg_Occ_CPS,F_MixFieldProg_Occ_CA,F_MixFieldProg_Occ_Sal,F_MixFieldProg_Occ_MOD,F_MixFieldProg_Occ_Lab,F_MixFieldProg_Occ_IDNS,F_MixFieldProg_Total,F_FS_ID_Occ_Mng,F_FS_ID_Occ_Pro,F_FS_ID_Occ_TTW,F_FS_ID_Occ_CPS,F_FS_ID_Occ_CA,F_FS_ID_Occ_Sal,F_FS_ID_Occ_MOD,F_FS_ID_Occ_Lab,F_FS_ID_Occ_IDNS,F_FS_ID_Total,F_FS_NS_Occ_Mng,F_FS_NS_Occ_Pro,F_FS_NS_Occ_TTW,F_FS_NS_Occ_CPS,F_FS_NS_Occ_CA,F_FS_NS_Occ_Sal,F_FS_NS_Occ_MOD,F_FS_NS_Occ_Lab,F_FS_NS_Occ_IDNS,F_FS_NS_Total,F_Tot_Occ_Mng,F_Tot_Occ_Pro,F_Tot_Occ_TTW,F_Tot_Occ_CPS,F_Tot_Occ_CA,F_Tot_Occ_Sal,F_Tot_Occ_MOD,F_Tot_Occ_Lab,F_Tot_Occ_IDNS,F_Total_Total,P_NatPhySci_Occ_Mng,P_NatPhySci_Occ_Pro,P_NatPhySci_Occ_TTW,P_NatPhySci_Occ_CPS,P_NatPhySci_Occ_CA,P_NatPhySci_Occ_Sal,P_NatPhySci_Occ_MOD,P_NatPhySci_Occ_Lab,P_NatPhySci_Occ_IDNS,P_NatPhySci_Total,P_InfoTechn_Occ_Mng,P_InfoTechn_Occ_Pro,P_InfoTechn_Occ_TTW,P_InfoTechn_Occ_CPS,P_InfoTechn_Occ_CA,P_InfoTechn_Occ_Sal,P_InfoTechn_Occ_MOD,P_InfoTechn_Occ_Lab,P_InfoTechn_Occ_IDNS,P_InfoTechn_Total,P_EngRelTech_Occ_Mng,P_EngRelTech_Occ_Pro,P_EngRelTech_Occ_TTW,P_EngRelTech_Occ_CPS,P_EngRelTech_Occ_CA,P_EngRelTech_Occ_Sal,P_EngRelTech_Occ_MOD,P_EngRelTech_Occ_Lab,P_EngRelTech_Occ_IDNS,P_EngRelTech_Total,P_ArchitBuild_Occ_Mng,P_ArchitBuild_Occ_Pro,P_ArchitBuild_Occ_TTW,P_ArchitBuild_Occ_CPS,P_ArchitBuild_Occ_CA,P_ArchitBuild_Occ_Sal,P_ArchitBuild_Occ_MOD,P_ArchitBuild_Occ_Lab,P_ArchitBuild_Occ_IDNS,P_ArchitBuild_Total,P_AgriEnviRelStu_Occ_Mng,P_AgriEnviRelStu_Occ_Pro,P_AgriEnviRelStu_Occ_TTW,P_AgriEnviRelStu_Occ_CPS,P_AgriEnviRelStu_Occ_CA,P_AgriEnviRelStu_Occ_Sal,P_AgriEnviRelStu_Occ_MOD,P_AgriEnviRelStu_Occ_Lab,P_AgriEnviRelStu_Occ_IDNS,P_AgriEnviRelStu_Total,P_Health_Occ_Mng,P_Health_Occ_Pro,P_Health_Occ_TTW,P_Health_Occ_CPS,P_Health_Occ_CA,P_Health_Occ_Sal,P_Health_Occ_MOD,P_Health_Occ_Lab,P_Health_Occ_IDNS,P_Health_Total,P_Educat_Occ_Mng,P_Educat_Occ_Pro,P_Educat_Occ_TTW,P_Educat_Occ_CPS,P_Educat_Occ_CA,P_Educat_Occ_Sal,P_Educat_Occ_MOD,P_Educat_Occ_Lab,P_Educat_Occ_IDNS,P_Educat_Total,P_ManagCom_Occ_Mng,P_ManagCom_Occ_Pro,P_ManagCom_Occ_TTW,P_ManagCom_Occ_CPS,P_ManagCom_Occ_CA,P_ManagCom_Occ_Sal,P_ManagCom_Occ_MOD,P_ManagCom_Occ_Lab,P_ManagCom_Occ_IDNS,P_ManagCom_Total,P_SocietCultu_Occ_Mng,P_SocietCultu_Occ_Pro,P_SocietCultu_Occ_TTW,P_SocietCultu_Occ_CPS,P_SocietCultu_Occ_CA,P_SocietCultu_Occ_Sal,P_SocietCultu_Occ_MOD,P_SocietCultu_Occ_Lab,P_SocietCultu_Occ_IDNS,P_SocietCultu_Total,P_CreatArt_Occ_Mng,P_CreatArt_Occ_Pro,P_CreatArt_Occ_TTW,P_CreatArt_Occ_CPS,P_CreatArt_Occ_CA,P_CreatArt_Occ_Sal,P_CreatArt_Occ_MOD,P_CreatArt_Occ_Lab,P_CreatArt_Occ_IDNS,P_CreatArt_Total
2010,5076,69148,2937,18162,8482,3348,400,1607,723,109879,5990,50963,833,12233,6346,2255,227,1063,473,80374,31365,43427,2970,12447,59344,18120,1524,5393,2101,176690,11648,39327,2419,39030,19922,6947,768,3701,1375,125131,5151,16850,2297,3877,6139,5277,309,1007,417,41325,3850,1437,10892,8140,6617,5428,556,3002,399,40323,77,92,46,142,139,104,27,162,29,814,1900,3538,514,1706,2813,1217,128,506,328,12653,1025,1781,607,2266,2407,1727,307,1217,2152,13489,76199,257988,31476,103644,124074,50306,5376,21432,8974,679466,8999,24934,4725,3611,5783,3366,1085,2026,675,55208,13064,36860,7444,2740,7055,4006,2652,3406,1223,78456,29898,42498,69229,5391,11023,8139,16697,15636,2637,201149,12498,11342,45677,1582,3434,2715,3483,6751,964,88437,2953,2903,6360,1070,1770,1221,1130,2403,295,20101,7798,93641,4427,23368,9544,4298,1265,2731,1077,148132,9321,66713,1855,14085,7296,2958,995,1827,670,105733,76697,91541,10003,19401,81023,33742,10393,12977,4411,340193,20974,63032,5189,51018,25612,10230,3465,6873,2351,188754,9116,31130,6311,6124,8494,8246,1642,2920,776,74758
2011,29,455,45,278,105,23,10,14,0,954,53,530,5,244,49,30,4,14,5,934,210,209,40,125,755,225,33,68,23,1680,93,173,28,812,215,99,34,74,15,1544,26,36,14,19,35,22,0,3,4,155,54,19,150,112,111,84,16,63,6,607,0,0,0,0,3,0,0,0,0,10,5,11,3,14,18,10,3,4,3,80,15,16,10,41,34,37,7,24,24,213,529,1541,369,1682,1433,587,138,308,92,6683,42,74,58,22,40,19,16,13,5,296,66,185,61,22,63,24,43,33,10,513,263,201,1290,90,163,93,423,286,34,2846,104,31,772,17,37,29,129,168,26,1297,25,18,83,13,27,17,36,40,4,256,45,552,60,329,115,33,24,17,6,1191,67,670,21,277,62,32,21,26,5,1179,469,384,112,192,968,331,252,148,40,2897,156,242,60,1015,271,124,83,132,28,2093,34,85,45,25,47,42,23,20,6,334
2012,64,754,35,242,91,39,4,25,6,1263,74,669,15,135,54,23,0,22,3,997,171,187,17,101,608,177,8,84,11,1357,66,261,33,607,108,77,4,53,16,1220,10,57,5,21,18,21,0,8,3,151,54,11,140,90,90,78,0,55,8,524,0,0,0,0,3,4,0,0,0,7,7,15,5,16,7,3,0,5,3,65,12,25,13,36,33,55,3,30,24,236,500,2051,319,1280,1071,505,38,319,80,6157,47,82,26,12,22,5,8,21,0,217,21,31,31,11,12,10,0,12,0,126,270,145,941,45,57,92,223,179,26,1978,165,35,457,18,20,21,49,81,12,859,171,91,99,24,30,43,62,102,11,626,86,934,49,312,100,47,14,35,11,1586,124,903,22,164,62,23,9,35,8,1355,403,400,51,149,698,264,61,138,23,2185,113,363,50,782,126,90,17,89,22,1652,23,109,22,31,21,33,7,25,3,272
2013,10,175,13,90,20,3,0,3,0,310,10,145,0,44,20,6,0,0,0,230,37,50,10,36,187,50,3,22,9,402,17,65,4,264,40,17,3,23,8,442,7,13,5,3,9,5,0,0,0,41,7,11,54,35,14,20,0,23,0,165,0,0,0,0,0,0,0,5,0,9,0,4,0,5,7,0,0,0,0,13,8,5,3,15,7,9,0,4,6,69,106,481,112,493,325,133,8,90,29,1773,3,19,10,3,3,3,4,0,0,44,6,16,13,0,5,10,0,5,0,54,57,56,507,21,39,18,99,92,17,912,28,10,193,7,4,16,31,61,8,354,13,5,28,0,3,4,8,13,0,83,11,196,13,105,22,6,3,9,0,369,20,182,9,52,21,12,3,3,6,301,76,90,31,45,212,72,12,32,8,570,22,82,7,327,47,21,11,31,6,561,7,19,11,6,11,4,3,5,0,75
2014,11,165,10,70,20,12,0,10,0,297,26,119,0,28,8,3,0,5,3,189,22,36,13,24,98,26,3,11,0,234,12,54,6,149,27,7,0,22,0,289,0,10,3,3,5,0,0,0,0,18,10,3,33,25,20,19,0,19,0,135,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,0,0,0,9,4,3,3,10,3,4,3,11,5,44,101,407,73,320,189,78,12,81,10,1272,3,15,6,0,0,3,3,3,0,30,3,4,7,0,6,4,0,3,0,23,49,48,309,5,17,7,103,66,10,613,21,9,97,4,6,0,45,27,3,216,24,7,14,5,0,0,13,14,3,87,26,201,16,82,20,12,6,10,0,365,30,164,0,31,11,5,5,5,3,249,58,60,15,27,110,30,16,22,3,345,25,74,6,176,34,12,3,19,0,345,3,12,4,3,5,0,0,5,0,38
2015,17,292,18,78,22,7,0,5,6,446,13,202,0,58,14,5,0,4,0,296,56,68,7,29,159,47,0,28,0,401,32,76,10,162,37,24,6,19,3,365,7,22,0,15,7,4,0,3,3,57,18,5,46,42,22,17,0,16,0,158,0,0,0,0,0,0,0,3,0,5,0,3,0,0,5,3,0,0,4,19,3,7,6,6,9,9,3,5,6,58,154,702,108,397,285,125,15,99,26,1905,12,32,3,8,0,4,0,3,0,70,9,19,18,0,8,4,3,4,3,70,89,125,368,31,26,20,53,45,13,761,32,5,148,3,12,8,25,50,4,294,16,13,27,4,5,3,8,19,0,107,25,375,23,95,22,7,3,6,6,567,37,265,3,64,14,9,4,6,0,414,140,138,26,46,188,76,11,46,0,671,52,118,13,220,44,25,9,35,0,515,12,33,5,11,10,3,3,13,3,93
2016,46,825,42,315,87,31,7,31,10,1392,59,580,5,158,44,20,0,19,9,886,174,246,20,78,506,142,5,77,11,1263,70,248,4,600,128,70,9,67,10,1206,13,37,12,5,21,11,0,10,0,109,56,16,152,99,88,85,0,49,3,551,0,3,0,0,0,0,0,4,0,11,9,15,8,6,13,6,0,6,0,59,10,26,9,32,30,29,0,35,27,197,492,2102,314,1316,962,421,31,344,70,6054,45,89,28,13,14,8,7,15,3,229,25,62,29,8,26,27,8,15,3,192,274,181,955,40,77,69,212,223,23,2062,167,23,444,20,18,21,50,113,6,865,80,53,83,15,35,18,27,60,0,373,59,1152,52,389,95,34,16,41,9,1844,105,807,16,174,58,16,3,26,10,1225,439,497,64,102,594,230,62,131,20,2141,109,369,25,729,140,86,25,114,21,1615,28,71,25,10,24,19,9,21,3,208
2017,13,163,8,57,16,15,0,0,0,268,13,166,6,23,13,7,0,0,0,233,51,48,4,26,101,29,0,9,3,285,10,39,3,121,18,16,0,19,3,223,0,11,3,0,5,0,0,0,0,24,13,5,51,23,23,18,0,18,3,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,8,0,10,5,4,0,8,7,42,115,458,82,264,198,98,3,69,21,1309,6,17,3,0,0,0,0,0,0,29,4,6,8,0,5,0,0,4,0,24,54,22,234,3,20,24,42,43,9,442,58,3,90,3,0,4,9,21,3,197,42,30,26,10,9,10,19,28,4,180,15,205,9,72,22,15,0,5,3,349,25,241,4,29,15,7,0,3,0,325,111,103,6,32,121,55,5,19,9,466,18,56,4,147,18,21,4,25,3,304,8,16,4,0,5,6,0,0,0,46
2018,31,630,34,177,77,37,3,10,9,1003,33,479,3,123,49,20,0,7,3,719,147,149,20,83,505,103,9,29,14,1063,65,172,17,496,123,63,3,37,14,991,10,40,14,4,32,17,0,3,3,122,26,5,137,78,84,73,0,47,3,463,0,0,0,0,0,0,0,3,0,3,0,10,3,5,13,4,0,3,3,44,3,11,3,42,23,15,3,27,16,143,354,1573,282,1031,958,355,26,189,60,4830,28,78,19,11,26,17,3,4,0,182,25,67,39,4,28,8,5,11,3,182,236,233,1238,49,85,45,273,199,45,2391,112,18,371,22,20,15,100,156,14,826,30,30,43,10,12,16,16,34,0,183,48,853,43,220,89,41,7,17,13,1324,57,602,19,134,49,22,6,13,3,913,314,287,50,105,592,164,50,74,21,1652,92,239,26,628,147,78,21,53,15,1293,26,63,18,15,35,31,7,5,3,211
2019,20,416,12,134,41,22,3,9,3,673,20,224,0,50,22,7,0,0,0,335,54,71,12,41,222,70,3,15,7,478,25,109,6,255,57,32,5,29,8,517,6,18,4,10,18,10,0,3,0,76,23,5,64,53,30,47,4,12,3,234,0,3,0,0,0,0,0,3,0,3,0,6,0,7,0,0,0,0,0,14,3,0,0,23,0,10,3,16,3,53,172,903,118,575,417,206,25,97,14,2536,14,48,14,4,8,6,3,10,0,107,12,16,16,3,7,9,0,5,0,66,86,51,323,15,32,36,85,81,10,718,80,11,230,20,10,10,33,46,4,440,32,29,38,9,13,18,9,24,3,170,35,541,17,174,51,23,8,18,3,874,44,321,5,69,32,13,3,7,0,490,145,135,19,51,256,107,21,32,8,780,45,148,16,317,67,39,14,42,8,690,11,31,12,13,19,19,3,8,0,114
2020,40,530,32,206,69,35,3,19,10,941,54,531,10,121,39,15,0,21,6,798,139,126,22,88,407,111,11,60,6,969,66,174,21,434,112,46,5,55,10,922,12,49,13,21,21,17,4,11,0,137,41,10,109,55,52,49,0,42,4,366,0,0,0,0,0,0,0,0,0,0,12,12,0,9,12,3,0,3,0,49,16,11,9,19,24,20,3,17,14,130,440,1515,256,981,785,324,39,288,52,4680,35,72,18,14,25,9,0,10,0,185,33,57,33,3,15,5,4,9,0,157,268,151,828,33,49,71,225,194,21,1837,139,21,491,13,12,17,53,124,18,878,143,47,93,22,23,13,54,98,0,496,47,657,39,241,75,36,3,30,7,1140,105,726,31,143,57,17,11,27,11,1112,315,289,56,109,469,170,32,91,14,1540,105,269,33,532,131,57,12,82,15,1235,28,68,32,21,31,20,7,15,3,223
2021,34,738,32,221,67,36,0,23,9,1155,44,480,7,98,58,18,0,10,3,710,125,134,19,72,405,127,6,37,3,927,54,196,18,427,93,61,4,70,6,916,7,46,11,15,15,23,0,6,0,127,41,8,171,101,56,85,3,40,4,514,0,0,0,0,0,0,0,0,0,5,6,12,0,6,12,3,0,3,0,49,12,8,5,27,23,15,3,19,14,122,369,1722,305,978,789,375,19,249,44,4859,42,104,25,19,25,9,0,13,0,244,19,35,27,9,14,10,5,7,3,120,120,121,632,29,60,49,136,160,12,1314,156,34,471,16,16,34,49,80,14,872,68,49,73,16,21,32,43,55,4,354,50,974,44,270,70,42,9,26,8,1493,86,692,30,122,70,22,10,19,4,1056,319,349,62,96,463,195,41,77,16,1620,81,293,22,541,102,80,10,97,9,1237,21,76,26,23,21,33,5,19,0,233
