SUA_CODE_2016,F_GrDi_GrCer_GrDi_Mng,F_GrDi_GrCer_GrDi_Pro,F_GrDi_GrCer_GrDi_TTW,F_GrDi_GrCer_GrDi_CPS,F_GrDi_GrCer_GrDi_CA,F_GrDi_GrCer_GrDi_Sal,F_GrDi_GrCer_GrDi_MOD,F_GrDi_GrCer_GrDi_Lab,F_GrDi_GrCer_GrDi_IDNS,F_GrDi_GrCer_GrDi_Tot,F_GrDi_GrCer_GradCer_Mng,F_GrDi_GrCer_GradCer_Pro,F_GrDi_GrCer_GradCer_TTW,F_GrDi_GrCer_GradCer_CPS,F_GrDi_GrCer_GradCer_CA,F_GrDi_GrCer_GradCer_Sal,F_GrDi_GrCer_GradCer_MOD,F_GrDi_GrCer_GradCer_Lab,F_GrDi_GrCer_GradCer_IDNS,F_GrDi_GrCer_GradCer_Tot,F_BaDe_BaDe_Mng,F_BaDe_BaDe_Pro,F_BaDe_BaDe_TTW,F_BaDe_BaDe_CPS,F_BaDe_BaDe_CA,F_BaDe_BaDe_Sal,F_BaDe_BaDe_MOD,F_BaDe_BaDe_Lab,F_BaDe_BaDe_IDNS,F_BaDe_BaDe_Tot,F_AdvDi_Di_AdvDi_Di_NFD_Mng,F_AdvDi_Di_AdvDi_Di_NFD_Pro,F_AdvDi_Di_AdvDi_Di_NFD_TTW,F_AdvDi_Di_AdvDi_Di_NFD_CPS,F_AdvDi_Di_AdvDi_Di_NFD_CA,F_AdvDi_Di_AdvDi_Di_NFD_Sal,F_AdvDi_Di_AdvDi_Di_NFD_MOD,F_AdvDi_Di_AdvDi_Di_NFD_Lab,F_AdvDi_Di_AdvDi_Di_NFD_IDNS,F_AdvDi_Di_AdvDi_Di_NFD_Tot,F_AdvDi_Di_AdvDi_AsDe_Mng,F_AdvDi_Di_AdvDi_AsDe_Pro,F_AdvDi_Di_AdvDi_AsDe_TTW,F_AdvDi_Di_AdvDi_AsDe_CPS,F_AdvDi_Di_AdvDi_AsDe_CA,F_AdvDi_Di_AdvDi_AsDe_Sal,F_AdvDi_Di_AdvDi_AsDe_MOD,F_AdvDi_Di_AdvDi_AsDe_Lab,F_AdvDi_Di_AdvDi_AsDe_IDNS,F_AdvDi_Di_AdvDi_AsDe_Tot,F_AdvDi_Di_Dip_Mng,F_AdvDi_Di_Dip_Pro,F_AdvDi_Di_Dip_TTW,F_AdvDi_Di_Dip_CPS,F_AdvDi_Di_Dip_CA,F_AdvDi_Di_Dip_Sal,F_AdvDi_Di_Dip_MOD,F_AdvDi_Di_Dip_Lab,F_AdvDi_Di_Dip_IDNS,F_AdvDi_Di_Dip_Tot,F_Cert_CertIII_IV_Mng,F_Cert_CertIII_IV_Pro,F_Cert_CertIII_IV_TTW,F_Cert_CertIII_IV_CPS,F_Cert_CertIII_IV_CA,F_Cert_CertIII_IV_Sal,F_Cert_CertIII_IV_MOD,F_Cert_CertIII_IV_Lab,F_Cert_CertIII_IV_IDNS,F_Cert_CertIII_IV_Tot,F_Cert_CertI_II_Mng,F_Cert_CertI_II_Pro,F_Cert_CertI_II_TTW,F_Cert_CertI_II_CPS,F_Cert_CertI_II_CA,F_Cert_CertI_II_Sal,F_Cert_CertI_II_MOD,F_Cert_CertI_II_Lab,F_Cert_CertI_II_IDNS,F_Cert_CertI_II_Tot,F_Cert_Cert_nfd_Mng,F_Cert_Cert_nfd_Pro,F_Cert_Cert_nfd_TTW,F_Cert_Cert_nfd_CPS,F_Cert_Cert_nfd_CA,F_Cert_Cert_nfd_Sal,F_Cert_Cert_nfd_MOD,F_Cert_Cert_nfd_Lab,F_Cert_Cert_nfd_IDNS,F_Cert_Cert_nfd_Tot,F_LE_ID_Mng,F_LE_ID_Pro,F_LE_ID_TTW,F_LE_ID_CPS,F_LE_ID_CA,F_LE_ID_Sal,F_LE_ID_MOD,F_LE_ID_Lab,F_LE_ID_IDNS,F_LE_ID_Tot,F_LE_NS_Mng,F_LE_NS_Pro,F_LE_NS_TTW,F_LE_NS_CPS,F_LE_NS_CA,F_LE_NS_Sal,F_LE_NS_MOD,F_LE_NS_Lab,F_LE_NS_IDNS,F_LE_NS_Tot,F_Tot_Mng,F_Tot_Pro,F_Tot_TTW,F_Tot_CPS,F_Tot_CA,F_Tot_Sal,F_Tot_MOD,F_Tot_Lab,F_Tot_IDNS,F_Tot_Tot,P_PoDe_PoDe_NFD_Mng,P_PoDe_PoDe_NFD_Pro,P_PoDe_PoDe_NFD_TTW,P_PoDe_PoDe_NFD_CPS,P_PoDe_PoDe_NFD_CA,P_PoDe_PoDe_NFD_Sal,P_PoDe_PoDe_NFD_MOD,P_PoDe_PoDe_NFD_Lab,P_PoDe_PoDe_NFD_IDNS,P_PoDe_PoDe_NFD_Tot,P_PoDe_DoctDe_Mng,P_PoDe_DoctDe_Pro,P_PoDe_DoctDe_TTW,P_PoDe_DoctDe_CPS,P_PoDe_DoctDe_CA,P_PoDe_DoctDe_Sal,P_PoDe_DoctDe_MOD,P_PoDe_DoctDe_Lab,P_PoDe_DoctDe_IDNS,P_PoDe_DoctDe_Tot,P_PoDe_MasDe_Mng,P_PoDe_MasDe_Pro,P_PoDe_MasDe_TTW,P_PoDe_MasDe_CPS,P_PoDe_MasDe_CA,P_PoDe_MasDe_Sal,P_PoDe_MasDe_MOD,P_PoDe_MasDe_Lab,P_PoDe_MasDe_IDNS,P_PoDe_MasDe_Tot,P_GrDiGrCer_GrDiGrCerNFD_Mng,P_GrDiGrCer_GrDiGrCerNFD_Pro,P_GrDiGrCer_GrDiGrCerNFD_TTW,P_GrDiGrCer_GrDiGrCerNFD_CPS,P_GrDiGrCer_GrDiGrCerNFD_CA,P_GrDiGrCer_GrDiGrCerNFD_Sal,P_GrDiGrCer_GrDiGrCerNFD_MOD,P_GrDiGrCer_GrDiGrCerNFD_Lab,P_GrDiGrCer_GrDiGrCerNFD_IDNS,P_GrDiGrCer_GrDiGrCerNFD_Tot,P_GrDi_GrCer_GrDi_Mng,P_GrDi_GrCer_GrDi_Pro,P_GrDi_GrCer_GrDi_TTW,P_GrDi_GrCer_GrDi_CPS,P_GrDi_GrCer_GrDi_CA,P_GrDi_GrCer_GrDi_Sal,P_GrDi_GrCer_GrDi_MOD,P_GrDi_GrCer_GrDi_Lab,P_GrDi_GrCer_GrDi_IDNS,P_GrDi_GrCer_GrDi_Tot,P_GrDi_GrCer_GradCer_Mng,P_GrDi_GrCer_GradCer_Pro,P_GrDi_GrCer_GradCer_TTW,P_GrDi_GrCer_GradCer_CPS,P_GrDi_GrCer_GradCer_CA,P_GrDi_GrCer_GradCer_Sal,P_GrDi_GrCer_GradCer_MOD,P_GrDi_GrCer_GradCer_Lab,P_GrDi_GrCer_GradCer_IDNS,P_GrDi_GrCer_GradCer_Tot,P_BaDe_BaDe_Mng,P_BaDe_BaDe_Pro,P_BaDe_BaDe_TTW,P_BaDe_BaDe_CPS,P_BaDe_BaDe_CA,P_BaDe_BaDe_Sal,P_BaDe_BaDe_MOD,P_BaDe_BaDe_Lab,P_BaDe_BaDe_IDNS,P_BaDe_BaDe_Tot,P_AdvDi_Di_AdvDi_Di_NFD_Mng,P_AdvDi_Di_AdvDi_Di_NFD_Pro,P_AdvDi_Di_AdvDi_Di_NFD_TTW,P_AdvDi_Di_AdvDi_Di_NFD_CPS,P_AdvDi_Di_AdvDi_Di_NFD_CA,P_AdvDi_Di_AdvDi_Di_NFD_Sal,P_AdvDi_Di_AdvDi_Di_NFD_MOD,P_AdvDi_Di_AdvDi_Di_NFD_Lab,P_AdvDi_Di_AdvDi_Di_NFD_IDNS,P_AdvDi_Di_AdvDi_Di_NFD_Tot
2010,4190,21765,458,3956,3508,781,49,215,221,35147,1042,4534,89,346,838,130,11,33,53,7069,31895,138175,7001,23194,40624,16521,1108,5684,2845,267052,129,193,68,452,244,162,15,64,33,1366,6175,11806,2484,8837,11924,4244,401,1533,504,47903,8313,11704,4673,21543,18764,7618,650,2575,851,76694,6771,6267,12460,28737,22800,10424,1844,5706,1102,96111,719,612,496,2177,3314,1756,248,955,87,10360,1608,1509,891,5205,6058,2446,360,1235,244,19554,821,2096,449,1152,1807,865,118,457,162,7920,1278,2810,809,3267,3458,2035,354,1591,1799,17392,76199,257988,31476,103644,124074,50306,5376,21432,8974,679466,544,2180,66,113,279,87,17,35,27,3348,3210,23184,357,319,829,183,65,128,263,28535,29359,81077,4703,6739,16130,6691,2276,3610,2046,152626,1453,4324,170,337,755,279,88,128,121,7661,8265,32986,1203,4862,4856,1318,370,585,426,54867,2016,6148,264,609,1177,248,67,99,92,10718,80448,252035,22936,34898,60866,30139,8778,15116,6191,511424,246,320,251,578,316,249,107,148,52,2268
2011,15,121,0,59,9,5,3,3,0,222,3,33,0,0,5,0,0,0,0,51,119,837,48,177,260,88,21,34,12,1603,0,3,0,11,3,0,0,0,0,25,68,86,14,126,129,46,13,20,5,495,113,130,55,398,262,73,14,31,10,1083,120,106,200,661,515,229,61,131,25,2046,14,6,6,44,59,48,9,24,0,205,27,11,14,113,70,35,12,18,9,314,7,12,7,12,16,10,0,5,0,70,25,29,7,52,48,35,7,29,25,258,529,1541,369,1682,1433,587,138,308,92,6683,0,10,0,0,3,0,0,0,0,16,4,32,4,3,5,0,0,0,0,51,77,276,26,51,77,23,31,16,12,589,3,11,0,5,0,0,3,0,3,24,32,171,8,66,16,17,3,7,3,319,9,46,0,6,8,0,0,0,0,69,291,1252,159,251,385,144,100,82,27,2691,0,4,0,13,3,4,3,3,0,31
2012,24,202,0,42,16,3,0,0,0,285,10,34,0,7,4,0,0,0,0,55,129,1174,27,124,144,39,4,40,5,1682,0,0,0,3,3,0,0,0,0,8,58,142,8,99,68,30,0,21,3,445,80,144,37,287,185,53,3,23,15,833,108,107,202,511,448,207,14,131,18,1745,15,7,6,48,60,66,0,19,3,218,22,14,10,76,67,47,4,17,3,258,3,12,3,8,11,3,0,13,3,55,18,42,15,60,50,62,8,44,28,320,500,2051,319,1280,1071,505,38,319,80,6157,0,9,0,0,0,0,0,0,0,12,14,45,0,0,0,0,0,0,0,58,73,214,7,17,11,3,0,9,0,335,3,29,0,0,3,0,0,0,0,34,35,261,4,50,18,3,0,4,0,391,15,40,3,3,4,0,0,0,0,64,329,1736,69,187,184,58,19,79,14,2676,0,0,0,5,3,0,0,0,0,13
2013,4,47,0,11,0,4,0,0,0,70,0,6,0,3,0,0,0,0,0,9,23,246,5,38,35,5,0,6,0,356,0,0,0,3,0,0,0,0,0,9,9,44,8,33,15,0,0,7,0,116,21,37,8,100,64,19,3,8,7,262,30,28,76,214,156,69,3,58,10,637,0,9,3,18,21,12,0,6,0,67,3,0,3,43,23,13,0,3,0,87,0,4,0,0,0,3,0,0,0,16,6,10,3,21,13,17,0,8,5,90,106,481,112,493,325,133,8,90,29,1773,0,3,0,0,0,0,0,0,0,7,0,10,0,0,0,0,0,0,0,10,5,48,0,8,7,0,0,0,0,70,0,0,0,0,0,0,0,0,0,3,7,60,3,10,0,4,0,0,0,90,3,11,0,3,0,0,0,0,0,14,50,327,22,53,46,8,4,11,8,526,0,0,0,3,0,3,0,0,0,8
2014,9,39,0,14,3,0,0,0,0,66,0,11,0,0,0,0,0,0,0,11,26,213,5,17,25,6,3,0,0,297,0,0,0,0,0,0,0,0,0,3,6,40,0,18,13,0,0,0,0,82,12,41,9,66,36,14,0,6,0,181,28,25,47,152,86,39,3,52,4,430,5,3,3,13,14,7,0,3,0,50,3,6,0,23,9,3,0,9,0,54,0,3,3,0,0,3,0,0,0,9,4,3,3,9,9,6,3,9,5,51,101,407,73,320,189,78,12,81,10,1272,0,6,0,0,0,0,0,0,0,10,0,9,0,0,0,0,0,0,0,9,10,27,3,0,0,0,0,0,0,47,0,3,0,0,0,0,0,0,0,7,6,50,0,17,3,0,0,0,0,84,3,11,0,0,0,0,0,0,0,13,58,319,16,24,27,7,6,4,3,470,0,0,0,0,0,0,0,0,0,3
2015,7,65,0,16,0,3,0,0,0,88,0,22,0,3,3,0,0,0,0,30,37,381,9,57,44,14,0,12,0,561,0,0,0,3,0,0,0,0,0,13,7,41,0,31,23,5,0,3,3,115,28,43,13,91,52,21,0,11,7,257,44,25,65,144,118,60,0,36,0,498,3,0,0,3,16,7,3,7,0,47,7,4,9,25,14,4,0,9,0,72,8,0,0,3,3,0,0,7,3,24,8,12,7,13,3,11,3,11,3,65,154,702,108,397,285,125,15,99,26,1905,0,10,0,0,0,0,0,0,0,10,0,15,0,0,0,0,0,0,0,16,39,110,3,9,7,5,0,3,3,181,3,19,0,3,0,0,0,0,0,28,21,85,3,16,0,3,0,0,0,131,8,25,0,5,3,0,0,0,0,45,105,615,37,77,55,20,6,20,4,930,0,0,3,4,0,0,0,0,0,11
2016,12,270,6,42,17,4,0,0,0,353,0,48,0,3,6,0,0,0,0,65,149,1108,31,125,139,38,3,47,12,1660,3,0,0,12,3,3,0,3,0,21,44,148,10,94,75,23,0,24,4,419,88,154,32,324,214,55,6,38,5,922,104,100,199,537,340,190,18,124,19,1630,14,4,3,26,45,37,3,19,0,156,11,6,13,67,55,25,0,21,3,196,3,19,3,11,14,11,0,14,0,81,19,28,7,42,34,36,6,47,24,234,492,2102,314,1316,962,421,31,344,70,6054,0,17,0,0,0,0,0,0,0,21,3,75,0,4,3,0,0,0,0,79,113,321,10,23,32,13,3,13,3,529,3,18,0,3,3,3,0,0,0,28,31,394,4,61,27,5,0,5,7,528,8,63,0,8,9,0,0,3,0,94,342,1703,76,177,194,67,30,88,22,2703,5,3,0,15,3,6,0,3,0,34
2017,5,52,0,5,3,0,0,0,0,61,0,5,0,3,0,0,0,0,0,8,31,272,6,30,30,11,0,6,3,382,0,0,0,0,0,0,0,0,0,3,10,39,7,25,10,0,0,0,0,91,13,32,7,52,28,16,0,7,0,162,32,27,58,106,93,30,3,32,3,383,5,0,0,11,10,11,0,6,0,52,0,7,3,14,10,13,0,8,0,58,0,0,0,0,5,0,0,0,0,11,5,10,0,12,4,11,0,9,7,52,115,458,82,264,198,98,3,69,21,1309,0,4,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,4,14,33,0,7,0,3,3,0,0,59,0,0,0,0,0,0,0,0,0,5,14,66,0,5,3,0,0,0,0,90,4,6,0,4,0,0,0,0,0,11,66,411,14,42,33,14,0,14,4,611,0,0,0,0,0,0,0,3,0,3
2018,15,151,0,32,12,4,0,0,0,214,4,49,0,4,0,0,0,0,0,59,101,880,20,103,140,39,0,13,7,1302,0,4,0,3,5,0,0,0,0,13,24,85,6,63,71,17,5,4,7,292,67,132,33,232,167,49,3,10,6,686,79,74,187,428,410,163,10,88,14,1456,11,7,8,26,45,25,4,12,8,148,16,3,4,68,50,25,0,20,0,191,3,8,3,6,7,7,0,3,0,40,7,35,3,65,32,18,3,30,20,209,354,1573,282,1031,958,355,26,189,60,4830,3,5,0,0,0,0,0,0,0,9,9,50,0,0,3,0,0,0,0,64,67,221,3,25,23,14,0,3,0,350,7,17,0,0,0,0,0,0,0,21,30,200,0,42,18,5,0,3,4,308,11,59,0,8,3,0,0,0,0,84,252,1359,91,140,199,52,12,38,10,2160,4,4,3,5,3,3,0,0,0,23
2019,6,87,0,12,12,0,0,0,0,122,0,33,0,4,0,0,0,0,0,34,46,498,9,64,66,21,0,10,0,710,0,0,0,5,0,0,0,0,0,9,19,47,11,53,38,13,0,3,0,183,26,62,9,135,84,23,4,9,3,357,34,42,79,224,156,105,12,45,3,705,6,0,0,16,23,9,0,11,0,72,13,9,5,44,29,14,6,4,0,122,3,6,0,3,5,0,0,0,0,23,6,12,3,22,4,10,0,13,3,76,172,903,118,575,417,206,25,97,14,2536,0,4,0,0,0,0,0,0,0,8,3,37,0,0,0,0,0,0,0,35,28,121,7,5,9,0,0,0,0,175,0,3,0,0,0,0,0,0,0,5,14,126,3,16,17,3,0,3,0,181,8,41,0,7,3,0,0,0,0,59,117,726,23,88,84,35,6,20,6,1103,0,0,0,4,0,0,0,0,0,13
2020,24,176,0,24,9,5,0,4,3,246,3,34,0,0,6,3,0,0,0,47,126,784,25,104,117,37,3,36,10,1244,0,0,0,3,0,0,0,0,0,7,53,114,13,74,73,12,0,29,3,366,57,113,26,217,152,42,4,41,11,655,95,72,165,406,281,141,18,106,10,1292,6,6,9,31,39,22,0,25,0,142,15,3,13,68,39,24,5,21,5,193,3,12,0,6,10,6,0,12,0,49,16,13,6,31,30,16,5,20,15,170,440,1515,256,981,785,324,39,288,52,4680,0,17,0,0,3,0,0,0,0,20,11,70,0,3,0,0,0,0,0,82,65,229,12,12,20,6,3,6,3,359,0,23,0,3,0,0,0,0,0,34,48,250,0,35,20,7,3,4,3,371,8,39,4,3,5,3,0,0,0,69,280,1202,68,142,166,55,9,67,17,2014,0,0,0,4,0,3,0,0,0,11
2021,21,161,0,28,14,4,0,3,3,232,12,47,0,6,5,0,0,0,0,73,100,996,29,122,148,45,3,36,6,1489,0,0,0,3,3,3,0,0,0,11,37,103,22,77,61,30,0,12,4,340,56,86,30,213,145,60,0,28,4,616,80,66,191,382,283,152,10,109,13,1283,18,3,7,31,44,28,3,21,0,153,11,6,13,69,34,32,3,19,0,186,0,8,4,3,9,3,0,4,3,38,9,34,13,46,31,20,3,19,14,183,369,1722,305,978,789,375,19,249,44,4859,0,15,0,0,0,0,0,0,0,13,4,79,0,0,0,0,0,0,0,95,68,233,6,12,13,0,0,3,0,334,3,15,0,0,0,0,0,0,0,22,33,238,13,30,18,7,0,4,5,347,22,66,6,8,10,0,0,3,3,112,263,1588,69,166,200,88,14,78,18,2472,0,0,0,6,9,3,0,0,0,16
