SUA_CODE_2016,M_Hbn_in_RM_0_14,M_Hbn_in_RM_15_24,M_Hbn_in_RM_25_34,M_Hbn_in_RM_35_44,M_Hbn_in_RM_45_54,M_Hbn_in_RM_55_64,M_Hbn_in_RM_65_74,M_Hbn_in_RM_75_84,M_Hbn_in_RM_85ov,M_Hbn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Wife_in_RM_0_14,F_Wife_in_RM_15_24,F_Wife_in_RM_25_34,F_Wife_in_RM_35_44,F_Wife_in_RM_45_54,F_Wife_in_RM_55_64,F_Wife_in_RM_65_74,F_Wife_in_RM_75_84,F_Wife_in_RM_85ov,F_Wife_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
2010,..,3130,107587,178124,166170,137672,101906,53877,14031,762503,..,10032,55501,32955,23435,13378,5204,1246,267,142012,..,344,1382,4592,9593,7291,3006,1910,1271,29377,379697,..,..,..,..,..,..,..,..,379697,..,117999,..,..,..,..,..,..,..,117999,..,69574,54475,17644,11094,4300,577,21,0,157689,..,16332,14233,4225,3819,4038,3015,1897,1079,48646,..,9899,12478,3704,2668,1688,610,176,54,31274,..,31996,43013,11080,6984,5407,3167,1157,327,103133,..,8901,25977,25600,27928,25960,20181,12489,6950,153974,4584,6369,8661,5097,4044,2832,2331,1425,564,35905,384283,274565,323306,283029,255735,202566,140001,74187,24545,1962218,..,8826,142647,184438,167231,131741,90331,38119,6335,769665,..,15192,57375,31479,21869,10937,3673,707,122,141359,..,2916,14803,32204,42428,23232,9970,7997,4754,138300,360527,..,..,..,..,..,..,..,..,360527,..,120144,..,..,..,..,..,..,..,120144,..,49856,38404,9115,6188,3285,623,27,4,107496,..,13764,10122,3124,4451,8898,8054,6773,3949,59132,..,9139,8317,1873,1322,900,376,152,84,22160
2011,..,49,1565,2287,1889,1838,1403,420,61,9517,..,242,822,535,311,178,70,13,3,2177,..,11,38,143,178,106,64,26,5,570,6610,..,..,..,..,..,..,..,..,6610,..,1333,..,..,..,..,..,..,..,1333,..,1403,819,295,131,31,10,0,0,2681,..,199,178,63,66,77,47,26,16,671,..,106,127,62,62,34,15,3,0,415,..,112,196,105,117,82,73,20,5,715,..,67,335,407,398,400,281,122,41,2048,97,124,133,81,48,39,41,18,3,593,6708,3645,4224,3976,3188,2795,2002,648,141,27332,..,139,2115,2240,1865,1878,1097,254,29,9627,..,341,882,496,293,154,53,8,0,2233,..,167,638,794,642,370,171,59,36,2874,6445,..,..,..,..,..,..,..,..,6445,..,1382,..,..,..,..,..,..,..,1382,..,968,514,118,70,20,7,0,0,1700,..,183,88,41,83,158,128,66,35,786,..,101,63,25,18,14,10,0,0,234
2012,..,40,855,1362,1568,1744,1516,790,212,8087,..,246,604,358,292,190,103,30,3,1827,..,13,38,83,141,85,31,28,8,426,4484,..,..,..,..,..,..,..,..,4484,..,1012,..,..,..,..,..,..,..,1012,..,934,375,156,139,50,3,0,0,1657,..,133,73,28,48,43,42,30,10,400,..,96,73,47,40,26,3,0,0,286,..,165,216,94,97,104,47,10,3,724,..,82,248,299,438,526,429,237,120,2378,102,120,116,83,69,66,66,32,8,659,4589,2830,2597,2501,2829,2826,2248,1154,359,21929,..,83,1095,1574,1737,1734,1370,609,92,8295,..,343,617,362,299,174,73,18,3,1891,..,123,405,486,513,173,93,83,53,1927,4310,..,..,..,..,..,..,..,..,4310,..,1040,..,..,..,..,..,..,..,1040,..,577,177,53,50,33,7,0,0,898,..,129,41,16,55,73,76,53,29,474,..,85,35,12,14,13,6,0,0,167
2013,..,24,244,359,458,569,502,264,85,2488,..,99,170,120,90,79,33,9,0,592,..,3,17,46,63,35,20,5,3,193,1271,..,..,..,..,..,..,..,..,1271,..,334,..,..,..,..,..,..,..,334,..,342,155,67,41,25,3,0,0,635,..,44,23,16,11,18,12,3,3,125,..,22,26,12,7,0,0,0,0,67,..,40,42,20,34,25,14,10,4,193,..,42,109,129,194,276,207,124,37,1119,28,62,36,24,28,23,16,4,0,231,1298,1009,816,788,927,1045,804,428,134,7248,..,19,327,387,510,582,439,216,32,2527,..,133,174,121,110,51,26,3,0,626,..,62,159,197,199,70,46,47,26,803,1241,..,..,..,..,..,..,..,..,1241,..,309,..,..,..,..,..,..,..,309,..,219,81,36,20,22,3,0,0,380,..,25,8,7,16,26,18,14,8,119,..,22,10,0,4,5,0,3,0,47
2014,..,7,125,260,370,418,315,177,48,1716,..,60,113,94,79,64,18,5,0,431,..,0,3,22,46,18,6,4,6,108,845,..,..,..,..,..,..,..,..,845,..,222,..,..,..,..,..,..,..,222,..,198,78,35,28,7,0,0,0,343,..,12,13,9,9,6,9,3,3,61,..,14,3,3,0,3,0,0,0,31,..,28,23,9,24,32,12,7,0,137,..,34,67,89,137,142,121,54,24,662,18,28,21,21,15,8,22,0,3,137,861,600,441,544,710,697,512,246,79,4704,..,10,179,315,382,423,285,133,22,1743,..,85,118,86,80,65,12,0,0,452,..,18,73,126,100,41,24,21,11,409,810,..,..,..,..,..,..,..,..,810,..,181,..,..,..,..,..,..,..,181,..,101,41,12,8,11,0,0,0,173,..,19,3,0,11,16,9,3,3,64,..,13,8,0,0,3,0,0,0,23
2015,..,9,308,444,436,476,399,206,62,2337,..,67,168,94,84,46,25,11,0,495,..,0,12,16,33,23,6,3,7,100,1347,..,..,..,..,..,..,..,..,1347,..,306,..,..,..,..,..,..,..,306,..,237,79,24,26,11,0,0,0,379,..,32,13,3,20,4,6,0,3,83,..,18,18,4,5,3,0,0,0,45,..,82,71,16,19,25,13,3,0,229,..,33,97,111,113,137,107,82,43,733,23,44,29,19,20,20,11,9,3,185,1371,826,785,729,758,751,572,318,117,6230,..,16,383,489,489,494,350,141,45,2409,..,105,182,97,83,52,15,3,0,534,..,28,102,155,158,57,23,17,14,555,1262,..,..,..,..,..,..,..,..,1262,..,284,..,..,..,..,..,..,..,284,..,144,46,17,20,11,0,0,0,235,..,21,6,5,14,22,14,17,7,107,..,22,12,3,0,0,0,0,0,41
2016,..,65,1057,1506,1695,1603,1301,690,201,8114,..,189,541,297,232,155,74,26,3,1513,..,13,32,81,141,75,36,18,12,412,4711,..,..,..,..,..,..,..,..,4711,..,1143,..,..,..,..,..,..,..,1143,..,924,382,193,95,38,4,0,0,1639,..,159,89,36,47,36,27,17,7,416,..,88,73,42,31,11,8,4,0,266,..,185,250,112,88,71,48,14,6,780,..,75,289,303,455,452,340,225,85,2227,120,105,118,93,62,48,47,33,3,632,4830,2953,2825,2671,2848,2497,1891,1030,328,21864,..,153,1321,1637,1733,1561,1168,517,96,8190,..,283,524,293,235,139,45,10,8,1545,..,109,337,566,526,239,83,65,37,1964,4432,..,..,..,..,..,..,..,..,4432,..,1169,..,..,..,..,..,..,..,1169,..,594,215,52,46,30,9,0,0,946,..,107,47,17,45,68,74,49,23,431,..,72,36,7,8,7,0,0,3,140
2017,..,6,218,312,338,347,259,187,62,1734,..,66,138,53,52,26,10,6,0,348,..,4,8,23,26,11,4,3,0,84,927,..,..,..,..,..,..,..,..,927,..,191,..,..,..,..,..,..,..,191,..,177,66,30,24,4,0,0,0,308,..,33,18,10,9,10,8,4,0,93,..,21,11,10,4,0,0,0,0,43,..,58,78,40,34,25,9,4,0,240,..,35,68,57,77,103,85,52,37,519,23,28,29,16,16,9,14,8,0,146,957,625,632,543,578,525,394,273,103,4628,..,32,266,355,341,336,236,150,33,1751,..,93,126,49,41,22,14,4,0,354,..,23,81,96,92,31,20,15,11,369,897,..,..,..,..,..,..,..,..,897,..,222,..,..,..,..,..,..,..,222,..,111,25,9,12,13,0,0,0,166,..,19,17,3,11,11,17,7,4,84,..,13,8,0,0,0,0,0,0,22
2018,..,34,721,1081,1211,1330,1057,629,149,6211,..,235,541,282,243,134,54,18,0,1520,..,11,40,84,108,70,21,6,9,350,3589,..,..,..,..,..,..,..,..,3589,..,770,..,..,..,..,..,..,..,770,..,732,294,131,84,32,8,0,0,1276,..,73,52,18,28,32,15,9,11,245,..,52,38,22,30,17,3,3,0,170,..,148,145,49,68,58,41,13,4,519,..,120,374,324,459,493,365,199,80,2420,77,97,100,76,55,52,38,11,5,518,3668,2271,2320,2065,2289,2212,1595,891,262,17578,..,63,933,1188,1253,1375,984,447,65,6308,..,349,544,265,238,119,42,15,0,1575,..,109,362,472,438,164,88,68,40,1745,3339,..,..,..,..,..,..,..,..,3339,..,781,..,..,..,..,..,..,..,781,..,490,160,45,43,17,3,0,0,768,..,65,54,7,47,33,41,40,12,296,..,53,26,8,7,6,0,0,0,102
2019,..,13,267,530,596,630,547,356,111,3063,..,96,226,122,111,64,25,11,0,652,..,7,7,37,50,26,12,12,4,151,1622,..,..,..,..,..,..,..,..,1622,..,347,..,..,..,..,..,..,..,347,..,268,117,64,43,19,9,0,0,521,..,36,21,4,12,17,16,4,3,126,..,20,13,5,9,0,3,0,0,48,..,62,58,26,28,32,12,4,4,225,..,41,133,125,173,203,177,96,64,1014,37,41,36,19,19,20,17,16,3,208,1654,936,879,942,1049,1017,818,498,187,7973,..,23,371,567,593,664,549,287,45,3097,..,143,214,117,105,51,28,3,6,664,..,41,107,208,204,86,45,40,24,755,1529,..,..,..,..,..,..,..,..,1529,..,362,..,..,..,..,..,..,..,362,..,213,59,35,26,12,0,0,0,346,..,27,22,6,9,20,26,26,10,140,..,13,6,0,4,9,0,0,0,28
