SUA_CODE_2016,M_Tot_0,M_Tot_1_15,M_Tot_16_24,M_Tot_25_34,M_Tot_35_39,M_Tot_40,M_Tot_41_48,M_Tot_49over,M_Tot_hours_NS,M_Tot_Tot,F_AgriForestFish_0,F_AgriForestFish_1_15,F_AgriForestFish_16_24,F_AgriForestFish_25_34,F_AgriForestFish_35_39,F_AgriForestFish_40,F_AgriForestFish_41_48,F_AgriForestFish_49over,F_AgriForestFish_hours_NS,F_AgriForestFish_Tot,F_Min_0,F_Min_1_15,F_Min_16_24,F_Min_25_34,F_Min_35_39,F_Min_40,F_Min_41_48,F_Min_49over,F_Min_hours_NS,F_Min_Tot,F_Mnfg_0,F_Mnfg_1_15,F_Mnfg_16_24,F_Mnfg_25_34,F_Mnfg_35_39,F_Mnfg_40,F_Mnfg_41_48,F_Mnfg_49over,F_Mnfg_hours_NS,F_Mnfg_Tot,F_EGW_WS_0,F_EGW_WS_1_15,F_EGW_WS_16_24,F_EGW_WS_25_34,F_EGW_WS_35_39,F_EGW_WS_40,F_EGW_WS_41_48,F_EGW_WS_49over,F_EGW_WS_hours_NS,F_EGW_WS_Tot,F_Cnstn_0,F_Cnstn_1_15,F_Cnstn_16_24,F_Cnstn_25_34,F_Cnstn_35_39,F_Cnstn_40,F_Cnstn_41_48,F_Cnstn_49over,F_Cnstn_hours_NS,F_Cnstn_Tot,F_WTrade_0,F_WTrade_1_15,F_WTrade_16_24,F_WTrade_25_34,F_WTrade_35_39,F_WTrade_40,F_WTrade_41_48,F_WTrade_49over,F_WTrade_hours_NS,F_WTrade_Tot,F_RTrade_0,F_RTrade_1_15,F_RTrade_16_24,F_RTrade_25_34,F_RTrade_35_39,F_RTrade_40,F_RTrade_41_48,F_RTrade_49over,F_RTrade_hours_NS,F_RTrade_Tot,F_AccomFoodS_0,F_AccomFoodS_1_15,F_AccomFoodS_16_24,F_AccomFoodS_25_34,F_AccomFoodS_35_39,F_AccomFoodS_40,F_AccomFoodS_41_48,F_AccomFoodS_49over,F_AccomFoodS_hours_NS,F_AccomFoodS_Tot,F_TransPostWhse_0,F_TransPostWhse_1_15,F_TransPostWhse_16_24,F_TransPostWhse_25_34,F_TransPostWhse_35_39,F_TransPostWhse_40,F_TransPostWhse_41_48,F_TransPostWhse_49over,F_TransPostWhse_hours_NS,F_TransPostWhse_Tot,F_InfoMedTelecom_0,F_InfoMedTelecom_1_15,F_InfoMedTelecom_16_24,F_InfoMedTelecom_25_34,F_InfoMedTelecom_35_39,F_InfoMedTelecom_40,F_InfoMedTelecom_41_48,F_InfoMedTelecom_49over,F_InfoMedTelecom_hours_NS,F_InfoMedTelecom_Tot,F_FinInsurS_0,F_FinInsurS_1_15,F_FinInsurS_16_24,F_FinInsurS_25_34,F_FinInsurS_35_39,F_FinInsurS_40,F_FinInsurS_41_48,F_FinInsurS_49over,F_FinInsurS_hours_NS,F_FinInsurS_Tot,F_RentHirREserv_0,F_RentHirREserv_1_15,F_RentHirREserv_16_24,F_RentHirREserv_25_34,F_RentHirREserv_35_39,F_RentHirREserv_40,F_RentHirREserv_41_48,F_RentHirREserv_49over,F_RentHirREserv_hours_NS,F_RentHirREserv_Tot,F_ProScieTechServ_0,F_ProScieTechServ_1_15,F_ProScieTechServ_16_24,F_ProScieTechServ_25_34,F_ProScieTechServ_35_39,F_ProScieTechServ_40,F_ProScieTechServ_41_48,F_ProScieTechServ_49over,F_ProScieTechServ_hours_NS,F_ProScieTechServ_Tot,F_AdminSupServ_0,F_AdminSupServ_1_15,F_AdminSupServ_16_24,F_AdminSupServ_25_34,F_AdminSupServ_35_39,F_AdminSupServ_40,F_AdminSupServ_41_48,F_AdminSupServ_49over,F_AdminSupServ_hours_NS,F_AdminSupServ_Tot,F_PubAdmiSafety_0,F_PubAdmiSafety_1_15,F_PubAdmiSafety_16_24,F_PubAdmiSafety_25_34,F_PubAdmiSafety_35_39,F_PubAdmiSafety_40,F_PubAdmiSafety_41_48,F_PubAdmiSafety_49over,F_PubAdmiSafety_hours_NS,F_PubAdmiSafety_Tot,F_EducTrain_0,F_EducTrain_1_15,F_EducTrain_16_24,F_EducTrain_25_34,F_EducTrain_35_39,F_EducTrain_40,F_EducTrain_41_48,F_EducTrain_49over,F_EducTrain_hours_NS,F_EducTrain_Tot,F_HealthCareSocA_0,F_HealthCareSocA_1_15,F_HealthCareSocA_16_24,F_HealthCareSocA_25_34,F_HealthCareSocA_35_39,F_HealthCareSocA_40,F_HealthCareSocA_41_48,F_HealthCareSocA_49over,F_HealthCareSocA_hours_NS,F_HealthCareSocA_Tot,F_ArtRecServ_0,F_ArtRecServ_1_15,F_ArtRecServ_16_24,F_ArtRecServ_25_34,F_ArtRecServ_35_39,F_ArtRecServ_40,F_ArtRecServ_41_48,F_ArtRecServ_49over,F_ArtRecServ_hours_NS,F_ArtRecServ_Tot,F_OthServ_0,F_OthServ_1_15,F_OthServ_16_24,F_OthServ_25_34,F_OthServ_35_39,F_OthServ_40,F_OthServ_41_48,F_OthServ_49over,F_OthServ_hours_NS,F_OthServ_Tot
2010,23233,85199,70168,74801,211468,267486,125449,197699,22219,1077734,166,675,635,678,808,649,287,322,50,4273,62,49,94,92,137,290,120,214,3,1065,1400,5263,5007,5414,12719,9471,3835,3237,375,46716,327,249,509,655,1973,1563,561,497,32,6364,568,3201,2980,2854,3522,4242,1410,1671,224,20667,918,2341,2973,3167,7004,6012,2273,2271,167,27125,3903,30703,19631,17364,18280,11457,5819,5979,1265,114417,1916,23576,12541,9017,7047,5053,3146,4079,1028,67405,1065,1917,2639,3455,6028,4804,1975,1812,232,23935,684,1655,1699,1822,3629,3837,1678,1858,138,17015,2327,2010,4485,5054,10012,12117,3880,4255,293,44438,573,1884,1925,1849,3654,3806,1692,1841,151,17378,3116,9321,9769,10295,14951,17448,7279,9097,513,81792,1202,6993,6334,5159,6781,5262,2114,2323,401,36571,3216,3530,6005,6976,13390,8762,4578,3565,335,50358,4531,19386,18303,17770,21041,15581,9868,15030,895,122393,9343,22841,34112,41704,35861,25951,9367,10569,1836,191578,733,5515,2753,2630,2417,2363,1195,1552,192,19349,1055,6894,5263,5302,6618,4142,2050,2054,349,33726
2011,358,801,621,881,3099,3477,1650,2329,341,13557,3,9,3,9,20,9,0,9,0,61,0,0,0,0,4,3,3,0,0,14,16,54,55,62,146,99,23,31,4,489,4,5,10,9,37,24,4,7,0,94,11,33,35,54,49,57,21,24,4,287,14,20,24,38,87,57,31,13,0,279,74,405,291,286,339,150,62,52,15,1678,36,316,125,141,96,86,30,26,12,863,30,50,59,76,168,150,56,60,4,649,9,14,10,12,38,19,11,3,0,115,41,23,48,52,116,106,26,10,3,423,8,10,21,16,52,48,18,15,0,177,20,49,55,63,109,104,39,27,6,469,20,99,75,79,111,56,17,14,6,478,40,65,78,87,180,133,49,44,8,691,63,133,165,236,269,163,82,121,5,1240,105,237,364,520,501,303,77,129,19,2269,9,66,26,30,21,17,13,13,4,201,10,78,55,69,69,38,26,19,3,370
2012,308,846,551,729,2136,2356,1221,2191,278,10609,15,72,47,72,70,71,28,55,12,433,3,0,0,3,8,3,3,3,0,19,16,57,21,53,67,65,28,22,3,328,3,0,3,7,14,17,3,4,0,51,6,32,21,29,22,37,15,15,3,177,0,21,14,22,37,21,9,15,0,150,74,444,227,283,272,114,65,53,16,1543,31,331,151,138,105,40,40,75,18,930,3,31,25,32,37,33,11,17,3,188,3,16,3,14,26,17,4,0,0,90,17,16,25,35,46,45,7,19,0,206,4,15,11,24,39,12,13,17,3,141,25,50,50,57,103,48,22,30,3,387,21,80,70,74,123,60,29,35,11,507,43,34,69,82,173,121,39,24,8,596,49,150,189,253,259,142,117,179,14,1365,124,186,364,528,544,270,96,120,13,2254,3,43,3,22,10,14,4,9,0,101,4,50,37,55,61,37,12,17,6,286
2013,105,268,179,240,727,691,364,514,76,3160,3,8,4,13,7,5,3,9,0,45,0,0,3,3,0,0,0,0,0,6,0,14,11,6,9,8,3,4,0,65,0,3,0,3,9,8,0,0,0,33,0,8,9,7,7,8,3,0,0,50,0,7,0,3,5,0,7,0,0,20,12,134,77,88,65,27,19,12,4,437,15,116,35,32,27,12,11,9,3,254,3,4,7,9,9,3,0,7,0,49,0,7,5,4,6,3,5,0,0,20,8,5,15,16,31,13,4,3,3,94,0,4,6,7,12,3,3,3,0,41,7,17,19,10,15,17,3,4,0,93,3,23,18,9,15,3,4,3,0,88,15,35,35,42,72,26,15,16,3,263,16,57,64,64,62,37,19,19,7,349,52,111,173,191,117,71,29,22,11,777,0,18,7,9,5,0,0,0,0,40,4,26,20,19,24,11,4,3,0,108
2014,112,215,138,160,404,497,347,436,68,2372,0,3,7,3,11,9,4,6,0,47,0,0,0,0,0,0,0,0,0,0,4,7,19,13,15,12,13,11,0,92,0,0,0,0,3,3,0,0,0,4,0,3,3,4,0,0,0,5,0,25,0,5,0,0,4,3,6,0,0,28,9,62,44,44,29,24,11,18,3,247,13,79,48,45,18,12,7,18,3,248,3,13,5,5,8,5,3,6,0,48,0,5,0,3,3,4,0,0,0,18,3,4,7,6,5,5,0,3,0,36,3,4,5,3,4,5,0,0,0,25,5,20,8,14,17,7,7,5,0,67,3,31,5,12,9,5,0,0,0,71,5,17,19,18,24,30,8,4,3,127,7,32,41,53,33,21,23,40,3,259,64,73,116,139,63,59,8,23,10,561,0,16,3,0,8,0,3,0,0,34,0,22,15,18,13,5,5,3,0,78
2015,123,256,131,224,579,670,420,712,60,3173,3,7,15,9,11,5,12,11,0,78,0,0,0,0,3,6,3,4,0,17,0,11,8,8,14,9,3,6,0,67,0,0,0,0,3,3,3,4,0,15,3,8,9,12,9,6,3,14,3,74,0,3,4,3,3,3,0,0,0,26,22,138,73,54,47,31,21,18,4,415,7,93,50,38,19,12,6,19,8,244,0,8,7,4,8,4,0,3,0,39,0,5,3,3,3,4,3,3,0,23,6,0,3,10,11,8,5,3,0,48,0,3,9,3,12,6,3,6,0,39,4,23,19,22,16,22,4,7,0,112,3,29,13,15,14,6,3,0,3,88,16,29,22,19,58,60,35,20,0,262,9,70,73,82,55,53,23,47,3,426,53,68,163,174,119,114,34,41,4,776,5,6,5,4,5,0,0,3,0,35,3,22,24,21,21,15,3,7,4,116
2016,337,822,513,756,2209,2496,1343,1913,266,10649,9,33,42,43,48,52,26,29,5,286,0,0,0,0,0,0,0,0,0,0,24,60,53,58,106,87,38,37,8,467,14,3,8,11,42,43,8,5,0,132,7,33,35,24,41,39,13,6,0,200,0,17,24,21,19,23,11,3,4,120,48,400,203,288,235,99,78,46,18,1420,19,293,96,110,75,53,32,50,10,738,6,29,21,28,25,27,11,17,0,157,8,11,10,14,29,17,6,9,0,104,9,13,22,27,53,30,14,14,0,189,5,8,12,22,38,22,10,5,0,119,14,56,46,61,126,70,26,27,4,437,14,78,50,60,73,52,24,20,5,375,33,46,58,75,111,74,33,26,4,457,41,124,171,197,262,155,119,154,7,1223,158,230,458,664,490,359,102,136,40,2635,8,36,15,11,7,5,7,3,3,91,16,74,57,68,82,32,22,23,4,379
2017,82,175,109,169,478,580,301,494,60,2441,5,9,3,7,5,9,3,8,3,45,0,0,0,0,0,0,0,0,0,0,4,28,11,11,17,24,6,0,0,99,0,0,3,0,0,3,0,0,0,4,3,11,7,4,6,5,0,3,0,41,4,0,4,5,11,10,0,0,0,32,11,82,48,58,51,21,22,19,9,320,11,98,42,35,30,14,0,22,0,257,0,4,7,5,12,0,3,0,0,33,0,8,0,3,9,3,0,0,0,20,3,5,12,5,24,10,4,7,0,62,3,5,0,4,9,0,0,0,0,24,3,12,6,16,19,19,3,3,0,86,6,22,14,19,12,4,0,5,3,91,9,9,9,18,34,25,12,3,3,121,18,33,42,51,65,48,35,33,3,322,34,29,76,111,90,91,19,18,10,487,0,8,0,6,3,0,0,0,0,21,3,23,15,11,17,6,3,8,0,81
2018,300,660,399,515,1801,1806,1147,1663,189,8486,5,17,9,14,9,10,3,8,3,68,0,0,0,3,7,3,6,3,0,17,8,40,15,22,45,33,15,3,0,181,3,7,19,15,43,24,5,5,0,119,3,21,21,20,22,32,14,6,0,147,3,5,9,16,16,16,3,4,0,71,51,361,199,202,176,79,50,46,10,1188,28,292,107,100,72,37,31,45,3,706,3,19,16,25,25,13,8,7,0,121,0,15,12,7,24,18,3,0,0,88,17,14,32,24,52,41,4,14,0,196,3,12,15,13,34,10,8,13,0,109,11,42,24,35,54,49,12,18,0,248,8,76,43,41,41,21,8,13,3,258,74,73,131,160,242,114,55,31,8,889,48,146,131,157,158,71,95,138,4,940,114,204,404,492,331,224,93,117,13,2002,4,41,11,7,6,7,3,4,3,91,8,69,45,37,52,31,11,25,4,277
2019,127,297,213,311,775,923,477,722,95,3936,0,5,4,9,3,7,0,0,0,33,0,0,0,0,0,0,0,0,0,0,6,22,27,34,41,43,8,9,3,195,0,0,5,3,0,0,3,0,0,6,0,14,12,18,7,5,4,3,0,62,0,4,11,3,8,11,0,0,0,41,32,152,92,110,82,54,24,18,10,563,13,141,69,61,34,25,11,24,9,384,3,15,6,11,12,10,3,9,0,66,0,6,11,4,6,3,4,0,0,37,4,3,14,12,25,12,6,6,0,77,4,8,0,6,11,4,7,5,0,48,3,20,20,26,30,14,15,16,0,135,7,38,22,13,35,6,8,3,3,138,21,20,33,39,70,44,19,16,0,262,23,59,70,78,95,57,33,40,3,466,87,109,215,323,184,125,31,64,10,1146,3,25,7,5,3,0,3,5,0,49,3,25,23,12,33,19,4,6,0,124
2020,228,625,400,520,1372,1759,1065,1838,164,7973,24,54,50,60,72,42,12,83,8,391,0,3,3,0,0,0,3,0,0,8,7,52,28,29,63,29,29,20,0,267,0,3,9,0,4,3,3,3,0,19,6,51,17,21,18,45,11,6,3,177,3,19,10,18,29,25,13,11,3,124,45,223,146,136,123,71,34,33,11,814,26,205,107,93,55,46,25,47,12,616,5,16,19,16,20,8,10,6,0,105,0,27,9,11,17,6,3,3,0,76,12,16,27,23,27,32,13,18,0,172,3,14,6,3,28,27,11,13,0,107,12,80,53,50,74,45,24,24,0,355,13,67,27,32,34,16,13,12,4,224,32,44,57,49,74,65,28,36,0,376,58,177,206,193,168,119,84,138,6,1149,96,185,335,396,229,139,71,65,16,1535,10,37,12,15,6,5,3,7,0,98,10,70,49,62,77,27,17,25,0,345
