SUA_CODE_2016,M15_19_Managers,M15_19_Professionals,M15_19_TechnicTrades_Wrs,M15_19_CommunPersnlSvc_W,M15_19_ClericalAdminis_W,M15_19_Sales_W,M15_19_Mach_oper_drivers,M15_19_Labourers,M15_19_Occu_ID_NS,M15_19_Tot,M20_24_Managers,M20_24_Professionals,M20_24_TechnicTrades_W,M20_24_CommunPersnlSvc_W,M20_24_ClericalAdminis_W,M20_24_Sales_W,M20_24_Mach_oper_drivers,M20_24_Labourers,M20_24_Occu_ID_NS,M20_24_Tot,M25_34_Managers,M25_34_Professionals,M25_34_TechnicTrades_W,M25_34_CommunPersnlSvc_W,M25_34_ClericalAdminis_W,M25_34_Sales_W,M25_34_Mach_oper_drivers,M25_34_Labourers,M25_34_Occu_ID_NS,M25_34_Tot,M35_44_Managers,M35_44_Professionals,M35_44_TechnicTrades_W,M35_44_CommunPersnlSvc_W,M35_44_ClericalAdminis_W,M35_44_Sales_W,M35_44_Mach_oper_drivers,M35_44_Labourers,M35_44_Occu_ID_NS,M35_44_Tot,M45_54_Managers,M45_54_Professionals,M45_54_TechnicTrades_W,M45_54_CommunPersnlSvc_W,M45_54_ClericalAdminis_W,M45_54_Sales_W,M45_54_Mach_oper_drivers,M45_54_Labourers,M45_54_Occu_ID_NS,M45_54_Tot,M55_64_Managers,M55_64_Professionals,M55_64_TechnicTrades_W,M55_64_CommunPersnlSvc_W,M55_64_ClericalAdminis_W,M55_64_Sales_W,M55_64_Mach_oper_drivers,M55_64_Labourers,M55_64_Occu_ID_NS,M55_64_Tot,M65_74_Managers,M65_74_Professionals,M65_74_TechnicTrades_W,M65_74_CommunPersnlSvc_W,M65_74_ClericalAdminis_W,M65_74_Sales_W,M65_74_Mach_oper_drivers,M65_74_Labourers,M65_74_Occu_ID_NS,M65_74_Tot,M75_84_Managers,M75_84_Professionals,M75_84_TechnicTrades_W,M75_84_CommunPersnlSvc_W,M75_84_ClericalAdminis_W,M75_84_Sales_W,M75_84_Mach_oper_drivers,M75_84_Labourers,M75_84_Occu_ID_NS,M75_84_Tot,M85_ov_Managers,M85_ov_Professionals,M85_ov_TechnicTrades_W,M85_ov_CommunPersnlSvc_W,M85_ov_ClericalAdminis_W,M85_ov_Sales_W,M85_ov_Mach_oper_drivers,M85_ov_Labourers,M85_ov_Occu_ID_NS,M85_ov_Tot,M_Tot_Managers,M_Tot_Professionals,M_Tot_TechnicTrades_W,M_Tot_CommunPersnlSvc_W,M_Tot_ClericalAdminis_W,M_Tot_Sales_W,M_Tot_Mach_oper_drivers,M_Tot_Labourers,M_Tot_Occu_ID_NS,M_Tot_Tot,F15_19_Managers,F15_19_Professionals,F15_19_TechnicTrades_Wrs,F15_19_CommunPersnlSvc_W,F15_19_ClericalAdminis_W,F15_19_Sales_W,F15_19_Mach_oper_drivers,F15_19_Labourers,F15_19_Occu_ID_NS,F15_19_Tot,F20_24_Managers,F20_24_Professionals,F20_24_TechnicTrades_W,F20_24_CommunPersnlSvc_W,F20_24_ClericalAdminis_W,F20_24_Sales_W,F20_24_Mach_oper_drivers,F20_24_Labourers,F20_24_Occu_ID_NS,F20_24_Tot,F25_34_Managers,F25_34_Professionals,F25_34_TechnicTrades_W,F25_34_CommunPersnlSvc_W,F25_34_ClericalAdminis_W,F25_34_Sales_W,F25_34_Mach_oper_drivers,F25_34_Labourers,F25_34_Occu_ID_NS,F25_34_Tot,F35_44_Managers,F35_44_Professionals,F35_44_TechnicTrades_W,F35_44_CommunPersnlSvc_W,F35_44_ClericalAdminis_W,F35_44_Sales_W,F35_44_Mach_oper_drivers,F35_44_Labourers,F35_44_Occu_ID_NS,F35_44_Tot,F45_54_Managers,F45_54_Professionals,F45_54_TechnicTrades_W,F45_54_CommunPersnlSvc_W,F45_54_ClericalAdminis_W,F45_54_Sales_W,F45_54_Mach_oper_drivers,F45_54_Labourers,F45_54_Occu_ID_NS,F45_54_Tot,F55_64_Managers,F55_64_Professionals,F55_64_TechnicTrades_W,F55_64_CommunPersnlSvc_W,F55_64_ClericalAdminis_W,F55_64_Sales_W,F55_64_Mach_oper_drivers,F55_64_Labourers,F55_64_Occu_ID_NS,F55_64_Tot,F65_74_Managers,F65_74_Professionals,F65_74_TechnicTrades_W,F65_74_CommunPersnlSvc_W,F65_74_ClericalAdminis_W,F65_74_Sales_W,F65_74_Mach_oper_drivers,F65_74_Labourers,F65_74_Occu_ID_NS,F65_74_Tot,F75_84_Managers,F75_84_Professionals,F75_84_TechnicTrades_W,F75_84_CommunPersnlSvc_W,F75_84_ClericalAdminis_W,F75_84_Sales_W,F75_84_Mach_oper_drivers,F75_84_Labourers,F75_84_Occu_ID_NS,F75_84_Tot,F85ov_Managers,F85ov_Professionals,F85ov_TechnicTrades_W,F85ov_CommunPersnlSvc_W,F85ov_ClericalAdminis_W,F85ov_Sales_W,F85ov_Mach_oper_drivers,F85ov_Labourers,F85ov_Occu_ID_NS,F85ov_Tot,F_Tot_Managers,F_Tot_Professionals,F_Tot_TechnicTrades_W,F_Tot_CommunPersnlSvc_W,F_Tot_ClericalAdminis_W,F_Tot_Sales_W,F_Tot_Mach_oper_drivers,F_Tot_Labourers,F_Tot_Occu_ID_NS,F_Tot_Tot
2010,632,1080,6902,5380,1269,10463,1431,11703,735,39592,4317,11585,24050,12071,7167,14929,7198,16057,2053,99425,32587,71745,61522,17583,21837,19247,21909,24814,5324,276567,49782,66368,46850,11387,18374,13606,21490,18724,4632,251215,47725,46379,41472,10041,15413,11681,24099,18596,4081,219490,27880,32028,26358,6393,10914,7856,18233,13990,2560,146215,7176,10831,5439,1565,3013,2748,3960,3999,911,39642,1007,1408,501,146,337,334,259,574,283,4849,157,168,83,16,49,44,32,68,111,736,171260,241597,213183,64576,78370,80906,98617,108524,20687,1077734,531,1244,1109,10200,2790,23735,243,3943,655,44453,4622,15803,4649,23240,16023,24606,1043,5165,1455,96608,24735,91201,12382,34783,46044,22662,2322,9836,3881,247852,29452,72917,9249,26888,45887,15950,2810,9454,3168,215774,24992,54042,8214,27877,51727,17300,4138,13342,2868,204493,12248,32906,4511,17119,33879,10766,2787,10571,1578,126359,2434,6665,851,3243,7674,2382,352,2183,592,26368,244,511,71,175,555,193,17,240,217,2227,48,90,17,29,64,24,4,22,103,410,99298,275374,41052,143564,204640,117614,13719,54751,14522,964541
2011,10,4,207,41,9,134,29,189,21,644,55,63,467,87,72,117,158,236,31,1286,304,315,1033,202,263,207,653,444,76,3500,394,360,764,204,263,161,735,381,74,3329,305,199,531,152,198,123,645,315,64,2530,229,158,383,121,162,84,456,224,33,1858,43,48,56,34,23,38,88,46,14,388,3,0,0,3,3,0,3,7,0,23,3,0,0,0,0,0,0,0,0,3,1342,1144,3448,841,995,869,2770,1834,317,13557,15,3,43,107,50,374,8,90,7,695,67,93,74,289,227,274,40,83,26,1176,263,615,156,578,715,332,79,139,49,2928,234,481,113,482,676,256,87,162,43,2528,156,274,85,459,604,275,98,237,20,2209,97,180,43,325,472,186,43,175,27,1546,15,23,5,41,72,20,4,23,5,210,0,0,0,3,3,0,0,0,3,10,0,0,0,0,0,0,0,0,0,4,850,1675,517,2281,2813,1722,362,908,183,11314
2012,15,11,155,28,9,178,14,187,14,624,61,51,297,68,23,121,74,221,14,925,243,276,647,146,86,152,231,347,37,2176,406,317,450,162,75,114,255,252,46,2069,537,303,442,115,103,119,334,274,36,2257,384,238,342,100,108,113,327,276,41,1928,162,66,60,21,28,36,72,66,18,528,35,7,5,3,3,4,3,8,12,85,9,0,0,0,0,0,0,0,3,16,1848,1268,2390,659,432,844,1309,1639,215,10609,13,7,24,117,39,395,0,74,11,680,35,141,61,254,132,209,3,85,10,936,123,551,105,349,348,210,13,172,34,1910,191,548,95,324,425,239,15,164,24,2024,238,512,84,410,538,267,26,240,26,2345,206,341,72,281,430,169,22,214,28,1768,61,57,16,50,87,38,3,47,14,367,13,0,0,3,3,0,0,4,9,29,0,0,0,0,4,3,0,0,0,7,888,2170,464,1786,2010,1522,86,1004,145,10074
2013,0,3,51,9,0,65,8,54,5,200,15,12,155,25,18,32,17,63,6,342,38,48,245,42,30,40,80,87,13,625,64,52,169,36,33,32,87,111,20,596,59,51,218,35,30,30,116,112,19,667,52,63,160,33,37,25,114,99,18,597,17,10,31,8,5,3,14,21,4,121,6,0,3,0,0,0,0,0,3,16,0,0,0,0,0,0,0,0,0,7,257,249,1030,181,159,226,434,547,87,3160,0,3,5,24,3,114,0,23,10,187,16,41,18,89,53,82,0,21,6,322,35,137,46,132,135,62,3,37,0,582,37,106,29,114,118,63,4,49,13,526,41,92,30,166,168,96,6,68,10,678,34,115,15,104,99,47,4,74,8,503,12,20,4,19,16,12,0,18,3,104,0,3,0,3,0,0,0,0,4,9,0,0,0,0,0,0,0,0,0,0,178,511,146,650,611,467,23,283,51,2920
2014,5,0,16,8,0,44,4,58,0,140,11,7,72,14,3,12,28,48,0,194,21,38,121,14,14,16,96,44,7,367,37,61,138,19,12,12,104,61,15,456,73,45,148,23,20,11,164,86,14,586,75,61,80,15,26,11,129,62,12,477,23,18,11,4,10,9,29,17,4,122,12,3,3,0,0,0,3,3,0,24,0,0,0,0,0,0,0,0,0,3,254,235,592,97,87,122,555,378,51,2372,3,0,8,44,10,65,3,15,0,153,7,15,13,46,17,31,3,16,3,148,24,86,20,65,45,35,4,30,0,307,40,105,22,82,90,48,10,53,4,444,45,110,22,90,104,36,17,76,3,510,41,97,16,77,79,43,11,54,8,415,10,16,3,20,18,5,0,13,0,85,0,0,0,0,5,3,0,3,0,12,0,0,0,0,0,0,0,0,0,4,164,426,114,433,362,260,38,251,27,2074
2015,3,0,37,13,3,59,6,71,0,198,17,24,116,26,9,30,14,44,8,290,81,143,204,62,22,30,50,106,15,705,121,133,180,43,25,37,49,56,11,644,125,96,141,52,36,22,78,89,11,653,75,78,122,34,37,26,61,74,7,525,25,19,21,8,4,4,12,20,0,125,0,8,5,0,0,0,0,3,0,18,0,0,0,0,0,0,0,0,0,6,455,497,838,237,142,204,270,464,65,3173,0,3,5,25,12,121,3,25,3,197,23,42,14,60,28,57,3,26,3,248,48,217,35,119,92,48,4,43,9,618,62,184,32,91,108,70,3,61,11,614,58,169,33,145,140,66,0,66,7,676,41,113,20,95,121,60,9,69,7,534,12,19,3,12,17,8,0,14,0,83,0,0,0,0,4,0,0,3,0,9,0,0,0,0,0,0,0,0,0,3,235,745,146,545,519,425,27,296,38,2981
2016,19,15,133,45,18,204,15,190,27,652,78,68,329,59,25,92,67,193,19,928,273,388,646,110,92,144,211,370,35,2271,419,307,471,116,90,126,247,324,50,2159,455,300,453,98,104,139,325,340,37,2250,331,266,295,74,126,103,296,248,26,1771,107,96,58,26,34,44,91,73,5,531,23,9,4,7,3,9,12,11,5,67,3,0,0,0,0,0,0,3,4,14,1704,1452,2396,526,495,849,1268,1752,210,10649,10,8,11,127,61,408,0,70,11,710,43,138,47,211,151,188,10,79,14,879,162,667,112,330,336,179,12,188,27,2009,177,540,91,345,417,198,21,175,26,2003,213,449,112,371,578,253,29,229,18,2252,144,366,46,302,375,152,32,216,22,1649,35,58,13,55,66,34,3,47,12,320,4,6,0,3,10,0,0,3,4,24,0,0,0,0,0,0,0,0,3,10,797,2232,437,1752,1979,1419,108,1013,130,9855
2017,3,3,45,13,0,25,4,55,0,158,20,21,100,15,8,24,15,44,6,254,104,72,156,23,17,49,40,85,8,560,88,66,93,27,19,28,49,67,10,452,104,61,92,27,26,37,62,80,8,491,100,57,57,17,39,33,51,47,7,407,29,11,8,3,3,0,14,22,10,103,5,0,3,0,0,0,0,3,3,18,0,0,0,0,0,0,0,0,0,4,451,297,552,124,120,202,241,405,51,2441,0,0,3,41,12,93,0,10,0,163,12,31,14,61,43,40,0,15,3,226,43,162,43,69,71,42,3,31,6,467,41,108,23,52,104,51,0,38,11,426,52,90,13,87,108,57,5,60,3,474,42,76,8,69,92,48,3,37,5,390,14,17,0,13,8,7,0,5,0,64,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,197,488,111,400,439,334,14,204,28,2218
2018,6,3,107,33,7,127,17,151,6,458,41,58,313,50,44,85,41,137,14,787,155,300,618,101,103,112,208,270,48,1918,251,236,431,87,113,72,224,239,25,1686,280,212,471,92,98,63,302,249,38,1808,200,166,353,90,70,48,285,181,30,1423,69,42,66,16,20,20,55,46,16,345,12,4,7,0,3,3,3,4,4,48,0,0,0,0,0,0,0,0,0,4,1020,1030,2370,468,458,535,1142,1266,189,8486,12,3,23,109,19,266,3,45,3,486,30,129,58,243,154,177,0,27,14,837,116,520,99,286,417,206,12,88,24,1755,139,370,81,257,421,201,13,114,19,1618,142,341,76,270,477,180,24,156,28,1692,93,253,32,230,320,127,16,163,19,1248,19,51,11,42,51,25,3,27,3,232,5,10,0,3,7,4,0,5,3,31,3,0,0,0,0,0,0,0,0,0,550,1672,379,1432,1865,1182,75,624,115,7893
2019,0,0,62,22,3,74,10,86,6,259,13,20,121,25,14,28,29,65,7,328,91,117,248,50,27,38,61,127,8,763,120,128,186,48,32,74,90,88,23,793,147,105,156,69,63,56,138,134,18,892,111,122,118,52,47,49,122,75,9,704,39,23,20,4,9,18,26,28,6,174,7,3,3,0,0,3,0,3,3,22,0,0,0,0,0,0,0,0,0,4,530,515,922,276,196,337,485,602,71,3936,3,8,9,64,14,160,0,43,4,301,15,58,18,74,40,70,4,31,8,329,45,245,37,131,107,95,5,27,5,708,65,218,38,158,161,83,11,56,4,798,75,224,24,174,214,86,17,94,9,904,48,163,17,136,179,77,20,90,9,746,15,20,3,26,34,13,4,11,3,125,7,3,0,0,5,0,0,3,0,16,0,0,0,0,0,0,0,0,0,0,279,936,155,753,756,582,64,358,36,3930
