SUA_CODE_2016,Ireland_2011,Ireland_2012,Ireland_2013,Ireland_2014,Ireland_2015,Ireland_2016,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1946,Italy_1946_1955,Italy_1956_1965,Italy_1966_1975,Italy_1976_1985,Italy_1986_1995,Italy_1996_2005,Italy_2006_2010,Italy_2011,Italy_2012,Italy_2013,Italy_2014,Italy_2015,Italy_2016,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1946,Japan_1946_1955,Japan_1956_1965,Japan_1966_1975,Japan_1976_1985,Japan_1986_1995,Japan_1996_2005,Japan_2006_2010,Japan_2011,Japan_2012,Japan_2013,Japan_2014,Japan_2015,Japan_2016,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1946,Korea_Rep_Sth_1946_1955,Korea_Rep_Sth_1956_1965,Korea_Rep_Sth_1966_1975,Korea_Rep_Sth_1976_1985,Korea_Rep_Sth_1986_1995,Korea_Rep_Sth_1996_2005,Korea_Rep_Sth_2006_2010,Korea_Republic_South_2011,Korea_Republic_South_2012,Korea_Republic_South_2013,Korea_Republic_South_2014,Korea_Republic_South_2015,Korea_Republic_South_2016,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1946,Lebanon_1946_1955,Lebanon_1956_1965,Lebanon_1966_1975,Lebanon_1976_1985,Lebanon_1986_1995,Lebanon_1996_2005,Lebanon_2006_2010,Lebanon_2011,Lebanon_2012,Lebanon_2013,Lebanon_2014,Lebanon_2015,Lebanon_2016,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1946,Malaysia_1946_1955,Malaysia_1956_1965,Malaysia_1966_1975,Malaysia_1976_1985,Malaysia_1986_1995,Malaysia_1996_2005,Malaysia_2006_2010,Malaysia_2011,Malaysia_2012,Malaysia_2013,Malaysia_2014,Malaysia_2015,Malaysia_2016,Malaysia_Yr_arrival_ns,Malaysia_Tot,Malta_Before_1946,Malta_1946_1955,Malta_1956_1965,Malta_1966_1975,Malta_1976_1985,Malta_1986_1995,Malta_1996_2005,Malta_2006_2010,Malta_2011,Malta_2012,Malta_2013,Malta_2014,Malta_2015,Malta_2016,Malta_Yr_arrival_NS,Malta_Tot,Netherlands_Before_1946,Netherlands_1946_1955,Netherlands_1956_1965,Netherlands_1966_1975,Netherlands_1976_1985,Netherlands_1986_1995,Netherlands_1996_2005,Netherlands_2006_2010,Netherlands_2011,Netherlands_2012,Netherlands_2013,Netherlands_2014,Netherlands_2015,Netherlands_2016,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1946,New_Zealand_1946_1955,New_Zealand_1956_1965,New_Zealand_1966_1975,New_Zealand_1976_1985,New_Zealand_1986_1995,New_Zealand_1996_2005,New_Zealand_2006_2010,New_Zealand_2011,New_Zealand_2012,New_Zealand_2013,New_Zealand_2014,New_Zealand_2015,New_Zealand_2016,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,Pakistan_Before_1946,Pakistan_1946_1955,Pakistan_1956_1965,Pakistan_1966_1975,Pakistan_1976_1985,Pakistan_1986_1995,Pakistan_1996_2005,Pakistan_2006_2010,Pakistan_2011,Pakistan_2012,Pakistan_2013,Pakistan_2014,Pakistan_2015,Pakistan_2016,Pakistan_Yr_arrival_NS,Pakistan_Tot,Philippines_Before_1946,Philippines_1946_1955,Philippines_1956_1965,Philippines_1966_1975,Philippines_1976_1985,Philippines_1986_1995,Philippines_1996_2005,Philippines_2006_2010,Philippines_2011,Philippines_2012,Philippines_2013,Philippines_2014,Philippines_2015,Philippines_2016,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1946,Poland_1946_1955,Poland_1956_1965,Poland_1966_1975,Poland_1976_1985,Poland_1986_1995,Poland_1996_2005,Poland_2006_2010,Poland_2011,Poland_2012,Poland_2013,Poland_2014,Poland_2015,Poland_2016,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1946,Singapore_1946_1955,Singapore_1956_1965,Singapore_1966_1975,Singapore_1976_1985,Singapore_1986_1995,Singapore_1996_2005,Singapore_2006_2010,Singapore_2011,Singapore_2012,Singapore_2013,Singapore_2014,Singapore_2015,Singapore_2016,Singapore_Yr_arrival_ns,Singapore_Tot
2010,928,826,549,399,425,241,314,12949,344,13258,25211,12815,1781,803,976,904,311,573,745,733,624,341,3022,62443,3,70,59,163,340,878,2080,1326,268,359,325,464,556,446,474,7812,0,0,6,58,317,898,3184,4080,759,773,796,831,871,773,663,14011,5,115,467,3133,3632,3151,2247,1475,223,245,295,272,248,111,661,16281,42,79,494,2103,5288,8407,8115,7718,1632,1953,2220,2508,3106,2376,1358,47403,37,3768,5923,3008,1128,326,210,143,21,18,11,19,16,4,584,15217,20,3583,3614,996,960,433,677,523,131,110,117,141,132,131,403,11971,176,336,997,3506,8107,9864,17379,12547,4201,4662,3834,3074,2910,1748,2754,76090,0,15,21,140,254,898,2723,4214,1360,2185,2202,2126,2038,1191,501,19867,9,22,78,581,3902,10470,7539,9287,1604,1939,2105,1993,2087,1292,1137,44041,184,1496,1661,944,3591,3051,980,479,97,108,108,118,143,58,329,13343,28,31,177,615,1001,1851,3804,2929,547,688,689,764,989,734,368,15220
2011,0,0,3,6,0,0,4,129,0,45,114,58,15,7,5,3,0,0,3,0,0,0,14,274,0,0,3,0,0,0,10,3,0,0,0,0,0,0,0,18,0,0,0,0,5,9,17,15,0,3,0,3,3,0,0,51,0,0,0,21,17,9,17,10,0,0,0,0,0,0,3,75,0,0,0,12,20,21,26,24,7,5,0,3,5,3,3,131,0,139,247,148,77,35,18,15,17,8,0,6,7,0,23,736,0,38,63,6,10,0,8,8,0,3,0,0,0,0,9,140,0,0,11,43,118,177,337,311,93,136,97,79,49,34,87,1585,0,0,0,0,4,7,32,61,5,14,14,0,5,3,3,154,0,0,0,4,57,121,143,354,32,35,43,54,62,20,21,943,0,7,6,3,50,40,11,15,0,0,3,0,0,0,6,139,0,0,0,8,5,7,23,10,0,0,0,0,5,0,0,65
2012,0,0,0,0,3,0,0,31,7,178,233,90,14,4,3,0,6,7,5,3,4,0,43,604,0,0,0,0,0,0,0,3,0,0,0,0,0,6,9,30,0,0,0,0,0,0,19,5,0,0,0,0,0,13,18,56,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,7,11,18,9,9,10,19,43,51,42,215,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,36,30,5,3,3,3,0,0,0,3,0,3,0,5,90,0,0,7,38,69,80,110,35,9,7,32,0,12,8,19,425,0,0,0,0,0,0,4,7,5,11,0,3,7,3,0,43,0,0,0,0,10,35,32,51,15,4,16,21,10,10,3,218,0,7,0,0,3,0,0,0,0,0,0,0,0,0,3,12,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5
2013,0,0,0,0,0,0,0,17,0,20,24,8,0,0,0,0,0,0,0,0,0,0,4,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,3,6,3,0,0,0,0,0,0,0,13,0,78,49,11,4,0,0,0,0,0,0,0,0,0,4,156,0,82,74,18,27,7,6,0,0,0,0,0,0,0,4,218,0,0,0,23,35,18,26,15,4,0,6,3,0,0,9,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,31,19,14,5,3,0,8,5,0,6,97,0,12,3,0,4,4,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,0,8,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,3,0,0,0,0,0,0,0,13,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,15,0,25,15,3,3,0,0,0,0,0,0,0,0,0,0,56,0,3,0,12,31,27,26,12,11,3,0,4,0,0,3,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,11,15,9,13,0,6,7,0,7,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
2015,6,0,0,0,0,0,0,24,0,19,16,0,0,0,0,0,0,0,0,0,0,0,3,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,10,0,0,0,13,9,3,4,5,3,3,5,0,4,7,4,61,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,35,29,5,4,3,0,3,0,0,0,0,0,0,4,84,0,0,4,12,24,16,28,26,5,3,3,5,6,0,4,143,0,0,0,0,0,0,4,6,3,7,0,0,4,0,0,23,0,0,0,0,15,22,9,13,5,5,8,0,7,0,5,99,0,4,0,5,0,9,0,0,0,0,0,0,0,0,3,21,0,0,0,0,0,0,0,10,0,0,0,0,3,0,7,17
2016,9,0,0,0,3,0,0,64,13,197,241,98,16,0,3,4,0,0,0,3,3,3,37,624,0,0,0,0,0,0,6,3,0,0,0,5,0,0,3,14,0,0,0,0,0,3,0,13,3,0,0,0,0,3,0,25,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,10,0,0,3,4,10,3,29,31,9,11,8,31,26,19,7,194,0,3,4,3,3,0,0,0,0,0,0,0,0,0,0,12,0,45,58,6,6,0,4,3,0,0,0,0,0,0,3,135,0,3,7,32,69,67,130,80,14,26,30,29,16,4,29,538,0,0,0,0,0,0,9,44,18,30,73,23,24,14,0,231,0,0,0,0,18,41,50,60,21,35,22,20,23,20,14,330,0,4,0,7,3,4,0,3,0,0,0,0,0,0,0,19,0,0,0,0,0,0,3,3,0,4,0,0,0,0,0,20
2017,0,3,0,0,0,0,0,8,0,42,58,12,0,0,0,0,0,0,0,0,0,0,3,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,19,18,8,7,3,62,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,4,7,4,13,5,3,0,0,0,4,0,3,48,0,0,0,0,0,0,4,9,0,19,11,0,0,0,0,39,0,0,0,0,0,11,9,26,3,6,5,5,0,3,6,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2018,6,0,0,0,0,0,3,78,3,90,249,123,14,0,3,6,0,0,0,0,0,0,26,516,0,0,0,0,0,0,0,0,0,3,3,0,0,3,5,22,0,0,0,0,3,0,5,6,3,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,10,4,9,10,11,3,0,3,9,3,3,3,65,0,62,54,14,8,3,0,0,0,3,0,0,0,0,4,158,0,135,120,23,13,8,3,3,0,0,0,0,0,0,9,312,0,3,7,31,96,54,76,40,10,12,10,9,6,7,15,366,0,0,0,0,0,0,0,14,0,0,0,0,3,0,0,17,0,0,0,0,33,59,46,32,6,13,9,18,16,14,13,264,0,12,7,0,16,21,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,9,0,0,3,3,4,0,0,0,18
2019,0,0,0,0,0,0,0,12,11,85,100,46,0,0,3,0,0,0,0,0,0,0,12,262,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,12,10,0,0,0,3,0,0,0,33,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,32,31,5,3,0,3,0,0,0,0,0,0,0,0,82,3,5,3,13,15,15,18,12,3,3,0,0,3,0,4,106,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,8,0,0,0,0,8,22,7,29,0,0,3,0,3,8,3,85,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2020,0,0,0,0,4,0,3,60,3,43,35,17,0,0,0,0,3,0,0,0,0,0,7,110,0,0,0,0,0,0,4,4,0,0,0,5,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,4,4,3,6,0,6,0,0,0,0,3,33,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,11,0,114,90,22,34,11,5,0,0,4,0,0,0,0,8,289,0,8,5,33,76,64,77,47,17,9,10,10,4,0,12,371,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,12,0,0,0,0,13,23,20,19,0,7,0,4,13,0,5,96,0,8,3,8,8,6,8,0,0,0,0,0,0,0,0,36,0,0,0,5,5,0,5,3,0,0,0,0,0,0,0,15
2021,0,0,0,5,0,0,3,69,0,8,8,3,0,0,3,0,3,0,0,0,0,0,0,25,0,0,0,0,0,0,6,3,0,3,0,0,5,0,4,24,0,0,0,0,0,0,14,9,3,0,3,16,17,22,20,97,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,7,3,3,3,6,0,0,4,0,6,5,0,45,0,3,7,9,0,0,0,0,0,0,0,0,0,0,0,18,0,45,36,4,4,0,6,3,0,0,0,0,0,0,0,102,0,0,3,25,51,57,100,58,13,20,13,5,14,8,11,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,18,17,31,9,7,3,3,3,8,3,116,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,4,0,0,0,7,0,0,0,0,12
