SUA_CODE_2016,M_LPLFS_EFT_DC_0_4,M_LPLFS_EFT_DC_5_9,M_LPLFS_EFT_DC_10_12,M_LPLFS_EFT_DC_13_14,M_LPLFS_EFT_DC_15_17,M_LPLFS_EFT_DC_18_20,M_LPLFS_EFT_DC_21_24,M_LPLFS_EFT_T,M_LPLFS_EPT_DC_0_4,M_LPLFS_EPT_DC_5_9,M_LPLFS_EPT_DC_10_12,M_LPLFS_EPT_DC_13_14,M_LPLFS_EPT_DC_15_17,M_LPLFS_EPT_DC_18_20,M_LPLFS_EPT_DC_21_24,M_LPLFS_EPT_T,M_LPLFS_EAW_DC_0_4,M_LPLFS_EAW_DC_5_9,M_LPLFS_EAW_DC_10_12,M_LPLFS_EAW_DC_13_14,M_LPLFS_EAW_DC_15_17,M_LPLFS_EAW_DC_18_20,M_LPLFS_EAW_DC_21_24,M_LPLFS_EAW_T,M_LPLFS_HNS_DC_0_4,M_LPLFS_HNS_DC_5_9,M_LPLFS_HNS_DC_10_12,M_LPLFS_HNS_DC_13_14,M_LPLFS_HNS_DC_15_17,M_LPLFS_HNS_DC_18_20,M_LPLFS_HNS_DC_21_24,M_LPLFS_HNS_T,M_LPLFS_EW_T_DC_0_4,M_LPLFS_EW_T_DC_5_9,M_LPLFS_EW_T_DC_10_12,M_LPLFS_EW_T_DC_13_14,M_LPLFS_EW_T_DC_15_17,M_LPLFS_EW_T_DC_18_20,M_LPLFS_EW_T_DC_21_24,M_LPLFS_EW_T_T,M_LPLFS_ULFTW_DC_0_4,M_LPLFS_ULFTW_DC_5_9,M_LPLFS_ULFTW_DC_10_12,M_LPLFS_ULFTW_DC_13_14,M_LPLFS_ULFTW_DC_15_17,M_LPLFS_ULFTW_DC_18_20,M_LPLFS_ULFTW_DC_21_24,M_LPLFS_ULFTW_T,M_LPLFS_ULPTW_DC_0_4,M_LPLFS_ULPTW_DC_5_9,M_LPLFS_ULPTW_DC_10_12,M_LPLFS_ULPTW_DC_13_14,M_LPLFS_ULPTW_DC_15_17,M_LPLFS_ULPTW_DC_18_20,M_LPLFS_ULPTW_DC_21_24,M_LPLFS_ULPTW_T,M_LPLFS_U_T_DC_0_4,M_LPLFS_U_T_DC_5_9,M_LPLFS_U_T_DC_10_12,M_LPLFS_U_T_DC_13_14,M_LPLFS_U_T_DC_15_17,M_LPLFS_U_T_DC_18_20,M_LPLFS_U_T_DC_21_24,M_LPLFS_U_T_T,M_LPLFS_T_LF_DC_0_4,M_LPLFS_T_LF_DC_5_9,M_LPLFS_T_LF_DC_10_12,M_LPLFS_T_LF_DC_13_14,M_LPLFS_T_LF_DC_15_17,M_LPLFS_T_LF_DC_18_20,M_LPLFS_T_LF_DC_21_24,M_LPLFS_T_LF_T,M_LPLFS_NLF_DC_0_4,M_LPLFS_NLF_DC_5_9,M_LPLFS_NLF_DC_10_12,M_LPLFS_NLF_DC_13_14,M_LPLFS_NLF_DC_15_17,M_LPLFS_NLF_DC_18_20,M_LPLFS_NLF_DC_21_24,M_LPLFS_NLF_T,M_LPLFS_LFSNS_DC_0_4,M_LPLFS_LFSNS_DC_5_9,M_LPLFS_LFSNS_DC_10_12,M_LPLFS_LFSNS_DC_13_14,M_LPLFS_LFSNS_DC_15_17,M_LPLFS_LFSNS_DC_18_20,M_LPLFS_LFSNS_DC_21_24,M_LPLFS_LFSNS_T,M_LPLFS_T_DC_0_4,M_LPLFS_T_DC_5_9,M_LPLFS_T_DC_10_12,M_LPLFS_T_DC_13_14,M_LPLFS_T_DC_15_17,M_LPLFS_T_DC_18_20,M_LPLFS_T_DC_21_24,M_LPLFS_T_T,F_LPLFS_EFT_DC_0_4,F_LPLFS_EFT_DC_5_9,F_LPLFS_EFT_DC_10_12,F_LPLFS_EFT_DC_13_14,F_LPLFS_EFT_DC_15_17,F_LPLFS_EFT_DC_18_20,F_LPLFS_EFT_DC_21_24,F_LPLFS_EFT_T,F_LPLFS_EPT_DC_0_4,F_LPLFS_EPT_DC_5_9,F_LPLFS_EPT_DC_10_12,F_LPLFS_EPT_DC_13_14,F_LPLFS_EPT_DC_15_17,F_LPLFS_EPT_DC_18_20,F_LPLFS_EPT_DC_21_24,F_LPLFS_EPT_T,F_LPLFS_EAW_DC_0_4,F_LPLFS_EAW_DC_5_9,F_LPLFS_EAW_DC_10_12,F_LPLFS_EAW_DC_13_14,F_LPLFS_EAW_DC_15_17,F_LPLFS_EAW_DC_18_20,F_LPLFS_EAW_DC_21_24,F_LPLFS_EAW_T,F_LPLFS_HNS_DC_0_4,F_LPLFS_HNS_DC_5_9,F_LPLFS_HNS_DC_10_12,F_LPLFS_HNS_DC_13_14,F_LPLFS_HNS_DC_15_17,F_LPLFS_HNS_DC_18_20,F_LPLFS_HNS_DC_21_24,F_LPLFS_HNS_T,F_LPLFS_EW_T_DC_0_4,F_LPLFS_EW_T_DC_5_9,F_LPLFS_EW_T_DC_10_12,F_LPLFS_EW_T_DC_13_14,F_LPLFS_EW_T_DC_15_17,F_LPLFS_EW_T_DC_18_20,F_LPLFS_EW_T_DC_21_24,F_LPLFS_EW_T_T,F_LPLFS_ULFTW_DC_0_4,F_LPLFS_ULFTW_DC_5_9,F_LPLFS_ULFTW_DC_10_12,F_LPLFS_ULFTW_DC_13_14,F_LPLFS_ULFTW_DC_15_17,F_LPLFS_ULFTW_DC_18_20,F_LPLFS_ULFTW_DC_21_24,F_LPLFS_ULFTW_T,F_LPLFS_ULPTW_DC_0_4,F_LPLFS_ULPTW_DC_5_9,F_LPLFS_ULPTW_DC_10_12,F_LPLFS_ULPTW_DC_13_14,F_LPLFS_ULPTW_DC_15_17,F_LPLFS_ULPTW_DC_18_20,F_LPLFS_ULPTW_DC_21_24,F_LPLFS_ULPTW_T,F_LPLFS_U_T_DC_0_4,F_LPLFS_U_T_DC_5_9,F_LPLFS_U_T_DC_10_12,F_LPLFS_U_T_DC_13_14,F_LPLFS_U_T_DC_15_17,F_LPLFS_U_T_DC_18_20,F_LPLFS_U_T_DC_21_24,F_LPLFS_U_T_T,F_LPLFS_T_LF_DC_0_4,F_LPLFS_T_LF_DC_5_9,F_LPLFS_T_LF_DC_10_12,F_LPLFS_T_LF_DC_13_14,F_LPLFS_T_LF_DC_15_17,F_LPLFS_T_LF_DC_18_20,F_LPLFS_T_LF_DC_21_24,F_LPLFS_T_LF_T,F_LPLFS_NLF_DC_0_4,F_LPLFS_NLF_DC_5_9,F_LPLFS_NLF_DC_10_12,F_LPLFS_NLF_DC_13_14,F_LPLFS_NLF_DC_15_17,F_LPLFS_NLF_DC_18_20,F_LPLFS_NLF_DC_21_24,F_LPLFS_NLF_T,F_LPLFS_LFSNS_DC_0_4,F_LPLFS_LFSNS_DC_5_9,F_LPLFS_LFSNS_DC_10_12,F_LPLFS_LFSNS_DC_13_14,F_LPLFS_LFSNS_DC_15_17,F_LPLFS_LFSNS_DC_18_20,F_LPLFS_LFSNS_DC_21_24,F_LPLFS_LFSNS_T,F_LPLFS_T_DC_0_4,F_LPLFS_T_DC_5_9,F_LPLFS_T_DC_10_12,F_LPLFS_T_DC_13_14,F_LPLFS_T_DC_15_17,F_LPLFS_T_DC_18_20,F_LPLFS_T_DC_21_24,F_LPLFS_T_T,T_LPLFS_EFT_DC_0_4,T_LPLFS_EFT_DC_5_9,T_LPLFS_EFT_DC_10_12,T_LPLFS_EFT_DC_13_14,T_LPLFS_EFT_DC_15_17,T_LPLFS_EFT_DC_18_20,T_LPLFS_EFT_DC_21_24,T_LPLFS_EFT_T
2010,944,1981,1616,1431,2460,1449,823,10702,270,582,482,354,598,363,196,2843,46,38,34,43,61,41,29,290,68,60,47,43,58,34,25,346,1336,2657,2173,1872,3179,1886,1070,14171,94,160,129,97,161,103,65,814,38,110,64,48,58,31,17,375,137,275,195,147,221,139,76,1186,1472,2932,2373,2018,3396,2020,1150,15359,553,897,684,543,725,434,268,4102,53,57,29,21,32,15,11,232,2080,3889,3085,2586,4153,2472,1426,19696,2858,6524,5506,4418,7542,4690,2760,34290,4922,10188,7308,5226,7095,3591,1791,40118,626,400,274,202,274,168,117,2058,223,321,258,184,277,187,107,1549,8621,17428,13347,10019,15180,8636,4775,78016,497,1008,638,471,718,386,186,3908,872,1751,1074,661,743,389,193,5682,1370,2753,1713,1135,1458,779,379,9587,9998,20185,15062,11154,16642,9413,5150,87601,13840,12927,7190,4780,6326,3232,1912,50204,264,308,208,157,118,54,35,1148,24100,33423,22455,16088,23086,12707,7097,138957,3802,8499,7119,5852,10000,6136,3586,44988
2011,37,46,30,26,47,17,0,203,3,12,9,6,4,4,0,37,0,0,0,0,0,3,0,8,0,4,0,4,3,0,0,7,42,57,40,35,55,19,0,255,7,10,9,4,0,0,0,26,0,9,7,3,3,0,0,22,5,17,14,5,9,0,0,47,49,79,52,42,60,22,3,303,13,44,27,12,17,6,10,129,0,10,4,0,0,0,0,15,64,128,84,53,76,29,12,446,63,129,94,67,124,47,16,544,137,202,133,87,121,39,12,736,27,10,6,3,8,3,3,61,0,9,0,0,8,0,0,15,229,349,236,162,263,91,33,1361,25,52,33,13,20,6,0,151,42,81,40,23,29,3,7,223,61,130,70,37,52,9,7,370,298,479,308,200,313,102,36,1732,725,622,297,139,175,50,33,2047,13,12,0,0,3,0,0,28,1028,1115,606,340,484,154,76,3812,102,170,123,91,174,62,22,745
2012,17,33,31,24,35,12,3,153,8,8,4,6,9,0,0,44,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,28,44,34,30,47,9,4,205,4,5,0,0,0,0,0,10,0,8,0,3,0,0,0,13,4,7,0,4,0,0,0,23,34,57,34,33,47,13,4,223,19,28,10,12,13,4,0,83,0,0,3,0,0,0,0,4,48,80,46,47,65,12,7,310,36,83,80,75,105,40,6,425,96,179,133,83,117,28,6,639,10,5,3,0,3,0,0,22,0,3,3,3,6,0,0,18,150,268,217,156,238,68,14,1102,10,28,15,7,11,0,0,73,16,35,15,16,15,3,0,107,25,67,31,20,27,7,0,181,181,332,250,177,258,68,12,1285,378,344,140,87,88,21,4,1067,14,16,4,4,3,0,0,41,567,691,397,274,357,92,16,2394,56,115,105,93,141,51,12,580
2013,4,13,7,3,12,5,4,40,3,10,4,4,3,0,0,23,0,3,0,0,0,0,0,5,0,0,3,0,0,0,0,3,8,19,11,7,19,4,4,74,5,5,5,4,4,0,0,25,0,0,0,0,0,0,0,3,5,5,7,4,4,0,0,25,16,29,17,8,22,5,5,102,8,19,11,9,5,0,0,54,0,0,0,0,0,0,0,3,21,45,33,21,29,5,5,155,5,19,12,17,21,7,0,85,35,63,37,39,42,5,3,240,8,0,0,0,0,0,0,13,3,0,0,0,0,0,0,9,50,87,58,55,68,18,3,341,4,15,9,3,13,0,0,47,5,22,13,6,9,0,0,52,11,37,26,6,17,3,0,101,66,122,78,68,86,15,3,446,163,120,55,42,48,9,0,440,0,7,3,4,0,0,0,14,226,250,140,115,132,28,3,900,10,31,18,18,39,13,4,128
2014,0,5,5,9,11,0,0,38,0,0,3,0,5,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,5,22,0,0,46,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,8,0,3,3,4,3,0,0,13,4,6,12,14,22,0,0,59,3,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,9,13,12,22,0,0,66,5,16,18,10,21,6,4,73,18,26,18,16,34,8,0,125,3,3,3,3,0,0,0,16,0,0,0,0,0,0,0,0,24,46,45,33,57,12,4,210,0,3,0,0,0,0,0,8,0,12,9,0,3,0,0,26,0,15,5,3,6,0,0,38,26,58,49,36,63,15,4,251,76,55,26,16,16,3,0,196,0,0,0,0,0,0,0,0,104,112,82,56,78,14,3,451,9,20,25,16,29,10,4,108
2015,0,3,3,6,18,0,0,34,0,0,0,0,4,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,6,19,3,0,44,0,0,4,0,0,0,0,8,0,0,0,0,3,0,0,3,0,0,4,0,3,0,0,7,3,5,8,8,23,3,0,54,0,3,3,9,3,3,0,22,0,4,0,0,0,0,0,4,5,8,12,17,22,5,0,72,21,30,19,23,34,10,0,133,41,58,28,23,42,12,0,210,3,3,8,0,0,0,0,11,0,0,0,0,0,0,0,9,62,93,53,52,78,19,0,361,3,3,7,3,7,0,0,16,7,16,9,0,3,0,0,31,8,22,11,3,11,0,0,50,72,111,63,56,91,19,0,415,91,89,32,27,32,10,0,285,0,0,0,0,0,0,0,0,161,205,100,87,120,29,0,701,18,29,26,30,50,13,0,167
2016,18,25,29,15,50,16,0,154,4,4,9,10,8,0,0,32,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,7,24,35,43,29,58,17,3,198,0,0,0,3,0,0,0,7,3,8,3,0,0,0,0,19,3,7,3,3,3,3,0,26,25,43,48,29,58,19,3,224,13,35,14,14,19,0,0,95,0,4,0,3,3,0,0,9,42,77,60,47,75,18,5,330,50,87,71,67,124,25,12,442,94,191,120,86,140,27,3,672,10,13,9,3,11,5,3,50,0,7,4,3,8,0,0,25,156,299,207,162,280,60,18,1185,13,28,16,8,8,0,0,86,32,49,19,15,11,5,0,134,46,82,37,27,20,4,0,215,205,379,250,185,300,63,17,1402,376,292,167,104,98,27,6,1082,7,6,3,3,0,0,0,21,586,681,417,291,399,92,26,2500,62,114,104,86,174,39,11,589
2017,0,6,11,5,8,0,0,25,3,9,3,0,3,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,7,8,7,4,0,49,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,8,9,14,9,13,4,0,55,3,10,3,3,0,0,0,23,0,0,0,0,0,0,0,0,11,23,16,13,16,4,0,76,13,19,15,13,30,6,3,97,32,51,28,19,25,3,0,153,3,0,0,0,0,0,0,4,3,3,0,0,0,0,0,8,45,66,46,34,55,13,3,263,3,3,0,0,3,0,0,11,6,9,0,0,3,0,0,21,5,10,3,3,4,0,0,33,55,80,48,39,58,13,3,292,67,43,31,28,14,3,0,186,0,0,0,0,0,0,0,7,120,128,75,62,76,21,3,481,11,18,25,18,34,13,3,130
2018,15,23,19,21,29,11,3,122,0,13,4,3,8,0,0,36,0,0,0,3,0,0,0,3,0,4,0,0,0,0,0,9,22,40,22,26,40,12,3,164,5,3,3,4,8,0,0,26,0,4,0,0,0,0,0,4,3,7,4,4,10,0,0,33,28,49,25,36,46,9,0,200,21,20,16,10,14,3,0,84,0,0,0,0,0,0,0,0,49,73,40,45,61,16,0,286,25,61,66,60,92,24,9,337,73,164,106,90,97,21,8,568,14,11,3,4,11,0,0,46,3,8,6,0,3,0,0,12,116,244,171,160,200,51,20,964,12,35,25,16,13,7,0,111,29,55,39,17,27,7,0,171,39,90,67,32,43,15,0,283,156,335,241,185,241,65,23,1248,362,259,119,87,71,22,6,926,12,9,3,0,0,0,0,26,526,598,366,273,315,85,25,2196,43,82,79,83,123,33,16,458
2019,3,5,4,8,9,3,0,36,4,3,4,4,3,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,14,9,15,14,3,0,61,0,0,3,0,3,0,0,12,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,14,9,9,13,14,13,3,0,69,4,8,6,6,8,0,0,33,0,0,0,0,0,0,0,0,18,24,22,20,23,8,0,109,7,32,32,28,35,10,3,135,38,91,37,42,56,15,4,278,8,15,4,0,4,0,0,26,0,0,0,3,0,0,0,3,53,136,72,71,88,25,7,446,3,12,5,0,4,0,0,23,7,20,12,3,3,0,0,40,9,34,18,8,3,0,0,70,62,164,86,79,97,26,7,520,111,91,61,36,44,6,3,355,9,4,6,3,0,0,0,16,181,262,152,115,141,34,8,891,12,37,33,33,43,14,3,176
2020,8,21,14,27,32,8,3,114,5,4,5,3,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,24,22,31,37,8,3,135,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,12,24,22,31,37,11,3,141,9,15,8,4,11,3,0,50,0,0,0,0,0,0,0,3,19,43,31,36,53,12,3,197,9,38,47,29,82,34,3,249,56,146,90,56,85,19,10,459,7,11,0,3,3,0,0,26,3,3,0,0,4,0,0,7,75,190,139,98,172,58,13,740,0,13,8,6,0,0,0,30,11,19,11,6,10,3,0,58,15,33,12,8,9,3,0,89,90,225,153,106,183,61,13,833,186,179,90,46,68,29,3,595,0,3,0,0,0,0,0,5,282,413,242,148,247,85,13,1437,21,61,63,53,113,37,5,363
2021,9,17,23,14,14,7,0,86,0,8,9,6,5,0,0,32,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,28,31,20,29,7,0,122,0,3,3,3,5,0,0,12,0,3,0,0,0,0,0,3,0,3,3,3,5,0,0,18,9,30,32,23,31,7,0,137,7,10,11,4,4,3,0,43,3,3,0,0,0,3,0,6,17,41,48,33,37,10,0,181,15,44,38,32,87,30,5,251,73,163,116,80,98,27,7,561,19,7,9,6,13,0,0,46,0,6,0,0,0,0,0,13,108,217,158,115,205,57,11,866,4,8,4,5,0,3,0,24,3,19,12,6,7,4,0,57,6,29,15,12,7,4,0,78,118,247,177,122,214,59,11,948,187,150,56,38,44,11,3,497,3,4,3,0,4,0,0,19,309,403,236,166,264,74,16,1455,21,60,59,48,105,32,8,342
