SUA_CODE_2016,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot
2010,193,748,4145,17549,9059,7571,2672,1239,534,43706,5,50,73,387,308,296,246,167,86,1624,5,105,285,1048,278,202,82,21,8,2035,982,4230,8011,31490,12871,10361,8331,5658,2861,84795,6906,11016,15555,41963,17389,15327,12914,9255,5991,136313,134228,248158,287609,673690,290080,236763,173605,104837,54543,2203512,140,1105,3990,7881,1850,821,337,94,31,16255,246362,415539,385589,687458,316990,238784,151609,77468,40885,2560690,110,444,798,4774,709,344,95,12,6,7296,6,40,472,2777,1674,1477,731,490,79,7753,60,280,1239,5271,2721,2119,1017,366,139,13218,153,485,716,3512,1198,747,336,118,69,7341,42,96,170,2290,1487,1224,1223,358,85,6972,1252,5866,39533,62863,19686,14661,6455,3927,1438,155675,6,36,191,1527,2157,2706,3090,2620,518,12862,109,852,652,2470,1524,2365,2467,1430,605,12487,1019,6277,6724,28235,24372,21692,21397,12432,5314,127458,22,266,722,4109,2119,1501,747,332,79,9899,62,319,629,2876,914,537,563,261,121,6287,85,365,984,3590,2221,2069,5566,3076,1426,19384
2011,4,3,4,99,21,12,3,0,0,149,0,4,0,3,3,5,8,3,0,28,0,0,11,22,3,4,0,0,0,43,13,109,193,537,207,144,103,41,10,1363,192,301,250,701,291,286,214,88,42,2358,2626,4336,3799,9340,3587,3453,2215,808,350,30523,0,0,0,5,0,0,0,0,0,3,4736,7184,5868,11989,4341,3896,2252,698,267,41230,0,9,4,69,10,8,3,0,0,101,0,0,12,53,29,13,8,0,0,124,0,0,0,3,4,3,0,0,0,17,0,4,0,29,13,3,3,0,0,59,0,3,16,31,28,20,24,7,0,120,3,7,11,89,40,23,9,3,3,180,0,0,7,20,39,48,37,18,8,188,0,29,16,24,11,33,23,11,9,152,0,28,41,198,349,401,385,221,71,1696,0,9,16,80,25,11,3,0,0,152,0,0,0,3,3,8,10,0,0,30,0,0,10,21,23,43,130,27,12,270
2012,0,0,3,34,15,17,5,0,0,73,0,0,0,5,3,6,0,3,0,12,0,0,0,5,3,3,3,0,0,14,3,22,27,107,53,40,40,19,19,332,118,197,266,527,320,348,305,253,118,2452,1565,3117,3080,6128,3377,3247,2653,1675,795,25645,0,26,50,102,48,24,13,0,0,260,2899,5751,5231,9119,5125,5032,3787,2041,883,39872,0,3,0,10,5,4,0,0,0,23,0,0,0,4,0,0,0,0,0,5,0,3,4,13,5,9,0,0,0,36,0,0,7,11,5,4,3,0,0,27,0,0,0,3,0,0,5,0,0,5,0,3,28,54,15,8,12,3,0,116,0,0,0,0,5,14,18,21,13,68,0,0,0,6,0,0,3,0,0,8,4,7,36,105,127,138,169,85,38,713,0,0,0,23,0,3,3,0,0,36,0,0,6,3,3,4,0,0,3,20,0,0,3,17,7,12,64,10,4,112
2013,0,0,0,10,0,0,0,0,0,12,0,0,0,0,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,3,3,23,15,11,24,17,18,122,28,45,85,154,111,112,118,69,56,781,463,894,1018,1878,1106,1194,977,632,354,8527,0,0,0,0,0,0,0,0,0,0,834,1685,1880,3047,1706,1756,1060,585,264,12816,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,7,7,0,20,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,7,0,3,0,13,0,0,0,0,0,0,0,0,0,3,0,0,5,19,12,3,0,0,0,47,0,0,0,0,3,5,11,11,0,29,0,0,0,0,0,4,0,0,0,3,0,3,0,24,57,125,146,117,51,536,0,0,0,3,5,0,0,0,0,13,0,0,0,0,0,0,0,0,0,4,0,0,0,9,0,10,101,24,14,158
2014,0,0,0,4,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,5,0,0,0,4,0,3,0,9,7,3,3,3,3,23,21,28,45,108,66,91,79,56,21,513,316,576,588,1190,751,872,594,378,217,5473,0,0,0,0,0,0,0,0,0,0,563,1098,1106,1919,1275,1304,923,508,254,8933,0,0,3,7,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,4,0,0,0,0,0,0,3,0,0,6,0,0,0,5,0,0,0,0,0,5,0,7,0,10,29,65,61,41,17,231,0,0,3,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,6,0,20
2015,0,0,3,14,8,3,0,0,0,22,0,0,3,0,3,0,4,0,0,11,0,0,0,0,3,3,0,3,0,5,0,3,4,10,9,11,14,5,4,62,32,42,55,138,99,97,61,47,19,591,468,885,815,1868,1036,997,755,490,297,7602,0,0,0,0,0,0,0,0,0,0,893,1634,1499,2779,1484,1423,998,615,336,11660,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,3,3,4,3,0,4,0,0,26,0,0,0,0,0,0,0,0,0,5,0,0,0,21,3,3,3,0,0,24,0,0,0,0,6,0,12,7,3,28,0,0,0,6,0,4,3,0,0,15,0,12,13,52,78,74,104,64,34,434,0,0,0,4,3,3,0,0,0,12,0,0,3,0,0,0,0,0,0,3,0,0,0,3,6,7,31,9,3,56
2016,0,0,0,3,7,0,0,0,0,13,0,0,0,0,0,0,0,3,0,9,0,0,7,10,3,0,0,0,0,16,7,68,105,201,71,59,22,24,7,572,125,202,231,560,299,284,282,183,134,2301,1650,3191,3115,6399,3271,3032,2423,1482,780,25342,3,69,221,321,104,33,9,3,0,755,3009,5544,4880,8315,4730,4435,3299,1890,817,36904,0,9,0,16,5,0,0,0,0,32,0,0,0,0,0,0,3,0,0,3,0,0,0,4,0,0,0,0,0,5,0,6,0,7,10,7,0,3,0,34,0,0,0,0,0,0,0,0,0,0,0,3,16,77,24,11,14,3,0,148,0,0,0,3,4,3,12,6,0,27,0,16,3,0,0,0,3,0,0,19,3,27,29,75,92,136,186,88,29,665,0,7,8,22,5,3,0,0,0,43,0,0,0,6,4,3,0,0,0,22,0,0,0,10,15,13,30,6,3,88
2017,0,0,0,3,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,13,0,0,5,13,7,0,0,3,0,27,31,56,79,143,88,100,77,67,28,667,370,626,685,1353,667,647,550,463,243,5596,0,13,30,45,31,20,0,0,0,136,672,1109,1112,1930,997,975,799,592,298,8484,0,0,0,8,3,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,3,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,13,21,17,15,15,5,85,0,0,0,3,8,0,0,0,0,15,0,3,0,3,3,0,0,0,0,10,0,0,0,0,0,0,3,3,0,8
2018,0,0,3,14,3,0,0,0,0,25,0,0,0,0,3,0,0,0,3,10,0,0,0,3,3,0,0,0,0,15,0,30,29,88,44,30,28,29,14,284,82,158,213,481,266,241,216,200,125,1994,1212,2437,2476,5277,2670,2639,2108,1393,679,20891,0,0,0,0,0,0,0,0,0,0,2343,4480,4277,8113,4102,3799,2476,1380,555,31523,0,9,0,19,10,3,0,0,0,34,0,0,0,0,0,0,0,0,0,3,0,0,7,3,0,0,0,0,0,11,0,0,3,15,8,6,3,0,0,42,0,0,0,4,3,0,4,0,0,13,3,5,21,66,29,16,5,6,0,155,0,0,0,0,8,8,13,10,0,39,0,4,0,7,0,3,3,5,0,26,8,15,15,60,134,184,259,186,80,938,0,0,4,20,0,3,0,0,0,28,0,0,0,5,4,7,0,5,0,22,0,3,0,5,8,30,98,49,23,218
2019,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,23,13,11,16,15,0,76,23,53,75,123,101,103,95,89,106,757,507,1123,1037,2151,1237,1293,1162,843,570,9922,0,0,0,0,0,0,0,0,0,0,984,2155,1859,3500,2013,1983,1567,1066,567,15701,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,3,3,3,0,16,0,0,0,3,0,0,0,0,0,3,0,0,3,16,4,0,0,3,0,25,0,0,0,0,0,5,3,0,0,12,0,3,0,3,0,0,0,0,0,6,0,3,5,31,46,56,82,54,33,314,0,0,0,0,3,0,0,0,0,4,0,3,0,6,4,0,3,0,0,13,0,0,0,4,3,5,32,11,15,75
2020,0,0,0,11,0,0,0,0,0,15,0,0,0,0,0,6,0,0,0,18,0,0,0,4,0,0,3,0,0,10,0,9,12,52,30,33,18,17,8,172,67,126,117,282,209,189,192,129,52,1372,1114,2286,2019,4144,2443,2359,2114,1130,542,18153,0,0,0,0,0,0,0,0,0,3,2057,4213,3674,6558,3615,3444,2773,1463,608,28421,0,0,0,0,0,0,0,0,0,10,0,0,0,5,0,0,0,0,0,9,0,0,0,0,3,0,0,0,0,3,0,0,0,9,0,8,3,0,3,29,0,0,0,4,0,3,0,0,0,11,0,3,9,22,24,7,0,0,0,62,0,0,0,0,9,9,14,4,0,32,0,0,0,3,0,0,4,0,0,15,6,34,34,138,196,262,338,203,57,1266,0,0,0,7,6,3,0,0,0,18,0,0,0,3,0,0,0,0,0,8,0,0,0,13,14,18,62,47,5,162
2021,0,0,0,3,3,0,0,0,0,4,0,0,0,0,0,0,4,0,0,11,0,0,0,6,3,0,0,0,0,9,0,12,11,48,15,6,7,4,3,107,53,99,148,282,190,191,179,170,108,1421,952,2060,2199,4175,2409,2278,1809,1165,633,17675,0,0,0,0,0,0,0,0,0,0,1847,3832,3921,6562,3755,3619,2746,1545,738,28576,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,6,0,0,0,8,9,3,4,0,0,22,0,0,0,0,0,0,0,0,0,0,5,7,21,75,23,5,10,0,0,146,0,0,0,0,0,0,0,3,0,7,0,8,3,3,3,5,3,0,0,22,3,26,16,92,100,103,132,72,44,578,0,3,4,9,3,0,0,0,0,17,0,3,3,4,3,0,0,0,0,17,0,0,3,3,3,7,5,9,3,39
