SUA_CODE_2016,F_Mgnt_Com_35_44,F_Mgnt_Com_45_54,F_Mgnt_Com_55_64,F_Mgnt_Com_65_74,F_Mgnt_Com_75_84,F_Mgnt_Com_85ov,F_Mgnt_Com_Tot,F_Society_Cult_15_24,F_Society_Cult_25_34,F_Society_Cult_35_44,F_Society_Cult_45_54,F_Society_Cult_55_64,F_Society_Cult_65_74,F_Society_Cult_75_84,F_Society_Cult_85ov,F_Society_Cult_Tot,F_Creative_Arts_15_24,F_Creative_Arts_25_34,F_Creative_Arts_35_44,F_Creative_Arts_45_54,F_Creative_Arts_55_64,F_Creative_Arts_65_74,F_Creative_Arts_75_84,F_Creative_Arts_85ov,F_Creative_Arts_Tot,F_Fd_Hosp_Psnl_Svcs_15_24,F_Fd_Hosp_Psnl_Svcs_25_34,F_Fd_Hosp_Psnl_Svcs_35_44,F_Fd_Hosp_Psnl_Svcs_45_54,F_Fd_Hosp_Psnl_Svcs_55_64,F_Fd_Hosp_Psnl_Svcs_65_74,F_Fd_Hosp_Psnl_Svcs_75_84,F_Fd_Hosp_Psnl_Svcs_85ov,F_Fd_Hosp_Psnl_Svcs_Tot,F_MixFld_Prgm_15_24,F_MixFld_Prgm_25_34,F_MixFld_Prgm_35_44,F_MixFld_Prgm_45_54,F_MixFld_Prgm_55_64,F_MixFld_Prgm_65_74,F_MixFld_Prgm_75_84,F_MixFld_Prgm_85ov,F_MixFld_Prgm_Tot,F_FldStd_InadDes_15_24,F_FldStd_InadDes_25_34,F_FldStd_InadDes_35_44,F_FldStd_InadDes_45_54,F_FldStd_InadDes_55_64,F_FldStd_InadDes_65_74,F_FldStd_InadDes_75_84,F_FldStd_InadDes_85ov,F_FldStd_InadDes_Tot,F_FldStd_NS_15_24,F_FldStd_NS_25_34,F_FldStd_NS_35_44,F_FldStd_NS_45_54,F_FldStd_NS_55_64,F_FldStd_NS_65_74,F_FldStd_NS_75_84,F_FldStd_NS_85ov,F_FldStd_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_NatPhyl_Scn_15_24,P_NatPhyl_Scn_25_34,P_NatPhyl_Scn_35_44,P_NatPhyl_Scn_45_54,P_NatPhyl_Scn_55_64,P_NatPhyl_Scn_65_74,P_NatPhyl_Scn_75_84,P_NatPhyl_Scn_85ov,P_NatPhyl_Scn_Tot,P_InfoTech_15_24,P_InfoTech_25_34,P_InfoTech_35_44,P_InfoTech_45_54,P_InfoTech_55_64,P_InfoTech_65_74,P_InfoTech_75_84,P_InfoTech_85ov,P_InfoTech_Tot,P_Eng_RelTec_15_24,P_Eng_RelTec_25_34,P_Eng_RelTec_35_44,P_Eng_RelTec_45_54,P_Eng_RelTec_55_64,P_Eng_RelTec_65_74,P_Eng_RelTec_75_84,P_Eng_RelTec_85ov,P_Eng_RelTec_Tot,P_ArchtBldng_15_24,P_ArchtBldng_25_34,P_ArchtBldng_35_44,P_ArchtBldng_45_54,P_ArchtBldng_55_64,P_ArchtBldng_65_74,P_ArchtBldng_75_84,P_ArchtBldng_85ov,P_ArchtBldng_Tot,P_Ag_Envir_Rltd_Sts_15_24,P_Ag_Envir_Rltd_Sts_25_34,P_Ag_Envir_Rltd_Sts_35_44,P_Ag_Envir_Rltd_Sts_45_54,P_Ag_Envir_Rltd_Sts_55_64,P_Ag_Envir_Rltd_Sts_65_74,P_Ag_Envir_Rltd_Sts_75_84,P_Ag_Envir_Rltd_Sts_85ov,P_Ag_Envir_Rltd_Sts_Tot,P_Health_15_24,P_Health_25_34,P_Health_35_44,P_Health_45_54,P_Health_55_64,P_Health_65_74,P_Health_75_84,P_Health_85ov,P_Health_Tot,P_Educ_15_24,P_Educ_25_34,P_Educ_35_44,P_Educ_45_54,P_Educ_55_64,P_Educ_65_74,P_Educ_75_84,P_Educ_85ov,P_Educ_Tot,P_Mgnt_Com_15_24,P_Mgnt_Com_25_34,P_Mgnt_Com_35_44,P_Mgnt_Com_45_54,P_Mgnt_Com_55_64,P_Mgnt_Com_65_74,P_Mgnt_Com_75_84,P_Mgnt_Com_85ov,P_Mgnt_Com_Tot,P_Society_Cult_15_24,P_Society_Cult_25_34,P_Society_Cult_35_44,P_Society_Cult_45_54,P_Society_Cult_55_64,P_Society_Cult_65_74,P_Society_Cult_75_84,P_Society_Cult_85ov,P_Society_Cult_Tot,P_Creative_Arts_15_24,P_Creative_Arts_25_34,P_Creative_Arts_35_44,P_Creative_Arts_45_54,P_Creative_Arts_55_64,P_Creative_Arts_65_74,P_Creative_Arts_75_84,P_Creative_Arts_85ov,P_Creative_Arts_Tot,P_Fd_Hosp_Psnl_Svcs_15_24,P_Fd_Hosp_Psnl_Svcs_25_34,P_Fd_Hosp_Psnl_Svcs_35_44,P_Fd_Hosp_Psnl_Svcs_45_54,P_Fd_Hosp_Psnl_Svcs_55_64,P_Fd_Hosp_Psnl_Svcs_65_74,P_Fd_Hosp_Psnl_Svcs_75_84,P_Fd_Hosp_Psnl_Svcs_85ov,P_Fd_Hosp_Psnl_Svcs_Tot,P_MixFld_Prgm_15_24,P_MixFld_Prgm_25_34,P_MixFld_Prgm_35_44,P_MixFld_Prgm_45_54,P_MixFld_Prgm_55_64,P_MixFld_Prgm_65_74,P_MixFld_Prgm_75_84,P_MixFld_Prgm_85ov,P_MixFld_Prgm_Tot,P_FldStd_InadDes_15_24,P_FldStd_InadDes_25_34,P_FldStd_InadDes_35_44,P_FldStd_InadDes_45_54,P_FldStd_InadDes_55_64,P_FldStd_InadDes_65_74,P_FldStd_InadDes_75_84,P_FldStd_InadDes_85ov,P_FldStd_InadDes_Tot,P_FldStd_NS_15_24,P_FldStd_NS_25_34,P_FldStd_NS_35_44,P_FldStd_NS_45_54,P_FldStd_NS_55_64,P_FldStd_NS_65_74,P_FldStd_NS_75_84,P_FldStd_NS_85ov,P_FldStd_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54
2010,64164,44618,25079,12237,4382,2334,247726,15646,45904,42130,34377,24184,11272,3006,914,177426,8403,20700,12897,7513,4137,2113,931,436,57135,9203,19108,13217,10476,5574,4044,1176,517,63317,758,336,254,332,367,492,396,154,3094,1799,4823,4879,3620,2309,1248,483,232,19399,19723,26295,20046,18284,16164,15442,13846,10771,140570,102191,291900,240785,187580,131862,77860,38333,20183,1090696,8665,19632,17707,13924,9878,5826,2091,731,78455,6520,34622,32219,14677,6814,1888,236,45,97030,15861,57244,54220,55529,45651,31951,17120,5990,283568,11501,31469,22692,19582,13268,8118,4683,1354,112666,2441,6898,6437,4963,3060,1461,635,202,26091,12994,52683,40349,34535,27490,15423,7672,2766,193916,6010,30062,28759,29050,29641,19560,7667,2205,152964,36690,130928,112906,81131,49518,25859,9224,3884,450135,23440,66127,59470,49218,36315,18833,5587,1639,260635,14717,35916,22334,12817,7480,3928,1592,646,99440,13107,32113,21372,16362,8935,5925,2112,782,100708,1524,789,532,605,660,781,678,230,5803,2994,8503,8637,6858,4577,2587,1108,510,35787,41000,54923,42693,38191,32407,29140,24385,16238,278974,197468,561907,470339,377439
2011,674,389,296,102,24,9,2528,262,699,603,433,322,113,10,3,2440,51,91,61,24,17,5,3,0,253,225,411,206,106,74,47,13,0,1072,12,4,3,10,8,11,3,0,50,12,43,35,10,19,4,0,0,130,350,403,312,303,293,263,144,67,2139,1427,3478,2788,1831,1442,736,241,101,12041,41,134,117,58,44,30,3,0,432,55,258,233,70,41,16,0,0,673,243,806,830,720,712,508,165,33,4019,257,529,338,216,163,95,31,10,1641,41,110,89,60,31,19,3,0,351,122,470,362,288,236,112,26,14,1636,88,445,399,255,242,108,29,9,1577,395,1254,1096,596,472,194,38,10,4058,358,889,791,548,420,150,31,5,3196,97,179,120,43,36,20,4,0,503,292,558,306,175,116,79,22,6,1543,20,14,7,16,15,18,8,0,97,14,86,90,57,41,20,7,0,328,722,821,677,623,593,506,252,87,4281,2747,6549,5462,3735
2012,440,373,229,96,19,12,1805,185,352,357,369,282,111,15,7,1674,32,74,54,38,18,12,13,3,236,175,251,161,133,80,53,26,7,883,10,3,3,3,7,7,3,0,35,11,19,14,21,10,3,4,0,81,364,330,264,310,344,385,334,225,2555,1216,2182,1956,1969,1591,1031,567,286,10798,11,66,63,69,55,17,8,0,291,32,62,40,25,18,11,4,0,192,229,548,439,505,490,376,177,37,2801,81,266,198,210,197,123,60,21,1159,51,154,211,189,113,58,24,3,792,138,427,349,415,420,247,109,24,2125,82,310,379,391,318,216,81,19,1798,288,639,676,593,410,175,44,13,2838,253,476,478,481,369,155,29,11,2247,64,119,89,59,38,24,16,0,412,225,357,243,236,151,88,39,11,1362,17,10,5,7,9,12,8,0,72,24,35,33,43,34,14,6,10,197,779,722,552,654,740,751,577,332,5106,2276,4185,3766,3865
2013,124,95,86,34,15,4,581,78,125,123,169,123,57,14,3,694,14,22,16,9,10,5,6,0,80,65,99,49,42,26,14,4,0,286,0,3,3,0,0,3,6,0,16,0,10,4,3,4,4,0,0,26,109,79,69,100,114,134,120,81,801,410,674,531,584,565,383,220,111,3482,7,16,14,10,18,17,0,0,77,18,30,18,10,4,3,0,0,87,91,201,174,338,318,251,129,36,1534,62,115,94,73,83,46,36,12,522,17,45,27,19,10,10,9,3,124,50,104,65,86,137,84,47,13,593,22,64,73,86,100,70,30,15,455,86,209,176,131,124,67,32,5,831,101,158,154,203,165,77,22,6,876,26,41,25,11,23,12,6,0,148,70,122,73,61,38,21,12,0,404,0,4,3,5,0,3,6,0,18,3,8,7,6,18,15,6,3,66,234,165,163,209,247,278,211,127,1637,785,1269,1080,1247
2014,100,56,64,20,14,7,336,43,71,79,87,105,24,5,3,411,5,6,4,4,3,3,0,0,26,39,47,49,30,24,13,6,0,205,0,0,0,0,0,0,0,0,5,0,0,0,7,5,3,3,0,17,63,46,56,63,86,89,61,44,513,214,373,438,404,449,256,133,73,2341,5,14,3,13,14,0,0,4,49,3,7,9,12,9,3,0,0,38,59,130,156,200,159,96,40,14,866,30,58,45,48,65,38,17,3,316,10,16,25,36,23,14,4,0,128,25,91,75,110,130,67,25,15,533,17,54,91,59,64,63,25,9,382,30,83,121,85,98,42,19,5,487,47,79,94,98,114,42,12,3,494,14,10,6,8,5,13,0,3,60,46,73,67,45,40,25,11,0,312,4,5,0,0,3,0,0,0,12,0,3,10,5,11,7,3,0,47,146,99,123,141,172,170,122,63,1022,432,728,832,858
2015,143,113,81,38,8,9,578,41,134,101,127,82,40,4,4,541,15,22,18,17,9,3,4,4,92,52,90,43,38,24,11,12,3,264,0,0,0,0,0,3,0,0,5,0,6,10,10,4,5,0,0,33,71,75,73,94,110,91,87,56,654,292,755,627,626,538,325,174,102,3432,14,23,22,10,13,12,0,0,97,4,28,30,13,10,3,0,3,102,70,182,205,207,200,145,76,25,1116,35,104,67,59,55,51,12,3,387,14,33,26,23,25,11,4,3,146,32,188,145,118,157,100,39,9,797,20,119,109,139,104,67,25,11,605,57,205,227,180,134,59,23,13,903,66,175,140,163,113,58,13,5,732,39,30,22,19,11,10,9,6,146,75,132,77,63,50,28,12,9,440,0,7,0,0,0,3,0,0,9,3,14,19,19,8,10,6,3,77,166,150,159,182,198,169,156,81,1265,594,1402,1257,1207
2016,431,362,185,71,36,17,1707,196,372,393,352,270,130,28,3,1734,22,75,31,14,15,6,3,0,168,159,270,156,129,78,42,13,7,850,10,3,4,4,3,3,6,3,33,3,36,22,20,12,3,3,0,104,299,318,276,308,308,346,256,194,2305,1097,2378,2032,1817,1514,925,492,288,10537,44,73,81,58,38,25,10,0,331,20,95,65,23,22,4,0,0,236,203,527,525,533,503,308,168,43,2805,152,256,188,220,161,105,49,13,1145,32,118,114,101,70,43,18,10,505,165,604,445,427,400,192,93,38,2355,100,332,302,304,355,236,89,38,1748,223,706,660,554,389,163,61,28,2778,259,507,511,458,343,179,40,8,2320,46,117,52,32,31,29,4,0,314,228,397,236,193,128,82,30,5,1308,15,9,7,9,9,5,9,9,71,7,58,57,45,30,17,14,4,236,614,657,575,661,629,655,472,275,4534,2109,4455,3816,3622
2017,101,58,40,19,7,3,371,44,54,52,77,51,24,3,0,305,3,9,9,4,3,0,3,0,36,44,70,35,31,18,5,7,0,205,0,0,3,0,0,0,0,0,8,0,8,6,0,0,0,0,3,16,92,67,75,78,78,95,84,49,613,279,517,419,372,316,233,149,78,2366,0,13,10,4,5,0,0,0,35,3,17,12,5,7,0,0,0,45,59,124,93,100,94,65,21,8,575,36,66,32,39,35,19,15,0,240,24,60,47,44,29,23,3,3,236,26,105,85,74,85,49,28,9,462,23,118,80,70,76,43,24,19,449,56,152,156,98,75,35,11,5,589,58,83,76,89,63,30,3,0,399,11,18,15,10,4,0,4,0,60,56,91,59,45,35,13,10,3,308,4,0,4,0,0,0,4,4,15,3,8,14,3,8,5,3,5,52,194,154,154,163,150,186,143,82,1224,552,1013,823,759
2018,356,251,170,93,31,12,1494,164,369,301,300,251,90,9,3,1477,19,63,49,24,20,3,6,0,181,139,234,142,114,83,50,19,5,781,3,3,0,3,4,10,6,0,23,5,14,22,14,6,7,3,0,69,256,285,212,256,261,261,311,163,2010,985,2067,1600,1461,1284,815,522,226,8952,34,68,43,50,32,24,12,0,260,31,90,69,32,23,11,3,0,264,231,638,560,729,658,495,211,75,3597,120,271,208,200,221,113,69,21,1216,25,71,60,61,26,11,6,3,267,166,450,300,288,309,185,86,21,1806,59,249,221,256,264,156,72,19,1299,219,594,542,399,274,171,68,21,2277,212,463,383,388,330,116,21,5,1929,53,108,75,40,32,9,14,8,338,174,328,207,181,113,78,35,9,1123,5,3,0,3,3,15,7,0,45,15,32,49,46,30,19,7,0,192,525,547,444,525,562,525,515,257,3910,1864,3906,3165,3201
2019,169,143,85,51,31,5,659,67,135,163,150,141,44,17,0,718,11,23,31,15,16,3,5,3,113,69,101,68,52,34,29,8,7,368,0,0,0,4,3,0,3,0,14,0,7,3,7,4,0,3,3,23,107,54,71,85,106,134,148,196,902,423,794,797,729,687,484,330,265,4509,20,21,37,31,31,15,7,8,166,17,21,24,17,13,4,0,0,95,83,182,170,184,191,163,90,35,1091,57,118,103,89,111,70,24,12,589,13,39,60,54,23,16,7,8,230,76,251,176,204,233,133,70,32,1172,39,120,130,122,142,133,69,21,775,70,195,246,219,160,92,53,12,1042,94,177,205,194,180,73,26,5,954,22,36,43,22,29,8,8,3,173,93,154,114,94,61,42,18,3,576,5,3,4,4,5,3,5,0,25,3,9,15,20,10,10,6,4,78,200,126,173,173,212,229,264,288,1671,798,1453,1502,1423
2020,311,272,186,130,30,24,1412,120,283,265,301,229,132,34,0,1373,27,58,49,47,29,14,3,3,233,109,170,116,100,64,64,17,4,638,0,0,0,3,4,4,6,3,18,4,15,16,24,20,8,8,0,86,167,132,170,195,202,222,185,90,1362,729,1587,1493,1539,1328,979,427,167,8257,17,60,55,48,52,32,9,0,273,19,58,45,43,35,27,3,0,230,160,443,410,528,447,409,186,48,2633,137,303,185,195,142,103,61,16,1149,48,148,152,136,81,47,15,8,634,103,308,275,316,322,224,86,32,1665,46,244,269,299,395,284,108,15,1660,153,485,463,405,320,244,63,28,2161,162,362,326,381,306,191,57,4,1804,45,91,81,71,44,31,9,4,372,135,226,178,135,91,101,35,6,905,4,3,3,4,0,7,4,4,29,10,33,34,38,37,22,11,8,194,342,286,317,398,377,415,331,136,2593,1381,3033,2799,3000
2021,301,254,178,57,21,17,1236,140,257,269,280,207,98,26,8,1296,29,57,43,34,37,18,3,4,217,142,211,160,104,61,44,11,8,744,3,3,0,3,7,3,4,0,19,5,10,19,14,12,3,0,3,75,190,144,150,198,202,236,243,149,1512,796,1608,1555,1494,1265,806,472,245,8232,24,61,85,55,45,24,12,0,314,13,38,43,31,24,12,0,0,153,119,351,339,332,280,236,129,42,1827,126,275,210,178,156,87,37,11,1086,51,107,112,81,55,33,21,3,464,117,413,348,396,414,199,104,31,2023,61,264,285,299,315,224,87,31,1565,164,452,473,450,325,150,41,17,2075,192,355,355,344,296,155,43,9,1739,53,86,89,55,59,36,9,4,390,180,287,249,164,108,79,23,6,1096,5,4,6,9,8,3,11,0,44,7,30,52,39,29,14,4,5,183,400,300,304,403,397,429,385,227,2840,1526,3017,2936,2830
