SUA_CODE_2016,R_0_74_LT_Real_estate_agent,R_0_74_LT_Ste_terr_hsg_auth,R_0_74_LT_Psn_not_Sme_hhd,R_0_74_LT_hs_coop_com_ch_g,R_0_74_LT_Other_Lld_type,R_0_74_LT_Lld_type_ns,R_0_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_hs_coop_com_ch_g,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_hs_coop_com_ch_g,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_hs_coop_com_ch_g,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_hs_coop_com_ch_g,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_hs_coop_com_ch_g,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_hs_coop_com_ch_g,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_hs_coop_com_ch_g,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_hs_coop_com_ch_g,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_hs_coop_com_ch_g,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_hs_coop_com_ch_g,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_hs_coop_com_ch_g,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_hs_coop_com_ch_g,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_over_LT_Psn_not_Sme_hhd,R_950_ovr_LT_hs_coop_com_ch_g,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_hs_coop_com_ch_g,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_Psn_not_Sme_hhd,Tot_LT_hs_coop_com_ch_g,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
2010,901,1765,6815,364,482,3812,14137,240,1621,412,330,107,43,2754,1168,13711,2651,840,518,193,19071,3370,5611,4389,1487,782,150,15795,4949,2820,3724,664,593,111,12871,21727,2655,7562,873,1369,218,34397,88730,2766,17690,685,2271,442,112585,109362,1345,14693,286,1307,361,127361,46862,248,7010,127,477,150,54879,21650,98,3339,49,231,65,25431,9778,56,1587,25,105,32,11581,4839,31,958,24,58,21,5937,2494,17,479,3,39,10,3040,5628,15,1129,3,106,35,6918,6155,2246,4362,625,767,648,14804,327855,35015,76802,6397,9219,6265,461559
2011,12,20,61,0,8,38,144,0,17,3,0,0,0,24,12,103,31,4,7,0,156,39,57,82,18,12,3,208,107,26,103,22,4,7,272,1227,48,267,14,25,8,1591,1866,10,291,3,39,12,2224,341,3,78,7,11,4,450,29,0,14,3,0,0,46,13,0,3,0,0,0,21,0,0,0,0,0,0,3,3,0,0,0,3,0,4,0,0,0,0,0,0,0,9,0,4,0,0,0,16,64,32,55,8,10,5,169,3726,320,1006,88,115,73,5321
2012,14,42,96,20,35,59,270,15,35,14,6,8,3,90,116,299,139,63,44,13,669,639,191,291,54,48,14,1238,372,71,223,16,39,5,723,820,47,208,8,26,4,1112,848,16,137,14,16,3,1031,255,8,42,3,9,0,313,25,0,13,0,3,0,38,6,0,3,0,4,0,18,4,0,5,0,4,0,12,4,0,0,0,0,0,4,0,3,0,0,0,0,4,8,0,3,0,0,0,10,46,49,64,12,26,10,204,3173,760,1240,190,260,118,5731
2013,4,50,28,5,6,14,110,11,119,4,5,0,0,134,213,148,61,5,7,7,441,276,102,106,23,16,6,524,127,11,59,4,3,0,206,248,4,63,0,3,4,322,111,3,18,0,3,0,138,16,4,8,3,9,3,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23,26,15,3,3,5,75,1029,466,357,59,52,36,2000
2014,0,12,28,0,4,14,60,0,10,3,0,0,0,14,36,97,31,0,3,0,168,148,58,85,3,6,0,300,121,13,46,0,7,0,188,194,13,49,0,5,0,261,114,3,26,0,0,0,151,19,3,8,0,0,0,27,3,0,4,0,0,0,7,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,7,3,6,3,35,658,218,284,9,29,18,1219
2015,3,25,15,7,4,22,72,7,15,4,5,0,0,28,31,132,16,5,6,3,196,134,74,39,12,6,5,267,138,13,34,6,0,0,194,259,4,40,7,57,3,369,295,3,24,3,49,3,376,180,0,12,0,6,0,202,35,0,3,0,3,0,43,0,0,0,0,0,0,4,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,25,20,15,6,9,0,71,1111,285,215,44,138,34,1825
2016,8,47,61,12,11,47,182,14,33,18,5,18,0,87,109,311,95,39,37,12,596,449,198,191,46,47,14,955,469,136,161,21,42,14,847,786,42,255,15,25,4,1131,865,22,168,9,41,3,1101,301,11,77,3,9,0,397,34,0,11,0,0,3,42,7,0,3,0,0,0,14,4,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,4,0,0,0,7,61,50,43,8,23,16,193,3098,838,1086,161,257,112,5558
2017,0,11,36,8,14,13,77,3,11,4,6,0,0,27,84,86,26,15,6,3,217,129,60,61,4,12,6,275,115,20,63,3,3,3,207,208,9,53,0,4,0,279,91,3,23,0,5,3,132,45,0,22,0,0,0,66,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,16,17,0,0,4,52,703,215,298,40,47,29,1342
2018,6,53,64,16,12,33,174,10,91,17,7,4,0,129,195,261,89,13,12,7,574,700,159,162,45,29,6,1103,412,42,127,18,12,7,616,629,23,159,9,7,6,828,578,10,98,0,3,0,685,239,0,32,0,4,0,274,16,0,5,0,0,0,25,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,11,38,29,29,5,10,3,110,2844,666,782,111,97,57,4549
2019,3,15,24,6,5,18,71,0,19,0,8,0,3,33,30,178,37,13,8,0,278,226,86,92,10,9,4,424,139,30,88,3,3,0,272,329,36,78,3,10,7,464,300,5,56,0,0,0,364,104,0,16,0,0,0,124,6,0,3,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,32,25,4,0,7,80,1162,402,420,54,35,35,2115
2020,0,16,72,0,21,35,149,0,14,10,0,3,3,27,19,116,40,4,19,4,197,100,53,79,12,38,6,275,125,22,92,3,12,0,248,526,30,142,0,9,3,717,681,3,115,0,4,3,810,267,0,37,0,0,0,309,18,0,6,0,0,0,32,7,0,3,0,0,0,12,0,0,3,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,16,30,0,10,3,86,1781,264,637,20,113,52,2866
2021,4,36,45,4,13,30,139,10,28,13,4,0,0,55,65,259,44,17,13,3,402,211,100,100,47,6,0,466,257,60,111,9,9,3,449,525,64,137,12,12,4,748,761,8,176,4,12,4,962,404,4,71,3,10,0,488,54,0,8,0,0,0,68,10,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,10,30,32,18,8,8,4,108,2328,594,732,107,95,53,3906
