SUA_CODE_2016,M_0_4_yrs_Need_for_assistance,M_0_4_No_need_for_assistance,M_0_4_Need_for_assistance_ns,M_0_4_yrs_Tot,M_5_14_Need_for_assistance,M_5_14_No_need_for_assistance,M_5_14_Need_for_assistance_ns,M_5_14_yrs_Tot,M_15_19_Need_for_assistance,M_15_19_No_need_for_assistnce,M_15_19_Need_for_assistnce_ns,M_15_19_yrs_Tot,M_20_24_Need_for_assistance,M_20_24_No_need_for_assistnce,M_20_24_Need_for_assistnce_ns,M_20_24_yrs_Tot,M_25_34_Need_for_assistance,M_25_34_No_need_for_assistnce,M_25_34_Need_for_assistnce_ns,M_25_34_yrs_Tot,M_35_44_Need_for_assistance,M_35_44_No_need_for_assistnce,M_35_44_Need_for_assistnce_ns,M_35_44_yrs_Tot,M_45_54_Need_for_assistance,M_45_54_No_need_for_assistnce,M_45_54_Need_for_assistnce_ns,M_45_54_yrs_Tot,M_55_64_Need_for_assistance,M_55_64_No_need_for_assistnce,M_55_64_Need_for_assistnce_ns,M_55_64_yrs_Tot,M_65_74_Need_for_assistance,M_65_74_No_need_for_assistnce,M_65_74_Need_for_assistnce_ns,M_65_74_yrs_Tot,M_75_84_Need_for_assistance,M_75_84_No_need_for_assistnce,M_75_84_Need_for_assistnce_ns,M_75_84_yrs_Tot,M_85_over_Need_for_assistance,M_85_ov_No_need_for_assistnce,M_85_ov_Need_for_assistnce_ns,M_85_yrs_over_Tot,M_Tot_Need_for_assistance,M_Tot_No_need_for_assistance,M_Tot_Need_for_assistance_ns,M_Tot_Tot,F_0_4_yrs_Need_for_assistance,F_0_4_No_need_for_assistance,F_0_4_Need_for_assistance_ns,F_0_4_yrs_Tot,F_5_14_Need_for_assistance,F_5_14_No_need_for_assistance,F_5_14_Need_for_assistance_ns,F_5_14_yrs_Tot,F_15_19_Need_for_assistance,F_15_19_No_need_for_assistnce,F_15_19_Need_for_assistnce_ns,F_15_19_yrs_Tot,F_20_24_Need_for_assistance,F_20_24_No_need_for_assistnce,F_20_24_Need_for_assistnce_ns,F_20_24_yrs_Tot,F_25_34_Need_for_assistance,F_25_34_No_need_for_assistnce,F_25_34_Need_for_assistnce_ns,F_25_34_yrs_Tot,F_35_44_Need_for_assistance,F_35_44_No_need_for_assistnce,F_35_44_Need_for_assistnce_ns,F_35_44_yrs_Tot,F_45_54_Need_for_assistance,F_45_54_No_need_for_assistnce,F_45_54_Need_for_assistnce_ns,F_45_54_yrs_Tot,F_55_64_Need_for_assistance,F_55_64_No_need_for_assistnce,F_55_64_Need_for_assistnce_ns,F_55_64_yrs_Tot,F_65_74_Need_for_assistance,F_65_74_No_need_for_assistnce,F_65_74_Need_for_assistnce_ns,F_65_74_yrs_Tot,F_75_84_Need_for_assistance,F_75_84_No_need_for_assistnce,F_75_84_Need_for_assistnce_ns,F_75_84_yrs_Tot,F_85_over_Need_for_assistance,F_85_ov_No_need_for_assistnce,F_85_ov_Need_for_assistnce_ns,F_85_yrs_over_Tot,F_Tot_Need_for_assistance,F_Tot_No_need_for_assistance,F_Tot_Need_for_assistance_ns,F_Tot_Tot,P_0_4_yrs_Need_for_assistance,P_0_4_No_need_for_assistance,P_0_4_Need_for_assistance_ns,P_0_4_yrs_Tot,P_5_14_Need_for_assistance,P_5_14_No_need_for_assistance,P_5_14_Need_for_assistance_ns,P_5_14_yrs_Tot,P_15_19_Need_for_assistance,P_15_19_No_need_for_assistnce,P_15_19_Need_for_assistnce_ns,P_15_19_yrs_Tot,P_20_24_Need_for_assistance,P_20_24_No_need_for_assistnce,P_20_24_Need_for_assistnce_ns,P_20_24_yrs_Tot,P_25_34_Need_for_assistance,P_25_34_No_need_for_assistnce,P_25_34_Need_for_assistnce_ns,P_25_34_yrs_Tot,P_35_44_Need_for_assistance,P_35_44_No_need_for_assistnce,P_35_44_Need_for_assistnce_ns,P_35_44_yrs_Tot,P_45_54_Need_for_assistance,P_45_54_No_need_for_assistnce,P_45_54_Need_for_assistnce_ns,P_45_54_yrs_Tot,P_55_64_Need_for_assistance,P_55_64_No_need_for_assistnce,P_55_64_Need_for_assistnce_ns,P_55_64_yrs_Tot,P_65_74_Need_for_assistance,P_65_74_No_need_for_assistnce,P_65_74_Need_for_assistnce_ns,P_65_74_yrs_Tot,P_75_84_Need_for_assistance,P_75_84_No_need_for_assistnce,P_75_84_Need_for_assistnce_ns,P_75_84_yrs_Tot,P_85_over_Need_for_assistance,P_85_ov_No_need_for_assistnce,P_85_ov_Need_for_assistnce_ns,P_85_yrs_over_Tot,P_Tot_Need_for_assistance,P_Tot_No_need_for_assistance,P_Tot_Need_for_assistance_ns,P_Tot_Tot
2010,1917,131017,8597,141530,10404,237686,13110,261203,3610,120931,6798,131334,2721,150298,10625,163639,4439,320241,25230,349913,5544,279019,19903,304468,8042,249566,17120,274722,11069,194667,13948,219682,14369,130825,10382,155579,17015,61568,6548,85128,13565,15740,3052,32353,92685,1891560,135313,2119559,1049,124959,8222,134228,4813,231011,12333,248158,2125,118513,6590,127227,2054,148349,9975,160384,4112,332153,24520,360791,5899,288334,18670,312904,9886,263490,16701,290080,13845,208658,14265,236763,17060,144981,11559,173605,27327,69454,8057,104837,29050,19955,5539,54543,117230,1949856,136428,2203512,2974,255973,16821,275764,15216,468699,25442,509361,5732,239439,13389,258561,4776,298645,20603,324024,8559,652395,49747,710699,11440,567361,38575,617372,17927,513057,33821,564806,24910,403322,28212,456448,31427,275812,21941,329185,44345,131019,14608,189963,42610,35699,8588,86899,209913,3841413,271741,4323072
2011,47,2396,215,2669,349,3784,338,4467,98,1684,129,1909,79,1734,137,1955,134,4045,338,4520,127,3819,314,4263,196,2975,262,3437,253,2559,211,3028,335,1707,166,2207,176,485,64,733,101,84,6,191,1912,25274,2181,29371,27,2380,220,2626,162,3852,325,4336,54,1624,115,1793,56,1796,159,2007,108,4542,395,5042,167,3833,297,4301,209,3114,260,3587,326,2894,237,3453,303,1744,169,2215,247,490,67,808,218,105,29,350,1868,26378,2274,30523,80,4774,442,5293,504,7640,661,8810,157,3302,240,3700,133,3532,296,3965,242,8589,732,9565,293,7653,611,8557,411,6093,518,7016,576,5452,448,6479,639,3452,339,4430,420,984,133,1541,317,187,35,541,3778,51652,4458,59887
2012,39,1431,128,1602,186,2861,259,3304,65,1513,135,1713,50,1268,149,1459,59,2606,329,2994,104,2428,240,2773,158,2716,286,3159,220,2673,320,3210,303,2022,257,2578,267,922,136,1325,197,234,42,472,1648,20677,2276,24594,6,1415,142,1565,87,2815,217,3117,38,1395,134,1563,31,1342,144,1519,64,2760,308,3134,87,2665,244,2987,150,2973,255,3377,197,2761,290,3247,268,2126,261,2653,396,1099,185,1675,428,294,71,795,1755,21635,2252,25645,48,2845,271,3170,274,5675,475,6420,105,2904,262,3271,72,2609,294,2975,129,5368,638,6132,190,5088,484,5758,309,5689,538,6536,420,5431,608,6454,569,4145,520,5239,658,2023,317,3002,630,527,118,1275,3401,42314,4529,50239
2013,11,391,34,433,80,780,73,937,27,470,34,532,23,481,52,552,34,784,76,898,48,753,63,859,71,878,91,1033,88,985,81,1153,117,726,85,932,109,354,47,510,71,92,19,185,667,6693,663,8022,9,420,33,463,30,814,53,894,16,421,31,460,20,484,52,555,30,884,73,986,52,778,68,891,85,950,82,1106,119,991,91,1194,120,787,78,977,158,423,55,632,186,125,36,354,817,7073,641,8527,12,805,70,894,107,1598,132,1835,43,888,66,990,39,965,101,1104,66,1670,150,1882,96,1524,128,1754,153,1823,170,2145,205,1971,170,2350,238,1512,157,1906,265,776,100,1141,257,222,59,537,1481,13765,1300,16551
2014,3,265,20,292,41,539,53,635,16,320,18,353,10,257,39,305,15,440,40,493,26,518,54,597,36,689,67,789,54,676,68,792,64,507,56,621,45,243,37,331,43,63,13,122,366,4509,451,5325,0,293,23,316,27,509,42,576,9,282,30,319,7,231,28,265,24,466,41,539,24,572,55,655,46,664,52,751,66,724,80,872,48,490,52,594,54,282,41,378,98,91,24,217,406,4597,465,5473,5,556,48,608,64,1046,91,1209,26,600,50,678,18,487,61,572,43,907,80,1034,57,1091,110,1249,80,1346,115,1542,120,1397,145,1667,110,1002,102,1209,101,520,81,704,144,159,37,333,771,9114,920,10800
2015,4,457,34,498,53,834,64,952,28,414,33,472,20,371,36,423,26,788,70,882,26,734,73,837,35,760,78,871,45,752,67,864,65,570,53,691,79,270,51,395,56,87,12,159,440,6024,582,7041,0,425,42,468,25,805,60,885,13,391,28,427,17,338,35,385,12,885,63,966,41,802,63,903,63,884,85,1036,54,862,83,997,63,624,66,755,103,353,35,490,141,132,23,297,531,6493,585,7602,7,877,78,964,78,1636,124,1841,37,809,57,901,37,710,64,808,42,1667,140,1845,67,1533,142,1743,97,1641,161,1906,101,1606,151,1860,129,1192,123,1439,184,617,85,885,193,225,35,448,967,12513,1165,14646
2016,25,1538,159,1718,185,3009,267,3455,78,1540,114,1730,51,1299,107,1455,76,2759,295,3131,116,2553,250,2920,142,2689,306,3138,191,2363,262,2816,215,1805,233,2255,225,911,125,1265,174,216,49,434,1473,20684,2178,24328,19,1491,144,1650,87,2872,236,3191,43,1467,126,1639,36,1326,113,1477,79,2919,298,3296,109,2748,243,3106,188,2807,269,3271,209,2554,266,3032,211,1953,259,2423,310,1008,167,1482,364,296,114,780,1651,21460,2233,25342,44,3030,296,3373,270,5880,503,6646,121,3011,241,3374,81,2626,223,2934,156,5681,598,6431,227,5309,491,6027,330,5496,578,6404,400,4915,531,5844,421,3760,495,4677,535,1920,293,2751,532,510,164,1210,3124,42138,4408,49672
2017,3,337,54,391,32,568,66,670,11,305,28,346,11,295,45,344,18,610,83,710,22,523,72,616,25,565,70,654,27,522,63,609,45,382,66,491,41,244,48,329,52,66,23,139,281,4411,617,5307,3,318,47,370,15,551,62,626,9,298,45,354,6,290,30,333,6,626,72,704,28,544,75,643,26,563,73,667,31,537,75,647,44,440,73,550,71,339,55,463,123,94,28,243,363,4603,626,5596,9,654,95,762,49,1113,130,1292,22,601,75,702,11,588,73,676,27,1236,155,1414,43,1073,143,1257,54,1127,137,1320,60,1058,135,1255,85,822,140,1049,116,577,102,792,173,160,49,385,648,9010,1246,10905
2018,17,1196,126,1340,163,2228,214,2598,65,1057,102,1213,53,1101,117,1274,71,2252,236,2559,90,2005,177,2268,154,2173,222,2551,164,2108,250,2527,201,1525,183,1906,181,774,118,1076,139,189,58,388,1300,16611,1796,19709,8,1102,99,1212,70,2185,172,2437,37,998,93,1133,35,1198,110,1344,82,2481,271,2827,94,2150,196,2445,156,2278,237,2670,185,2238,218,2639,200,1710,194,2108,301,911,180,1393,326,237,117,679,1510,17496,1885,20891,32,2303,222,2550,229,4413,388,5032,105,2053,194,2348,90,2299,228,2615,156,4733,503,5390,182,4155,373,4712,306,4458,464,5228,355,4343,466,5166,400,3238,372,4014,485,1681,302,2473,471,430,169,1068,2808,34103,3683,40601
2019,13,497,29,536,62,1066,61,1187,18,478,45,542,17,422,38,470,31,848,62,945,26,913,78,1016,45,1018,72,1127,72,967,87,1122,85,788,74,950,76,456,74,603,75,140,71,288,516,7587,687,8791,6,478,26,507,15,1046,66,1123,18,494,42,554,14,432,40,487,28,949,58,1031,42,1015,61,1120,58,1089,94,1237,79,1124,89,1293,94,971,100,1162,155,590,93,843,206,209,157,570,708,8389,822,9922,20,972,60,1045,79,2111,128,2314,39,973,84,1094,24,856,78,959,63,1794,125,1977,71,1922,136,2132,98,2108,158,2366,152,2088,177,2415,178,1759,171,2110,232,1045,172,1446,283,346,228,856,1224,15978,1511,18710
2020,24,1004,60,1086,132,2046,135,2316,57,1015,54,1120,33,860,65,961,53,1787,129,1963,58,1619,141,1817,76,1910,177,2166,99,1863,148,2111,147,1618,152,1923,158,816,82,1065,115,149,29,295,947,14686,1175,16812,8,1031,79,1114,64,2070,151,2286,35,997,54,1080,29,841,73,935,50,1910,122,2086,62,1837,157,2062,120,2137,181,2443,132,2050,171,2359,150,1800,158,2114,190,849,92,1130,251,255,38,542,1095,15775,1282,18153,31,2031,141,2204,196,4114,286,4599,87,2006,105,2197,59,1704,135,1898,105,3695,252,4050,124,3457,297,3874,192,4051,361,4605,229,3916,320,4471,299,3417,319,4033,349,1669,175,2198,367,400,72,835,2040,30468,2464,34970
2021,13,959,63,1032,109,1912,134,2153,29,1028,84,1139,38,1041,87,1169,42,1833,142,2011,63,1697,136,1892,74,1858,173,2106,118,1747,157,2027,130,1352,146,1631,128,636,84,846,112,200,33,343,860,14254,1228,16341,7,895,50,952,51,1898,109,2060,21,1016,81,1119,25,983,68,1072,41,1914,144,2099,58,1871,149,2079,84,2150,170,2409,117,1988,166,2278,120,1516,173,1809,199,841,125,1165,286,264,86,633,1012,15334,1333,17675,22,1846,115,1983,157,3808,248,4207,51,2043,162,2263,63,2025,159,2240,80,3749,280,4110,125,3562,287,3977,161,4010,348,4521,239,3737,330,4307,253,2866,319,3436,327,1480,207,2009,396,462,116,978,1868,29591,2562,34021
