SUA_CODE_2016,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
2010,530,4695,75,5305,116107,9925,131334,2626,4268,121,7017,144992,11634,163639,65110,7666,927,73699,249469,26747,349913,149029,5008,2874,156912,127279,20280,304468,89138,5572,1749,96460,160628,17634,274722,15556,16419,435,32414,172681,14591,219682,2438,25401,188,28023,114913,12644,155579,526,6985,41,7556,67801,9769,85128,145,424,3,568,27031,4753,32353,325104,76444,6405,407956,1180887,127983,1716829,774,7565,94,8427,109655,9141,127227,6935,8176,342,15461,134377,10547,160384,106574,14438,3504,124511,211563,24716,360791,179429,9951,7931,197318,97750,17835,312904,86688,15437,3415,105539,168022,16530,290080,8196,45593,663,54455,167534,14773,236763,2170,43243,319,45731,113580,14291,173605,642,8066,72,8780,83260,12793,104837,190,534,10,739,44902,8904,54543,391598,153011,16355,560962,1130631,129531,1821126,1303,12260,172,13731,225759,19071,258561,9561,12445,468,22474,279367,22185,324024,171686,22101,4431,198216,461031,51459,710699,328455,14966,10806,354227,225022,38119,617372,175821,21010,5168,201995,328645,34161,564806,23754,62019,1097,86867,340220,29360,456448,4610,68645,502,73760,228492,26936,329185,1172,15055,112,16338,151062,22568,189963,333,957,14,1312
2011,16,78,0,99,1626,187,1909,134,92,4,229,1582,147,1955,1442,120,26,1585,2558,373,4520,2160,90,56,2310,1632,318,4263,850,143,12,1009,2153,276,3437,157,316,9,478,2289,255,3028,29,273,3,308,1694,207,2207,4,32,0,37,586,107,733,3,0,0,4,162,26,191,4797,1144,110,6053,14278,1896,22233,25,169,3,190,1438,159,1793,297,166,16,483,1359,170,2007,2384,240,89,2719,1949,378,5042,2459,156,121,2742,1266,287,4301,766,371,39,1177,2151,257,3587,71,855,8,940,2261,251,3453,18,418,3,442,1521,257,2215,13,35,0,47,636,128,808,4,4,0,3,290,58,350,6040,2413,284,8737,12875,1947,23553,40,247,4,289,3061,352,3700,437,253,26,709,2938,313,3965,3831,359,117,4299,4512,750,9565,4623,247,176,5047,2901,607,8557,1614,515,55,2180,4306,528,7016,226,1171,20,1420,4545,508,6479,54,692,9,749,3214,466,4430,13,70,0,81,1219,235,1541,5,3,0,9
2012,11,78,0,86,1395,223,1713,92,57,0,144,1156,155,1459,858,100,20,980,1680,333,2994,1321,61,48,1432,1096,245,2773,753,131,16,899,1959,304,3159,125,286,4,412,2462,336,3210,24,239,0,262,1987,337,2578,7,47,0,54,1042,232,1325,3,3,0,9,385,85,472,3193,1000,89,4284,13159,2250,19686,27,127,3,152,1215,194,1563,170,144,10,330,1033,155,1519,1388,167,78,1636,1224,275,3134,1666,118,98,1878,876,229,2987,722,342,30,1096,2007,268,3377,48,668,0,720,2221,305,3247,15,413,0,433,1869,352,2653,9,63,0,75,1286,323,1675,6,7,0,10,638,146,795,4055,2053,229,6333,12370,2258,20954,35,202,3,243,2608,422,3271,264,206,10,478,2187,314,2975,2245,268,94,2611,2905,616,6132,2990,184,143,3317,1975,476,5758,1479,474,46,1996,3966,570,6536,168,955,5,1133,4680,645,6454,43,649,3,694,3856,691,5239,20,109,0,126,2326,552,3002,8,8,0,17
2013,5,20,0,28,436,70,532,48,19,3,66,433,48,552,285,34,8,325,502,77,898,405,20,6,437,365,63,859,216,44,11,279,663,97,1033,37,119,0,149,897,107,1153,12,88,0,103,714,114,932,5,10,0,12,412,81,510,0,3,0,3,148,34,185,1013,357,32,1397,4571,691,6650,18,35,0,55,347,60,460,91,52,0,139,367,49,555,446,67,37,547,364,79,986,490,40,24,553,276,61,891,195,144,16,352,682,75,1106,18,279,0,293,801,97,1194,8,117,0,124,749,111,977,6,25,0,31,514,93,632,3,0,0,3,294,53,354,1267,746,75,2094,4399,673,7166,19,59,0,76,782,132,990,140,66,5,212,806,92,1104,725,99,44,867,865,148,1882,898,55,35,988,644,121,1754,420,187,24,631,1343,169,2145,51,391,0,444,1695,207,2350,18,202,0,218,1463,227,1906,8,33,0,49,925,173,1141,3,5,0,5
2014,0,21,0,21,292,39,353,28,12,0,38,231,37,305,172,25,7,202,250,43,493,299,16,5,317,233,50,597,171,45,3,224,495,69,789,29,76,0,104,618,74,792,9,58,0,63,482,70,621,3,14,0,12,247,66,331,0,3,0,3,99,21,122,707,268,20,991,2949,467,4404,7,23,0,35,243,42,319,47,12,3,68,173,24,265,268,34,15,314,178,45,539,364,30,20,407,191,51,655,141,79,10,226,474,49,751,19,155,0,174,610,90,872,3,75,0,75,445,70,594,0,24,0,24,283,75,378,0,0,0,3,172,43,217,854,430,41,1329,2767,492,4582,7,45,0,52,540,82,678,76,26,3,110,403,62,572,437,52,23,518,427,82,1034,656,46,26,730,425,95,1249,315,121,9,445,971,121,1542,44,235,0,282,1222,164,1667,10,132,0,139,928,144,1209,3,33,0,39,531,138,704,0,3,0,4
2015,4,17,0,24,399,50,472,15,19,0,38,349,38,423,303,23,12,337,476,72,882,428,15,19,464,295,84,837,229,36,9,270,523,74,871,31,100,4,134,652,74,864,10,80,0,90,523,72,691,0,11,0,14,318,62,395,0,0,0,0,132,27,159,1027,298,49,1371,3666,556,5595,9,31,0,35,352,38,427,43,35,3,84,266,39,385,435,48,35,515,376,72,966,512,36,36,580,262,58,903,231,91,18,341,606,89,1036,22,227,5,257,648,91,997,8,119,0,121,553,77,755,0,23,0,23,382,83,490,0,3,0,5,246,42,297,1257,612,96,1969,3688,594,6250,8,49,0,60,747,92,901,66,58,4,123,612,71,808,733,77,45,857,850,143,1845,933,46,62,1044,553,145,1743,461,125,22,611,1124,166,1906,54,329,4,392,1308,167,1860,16,196,3,217,1080,149,1439,0,37,0,41,701,144,885,3,3,0,5
2016,13,71,0,86,1478,164,1730,90,49,7,145,1186,124,1455,913,88,23,1028,1806,302,3131,1414,64,42,1519,1143,264,2920,790,130,21,947,1871,318,3138,129,221,6,360,2183,277,2816,28,215,3,243,1716,303,2255,6,51,0,54,995,219,1265,0,5,0,4,362,74,434,3386,885,105,4376,12734,2039,19150,34,125,4,165,1296,180,1639,220,105,11,336,1022,111,1477,1383,163,77,1613,1400,281,3296,1788,129,93,2014,838,255,3106,771,279,39,1089,1909,268,3271,72,608,7,686,2085,265,3032,20,370,3,390,1698,329,2423,5,58,0,61,1168,252,1482,3,7,0,7,600,170,780,4297,1834,234,6362,12025,2113,20494,52,198,4,250,2775,350,3374,309,155,21,486,2210,242,2934,2292,244,103,2638,3207,584,6431,3208,188,134,3527,1979,516,6027,1562,406,63,2034,3786,582,6404,196,825,18,1043,4266,534,5844,45,583,3,629,3416,629,4677,9,104,0,117,2162,477,2751,3,4,0,11
2017,0,20,0,18,283,48,346,26,15,0,40,260,40,344,203,22,4,227,403,81,710,290,15,9,321,222,73,616,161,32,0,191,391,72,654,11,57,0,63,472,69,609,4,46,0,52,364,80,491,3,13,0,12,258,58,329,0,0,0,0,106,34,139,698,219,22,928,2754,568,4248,7,30,0,35,256,60,354,56,30,5,90,207,34,333,305,39,22,364,277,65,704,356,31,17,400,175,66,643,132,84,6,214,378,72,667,12,136,3,158,413,75,647,3,78,0,87,392,79,550,3,19,0,23,355,84,463,0,3,0,3,193,43,243,872,453,47,1371,2647,584,4602,12,49,0,56,535,114,702,77,48,3,135,465,77,676,510,57,23,593,680,149,1414,647,46,32,725,398,144,1257,291,112,5,405,768,143,1320,29,195,3,219,890,145,1255,9,130,0,131,749,158,1049,7,34,0,36,615,147,792,0,3,0,3
2018,7,60,0,66,1009,140,1213,79,50,3,135,1011,128,1274,769,92,31,886,1449,223,2559,1088,61,51,1202,872,188,2268,599,104,12,715,1614,225,2551,107,273,3,384,1881,264,2527,12,182,0,196,1477,236,1906,3,30,0,37,830,210,1076,0,3,0,3,296,86,388,2665,864,97,3619,10439,1703,15764,17,113,0,129,879,126,1133,165,132,10,310,912,125,1344,1195,151,84,1429,1140,259,2827,1354,118,80,1542,714,185,2445,528,287,27,837,1604,240,2670,61,616,3,686,1715,245,2639,16,301,3,318,1527,260,2108,7,52,0,54,1053,290,1393,3,8,0,10,498,170,679,3342,1770,202,5310,10040,1897,17251,22,170,0,194,1888,267,2348,246,183,9,447,1924,250,2615,1965,239,109,2319,2593,481,5390,2441,180,127,2746,1592,377,4712,1120,391,36,1548,3216,468,5228,163,891,10,1070,3588,506,5166,25,482,3,510,3002,499,4014,5,85,0,92,1882,500,2473,3,8,0,14
2019,0,23,0,25,454,59,542,38,20,0,59,379,35,470,305,46,8,358,520,66,945,547,28,20,592,351,73,1016,292,50,12,357,690,81,1127,34,115,0,145,885,88,1122,8,113,0,125,744,78,950,0,30,0,28,480,95,603,0,0,0,0,189,98,288,1221,418,42,1684,4694,681,7060,11,36,3,48,435,69,554,60,45,0,105,347,38,487,457,74,23,557,420,57,1031,656,50,41,744,313,62,1120,292,133,15,443,714,79,1237,32,300,3,333,876,84,1293,9,197,3,205,827,128,1162,3,32,0,36,664,147,843,3,3,0,4,367,201,570,1515,866,87,2475,4963,854,8290,11,56,5,69,892,129,1094,95,64,3,159,728,70,959,765,118,34,919,940,119,1977,1205,70,58,1332,657,141,2132,585,182,31,795,1409,162,2366,67,409,4,483,1766,173,2415,15,310,3,327,1573,208,2110,3,60,0,69,1144,236,1446,3,3,0,9
2020,4,49,0,56,957,105,1120,65,43,0,110,782,76,961,699,66,17,781,1059,128,1963,1004,38,41,1086,594,136,1817,644,92,16,754,1250,159,2166,110,203,3,314,1633,162,2111,17,247,0,266,1457,196,1923,3,59,0,58,852,148,1065,0,3,0,3,226,64,295,2554,801,78,3428,8813,1173,13415,17,106,3,124,865,89,1080,127,81,0,207,658,72,935,967,133,60,1161,813,116,2086,1257,80,95,1439,481,143,2062,584,225,28,839,1428,172,2443,56,522,3,583,1597,177,2359,15,386,3,403,1499,213,2114,3,60,0,63,867,204,1130,3,3,0,8,422,113,542,3032,1599,197,4823,8628,1303,14752,21,153,3,180,1826,193,2197,185,128,0,318,1437,152,1898,1667,204,78,1945,1869,238,4050,2261,123,135,2520,1077,272,3874,1229,317,51,1588,2684,329,4605,174,720,7,902,3227,339,4471,33,639,5,674,2951,408,4033,7,114,0,120,1721,354,2198,3,8,0,10
2021,3,54,3,58,960,116,1139,50,38,5,94,971,106,1169,603,78,12,694,1180,140,2011,1047,43,38,1121,643,130,1892,591,66,13,668,1263,176,2106,93,188,3,286,1578,169,2027,14,235,0,252,1203,175,1631,5,40,0,42,674,129,846,0,4,0,3,279,58,343,2409,737,77,3219,8742,1199,13165,13,86,0,97,916,104,1119,88,95,8,194,806,78,1072,875,124,47,1045,909,142,2099,1207,88,92,1382,566,132,2079,604,201,32,841,1411,161,2409,51,481,3,541,1553,181,2278,21,332,3,351,1233,220,1809,4,61,0,72,876,216,1165,0,7,0,7,492,134,633,2860,1484,186,4527,8764,1371,14664,17,142,3,158,1883,224,2263,134,134,15,286,1777,182,2240,1480,198,62,1745,2085,281,4110,2257,123,128,2508,1205,263,3977,1190,269,46,1507,2674,342,4521,149,668,8,821,3126,355,4307,33,565,3,606,2433,396,3436,13,97,0,112,1549,343,2009,0,9,0,14
