SUA_CODE_2016,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_Resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_Resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_Resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_Resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_Resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_Resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_Resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_Resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_Resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_Resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_Resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_Resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_Resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_Resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_Resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_Resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_Resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_Resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_Resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_Resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_Resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_Resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_Resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_Resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_Resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_Resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_Resp,Turkish_BP_B_OS,Turkish_FO_B_OS,Turkish_MO_B_OS,Turkish_BP_B_Aus,Turkish_BP_NS,Turkish_Tot_Resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_Resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_Resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_Resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_Resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_Resp
2010,45884,130544,95038,730861,13380,1015705,263,325,153,3017,72,3826,333099,4347,7546,7360,2534,354890,24181,3189,1743,5504,346,34960,30624,9343,5843,16869,550,63225,258492,111978,82344,664679,14888,1132382,52120,1028,4588,718,555,58999,15132,1994,1534,7210,259,26131,42836,12413,8519,63987,1437,129190,100356,14484,7531,36175,1784,160331,12360,2045,1216,3129,213,18968,187873,3199,2338,1617,1212,196241,61539,30874,20799,274263,4240,391707,148411,32189,15600,93129,3572,292900,16120,131,421,179,75,16923,30856,5974,2711,4598,587,44724,28769,3382,1922,5710,425,40201,33454,6826,4185,15575,540,60573,13484,1418,1063,679,297,16944,19027,5568,4225,1926,289,31029,30032,4501,3338,8490,385,46752,17049,1278,1281,2192,208,22011,62251,27952,21249,198353,3337,313141,16735,1435,820,1512,236,20737,14711,2030,1444,679,120,18985,17509,1290,1067,2594,220,22674,50338,2270,1531,1432,313,55880,28178,3164,1513,2020,341,35217,99853,1179,2324,781,1266,105404,8011,2206,1526,8553,153,20442,507925,35146,28690,39415,6197,617373,24018,2130,1683,14511,224313,266646,2033576,277106,197986,1541976,272427,4323072
2011,721,2100,1416,14989,368,19592,11,3,3,93,3,108,647,17,46,79,20,807,399,48,46,82,0,580,346,136,82,246,4,806,3648,1675,1317,11835,367,18849,1065,25,123,18,11,1236,113,22,12,100,0,259,599,177,127,1169,33,2101,387,110,55,252,5,812,127,21,24,41,8,219,1638,48,25,34,11,1749,765,418,243,3636,83,5142,920,331,184,1039,28,2510,54,0,0,0,0,61,141,35,6,31,6,210,285,45,22,58,4,422,1693,398,291,1070,38,3493,402,40,37,15,7,504,297,76,61,43,7,486,414,50,44,164,8,684,88,11,6,36,0,140,927,398,311,2750,70,4450,374,33,30,54,4,493,99,11,3,10,0,121,313,36,20,39,3,412,285,17,11,12,3,331,209,49,30,32,0,328,346,10,25,10,7,395,101,27,20,107,3,266,6586,436,323,502,131,7983,392,54,38,353,3579,4408,20607,4071,2980,27673,4560,59887
2012,243,1037,645,16961,470,19358,0,18,7,453,29,510,417,14,13,79,5,524,147,26,5,111,3,293,179,53,43,148,6,425,1407,934,650,15287,425,18698,235,5,45,10,4,304,40,13,3,126,0,177,232,99,70,2267,42,2709,297,69,27,219,14,628,89,16,3,35,9,149,394,4,5,10,4,419,216,196,127,4017,79,4637,1417,321,154,1780,83,3758,65,0,0,0,0,65,12,4,6,3,0,28,14,0,4,3,0,15,24,25,3,50,0,107,53,16,24,32,0,120,82,29,41,32,0,183,69,26,20,88,0,213,15,3,4,14,0,38,349,242,156,3952,82,4777,24,6,0,9,0,39,42,3,6,3,0,52,32,8,4,29,0,71,53,0,4,0,0,65,401,34,21,29,3,483,148,0,3,0,3,156,52,16,12,131,0,211,2007,219,152,416,48,2831,135,19,24,509,3796,4487,7752,2143,1372,34109,4870,50239
2013,116,574,386,5543,208,6825,0,3,0,28,7,40,103,7,0,15,0,131,41,6,9,13,3,68,361,75,52,167,13,661,908,523,378,4262,173,6248,107,3,26,8,0,145,15,7,0,21,0,50,218,84,48,442,15,814,74,3,5,49,0,137,45,3,0,3,0,57,29,4,0,7,0,37,180,106,72,1137,31,1528,141,42,16,204,12,420,0,0,0,0,0,0,4,0,0,0,0,8,5,0,0,3,0,6,337,53,28,203,13,624,19,5,0,3,0,31,32,31,24,14,3,97,127,16,9,52,5,208,26,6,0,17,5,54,338,129,106,1085,23,1682,35,4,0,7,0,43,14,3,0,4,0,20,28,0,3,13,0,41,14,5,0,3,0,18,9,0,0,6,3,16,11,0,0,0,0,18,37,8,6,27,9,83,504,88,54,164,19,825,38,16,10,155,1085,1300,3316,1087,714,9905,1529,16551
2014,44,278,166,4181,85,4762,0,6,3,33,0,41,30,3,3,32,0,62,15,0,0,8,0,23,103,28,20,57,0,211,399,264,156,3515,91,4422,53,0,21,3,0,74,5,0,0,17,0,24,59,24,25,496,10,611,9,0,3,5,0,19,9,0,0,3,0,15,38,0,3,9,0,48,62,51,24,993,14,1141,42,22,7,100,4,169,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,3,22,10,5,26,0,66,35,5,3,0,0,45,28,3,7,3,0,46,9,0,3,11,0,27,4,0,0,10,0,16,120,88,50,994,17,1277,0,0,0,0,0,4,14,7,0,4,0,22,22,0,0,15,0,31,20,0,0,0,0,19,0,0,0,0,0,0,9,0,0,0,0,9,12,0,3,7,0,29,152,35,23,88,3,290,9,4,5,140,751,912,1079,503,320,7955,948,10800
2015,74,487,349,5067,131,6106,0,0,0,36,0,35,121,0,5,28,0,162,28,15,0,9,0,51,161,39,36,137,0,371,751,436,335,4307,131,5963,89,7,24,4,3,125,17,12,0,21,0,49,97,59,25,412,8,603,36,11,9,29,0,82,9,4,0,6,0,25,186,0,0,9,0,196,134,91,60,1385,28,1702,116,43,29,259,3,453,3,0,0,0,0,3,5,3,3,8,0,17,5,0,0,3,0,13,18,8,0,16,0,41,10,5,3,7,0,27,39,12,7,7,0,76,71,10,9,32,0,119,20,0,3,9,0,35,178,95,77,1193,13,1556,5,0,0,3,0,10,28,0,0,0,0,37,22,0,4,3,0,26,48,0,6,0,0,56,3,0,0,4,0,7,59,0,4,0,0,66,25,0,7,39,0,75,371,59,59,158,10,653,29,7,10,179,975,1196,2273,827,617,9685,1247,14646
2016,488,1043,724,14165,335,16752,0,12,0,270,6,291,481,13,23,106,12,637,42,24,5,39,0,104,286,96,59,283,4,725,1511,1056,642,13591,341,17135,341,3,56,3,10,410,36,13,7,121,0,178,226,92,69,1178,27,1590,309,46,15,207,7,585,32,7,8,14,0,55,1120,22,9,14,10,1177,273,247,175,4803,71,5578,1516,330,146,1742,74,3806,31,0,3,0,0,32,12,4,0,3,0,23,148,18,9,91,3,272,26,16,10,56,4,117,74,9,9,44,0,134,100,45,38,35,0,227,60,15,6,59,0,147,17,0,3,14,0,38,342,264,157,3703,79,4547,27,0,8,8,0,46,62,3,7,8,0,79,72,15,6,39,0,136,123,0,3,9,0,133,372,50,23,12,0,458,28,3,0,0,0,30,36,11,8,106,0,167,4645,228,174,512,76,5637,238,15,17,464,3647,4389,11641,2223,1474,29829,4511,49672
2017,52,157,140,3960,107,4423,0,0,0,52,6,58,76,0,11,7,0,94,0,0,0,0,0,0,20,15,8,35,0,76,202,160,138,3106,92,3702,70,0,8,0,0,76,12,0,3,18,0,36,30,20,13,383,5,447,3,0,0,12,0,17,3,3,0,4,0,15,175,12,0,0,0,183,48,25,26,1179,25,1303,246,55,16,266,11,590,14,0,0,0,0,17,0,0,0,3,0,3,0,0,0,0,0,3,3,0,0,5,0,11,0,5,0,0,0,7,12,0,3,3,0,24,4,0,0,4,0,13,0,0,0,0,0,0,56,34,32,870,33,1014,0,0,0,0,0,0,9,3,0,0,0,16,20,0,0,4,0,20,19,3,0,0,0,22,3,3,0,0,0,4,22,0,0,0,0,28,10,3,0,31,0,42,526,20,25,60,18,650,24,5,0,141,993,1163,1447,323,254,7648,1226,10905
2018,275,1243,817,13008,308,15660,0,6,0,70,0,75,320,8,16,47,7,394,70,6,9,20,0,108,599,188,137,426,17,1364,1808,1124,793,11432,282,15441,265,12,57,10,3,353,54,8,6,77,0,146,404,127,95,1039,25,1691,227,38,12,113,4,399,60,15,0,29,0,108,328,6,5,16,3,354,438,284,168,3344,60,4297,1068,203,77,863,33,2247,21,0,0,0,0,25,3,0,0,5,0,18,10,0,0,4,0,9,318,69,38,254,12,692,95,27,14,17,0,159,85,49,30,30,3,200,203,33,9,100,3,347,34,10,4,13,0,66,729,340,267,2887,72,4294,17,0,3,3,0,26,45,10,3,4,4,69,90,10,9,47,3,154,93,9,3,3,0,115,9,0,4,3,0,16,56,0,3,0,3,67,56,27,11,85,0,178,1306,166,110,404,36,2019,107,28,14,418,3088,3650,7766,2423,1616,25020,3777,40601
2019,75,494,302,6365,135,7371,3,0,0,22,0,24,95,9,0,54,6,161,18,3,0,9,0,31,151,39,29,109,0,323,549,492,291,6177,148,7645,76,0,15,0,0,105,20,10,3,77,0,108,141,56,34,608,12,853,41,12,12,25,4,85,28,7,3,21,0,61,98,5,0,0,0,102,85,142,71,2474,38,2807,523,131,51,564,12,1281,0,0,0,0,0,0,6,0,0,0,0,4,3,0,0,5,0,7,6,11,0,8,0,31,13,8,3,0,3,29,20,15,21,13,0,65,39,4,3,16,0,60,12,0,0,12,0,26,165,109,84,1735,29,2119,14,0,0,0,0,12,30,3,0,4,0,36,19,3,4,19,0,45,30,8,0,3,0,34,11,0,0,0,0,13,5,0,0,0,0,5,16,9,3,53,0,77,357,82,60,181,9,681,22,10,5,219,1217,1471,2232,975,593,13379,1534,18710
