SUA_CODE_2016,C0_4F_EO_M_EO,C0_4F_EO_M_O_EVWW,C0_4F_EO_M_O_ENWNA,C0_4F_EO_M_O_PENS,C0_4F_EO_M_O_E_T,C0_4F_EO_M_LPENS,C0_4F_EO_M_T,C0_4F_O_EVWW_M_EO,C0_4F_O_EVWW_M_O_EVWW,C0_4F_O_EVWW_M_O_ENWNA,C0_4F_O_EVWW_M_O_PENS,C0_4F_O_EVWW_M_O_E_T,C0_4F_O_EVWW_M_LPENS,C0_4F_O_EVWW_M_T,C0_4F_O_ENWNA_M_EO,C0_4F_O_ENWNA_M_O_EVWW,C0_4F_O_ENWNA_M_O_ENWNA,C0_4F_O_ENWNA_M_O_PENS,C0_4F_O_ENWNA_M_O_E_T,C0_4F_O_ENWNA_M_LPENS,C0_4F_O_ENWNA_M_T,C0_4F_O_PENS_M_EO,C0_4F_O_PENS_M_O_EVWW,C0_4F_O_PENS_M_O_ENWNA,C0_4F_O_PENS_M_O_PENS,C0_4F_O_PENS_M_O_E_T,C0_4F_O_PENS_M_LPENS,C0_4F_O_PENS_M_T,C0_4F_O_E_T_M_EO,C0_4F_O_E_T_M_O_EVWW,C0_4F_O_E_T_M_O_ENWNA,C0_4F_O_E_T_M_O_PENS,C0_4F_O_E_T_M_O_E_T,C0_4F_O_E_T_M_LPENS,C0_4F_O_E_T_M_T,C0_4F_LPENS_M_EO,C0_4F_LPENS_M_O_EVWW,C0_4F_LPENS_M_O_ENWNA,C0_4F_LPENS_M_O_PENS,C0_4F_LPENS_M_O_E_T,C0_4F_LPENS_M_LPENS,C0_4F_LPENS_M_T,C0_4F_T_M_EO,C0_4F_T_M_O_EVWW,C0_4F_T_M_O_ENWNA,C0_4F_T_M_O_PENS,C0_4F_T_M_O_E_T,C0_4F_T_M_LPENS,C0_4F_T_M_T,C5_9F_EO_M_EO,C5_9F_EO_M_O_EVWW,C5_9F_EO_M_O_ENWNA,C5_9F_EO_M_O_PENS,C5_9F_EO_M_O_E_T,C5_9F_EO_M_LPENS,C5_9F_EO_M_T,C5_9F_O_EVWW_M_EO,C5_9F_O_EVWW_M_O_EVWW,C5_9F_O_EVWW_M_O_ENWNA,C5_9F_O_EVWW_M_O_PENS,C5_9F_O_EVWW_M_O_E_T,C5_9F_O_EVWW_M_LPENS,C5_9F_O_EVWW_M_T,C5_9F_O_ENWNA_M_EO,C5_9F_O_ENWNA_M_O_EVWW,C5_9F_O_ENWNA_M_O_ENWNA,C5_9F_O_ENWNA_M_O_PENS,C5_9F_O_ENWNA_M_O_E_T,C5_9F_O_ENWNA_M_LPENS,C5_9F_O_ENWNA_M_T,C5_9F_O_PENS_M_EO,C5_9F_O_PENS_M_O_EVWW,C5_9F_O_PENS_M_O_ENWNA,C5_9F_O_PENS_M_O_PENS,C5_9F_O_PENS_M_O_E_T,C5_9F_O_PENS_M_LPENS,C5_9F_O_PENS_M_T,C5_9F_O_E_T_M_EO,C5_9F_O_E_T_M_O_EVWW,C5_9F_O_E_T_M_O_ENWNA,C5_9F_O_E_T_M_O_PENS,C5_9F_O_E_T_M_O_E_T,C5_9F_O_E_T_M_LPENS,C5_9F_O_E_T_M_T,C5_9F_LPENS_M_EO,C5_9F_LPENS_M_O_EVWW,C5_9F_LPENS_M_O_ENWNA,C5_9F_LPENS_M_O_PENS,C5_9F_LPENS_M_O_E_T,C5_9F_LPENS_M_LPENS,C5_9F_LPENS_M_T,C5_9F_T_M_EO,C5_9F_T_M_O_EVWW,C5_9F_T_M_O_ENWNA,C5_9F_T_M_O_PENS,C5_9F_T_M_O_E_T,C5_9F_T_M_LPENS,C5_9F_T_M_T,C10_12F_EO_M_EO,C10_12F_EO_M_O_EVWW,C10_12F_EO_M_O_ENWNA,C10_12F_EO_M_O_PENS,C10_12F_EO_M_O_E_T,C10_12F_EO_M_LPENS,C10_12F_EO_M_T,C10_12F_O_EVWW_M_EO,C10_12F_O_EVWW_M_O_EVWW,C10_12F_O_EVWW_M_O_ENWNA,C10_12F_O_EVWW_M_O_PENS,C10_12F_O_EVWW_M_O_E_T,C10_12F_O_EVWW_M_LPENS,C10_12F_O_EVWW_M_T,C10_12F_O_ENWNA_M_EO,C10_12F_O_ENWNA_M_O_EVWW,C10_12F_O_ENWNA_M_O_ENWNA,C10_12F_O_ENWNA_M_O_PENS,C10_12F_O_ENWNA_M_O_E_T,C10_12F_O_ENWNA_M_LPENS,C10_12F_O_ENWNA_M_T,C10_12F_O_PENS_M_EO,C10_12F_O_PENS_M_O_EVWW,C10_12F_O_PENS_M_O_ENWNA,C10_12F_O_PENS_M_O_PENS,C10_12F_O_PENS_M_O_E_T,C10_12F_O_PENS_M_LPENS,C10_12F_O_PENS_M_T,C10_12F_O_E_T_M_EO,C10_12F_O_E_T_M_O_EVWW,C10_12F_O_E_T_M_O_ENWNA,C10_12F_O_E_T_M_O_PENS,C10_12F_O_E_T_M_O_E_T,C10_12F_O_E_T_M_LPENS,C10_12F_O_E_T_M_T,C10_12F_LPENS_M_EO,C10_12F_LPENS_M_O_EVWW,C10_12F_LPENS_M_O_ENWNA,C10_12F_LPENS_M_O_PENS,C10_12F_LPENS_M_O_E_T,C10_12F_LPENS_M_LPENS,C10_12F_LPENS_M_T,C10_12F_T_M_EO,C10_12F_T_M_O_EVWW,C10_12F_T_M_O_ENWNA,C10_12F_T_M_O_PENS,C10_12F_T_M_O_E_T,C10_12F_T_M_LPENS,C10_12F_T_M_T,C13_14F_EO_M_EO,C13_14F_EO_M_O_EVWW,C13_14F_EO_M_O_ENWNA,C13_14F_EO_M_O_PENS,C13_14F_EO_M_O_E_T,C13_14F_EO_M_LPENS,C13_14F_EO_M_T,C13_14F_O_EVWW_M_EO,C13_14F_O_EVWW_M_O_EVWW,C13_14F_O_EVWW_M_O_ENWNA,C13_14F_O_EVWW_M_O_PENS,C13_14F_O_EVWW_M_O_E_T,C13_14F_O_EVWW_M_LPENS,C13_14F_O_EVWW_M_T,C13_14F_O_ENWNA_M_EO,C13_14F_O_ENWNA_M_O_EVWW,C13_14F_O_ENWNA_M_O_ENWNA,C13_14F_O_ENWNA_M_O_PENS,C13_14F_O_ENWNA_M_O_E_T,C13_14F_O_ENWNA_M_LPENS,C13_14F_O_ENWNA_M_T,C13_14F_O_PENS_M_EO,C13_14F_O_PENS_M_O_EVWW,C13_14F_O_PENS_M_O_ENWNA,C13_14F_O_PENS_M_O_PENS,C13_14F_O_PENS_M_O_E_T,C13_14F_O_PENS_M_LPENS,C13_14F_O_PENS_M_T,C13_14F_O_E_T_M_EO,C13_14F_O_E_T_M_O_EVWW,C13_14F_O_E_T_M_O_ENWNA,C13_14F_O_E_T_M_O_PENS,C13_14F_O_E_T_M_O_E_T,C13_14F_O_E_T_M_LPENS,C13_14F_O_E_T_M_T,C13_14F_LPENS_M_EO,C13_14F_LPENS_M_O_EVWW,C13_14F_LPENS_M_O_ENWNA,C13_14F_LPENS_M_O_PENS,C13_14F_LPENS_M_O_E_T,C13_14F_LPENS_M_LPENS,C13_14F_LPENS_M_T,C13_14F_TM_EO,C13_14F_TM_O_EVWW,C13_14F_TM_O_ENWNA,C13_14F_TM_O_PENS,C13_14F_TM_O_E_T,C13_14F_TM_LPENS,C13_14F_TM_T,C15_17F_EO_M_EO,C15_17F_EO_M_O_EVWW,C15_17F_EO_M_O_ENWNA,C15_17F_EO_M_O_PENS
2010,115098,7486,83,90,7658,152,122909,11365,74013,3402,363,77787,56,89210,187,7637,4621,82,12329,10,12523,100,375,37,193,603,0,706,11648,82018,8062,634,90719,68,102440,160,109,6,5,131,268,554,126910,89618,8156,732,98503,485,225903,115060,6016,90,82,6183,156,121398,9125,60794,2975,342,64108,57,73288,147,6378,4686,53,11126,6,11279,89,348,44,144,536,3,631,9364,67522,7710,536,75769,65,85194,139,83,3,5,98,220,464,124561,73623,7805,626,82048,445,207048,64221,2959,49,30,3035,83,67337,4464,29896,1669,155,31723,27,36220,78,3213,3049,26,6287,3,6369,37,149,22,83,260,0,295,4583,33258,4739,266,38271,32,42878,72,41,8,7,50,115,240,68872,36261,4791,303,41359,230,110458,40136,1773,28,15,1822,53,42005,2607,17510,1132,87,18729,19,21347,54,2070,2143,10,4223,0,4282,19,99,11,66,180,0,195,2682,19679,3286,166,23128,18,25830,63,16,4,3,24,45,131,42875,21472,3315,185,24973,116,67967,54545,2200,37,15
2011,2282,162,3,3,168,9,2452,200,826,30,0,857,0,1063,9,67,58,0,132,0,138,0,11,4,5,17,0,16,206,902,99,8,1006,0,1217,0,3,0,3,4,5,7,2494,1064,101,10,1178,11,3677,1997,110,0,0,110,4,2109,140,712,24,5,746,0,890,3,83,48,0,128,0,137,4,7,0,3,12,0,18,148,803,75,7,891,0,1036,3,3,0,0,3,5,11,2152,916,75,7,1002,8,3162,997,49,0,0,51,0,1051,67,344,22,0,363,0,431,3,34,27,0,60,0,65,0,3,0,4,7,0,4,70,381,48,3,433,0,501,0,0,0,0,0,3,4,1065,429,47,7,480,6,1555,612,30,0,3,37,0,647,21,188,10,6,207,0,228,0,23,17,0,37,0,40,0,5,0,0,9,0,5,27,222,25,7,252,0,278,3,0,0,0,0,3,4,642,249,24,10,288,4,930,757,41,0,0
2012,1782,56,0,0,61,6,1846,55,172,15,0,189,0,250,0,22,24,0,47,0,49,0,0,0,0,0,0,0,60,197,40,0,242,0,301,4,0,3,0,3,13,15,1843,254,45,0,297,14,2156,1803,35,0,0,35,0,1838,49,162,12,0,175,0,220,4,28,32,0,56,0,59,0,0,0,0,0,0,0,50,188,43,0,236,0,284,4,0,0,0,0,11,17,1853,222,47,0,268,10,2135,1038,17,0,0,17,3,1057,26,82,18,0,100,0,121,0,12,23,0,39,0,39,0,0,0,0,0,0,0,26,94,43,3,141,0,161,0,0,0,0,3,10,12,1057,117,42,3,159,10,1232,648,13,0,0,13,0,659,9,42,6,0,46,0,60,3,13,12,0,21,0,25,0,0,0,0,0,0,0,14,53,16,0,73,0,80,0,0,0,0,0,5,5,661,64,16,0,81,3,750,905,28,0,0
2013,512,8,0,0,8,0,523,11,17,0,0,17,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,17,0,0,17,0,28,0,0,0,0,0,0,3,526,27,0,0,23,3,551,461,14,0,0,14,0,476,12,18,0,0,18,0,31,3,3,0,0,3,0,6,0,0,0,0,0,0,0,13,22,0,0,22,0,40,4,0,0,0,0,0,6,483,33,0,0,33,0,518,274,4,0,0,4,0,284,11,10,0,0,10,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,0,0,10,0,22,5,0,0,0,0,0,3,289,18,0,0,18,0,310,199,3,0,0,3,0,200,3,5,0,0,5,0,10,3,0,3,0,4,0,6,0,0,0,0,0,0,0,4,10,3,0,13,0,14,0,0,0,0,0,0,0,204,11,3,0,13,0,215,254,4,0,0
2014,384,0,0,0,0,0,390,4,13,0,0,13,0,22,0,0,0,0,3,0,3,0,0,0,0,0,0,0,4,13,0,0,16,0,22,0,0,0,0,0,0,0,388,21,0,0,17,3,408,350,0,0,0,0,0,356,15,7,0,0,7,0,22,0,0,0,0,0,0,3,0,0,0,0,0,0,0,11,13,0,0,13,0,25,0,0,0,0,0,0,0,368,14,0,0,14,0,383,206,0,0,0,0,0,204,13,3,0,0,3,0,16,0,0,3,0,3,0,3,0,0,0,0,0,0,0,13,3,3,0,8,0,14,0,0,0,0,0,0,0,213,3,3,0,8,0,219,158,0,0,0,0,0,158,6,3,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,3,0,5,0,0,0,0,0,0,0,169,3,0,0,3,0,170,190,0,0,0
2015,589,15,0,0,15,3,609,18,53,0,0,60,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,53,4,0,58,0,81,3,0,0,0,0,4,7,609,72,4,0,72,7,692,560,8,0,0,11,3,569,20,45,0,0,45,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,41,0,0,41,0,64,0,0,0,0,0,3,3,579,51,0,0,57,3,638,299,4,0,0,4,0,301,9,17,0,0,17,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,22,0,0,22,0,31,0,0,0,0,0,0,0,303,23,0,0,23,0,330,203,7,0,0,7,0,202,3,6,0,0,10,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,10,0,15,0,0,0,0,0,5,6,204,9,0,0,14,6,222,263,0,0,0
2016,1480,54,0,0,56,9,1540,39,468,71,8,545,0,585,3,104,89,0,194,0,197,0,3,0,3,8,0,6,43,578,166,8,748,0,786,0,0,0,0,0,8,11,1519,627,166,9,803,12,2337,1573,45,0,0,45,9,1621,48,400,40,6,442,0,490,3,118,85,0,200,0,204,0,0,0,0,4,0,5,50,511,125,6,646,0,701,0,0,0,0,0,8,10,1618,557,125,6,693,13,2323,873,25,0,0,25,3,894,32,187,21,3,214,0,239,0,59,53,0,112,0,112,0,0,0,0,0,0,0,32,247,71,3,323,0,354,0,0,0,0,0,3,3,902,269,71,3,343,10,1251,551,17,0,0,17,3,570,25,119,14,0,134,0,157,0,26,32,0,60,0,60,0,0,0,0,0,0,0,25,145,44,0,195,0,216,0,0,0,0,0,3,3,577,156,44,0,204,4,793,864,34,0,0
2017,415,7,0,0,8,7,429,11,64,0,0,65,0,77,0,3,7,0,9,0,9,0,0,0,0,0,0,0,11,71,5,0,77,0,94,0,0,0,0,0,0,0,429,79,10,0,90,7,521,343,6,0,0,6,3,346,11,32,4,0,37,0,49,0,3,8,0,8,0,8,0,0,0,0,0,0,0,11,40,7,0,50,0,56,0,0,0,0,0,0,3,353,47,7,0,58,3,411,194,0,0,0,0,0,194,4,13,0,0,13,0,16,0,7,0,0,9,0,13,0,0,0,0,0,0,0,6,19,0,0,24,0,22,0,0,0,0,0,0,0,196,19,0,0,24,0,215,154,0,0,0,0,0,155,0,5,3,0,10,0,10,0,3,3,0,3,0,3,0,0,0,0,0,0,0,0,12,3,0,10,0,14,0,0,0,0,0,0,0,157,12,4,0,14,0,171,201,0,0,0
2018,1434,17,0,0,17,3,1452,44,130,3,0,136,0,186,0,15,3,0,15,0,17,0,0,0,0,0,0,0,45,151,9,0,155,0,201,0,0,0,0,0,0,0,1478,168,9,0,174,5,1656,1416,20,0,0,20,3,1441,37,119,5,0,124,0,155,0,12,12,0,18,0,20,0,0,0,0,0,0,0,36,123,15,0,141,0,181,0,0,0,0,0,6,4,1455,146,15,0,163,12,1622,775,10,0,0,10,3,788,13,72,0,0,70,0,89,0,3,7,0,9,0,9,0,0,0,3,3,0,3,13,70,7,3,84,0,98,0,0,0,0,0,0,0,792,83,7,3,92,3,886,504,14,0,0,10,0,519,12,31,0,0,32,3,48,0,3,5,0,9,0,9,0,0,0,0,0,0,0,12,37,11,0,42,3,57,0,0,0,0,0,0,0,515,47,12,0,55,3,575,637,13,0,0
2019,687,13,0,0,13,0,697,17,32,0,0,32,0,46,0,0,3,0,4,0,4,0,0,0,0,0,0,0,17,30,3,0,32,0,49,0,0,0,0,0,8,9,704,44,3,0,43,8,751,715,12,0,0,12,0,734,24,29,0,0,29,0,47,0,0,3,0,3,0,3,0,0,0,0,0,0,0,24,29,3,0,31,0,49,3,0,0,0,0,3,8,742,38,3,0,43,5,787,425,7,0,0,7,0,428,3,15,0,0,15,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,0,0,15,0,17,3,0,0,0,0,0,3,424,25,0,0,25,3,456,262,5,0,0,5,0,272,5,10,0,0,10,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,10,0,16,0,0,0,0,0,0,0,269,15,0,0,15,0,287,326,6,0,0
2020,1507,40,0,0,40,0,1551,31,55,0,0,53,0,90,3,9,0,0,8,0,8,0,0,0,0,0,0,0,38,66,3,0,65,0,97,0,0,0,0,0,3,9,1546,107,3,0,108,3,1655,1619,21,0,0,21,12,1651,42,44,0,0,44,0,82,3,5,0,0,7,0,9,0,0,0,0,0,0,0,40,46,3,0,49,0,94,3,0,0,0,0,4,4,1663,69,3,0,70,13,1743,830,13,0,0,13,0,847,21,21,0,0,21,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,20,0,0,20,0,46,0,0,0,0,0,0,0,852,34,0,0,34,0,893,537,5,0,0,5,0,542,12,23,0,0,23,0,32,0,0,3,0,3,0,3,0,0,0,0,0,0,0,12,23,3,0,21,0,38,0,0,0,0,0,0,0,549,28,3,0,28,0,579,744,12,0,0
2021,1329,22,0,0,22,3,1361,31,58,5,0,63,0,93,0,0,5,0,6,0,11,0,4,0,0,4,0,4,28,59,12,0,74,0,104,0,0,0,0,0,3,3,1358,86,12,0,95,5,1462,1362,20,0,0,20,0,1387,38,41,0,0,42,0,78,0,3,3,0,5,0,5,0,3,0,0,0,0,0,38,42,3,0,51,0,87,0,0,0,0,0,10,9,1402,67,3,0,67,8,1479,749,10,0,0,10,0,755,14,38,0,0,38,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,37,0,0,36,0,53,0,0,0,0,0,3,3,763,42,0,0,49,3,816,522,5,0,0,5,0,526,7,15,0,0,15,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,0,0,15,0,22,0,0,0,0,0,0,0,525,21,0,0,21,0,546,714,4,0,0
