SUA_CODE_2016,M_Ag_For_Fshg_15_19,M_Ag_For_Fshg_20_24,M_Ag_For_Fshg_25_34,M_Ag_For_Fshg_35_44,M_Ag_For_Fshg_45_54,M_Ag_For_Fshg_55_64,M_Ag_For_Fshg_65_74,M_Ag_For_Fshg_75_84,M_Ag_For_Fshg_85ov,M_Ag_For_Fshg_Tot,M_Mining_15_19,M_Mining_20_24,M_Mining_25_34,M_Mining_35_44,M_Mining_45_54,M_Mining_55_64,M_Mining_65_74,M_Mining_75_84,M_Mining_85ov,M_Mining_Tot,M_Manufact_15_19,M_Manufact_20_24,M_Manufact_25_34,M_Manufact_35_44,M_Manufact_45_54,M_Manufact_55_64,M_Manufact_65_74,M_Manufact_75_84,M_Manufact_85ov,M_Manufact_Tot,M_El_Gas_Wt_Waste_15_19,M_El_Gas_Wt_Waste_20_24,M_El_Gas_Wt_Waste_25_34,M_El_Gas_Wt_Waste_35_44,M_El_Gas_Wt_Waste_45_54,M_El_Gas_Wt_Waste_55_64,M_El_Gas_Wt_Waste_65_74,M_El_Gas_Wt_Waste_75_84,M_El_Gas_Wt_Waste_85ov,M_El_Gas_Wt_Waste_Tot,M_Constru_15_19,M_Constru_20_24,M_Constru_25_34,M_Constru_35_44,M_Constru_45_54,M_Constru_55_64,M_Constru_65_74,M_Constru_75_84,M_Constru_85ov,M_Constru_Tot,M_WhlesaleTde_15_19,M_WhlesaleTde_20_24,M_WhlesaleTde_25_34,M_WhlesaleTde_35_44,M_WhlesaleTde_45_54,M_WhlesaleTde_55_64,M_WhlesaleTde_65_74,M_WhlesaleTde_75_84,M_WhlesaleTde_85ov,M_WhlesaleTde_Tot,M_RetTde_15_19,M_RetTde_20_24,M_RetTde_25_34,M_RetTde_35_44,M_RetTde_45_54,M_RetTde_55_64,M_RetTde_65_74,M_RetTde_75_84,M_RetTde_85ov,M_RetTde_Tot,M_Accom_food_15_19,M_Accom_food_20_24,M_Accom_food_25_34,M_Accom_food_35_44,M_Accom_food_45_54,M_Accom_food_55_64,M_Accom_food_65_74,M_Accom_food_75_84,M_Accom_food_85ov,M_Accom_food_Tot,M_Trans_post_wrehsg_15_19,M_Trans_post_wrehsg_20_24,M_Trans_post_wrehsg_25_34,M_Trans_post_wrehsg_35_44,M_Trans_post_wrehsg_45_54,M_Trans_post_wrehsg_55_64,M_Trans_post_wrehsg_65_74,M_Trans_post_wrehsg_75_84,M_Trans_post_wrehsg_85ov,M_Trans_post_wrehsg_Tot,M_Info_media_teleco_15_19,M_Info_media_teleco_20_24,M_Info_media_teleco_25_34,M_Info_media_teleco_35_44,M_Info_media_teleco_45_54,M_Info_media_teleco_55_64,M_Info_media_teleco_65_74,M_Info_media_teleco_75_84,M_Info_media_teleco_85ov,M_Info_media_teleco_Tot,M_Fin_Insur_15_19,M_Fin_Insur_20_24,M_Fin_Insur_25_34,M_Fin_Insur_35_44,M_Fin_Insur_45_54,M_Fin_Insur_55_64,M_Fin_Insur_65_74,M_Fin_Insur_75_84,M_Fin_Insur_85ov,M_Fin_Insur_Tot,M_RtnHir_REst_15_19,M_RtnHir_REst_20_24,M_RtnHir_REst_25_34,M_RtnHir_REst_35_44,M_RtnHir_REst_45_54,M_RtnHir_REst_55_64,M_RtnHir_REst_65_74,M_RtnHir_REst_75_84,M_RtnHir_REst_85ov,M_RtnHir_REst_Tot,M_Pro_scien_tec_15_19,M_Pro_scien_tec_20_24,M_Pro_scien_tec_25_34,M_Pro_scien_tec_35_44,M_Pro_scien_tec_45_54,M_Pro_scien_tec_55_64,M_Pro_scien_tec_65_74,M_Pro_scien_tec_75_84,M_Pro_scien_tec_85ov,M_Pro_scien_tec_Tot,M_Admin_supp_15_19,M_Admin_supp_20_24,M_Admin_supp_25_34,M_Admin_supp_35_44,M_Admin_supp_45_54,M_Admin_supp_55_64,M_Admin_supp_65_74,M_Admin_supp_75_84,M_Admin_supp_85ov,M_Admin_supp_Tot,M_Public_admin_sfty_15_19,M_Public_admin_sfty_20_24,M_Public_admin_sfty_25_34,M_Public_admin_sfty_35_44,M_Public_admin_sfty_45_54,M_Public_admin_sfty_55_64,M_Public_admin_sfty_65_74,M_Public_admin_sfty_75_84,M_Public_admin_sfty_85ov,M_Public_admin_sfty_Tot,M_Educ_trng_15_19,M_Educ_trng_20_24,M_Educ_trng_25_34,M_Educ_trng_35_44,M_Educ_trng_45_54,M_Educ_trng_55_64,M_Educ_trng_65_74,M_Educ_trng_75_84,M_Educ_trng_85ov,M_Educ_trng_Tot,M_HlthCare_SocAs_15_19,M_HlthCare_SocAs_20_24,M_HlthCare_SocAs_25_34,M_HlthCare_SocAs_35_44,M_HlthCare_SocAs_45_54,M_HlthCare_SocAs_55_64,M_HlthCare_SocAs_65_74,M_HlthCare_SocAs_75_84,M_HlthCare_SocAs_85ov,M_HlthCare_SocAs_Tot,M_Art_recn_15_19,M_Art_recn_20_24,M_Art_recn_25_34,M_Art_recn_35_44,M_Art_recn_45_54,M_Art_recn_55_64,M_Art_recn_65_74,M_Art_recn_75_84,M_Art_recn_85ov,M_Art_recn_Tot,M_Oth_scs_15_19,M_Oth_scs_20_24,M_Oth_scs_25_34,M_Oth_scs_35_44,M_Oth_scs_45_54,M_Oth_scs_55_64,M_Oth_scs_65_74,M_Oth_scs_75_84,M_Oth_scs_85ov,M_Oth_scs_Tot,M_ID_NS_15_19,M_ID_NS_20_24,M_ID_NS_25_34,M_ID_NS_35_44,M_ID_NS_45_54,M_ID_NS_55_64,M_ID_NS_65_74,M_ID_NS_75_84,M_ID_NS_85ov,M_ID_NS_Tot
2010,176,564,1457,1468,1452,1140,517,167,30,6963,5,93,734,840,800,519,126,17,5,3135,1559,6177,22014,27743,28739,19144,3880,368,57,109674,105,677,3831,3750,3280,2046,368,22,3,14083,4884,16282,41227,32662,28031,16565,3457,327,57,143481,693,2682,9729,11563,11415,7237,1690,206,20,45232,9451,16106,23307,17184,14043,9389,2882,348,54,92770,11874,13697,19032,9455,6554,4132,928,106,15,65786,667,4213,18147,17699,18308,13369,3178,212,23,75819,520,1796,7783,8265,6051,2987,544,51,9,28014,190,2497,14383,14962,10093,4938,1329,185,48,48633,245,1331,4928,4102,3532,2442,966,187,24,17754,620,6037,31115,29516,20120,12815,4911,661,76,105879,682,3643,9596,8136,7270,5365,1714,185,15,36599,516,2722,11515,12689,12816,8874,2036,252,24,51434,1563,4463,13148,12138,10489,9426,2757,264,21,54285,504,2900,13258,12778,11655,9216,3166,381,48,53902,2363,3708,6261,4291,3161,2069,759,148,13,22774,1113,3681,9388,8417,8411,5991,1738,245,23,39014,1866,6146,15727,13558,13261,8564,2701,515,154,62498
2011,3,3,21,25,12,11,5,0,0,85,0,3,17,19,14,13,3,0,0,63,32,89,360,410,338,257,37,3,0,1538,0,21,77,50,57,38,3,0,0,248,141,349,703,545,383,208,36,0,0,2365,0,41,155,165,131,104,18,6,0,622,104,182,308,247,150,111,35,0,0,1141,195,90,106,60,36,36,8,0,0,524,14,101,509,545,484,395,67,0,0,2114,10,15,73,51,32,22,3,0,0,203,0,19,88,86,49,21,3,0,0,260,3,9,49,43,36,19,6,0,0,174,12,42,137,138,70,69,18,0,0,480,9,41,95,119,91,64,14,3,0,432,7,38,197,224,195,130,36,0,0,818,11,23,106,89,64,84,19,0,0,399,5,28,88,103,81,70,17,0,0,383,22,30,47,52,31,20,8,0,0,208,24,66,169,145,97,88,20,0,0,617,53,94,207,202,191,112,29,0,0,877
2012,21,93,233,223,270,248,121,29,9,1243,0,6,44,43,37,28,5,0,0,173,33,70,186,212,211,151,34,3,3,893,3,11,50,45,58,56,11,0,0,232,66,141,341,244,259,200,30,0,0,1284,21,38,94,81,74,69,22,3,0,400,169,138,210,149,170,159,39,7,0,1037,161,114,133,72,73,78,26,3,0,658,11,39,111,141,208,200,50,0,0,751,8,15,19,29,27,15,7,0,0,122,0,0,33,37,41,20,0,0,0,140,0,7,25,13,20,27,9,0,0,110,9,22,75,93,62,63,22,3,0,356,11,31,70,84,91,80,17,0,0,389,4,31,117,150,150,110,25,4,0,586,9,15,82,117,126,112,24,0,0,497,8,23,111,132,130,104,40,3,0,547,26,9,21,28,25,17,3,0,0,130,38,59,105,75,101,73,14,0,0,472,27,62,126,101,117,116,31,10,5,596
2013,6,7,21,12,12,18,3,0,0,86,0,8,27,17,19,21,3,0,0,86,19,40,77,83,71,55,8,0,0,350,0,11,48,51,135,124,21,0,0,391,25,79,125,128,96,84,15,0,0,540,3,9,10,20,13,12,3,0,0,73,55,44,56,46,40,35,4,4,0,287,46,25,33,22,12,7,0,0,0,153,4,9,26,35,44,48,5,0,0,170,3,3,6,6,5,10,0,0,0,30,0,5,8,4,7,0,0,0,0,29,0,6,6,6,10,4,0,0,0,37,0,11,19,14,26,20,8,3,0,103,8,4,21,24,19,22,4,0,0,97,0,14,29,33,38,24,8,0,0,139,3,11,19,29,16,31,8,0,0,113,0,13,17,18,32,31,12,0,0,121,3,4,9,3,4,3,3,3,0,32,4,17,25,21,30,24,6,0,0,134,14,26,42,27,36,27,4,4,0,175
2014,3,17,19,24,24,18,17,9,0,139,0,0,4,3,0,0,0,0,0,10,15,25,91,147,216,138,18,3,0,642,0,0,11,12,17,7,0,0,0,48,7,29,58,33,51,46,4,3,0,237,0,9,9,11,13,19,3,0,0,73,46,24,29,18,25,16,6,0,0,158,45,19,18,8,18,18,3,0,0,132,0,17,45,58,60,61,24,0,0,260,0,3,3,0,0,4,0,0,0,18,0,0,0,3,0,3,0,0,0,12,0,0,0,8,11,0,0,0,0,21,0,6,9,11,13,13,8,0,0,63,0,0,9,9,9,9,3,0,0,45,0,4,18,26,28,30,6,0,0,107,0,3,11,26,24,13,7,0,0,86,0,10,15,19,19,25,3,4,0,86,5,5,0,0,5,0,3,0,0,18,3,13,17,16,25,16,10,0,0,93,4,13,15,25,27,19,8,8,0,122
2015,3,16,60,30,20,36,8,0,0,174,0,0,33,55,64,35,3,0,0,192,6,27,46,31,45,43,3,3,0,210,0,3,12,17,31,18,6,0,0,88,19,68,120,104,98,52,13,3,0,485,0,6,13,18,10,3,4,0,0,57,54,42,50,54,48,42,16,3,0,305,71,38,50,22,13,22,3,0,0,219,4,10,14,18,36,31,7,0,0,115,0,3,4,3,3,3,0,0,0,18,0,0,5,10,14,9,0,0,0,38,0,3,4,3,11,14,3,0,0,32,3,7,19,30,21,23,4,3,0,111,0,3,10,12,24,22,7,0,0,82,0,17,135,104,97,74,8,0,0,438,3,4,32,38,27,19,6,0,0,142,0,14,33,42,43,27,6,0,0,170,4,7,4,3,4,3,0,0,0,33,3,15,21,16,15,23,10,0,0,112,10,14,50,15,24,22,4,0,0,141
2016,17,37,138,154,151,104,61,15,0,669,0,3,16,7,10,6,4,0,0,36,45,143,309,346,344,269,35,3,0,1503,6,17,81,81,88,70,8,0,0,348,71,199,389,289,300,207,45,3,0,1508,17,15,56,79,85,62,24,3,0,346,174,134,245,167,161,129,43,5,0,1053,152,86,104,64,52,43,18,0,0,521,7,25,94,133,177,163,70,9,3,683,7,16,32,22,30,23,7,0,0,134,4,11,18,40,39,39,7,0,0,161,0,12,17,16,29,23,6,3,0,107,11,32,108,83,96,78,29,0,0,432,4,20,66,63,75,50,18,0,0,302,4,26,71,94,104,99,23,3,0,427,23,24,107,108,103,100,30,4,0,503,6,32,173,162,138,134,41,4,0,691,23,9,18,19,14,10,7,0,0,105,31,46,108,104,128,81,24,5,0,532,47,58,130,129,120,81,24,7,7,599
2017,4,20,55,58,50,41,20,10,0,258,0,0,6,9,3,0,0,0,0,19,13,31,78,67,74,31,8,0,0,308,0,3,8,6,16,9,0,0,0,38,27,52,101,47,43,36,8,3,0,305,0,12,32,30,29,12,0,0,0,123,29,32,42,39,52,50,4,0,0,243,40,20,24,22,13,15,9,0,0,149,0,9,27,23,46,47,12,0,0,174,3,3,0,6,6,5,0,0,0,23,0,5,7,11,3,3,3,0,0,38,0,0,0,3,6,5,0,0,0,19,3,3,25,17,13,21,5,0,0,91,3,6,11,11,9,9,3,0,0,50,0,4,22,30,34,34,0,0,0,121,3,4,31,23,26,25,8,0,0,114,0,8,19,24,24,25,8,0,0,117,3,8,12,6,7,3,0,0,0,34,6,19,30,17,13,12,3,0,0,116,7,13,24,17,24,17,3,7,0,112
2018,3,25,47,45,37,24,23,11,0,227,0,8,69,47,73,43,15,0,0,254,15,80,197,247,275,230,31,0,0,1073,6,27,133,128,266,209,33,3,0,816,47,168,354,252,230,179,29,0,0,1274,3,24,49,58,40,19,5,0,0,206,126,114,189,142,102,88,32,8,0,798,164,78,113,60,49,33,16,0,0,511,8,20,80,77,119,110,24,0,0,443,5,14,26,18,17,10,0,0,0,94,0,6,33,18,29,11,4,0,0,107,0,4,18,13,28,15,6,0,0,84,3,16,98,75,53,52,18,3,0,317,0,22,33,42,55,37,10,0,0,198,3,46,112,115,124,94,15,3,0,515,0,25,58,64,47,54,16,0,0,270,4,27,108,120,104,90,27,4,0,483,12,16,14,11,14,8,4,0,0,73,18,35,75,75,67,40,12,3,0,340,24,41,97,77,77,57,23,11,0,400
2019,0,7,27,18,24,20,12,3,0,118,0,0,3,3,5,0,3,0,0,12,15,54,123,137,161,98,3,0,0,593,0,3,6,14,20,11,0,0,0,54,33,59,134,113,106,64,18,0,0,520,5,5,32,28,27,24,6,0,0,143,62,49,62,75,68,62,27,4,0,412,86,42,43,29,14,19,5,0,0,246,5,8,37,41,78,65,18,0,0,260,0,7,12,7,12,16,3,0,0,54,0,4,9,20,16,5,3,0,0,58,0,0,7,6,10,7,3,0,0,41,0,10,26,22,21,27,6,0,0,113,7,17,30,36,32,30,12,0,0,164,0,9,31,56,78,51,6,0,0,241,3,9,36,50,42,49,5,0,0,183,3,7,51,54,69,78,12,3,0,285,0,3,14,9,9,3,0,0,0,43,6,23,34,35,38,29,10,0,0,176,22,21,44,40,44,30,12,3,0,214
