SUA_CODE_2016,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_Nthern_Ireland_0_4,F_Nthern_Ireland_5_14,F_Nthern_Ireland_15_24,F_Nthern_Ireland_25_44,F_Nthern_Ireland_45_54,F_Nthern_Ireland_55_64,F_Nthern_Ireland_65_74,F_Nthern_Ireland_75_84,F_Nthern_Ireland_85ov,F_Nthern_Ireland_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_SE_Europe_nfd_0_4,F_SE_Europe_nfd_5_14,F_SE_Europe_nfd_15_24,F_SE_Europe_nfd_25_44,F_SE_Europe_nfd_45_54,F_SE_Europe_nfd_55_64,F_SE_Europe_nfd_65_74,F_SE_Europe_nfd_75_84,F_SE_Europe_nfd_85ov,F_SE_Europe_nfd_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_FYROM_0_4,F_FYROM_5_14,F_FYROM_15_24,F_FYROM_25_44,F_FYROM_45_54,F_FYROM_55_64,F_FYROM_65_74,F_FYROM_75_84,F_FYROM_85ov,F_FYROM_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
2010,13,138,392,1967,924,1035,690,371,190,5727,26,354,886,2266,558,349,156,95,45,4736,25,160,856,2606,114,78,21,11,3,3880,17,144,137,671,461,971,1770,1162,626,5973,667,3855,5309,15445,5827,4196,1863,687,281,38134,3,30,62,431,355,396,454,273,112,2111,299,982,871,4153,463,300,137,33,13,7253,5,23,64,465,322,138,40,16,3,1083,209,1328,2515,11109,5004,3793,1650,431,180,26206,0,45,109,1738,842,1699,1308,933,1049,7724,36,230,334,1741,1544,1900,2019,1353,579,9737,141,854,1760,2922,1074,900,486,138,46,8313,86,601,1436,4293,2377,1578,1089,485,185,12131,0,0,24,397,671,850,714,594,209,3463,216,1459,2075,10871,4267,3276,2143,1002,469,25777,51,112,572,3114,451,506,190,26,11,5029,141,683,1268,5224,1058,464,153,30,10,9024,7,49,170,1642,1686,2072,1709,851,201,8381,30,103,281,2091,2273,1214,797,359,95,7245,261,1034,1148,3283,1212,814,514,106,62,8436
2011,0,0,0,12,11,4,0,0,0,36,0,4,11,36,7,4,0,3,0,68,0,5,8,3,0,3,0,0,0,13,0,0,0,5,0,18,28,7,8,71,28,151,139,270,108,73,37,5,0,803,0,0,0,4,4,8,8,4,0,35,0,13,4,40,11,3,0,0,0,75,0,5,0,0,3,3,0,0,0,14,5,44,79,266,106,72,24,5,0,597,0,0,3,13,17,20,13,5,7,72,0,3,3,20,18,49,54,21,9,170,0,0,3,12,7,4,0,0,0,35,3,3,6,30,10,11,7,0,0,73,0,0,0,4,15,12,20,8,3,60,0,15,13,74,11,9,10,0,3,137,0,0,0,9,6,4,0,0,0,21,0,4,19,48,17,3,0,0,0,95,0,0,0,24,17,17,12,3,0,80,0,0,0,19,9,3,6,4,0,41,0,14,0,20,3,9,0,0,0,46
2012,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,0,0,3,4,3,9,19,11,3,41,3,16,26,71,50,27,16,12,0,228,0,0,0,0,0,0,0,0,0,8,0,14,5,7,0,0,0,0,0,21,0,0,0,0,3,0,0,0,0,3,3,7,14,58,30,33,14,3,0,153,0,0,0,0,0,0,0,0,4,3,0,0,0,8,15,6,5,13,7,56,0,0,0,0,0,0,0,0,0,3,0,3,7,10,8,3,0,0,0,33,0,0,0,0,0,7,4,5,6,28,0,3,0,11,7,3,0,0,0,32,0,0,16,43,0,0,0,0,0,60,4,3,0,20,5,6,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,3,10,41,38,20,13,9,0,130,0,0,3,15,3,11,5,3,0,33
2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,9,5,12,34,31,13,111,0,4,3,17,11,7,10,4,0,66,0,0,0,3,0,0,3,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,27,23,15,20,5,0,88,0,0,0,0,0,0,7,6,8,17,0,0,0,3,5,14,27,17,14,76,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,0,0,12,0,0,0,0,0,3,3,4,0,9,0,0,0,7,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,16
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,3,5,3,24,0,4,5,13,12,15,3,3,0,57,0,0,0,0,0,0,0,3,0,7,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,4,21,12,10,3,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,0,0,0,0,18,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5
2015,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,12,10,8,42,3,4,9,19,17,16,9,0,0,71,0,0,0,0,0,0,0,4,0,3,0,0,0,3,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,5,0,23,13,13,6,0,0,65,0,0,0,3,0,4,0,0,10,19,0,3,0,3,4,3,13,5,0,39,0,0,0,0,3,5,0,0,0,10,0,8,5,6,6,0,0,0,0,29,0,0,0,0,0,0,0,0,0,3,0,0,3,11,0,3,0,0,0,17,0,0,4,19,0,0,0,0,0,22,0,0,4,3,7,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,4,3,0,0,24
2016,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,3,3,0,0,0,0,0,5,0,0,0,4,0,21,26,13,11,74,6,38,27,91,47,29,19,6,3,261,0,0,0,0,0,4,6,3,0,17,0,22,22,33,0,0,0,0,0,91,0,0,0,4,3,0,0,0,0,8,3,13,18,88,42,35,24,7,0,213,0,0,0,3,0,3,0,0,3,12,0,0,0,0,11,15,13,3,3,40,0,0,3,7,3,0,0,0,0,9,0,8,6,20,10,3,3,0,0,49,0,0,0,0,0,3,3,3,0,11,6,8,3,29,16,3,3,0,0,67,0,0,27,102,3,3,3,0,0,138,0,0,3,16,14,8,3,0,0,43,0,0,0,0,7,5,9,11,0,29,0,0,7,36,27,18,12,3,0,100,0,11,5,11,3,3,0,0,0,40
2017,0,3,0,4,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,12,3,0,7,0,0,30,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,6,20,12,8,3,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,15,0,0,0,0,0,0,0,0,0,0,0,0,9,7,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,10,0,0,0,5,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9
2018,0,0,0,7,0,3,0,0,0,9,0,0,0,8,0,0,0,0,0,8,0,0,3,7,0,0,0,0,0,7,0,0,0,3,5,23,68,33,27,158,3,9,14,67,33,41,19,3,3,196,0,0,0,0,7,12,12,0,0,34,0,0,3,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,9,11,62,35,40,20,3,3,185,0,0,0,0,3,9,0,7,13,29,0,0,3,7,9,28,68,33,14,167,0,0,0,6,0,0,0,0,0,8,0,4,11,17,9,3,5,0,0,57,0,0,0,0,0,0,5,3,0,11,0,5,0,15,8,3,0,0,0,35,0,0,0,0,0,0,0,0,0,3,0,0,9,27,3,0,0,0,0,41,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,10,3,0,0,21
2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,11,0,0,0,6,4,7,16,10,6,44,0,0,3,16,11,3,15,5,3,54,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,3,22,4,16,9,0,0,55,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,10,12,8,0,33,0,0,0,3,0,0,0,0,0,3,0,0,0,3,4,3,3,0,0,15,0,0,0,0,0,0,3,0,0,3,0,6,3,3,3,0,0,0,0,11,0,0,0,3,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,4,4,5,4,0,0,20
2020,0,0,0,5,9,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,36,64,27,11,160,0,8,27,59,41,34,17,11,3,199,0,0,0,3,4,3,6,3,0,19,0,0,0,3,0,0,0,0,0,9,0,0,0,4,3,0,0,0,0,10,0,6,3,35,18,12,9,0,0,78,0,0,0,0,0,7,5,0,0,20,0,0,0,8,9,15,35,18,0,91,0,0,0,3,0,0,0,3,0,7,0,9,0,16,6,13,8,3,0,52,0,0,0,0,0,0,3,4,0,11,0,3,0,9,6,0,3,0,0,24,0,0,4,27,0,0,0,0,0,35,0,0,3,9,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,7,7,3,0,0,37
2021,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,3,0,5,7,21,14,4,53,7,7,17,68,41,35,14,4,0,191,0,0,0,4,0,3,3,6,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,3,10,33,17,17,3,0,0,91,0,0,0,3,0,0,0,0,0,4,0,0,3,12,11,19,16,9,4,70,0,0,3,3,0,0,0,0,0,7,0,0,8,14,12,0,5,0,0,31,0,0,0,0,3,0,0,0,0,4,0,4,0,20,5,0,4,3,0,45,0,0,13,47,0,0,0,0,0,65,0,3,5,18,9,3,0,0,0,35,0,0,0,0,3,0,0,0,0,3,0,0,0,4,0,0,0,0,0,3,0,0,4,7,3,6,0,0,0,23
