SUA_CODE_2016,D_10_12_FPNLF_MPET,D_10_12_FPNLF_MPULFTW,D_10_12_FPNLF_MPULPTW,D_10_12_FPNLF_MPUT,D_10_12_FPNLF_MPTLF,D_10_12_FPNLF_MPNLF,D_10_12_FPNLF_MPLFSNS,D_10_12_FPNLF_T,D_10_12_FPLFSNS_MPEFT,D_10_12_FPLFSNS_MPEPT,D_10_12_FPLFSNS_MPEAW,D_10_12_FPLFSNS_MPEHNS,D_10_12_FPLFSNS_MPET,D_10_12_FPLFSNS_MPULFTW,D_10_12_FPLFSNS_MPULPTW,D_10_12_FPLFSNS_MPUT,D_10_12_FPLFSNS_MPTLF,D_10_12_FPLFSNS_MPNLF,D_10_12_FPLFSNS_MPLFSNS,D_10_12_FPLFSNS_T,D_10_12_FPT_MPEFT,D_10_12_FPT_MPEPT,D_10_12_FPT_MPEAW,D_10_12_FPT_MPEHNS,D_10_12_FPT_MPET,D_10_12_FPT_MPULFTW,D_10_12_FPT_MPULPTW,D_10_12_FPT_MPUT,D_10_12_FPT_MPTLF,D_10_12_FPT_MPNLF,D_10_12_FPT_MPLFSNS,D_10_12_FPT_T,D_13_14_FPEFT_MPEFT,D_13_14_FPEFT_MPEPT,D_13_14_FPEFT_MPEAW,D_13_14_FPEFT_MPEHNS,D_13_14_FPEFT_MPET,D_13_14_FPEFT_MPULFTW,D_13_14_FPEFT_MPULPTW,D_13_14_FPEFT_MPUT,D_13_14_FPEFT_MPTLF,D_13_14_FPEFT_MPNLF,D_13_14_FPEFT_MPLFSNS,D_13_14_FPEFT_T,D_13_14_FPEPT_MPEFT,D_13_14_FPEPT_MPEPT,D_13_14_FPEPT_MPEAW,D_13_14_FPEPT_MPEHNS,D_13_14_FPEPT_MPET,D_13_14_FPEPT_MPULFTW,D_13_14_FPEPT_MPULPTW,D_13_14_FPEPT_MPUT,D_13_14_FPEPT_MPTLF,D_13_14_FPEPT_MPNLF,D_13_14_FPEPT_MPLFSNS,D_13_14_FPEPT_T,D_13_14_FPEAW_MPEFT,D_13_14_FPEAW_MPEPT,D_13_14_FPEAW_MPEAW,D_13_14_FPEAW_MPEHNS,D_13_14_FPEAW_MPET,D_13_14_FPEAW_MPULFTW,D_13_14_FPEAW_MPULPTW,D_13_14_FPEAW_MPUT,D_13_14_FPEAW_MPTLF,D_13_14_FPEAW_MPNLF,D_13_14_FPEAW_MPLFSNS,D_13_14_FPEAW_T,D_13_14_FPHNS_MPEFT,D_13_14_FPHNS_MPEPT,D_13_14_FPHNS_MPEAW,D_13_14_FPHNS_MPEHNS,D_13_14_FPHNS_MPET,D_13_14_FPHNS_MPULFTW,D_13_14_FPHNS_MPULPTW,D_13_14_FPHNS_MPUT,D_13_14_FPHNS_MPTLF,D_13_14_FPHNS_MPNLF,D_13_14_FPHNS_MPLFSNS,D_13_14_FPHNS_T,D_13_14_FPET_MPEFT,D_13_14_FPET_MPEPT,D_13_14_FPET_MPEAW,D_13_14_FPET_MPEHNS,D_13_14_FPET_MPET,D_13_14_FPET_MPULFTW,D_13_14_FPET_MPULPTW,D_13_14_FPET_MPUT,D_13_14_FPET_MPTLF,D_13_14_FPET_MPNLF,D_13_14_FPET_MPLFSNS,D_13_14_FPET_T,D_13_14_FPULFTW_MPEFT,D_13_14_FPULFTW_MPEPT,D_13_14_FPULFTW_MPEAW,D_13_14_FPULFTW_MPEHNS,D_13_14_FPULFTW_MPET,D_13_14_FPULFTW_MPULFTW,D_13_14_FPULFTW_MPULPTW,D_13_14_FPULFTW_MPUT,D_13_14_FPULFTW_MPTLF,D_13_14_FPULFTW_MPNLF,D_13_14_FPULFTW_MPLFSNS,D_13_14_FPULFTW_T,D_13_14_FPULPTW_MPEFT,D_13_14_FPULPTW_MPEPT,D_13_14_FPULPTW_MPEAW,D_13_14_FPULPTW_MPEHNS,D_13_14_FPULPTW_MPET,D_13_14_FPULPTW_MPULFTW,D_13_14_FPULPTW_MPULPTW,D_13_14_FPULPTW_MPUT,D_13_14_FPULPTW_MPTLF,D_13_14_FPULPTW_MPNLF,D_13_14_FPULPTW_MPLFSNS,D_13_14_FPULPTW_T,D_13_14_FPUT_MPEFT,D_13_14_FPUT_MPEPT,D_13_14_FPUT_MPEAW,D_13_14_FPUT_MPEHNS,D_13_14_FPUT_MPET,D_13_14_FPUT_MPULFTW,D_13_14_FPUT_MPULPTW,D_13_14_FPUT_MPUT,D_13_14_FPUT_MPTLF,D_13_14_FPUT_MPNLF,D_13_14_FPUT_MPLFSNS,D_13_14_FPUT_T,D_13_14_FPTLF_MPEFT,D_13_14_FPTLF_MPEPT,D_13_14_FPTLF_MPEAW,D_13_14_FPTLF_MPEHNS,D_13_14_FPTLF_MPET,D_13_14_FPTLF_MPULFTW,D_13_14_FPTLF_MPULPTW,D_13_14_FPTLF_MPUT,D_13_14_FPTLF_MPTLF,D_13_14_FPTLF_MPNLF,D_13_14_FPTLF_MPLFSNS,D_13_14_FP_T,D_13_14_FPNLF_MPEFT,D_13_14_FPNLF_MPEPT,D_13_14_FPNLF_MPEAW,D_13_14_FPNLF_MPEHNS,D_13_14_FPNLF_MPET,D_13_14_FPNLF_MPULFTW,D_13_14_FPNLF_MPULPTW,D_13_14_FPNLF_MPUT,D_13_14_FPNLF_MPTLF,D_13_14_FPNLF_MPNLF,D_13_14_FPNLF_MPLFSNS,D_13_14_FPNLF_T,D_13_14_FPLFSNS_MPEFT,D_13_14_FPLFSNS_MPEPT,D_13_14_FPLFSNS_MPEAW,D_13_14_FPLFSNS_MPEHNS,D_13_14_FPLFSNS_MPET,D_13_14_FPLFSNS_MPULFTW,D_13_14_FPLFSNS_MPULPTW,D_13_14_FPLFSNS_MPUT,D_13_14_FPLFSNS_MPTLF,D_13_14_FPLFSNS_MPNLF,D_13_14_FPLFSNS_MPLFSNS,D_13_14_FPLFSNS_T,D_13_14_FPT_MPEFT,D_13_14_FPT_MPEPT,D_13_14_FPT_MPEAW,D_13_14_FPT_MPEHNS,D_13_14_FPT_MPET,D_13_14_FPT_MPULFTW,D_13_14_FPT_MPULPTW,D_13_14_FPT_MPUT,D_13_14_FPT_MPTLF,D_13_14_FPT_MPNLF,D_13_14_FPT_MPLFSNS,D_13_14_FPT_T,D_15_17_FPEFT_MPEFT,D_15_17_FPEFT_MPEPT,D_15_17_FPEFT_MPEAW,D_15_17_FPEFT_MPEHNS,D_15_17_FPEFT_MPET,D_15_17_FPEFT_MPULFTW,D_15_17_FPEFT_MPULPTW,D_15_17_FPEFT_MPUT,D_15_17_FPEFT_MPTLF,D_15_17_FPEFT_MPNLF,D_15_17_FPEFT_MPLFSNS,D_15_17_FPEFT_T,D_15_17_FPEPT_MPEFT,D_15_17_FPEPT_MPEPT,D_15_17_FPEPT_MPEAW,D_15_17_FPEPT_MPEHNS,D_15_17_FPEPT_MPET,D_15_17_FPEPT_MPULFTW,D_15_17_FPEPT_MPULPTW,D_15_17_FPEPT_MPUT,D_15_17_FPEPT_MPTLF,D_15_17_FPEPT_MPNLF,D_15_17_FPEPT_MPLFSNS,D_15_17_FPEPT_T
2010,21940,858,229,1090,23029,4681,88,27794,142,25,3,123,295,4,0,5,296,35,255,589,84396,11232,1181,1752,98562,2716,639,3357,101918,8070,473,110458,16775,1948,171,124,19015,476,94,567,19582,1066,28,20678,22505,2805,249,210,25770,385,92,476,26247,914,26,27189,495,76,124,3,703,18,3,18,723,41,0,758,290,53,3,310,655,24,5,27,686,48,18,748,40068,4886,540,641,46136,902,193,1097,47233,2067,75,49374,560,107,11,19,688,152,17,173,861,91,0,955,990,177,9,26,1205,134,58,190,1390,101,0,1491,1550,283,15,41,1893,285,74,363,2256,189,0,2442,41619,5166,559,684,48032,1187,268,1457,49487,2251,72,51817,9885,1819,150,291,12152,470,138,609,12764,2986,54,15810,78,15,0,45,145,7,0,4,148,25,169,341,51580,7004,715,1029,60327,1668,412,2077,62398,5264,302,67967,24655,2781,288,186,27916,705,154,858,28771,1693,32,30494,29405,3830,370,291,33899,562,108,675,34571,1496,38,36102
2011,387,22,3,25,410,126,5,544,0,0,0,0,0,0,0,0,0,0,11,17,1112,136,27,19,1289,55,12,65,1358,175,19,1555,217,13,4,3,244,7,3,9,250,11,0,263,222,17,0,5,250,5,3,11,258,16,0,276,17,0,3,0,17,0,0,0,17,0,0,17,3,0,0,3,4,0,0,0,4,0,0,4,460,37,9,13,517,12,3,19,534,24,0,563,11,0,0,0,13,6,0,6,18,0,0,22,20,3,0,0,27,0,3,3,26,0,0,28,30,3,0,0,38,6,3,12,45,0,0,46,492,38,10,10,554,22,6,27,583,24,0,612,177,32,9,10,218,14,3,11,231,78,4,319,3,0,0,0,3,0,0,0,3,0,3,8,669,70,14,23,772,35,11,42,816,107,7,930,279,23,7,7,316,9,0,9,325,29,0,354,290,31,8,0,328,3,3,6,332,16,0,351
2012,183,20,8,26,208,72,0,285,0,0,0,0,6,0,0,0,3,0,3,14,928,88,20,13,1051,39,11,51,1098,125,6,1232,207,22,4,0,233,6,0,6,236,7,0,245,242,17,3,0,263,5,0,5,273,19,0,289,8,0,0,0,11,0,0,0,11,0,0,11,0,0,0,3,3,0,0,0,3,0,0,6,459,41,9,4,509,9,0,9,522,28,0,550,10,0,0,0,8,3,0,3,13,0,0,13,6,0,0,0,6,4,0,4,9,0,0,11,15,3,0,0,16,4,0,4,28,0,0,24,467,43,10,4,530,21,0,21,547,23,0,574,84,18,3,3,105,4,8,7,119,49,0,172,4,0,0,0,4,0,0,0,4,0,0,4,556,57,12,6,641,23,8,29,665,78,0,750,315,35,7,0,355,8,0,8,369,22,0,392,341,25,6,0,373,14,0,14,390,25,0,412
2013,50,0,0,0,57,24,0,77,3,0,0,0,3,0,0,0,3,0,0,3,221,21,3,6,258,15,0,12,271,38,0,310,41,3,0,0,47,3,0,3,52,3,0,56,70,10,0,0,80,3,0,3,87,7,0,93,8,0,0,0,8,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,121,18,7,0,141,3,0,10,148,14,0,157,4,0,0,0,3,0,0,0,3,3,0,10,4,3,0,0,3,0,0,0,3,0,0,6,8,3,0,0,11,0,0,0,11,0,0,11,123,17,7,0,148,3,0,10,158,12,0,169,26,3,0,0,31,0,0,0,37,9,0,50,0,0,0,0,0,0,0,0,0,0,0,4,153,20,8,0,183,9,0,6,191,25,0,215,48,3,0,0,51,0,0,0,58,5,0,61,103,15,4,3,119,0,0,0,119,12,0,135
2014,33,0,0,0,33,14,0,43,0,0,0,0,0,0,0,0,0,0,0,3,161,22,3,5,190,7,0,7,194,28,0,219,38,3,3,0,47,0,0,0,47,0,0,50,60,3,0,0,66,0,0,0,66,3,0,72,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,102,7,3,3,117,0,0,0,121,6,0,123,6,0,0,0,6,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,5,0,0,5,109,7,3,3,121,3,0,3,125,6,0,131,18,4,0,0,31,0,0,0,31,14,0,38,0,0,0,0,0,0,0,0,0,0,0,0,125,8,3,5,148,3,0,3,148,17,0,170,56,3,3,0,59,0,0,0,59,0,0,64,67,11,3,3,81,0,0,0,86,5,0,84
2015,66,3,0,3,69,18,0,89,0,0,0,0,4,0,0,0,4,0,0,4,249,28,6,8,293,9,3,5,302,26,0,330,50,3,3,0,54,0,0,0,56,4,0,60,81,8,3,0,96,3,0,3,101,4,0,103,4,4,0,0,6,0,0,0,6,0,0,6,0,0,0,4,3,0,0,0,3,0,0,3,139,13,4,4,160,3,0,3,169,4,0,171,0,0,0,0,4,0,0,0,4,0,0,4,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,9,0,0,9,144,12,4,4,163,10,0,10,172,4,0,178,31,5,0,0,35,0,0,0,36,3,0,45,0,0,0,0,0,0,0,0,0,0,0,0,177,18,4,8,200,8,0,8,210,12,0,222,82,6,0,0,84,0,0,0,86,0,0,85,103,8,3,0,111,3,0,3,114,8,0,125
2016,239,7,0,14,248,118,0,368,3,0,0,0,4,0,0,0,4,0,0,7,898,120,29,18,1061,29,7,32,1091,158,0,1251,206,25,0,3,238,11,3,8,246,10,0,259,235,25,0,5,267,5,0,5,275,6,0,285,8,0,0,0,11,0,0,0,11,0,0,11,4,3,0,3,5,0,0,0,5,0,0,5,456,54,3,12,526,14,3,17,543,22,0,565,12,0,0,0,13,4,0,4,16,0,0,16,12,0,0,0,11,0,0,0,11,0,0,16,23,0,0,0,22,4,0,4,30,0,0,33,481,55,3,12,549,19,3,21,567,21,0,592,88,11,9,0,105,8,3,6,118,71,0,189,0,0,0,3,0,0,0,0,0,0,3,11,564,66,13,16,657,24,3,32,689,94,3,793,324,33,7,5,370,8,0,9,383,20,0,401,379,39,7,3,431,9,0,6,435,23,0,458
2017,29,0,0,0,29,9,0,42,0,0,0,0,0,0,0,0,0,0,0,0,181,16,0,0,200,6,0,6,202,13,0,215,51,5,0,0,49,4,0,4,53,3,0,62,64,5,0,0,71,0,0,0,71,0,0,71,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,4,4,0,0,0,4,0,0,4,111,11,4,4,126,4,0,4,128,7,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,11,4,4,126,4,0,4,128,8,0,138,28,4,0,0,29,0,0,0,29,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,137,15,4,3,158,4,0,4,155,13,0,171,68,6,5,0,77,0,0,0,80,7,0,86,80,12,0,0,88,0,0,3,96,0,0,96
2018,132,13,5,18,151,40,0,187,0,0,0,3,3,0,0,0,3,0,3,4,660,71,10,17,769,43,7,53,813,63,3,886,124,6,0,4,133,11,3,13,142,10,0,150,226,19,15,3,258,4,0,4,266,16,0,279,7,0,0,0,7,3,0,3,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,352,23,15,4,399,15,4,21,416,20,0,441,3,3,0,0,5,3,0,3,6,0,0,6,14,3,0,0,11,0,3,3,17,0,0,20,14,5,0,0,20,3,3,5,23,0,0,23,370,31,15,4,419,21,4,26,440,21,0,467,62,6,0,6,76,8,3,12,87,18,0,109,0,0,0,0,0,0,0,0,0,0,0,3,435,32,11,13,496,23,12,36,529,43,0,575,163,13,3,3,183,10,3,8,193,3,0,202,288,24,6,3,323,3,0,3,329,14,0,346
2019,58,3,0,3,65,19,0,80,0,0,0,0,0,0,0,0,0,0,3,6,348,49,10,9,414,4,0,4,414,37,3,456,82,5,0,0,90,0,0,0,90,5,0,88,117,11,0,0,125,0,0,0,129,4,0,134,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,3,3,0,0,0,3,0,0,3,195,20,0,3,218,0,0,0,224,3,0,225,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,5,0,0,0,8,0,0,0,8,0,0,8,205,19,0,3,229,0,0,0,230,3,0,235,29,3,0,0,30,3,0,3,38,15,0,48,0,0,0,0,3,0,0,0,3,0,0,5,234,23,0,3,263,3,0,3,267,15,0,287,97,9,0,0,111,0,0,0,111,3,0,114,136,16,3,0,151,0,0,0,156,7,0,158
2020,168,8,0,8,171,30,0,197,0,0,0,0,0,0,0,0,0,0,0,3,722,75,9,13,817,14,0,20,833,55,3,893,130,5,0,0,137,0,0,3,143,5,0,152,231,22,3,3,261,3,0,3,265,12,0,278,9,0,0,0,12,0,0,0,12,0,0,10,0,0,0,0,3,0,0,0,3,0,0,8,372,37,3,4,413,5,0,3,420,21,0,442,3,0,0,0,3,0,0,0,3,0,0,3,11,0,0,0,11,0,0,0,9,0,0,8,12,0,0,0,12,0,0,0,10,0,0,11,382,37,3,4,426,5,3,3,432,22,0,450,76,14,3,3,100,0,0,4,100,20,0,123,0,0,0,0,0,0,0,0,0,0,0,0,461,50,7,6,523,10,6,13,535,42,0,579,214,14,3,0,231,0,0,0,236,12,0,246,303,30,3,5,339,6,0,6,341,14,0,356
2021,92,0,0,0,98,22,0,122,0,0,0,0,0,0,0,0,0,0,0,0,666,73,13,11,762,8,0,11,771,44,0,816,138,7,0,0,142,0,0,0,148,12,0,155,227,27,8,3,270,0,0,4,270,10,0,277,10,3,3,0,18,0,0,0,18,0,0,18,0,0,0,0,3,0,0,0,3,0,0,3,375,43,7,3,433,0,0,3,432,16,0,448,0,0,0,0,0,3,0,3,3,0,0,7,4,4,0,0,5,0,0,0,8,0,0,8,4,3,0,0,8,7,0,7,13,0,0,11,383,42,7,3,439,8,0,8,444,16,0,464,55,6,0,3,68,3,0,3,75,13,0,86,0,0,0,0,0,0,0,0,0,0,0,0,432,55,8,9,504,7,0,11,518,30,0,546,193,25,3,0,218,0,0,0,221,9,0,234,302,33,12,0,347,3,0,3,350,13,0,365
