SUA_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
2010,367594,63553,28978,1483,772,462397,426609,75379,39007,817,978,542784,130436,79076,115627,1524,1187,327855,11127,9525,14169,102,94,35015,41480,16781,17410,645,485,76802,1697,1664,2958,27,52,6397,4646,1427,1906,1102,135,9219,3583,1299,1239,78,72,6265,192978,109773,153315,3480,2018,461559,5598,4129,2542,54,109,12435,25194,7393,7105,365,694,40752,1017976,260225,230952,6200,4571,1519926
2011,4252,399,4,3,8,4671,8399,685,18,4,14,9116,2860,822,33,8,12,3726,170,135,13,0,3,320,821,163,5,4,6,1006,51,38,0,0,0,88,76,34,0,3,0,115,58,20,0,0,0,73,4033,1207,46,12,17,5321,77,12,0,0,0,88,539,95,3,0,5,634,17307,2395,75,21,46,19836
2012,5149,409,123,111,35,5825,5763,160,60,6,24,6012,2030,624,497,10,5,3173,425,170,162,0,0,760,999,136,86,12,3,1240,96,22,67,0,0,190,149,18,28,57,3,260,87,10,16,3,3,118,3789,984,857,82,26,5731,87,93,8,6,4,193,487,96,85,19,17,707,15273,1738,1132,227,101,18471
2013,2266,169,26,19,0,2472,1931,51,12,4,0,1997,638,243,145,0,5,1029,251,176,43,0,0,466,291,47,21,0,0,357,40,22,0,0,0,59,24,22,3,4,0,52,22,13,0,0,0,36,1258,513,208,8,13,2000,30,20,3,0,0,53,186,49,14,0,0,254,5665,806,267,29,13,6781
2014,1435,32,35,11,4,1521,1288,10,13,0,5,1313,498,80,78,4,0,658,134,26,63,0,0,218,241,16,16,7,4,284,3,0,0,0,0,9,25,3,4,3,0,29,20,0,0,0,0,18,916,128,161,12,10,1219,11,0,0,0,3,12,120,16,15,4,0,154,3761,192,225,27,19,4220
2015,1701,86,64,27,4,1881,1654,37,21,9,5,1727,776,175,159,0,3,1111,173,74,38,0,0,285,183,11,15,3,0,215,20,20,6,0,0,44,130,5,3,0,0,138,23,8,3,0,0,34,1298,290,220,11,3,1825,14,25,0,0,0,39,119,26,10,0,0,160,4784,471,320,43,10,5624
2016,5120,332,8,125,3,5587,5502,158,4,9,7,5686,2189,858,38,8,6,3098,579,212,43,0,0,838,901,164,10,13,3,1086,106,38,21,0,0,161,158,27,3,59,3,257,85,26,0,0,0,112,4018,1331,114,80,19,5558,149,46,0,0,0,197,491,128,22,24,4,669,15284,1999,146,237,31,17703
2017,1210,52,57,9,6,1335,1123,23,18,0,15,1177,413,100,182,4,6,703,154,19,40,0,0,215,227,32,27,0,6,298,18,15,7,0,0,40,30,3,3,11,3,47,22,0,3,0,0,29,869,169,266,19,20,1342,23,0,0,0,0,25,106,12,21,0,10,148,3326,259,360,26,54,4026
2018,4853,210,146,42,9,5260,5074,81,81,3,8,5247,1967,288,572,3,9,2844,390,119,158,0,0,666,654,52,57,4,6,782,44,38,29,0,0,111,55,14,7,9,4,97,36,7,12,0,0,57,3153,517,836,23,21,4549,53,28,4,0,0,86,396,47,63,6,14,524,13533,882,1132,69,60,15676
2019,2500,205,0,10,6,2723,2206,74,7,3,4,2286,759,366,31,0,0,1162,252,140,15,0,0,402,303,113,0,0,0,420,14,39,0,0,0,54,17,5,0,10,0,35,12,14,0,0,3,35,1368,676,49,10,4,2115,35,42,0,0,0,75,225,57,4,3,3,292,6335,1054,64,28,20,7495
2020,4130,141,331,64,15,4689,4587,51,29,12,12,4686,1367,226,182,3,9,1781,154,65,45,0,0,264,553,39,39,3,3,637,11,5,6,0,0,20,54,3,9,41,3,113,37,4,9,0,0,52,2169,345,288,48,16,2866,50,3,41,0,0,98,274,23,35,5,7,347,11215,567,725,130,45,12676
2021,3862,374,66,30,13,4349,3739,181,37,18,9,3993,1452,610,241,16,14,2328,385,126,81,0,0,594,562,114,36,4,16,732,27,23,57,0,0,107,58,15,16,6,0,95,36,7,6,0,0,53,2522,892,442,22,31,3906,45,32,29,3,0,114,248,58,71,3,6,387,10419,1542,646,79,62,12751
