SUA_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
2010,385580,768878,7439,42500,51493,239913,10004,45651,295138,1133958,364075,1462021,32433,137310,50961,179244,95142,307297,178536,623853,542609,2085874,2046,9828,11770,41859,4357,15609,54130,144055,72297,211341,9060,29168,20805,47800,65522,143536,95385,220500,167682,431844,22566,47957,1118439,3334552
2011,4756,9561,168,1026,631,3158,239,1126,4112,16247,5148,21558,330,1422,384,1299,1371,4473,2086,7194,7233,28750,72,396,238,939,140,547,1476,4340,1935,6223,162,539,237,550,1118,2494,1510,3578,3447,9806,238,498,15679,48614
2012,5310,10523,115,631,570,2646,166,743,2671,10625,3520,14641,242,953,397,1271,870,2685,1506,4910,5027,19553,41,195,183,636,83,278,1027,2874,1330,3990,85,274,197,433,731,1570,1020,2282,2347,6266,175,373,12858,36724
2013,1712,3388,31,164,149,670,47,203,700,2738,929,3784,71,283,120,410,355,1100,551,1796,1476,5574,19,83,67,244,29,105,427,1143,546,1585,41,136,74,147,337,691,449,981,1000,2562,53,119,4240,11645
2014,1212,2401,16,76,99,454,25,97,560,2149,694,2784,39,160,93,296,184,566,322,1026,1012,3808,5,24,30,101,17,63,203,545,263,727,13,33,65,151,178,379,256,556,518,1288,31,64,2774,7563
2015,1505,2938,24,122,157,700,32,140,880,3432,1093,4393,51,199,128,407,221,679,403,1280,1494,5675,10,35,61,213,20,84,267,743,356,1066,22,67,89,186,193,400,302,651,653,1714,54,109,3707,10429
2016,4683,9319,117,673,624,3072,135,650,2828,11165,3701,15561,229,971,410,1338,851,2692,1489,5003,5190,20557,42,200,209,763,82,287,995,2770,1322,4021,91,296,232,502,736,1592,1061,2390,2378,6408,159,341,12416,36632
2017,1091,2164,13,69,127,591,28,135,578,2253,738,3047,48,203,81,253,172,545,302,1003,1042,4047,3,18,44,154,13,42,205,579,262,798,22,61,40,91,125,263,186,414,455,1211,50,103,2630,7533
2018,4099,8101,54,286,361,1658,84,382,2155,8474,2650,10805,180,730,311,1007,737,2322,1233,4058,3883,14863,22,102,152,590,94,329,944,2586,1215,3607,66,202,199,432,615,1282,883,1916,2094,5525,135,281,10212,28765
2019,2050,4050,29,158,172,786,53,237,1024,4021,1275,5204,75,292,141,467,277,845,494,1601,1769,6812,12,67,68,231,31,110,394,1052,502,1463,30,101,81,180,291,622,406,900,909,2357,77,156,4802,13370
2020,3878,7703,77,439,395,1872,108,496,2032,8193,2614,10993,187,813,339,1125,677,2151,1201,4085,3815,15081,31,151,92,338,45,150,589,1619,756,2260,68,228,161,364,466,984,705,1578,1460,3834,106,218,9265,26842
2021,3490,6915,64,350,347,1577,92,403,1870,7480,2375,9807,206,857,265,865,627,1969,1096,3689,3466,13502,26,103,115,423,43,165,594,1596,778,2286,66,202,163,342,447,963,672,1515,1452,3799,122,247,8535,24470
