SUA_CODE_2016,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_SE_Europe_nfd_0_4,P_SE_Europe_nfd_5_14,P_SE_Europe_nfd_15_24,P_SE_Europe_nfd_25_44,P_SE_Europe_nfd_45_54,P_SE_Europe_nfd_55_64,P_SE_Europe_nfd_65_74,P_SE_Europe_nfd_75_84,P_SE_Europe_nfd_85ov,P_SE_Europe_nfd_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_FYROM_0_4,P_FYROM_5_14,P_FYROM_15_24,P_FYROM_25_44,P_FYROM_45_54,P_FYROM_55_64,P_FYROM_65_74,P_FYROM_75_84,P_FYROM_85ov,P_FYROM_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
2010,13,54,131,855,573,228,74,22,4,1962,410,2689,4965,18865,8122,5718,2441,600,232,44041,11,80,206,3011,1460,3122,2435,1443,1572,13343,60,462,651,3665,3262,3809,3938,2432,959,19242,319,1692,3244,5310,1902,1577,840,267,66,15220,151,1251,2800,8481,4658,3105,2074,857,309,23690,0,0,56,883,1305,1695,1385,1130,318,6772,435,3000,4897,23208,8697,6574,4339,1805,692,53648,104,227,1066,5351,671,738,336,52,22,8568,299,1395,2380,7475,1313,570,221,39,17,13697,17,113,369,3141,3296,4061,3547,1599,370,16501,63,214,589,4409,4493,2544,1581,700,167,14763,527,2167,2162,6063,2478,1593,1081,248,106,16420,399,1579,7235,29683,17259,14523,5100,2078,886,78740,19,105,144,870,690,595,533,328,150,3429,15,173,529,1971,630,393,154,39,8,3912,1994,8428,15707,60050,25335,20294,16209,10471,4793,163294,14128,22679,31406,84423,34877,30173,24552,16874,9389,268488,275764,509361,582585,1328072,564806,456448,329185,189963,86899,4323072
2011,0,3,3,0,3,3,0,0,0,19,8,85,134,412,173,86,34,4,0,943,0,0,3,27,25,41,23,8,12,139,3,5,4,33,47,94,104,37,10,332,4,4,3,19,9,12,5,0,0,65,4,5,19,64,28,22,11,6,0,151,0,0,0,4,27,32,33,20,4,126,0,33,20,150,32,28,24,3,3,285,0,0,5,14,6,3,3,0,0,32,4,19,27,53,22,3,0,0,0,127,0,0,0,51,35,34,24,6,0,160,0,0,0,24,27,10,9,6,0,77,0,20,4,37,10,15,5,0,0,94,3,7,16,145,45,32,5,0,0,260,0,3,3,4,12,13,5,3,3,52,0,3,11,38,7,3,0,0,0,67,26,257,414,1000,407,284,212,79,24,2698,391,599,506,1399,585,545,398,169,59,4651,5293,8810,7663,18127,7016,6479,4430,1541,541,59887
2012,0,0,0,0,8,0,0,0,0,7,3,20,29,88,32,35,14,3,0,218,0,0,0,3,0,5,3,3,6,12,0,0,3,14,24,15,26,23,9,113,0,0,3,0,0,3,0,0,0,5,0,5,13,14,16,5,5,0,0,64,0,0,0,0,0,14,11,11,7,51,0,3,3,36,14,3,4,0,0,74,0,0,18,71,0,0,0,0,0,88,12,12,3,24,5,5,0,0,0,62,0,0,0,3,0,0,3,0,0,7,0,7,10,66,87,45,35,14,0,264,0,0,4,17,8,7,3,0,0,53,0,0,8,55,24,35,10,3,0,133,0,0,0,5,3,3,3,4,0,27,0,0,0,8,5,3,3,0,0,17,6,50,58,219,87,83,73,36,22,638,217,428,537,1100,668,722,612,445,187,4903,3170,6420,6247,11893,6536,6454,5239,3002,1275,50239
2013,0,0,0,0,0,0,0,0,0,3,0,4,7,27,27,15,20,5,0,97,0,0,0,0,3,0,4,9,11,25,0,0,0,7,11,25,50,28,21,145,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,0,5,0,0,24,0,0,0,4,0,6,6,5,3,28,0,0,0,10,0,0,0,0,0,16,0,0,0,5,0,0,0,0,0,5,0,3,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,9,3,3,5,0,0,22,0,3,0,10,3,3,0,0,0,18,0,0,0,0,0,5,7,0,0,17,0,0,0,3,0,0,0,0,0,5,0,13,10,42,27,31,61,32,31,243,51,107,164,305,214,222,236,145,87,1541,894,1835,2097,3642,2145,2350,1906,1141,537,16551
2014,0,0,0,4,0,3,0,0,0,8,0,0,5,23,11,10,3,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,21,5,4,3,42,0,0,3,0,0,0,0,0,0,3,0,0,5,11,5,0,0,0,0,25,0,0,0,0,0,0,0,0,0,7,0,5,0,7,5,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,13,0,0,0,4,3,0,0,0,0,11,0,0,0,0,0,0,3,0,0,6,0,0,0,3,0,3,0,0,0,10,0,3,0,14,7,12,8,9,4,60,34,78,105,207,143,177,145,101,32,1020,608,1209,1245,2281,1542,1667,1209,704,333,10800
2015,0,0,0,3,3,3,0,0,0,6,0,11,8,36,16,20,6,0,0,99,0,0,0,6,3,10,0,0,10,21,0,7,0,7,10,5,19,5,4,61,0,5,3,3,3,5,0,0,0,17,0,12,7,19,9,3,3,3,0,54,0,0,0,0,0,0,0,0,0,4,0,0,7,25,0,8,3,0,0,38,0,0,8,27,0,0,0,0,0,28,0,3,7,3,7,0,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,14,3,16,4,3,7,5,3,61,0,0,3,18,15,5,0,0,0,38,0,0,3,0,7,3,4,0,0,12,0,0,0,6,3,6,0,0,0,14,0,12,4,19,14,17,25,12,8,113,60,94,116,297,181,181,134,96,35,1197,964,1841,1714,3586,1906,1860,1439,885,448,14646
2016,0,0,0,3,5,3,0,0,0,10,8,31,28,151,42,40,24,7,0,330,0,0,0,7,3,3,0,0,5,19,0,0,3,7,14,23,36,14,3,98,0,0,3,8,5,0,0,0,0,20,0,16,16,33,20,8,3,6,0,111,0,0,0,0,4,3,10,3,0,16,5,21,6,58,26,8,8,0,0,135,0,0,30,129,6,3,3,0,0,168,0,0,8,26,14,8,5,0,0,55,0,0,0,3,5,18,18,21,0,63,0,6,11,66,70,32,20,8,0,209,0,14,10,16,7,6,7,0,0,62,0,0,0,12,10,3,0,0,0,23,0,0,0,0,0,3,3,5,3,17,0,3,7,14,5,0,0,0,0,33,21,128,209,413,156,121,53,47,25,1166,255,438,444,1137,632,577,542,342,193,4554,3373,6646,6308,12451,6404,5844,4677,2751,1210,49672
2017,0,0,0,0,0,0,0,0,0,0,4,5,14,25,14,4,3,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,5,4,20,0,0,0,0,0,0,0,0,0,3,0,3,6,10,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,3,0,0,10,0,0,0,0,0,20,0,0,0,11,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,3,0,0,0,14,0,0,0,9,6,0,0,0,0,18,0,0,0,0,0,0,0,0,0,3,0,0,3,4,3,3,0,0,0,19,0,3,10,20,9,5,0,3,0,49,70,116,139,288,178,178,156,125,55,1307,762,1292,1373,2680,1320,1255,1049,792,385,10905
2018,0,0,0,3,3,0,0,0,0,8,3,10,27,90,45,50,27,4,3,264,0,0,0,8,3,17,5,8,16,55,0,0,4,13,29,72,108,59,21,311,0,0,6,7,0,0,0,0,0,18,0,9,18,33,25,16,3,5,0,112,0,0,0,0,0,3,8,3,0,20,0,12,9,42,13,4,3,0,3,79,0,0,0,0,0,0,0,0,0,5,4,8,6,35,3,0,0,0,0,58,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,3,10,11,12,9,3,0,0,43,0,0,3,28,5,5,0,0,0,44,0,0,0,3,8,3,3,0,0,17,0,3,0,7,6,0,0,0,0,24,5,62,70,161,91,66,71,52,25,612,179,341,430,898,499,523,428,341,185,3819,2550,5032,4970,10099,5228,5166,4014,2473,1068,40601
2019,0,0,0,0,5,0,0,0,0,4,0,8,4,33,10,17,9,0,0,85,0,0,0,0,0,0,0,3,3,7,0,0,0,8,7,12,19,7,3,62,0,0,0,3,0,3,0,0,0,4,0,4,5,8,15,6,3,0,0,48,0,0,0,0,0,0,4,0,0,7,0,9,3,6,3,3,0,0,0,29,0,0,3,3,0,0,0,0,0,9,0,3,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,9,0,0,8,7,3,4,9,0,0,36,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0,0,0,5,0,0,0,0,0,4,0,3,8,34,16,15,29,21,7,141,53,105,132,254,179,199,173,161,150,1406,1045,2314,2050,4107,2366,2415,2110,1446,856,18710
2020,0,0,0,10,3,3,3,0,0,17,0,9,7,43,19,20,6,0,0,96,0,0,0,7,0,17,13,6,0,36,0,0,3,9,14,35,61,28,7,156,0,0,0,5,3,3,0,3,0,15,0,12,8,35,16,15,14,3,0,109,0,0,0,0,0,3,5,7,0,25,0,3,0,32,15,3,11,0,0,64,0,0,7,39,0,0,0,0,0,50,4,4,3,9,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,6,0,8,8,13,12,15,23,0,0,71,0,0,5,11,3,0,0,0,0,19,0,0,4,0,0,5,7,3,3,31,0,0,3,10,3,5,4,0,0,21,3,17,18,89,54,56,43,35,10,331,118,257,230,536,406,361,373,236,92,2611,2204,4599,4100,7922,4605,4471,4033,2198,835,34970
2021,0,0,0,3,4,0,0,0,0,10,0,13,14,46,23,16,5,0,0,116,0,0,0,3,0,0,0,0,3,7,0,4,3,19,14,28,26,18,8,121,0,0,4,3,3,0,0,0,0,12,0,8,11,20,14,5,3,0,0,64,0,0,0,0,3,0,0,0,0,4,5,9,0,42,10,6,4,3,0,84,0,0,35,130,0,0,0,0,0,165,0,9,5,24,9,3,0,0,0,47,0,0,0,0,3,0,0,0,0,3,0,0,0,4,0,0,0,0,0,5,0,5,12,16,7,9,9,0,0,58,0,0,0,3,3,0,0,0,0,3,0,0,3,0,0,0,4,0,0,18,0,0,0,7,3,0,0,0,0,14,3,21,15,77,34,13,13,19,3,190,106,213,305,559,372,365,341,284,159,2695,1983,4207,4504,8085,4521,4307,3436,2009,978,34021
