SUA_CODE_2016,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
2010,39592,99425,276567,251215,219490,146215,39642,4849,736,1077734,99,340,847,906,1054,680,267,61,9,4273,4,26,278,384,232,115,18,3,0,1065,1971,2845,9552,11502,12294,7181,1260,101,7,46716,31,352,2213,1924,1242,533,73,3,0,6364,238,1362,5261,5419,5107,2631,588,44,7,20667,458,1995,6684,7119,6696,3464,650,50,9,27125,14049,22432,25696,18600,19242,11750,2438,186,16,114417,16354,15290,15500,8131,7299,4031,711,73,10,67405,251,1650,5886,6054,6135,3387,537,32,7,23935,635,1623,5426,4490,3119,1439,253,7,5,17015,211,2710,14476,12971,9100,4150,749,52,24,44438,348,1881,5310,3949,3353,1868,582,77,20,17378,598,6471,26848,21616,15702,8149,2214,176,18,81792,423,3124,10105,8262,8178,5154,1197,113,12,36571,278,2137,11740,13590,13046,7954,1478,123,15,50358,2319,7689,28609,28259,30188,21211,3825,251,46,122393,1737,13913,49615,43102,44059,32100,6597,392,51,191578,1948,3233,5039,3804,3070,1667,512,55,17,19349,1081,3821,9329,7377,7095,3990,947,74,7,33726
2011,644,1286,3500,3329,2530,1858,388,23,3,13557,0,0,10,24,14,8,3,0,0,61,0,0,0,4,3,5,0,0,0,14,26,38,91,120,113,79,14,0,0,489,0,8,31,26,19,14,0,0,0,94,0,33,72,89,58,29,3,0,0,287,5,20,84,66,70,34,8,0,0,279,211,265,370,309,298,206,23,0,0,1678,272,153,164,107,92,63,9,0,0,863,7,62,177,152,141,96,9,0,0,649,9,9,41,35,11,10,0,0,0,115,0,24,149,119,71,51,4,0,0,423,6,22,57,38,28,19,7,0,0,177,10,25,168,105,88,58,9,0,0,469,3,47,122,101,101,85,8,0,0,478,5,37,163,155,166,128,27,0,0,691,16,71,357,321,251,199,13,0,0,1240,25,191,626,542,485,343,54,0,0,2269,21,34,43,43,38,24,3,0,0,201,36,55,97,70,58,46,7,0,0,370
2012,624,925,2176,2069,2257,1928,528,85,16,10609,9,24,61,84,98,99,49,12,0,433,0,0,0,4,11,8,0,0,0,19,23,17,57,77,86,59,10,3,0,328,0,3,0,13,14,15,0,0,0,51,3,13,27,48,47,38,0,0,0,177,7,8,34,36,27,26,5,0,0,150,293,195,256,250,298,214,35,0,0,1543,212,156,174,119,138,97,29,0,0,930,5,18,27,41,47,39,8,0,0,188,16,18,19,16,19,7,0,0,0,90,4,19,51,41,51,33,3,3,0,206,0,14,25,44,32,22,8,0,3,141,12,45,110,83,77,50,20,3,0,387,6,36,91,98,139,110,20,0,0,507,3,26,107,140,154,124,30,3,0,596,15,85,253,342,373,260,40,0,0,1365,32,200,468,451,573,457,67,0,3,2254,18,13,14,24,15,11,4,0,0,101,9,40,67,55,64,45,14,0,0,286
2013,200,342,625,596,667,597,121,16,7,3160,0,7,12,5,12,5,0,0,0,45,0,0,3,3,0,3,0,0,0,6,0,4,15,15,21,9,3,0,0,65,0,3,15,7,9,0,0,0,0,33,0,5,17,11,12,3,0,0,0,50,0,0,8,3,10,0,0,0,0,20,72,59,74,69,104,52,9,3,0,437,73,53,37,43,27,20,12,0,0,254,0,0,0,8,16,15,4,0,0,49,3,4,9,0,4,5,0,0,0,20,0,5,30,20,23,12,3,0,0,94,0,3,12,17,8,6,0,0,0,41,0,10,22,21,19,22,4,0,0,93,3,4,12,24,25,16,0,0,0,88,0,26,59,53,70,40,11,0,0,263,0,20,54,77,98,76,12,0,0,349,10,81,169,126,177,171,35,3,0,777,4,3,14,3,9,6,0,0,0,40,5,15,25,18,21,15,6,0,0,108
2014,140,194,367,456,586,477,122,24,3,2372,3,4,8,7,8,8,10,0,0,47,0,0,0,0,0,0,0,0,0,0,4,5,4,17,34,22,0,0,0,92,0,0,0,0,6,0,0,0,0,4,0,0,4,4,10,0,0,0,0,25,0,0,0,9,11,3,0,0,0,28,47,16,32,54,47,47,4,0,0,247,55,42,36,41,40,20,10,0,0,248,4,4,5,13,16,14,0,0,0,48,0,0,4,0,4,3,0,0,0,18,0,0,6,9,8,5,0,0,0,36,0,3,3,3,6,5,0,0,0,25,3,0,17,18,16,17,3,0,0,67,0,3,9,16,18,10,8,0,0,71,3,3,15,28,42,28,3,0,0,127,5,12,38,71,71,44,10,0,0,259,5,34,88,111,139,157,18,0,0,561,7,3,3,5,7,3,0,0,0,34,3,3,10,21,14,16,5,0,0,78
2015,198,290,705,644,653,525,125,18,6,3173,0,10,28,15,8,9,3,0,0,78,0,0,3,3,4,3,0,0,0,17,7,6,14,16,8,16,0,0,0,67,0,3,0,10,8,3,0,0,0,15,0,8,19,10,25,12,4,0,0,74,4,3,9,5,3,6,0,0,0,26,83,40,52,78,79,69,13,0,0,415,58,51,37,33,32,29,3,0,0,244,0,4,11,5,10,4,4,0,0,39,0,8,3,3,0,3,3,0,0,23,0,0,10,15,15,8,0,0,0,48,3,3,9,4,10,7,3,0,0,39,3,8,25,29,20,28,3,3,0,112,3,3,17,21,20,20,4,0,0,88,6,10,65,77,68,33,3,3,0,262,10,13,89,94,136,71,7,0,0,426,4,43,171,161,194,178,21,0,0,776,6,3,5,11,3,5,4,0,0,35,5,17,31,24,20,16,3,0,0,116
2016,652,928,2271,2159,2250,1771,531,67,14,10649,3,20,81,47,57,43,25,8,0,286,0,0,0,0,0,0,0,0,0,0,34,23,73,109,125,86,7,0,0,467,3,5,39,34,34,14,0,0,0,132,8,15,41,44,55,36,7,0,0,200,0,17,27,20,34,20,0,0,0,120,264,158,241,233,290,193,37,0,0,1420,237,102,113,94,104,71,17,0,0,738,3,15,24,31,47,27,12,0,0,157,5,15,29,16,23,11,4,0,0,104,3,19,50,51,44,24,0,0,0,189,0,16,18,33,35,13,8,0,0,119,15,56,104,88,98,63,11,3,0,437,5,34,86,70,99,58,19,0,0,375,4,20,84,135,119,93,16,0,0,457,23,73,252,273,325,234,33,3,0,1223,31,200,573,576,606,560,84,3,0,2635,17,11,21,16,17,6,3,0,0,91,11,40,87,73,90,49,15,0,0,379
2017,158,254,560,452,491,407,103,18,4,2441,0,0,9,10,8,13,3,0,0,45,0,0,0,0,0,0,0,0,0,0,20,6,19,10,24,20,3,0,0,99,0,0,0,0,5,0,0,0,0,4,0,3,3,9,5,10,0,0,0,41,3,9,4,7,5,11,0,0,0,32,51,38,46,59,65,57,8,0,0,320,63,44,50,30,34,30,0,0,0,257,0,0,9,7,16,6,0,0,0,33,3,0,7,9,5,0,0,0,0,20,0,10,15,19,10,7,3,0,0,62,3,4,3,9,3,4,0,0,0,24,4,8,19,22,19,11,0,0,0,86,0,10,13,13,33,18,3,0,0,91,0,9,24,26,33,17,5,0,0,121,4,18,87,65,75,65,6,0,0,322,6,45,95,97,121,100,8,0,0,487,0,4,3,3,6,3,3,0,0,21,4,12,34,16,9,9,0,0,0,81
2018,458,787,1918,1686,1808,1423,345,48,4,8486,0,0,9,12,14,11,6,4,0,68,0,0,7,5,5,0,0,0,0,17,10,9,46,50,32,32,3,0,0,181,0,13,26,26,40,15,0,0,0,119,0,12,44,40,31,14,3,0,0,147,0,10,12,21,19,6,0,0,0,71,171,156,252,221,216,150,25,4,0,1188,201,131,102,81,93,83,18,0,0,706,0,8,15,25,47,24,6,0,0,121,3,26,17,19,12,12,3,0,0,88,0,23,50,50,53,16,0,0,0,196,4,12,28,28,19,16,6,0,0,109,7,25,77,49,58,26,6,3,0,248,0,16,42,57,65,53,15,0,0,258,11,79,235,220,194,136,9,0,0,889,8,60,189,218,255,179,30,0,0,940,17,189,493,388,434,390,75,7,0,2002,10,15,15,24,12,9,0,0,0,91,18,42,74,59,45,33,7,0,0,277
2019,259,328,763,793,892,704,174,22,4,3936,0,3,0,8,14,4,4,3,0,33,0,0,0,0,0,0,0,0,0,0,10,12,37,41,43,47,3,0,0,195,0,0,3,3,0,4,0,0,0,6,4,9,4,14,20,15,0,0,0,62,9,3,4,9,11,7,0,0,0,41,103,71,105,98,99,83,16,0,0,563,112,57,52,54,63,31,10,0,0,384,0,0,16,14,15,20,3,0,0,66,4,5,11,11,6,0,0,0,0,37,3,5,17,14,23,6,3,0,0,77,3,7,7,13,9,7,3,0,0,48,3,12,32,38,28,23,6,0,0,135,6,4,17,38,36,28,10,0,0,138,3,6,38,69,72,59,7,0,0,262,7,28,92,106,122,97,6,0,0,466,23,81,216,220,285,278,40,5,0,1146,15,3,8,5,8,3,0,0,0,49,6,16,36,21,26,16,8,0,0,124
