LGA_CODE_2016,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1_or2_st_bl_NofB_0_ib,Flt_at_In_1_or2_s_b_NofB_1,Flt_at_In_1_or2_s_b_NofB_2,Flt_at_In_1_or2_s_b_NofB_3,Flt_at_In_1_or2_s_b_NofB_4,Flt_at_In_1_or2_s_b_NofB_5,Flt_at_In_1_or2_s_b_NoB_6_m,Flt_at_In_1_or2_s_b_NoB_NS,Flt_at_In_1_or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4_or_m_s_b_NofB_0_ib,Flt_apt_4_or_m_s_b_NofB_1,Flt_apt_4_or_m_s_b_NofB_2,Flt_apt_4_or_m_s_b_NofB_3,Flt_apt_4_or_m_s_b_NofB_4,Flt_apt_4_or_m_s_b_NofB_5,Flt_apt_4_or_m_s_b_NofB_6_m,Flt_apt_4_or_m_s_b_NofB_NS,Flt_apt_4_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
LGA21270,6,34,329,1277,534,71,17,56,2324,8,8,9,4,0,0,0,3,36,0,0,0,0,0,0,0,0,0,8,8,9,8,0,0,0,3,35,5,22,16,3,0,0,0,6,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,22,16,3,0,0,0,6,56,6,5,4,10,0,0,0,0,30,0,0,0,5,0,0,0,3,12,16,72,370,1304,537,71,17,77,2455
LGA21370,29,131,1423,6703,3311,471,61,311,12443,7,149,443,114,14,0,0,47,768,0,0,0,9,0,0,0,0,17,7,150,440,121,12,0,3,49,786,0,83,294,35,0,0,3,22,442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,84,302,35,0,0,3,22,446,19,49,20,17,6,0,0,17,124,0,0,6,21,18,0,0,6,52,54,414,2190,6895,3347,471,67,408,13855
LGA21450,29,192,2061,12682,11072,1490,290,514,28330,0,60,816,663,155,10,0,73,1771,0,7,80,384,73,4,0,9,556,3,69,892,1044,227,20,3,82,2330,8,12,70,28,4,0,0,14,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,70,29,3,0,0,14,137,6,64,26,10,9,0,0,6,128,0,0,16,28,21,5,0,8,80,50,338,3059,13796,11338,1512,291,627,31009
LGA21610,122,299,3322,37824,33612,4741,759,1792,82465,13,252,2418,2500,997,83,14,201,6472,0,19,291,1003,385,92,7,35,1836,13,270,2707,3502,1380,176,16,237,8309,21,100,542,170,15,4,0,42,903,0,27,12,0,0,0,0,5,39,0,0,3,5,0,0,0,0,15,0,0,0,3,0,0,0,0,3,21,129,555,183,23,4,0,46,961,11,76,80,53,18,5,0,24,263,3,12,17,44,21,4,0,26,133,173,783,6690,41600,35056,4932,775,2121,92127
LGA21670,16,110,878,2741,891,115,35,148,4932,8,63,189,38,8,0,0,17,318,0,0,0,3,0,0,0,0,3,8,63,190,34,8,0,0,17,317,0,38,25,4,0,0,0,13,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,25,4,0,0,0,13,76,11,37,14,17,4,0,0,6,101,0,0,6,8,3,0,0,0,25,33,247,1115,2808,904,115,33,185,5445
LGA21750,13,115,923,4072,1702,211,50,182,7262,4,116,292,83,4,0,0,33,531,0,4,13,16,4,0,0,0,36,4,118,303,96,4,0,0,33,561,0,18,21,15,0,0,0,3,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,15,0,0,0,3,59,3,33,8,14,4,0,0,7,76,0,5,5,21,9,0,0,3,46,18,293,1257,4212,1719,216,52,230,8005
LGA21830,12,85,720,3078,1403,207,51,148,5697,0,36,48,5,0,0,0,10,102,0,0,0,3,0,0,0,0,5,0,36,47,7,0,0,0,10,105,0,32,63,23,5,0,0,11,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,63,23,3,0,0,11,135,0,3,4,7,8,0,0,0,24,0,0,9,20,12,3,4,8,67,17,156,843,3144,1427,205,53,177,6022
LGA21890,39,391,6162,17178,6204,1133,259,838,32209,12,967,4863,2047,215,33,11,249,8390,27,655,2425,2207,339,29,17,129,5831,40,1618,7289,4248,552,63,25,381,14221,25,1884,2307,299,35,6,3,156,4715,63,492,579,104,4,0,0,32,1279,34,579,1072,75,3,0,0,52,1812,0,0,0,0,0,0,0,0,5,126,2957,3959,475,41,6,3,238,7808,0,45,155,77,15,6,0,5,307,3,24,64,47,16,9,0,28,189,211,5045,17626,22022,6834,1215,290,1487,54736
LGA22110,36,388,2551,8447,3615,524,95,442,16102,0,81,338,105,18,3,3,32,579,0,13,21,27,4,0,0,4,62,0,98,355,136,18,4,3,37,649,0,57,171,55,3,0,0,15,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,61,171,55,3,0,0,19,305,20,108,98,39,8,0,4,25,297,0,13,41,60,28,3,3,71,213,62,659,3218,8728,3675,531,101,588,17564
LGA22170,55,231,2696,21891,11488,1800,314,817,39300,29,703,3544,1918,247,17,12,278,6744,7,44,568,983,143,15,0,31,1799,33,750,4119,2905,386,32,12,308,8550,55,276,586,126,8,0,4,68,1121,0,13,107,19,0,0,0,3,136,5,18,35,3,0,0,0,7,71,0,3,3,0,0,0,0,0,9,59,309,732,147,8,3,4,76,1343,38,180,141,40,17,0,0,29,436,6,11,21,19,8,0,0,6,67,190,1483,7707,25002,11903,1837,332,1235,49687
LGA22250,5,56,551,2163,997,118,37,116,4048,0,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,10,0,35,63,6,0,0,0,13,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,63,6,0,0,0,13,111,0,24,3,5,0,0,0,5,42,0,0,0,4,3,0,0,0,13,7,113,624,2183,1001,121,35,127,4219
LGA22310,15,159,3347,12223,7906,1954,414,449,26458,30,345,4152,2817,265,22,10,192,7837,3,97,933,2544,1050,104,13,75,4822,33,448,5083,5359,1316,126,26,263,12661,38,3336,4546,1211,177,14,16,223,9556,5,464,1594,129,6,0,0,37,2235,4,259,660,49,0,0,3,40,1012,0,5,8,5,0,0,0,0,20,48,4061,6814,1398,183,15,19,296,12825,3,39,84,44,9,4,0,6,181,0,23,29,57,28,3,3,19,171,96,4725,15353,19087,9444,2095,459,1033,52296
LGA22410,13,105,897,4062,1537,218,49,186,7067,4,39,104,24,3,0,0,15,185,0,0,17,0,0,0,0,0,19,4,39,118,22,3,0,0,13,203,3,50,158,27,0,0,0,14,249,0,0,0,6,0,0,0,0,6,0,0,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,50,165,33,0,0,0,14,266,14,20,11,10,6,3,0,6,66,0,0,16,10,7,0,4,7,46,30,214,1206,4138,1547,221,54,228,7644
LGA22490,12,102,636,3175,2575,382,80,124,7093,0,0,8,7,0,3,0,0,17,0,0,0,0,0,0,0,0,0,0,0,8,7,0,3,0,0,17,0,9,8,8,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,8,0,0,0,0,24,3,9,4,8,8,0,0,0,31,0,0,3,5,4,0,0,4,19,11,121,657,3203,2587,388,80,126,7184
LGA22620,42,442,4491,19479,10351,1300,239,836,37175,15,422,1629,557,49,6,0,140,2818,0,31,125,193,22,3,0,21,391,17,453,1756,747,69,6,0,160,3211,3,90,251,99,13,0,0,26,490,0,24,17,3,3,0,0,8,56,0,14,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,3,129,271,105,12,0,0,36,561,36,83,59,24,7,0,0,26,241,3,19,37,55,36,8,3,16,179,101,1124,6617,20412,10476,1310,244,1080,41361
LGA22670,91,320,3157,19497,8452,1782,392,1046,34738,23,644,3413,1334,132,14,9,260,5837,6,13,780,1083,262,17,3,83,2258,28,655,4197,2415,394,33,20,342,8098,26,753,2684,684,79,9,14,204,4447,10,81,293,30,0,0,0,13,437,0,121,171,10,0,0,0,11,313,0,3,5,0,4,0,0,0,17,33,962,3156,729,79,8,14,230,5209,42,133,35,102,42,3,3,34,392,0,25,38,25,11,4,0,31,130,203,2096,10587,22768,8972,1837,422,1682,48563
LGA22750,89,733,8359,40549,19704,2674,573,1527,74212,38,1464,4090,1645,222,25,12,268,7763,4,150,580,789,151,11,3,35,1729,43,1605,4669,2438,379,42,16,304,9490,25,611,1057,322,20,6,3,107,2150,3,33,68,7,0,0,0,5,114,0,46,93,32,7,3,3,8,186,0,0,3,0,0,0,0,0,8,28,684,1220,364,24,8,6,113,2457,31,148,154,91,83,15,8,30,559,4,19,64,110,47,6,0,29,276,195,3198,14465,43554,20244,2740,596,2007,86995
LGA22830,29,196,2172,10845,5397,643,103,520,19902,10,338,1266,280,51,6,0,118,2066,0,6,42,28,9,3,0,7,97,10,349,1307,306,63,5,3,116,2156,0,51,63,10,0,0,0,20,144,0,10,13,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,74,10,0,0,0,23,166,32,138,68,22,5,0,0,28,303,0,10,9,19,13,3,0,9,53,74,745,3638,11200,5478,653,105,702,22583
LGA22910,12,203,1169,2680,1001,169,32,140,5413,3,30,27,9,0,0,0,35,116,0,0,4,4,0,0,0,0,6,3,33,36,11,0,0,3,35,125,0,23,19,3,0,0,0,7,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,19,3,0,0,0,7,52,7,25,53,173,66,13,5,13,345,4,12,19,46,10,0,3,11,97,23,297,1287,2910,1079,183,44,204,6029
LGA22980,7,37,366,1170,400,60,15,51,2092,0,8,27,51,17,0,0,9,103,0,0,0,0,0,0,0,0,8,0,9,28,48,17,0,0,9,111,0,38,30,0,0,0,0,7,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,30,0,0,0,0,7,72,0,9,0,3,0,0,0,0,11,0,0,9,4,4,3,3,3,27,7,91,427,1231,420,60,21,65,2320
LGA23110,21,136,2572,13328,4199,658,105,449,21470,10,274,2071,1681,374,38,4,116,4567,7,65,786,2250,721,78,10,61,3971,20,335,2860,3934,1094,111,15,173,8540,6,403,988,259,8,5,3,75,1761,0,86,92,8,0,0,0,6,200,7,87,162,33,0,0,0,17,305,0,0,0,0,0,0,0,0,0,17,578,1249,303,11,5,3,102,2264,11,27,48,32,8,4,0,6,128,5,10,20,49,12,0,3,9,107,72,1086,6744,17641,5329,778,129,738,32508
LGA23190,7,68,720,3733,1894,205,36,154,6819,0,98,226,78,7,0,0,19,433,0,0,0,13,4,0,0,0,11,0,98,232,90,11,0,0,19,446,3,60,268,57,3,0,0,13,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,60,268,57,3,0,0,13,399,5,5,7,4,3,0,0,0,24,0,3,5,10,4,3,0,0,30,15,233,1230,3889,1915,209,34,197,7721
LGA23270,85,216,1745,27392,18126,2536,462,1210,51768,20,208,1495,1713,293,15,8,117,3861,3,39,625,1027,139,8,4,60,1903,22,245,2118,2736,426,25,12,180,5756,10,174,915,779,43,8,0,72,2005,0,0,0,0,0,0,0,0,3,5,29,37,22,3,0,0,5,102,0,3,3,0,0,0,0,0,4,19,203,956,805,41,8,0,83,2113,15,106,55,97,25,4,3,28,330,0,14,22,48,12,4,3,42,148,146,787,4896,31081,18637,2576,475,1545,60129
LGA23350,10,86,658,2795,1534,236,43,103,5472,0,10,57,24,4,0,0,4,98,0,0,0,0,0,0,0,0,0,0,10,57,24,4,0,0,4,98,0,41,123,41,0,0,0,13,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,123,41,0,0,0,13,218,3,24,10,8,3,3,3,4,59,0,0,5,17,11,3,0,4,40,8,169,860,2884,1556,239,46,128,5897
LGA23430,36,175,2796,17120,10529,1980,313,586,33536,22,618,5098,2972,267,25,6,237,9241,8,77,1031,3095,754,95,13,77,5149,33,693,6128,6072,1016,120,22,313,14392,29,913,3392,1286,88,14,7,246,5975,3,150,598,49,12,0,0,13,822,0,216,475,40,3,6,0,10,756,0,3,0,3,0,0,0,4,9,38,1281,4474,1383,99,14,7,270,7565,17,110,139,42,12,3,0,17,333,3,18,56,61,21,6,3,36,212,123,2280,13588,24680,11684,2115,342,1215,56036
LGA23670,41,259,2758,22289,15722,3129,535,721,45452,8,293,2435,1355,297,56,4,160,4612,0,31,586,1030,170,33,8,33,1904,11,330,3029,2392,467,88,15,189,6516,14,172,470,190,3,3,0,55,920,3,71,164,12,0,0,0,10,254,0,59,74,4,0,0,0,3,149,0,4,0,0,0,0,0,0,6,19,306,712,210,3,0,4,69,1322,8,57,62,68,48,8,0,15,269,4,17,25,29,17,0,4,14,104,76,968,6580,24980,16258,3231,556,1004,53657
LGA23810,31,211,2607,14463,5992,797,130,593,24827,31,401,874,194,15,0,6,86,1604,0,12,50,40,3,0,0,5,106,31,409,918,231,19,3,6,92,1710,14,376,857,115,4,0,3,85,1453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,382,857,115,4,0,3,85,1458,5,42,36,15,0,0,0,12,112,0,12,19,16,12,0,3,37,105,76,1058,4449,14844,6026,799,144,817,28211
LGA23940,10,84,513,1412,572,91,16,93,2792,0,6,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,11,3,23,15,0,0,0,0,10,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23,15,0,0,0,0,10,50,18,23,7,9,3,0,3,6,67,0,0,12,21,9,0,0,5,47,29,142,550,1443,580,91,20,109,2964
LGA24130,20,155,1164,6580,5406,956,180,275,14735,0,110,325,198,24,0,0,21,676,0,0,4,12,0,0,0,0,12,0,110,328,207,24,0,0,21,694,0,7,92,45,3,0,0,3,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,14,95,46,3,0,0,3,154,0,31,22,13,3,0,3,6,79,0,3,14,20,16,3,0,13,67,23,297,1617,6872,5454,967,184,324,15728
LGA24210,17,153,1400,12096,13015,3031,616,545,30872,3,110,1106,1171,156,21,7,85,2657,5,16,390,1964,1111,138,6,63,3688,9,130,1496,3133,1267,156,6,145,6348,7,122,437,452,29,0,0,33,1089,0,91,321,51,8,0,0,11,479,9,249,674,128,6,0,0,32,1102,0,0,0,0,3,0,0,0,6,18,464,1435,632,48,0,0,75,2668,3,8,13,7,3,0,0,0,35,0,4,14,23,19,9,3,81,150,49,766,4354,15886,14349,3197,628,846,40074
