LGA_CODE_2016,Sme_Usl_ad_5_yr_ago_as_2016_M,Sme_Usl_ad_5_yr_ago_as_2016_F,Sme_Usl_ad_5_yr_ago_as_2016_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
LGA22310,33851,36670,70517,3048,3030,6085,666,734,1399,14980,15648,30626,463,515,977,201,190,394,255,270,520,93,114,211,40,48,84,89,100,194,0,0,0,16792,17622,34412,6430,7312,13745,353,310,657,26620,28274,54897,3362,3503,6860,63825,68448,132273
LGA22410,5888,5757,11651,1094,1159,2254,85,79,160,935,991,1925,57,63,116,128,157,287,52,67,120,28,34,65,17,25,44,3,3,7,0,0,0,1303,1419,2719,66,88,154,41,43,82,2510,2708,5215,879,833,1710,9278,9296,18575
LGA22490,6281,5922,12200,493,496,991,58,52,107,2542,2537,5081,65,72,133,34,27,58,30,33,58,14,14,27,7,8,20,3,10,14,0,0,0,2762,2753,5514,69,81,152,38,37,77,3358,3362,6722,659,671,1334,10306,9959,20262
LGA22620,26888,27948,54838,3382,3735,7114,539,605,1143,12916,14487,27403,439,464,904,209,228,438,209,222,429,101,116,221,124,126,251,50,56,106,0,3,3,14585,16313,30901,826,961,1784,289,210,498,19078,21223,40302,4023,4237,8263,49997,53409,103400
LGA22670,37303,38039,75345,4398,3999,8392,381,312,690,13625,12535,26159,323,261,589,178,123,302,144,105,250,45,48,93,45,38,78,40,29,70,14,0,18,14797,13453,28252,10187,9026,19216,502,334,842,29889,26812,56698,4983,4539,9522,72173,69395,141563
LGA22750,56561,60469,117028,9567,10560,20124,826,999,1832,24636,27467,52095,817,895,1707,303,303,612,393,393,781,196,234,432,149,166,313,127,140,268,0,0,0,27448,30597,58043,3535,3405,6942,581,521,1102,41130,45083,86213,8092,7749,15838,105785,113301,219081
LGA22830,16708,16871,33577,3092,3206,6298,308,358,668,4672,5041,9716,265,269,534,73,95,164,87,69,162,56,73,128,38,29,66,18,12,27,0,0,0,5524,5949,11472,1128,1137,2265,148,136,290,9887,10437,20325,2963,2759,5716,29559,30064,59621
LGA22910,4207,4331,8533,546,630,1174,82,96,183,1266,1438,2704,53,69,119,20,27,51,25,27,55,4,16,23,6,9,24,8,7,20,0,0,0,1477,1695,3174,99,93,190,23,30,58,2147,2453,4597,684,821,1500,7041,7595,14639
LGA22980,1774,1736,3506,327,346,676,11,12,22,261,291,548,23,18,43,30,39,71,15,10,25,4,3,7,3,8,15,0,0,0,0,0,0,348,383,736,35,43,80,4,3,6,717,779,1500,221,234,455,2709,2749,5466
LGA23110,23257,24454,47712,2521,2696,5215,394,445,842,8078,8207,16284,324,352,672,131,151,281,179,199,377,76,91,174,30,37,72,52,65,115,0,0,0,9271,9546,18819,2657,2654,5304,229,239,468,14674,15127,29805,2567,2637,5204,40496,42227,82717
LGA23190,5349,5526,10876,1437,1643,3081,56,54,110,1126,1255,2382,66,72,133,101,106,210,27,26,54,8,7,14,25,16,37,3,3,7,0,0,0,1405,1552,2959,101,121,229,39,47,93,2986,3365,6352,581,614,1198,8909,9506,18424
LGA23270,51141,52309,103450,4955,5143,10100,754,765,1521,19353,19557,38911,449,474,920,218,211,430,204,223,426,67,74,140,66,63,124,46,39,82,0,0,3,21160,21411,42570,6672,6632,13305,391,328,720,33182,33517,66692,5887,5801,11686,90208,91624,181835
LGA23350,4558,4721,9287,632,699,1336,386,413,800,906,1012,1921,74,78,155,17,17,32,43,50,91,14,16,27,38,39,71,23,21,44,0,0,0,1498,1647,3145,56,82,137,28,38,66,2216,2464,4674,690,520,1214,7466,7705,15179
LGA23430,40295,42916,83204,3192,3318,6507,520,494,1013,15539,16437,31977,428,449,880,130,128,257,191,187,374,106,105,206,36,37,82,59,55,114,0,0,0,17011,17890,34901,4366,4672,9033,322,263,586,24892,26146,51030,3856,4185,8043,69033,73240,142280
LGA23670,45657,47534,93189,2199,2347,4544,330,335,672,15608,16414,32022,314,348,664,158,181,339,148,145,291,68,74,149,23,31,56,32,40,72,0,0,3,16686,17576,34261,2797,3342,6138,277,269,542,21952,23536,45486,3097,3321,6420,70713,74382,145097
LGA23810,19950,20437,40386,4502,5059,9556,193,210,403,4587,5122,9707,277,304,585,65,74,138,124,119,245,48,54,100,26,32,58,14,9,19,0,0,0,5337,5926,11259,455,510,967,171,148,323,10461,11641,22103,3115,3293,6407,33525,35377,68898
LGA23940,2400,2237,4639,273,279,551,33,26,54,420,429,844,42,35,73,13,15,34,6,15,26,3,6,5,4,5,9,0,0,0,0,0,0,522,530,1048,37,43,74,17,8,21,839,855,1698,441,399,836,3685,3492,7179
LGA24130,12818,13040,25857,1864,1991,3855,190,222,410,4151,4398,8549,160,140,293,44,54,98,72,52,122,20,28,47,23,26,49,16,12,29,0,0,0,4676,4928,9600,288,331,616,77,89,164,6902,7337,14243,1491,1621,3106,21214,21991,43203
LGA24210,33654,35990,69643,1821,1852,3671,284,308,589,10509,11213,21725,250,293,545,125,143,272,132,137,278,40,43,84,13,22,37,58,62,113,0,0,0,11415,12226,23643,4044,4384,8428,186,198,383,17465,18661,36122,2309,2644,4949,53422,57289,110716
LGA24250,2222,2181,4409,572,581,1158,53,71,127,620,699,1322,60,46,101,11,17,27,26,25,48,7,16,22,12,9,23,0,0,0,0,0,0,791,881,1671,66,68,135,14,15,38,1445,1550,2993,383,370,754,4051,4105,8156
LGA24330,17366,18074,35443,1685,1689,3379,587,579,1168,9420,9009,18431,440,454,895,198,200,397,242,211,450,96,95,187,45,58,107,131,125,257,4,3,4,11164,10735,21902,4851,4478,9333,301,233,533,18006,17135,35137,3095,2935,6032,38465,38150,76608
LGA24410,29532,31506,61042,1606,1766,3370,276,277,552,12701,13719,26423,266,249,515,96,110,210,97,96,190,46,59,108,38,34,73,36,35,75,0,0,0,13565,14585,28144,2323,2584,4908,231,282,513,17725,19210,36938,2329,2725,5059,49596,53446,103037
LGA24600,12819,13111,25930,2547,2544,5094,1439,1615,3058,13463,13474,26938,1135,1224,2356,505,545,1051,818,864,1682,301,334,639,131,150,285,398,387,786,3,0,6,18197,18597,36797,21721,25038,46763,485,444,927,42951,46626,89581,8194,7874,16061,63964,67609,131574
LGA24650,33441,34033,67475,3273,3446,6714,601,618,1225,15216,16115,31335,371,368,739,229,228,459,176,178,354,103,119,223,48,62,111,48,48,95,3,3,5,16799,17740,34540,2614,3038,5659,270,223,493,22960,24442,47406,4671,4414,9088,61075,62889,123964
LGA24780,13501,13831,27330,2093,2377,4471,675,764,1436,4179,4520,8699,223,249,471,458,508,966,129,116,246,31,26,61,78,87,172,5,10,20,0,0,0,5785,6287,12068,702,618,1316,172,167,340,8746,9451,18198,2532,2453,4981,24779,25730,50512
LGA24850,10143,9976,20116,1724,1844,3573,257,214,471,4094,4260,8350,343,262,607,67,59,132,58,51,107,36,45,82,119,81,200,32,35,66,0,0,0,5001,5004,10006,371,350,728,78,65,139,7173,7270,14441,1746,1754,3502,19061,18998,38055
LGA24900,7952,7918,15871,1703,1776,3473,408,468,876,1740,1803,3536,131,156,287,40,36,77,71,68,140,28,21,52,18,15,40,11,9,19,0,0,0,2441,2579,5025,187,210,398,57,74,131,4385,4641,9024,1334,1292,2629,13680,13848,27529
LGA24970,44745,47709,92461,3260,3327,6588,654,654,1305,17152,16838,33988,494,479,980,271,289,563,271,279,547,172,181,351,75,81,156,131,117,246,0,0,0,19229,18909,38138,13012,13605,26613,367,317,686,35863,36153,72023,4278,4571,8845,84893,88439,173332
LGA25060,29884,32442,62326,2661,2865,5532,524,557,1082,11744,12292,24038,455,552,1005,193,187,382,202,230,431,94,116,211,61,68,132,97,112,213,3,0,4,13386,14116,27498,3408,3636,7049,264,243,503,19715,20863,40585,3427,3724,7148,53029,57029,110058
LGA25150,8784,8739,17523,1293,1554,2850,99,101,202,3018,3157,6178,77,80,156,32,38,70,59,59,113,26,26,54,16,13,35,20,12,32,0,0,0,3349,3493,6838,179,206,382,63,80,140,4877,5329,10207,1029,1035,2061,14690,15105,29796
LGA25250,36703,39887,76589,3464,3426,6893,1217,1307,2523,16971,17566,34533,884,947,1828,388,406,788,525,514,1042,209,220,428,89,86,179,277,320,598,3,0,3,20564,21359,41927,7904,7608,15513,535,528,1067,32471,32920,65392,5048,5266,10313,74222,78067,152293
LGA25340,39316,41612,80930,6598,7361,13956,807,727,1539,16120,17851,33975,744,686,1428,139,124,261,287,267,553,96,117,214,120,106,232,76,80,152,0,0,3,18395,19959,38357,1418,1606,3022,352,403,754,26764,29325,56090,4652,5316,9972,70729,76257,146991
LGA25430,5010,5144,10156,694,811,1501,60,93,151,1444,1667,3104,44,50,97,34,34,67,26,24,52,9,15,27,28,31,54,12,12,23,0,0,0,1650,1937,3586,131,144,272,49,42,87,2516,2931,5450,1446,880,2324,8972,8953,17926
LGA25490,4858,4772,9629,735,764,1500,40,45,84,1201,1257,2455,50,55,103,30,36,68,22,22,51,26,20,43,18,19,30,0,4,4,0,0,0,1384,1455,2844,109,117,227,18,24,49,2250,2360,4612,649,637,1288,7762,7766,15531
LGA25620,4015,3829,7849,574,598,1176,51,60,111,1180,1151,2330,42,46,84,21,21,38,29,26,57,9,12,19,9,9,17,0,4,4,0,0,0,1341,1330,2671,67,80,147,22,11,31,2004,2018,4028,635,602,1242,6661,6457,13110
LGA25710,19713,19985,39693,1194,1228,2419,128,148,272,5311,5622,10932,153,165,314,42,47,86,70,75,141,26,34,59,18,25,39,29,33,62,0,0,0,5774,6146,11917,604,675,1276,70,68,136,7643,8109,15747,1265,1304,2568,28612,29395,58011
LGA25810,3468,3462,6922,643,723,1372,43,30,68,604,653,1255,46,44,82,32,35,64,27,27,54,7,11,13,4,11,9,0,3,3,0,0,0,750,804,1553,67,92,158,11,9,22,1480,1626,3110,428,454,882,5370,5544,10915
LGA25900,16992,17941,34938,2892,2975,5867,1104,1225,2332,12312,12779,25088,841,1006,1845,289,293,584,432,470,896,199,190,393,68,60,125,178,199,380,0,0,0,15417,16227,31646,5998,6494,12495,370,334,705,24674,26034,50708,5165,5159,10328,46834,49138,95970
LGA25990,2049,2016,4065,209,205,410,21,28,46,585,586,1165,20,26,49,7,8,22,9,17,24,8,4,11,4,3,11,0,0,0,0,0,0,655,674,1329,15,28,50,11,12,22,890,915,1806,708,310,1020,3652,3249,6896
LGA26080,767,908,1670,107,124,234,9,14,25,256,276,528,6,6,14,0,0,4,3,0,4,0,0,0,3,4,9,0,0,0,0,0,0,283,303,587,9,18,29,3,0,7,406,442,850,123,131,255,1292,1480,2775
LGA26170,7960,8077,16038,1622,1751,3370,68,78,148,2052,2331,4381,87,91,184,24,20,42,57,60,112,16,23,41,13,26,41,5,5,6,0,0,0,2323,2628,4950,110,145,258,38,40,75,4084,4573,8653,1178,1241,2422,13219,13890,27111
LGA26260,4722,4900,9623,847,884,1731,57,67,120,866,985,1854,62,78,141,82,95,175,32,32,61,15,20,32,14,10,23,3,0,3,0,0,0,1127,1286,2415,101,118,212,26,33,57,2102,2318,4416,510,551,1058,7326,7765,15096
LGA26350,19538,21909,41451,2301,2458,4755,1068,1203,2274,12278,13059,25335,811,922,1737,287,408,693,431,530,962,182,191,368,45,40,83,158,194,359,0,0,0,15258,16546,31809,5945,7091,13029,328,292,620,23827,26378,50206,3758,4055,7815,47127,52347,99471
LGA26430,2889,2899,5792,498,523,1018,67,76,145,740,827,1572,52,46,97,9,15,24,32,32,67,6,7,16,10,5,12,0,0,3,0,0,0,920,1011,1927,54,71,127,32,23,49,1498,1623,3127,446,457,909,4841,4987,9820
LGA26490,7392,7458,14854,1668,1779,3445,135,136,266,2855,3010,5862,94,89,188,48,47,95,60,69,135,26,23,52,23,26,50,10,19,26,0,0,0,3253,3428,6681,335,371,707,65,55,115,5321,5633,10946,885,855,1738,13599,13945,27536
LGA26610,5420,5358,10777,1133,1228,2360,202,182,391,1014,1095,2109,67,76,141,45,44,84,34,38,67,3,0,4,26,23,43,3,0,5,0,0,0,1396,1454,2851,320,272,593,50,31,81,2895,2989,5889,1326,1263,2587,9647,9615,19255
LGA26670,1864,1762,3628,239,244,482,162,176,342,277,272,549,34,29,62,7,8,11,17,16,35,0,3,3,4,10,17,7,12,16,0,0,0,517,514,1029,23,35,60,11,0,16,797,797,1595,266,217,487,2930,2777,5706
LGA26700,7839,8257,16091,1581,1775,3362,197,242,440,1798,2004,3802,130,138,270,28,32,63,47,48,94,20,17,29,27,33,63,13,11,18,0,0,0,2258,2524,4783,120,127,246,60,61,122,4023,4487,8511,1002,1170,2171,12861,13916,26780
LGA26730,8173,8831,17009,1837,1994,3835,101,101,203,2928,3407,6336,114,117,231,113,127,237,71,81,149,28,26,50,30,41,77,13,15,22,0,0,0,3398,3908,7308,405,355,759,79,81,157,5725,6341,12064,1238,1389,2634,15138,16564,31700
LGA26810,11475,11500,22979,2409,2707,5118,252,247,497,2798,2923,5724,250,230,476,73,73,144,106,102,206,27,37,64,57,48,108,38,29,64,0,0,0,3594,3695,7289,344,350,692,89,94,183,6437,6840,13275,2531,1755,4285,20439,20097,40540
LGA26890,1314,1239,2554,158,168,327,22,27,53,139,160,302,21,18,45,47,70,115,13,5,18,4,4,6,5,3,11,3,0,3,0,0,0,259,292,548,9,16,23,10,3,13,435,478,913,104,130,235,1855,1838,3698
LGA26980,41409,45634,87044,2458,2595,5054,568,604,1168,15851,16405,32259,372,454,821,259,253,517,213,238,447,120,126,239,39,58,92,100,113,213,0,0,0,17529,18245,35773,8585,9218,17808,339,293,634,28909,30358,59267,3246,3702,6950,73563,79693,153259
LGA27070,47826,49119,96943,3203,3311,6520,713,729,1438,24407,25176,49583,563,632,1192,281,260,538,217,225,438,107,110,215,87,76,164,57,76,139,5,0,5,26439,27287,53724,6476,6787,13268,369,308,677,36487,37697,74181,4949,5262,10212,89262,92083,181341
LGA27170,8747,9205,17947,1966,2085,4051,1281,1326,2608,3162,3360,6520,577,477,1055,97,95,186,97,99,198,57,61,120,87,83,168,72,86,157,0,0,0,5434,5580,11016,289,343,635,134,90,225,7826,8101,15920,1312,1343,2654,17880,18646,36526
LGA27260,46188,46615,92801,4865,5048,9912,1497,1491,2985,25747,25222,50971,962,967,1930,467,428,891,415,414,832,216,231,448,140,140,276,185,194,379,3,0,3,29634,29073,58709,9788,11160,20949,489,428,912,44778,45716,90488,6758,5693,12448,97719,98017,195734
LGA27350,14945,16188,31133,2012,2133,4142,1014,1179,2191,11281,11552,22831,779,896,1675,311,353,662,505,544,1052,164,191,351,72,62,137,276,261,540,0,0,0,14407,15038,29447,4332,4925,9260,338,308,645,21088,22405,43492,3968,4049,8020,40004,42646,82649
LGA27450,43893,44404,88301,3819,4072,7892,345,375,724,14930,15962,30888,389,406,795,110,107,219,176,170,347,64,75,140,44,55,98,37,41,76,4,3,9,16091,17200,33292,1243,1397,2640,287,305,593,21439,22972,44408,3791,3903,7694,69123,71273,140395
LGA27630,2135,2026,4156,314,346,662,23,22,39,325,361,686,18,21,46,24,22,44,19,20,34,6,3,9,14,16,27,0,0,3,0,0,0,429,463,886,26,29,53,11,11,27,773,850,1627,301,296,598,3210,3172,6386
LGA29399,168,127,293,17,27,44,16,11,28,65,47,111,9,9,18,14,4,13,3,7,8,0,0,0,0,0,0,0,0,0,0,0,0,111,76,189,29,42,77,0,3,5,158,149,310,125,115,236,453,390,844
LGA29499,534,315,849,155,88,242,121,100,227,1182,1019,2207,121,122,237,30,29,65,49,49,99,20,21,40,21,18,40,7,12,17,0,0,0,1557,1366,2915,459,487,945,62,48,110,2233,1988,4223,1355,772,2128,4117,3073,7193
LGA29799,12,0,7,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,16,0,13,0,0,0,0,0,0,16,0,13,3,0,3,28,4,29
