LGA_CODE_2016,M_Emp_FullT_15_19,M_Emp_FullT_20_24,M_Emp_FullT_25_34,M_Emp_FullT_35_44,M_Emp_FullT_45_54,M_Emp_FullT_55_64,M_Emp_FullT_65_74,M_Emp_FullT_75_84,M_Emp_FullT_85ov,M_Emp_FullT_Tot,M_Emp_PartT_15_19,M_Emp_PartT_20_24,M_Emp_PartT_25_34,M_Emp_PartT_35_44,M_Emp_PartT_45_54,M_Emp_PartT_55_64,M_Emp_PartT_65_74,M_Emp_PartT_75_84,M_Emp_PartT_85ov,M_Emp_PartT_Tot,M_Emp_awy_f_wrk_15_19,M_Emp_awy_f_wrk_20_24,M_Emp_awy_f_wrk_25_34,M_Emp_awy_f_wrk_35_44,M_Emp_awy_f_wrk_45_54,M_Emp_awy_f_wrk_55_64,M_Emp_awy_f_wrk_65_74,M_Emp_awy_f_wrk_75_84,M_Emp_awy_f_wrk_85ov,M_Emp_awy_f_wrk_Tot,M_Hours_wkd_NS_15_19,M_Hours_wkd_NS_20_24,M_Hours_wkd_NS_25_34,M_Hours_wkd_NS_35_44,M_Hours_wkd_NS_45_54,M_Hours_wkd_NS_55_64,M_Hours_wkd_NS_65_74,M_Hours_wkd_NS_75_84,M_Hours_wkd_NS_85ov,M_Hours_wkd_NS_Tot,M_Tot_Emp_15_19,M_Tot_Emp_20_24,M_Tot_Emp_25_34,M_Tot_Emp_35_44,M_Tot_Emp_45_54,M_Tot_Emp_55_64,M_Tot_Emp_65_74,M_Tot_Emp_75_84,M_Tot_Emp_85ov,M_Tot_Emp_Tot,M_Unem_look_FTW_15_19,M_Unem_look_FTW_20_24,M_Unem_look_FTW_25_34,M_Unem_look_FTW_35_44,M_Unem_look_FTW_45_54,M_Unem_look_FTW_55_64,M_Unem_look_FTW_65_74,M_Unem_look_FTW_75_84,M_Unem_look_FTW_85ov,M_Unem_look_FTW_Tot,M_Unem_look_PTW_15_19,M_Unem_look_PTW_20_24,M_Unem_look_PTW_25_34,M_Unem_look_PTW_35_44,M_Unem_look_PTW_45_54,M_Unem_look_PTW_55_64,M_Unem_look_PTW_65_74,M_Unem_look_PTW_75_84,M_Unem_look_PTW_85ov,M_Unem_look_PTW_Tot,M_Tot_Unemp_15_19,M_Tot_Unemp_20_24,M_Tot_Unemp_25_34,M_Tot_Unemp_35_44,M_Tot_Unemp_45_54,M_Tot_Unemp_55_64,M_Tot_Unemp_65_74,M_Tot_Unemp_75_84,M_Tot_Unemp_85ov,M_Tot_Unemp_Tot,M_Tot_LF_15_19,M_Tot_LF_20_24,M_Tot_LF_25_34,M_Tot_LF_35_44,M_Tot_LF_45_54,M_Tot_LF_55_64,M_Tot_LF_65_74,M_Tot_LF_75_84,M_Tot_LF_85ov,M_Tot_LF_Tot,M_Not_in_LF_15_19,M_Not_in_LF_20_24,M_Not_in_LF_25_34,M_Not_in_LF_35_44,M_Not_in_LF_45_54,M_Not_in_LF_55_64,M_Not_in_LF_65_74,M_Not_in_LF_75_84,M_Not_in_LF_85ov,M_Not_in_LF_Tot,M_LFS_NS_15_19,M_LFS_NS_20_24,M_LFS_NS_25_34,M_LFS_NS_35_44,M_LFS_NS_45_54,M_LFS_NS_55_64,M_LFS_NS_65_74,M_LFS_NS_75_84,M_LFS_NS_85ov,M_LFS_NS_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Emp_FullT_15_19,F_Emp_FullT_20_24,F_Emp_FullT_25_34,F_Emp_FullT_35_44,F_Emp_FullT_45_54,F_Emp_FullT_55_64,F_Emp_FullT_65_74,F_Emp_FullT_75_84,F_Emp_FullT_85ov,F_Emp_FullT_Tot,F_Emp_PartT_15_19,F_Emp_PartT_20_24,F_Emp_PartT_25_34,F_Emp_PartT_35_44,F_Emp_PartT_45_54,F_Emp_PartT_55_64,F_Emp_PartT_65_74,F_Emp_PartT_75_84,F_Emp_PartT_85ov,F_Emp_PartT_Tot,F_Emp_awy_f_wrk_15_19,F_Emp_awy_f_wrk_20_24,F_Emp_awy_f_wrk_25_34,F_Emp_awy_f_wrk_35_44,F_Emp_awy_f_wrk_45_54,F_Emp_awy_f_wrk_55_64,F_Emp_awy_f_wrk_65_74,F_Emp_awy_f_wrk_75_84,F_Emp_awy_f_wrk_85ov,F_Emp_awy_f_wrk_Tot,F_Hours_wkd_NS_15_19,F_Hours_wkd_NS_20_24,F_Hours_wkd_NS_25_34,F_Hours_wkd_NS_35_44,F_Hours_wkd_NS_45_54,F_Hours_wkd_NS_55_64,F_Hours_wkd_NS_65_74,F_Hours_wkd_NS_75_84,F_Hours_wkd_NS_85ov,F_Hours_wkd_NS_Tot,F_Tot_Emp_15_19,F_Tot_Emp_20_24,F_Tot_Emp_25_34,F_Tot_Emp_35_44,F_Tot_Emp_45_54,F_Tot_Emp_55_64,F_Tot_Emp_65_74,F_Tot_Emp_75_84,F_Tot_Emp_85ov,F_Tot_Emp_Tot,F_Unem_look_FTW_15_19,F_Unem_look_FTW_20_24,F_Unem_look_FTW_25_34,F_Unem_look_FTW_35_44,F_Unem_look_FTW_45_54,F_Unem_look_FTW_55_64,F_Unem_look_FTW_65_74,F_Unem_look_FTW_75_84,F_Unem_look_FTW_85ov,F_Unem_look_FTW_Tot,F_Unem_look_PTW_15_19,F_Unem_look_PTW_20_24,F_Unem_look_PTW_25_34,F_Unem_look_PTW_35_44,F_Unem_look_PTW_45_54,F_Unem_look_PTW_55_64,F_Unem_look_PTW_65_74,F_Unem_look_PTW_75_84,F_Unem_look_PTW_85ov,F_Unem_look_PTW_Tot,F_Tot_Unemp_15_19,F_Tot_Unemp_20_24,F_Tot_Unemp_25_34,F_Tot_Unemp_35_44,F_Tot_Unemp_45_54,F_Tot_Unemp_55_64,F_Tot_Unemp_65_74,F_Tot_Unemp_75_84,F_Tot_Unemp_85ov,F_Tot_Unemp_Tot
LGA21270,19,69,159,166,277,278,78,20,6,1059,45,11,17,28,29,54,30,10,8,238,0,0,0,3,12,17,7,0,0,50,0,0,3,3,3,7,3,0,3,25,62,87,179,203,320,347,121,33,17,1369,3,8,7,11,10,19,0,0,0,55,3,3,3,0,0,0,0,0,0,15,7,8,16,15,12,19,0,0,0,74,70,98,189,211,332,369,122,33,15,1438,104,13,15,34,57,119,259,208,86,907,3,5,23,11,39,57,55,36,31,266,181,119,230,257,429,547,433,281,136,2619,3,24,66,59,116,106,24,3,0,396,50,21,69,135,172,148,45,3,0,638,0,3,15,5,7,20,8,0,0,56,0,0,3,3,5,8,5,3,3,29,57,49,148,196,298,273,75,12,4,1115,3,3,7,6,4,3,0,0,0,22,3,0,4,3,4,0,0,0,0,15,6,3,9,10,9,7,0,0,0,39
LGA21370,207,507,1116,1236,1554,1284,269,46,7,6221,302,139,167,160,237,367,205,51,7,1647,21,14,39,47,60,103,38,3,0,328,20,24,23,34,37,33,9,11,3,211,551,686,1341,1479,1892,1795,528,110,19,8401,49,47,57,56,73,45,3,0,0,323,33,11,22,16,15,28,6,0,0,123,79,57,80,70,81,71,6,0,0,444,635,745,1422,1545,1980,1864,539,110,19,8847,554,126,144,199,295,620,1571,1044,345,4900,56,56,105,145,179,191,200,154,78,1160,1248,924,1663,1886,2452,2673,2311,1316,437,14913,80,253,556,603,923,590,76,7,9,3091,376,240,542,776,916,792,192,39,4,3881,18,27,98,69,79,101,20,6,0,407,22,23,22,17,36,22,18,3,0,159,493,539,1217,1469,1951,1507,305,51,16,7545,24,24,19,33,41,19,0,0,0,156,54,24,48,31,34,29,0,0,0,225,75,48,74,63,69,43,0,0,0,376
LGA21450,480,1540,4701,4796,4387,2507,450,42,8,18913,723,564,587,542,510,650,357,70,5,4000,36,40,113,103,123,103,42,8,0,562,39,60,130,108,89,61,19,10,6,517,1276,2205,5541,5544,5103,3317,869,125,24,24000,99,133,195,117,129,110,10,0,0,790,193,77,54,22,25,44,10,0,0,425,297,210,247,140,154,155,19,0,0,1220,1571,2414,5782,5683,5256,3472,893,126,24,25220,1491,321,349,419,477,975,2191,1267,373,7865,160,169,336,355,363,307,238,136,61,2116,3219,2909,6463,6455,6092,4750,3317,1530,453,35199,127,970,2431,1983,2307,1134,146,17,8,9124,1027,1039,2061,2475,2192,1369,318,27,4,10520,41,58,363,173,141,121,27,7,0,929,42,49,86,71,76,44,8,5,0,389,1239,2115,4936,4692,4717,2680,492,58,15,20952,72,118,115,123,94,67,3,0,0,585,235,83,162,152,100,62,8,0,0,798,308,194,276,280,191,126,7,0,0,1384
LGA21610,976,4385,14373,15850,13539,7850,1070,49,19,58115,2291,2598,2373,2292,1964,1743,795,115,4,14177,100,109,318,328,309,270,101,9,0,1556,91,263,468,384,298,185,55,6,3,1756,3454,7350,17532,18856,16123,10051,2025,182,31,75599,283,670,857,650,572,366,41,0,0,3432,891,411,160,130,119,156,45,9,0,1912,1171,1078,1019,776,689,526,81,12,0,5350,4625,8431,18548,19635,16806,10578,2108,195,30,80952,5813,1725,1719,1706,1976,3478,6221,3555,1093,27277,436,554,1150,1082,946,756,534,358,148,5970,10878,10708,21424,22414,19727,14812,8859,4102,1270,114195,299,2772,7802,7134,7388,3782,343,15,7,29541,3106,3235,5605,6954,5812,3644,666,64,9,29097,125,200,934,507,325,323,63,0,0,2474,78,182,332,228,216,128,24,15,7,1200,3602,6387,14674,14822,13739,7880,1101,96,17,62315,192,413,597,535,362,209,6,0,0,2319,872,474,516,538,357,217,23,0,0,2999,1065,888,1118,1068,723,421,30,3,3,5313
LGA21670,30,128,262,321,411,340,54,13,3,1563,94,60,70,71,79,144,64,13,0,588,3,3,6,18,13,17,8,3,0,73,9,5,4,8,14,13,0,3,0,58,133,200,347,411,524,514,131,33,7,2290,16,36,30,36,40,29,3,0,0,187,14,7,3,9,11,11,4,0,0,63,35,46,34,40,51,43,6,0,0,253,166,252,383,455,570,550,132,28,7,2539,182,59,52,120,216,405,793,485,139,2452,21,19,26,36,66,63,79,51,18,379,369,330,464,607,851,1017,1008,568,157,5369,17,76,111,131,246,150,24,0,0,754,111,88,149,209,286,252,67,9,5,1166,3,5,24,17,22,21,7,0,0,100,5,3,4,9,9,10,0,4,0,44,136,173,286,370,555,421,104,15,6,2068,11,24,20,15,13,10,0,0,0,93,12,11,19,9,12,13,0,0,0,78,21,33,41,26,25,22,0,0,0,170
LGA21750,98,320,708,740,815,657,176,35,3,3558,174,92,152,152,163,271,153,31,8,1206,9,7,20,22,35,72,30,4,0,200,8,14,31,19,26,14,12,4,3,118,292,436,909,939,1044,1011,359,75,14,5079,17,22,38,34,30,25,0,0,0,161,22,7,3,7,4,15,3,0,0,67,38,31,42,36,38,39,6,0,0,230,332,464,952,978,1083,1050,362,78,14,5310,251,69,98,111,195,384,802,491,178,2571,40,39,91,66,107,111,110,68,19,654,621,573,1142,1154,1383,1545,1273,636,208,8536,61,151,318,291,457,345,76,15,3,1711,222,172,344,469,569,480,147,17,4,2427,8,17,64,24,48,61,19,0,0,242,7,8,16,11,14,20,5,5,0,91,292,352,734,804,1089,908,242,36,7,4471,5,13,14,14,27,14,0,0,0,83,22,10,8,12,9,20,3,0,0,82,32,22,23,27,37,31,3,0,0,162
LGA21830,85,240,459,548,763,612,200,27,8,2943,125,59,57,71,98,149,97,35,0,693,10,3,10,17,35,29,18,7,0,133,21,14,16,18,15,18,10,7,3,109,245,317,534,658,908,808,331,75,13,3876,13,29,28,25,13,17,4,0,0,129,10,0,3,4,13,3,4,0,0,34,19,28,32,28,29,18,4,0,0,165,263,341,565,682,940,832,334,76,14,4045,270,34,62,63,146,267,596,400,135,1964,31,25,52,55,92,90,91,66,25,534,559,402,678,808,1175,1192,1020,542,175,6548,23,95,172,233,428,296,65,14,0,1323,167,113,214,340,364,358,115,16,4,1689,9,10,47,29,32,40,22,4,0,197,9,0,5,7,12,14,11,5,0,77,215,219,436,610,842,709,211,34,4,3282,9,12,12,9,12,11,0,0,0,69,15,5,10,12,5,7,0,0,0,60,21,21,20,22,23,24,0,0,0,129
LGA21890,140,1259,7764,7165,5530,2888,434,34,8,25220,786,1685,2421,1433,1183,939,344,46,5,8847,30,76,190,170,151,109,23,3,0,751,41,116,241,145,123,92,29,8,4,793,997,3137,10606,8909,6991,4017,832,95,19,35606,80,232,501,363,293,192,5,0,0,1653,289,345,282,114,89,71,20,3,0,1219,361,574,783,474,380,268,30,6,0,2875,1363,3715,11390,9383,7369,4288,862,101,19,38484,1962,1354,1537,998,1237,1860,3100,2950,1190,16199,204,371,1058,771,590,433,329,327,177,4255,3521,5435,13985,11154,9200,6577,4291,3381,1397,58933,54,1155,6249,4168,3624,1756,187,10,5,17202,1038,2204,3392,3775,3116,1691,331,30,3,15584,47,111,457,397,175,122,37,11,0,1358,48,93,137,107,92,49,17,13,4,556,1196,3569,10232,8449,7004,3621,571,59,14,34704,33,148,389,234,180,101,3,3,0,1101,325,325,297,225,181,99,12,0,0,1456,362,479,687,456,363,202,14,3,0,2559
LGA22110,133,433,1061,1155,1413,1255,311,58,5,5825,287,157,265,245,354,522,306,62,8,2204,15,24,48,56,84,129,62,10,0,432,19,20,25,45,42,35,20,9,3,215,455,626,1395,1499,1897,1938,706,135,16,8681,45,80,79,82,98,109,7,0,0,488,37,23,23,18,17,38,8,0,0,161,82,99,102,91,113,146,14,0,0,651,539,729,1498,1593,2012,2085,715,135,16,9324,579,108,187,280,457,1106,2811,1547,443,7512,76,93,156,167,244,267,374,184,101,1661,1196,931,1838,2034,2713,3462,3902,1866,558,18504,70,253,499,538,904,689,107,13,3,3085,357,243,630,891,1096,1003,292,35,3,4555,32,34,110,72,97,121,41,9,0,509,16,13,18,29,36,41,19,10,0,183,473,545,1250,1532,2130,1854,460,64,12,8327,22,32,26,40,64,57,0,0,0,249,42,29,40,46,49,59,4,0,0,260,63,67,60,78,109,117,6,0,0,505
LGA22170,468,1904,6067,6377,6013,3994,590,33,7,25453,1037,913,910,821,884,1005,552,66,10,6197,43,48,154,134,157,197,59,6,0,796,48,82,152,145,119,82,22,0,0,651,1599,2940,7282,7476,7176,5278,1228,109,23,33101,113,252,338,279,272,252,20,0,0,1527,254,110,60,59,64,86,31,0,0,666,368,363,401,339,336,339,49,0,0,2191,1968,3300,7681,7814,7515,5611,1271,109,23,35291,1826,629,692,790,1052,1689,3824,2372,877,13749,222,270,580,553,568,497,383,249,120,3440,4018,4200,8950,9157,9126,7799,5484,2728,1019,52474,157,1328,3475,2878,3530,2083,235,17,3,13715,1487,1481,2514,3241,3094,2256,600,38,0,14710,49,109,493,296,184,207,55,0,0,1390,50,71,100,90,99,50,19,5,6,493,1740,2983,6579,6506,6916,4594,914,58,10,30305,95,182,188,187,186,120,0,0,0,947,340,154,198,214,164,125,24,0,0,1226,437,334,387,402,347,240,29,0,0,2175
LGA22250,53,147,281,337,441,380,106,17,0,1767,61,41,38,27,70,116,78,26,5,455,7,0,10,10,17,36,14,3,0,90,5,5,10,9,8,17,8,3,3,70,119,190,335,389,538,544,207,48,5,2379,3,9,22,12,30,16,0,0,0,95,7,0,5,3,7,8,0,0,0,32,12,11,26,18,33,22,0,0,0,120,132,207,354,405,574,567,208,48,5,2505,178,17,37,55,87,181,508,366,121,1547,13,23,28,34,35,56,62,52,24,336,323,247,416,490,696,807,783,466,153,4385,14,68,113,128,222,179,37,7,0,767,97,56,145,205,277,229,93,7,0,1114,7,4,19,16,20,27,8,4,0,95,3,3,3,3,6,13,4,4,0,36,118,125,284,351,529,452,143,21,0,2023,4,12,6,7,15,5,0,0,0,51,13,0,8,8,8,6,0,0,0,44,23,9,16,10,18,9,0,0,0,95
LGA22310,103,1042,6811,7420,6466,3874,849,67,7,26641,907,1599,1531,875,921,1115,813,147,25,7928,27,51,137,118,111,132,55,10,3,638,12,56,158,118,106,74,29,9,7,580,1052,2752,8645,8531,7603,5192,1746,231,45,35790,33,170,337,240,270,177,20,3,0,1256,286,321,153,50,50,70,38,3,0,979,314,491,492,292,324,251,61,6,0,2232,1364,3242,9132,8827,7923,5442,1805,231,43,38024,2469,1380,961,539,715,1529,2894,2256,1381,14118,143,239,606,481,429,331,251,182,122,2782,3979,4857,10701,9850,9069,7298,4954,2670,1545,54926,46,947,5077,3732,3861,2224,305,26,5,16224,1121,1768,2624,3554,3517,2325,854,73,8,15836,51,81,465,342,159,164,48,9,4,1316,24,57,129,84,87,49,20,8,7,469,1238,2851,8286,7719,7621,4761,1230,112,23,33846,28,94,296,150,140,79,8,0,3,800,239,260,252,194,179,94,14,0,0,1244,267,362,552,344,320,172,20,0,3,2047
LGA22410,78,227,471,634,908,693,160,37,3,3215,170,78,89,96,151,183,115,34,3,915,6,15,21,25,41,61,17,3,3,193,15,17,14,25,19,26,8,6,0,132,265,333,598,790,1127,966,299,72,5,4460,25,40,40,45,32,36,3,0,0,220,22,11,7,7,19,15,3,0,0,86,51,54,48,54,49,51,6,0,0,306,317,382,642,845,1170,1013,308,72,6,4762,279,65,85,106,206,445,839,483,164,2677,40,48,61,76,117,124,116,82,32,700,629,501,786,1022,1496,1581,1260,642,210,8134,29,96,187,270,446,321,60,10,0,1431,210,130,258,447,519,429,109,19,4,2114,13,11,52,30,41,52,12,3,3,212,14,11,11,16,19,11,11,6,0,95,268,239,512,756,1025,811,195,34,5,3849,14,24,18,25,23,23,0,0,0,129,23,17,17,12,14,15,0,0,0,93,36,33,39,38,45,34,0,0,0,226
LGA22490,113,264,721,1130,1113,703,139,14,0,4202,141,103,90,127,166,227,107,20,3,987,14,9,23,36,36,34,17,0,0,168,17,14,16,25,33,24,10,5,0,142,277,384,851,1312,1349,998,279,43,7,5493,25,25,35,22,37,45,0,0,0,194,36,8,3,3,7,8,3,0,0,68,70,33,35,28,43,53,3,0,0,261,348,416,880,1339,1388,1047,282,43,7,5755,409,76,69,117,159,359,726,300,74,2282,32,32,44,88,82,70,79,22,7,453,783,525,1000,1536,1631,1484,1086,365,83,8491,19,133,333,421,501,310,43,4,6,1776,249,157,379,631,664,407,77,3,4,2570,12,13,84,56,44,38,19,0,0,263,15,12,6,23,16,16,7,0,0,88,297,321,798,1128,1230,771,147,9,9,4704,15,18,18,11,17,13,0,0,0,92,39,16,23,28,23,19,0,0,0,146,57,36,40,41,41,34,0,0,0,240
LGA22620,351,1584,4304,4125,4227,2946,436,43,11,18041,926,824,765,645,731,997,505,86,5,5477,51,68,136,139,162,210,73,7,0,852,48,75,81,84,79,75,19,17,0,476,1376,2545,5283,4990,5203,4227,1035,157,16,24843,119,257,274,204,180,164,3,3,0,1196,215,120,65,59,36,70,21,3,0,594,335,378,337,262,212,231,29,7,0,1787,1703,2921,5622,5252,5415,4459,1064,164,16,26628,1665,553,554,626,911,1809,3767,2318,811,13017,189,221,430,364,454,464,440,285,162,3002,3563,3699,6612,6243,6780,6734,5270,2768,988,42651,180,985,2284,1933,2495,1564,155,16,3,9611,1302,1419,2073,2545,2540,2147,460,39,13,12545,74,127,381,237,200,204,59,5,0,1291,46,58,60,67,55,63,28,9,4,382,1598,2581,4805,4786,5290,3980,710,60,25,23832,73,110,125,128,108,65,4,0,0,619,249,178,152,144,109,76,9,0,0,921,325,285,279,270,221,147,16,0,0,1540
LGA22670,202,1736,7723,6209,4902,3183,547,29,3,24534,753,1886,2260,1392,1150,933,362,45,3,8784,28,55,156,126,90,106,35,0,0,600,41,162,384,236,199,106,31,10,0,1161,1016,3833,10517,7959,6343,4330,978,81,6,35078,127,445,718,530,426,290,17,0,0,2546,344,319,184,115,96,112,39,3,0,1210,473,764,907,645,519,396,60,7,0,3759,1491,4603,11424,8604,6859,4732,1037,87,9,38844,3023,1738,1919,1561,1725,2614,4261,2796,987,20611,235,369,904,629,557,450,413,309,111,3977,4746,6707,14246,10787,9147,7796,5712,3189,1106,63433,69,1021,4183,2981,2739,1597,213,3,3,12807,904,1617,2580,2243,1825,1324,353,18,4,10876,29,72,300,178,111,110,32,3,0,839,36,102,199,129,135,75,19,9,3,714,1039,2808,7267,5532,4813,3107,619,31,10,25227,53,245,474,318,256,133,3,0,0,1482,366,303,351,260,223,135,14,6,0,1649,420,551,822,576,476,266,15,6,0,3130
LGA22750,636,2914,9173,9632,9196,6151,889,76,11,38678,1909,2091,1729,1330,1434,1978,1070,178,18,11737,114,135,263,287,315,374,107,12,0,1604,69,147,258,190,192,128,42,11,6,1038,2724,5289,11430,11442,11133,8629,2096,276,37,53059,182,447,568,434,470,381,9,0,0,2493,453,303,165,98,98,165,47,4,0,1327,632,756,729,533,563,540,57,8,0,3825,3364,6041,12158,11974,11700,9174,2154,281,35,56888,3640,1494,1613,1517,1811,3729,8150,5119,2047,29110,334,437,803,749,816,784,794,524,266,5504,7336,7975,14575,14238,14323,13682,11092,5929,2351,91500,234,1969,5363,4183,5196,3050,301,17,3,20323,2691,2912,4168,5877,5635,4479,1030,79,14,26893,149,199,764,503,360,392,113,7,4,2493,121,123,132,126,136,113,43,10,6,807,3193,5208,10440,10693,11323,8035,1483,116,30,50516,142,241,311,240,258,154,3,5,3,1356,498,293,302,316,231,200,29,3,0,1869,638,530,611,558,492,358,30,10,0,3228
LGA22830,257,853,2273,2321,2557,1859,401,50,12,10590,499,257,392,368,378,459,303,57,7,2716,29,33,75,79,87,125,43,6,0,478,46,41,66,58,57,46,29,5,10,353,833,1191,2802,2825,3083,2491,769,122,23,14146,79,137,188,116,130,74,0,0,0,722,140,49,36,24,25,42,4,0,0,323,216,181,226,145,154,117,4,0,0,1044,1052,1374,3028,2970,3237,2606,777,126,26,15193,1035,309,539,566,644,950,1980,1342,456,7821,150,139,321,277,338,322,313,171,60,2103,2237,1823,3888,3808,4216,3881,3074,1633,543,25114,117,531,1276,1142,1504,969,132,15,0,5681,726,444,983,1312,1395,1087,281,24,5,6267,26,48,164,111,105,125,33,4,4,623,35,30,44,38,46,33,21,9,3,257,911,1060,2469,2601,3054,2214,462,52,11,12832,41,60,81,82,68,33,3,0,0,369,143,46,77,78,59,28,3,0,0,440,184,114,151,167,123,67,8,0,0,812
LGA22910,48,119,304,492,545,482,119,18,4,2133,54,48,70,130,199,252,126,19,0,896,6,5,13,18,39,46,12,3,0,143,13,16,20,11,17,11,6,3,0,97,122,191,407,644,796,793,263,44,7,3269,14,15,29,23,34,19,7,0,0,132,13,4,6,11,9,5,3,0,0,59,30,26,34,30,43,27,13,0,0,194,149,216,448,674,839,820,269,44,7,3461,165,40,61,77,167,404,775,398,118,2200,39,26,44,57,96,118,92,61,26,554,354,277,545,808,1099,1342,1134,501,151,6211,14,76,145,223,334,272,46,9,0,1121,93,82,165,350,458,418,120,10,3,1701,3,8,38,33,33,57,13,0,0,195,3,10,4,10,15,12,8,0,0,65,110,185,359,616,836,758,188,19,3,3076,4,15,11,9,19,18,0,0,0,76,11,4,10,14,17,19,5,0,0,77,14,15,23,28,34,36,5,0,0,158
LGA22980,21,89,158,197,218,218,59,11,0,964,25,18,27,16,35,53,28,15,0,221,0,0,0,8,10,14,6,0,0,41,4,0,3,3,4,4,3,3,0,29,47,112,189,222,265,287,95,29,8,1254,6,5,13,5,10,18,0,0,0,55,4,0,0,0,5,3,0,0,0,20,11,5,13,11,18,19,0,0,0,73,59,114,203,231,282,306,97,29,8,1331,103,15,27,23,61,141,271,179,85,912,4,6,8,10,23,41,33,21,11,160,164,130,246,274,372,488,399,226,103,2406,12,34,69,72,132,107,15,3,0,451,32,40,61,90,137,128,30,3,0,515,3,4,17,9,3,16,3,3,0,50,3,0,3,4,0,7,0,3,0,24,43,79,144,172,274,252,48,12,4,1043,4,3,3,3,12,11,0,0,0,31,3,3,7,3,4,0,0,0,0,19,3,6,12,3,11,10,0,0,0,49
LGA23110,144,888,4215,4663,4098,2511,324,22,6,16882,571,811,853,647,602,599,281,38,6,4396,31,39,115,131,89,105,33,4,0,547,22,62,114,86,83,48,17,3,0,432,764,1796,5292,5527,4879,3268,653,66,8,22262,62,173,265,199,233,154,8,0,0,1094,152,109,60,38,39,50,8,0,0,469,218,280,329,239,271,208,17,0,0,1562,984,2081,5620,5759,5151,3469,671,67,11,23818,1350,511,524,485,658,1271,2361,1633,650,9448,86,144,368,359,318,277,214,187,75,2032,2425,2732,6509,6604,6127,5022,3248,1893,733,35295,42,660,2866,2425,2582,1359,141,6,4,10083,694,884,1344,2057,1957,1240,262,16,0,8464,26,41,265,268,122,106,26,0,3,856,12,44,97,39,66,30,15,0,0,313,781,1630,4572,4784,4730,2731,443,30,10,19715,33,77,177,128,121,80,0,0,0,623,153,116,151,131,106,93,6,0,0,749,183,190,325,262,224,173,11,0,0,1371
LGA23190,99,300,769,711,826,658,133,24,7,3524,179,79,117,104,127,180,119,33,3,943,5,15,20,25,31,49,24,4,0,159,9,15,16,11,11,20,11,6,0,108,295,414,924,854,991,896,282,67,9,4731,15,42,35,22,38,20,0,0,0,171,29,10,13,17,12,16,4,0,0,93,44,48,52,36,43,35,4,0,0,269,342,462,972,888,1037,940,286,67,9,5004,239,65,71,81,136,298,613,475,188,2159,29,21,76,53,73,65,67,42,20,446,606,541,1122,1021,1242,1299,967,588,215,7606,36,209,376,314,439,339,42,5,0,1754,229,169,361,487,491,449,115,11,4,2310,10,11,71,33,36,50,14,4,0,233,12,3,7,10,20,17,8,3,0,79,291,394,814,838,983,848,175,20,9,4379,7,15,18,18,12,10,0,0,0,84,30,11,24,20,25,13,3,0,0,120,37,31,42,39,30,18,3,0,0,203
LGA23270,520,2584,8881,8259,7605,4400,627,30,11,32922,1295,1828,2123,1513,1354,1048,448,39,8,9647,46,109,216,196,164,171,53,4,0,962,66,198,380,283,244,128,29,5,3,1339,1931,4725,11594,10247,9374,5739,1160,79,20,44863,220,508,773,558,441,274,15,0,0,2790,544,298,171,106,123,102,22,7,0,1371,766,803,942,670,562,377,42,7,0,4164,2697,5533,12538,10916,9934,6116,1193,83,20,49026,4030,1534,1962,1872,2212,2999,4435,2445,626,22105,343,447,928,779,726,588,416,222,79,4536,7069,7512,15428,13566,12872,9702,6046,2746,727,75669,172,1655,4929,3778,4179,2076,193,11,0,16988,1806,2177,3196,3691,3420,2130,426,25,3,16875,70,131,563,280,199,169,32,0,0,1443,70,143,222,153,165,60,30,6,0,844,2124,4114,8901,7899,7958,4433,680,41,7,36162,147,329,463,335,257,118,0,0,0,1647,551,301,336,354,232,153,18,0,0,1945,699,625,802,682,494,274,19,0,0,3593
LGA23350,60,171,371,592,740,610,145,20,6,2715,112,53,66,101,132,192,133,22,3,828,4,10,19,16,33,51,22,3,0,163,5,9,18,18,18,12,8,3,0,93,187,247,473,730,932,868,308,45,12,3802,13,16,20,22,25,25,0,0,0,126,18,9,0,4,3,7,7,0,0,41,27,24,27,24,31,33,7,0,0,167,209,269,496,763,961,902,309,45,12,3972,218,30,106,115,152,304,688,338,100,2054,22,20,33,41,77,91,65,51,16,410,451,325,626,914,1192,1297,1064,441,131,6436,36,77,202,320,526,349,50,6,3,1570,168,89,205,392,457,399,117,10,3,1841,10,7,45,35,30,56,14,0,3,207,13,10,8,13,15,9,3,4,0,74,226,184,461,762,1026,812,185,27,7,3689,8,10,8,13,11,19,0,0,0,75,22,14,7,14,23,17,3,0,0,90,28,25,12,34,34,30,0,0,0,164
