LGA_CODE_2016,MSEO_SEO,MSEO_SOLSE_VWorW,MSEO_SOLSE_NWorNAA,MSEO_SOLSE_Tot,MSEO_NS,MSEO_Tot,MOL_Afrikaans_SEO,MOL_Afrikaans_SOLSE_VWorW,MOL_Afrikaans_SOLSE_NWorNAA,MOL_Afrikaans_SOLSE_Tot,MOL_Afrikaans_NS,MOL_Afrikaans_Tot,MOL_Arabic_SEO,MOL_Arabic_SOLSE_VWorW,MOL_Arabic_SOLSE_NWorNAA,MOL_Arabic_SOLSE_Tot,MOL_Arabic_NS,MOL_Arabic_Tot,MOL_AIndLng_SEO,MOL_AIndLng_SOLSE_VWorW,MOL_AIndLng_SOLSE_NWorNAA,MOL_AIndLng_SOLSE_Tot,MOL_AIndLng_NS,MOL_AIndLng_Tot,MOL_CL_Canton_SEO,MOL_CL_Canton_SOLSE_VWorW,MOL_CL_Canton_SOLSE_NWorNAA,MOL_CL_Canton_SOLSE_Tot,MOL_CL_Canton_NS,MOL_CL_Canton_Tot,MOL_CL_Mandarin_SEO,MOL_CL_Mandarin_SOLSE_VWorW,MOL_CL_Mandarin_SOLSE_NWorNAA,MOL_CL_Mandarin_SOLSE_Tot,MOL_CL_Mandarin_NS,MOL_CL_Mandarin_Tot,MOL_CL_Oth_SEO,MOL_CL_Oth_SOLSE_VWorW,MOL_CL_Oth_SOLSE_NWorNAA,MOL_CL_Oth_SOLSE_Tot,MOL_CL_Oth_NS,MOL_CL_Oth_Tot,MOL_CL_Tot_SEO,MOL_CL_Tot_SOLSE_VWorW,MOL_CL_Tot_SOLSE_NWorNAA,MOL_CL_Tot_SOLSE_Tot,MOL_CL_Tot_NS,MOL_CL_Tot_Tot,MOL_Croatian_SEO,MOL_Croatian_SOLSE_VWorW,MOL_Croatian_SOLSE_NWorNAA,MOL_Croatian_SOLSE_Tot,MOL_Croatian_NS,MOL_Croatian_Tot,MOL_Dutch_SEO,MOL_Dutch_SOLSE_VWorW,MOL_Dutch_SOLSE_NWorNAA,MOL_Dutch_SOLSE_Tot,MOL_Dutch_NS,MOL_Dutch_Tot,MOL_French_SEO,MOL_French_SOLSE_VWorW,MOL_French_SOLSE_NWorNAA,MOL_French_SOLSE_Tot,MOL_French_NS,MOL_French_Tot,MOL_German_SEO,MOL_German_SOLSE_VWorW,MOL_German_SOLSE_NWorNAA,MOL_German_SOLSE_Tot,MOL_German_NS,MOL_German_Tot,MOL_Greek_SEO,MOL_Greek_SOLSE_VWorW,MOL_Greek_SOLSE_NWorNAA,MOL_Greek_SOLSE_Tot,MOL_Greek_NS,MOL_Greek_Tot,MOL_IAL_Bengali_SEO,MOL_IAL_Bengali_SOLSE_VWorW,MOL_IAL_Bengali_SOLSE_NWorNAA,MOL_IAL_Bengali_SOLSE_Tot,MOL_IAL_Bengali_NS,MOL_IAL_Bengali_Tot,MOL_IAL_Hindi_SEO,MOL_IAL_Hindi_SOLSE_VWorW,MOL_IAL_Hindi_SOLSE_NWorNAA,MOL_IAL_Hindi_SOLSE_Tot,MOL_IAL_Hindi_NS,MOL_IAL_Hindi_Tot,MOL_IAL_Punjabi_SEO,MOL_IAL_Punjabi_SOLSE_VWorW,MOL_IAL_Punjabi_SOLSE_NWorNAA,MOL_IAL_Punjabi_SOLSE_Tot,MOL_IAL_Punjabi_NS,MOL_IAL_Punjabi_Tot,MOL_IAL_Sinhal_SEO,MOL_IAL_Sinhal_SOLSE_VWorW,MOL_IAL_Sinhal_SOLSE_NWorNAA,MOL_IAL_Sinhal_SOLSE_Tot,MOL_IAL_Sinhal_NS,MOL_IAL_Sinhal_Tot,MOL_IAL_Urdu_SEO,MOL_IAL_Urdu_SOLSE_VWorW,MOL_IAL_Urdu_SOLSE_NWorNAA,MOL_IAL_Urdu_SOLSE_Tot,MOL_IAL_Urdu_NS,MOL_IAL_Urdu_Tot,MOL_IAL_Oth_SEO,MOL_IAL_Oth_SOLSE_VWorW,MOL_IAL_Oth_SOLSE_NWorNAA,MOL_IAL_Oth_SOLSE_Tot,MOL_IAL_Oth_NS,MOL_IAL_Oth_Tot,MOL_IAL_Tot_SEO,MOL_IAL_Tot_SOLSE_VWorW,MOL_IAL_Tot_SOLSE_NWorNAA,MOL_IAL_Tot_SOLSE_Tot,MOL_IAL_Tot_NS,MOL_IAL_Tot_Tot,MOL_Italian_SEO,MOL_Italian_SOLSE_VWorW,MOL_Italian_SOLSE_NWorNAA,MOL_Italian_SOLSE_Tot,MOL_Italian_NS,MOL_Italian_Tot,MOL_Japan_SEO,MOL_Japan_SOLSE_VWorW,MOL_Japan_SOLSE_NWorNAA,MOL_Japan_SOLSE_Tot,MOL_Japan_NS,MOL_Japan_Tot,MOL_Korean_SEO,MOL_Korean_SOLSE_VWorW,MOL_Korean_SOLSE_NWorNAA,MOL_Korean_SOLSE_Tot,MOL_Korean_NS,MOL_Korean_Tot,MOL_Macedon_SEO,MOL_Macedon_SOLSE_VWorW,MOL_Macedon_SOLSE_NWorNAA,MOL_Macedon_SOLSE_Tot,MOL_Macedon_NS,MOL_Macedon_Tot,MOL_Maltese_SEO,MOL_Maltese_SOLSE_VWorW,MOL_Maltese_SOLSE_NWorNAA,MOL_Maltese_SOLSE_Tot,MOL_Maltese_NS,MOL_Maltese_Tot,MOL_Persian_ED_SEO,MOL_Persian_ED_SOLSE_VWorW,MOL_Persian_ED_SOLSE_NWorNAA,MOL_Persian_ED_SOLSE_Tot,MOL_Persian_ED_NS,MOL_Persian_ED_Tot,MOL_Polish_SEO,MOL_Polish_SOLSE_VWorW,MOL_Polish_SOLSE_NWorNAA,MOL_Polish_SOLSE_Tot,MOL_Polish_NS,MOL_Polish_Tot,MOL_Russian_SEO,MOL_Russian_SOLSE_VWorW,MOL_Russian_SOLSE_NWorNAA,MOL_Russian_SOLSE_Tot,MOL_Russian_NS,MOL_Russian_Tot,MOL_Samoan_SEO,MOL_Samoan_SOLSE_VWorW,MOL_Samoan_SOLSE_NWorNAA,MOL_Samoan_SOLSE_Tot,MOL_Samoan_NS,MOL_Samoan_Tot,MOL_Serbian_SEO,MOL_Serbian_SOLSE_VWorW,MOL_Serbian_SOLSE_NWorNAA,MOL_Serbian_SOLSE_Tot,MOL_Serbian_NS,MOL_Serbian_Tot,MOL_SAL_Filipin_SEO,MOL_SAL_Filipin_SOLSE_VWorW,MOL_SAL_Filipin_SOLSE_NWorNAA,MOL_SAL_Filipin_SOLSE_Tot,MOL_SAL_Filipin_NS,MOL_SAL_Filipin_Tot,MOL_SAL_Indon_SEO,MOL_SAL_Indon_SOLSE_VWorW,MOL_SAL_Indon_SOLSE_NWorNAA,MOL_SAL_Indon_SOLSE_Tot,MOL_SAL_Indon_NS,MOL_SAL_Indon_Tot,MOL_SAL_Tagalog_SEO,MOL_SAL_Tagalog_SOLSE_VWorW,MOL_SAL_Tagalog_SOLSE_NWorNAA,MOL_SAL_Tagalog_SOLSE_Tot,MOL_SAL_Tagalog_NS,MOL_SAL_Tagalog_Tot,MOL_SAL_Oth_SEO,MOL_SAL_Oth_SOLSE_VWorW
LGA21270,2766,..,..,..,..,2766,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,9,0,9,..,0,0,0,0,0,..,6,0,11,0,11,..,0,0,0,0,0,..,3,0,3,0,3,..,4,0,4,0,4,..,5,0,5,0,5,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,3,0,3,0,3,..,3
LGA21370,16430,..,..,..,..,16430,..,7,0,7,0,7,..,11,0,12,0,12,..,3,0,3,0,3,..,5,0,5,0,5,..,16,3,22,0,20,..,0,0,0,0,0,..,21,9,27,0,30,..,8,0,8,0,8,..,5,0,5,0,5,..,8,3,13,0,13,..,22,0,22,0,22,..,22,0,22,0,22,..,0,0,0,0,0,..,9,0,9,0,9,..,6,0,8,0,8,..,15,0,10,0,10,..,3,0,3,0,3,..,8,0,7,0,7,..,36,3,44,0,44,..,87,8,103,6,104,..,5,0,6,0,6,..,12,6,16,0,16,..,3,0,7,0,7,..,3,0,3,0,3,..,3,0,3,0,3,..,3,0,3,0,3,..,6,0,6,0,6,..,0,0,0,0,0,..,3,0,3,0,3,..,35,0,35,0,35,..,5,0,5,0,5,..,23,0,29,0,29,..,0
LGA21450,38665,..,..,..,..,38665,..,51,0,50,0,50,..,208,20,225,5,231,..,3,0,3,0,3,..,42,14,54,0,54,..,108,71,179,0,180,..,14,4,13,0,13,..,163,89,255,0,258,..,88,4,92,0,94,..,95,3,99,0,99,..,125,3,130,0,134,..,120,3,127,8,133,..,122,9,135,0,138,..,61,4,65,0,65,..,211,4,214,3,218,..,399,40,434,6,443,..,375,20,389,6,393,..,73,8,81,0,81,..,152,8,163,0,163,..,1263,82,1349,13,1363,..,250,26,278,3,277,..,26,3,28,0,28,..,23,9,36,0,33,..,14,0,12,0,12,..,19,0,19,0,19,..,29,3,36,0,36,..,48,3,49,0,49,..,52,4,59,0,55,..,65,0,63,0,63,..,58,12,65,3,71,..,87,4,92,0,92,..,40,0,42,7,42,..,96,4,96,0,101,..,35
LGA21610,88442,..,..,..,..,88442,..,243,0,242,5,243,..,1997,214,2204,30,2234,..,3,0,3,0,3,..,606,195,798,3,803,..,1833,826,2663,16,2674,..,467,122,587,3,588,..,2904,1139,4046,19,4065,..,570,58,626,6,627,..,204,0,203,0,206,..,988,24,1011,5,1021,..,322,5,325,3,333,..,1074,108,1186,12,1196,..,299,12,315,0,312,..,2262,90,2346,13,2362,..,3211,321,3534,44,3578,..,4247,244,4491,30,4521,..,892,74,967,4,971,..,1058,91,1152,6,1157,..,11977,832,12803,96,12900,..,1136,101,1239,22,1260,..,65,16,83,0,83,..,163,65,226,4,232,..,178,17,195,4,199,..,125,6,127,4,128,..,485,131,615,9,621,..,603,77,679,10,689,..,274,44,315,0,317,..,1128,126,1255,21,1271,..,1051,269,1321,23,1340,..,742,19,763,7,773,..,381,28,412,0,415,..,874,24,904,14,919,..,261
LGA21670,5811,..,..,..,..,5811,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,9,8,16,0,15,..,0,0,0,0,0,..,9,8,15,0,15,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,3,0,3,..,6,0,6,0,6,..,13,0,14,0,14,..,0,0,0,0,0,..,5,0,5,0,5,..,9,0,11,0,11,..,3,0,3,0,3,..,3,0,3,0,3,..,4,0,4,0,4,..,26,3,29,0,29,..,7,0,13,0,14,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,6,0,6,..,0,0,0,0,0,..,3,0,3,0,3,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,15,0,12,0,12,..,0,0,3,0,3,..,7,3,9,0,9,..,0
LGA21750,9287,..,..,..,..,9287,..,3,0,3,0,3,..,37,7,43,0,43,..,0,0,0,0,0,..,6,4,8,0,9,..,22,14,36,0,36,..,0,0,0,0,0,..,31,21,47,3,51,..,6,0,6,0,6,..,9,0,9,0,9,..,14,0,14,0,14,..,11,0,11,0,11,..,24,0,24,0,28,..,0,0,0,0,0,..,3,0,4,0,4,..,12,0,12,0,12,..,3,0,3,0,3,..,0,0,3,0,3,..,5,0,5,0,5,..,25,0,24,0,24,..,30,0,31,0,34,..,9,0,9,0,9,..,4,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,7,3,4,0,4,..,0,0,0,0,0,..,3,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,10,0,10,0,10,..,7,3,8,0,8,..,3,0,3,0,3,..,7
LGA21830,7296,..,..,..,..,7296,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,7,..,0,0,0,0,0,..,7,0,7,0,7,..,0,0,0,0,0,..,13,0,13,0,13,..,0,0,0,0,0,..,9,0,9,0,9,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,12,0,12,0,12,..,12,0,12,0,12,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,3,..,8,3,17,0,17,..,4,0,4,0,4,..,8,0,8,0,8,..,0
LGA21890,39798,..,..,..,..,39798,..,27,4,28,0,28,..,1880,363,2244,28,2267,..,15,0,15,0,15,..,544,253,795,4,797,..,1678,881,2560,16,2574,..,114,67,184,0,184,..,2333,1200,3536,26,3559,..,194,31,224,9,234,..,52,3,52,0,54,..,274,15,288,3,297,..,200,3,200,0,202,..,3534,886,4420,47,4474,..,234,12,247,0,244,..,881,26,905,9,918,..,690,52,744,10,754,..,263,8,263,3,268,..,432,31,469,4,471,..,735,40,778,8,787,..,3234,173,3405,37,3443,..,3583,714,4302,53,4349,..,132,14,144,0,148,..,72,22,88,0,89,..,861,163,1021,14,1033,..,105,13,114,3,117,..,217,57,281,4,285,..,76,6,78,0,83,..,52,6,56,0,56,..,39,0,38,0,40,..,124,33,157,0,164,..,109,3,114,0,114,..,124,5,124,0,124,..,156,0,161,3,162,..,69
LGA22110,19468,..,..,..,..,19468,..,19,0,19,0,19,..,6,0,6,0,6,..,3,0,3,0,3,..,18,6,25,0,25,..,32,22,52,0,55,..,4,0,4,0,4,..,52,26,83,0,83,..,3,0,5,0,5,..,34,0,35,0,38,..,16,0,19,0,20,..,72,4,81,0,81,..,28,5,30,4,31,..,0,0,0,0,0,..,15,0,15,0,14,..,18,0,20,0,20,..,4,0,4,0,4,..,3,0,3,0,3,..,4,0,4,0,4,..,45,0,44,0,46,..,92,4,101,9,106,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,16,0,18,0,18,..,3,0,7,0,7,..,0,0,0,0,0,..,9,0,9,0,9,..,10,0,8,0,8,..,3,0,3,0,3,..,16,0,17,0,19,..,12
LGA22170,54206,..,..,..,..,54206,..,114,3,116,0,115,..,234,29,261,5,267,..,3,0,3,0,3,..,122,26,152,3,157,..,345,127,470,8,477,..,23,6,30,0,30,..,490,161,649,9,663,..,121,11,134,3,132,..,153,9,160,3,166,..,153,3,156,0,157,..,271,3,275,3,279,..,529,49,578,5,582,..,20,0,25,0,24,..,230,10,238,3,246,..,145,12,161,0,161,..,126,9,136,0,133,..,46,0,42,0,42,..,77,6,82,0,84,..,642,40,687,6,693,..,388,31,421,5,424,..,61,3,63,0,63,..,16,7,23,0,28,..,26,3,27,0,31,..,27,0,27,0,27,..,44,3,45,0,45,..,138,16,152,0,153,..,191,38,236,0,236,..,82,7,95,0,97,..,136,17,152,0,152,..,120,0,120,0,122,..,54,6,57,3,59,..,156,0,156,0,157,..,23
LGA22250,4756,..,..,..,..,4756,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,7,0,7,..,0,0,0,0,0,..,3,3,9,0,9,..,4,0,4,0,4,..,3,0,3,0,3,..,0,0,0,0,0,..,4,0,4,0,4,..,4,3,5,0,5,..,3,0,3,0,3,..,0,0,0,0,0,..,7,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,8,0,8,..,20,0,20,0,20,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,7,0,7,..,3,0,3,0,3,..,9,0,9,0,9,..,3
LGA22310,43829,..,..,..,..,43829,..,80,0,80,0,80,..,217,12,226,4,230,..,5,0,5,0,5,..,640,138,781,6,787,..,2707,687,3393,21,3417,..,182,50,237,0,237,..,3534,879,4415,26,4444,..,84,7,89,0,89,..,58,0,58,0,58,..,492,20,517,0,518,..,286,5,291,0,295,..,2230,354,2587,22,2607,..,114,0,114,0,114,..,956,24,979,3,989,..,228,3,232,7,239,..,203,10,211,0,212,..,110,3,106,3,109,..,820,50,871,5,877,..,2431,87,2515,16,2535,..,766,68,831,9,838,..,315,80,393,3,395,..,263,87,346,0,347,..,41,4,38,0,43,..,14,0,14,0,14,..,106,12,117,0,118,..,324,20,348,0,344,..,1868,337,2201,9,2209,..,6,0,5,0,5,..,138,12,149,0,152,..,85,0,82,0,83,..,177,6,181,0,187,..,89,0,93,0,97,..,34
LGA22410,8755,..,..,..,..,8755,..,7,0,7,0,7,..,0,0,0,0,0,..,9,0,9,4,12,..,3,0,6,0,6,..,11,0,9,0,9,..,0,0,0,0,0,..,17,4,17,0,17,..,3,0,3,0,3,..,13,0,13,0,13,..,0,0,0,0,0,..,14,0,12,0,12,..,9,0,9,0,9,..,9,0,9,0,9,..,9,0,9,0,9,..,0,0,0,0,0,..,8,0,12,0,12,..,0,0,0,0,0,..,0,0,3,0,3,..,27,3,27,0,27,..,8,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,8,0,8,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,3,3,5,0,5,..,7,0,7,0,7,..,0
LGA22490,10119,..,..,..,..,10119,..,0,0,0,0,3,..,10,3,15,0,15,..,0,0,0,0,0,..,3,0,3,0,3,..,8,0,5,0,5,..,0,0,0,0,0,..,10,0,13,0,13,..,21,0,23,0,23,..,10,0,10,0,10,..,12,0,12,0,12,..,15,0,19,0,19,..,11,0,10,0,10,..,0,0,0,0,0,..,3,0,3,0,3,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,12,0,11,0,11,..,45,3,47,0,45,..,7,0,3,0,3,..,4,0,4,0,4,..,5,0,3,3,8,..,15,0,15,0,15,..,4,0,4,0,4,..,8,0,8,0,8,..,5,0,6,0,6,..,0,0,0,0,0,..,14,0,15,0,15,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0
LGA22620,47486,..,..,..,..,47486,..,33,0,33,0,33,..,81,5,85,0,85,..,9,0,9,0,9,..,42,9,55,0,55,..,146,62,209,3,210,..,18,0,17,0,17,..,207,68,277,3,284,..,11,0,13,0,13,..,24,0,25,0,24,..,30,0,30,0,30,..,58,0,58,0,58,..,71,9,76,0,76,..,28,0,27,0,27,..,95,3,94,0,94,..,108,10,113,0,118,..,51,0,51,0,51,..,36,0,32,0,34,..,60,5,62,0,62,..,368,21,388,3,385,..,95,10,104,0,104,..,15,0,15,0,15,..,23,10,30,0,30,..,3,0,3,0,3,..,13,0,13,0,16,..,13,3,18,0,18,..,9,0,9,0,9,..,14,4,21,0,21,..,9,0,9,0,9,..,4,4,8,0,8,..,49,0,52,0,51,..,19,0,19,0,19,..,38,0,38,3,45,..,7
LGA22670,23403,..,..,..,..,23403,..,33,0,33,0,33,..,1168,187,1351,10,1364,..,0,0,0,0,0,..,1494,691,2183,19,2200,..,1648,931,2579,20,2601,..,518,209,727,3,735,..,3666,1833,5499,39,5530,..,288,71,357,7,364,..,48,4,53,4,59,..,416,17,431,4,438,..,125,5,135,3,134,..,1416,328,1745,18,1758,..,324,27,355,4,354,..,1253,68,1324,4,1331,..,3137,261,3398,23,3426,..,1685,76,1760,16,1775,..,748,55,802,10,806,..,533,58,593,7,598,..,7683,548,8234,60,8293,..,875,189,1070,12,1084,..,58,12,72,0,72,..,143,66,209,0,209,..,141,30,169,3,174,..,91,8,94,3,99,..,367,161,523,5,530,..,263,58,324,11,331,..,166,51,214,3,211,..,301,43,344,4,349,..,805,263,1061,12,1077,..,273,3,281,0,285,..,215,33,251,0,251,..,422,17,434,0,440,..,177
LGA22750,93631,..,..,..,..,93631,..,86,0,86,0,82,..,308,64,374,8,380,..,11,0,11,0,11,..,173,43,216,3,220,..,686,181,867,4,876,..,61,28,85,0,85,..,912,253,1166,8,1173,..,855,145,1001,13,1009,..,209,6,218,3,218,..,157,4,166,3,165,..,356,8,365,4,369,..,413,57,468,9,479,..,64,3,67,0,67,..,309,7,320,3,320,..,384,31,413,3,419,..,128,6,138,0,138,..,138,10,148,0,148,..,183,5,194,7,197,..,1215,63,1278,9,1288,..,988,111,1099,26,1127,..,101,6,106,0,108,..,53,20,69,0,69,..,424,72,498,8,499,..,106,12,116,3,118,..,181,29,213,0,213,..,164,22,186,0,187,..,103,17,119,0,120,..,15,0,20,0,20,..,316,54,373,5,382,..,165,3,167,0,167,..,97,0,100,0,105,..,191,0,195,0,195,..,65
LGA22830,24189,..,..,..,..,24189,..,30,0,30,0,30,..,465,150,619,7,627,..,17,0,17,0,17,..,36,15,54,0,54,..,99,55,155,0,154,..,4,3,4,0,4,..,138,74,210,0,213,..,11,0,11,0,13,..,24,0,24,0,24,..,31,0,33,0,36,..,34,0,34,0,34,..,87,14,106,3,106,..,20,0,20,0,20,..,61,0,57,0,61,..,403,69,474,9,481,..,53,3,55,0,55,..,57,6,69,0,66,..,83,12,93,0,93,..,687,88,770,10,784,..,574,63,637,15,647,..,18,4,22,0,22,..,12,0,11,0,11,..,99,8,108,3,113,..,0,0,0,0,0,..,40,10,46,0,46,..,13,0,13,0,13,..,7,0,7,0,7,..,94,12,107,3,107,..,6,3,13,0,13,..,44,3,52,0,52,..,9,0,12,0,12,..,56,3,58,0,58,..,14
LGA22910,6391,..,..,..,..,6391,..,3,0,3,0,3,..,3,0,4,0,4,..,0,0,0,0,0,..,4,3,6,0,6,..,13,4,25,0,25,..,0,0,0,0,0,..,19,10,28,0,28,..,19,4,17,0,17,..,14,0,14,0,14,..,15,0,15,0,15,..,25,0,25,0,25,..,24,0,25,0,25,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,7,..,15,0,17,0,17,..,31,0,31,3,34,..,3,0,7,0,7,..,0,0,0,0,0,..,6,3,10,0,10,..,13,0,13,0,13,..,3,0,3,0,3,..,4,0,7,0,7,..,4,0,4,0,4,..,0,0,0,0,0,..,17,3,22,0,22,..,4,0,4,0,4,..,0,0,0,0,0,..,3,0,3,0,3,..,0
LGA22980,2516,..,..,..,..,2516,..,5,0,5,3,7,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,3,0,0,0,..,0,0,0,0,0,..,3,3,5,0,5,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,3,3,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,6,0,4,0,4,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,3,0,3,0,3,..,0
LGA23110,28894,..,..,..,..,28894,..,43,0,44,0,44,..,1336,201,1536,20,1557,..,0,0,0,0,0,..,330,97,430,3,435,..,413,157,570,3,578,..,34,15,46,0,46,..,776,269,1043,5,1054,..,300,50,355,4,357,..,44,9,57,0,57,..,92,11,95,0,100,..,153,10,160,3,160,..,969,163,1139,6,1147,..,81,5,90,0,90,..,433,25,460,5,463,..,466,41,503,3,506,..,63,0,59,0,59,..,189,10,199,3,200,..,198,5,204,0,204,..,1431,85,1513,13,1526,..,918,132,1047,18,1061,..,58,0,62,0,65,..,20,6,26,0,27,..,430,88,513,4,521,..,501,48,550,4,551,..,76,12,93,0,90,..,112,16,122,0,126,..,48,7,52,0,52,..,40,3,44,0,43,..,243,45,284,3,289,..,141,4,144,0,144,..,122,8,128,3,137,..,149,11,158,0,158,..,38
LGA23190,8700,..,..,..,..,8700,..,3,0,3,0,3,..,9,0,9,0,9,..,3,0,3,0,3,..,3,0,7,0,7,..,18,0,24,0,22,..,0,0,0,0,0,..,27,5,32,0,32,..,0,0,0,0,0,..,3,0,3,0,3,..,7,0,7,0,7,..,12,0,12,0,12,..,14,0,14,0,14,..,3,0,3,0,3,..,9,0,9,0,9,..,8,0,8,0,8,..,6,0,6,0,5,..,5,0,5,0,5,..,13,0,14,0,14,..,48,3,47,0,52,..,37,0,34,3,40,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,5,0,5,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,18,0,16,0,16,..,0,0,0,0,0,..,14,0,15,0,15,..,5
LGA23270,48583,..,..,..,..,48583,..,51,0,51,0,55,..,6534,1444,7984,86,8071,..,10,0,10,0,10,..,194,62,252,3,253,..,366,130,496,6,502,..,61,18,76,0,80,..,617,207,829,4,834,..,426,52,480,4,486,..,31,0,31,0,31,..,95,3,101,4,104,..,109,9,117,0,115,..,1165,180,1341,9,1351,..,195,11,202,0,202,..,1307,53,1362,7,1370,..,2457,281,2746,33,2772,..,1492,70,1560,10,1568,..,1467,90,1557,25,1580,..,588,128,713,9,723,..,7506,635,8144,76,8220,..,2418,264,2684,43,2725,..,32,7,39,0,39,..,34,10,39,0,39,..,296,31,322,3,324,..,441,28,469,4,478,..,192,79,271,7,277,..,156,14,174,0,174,..,40,6,48,0,48,..,852,83,935,16,952,..,239,37,278,0,280,..,348,6,359,3,358,..,96,6,107,5,107,..,567,19,584,3,592,..,175
LGA23350,7049,..,..,..,..,7049,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,10,0,10,0,10,..,3,0,3,0,3,..,13,0,13,4,13,..,20,0,23,0,26,..,4,0,4,0,4,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,22,0,22,0,22,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,3,0,3,..,0
LGA23430,51052,..,..,..,..,51052,..,109,3,111,0,112,..,527,76,606,8,612,..,3,0,3,0,3,..,565,188,750,4,754,..,1501,561,2053,12,2067,..,262,107,372,0,370,..,2326,854,3177,22,3197,..,177,20,200,3,208,..,83,6,86,0,86,..,349,15,362,4,365,..,297,14,308,4,314,..,2684,563,3249,22,3274,..,95,0,95,0,95,..,660,18,681,3,687,..,716,45,756,6,768,..,307,6,318,0,318,..,143,6,146,3,147,..,340,15,351,4,355,..,2262,89,2354,20,2371,..,956,121,1080,14,1096,..,180,29,203,3,206,..,96,54,152,0,153,..,50,10,58,0,58,..,38,0,39,0,39,..,80,20,101,3,104,..,265,38,309,3,305,..,736,151,885,7,894,..,25,4,22,0,22,..,209,21,227,0,227,..,190,5,200,0,197,..,107,9,120,0,119,..,241,6,248,0,245,..,79
