LGA_CODE_2016,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
LGA21270,23,8,0,0,38,19,0,0,0,24,9,5,3,0,13,4,0,9,0,17,61,15,20,0,92,24,10,27,0,60,158,27,26,4,213,81,38,30,4,157,89,55,9,3,159,69,56,7,0,131,29,54,6,0,94,42,33,7,3,78,62,72,3,4,146,27,47,0,0,71,18,14,0,0,33,4,8,0,0,6,9,16,0,0,27,54,90,7,0,157,25,5,7,0,40,794,561,185,21,1558
LGA21370,79,15,15,3,107,46,11,10,0,65,34,16,40,0,87,23,5,65,0,88,241,28,108,3,380,109,46,189,3,341,778,96,187,16,1076,393,180,172,11,752,499,301,164,9,971,455,401,108,11,973,239,305,76,10,635,281,350,50,5,690,447,570,52,11,1078,202,336,25,0,567,89,208,7,0,312,36,86,7,0,138,98,166,9,0,271,246,565,130,5,950,127,54,44,10,227,4413,3742,1463,108,9720
LGA21450,139,57,58,8,258,61,14,23,0,99,47,37,98,3,187,28,19,142,0,188,298,76,228,8,615,171,108,466,14,758,1010,226,425,14,1682,606,470,429,23,1535,720,889,452,36,2096,754,1168,352,29,2302,516,1112,256,14,1896,626,1229,180,21,2050,1168,2147,244,39,3592,645,1497,91,22,2263,308,799,50,5,1166,151,491,29,9,674,254,845,25,3,1124,494,1368,362,16,2233,177,136,88,4,400,8165,12683,3998,277,25127
LGA21610,598,278,282,16,1173,215,79,118,17,429,186,190,357,29,758,103,114,435,10,664,903,428,648,36,2014,549,669,1170,52,2439,2760,1191,1164,76,5185,1596,2039,1310,93,5042,1994,3451,1357,123,6927,2013,3967,1096,125,7203,1366,3934,808,92,6196,1491,3820,600,103,6013,3127,7496,823,118,11565,1617,4797,344,57,6813,749,2612,166,36,3559,378,1617,101,9,2102,564,2631,105,15,3317,1250,4497,1038,60,6849,520,446,261,19,1251,21983,44260,12171,1083,79494
LGA21670,33,3,11,0,39,14,0,9,0,23,17,9,30,0,51,6,0,41,0,43,130,10,69,9,217,70,30,106,3,207,415,47,84,3,551,181,82,97,11,365,187,132,66,6,392,138,132,31,6,303,64,100,15,0,183,72,71,14,0,162,92,141,13,0,248,38,71,12,0,116,18,35,0,0,52,7,8,8,0,19,15,24,0,0,36,99,148,49,0,293,63,16,27,0,103,1629,1063,673,36,3407
LGA21750,28,11,7,0,48,28,3,7,0,38,20,5,28,3,60,15,0,48,0,62,115,17,62,4,189,66,31,117,4,216,330,59,104,3,493,226,92,94,20,433,296,175,80,12,563,229,228,67,10,535,121,197,31,7,353,154,208,30,3,399,249,333,35,7,621,101,194,11,4,303,61,100,9,0,163,24,42,5,0,70,50,67,10,7,137,143,249,76,3,472,51,25,24,6,114,2310,2042,830,87,5275
LGA21830,36,17,7,0,67,28,9,11,0,49,17,9,14,0,43,4,6,25,0,37,115,28,48,3,192,49,26,64,3,142,281,45,66,4,393,172,88,69,8,327,215,174,68,4,461,172,143,38,7,359,90,118,28,8,239,99,145,9,5,251,173,223,25,3,418,85,154,12,0,247,44,71,5,0,119,22,38,3,0,66,72,92,3,3,167,123,228,66,3,417,63,23,26,7,114,1858,1635,574,55,4118
LGA21890,289,92,113,27,525,154,37,55,14,264,105,70,176,31,384,54,39,186,12,292,684,151,281,41,1153,269,259,451,47,1024,1611,400,526,97,2630,743,651,602,100,2096,930,982,636,110,2663,971,1125,463,106,2662,663,1044,339,65,2109,737,1019,292,64,2109,1595,2154,376,107,4233,1238,1698,147,51,3133,742,1225,73,23,2069,488,920,110,18,1536,858,2342,69,24,3300,863,1576,487,37,2967,261,172,141,25,601,13261,15959,5521,1002,35748
LGA22110,86,12,18,3,124,59,12,14,0,93,54,15,54,4,127,38,7,88,0,137,369,36,147,9,564,215,55,221,0,493,1154,141,234,16,1545,621,237,207,26,1083,742,401,186,24,1342,618,436,122,11,1189,294,394,65,10,766,295,308,58,9,666,477,525,47,8,1057,220,302,20,5,544,117,137,0,0,248,54,90,5,0,156,108,141,12,0,259,432,571,169,9,1180,186,47,54,3,282,6137,3866,1721,128,11854
LGA22170,159,60,103,10,329,80,26,52,3,162,75,40,168,7,288,46,21,234,3,306,453,79,430,19,977,295,152,707,18,1173,1446,294,758,51,2544,901,564,814,73,2349,1123,1002,859,72,3050,1054,1267,654,85,3060,742,1320,508,61,2623,754,1354,314,41,2466,1738,2680,418,55,4891,1036,1930,161,35,3163,493,1112,76,17,1695,268,669,59,3,996,363,1123,51,13,1548,761,1735,741,23,3262,282,190,179,13,664,12058,15607,7275,604,35552
LGA22250,19,9,0,0,32,20,8,3,0,33,13,8,20,0,39,12,0,16,0,29,99,14,24,4,136,47,19,35,0,103,258,35,41,4,344,161,69,35,3,275,169,96,32,10,302,160,102,21,3,288,55,79,10,0,148,95,93,11,3,195,102,134,10,3,246,37,78,3,0,117,17,36,0,0,58,7,16,0,0,26,20,35,0,3,63,72,153,38,0,269,45,13,8,0,73,1406,1004,322,33,2771
LGA22310,285,91,167,21,555,128,34,41,21,224,89,42,108,17,250,55,22,117,10,205,404,79,174,18,677,252,150,277,17,693,1101,259,299,46,1713,704,387,388,67,1539,961,699,445,64,2168,1006,731,371,77,2182,655,829,297,46,1823,756,960,277,48,2031,1595,2084,415,84,4184,1250,1863,151,41,3306,782,1650,62,26,2526,606,1411,138,18,2171,1293,4633,109,19,6053,771,2049,503,26,3347,243,191,79,15,529,12927,18154,4409,696,36183
LGA22410,20,12,6,0,33,26,3,8,0,35,29,3,26,0,61,18,0,35,3,55,108,21,59,4,194,70,27,100,5,198,381,50,103,8,541,204,100,97,16,411,252,159,77,5,499,214,154,62,5,434,133,159,22,0,318,151,145,24,5,324,238,276,32,3,548,136,211,14,0,358,74,91,3,0,172,45,54,8,0,101,69,86,5,3,164,124,294,86,3,502,92,19,28,6,136,2370,1860,790,62,5084
LGA22490,25,6,9,0,41,19,3,8,0,29,19,9,21,3,46,8,4,21,0,36,100,19,53,3,180,78,27,71,0,180,317,68,72,3,456,181,93,81,10,357,233,210,69,0,511,225,276,49,4,553,128,272,38,0,448,137,288,22,0,442,282,497,28,8,808,158,356,9,0,529,67,182,4,0,246,35,107,9,0,148,57,183,3,0,239,142,376,70,0,588,41,42,9,0,94,2238,3015,644,45,5939
LGA22620,98,31,63,4,187,94,10,40,10,158,60,18,140,9,231,26,13,217,3,264,489,108,330,23,955,275,106,656,27,1064,1675,260,689,62,2687,1002,523,658,48,2238,1248,854,592,68,2769,1185,1102,413,47,2741,679,1062,277,31,2047,684,1019,175,34,1909,1278,1854,221,29,3384,691,1312,68,17,2083,394,733,17,5,1144,167,449,27,0,650,326,698,33,3,1055,687,1269,484,27,2458,273,102,107,14,490,11327,11516,5211,464,28521
LGA22670,423,309,296,32,1063,152,80,84,13,327,160,168,309,23,661,88,127,283,19,512,805,463,444,53,1765,444,582,660,36,1724,1959,1010,747,92,3813,946,1384,816,109,3261,1174,1943,765,159,4040,991,1903,572,102,3572,632,1584,429,72,2717,652,1423,315,54,2443,1053,2422,383,106,3968,490,1511,166,27,2188,232,724,55,27,1040,125,483,44,9,655,147,663,49,6,867,669,1843,604,49,3168,286,220,157,26,689,11414,18850,7194,1012,38473
LGA22750,299,81,147,20,549,180,51,93,5,333,157,77,287,19,537,98,41,367,17,524,1130,186,706,37,2053,592,276,1177,36,2079,3309,558,1173,82,5122,2026,879,1205,102,4208,2413,1550,1229,112,5304,2168,1969,855,109,5104,1261,2084,600,58,3996,1419,2169,455,61,4097,2765,4233,562,85,7646,1661,2939,185,30,4817,829,1861,71,20,2788,446,1111,96,6,1654,909,2272,81,8,3275,1457,2957,916,50,5380,561,278,250,19,1104,23674,25562,10451,872,60567
LGA22830,100,50,46,5,202,60,12,12,4,91,41,36,74,7,152,24,21,117,0,166,300,118,208,10,631,173,131,339,9,653,933,199,348,22,1502,478,331,347,21,1183,672,538,318,23,1556,597,592,234,20,1439,341,596,125,18,1073,395,571,96,14,1081,678,1067,116,22,1878,408,692,46,6,1144,171,382,10,0,562,75,215,14,0,300,175,388,15,0,576,403,836,248,17,1501,175,101,90,10,373,6197,6855,2800,206,16060
LGA22910,24,9,6,0,36,22,0,3,0,29,19,4,18,0,44,3,4,13,0,24,88,15,44,3,152,65,26,72,0,159,304,42,86,0,440,202,96,69,10,373,218,151,76,0,445,185,157,35,8,381,92,132,26,0,254,86,116,18,0,220,201,185,20,0,405,113,118,3,0,237,45,46,5,0,95,36,41,6,0,78,66,57,4,0,131,126,180,63,4,377,49,16,19,0,81,1945,1391,591,35,3962
LGA22980,15,6,0,0,24,15,4,0,0,16,3,8,3,0,14,3,0,8,0,15,41,3,9,3,58,28,12,20,0,63,142,27,22,7,198,64,37,26,3,129,89,46,23,3,162,87,51,13,0,151,19,51,6,0,77,43,49,8,0,98,61,80,3,0,142,39,40,3,0,81,12,23,0,0,33,11,7,0,0,18,19,14,0,0,31,55,66,20,0,141,15,6,10,0,32,770,525,174,22,1492
LGA23110,152,61,77,8,304,97,18,32,4,150,57,57,111,11,238,28,29,107,0,164,356,117,188,23,686,153,136,296,24,612,898,222,330,43,1490,522,369,394,44,1324,592,541,446,56,1635,538,698,324,61,1626,383,739,266,33,1427,455,702,210,36,1406,984,1487,310,48,2841,739,1192,125,37,2092,482,997,52,18,1552,335,755,66,3,1158,649,1816,51,13,2537,542,1207,363,23,2131,188,128,82,11,406,8163,11271,3836,510,23780
LGA23190,28,9,8,0,45,14,6,8,3,29,19,3,13,0,35,9,4,37,0,51,98,12,64,3,179,50,28,113,3,190,291,50,102,3,454,221,97,104,10,431,250,169,99,14,531,236,217,59,14,532,131,193,40,4,371,146,194,21,6,374,254,318,21,7,594,133,180,16,3,330,58,104,0,0,171,31,47,4,0,81,72,99,7,0,176,142,292,56,0,495,50,22,17,3,91,2237,2035,807,70,5150
LGA23270,377,281,206,15,875,138,86,98,14,338,115,206,305,20,648,81,130,353,3,565,752,627,556,34,1967,390,743,812,40,1981,1849,1163,933,70,4015,952,1723,999,89,3757,1213,2398,980,116,4714,1134,2435,800,68,4432,784,2187,537,62,3577,831,2173,409,50,3462,1666,4040,543,67,6315,910,2499,278,39,3725,429,1545,91,16,2091,262,968,76,9,1316,293,1516,86,6,1898,756,2872,857,39,4518,331,377,223,23,951,13258,27969,9140,780,51143
LGA23350,15,3,14,0,27,13,4,7,0,21,17,5,14,0,35,3,3,31,0,38,76,9,39,0,123,42,24,51,0,124,271,41,70,4,388,182,58,65,8,305,218,119,62,6,400,189,158,47,3,404,126,136,23,0,283,124,145,26,0,300,259,268,21,0,544,135,214,13,0,363,67,118,0,3,189,18,80,4,0,97,68,96,5,0,168,134,230,67,3,432,45,27,13,0,83,1990,1732,564,36,4321
LGA23430,276,74,111,20,482,142,40,43,10,235,103,68,134,18,317,66,46,165,3,283,603,100,275,31,1011,293,171,420,20,907,1644,308,505,48,2504,1018,550,655,69,2293,1213,919,691,85,2905,1118,1208,560,85,2978,719,1145,504,42,2407,798,1369,388,46,2600,1765,3064,526,74,5433,1291,2564,199,41,4095,751,1812,99,22,2681,485,1280,93,7,1858,780,2697,78,13,3563,912,2122,634,27,3696,289,197,105,21,608,14261,19725,6179,680,40850
LGA23670,326,87,120,3,534,136,24,51,5,218,109,50,137,11,304,68,32,153,10,255,548,141,264,17,967,377,215,522,20,1137,1684,403,599,42,2724,1072,659,697,61,2488,1383,1214,721,66,3385,1194,1521,585,60,3369,863,1553,455,47,2923,864,1701,346,42,2959,1827,3631,501,77,6033,1142,2720,213,41,4114,637,1719,102,27,2490,346,1170,61,9,1582,486,2209,93,7,2796,795,2352,615,26,3787,279,205,135,9,636,14126,21616,6381,576,42699
LGA23810,90,31,36,7,166,64,13,24,4,109,48,26,124,3,200,30,13,217,3,258,414,84,318,16,834,222,77,558,17,873,1219,213,459,18,1912,621,330,406,41,1397,693,505,376,27,1608,681,591,209,16,1492,409,550,171,12,1135,437,591,120,13,1153,834,1082,139,24,2075,462,764,69,12,1297,285,458,16,0,763,172,298,23,0,492,273,601,25,3,896,496,930,336,14,1775,206,91,108,12,419,7651,7223,3744,239,18854
LGA23940,17,7,5,0,29,17,3,0,0,28,5,4,5,0,15,6,0,13,0,21,68,12,16,0,104,33,17,28,0,75,188,35,31,3,256,100,49,27,6,179,109,62,39,0,207,82,69,10,0,156,44,64,16,3,120,44,55,10,0,105,70,69,3,0,145,35,36,0,0,75,17,20,0,0,35,8,11,0,0,20,16,21,5,0,38,88,96,25,0,214,28,9,13,0,49,982,633,238,21,1877
LGA24130,58,16,16,4,96,34,7,8,0,58,26,9,34,0,74,21,5,55,0,87,176,29,74,4,280,102,49,111,0,255,484,92,140,8,726,366,123,145,15,654,499,270,170,18,954,433,342,130,5,911,288,432,111,3,829,258,443,74,3,779,569,940,100,6,1618,383,752,36,3,1174,234,495,27,0,755,159,425,20,0,606,317,791,15,0,1135,307,804,192,9,1303,94,58,31,0,180,4812,6084,1481,95,12474
LGA24210,389,137,234,32,783,195,56,60,15,317,98,73,107,12,289,48,60,109,10,231,579,111,150,22,874,295,179,252,23,760,1333,336,309,39,2021,893,525,360,41,1821,1068,765,425,47,2302,934,898,344,43,2218,564,934,264,27,1795,657,968,228,26,1875,1090,2045,303,44,3482,751,1684,157,22,2611,500,1312,89,16,1923,373,1128,86,9,1600,850,3118,120,19,4104,723,2088,428,24,3258,266,176,68,9,516,11609,16586,4092,481,32771
LGA24250,19,0,9,0,29,10,0,3,0,15,12,0,6,0,22,6,0,11,0,24,60,4,15,0,85,37,9,32,0,75,176,13,24,3,212,86,44,22,3,157,124,60,37,3,231,113,71,14,0,208,56,71,17,0,142,54,77,15,0,143,85,110,11,0,202,54,81,0,3,135,31,39,3,0,65,11,16,0,0,31,23,35,0,0,62,82,135,33,0,249,28,12,5,0,44,1071,776,268,21,2132
LGA24330,163,66,83,18,336,58,18,49,10,139,68,43,133,14,252,39,51,109,6,206,284,100,165,34,583,154,138,251,40,585,591,263,295,68,1204,348,364,318,62,1088,512,516,353,90,1470,501,542,217,55,1317,438,504,196,44,1175,457,523,159,51,1187,1007,1140,200,60,2415,774,991,98,43,1910,537,758,50,14,1367,411,561,51,12,1035,679,1272,37,17,2000,513,736,254,35,1539,97,66,61,11,241,7624,8661,3072,681,20044
LGA24410,185,57,92,6,332,76,21,32,13,145,77,38,116,5,234,32,20,123,0,184,343,96,224,17,681,215,125,357,31,733,1045,270,405,28,1746,766,403,494,36,1698,970,751,508,68,2292,878,914,434,47,2275,574,956,322,27,1883,663,1125,261,31,2077,1356,2369,351,53,4135,936,1968,181,37,3126,575,1251,75,9,1905,344,829,49,7,1222,444,1654,65,4,2168,587,1466,479,22,2560,175,104,90,15,386,10240,14422,4665,452,29783
LGA24600,680,60,191,463,1392,134,22,68,81,306,129,29,142,87,389,87,21,112,39,265,264,63,133,84,545,234,84,168,72,558,498,110,170,132,906,546,168,184,134,1033,819,232,237,184,1472,875,273,140,148,1431,716,338,114,88,1249,831,266,108,81,1286,1927,705,171,148,2959,1456,449,67,95,2069,1056,409,34,51,1549,858,422,97,32,1403,2182,1289,70,47,3599,1109,624,192,48,1968,99,44,65,19,225,14514,5607,2453,2040,24609
LGA24650,243,125,164,12,541,83,47,52,8,198,79,71,170,14,329,38,40,254,6,331,404,172,347,25,947,218,266,642,22,1149,1155,437,646,38,2282,616,814,649,38,2116,835,1400,669,65,2972,776,1712,522,51,3063,566,1677,371,32,2652,660,1668,272,32,2639,1343,3301,385,59,5090,749,2221,146,19,3143,385,1311,78,11,1785,185,801,43,4,1045,251,1177,47,7,1485,543,1873,510,14,2947,221,249,141,8,621,9361,19366,6132,464,35323
LGA24780,85,27,29,3,138,57,18,22,0,102,35,29,88,3,156,27,9,120,0,161,265,61,208,17,546,150,84,304,16,551,947,156,327,28,1453,483,294,318,31,1125,583,458,241,28,1305,587,510,166,23,1287,301,479,125,9,910,378,478,61,4,917,604,805,75,9,1493,282,517,26,6,830,141,270,9,3,415,61,153,11,0,222,121,254,16,0,392,383,741,231,13,1367,203,83,88,3,373,5681,5432,2461,189,13763
LGA24850,68,16,25,3,108,31,6,17,3,52,44,13,49,4,103,18,11,64,0,91,147,31,108,3,285,91,53,238,5,384,482,72,194,11,764,284,201,204,13,699,363,352,183,6,909,372,398,136,14,921,188,466,111,10,770,242,446,85,10,784,480,844,91,13,1426,283,581,42,8,921,156,298,14,3,474,67,172,19,0,261,113,295,9,3,424,247,607,187,9,1048,99,81,39,8,221,3777,4947,1810,119,10643
LGA24900,48,13,14,4,75,32,13,13,0,59,26,18,43,3,91,12,11,49,0,76,234,25,107,8,364,105,39,146,4,286,656,75,150,9,885,337,118,165,8,625,399,244,108,9,755,361,274,88,8,737,181,262,54,7,499,204,259,32,6,501,312,420,35,4,763,151,238,17,8,402,75,126,4,0,209,27,64,4,0,99,68,114,9,0,190,225,408,106,8,745,128,43,31,0,204,3579,2747,1164,82,7579
