LGA_CODE_2016,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_0_4,F_Hong_Kong_5_14,F_Hong_Kong_15_24,F_Hong_Kong_25_44,F_Hong_Kong_45_54,F_Hong_Kong_55_64,F_Hong_Kong_65_74,F_Hong_Kong_75_84,F_Hong_Kong_85ov,F_Hong_Kong_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot
LGA22620,0,11,31,85,36,11,8,0,0,178,0,0,0,3,3,3,8,3,0,15,0,0,3,13,6,0,0,0,0,31,3,28,21,101,175,220,201,141,68,960,0,0,3,17,9,6,0,0,0,35,0,0,0,4,3,0,0,0,0,13,0,0,3,11,13,17,41,21,13,125,0,0,0,0,0,7,4,11,4,26,0,0,4,7,3,3,0,0,0,19,10,20,31,212,18,16,10,3,3,330,0,0,7,21,12,7,3,0,0,54,3,9,3,5,0,0,0,0,0,28,0,0,0,4,0,0,0,0,0,15,0,4,6,21,4,9,13,7,3,61,0,0,0,4,6,16,22,15,6,63,0,0,0,10,8,3,0,0,0,23,0,3,3,15,0,0,0,0,0,28,0,0,0,4,4,0,0,0,0,10,0,5,6,17,22,13,9,3,0,76,0,0,0,3,0,4,5,6,0,20
LGA22670,21,52,249,998,438,362,168,140,88,2517,0,0,13,76,57,101,92,77,23,438,7,28,11,31,20,48,36,26,13,212,3,31,14,65,102,140,236,180,79,853,3,5,25,129,81,47,30,20,6,341,0,0,5,11,4,0,3,4,3,36,0,3,36,19,15,29,77,78,29,283,0,20,14,58,80,150,340,205,46,909,0,9,25,112,29,32,15,0,0,210,113,356,563,3239,439,369,254,137,64,5531,6,21,36,195,48,32,16,3,0,358,9,99,96,153,27,17,5,0,0,396,0,16,13,59,31,17,11,0,3,142,3,11,0,13,6,16,13,8,6,87,0,3,8,16,43,108,274,337,153,942,0,9,4,44,15,5,3,0,3,88,7,3,25,133,16,4,0,0,0,191,0,7,23,80,68,56,47,17,9,312,32,71,80,282,82,67,40,11,3,668,0,0,0,0,5,17,58,44,18,144
LGA22750,8,41,140,381,95,77,36,12,7,791,0,3,12,65,99,121,199,163,39,697,0,3,8,14,3,10,14,3,0,49,22,159,131,505,667,842,902,584,291,4095,0,0,6,26,18,4,3,3,0,66,0,4,11,28,6,11,10,9,3,70,0,6,9,58,32,116,271,127,101,721,0,0,0,8,22,38,83,59,21,224,3,10,21,36,5,12,7,0,0,91,21,65,87,623,48,58,22,17,16,956,0,7,20,66,29,10,16,4,4,149,3,40,32,104,18,13,3,0,0,213,4,21,3,51,12,3,3,0,0,100,6,17,9,74,44,44,44,29,11,261,0,5,6,15,61,129,218,251,108,797,3,10,3,52,14,6,5,3,3,102,0,3,11,53,3,0,0,0,0,74,0,3,0,3,14,8,3,3,0,36,3,8,39,105,44,47,10,4,3,267,0,0,0,4,3,33,69,23,6,142
LGA22830,0,5,13,41,16,4,8,0,0,84,0,0,0,0,3,4,9,0,0,12,0,5,0,0,0,0,0,0,0,12,0,9,14,60,54,107,113,60,23,440,0,4,4,16,0,0,0,0,0,21,0,0,0,0,0,3,0,0,0,8,0,0,3,12,4,13,22,8,3,61,0,0,3,3,3,4,26,33,8,84,0,0,5,20,0,0,0,0,0,28,13,37,39,375,41,37,14,3,0,565,0,0,0,11,0,0,0,3,0,21,3,23,10,20,0,0,0,0,0,55,3,11,43,126,36,5,4,0,0,226,0,4,0,9,6,3,4,7,0,33,0,0,0,6,19,72,130,126,71,425,0,0,0,7,0,0,0,0,0,6,0,0,0,11,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,6,0,3,11,67,13,14,3,0,0,105,0,0,0,0,0,0,6,0,0,4
LGA22910,0,0,0,4,0,0,3,0,0,10,0,0,0,0,3,3,3,7,0,16,0,0,0,0,0,3,0,0,4,7,0,7,8,30,54,85,88,53,19,341,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,3,0,0,14,0,0,0,11,3,4,22,15,9,63,0,0,0,0,0,0,5,3,3,6,0,0,0,3,0,0,0,0,0,3,0,0,0,6,0,3,4,3,0,24,0,0,0,0,0,0,3,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,0,15,0,0,0,4,0,3,5,8,0,20,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,10,0,0,0,0,0,3,6,3,0,16
LGA22980,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,20,17,5,9,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA23110,6,12,53,311,96,78,27,21,3,611,0,3,3,23,33,48,81,72,16,283,3,5,0,12,8,17,22,10,5,80,15,72,30,342,278,282,236,137,66,1459,0,7,0,25,18,11,4,4,0,66,0,0,4,35,8,7,3,8,0,62,4,6,5,50,29,20,91,38,18,265,0,0,3,15,50,93,178,163,59,560,0,0,7,43,14,12,4,0,0,80,37,73,86,722,69,47,36,19,3,1097,0,13,7,96,21,7,6,3,0,154,0,7,3,48,11,4,0,0,0,72,0,0,0,20,8,3,0,0,0,27,0,10,9,86,24,26,17,22,15,204,0,6,8,32,47,117,193,265,118,788,3,3,4,63,19,3,3,3,0,102,0,4,6,29,4,3,0,0,0,50,3,3,32,196,78,81,46,21,8,464,4,16,3,117,34,32,14,3,0,215,0,0,4,14,30,134,226,162,40,613
LGA23190,0,0,0,12,4,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,20,15,34,37,14,11,137,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,17,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,3,4,6,3,40,3,3,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,0,0,0,3,0,3,6,14,10,34,0,0,0,3,3,0,0,0,0,5,0,0,3,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
LGA23270,4,14,24,207,93,56,31,14,4,445,0,0,0,22,52,97,103,51,11,344,6,24,35,85,67,93,91,56,9,472,0,64,42,198,302,307,294,178,71,1443,0,16,35,210,93,75,40,13,4,483,0,3,4,11,17,9,6,7,3,53,0,4,14,42,29,41,105,32,30,301,0,10,32,38,54,87,187,122,30,563,0,3,9,37,16,15,0,0,0,84,76,205,292,2630,313,262,144,65,24,4012,0,16,9,91,17,11,0,3,0,150,10,57,54,153,38,21,20,11,0,353,28,405,779,2318,844,507,239,124,32,5275,0,9,7,35,23,24,11,9,10,130,0,4,15,44,173,404,476,317,108,1542,3,4,0,25,11,0,0,0,4,51,0,0,5,32,5,0,0,0,0,47,20,43,112,609,443,246,119,47,16,1651,5,13,25,99,41,43,19,8,3,255,0,0,4,24,45,163,227,89,30,591
LGA23350,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,3,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,30,41,66,58,31,16,248,0,0,0,0,0,4,3,0,0,4,0,3,0,3,0,0,0,0,0,10,0,0,0,4,13,15,14,8,4,61,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,5,0,4,0,0,3,0,0,13,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,7,0,0,0,0,0,6,5,3,0,13,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
LGA23430,21,93,372,990,351,275,96,73,18,2278,0,0,3,20,19,34,62,40,3,188,0,3,9,22,21,59,62,31,20,232,29,182,166,610,584,460,489,302,172,2999,0,0,9,69,56,44,16,7,0,191,0,3,12,44,21,8,8,7,3,101,10,3,17,77,59,29,90,65,34,385,3,41,42,73,143,249,492,416,95,1554,0,3,17,76,25,53,18,3,0,194,39,84,196,1218,326,231,166,99,24,2378,0,6,25,98,16,18,12,3,4,183,0,4,7,59,7,7,0,0,3,87,0,0,6,23,15,3,3,0,0,48,4,25,8,105,53,25,47,30,5,300,0,4,15,37,48,136,259,207,77,788,3,18,21,105,58,16,7,0,3,228,0,0,24,99,20,6,3,0,0,157,0,0,6,29,35,41,17,14,3,145,3,8,26,149,60,60,42,13,3,373,0,0,0,3,5,17,28,24,10,91
LGA23670,25,147,255,1733,547,384,152,83,36,3356,0,0,0,4,20,36,34,23,4,123,0,10,8,50,51,66,51,21,8,269,6,69,89,331,514,593,687,421,186,2889,0,5,10,48,32,24,13,6,0,135,0,0,0,12,14,9,12,6,5,51,0,9,24,57,43,64,169,160,96,614,0,3,0,17,32,66,91,49,10,278,13,27,63,248,139,158,45,6,3,695,12,92,171,927,329,222,112,70,16,1950,0,11,30,173,54,32,28,9,0,337,3,18,30,154,37,30,13,3,0,286,0,4,13,21,9,9,8,3,0,65,0,7,6,29,33,47,35,32,9,204,0,0,3,17,60,122,141,119,39,520,0,15,11,43,21,10,3,3,0,99,3,29,37,152,55,22,6,3,0,305,0,3,3,14,26,36,6,8,0,91,19,96,165,538,327,352,168,67,16,1741,0,0,0,3,9,30,34,16,3,91
LGA23810,0,7,27,60,25,11,10,4,0,139,0,0,0,3,10,3,13,5,3,35,0,5,0,3,0,5,0,4,0,13,7,11,10,55,144,239,304,210,91,1067,0,0,3,8,4,3,0,0,0,14,0,0,0,0,3,4,3,4,0,20,0,3,3,13,14,34,116,47,26,241,0,0,0,5,3,10,12,17,3,49,0,5,0,5,3,4,0,0,0,17,6,13,7,79,12,9,5,3,3,137,0,0,0,8,7,4,3,3,0,23,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,7,0,0,0,4,5,12,6,10,3,49,0,0,0,0,14,68,82,101,47,313,0,0,0,3,4,0,3,0,3,11,0,0,0,9,0,5,0,0,0,13,0,0,0,0,3,3,0,0,0,5,3,5,6,18,13,7,8,0,0,55,0,0,0,3,3,39,65,39,10,156
LGA23940,0,0,0,3,3,0,3,0,0,8,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,17,31,24,10,7,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,0,16,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,4,3,0,0,5
LGA24130,0,3,5,20,8,3,4,0,0,55,0,0,0,0,4,13,4,7,0,36,0,0,0,0,0,3,5,0,0,15,0,34,25,143,202,200,210,106,30,957,0,0,0,3,3,0,4,0,0,6,0,0,0,0,3,4,3,0,0,9,0,0,3,19,19,25,52,14,16,148,0,0,0,3,0,6,0,3,0,17,0,0,0,0,0,0,0,0,0,7,3,0,0,18,6,5,9,3,0,57,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,3,11,10,13,9,6,7,61,0,0,0,0,13,33,31,9,6,87,0,0,0,4,5,0,0,0,0,12,0,0,0,5,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,4,0,0,0,3,4,7,7,0,0,19,0,0,0,5,9,41,15,3,0,72
LGA24210,45,241,664,2384,1088,831,368,218,118,5959,0,0,0,11,25,19,55,43,11,167,0,7,17,70,48,78,61,44,13,343,9,76,71,161,208,234,232,183,84,1257,0,0,3,22,14,30,8,8,0,91,0,3,5,11,9,3,5,3,3,42,0,3,3,20,19,23,91,55,32,236,0,20,25,41,110,251,497,430,134,1519,10,44,95,507,262,433,176,52,9,1593,15,44,47,393,121,109,89,34,13,860,3,4,16,123,41,25,24,10,3,247,10,85,78,495,142,97,42,13,3,958,0,0,3,27,7,12,0,0,0,52,0,3,0,17,15,20,5,9,11,79,0,8,11,27,67,241,529,519,227,1634,0,18,6,48,23,6,12,3,4,124,9,34,80,170,89,39,10,5,0,437,0,0,3,33,53,71,32,18,3,208,6,120,195,646,382,388,233,79,27,2069,0,0,3,4,3,17,43,27,12,110
LGA24250,0,5,4,3,4,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,30,49,41,15,8,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,5,4,5,13,12,3,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3
LGA24330,5,18,318,510,159,129,48,42,24,1250,0,0,0,30,15,30,57,49,9,193,0,4,5,6,6,10,9,13,0,62,3,29,39,351,111,106,58,25,30,747,0,3,3,45,16,16,0,3,0,84,0,0,0,25,4,4,0,0,0,40,0,0,14,54,12,14,38,9,14,149,0,6,3,8,32,56,148,166,36,458,0,0,10,128,14,14,6,0,4,178,48,63,132,823,57,33,24,7,4,1206,6,8,23,124,10,12,10,0,0,186,0,7,0,41,5,4,0,3,0,55,0,4,5,16,6,5,0,0,0,34,0,3,0,73,14,8,7,3,8,121,0,3,4,37,26,52,127,155,78,485,0,3,11,102,10,3,4,3,0,138,0,3,6,89,13,5,0,0,0,121,0,0,3,13,11,10,10,6,0,56,18,19,66,241,37,25,14,3,0,417,0,0,0,3,7,24,27,14,10,91
LGA24410,13,75,132,936,216,202,77,31,3,1683,0,0,0,3,10,15,22,12,3,71,0,4,4,23,7,6,13,3,0,58,8,49,76,292,425,437,512,327,196,2316,0,0,10,23,14,14,8,0,0,68,0,0,0,15,7,8,7,3,0,46,0,8,7,43,37,49,100,73,33,353,0,4,0,10,7,33,35,23,3,124,3,12,18,119,34,38,6,3,0,232,19,80,45,551,83,50,48,17,11,906,0,7,9,73,19,9,6,5,0,129,0,22,21,142,29,18,14,4,0,252,0,0,0,9,4,3,0,0,0,20,3,9,0,24,14,19,28,17,8,123,0,0,5,19,16,52,68,55,34,246,0,6,0,39,6,7,8,5,0,68,3,8,12,70,16,6,9,0,0,131,0,0,0,12,10,5,3,0,0,30,35,76,31,176,82,74,33,17,7,535,0,0,3,5,6,21,19,17,0,63
LGA24600,29,87,7824,3827,549,263,117,102,51,12851,0,0,0,18,12,12,11,5,4,72,3,8,7,19,5,18,15,12,6,89,9,27,224,553,192,159,128,38,22,1369,0,0,7,42,8,5,10,0,0,74,3,0,66,161,13,10,7,8,0,267,0,5,45,109,23,19,30,14,7,247,0,0,3,27,16,23,16,25,9,116,5,11,372,473,59,60,22,9,0,1017,166,94,315,1786,62,45,23,7,0,2508,0,16,1086,609,29,23,26,3,0,1785,5,3,18,220,14,8,6,0,0,265,0,0,3,18,3,3,0,0,0,28,4,3,17,144,15,8,7,4,3,203,0,3,64,182,29,50,64,63,62,514,7,4,182,448,55,13,6,0,0,722,8,14,503,1030,46,13,4,0,0,1623,0,0,3,19,4,4,9,3,0,34,10,22,1679,1394,135,121,59,21,5,3445,0,0,0,3,0,11,19,7,3,45
LGA24650,4,12,32,252,81,61,19,14,3,477,0,0,6,50,100,103,65,29,10,362,5,55,25,139,52,63,44,12,6,404,0,51,41,189,278,289,243,149,61,1302,0,20,20,137,57,31,12,3,0,277,0,0,0,5,4,10,3,0,3,31,0,3,14,27,17,36,103,31,12,248,0,5,0,15,36,46,42,26,9,175,0,9,10,41,12,9,0,0,0,79,27,150,166,1548,236,176,87,27,17,2433,0,15,15,108,29,19,3,0,0,181,0,8,7,36,17,0,4,8,0,81,4,23,27,70,24,16,6,3,0,168,5,11,5,26,12,13,24,8,9,109,0,3,10,30,87,149,122,52,15,463,0,3,9,27,13,0,4,0,0,50,3,9,7,53,11,3,0,0,0,87,0,3,11,53,43,32,8,3,0,161,5,31,12,135,44,31,9,5,0,272,3,8,25,110,92,304,294,88,20,947
LGA24780,0,3,14,28,6,4,3,0,0,64,0,0,0,0,3,5,8,7,6,38,0,0,0,0,0,0,0,0,0,3,0,3,21,56,78,77,82,44,20,384,0,0,3,8,0,0,0,0,0,18,0,0,6,3,0,3,0,0,0,11,0,0,4,10,4,10,34,3,4,69,0,0,0,0,3,3,24,32,7,70,0,0,4,15,0,5,3,0,0,32,4,7,8,126,10,7,5,4,0,171,4,0,0,7,0,0,0,0,0,7,0,3,0,3,0,0,0,0,0,10,0,0,3,7,5,0,0,0,0,20,0,3,0,8,0,3,0,0,3,19,0,0,0,7,21,37,99,108,40,309,0,0,3,17,0,0,0,0,0,18,0,0,8,18,0,0,0,0,0,24,0,0,0,0,3,0,0,0,0,3,0,8,23,60,3,3,0,0,0,98,0,0,0,0,0,3,0,0,0,3
LGA24850,0,3,38,28,9,4,0,0,0,75,0,0,0,4,9,3,3,3,0,20,0,0,0,0,0,4,3,3,0,12,0,14,17,71,121,118,130,65,14,560,0,0,0,10,3,0,0,0,0,21,0,0,0,3,3,0,0,0,0,5,0,0,3,11,7,8,33,11,6,77,0,0,0,0,7,4,6,3,0,17,0,0,0,4,3,0,0,0,0,10,7,3,6,90,4,10,5,0,0,122,0,0,0,9,0,0,0,3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,3,0,0,0,13,0,3,3,15,3,8,12,3,0,47,0,0,0,0,15,27,26,20,3,105,0,0,7,10,3,0,0,0,0,15,0,0,0,3,4,0,0,0,0,10,0,0,0,3,0,0,0,0,0,9,0,4,3,8,9,9,0,0,0,34,0,0,0,7,3,19,23,8,0,61
LGA24900,0,0,0,7,3,3,0,0,0,14,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,4,24,45,65,97,55,15,298,0,3,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,6,5,0,8,17,4,0,44,0,0,0,0,0,3,3,0,0,7,0,0,0,0,0,0,0,0,0,3,3,3,0,51,4,3,0,0,0,67,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,3,16,4,0,0,0,0,25,0,0,0,5,0,4,4,4,0,12,0,0,0,3,8,13,46,32,9,106,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,19,4,0,0,0,0,36,0,0,0,0,0,4,7,6,0,16
LGA24970,97,453,3467,4865,1660,1096,464,274,65,12436,0,0,0,12,22,38,55,62,14,204,3,13,9,42,37,58,100,66,30,358,30,76,124,254,265,248,299,245,129,1671,0,5,13,67,35,24,17,13,0,173,4,3,10,25,23,9,9,8,5,89,0,13,16,56,39,31,89,86,52,375,10,60,59,110,190,329,766,692,128,2347,18,41,243,410,199,259,106,29,3,1303,95,329,381,2386,556,330,199,111,52,4437,17,29,175,494,98,68,40,18,0,945,0,9,24,161,40,30,13,11,3,293,3,5,10,38,6,8,4,0,0,76,3,13,8,32,29,29,25,21,23,181,3,6,16,45,59,198,377,458,206,1375,5,40,47,191,81,27,24,14,3,429,11,95,199,487,193,68,22,10,4,1085,0,0,0,28,26,33,17,6,4,112,9,156,538,997,448,549,329,94,30,3155,0,0,0,0,3,18,39,12,6,84
LGA25060,4,21,182,434,153,129,47,64,43,1076,0,0,0,19,37,44,77,81,13,282,3,15,3,42,24,43,59,41,22,256,17,41,45,276,184,159,148,81,36,979,0,0,0,23,7,7,4,3,0,48,0,0,3,29,5,6,6,6,0,58,0,3,10,49,19,23,89,35,25,254,0,4,15,19,56,131,235,234,55,740,3,4,16,89,35,36,12,0,5,195,42,67,80,777,85,72,71,36,19,1249,0,4,30,91,9,10,6,3,4,149,3,21,18,118,17,16,9,3,4,206,0,3,3,25,11,8,0,0,0,46,4,8,5,101,29,21,23,15,7,205,3,17,22,88,130,392,778,849,316,2588,0,3,12,79,28,11,3,0,3,134,3,4,22,86,16,0,7,0,0,141,0,0,7,25,40,35,27,18,0,152,5,6,44,203,42,52,28,10,8,390,0,0,0,14,19,61,141,93,40,369
LGA25150,0,0,3,9,13,3,0,0,0,26,0,0,0,3,4,4,11,4,0,31,0,0,0,0,0,0,0,0,0,3,0,15,17,74,124,149,161,62,26,622,0,0,3,5,0,3,0,0,0,17,0,0,0,0,3,0,0,0,0,5,0,0,0,7,12,11,30,12,9,87,0,0,0,0,3,3,8,3,0,17,0,0,0,3,0,0,0,0,0,3,4,9,0,48,5,9,5,3,3,80,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,6,7,7,3,3,40,0,0,0,0,4,8,13,9,3,39,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,4,0,0,0,0,3,3,0,0,0,14,0,0,0,10,14,18,21,4,3,73
LGA25250,4,31,392,641,191,187,53,34,13,1545,0,0,0,26,26,28,48,57,22,204,3,17,9,42,21,54,62,65,40,308,16,56,111,670,216,179,118,89,50,1507,0,0,11,73,39,14,20,8,0,164,0,3,26,70,7,3,9,4,0,127,0,12,25,132,40,15,64,23,36,345,3,23,19,59,104,275,549,616,195,1839,0,9,23,100,15,17,7,3,3,171,53,117,138,1195,81,72,49,22,15,1738,24,30,20,255,28,10,16,4,0,379,6,22,36,156,27,6,4,0,0,259,3,24,29,153,61,44,19,17,3,361,3,10,10,152,22,16,9,9,10,241,3,13,32,159,212,522,1044,1621,728,4341,0,8,24,178,36,10,6,4,0,263,0,4,15,127,15,3,0,0,0,170,7,15,58,378,322,288,167,64,25,1315,4,20,89,293,48,50,34,7,0,551,0,0,0,13,21,57,143,172,66,468
LGA25340,0,24,80,65,37,17,17,5,4,243,0,0,0,7,15,28,22,36,5,119,0,3,0,6,6,18,27,18,4,93,29,271,270,715,1094,1017,1325,949,350,6011,0,0,0,10,10,14,5,3,0,48,0,3,4,14,10,7,17,9,3,71,0,7,10,54,54,63,148,86,34,463,0,0,4,9,19,43,102,91,19,295,0,3,6,4,7,13,3,0,3,45,6,3,6,67,29,35,20,21,5,202,0,3,3,31,3,4,7,7,3,59,0,0,0,4,3,8,0,0,0,16,0,0,0,3,3,0,0,0,0,6,3,29,9,70,49,53,51,39,16,319,0,8,0,21,29,91,186,125,43,511,0,5,5,29,20,9,0,3,4,69,0,0,0,14,0,5,0,0,0,29,0,0,0,4,7,5,0,0,0,15,0,7,3,24,20,29,17,10,3,112,0,0,0,3,3,25,52,15,7,103
