LGA_CODE_2016,F_GrDi_GrCer_GrDi_Mng,F_GrDi_GrCer_GrDi_Pro,F_GrDi_GrCer_GrDi_TTW,F_GrDi_GrCer_GrDi_CPS,F_GrDi_GrCer_GrDi_CA,F_GrDi_GrCer_GrDi_Sal,F_GrDi_GrCer_GrDi_MOD,F_GrDi_GrCer_GrDi_Lab,F_GrDi_GrCer_GrDi_IDNS,F_GrDi_GrCer_GrDi_Tot,F_GrDi_GrCer_GradCer_Mng,F_GrDi_GrCer_GradCer_Pro,F_GrDi_GrCer_GradCer_TTW,F_GrDi_GrCer_GradCer_CPS,F_GrDi_GrCer_GradCer_CA,F_GrDi_GrCer_GradCer_Sal,F_GrDi_GrCer_GradCer_MOD,F_GrDi_GrCer_GradCer_Lab,F_GrDi_GrCer_GradCer_IDNS,F_GrDi_GrCer_GradCer_Tot,F_BaDe_BaDe_Mng,F_BaDe_BaDe_Pro,F_BaDe_BaDe_TTW,F_BaDe_BaDe_CPS,F_BaDe_BaDe_CA,F_BaDe_BaDe_Sal,F_BaDe_BaDe_MOD,F_BaDe_BaDe_Lab,F_BaDe_BaDe_IDNS,F_BaDe_BaDe_Tot,F_AdvDi_Di_AdvDi_Di_NFD_Mng,F_AdvDi_Di_AdvDi_Di_NFD_Pro,F_AdvDi_Di_AdvDi_Di_NFD_TTW,F_AdvDi_Di_AdvDi_Di_NFD_CPS,F_AdvDi_Di_AdvDi_Di_NFD_CA,F_AdvDi_Di_AdvDi_Di_NFD_Sal,F_AdvDi_Di_AdvDi_Di_NFD_MOD,F_AdvDi_Di_AdvDi_Di_NFD_Lab,F_AdvDi_Di_AdvDi_Di_NFD_IDNS,F_AdvDi_Di_AdvDi_Di_NFD_Tot,F_AdvDi_Di_AdvDi_AsDe_Mng,F_AdvDi_Di_AdvDi_AsDe_Pro,F_AdvDi_Di_AdvDi_AsDe_TTW,F_AdvDi_Di_AdvDi_AsDe_CPS,F_AdvDi_Di_AdvDi_AsDe_CA,F_AdvDi_Di_AdvDi_AsDe_Sal,F_AdvDi_Di_AdvDi_AsDe_MOD,F_AdvDi_Di_AdvDi_AsDe_Lab,F_AdvDi_Di_AdvDi_AsDe_IDNS,F_AdvDi_Di_AdvDi_AsDe_Tot,F_AdvDi_Di_Dip_Mng,F_AdvDi_Di_Dip_Pro,F_AdvDi_Di_Dip_TTW,F_AdvDi_Di_Dip_CPS,F_AdvDi_Di_Dip_CA,F_AdvDi_Di_Dip_Sal,F_AdvDi_Di_Dip_MOD,F_AdvDi_Di_Dip_Lab,F_AdvDi_Di_Dip_IDNS,F_AdvDi_Di_Dip_Tot,F_Cert_CertIII_IV_Mng,F_Cert_CertIII_IV_Pro,F_Cert_CertIII_IV_TTW,F_Cert_CertIII_IV_CPS,F_Cert_CertIII_IV_CA,F_Cert_CertIII_IV_Sal,F_Cert_CertIII_IV_MOD,F_Cert_CertIII_IV_Lab,F_Cert_CertIII_IV_IDNS,F_Cert_CertIII_IV_Tot,F_Cert_CertI_II_Mng,F_Cert_CertI_II_Pro,F_Cert_CertI_II_TTW,F_Cert_CertI_II_CPS,F_Cert_CertI_II_CA,F_Cert_CertI_II_Sal,F_Cert_CertI_II_MOD,F_Cert_CertI_II_Lab,F_Cert_CertI_II_IDNS,F_Cert_CertI_II_Tot,F_Cert_Cert_nfd_Mng,F_Cert_Cert_nfd_Pro,F_Cert_Cert_nfd_TTW,F_Cert_Cert_nfd_CPS,F_Cert_Cert_nfd_CA,F_Cert_Cert_nfd_Sal,F_Cert_Cert_nfd_MOD,F_Cert_Cert_nfd_Lab,F_Cert_Cert_nfd_IDNS,F_Cert_Cert_nfd_Tot,F_LE_ID_Mng,F_LE_ID_Pro,F_LE_ID_TTW,F_LE_ID_CPS,F_LE_ID_CA,F_LE_ID_Sal,F_LE_ID_MOD,F_LE_ID_Lab,F_LE_ID_IDNS,F_LE_ID_Tot,F_LE_NS_Mng,F_LE_NS_Pro,F_LE_NS_TTW,F_LE_NS_CPS,F_LE_NS_CA,F_LE_NS_Sal,F_LE_NS_MOD,F_LE_NS_Lab,F_LE_NS_IDNS,F_LE_NS_Tot,F_Tot_Mng,F_Tot_Pro,F_Tot_TTW,F_Tot_CPS,F_Tot_CA,F_Tot_Sal,F_Tot_MOD,F_Tot_Lab,F_Tot_IDNS,F_Tot_Tot,P_PoDe_PoDe_NFD_Mng,P_PoDe_PoDe_NFD_Pro,P_PoDe_PoDe_NFD_TTW,P_PoDe_PoDe_NFD_CPS,P_PoDe_PoDe_NFD_CA,P_PoDe_PoDe_NFD_Sal,P_PoDe_PoDe_NFD_MOD,P_PoDe_PoDe_NFD_Lab,P_PoDe_PoDe_NFD_IDNS,P_PoDe_PoDe_NFD_Tot,P_PoDe_DoctDe_Mng,P_PoDe_DoctDe_Pro,P_PoDe_DoctDe_TTW,P_PoDe_DoctDe_CPS,P_PoDe_DoctDe_CA,P_PoDe_DoctDe_Sal,P_PoDe_DoctDe_MOD,P_PoDe_DoctDe_Lab,P_PoDe_DoctDe_IDNS,P_PoDe_DoctDe_Tot,P_PoDe_MasDe_Mng,P_PoDe_MasDe_Pro,P_PoDe_MasDe_TTW,P_PoDe_MasDe_CPS,P_PoDe_MasDe_CA,P_PoDe_MasDe_Sal,P_PoDe_MasDe_MOD,P_PoDe_MasDe_Lab,P_PoDe_MasDe_IDNS,P_PoDe_MasDe_Tot,P_GrDiGrCer_GrDiGrCerNFD_Mng,P_GrDiGrCer_GrDiGrCerNFD_Pro,P_GrDiGrCer_GrDiGrCerNFD_TTW,P_GrDiGrCer_GrDiGrCerNFD_CPS,P_GrDiGrCer_GrDiGrCerNFD_CA,P_GrDiGrCer_GrDiGrCerNFD_Sal,P_GrDiGrCer_GrDiGrCerNFD_MOD,P_GrDiGrCer_GrDiGrCerNFD_Lab,P_GrDiGrCer_GrDiGrCerNFD_IDNS,P_GrDiGrCer_GrDiGrCerNFD_Tot,P_GrDi_GrCer_GrDi_Mng,P_GrDi_GrCer_GrDi_Pro,P_GrDi_GrCer_GrDi_TTW,P_GrDi_GrCer_GrDi_CPS,P_GrDi_GrCer_GrDi_CA,P_GrDi_GrCer_GrDi_Sal,P_GrDi_GrCer_GrDi_MOD,P_GrDi_GrCer_GrDi_Lab,P_GrDi_GrCer_GrDi_IDNS,P_GrDi_GrCer_GrDi_Tot,P_GrDi_GrCer_GradCer_Mng,P_GrDi_GrCer_GradCer_Pro,P_GrDi_GrCer_GradCer_TTW,P_GrDi_GrCer_GradCer_CPS,P_GrDi_GrCer_GradCer_CA,P_GrDi_GrCer_GradCer_Sal,P_GrDi_GrCer_GradCer_MOD,P_GrDi_GrCer_GradCer_Lab,P_GrDi_GrCer_GradCer_IDNS,P_GrDi_GrCer_GradCer_Tot,P_BaDe_BaDe_Mng,P_BaDe_BaDe_Pro,P_BaDe_BaDe_TTW,P_BaDe_BaDe_CPS,P_BaDe_BaDe_CA,P_BaDe_BaDe_Sal,P_BaDe_BaDe_MOD,P_BaDe_BaDe_Lab,P_BaDe_BaDe_IDNS,P_BaDe_BaDe_Tot,P_AdvDi_Di_AdvDi_Di_NFD_Mng,P_AdvDi_Di_AdvDi_Di_NFD_Pro,P_AdvDi_Di_AdvDi_Di_NFD_TTW,P_AdvDi_Di_AdvDi_Di_NFD_CPS,P_AdvDi_Di_AdvDi_Di_NFD_CA,P_AdvDi_Di_AdvDi_Di_NFD_Sal,P_AdvDi_Di_AdvDi_Di_NFD_MOD,P_AdvDi_Di_AdvDi_Di_NFD_Lab,P_AdvDi_Di_AdvDi_Di_NFD_IDNS,P_AdvDi_Di_AdvDi_Di_NFD_Tot
LGA21270,5,30,0,3,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,3,21,129,0,18,23,4,0,0,7,198,0,0,0,0,0,0,0,0,0,0,11,24,0,17,4,4,0,3,0,75,11,9,0,21,12,7,0,4,0,58,21,17,17,49,31,29,4,9,0,178,6,0,0,3,17,0,0,0,0,28,3,0,0,12,3,0,0,0,0,27,0,3,0,0,0,0,0,0,0,0,5,6,0,3,9,4,0,4,0,36,101,239,25,129,100,45,3,28,3,669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,23,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,3,13,34,0,3,0,0,0,0,0,58,0,0,0,0,3,0,0,0,0,8,53,176,5,16,21,4,0,3,3,288,0,0,0,0,0,0,0,0,0,0
LGA21370,19,126,0,31,14,7,0,0,0,205,8,22,0,0,4,0,0,0,0,39,111,773,25,79,109,38,0,18,3,1162,0,3,0,3,3,0,0,3,0,11,63,109,15,70,51,19,3,7,3,342,81,101,22,228,108,34,5,25,4,605,114,54,193,436,242,143,21,145,13,1351,18,12,15,33,35,20,3,32,0,174,14,5,15,50,32,24,7,17,3,168,7,4,3,4,10,0,0,6,0,40,36,36,15,56,28,30,5,40,18,265,498,1371,299,1006,642,322,43,292,44,4523,0,3,0,0,0,0,0,0,0,5,3,24,0,0,0,0,0,0,0,31,55,122,3,7,10,3,0,0,0,206,3,15,0,0,0,0,0,0,0,20,38,182,4,35,17,7,0,3,0,285,8,29,0,0,4,0,0,0,0,50,284,1076,57,111,128,64,17,36,6,1772,0,4,3,5,3,0,0,6,0,16
LGA21450,43,335,11,105,46,15,0,3,0,552,10,83,0,7,17,0,0,3,0,120,289,1968,78,316,468,174,6,73,22,3392,0,3,4,11,7,0,0,0,0,30,121,221,38,230,280,83,14,38,12,1031,227,347,107,693,510,205,18,83,23,2204,218,221,446,1054,946,439,77,248,38,3693,25,15,20,90,123,74,14,47,8,417,44,35,25,142,152,80,15,38,10,555,12,30,6,19,41,12,3,18,0,139,43,48,22,102,93,63,6,37,30,453,1109,3756,792,2808,2756,1166,158,600,144,13283,10,28,0,0,0,0,0,0,0,40,15,135,6,9,3,0,0,0,0,174,186,598,41,52,114,50,27,29,11,1101,10,43,3,3,3,0,0,0,3,68,84,458,23,125,50,22,15,8,4,778,24,92,6,15,19,0,4,3,0,167,699,2935,247,435,647,290,100,187,55,5599,4,10,9,13,7,0,0,0,0,42
LGA21610,78,688,18,298,105,35,4,15,6,1256,34,176,3,8,30,3,0,0,3,266,903,5773,323,1296,1942,724,95,393,137,11579,9,11,9,36,27,22,3,3,0,120,331,677,158,641,853,241,42,152,30,3128,565,840,355,2099,1470,571,80,260,65,6298,539,500,1069,2845,2176,985,256,697,93,9172,62,43,43,201,329,163,28,102,10,985,115,64,50,472,436,202,52,134,17,1544,44,116,32,85,134,69,12,36,9,538,78,191,69,290,308,164,55,175,131,1454,3033,10729,2215,8584,8320,3332,653,2053,542,39468,11,74,3,0,9,0,0,3,0,101,47,485,23,14,20,4,6,6,3,602,869,2649,275,415,790,308,192,191,77,5763,46,188,5,16,41,15,11,8,4,332,218,1001,58,343,155,46,23,40,10,1897,72,240,14,28,55,9,7,3,10,431,2532,9600,1273,1802,2895,1309,792,944,246,21394,14,17,23,44,30,25,8,7,3,187
LGA21670,0,19,0,9,3,0,0,0,0,34,0,0,0,7,0,0,0,0,0,7,24,169,7,27,19,3,0,10,0,258,0,0,0,0,0,0,0,0,0,3,15,31,5,20,12,14,0,3,0,100,14,17,10,54,27,10,0,8,3,150,23,18,68,134,63,45,0,43,3,405,0,0,3,13,10,5,0,10,0,39,5,0,0,19,12,4,0,4,0,53,0,0,0,4,0,0,0,0,0,11,5,13,11,14,6,17,0,16,3,89,102,308,107,307,153,96,3,98,11,1191,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,3,8,33,4,0,3,0,0,0,5,57,0,3,0,0,0,0,0,0,0,3,4,36,0,9,6,3,0,0,0,59,3,7,0,7,0,0,0,0,0,15,52,229,15,36,20,4,3,19,4,384,0,0,0,0,0,0,0,0,0,3
LGA21750,14,53,0,15,3,0,0,0,0,90,3,11,0,5,0,0,0,0,0,22,96,377,12,52,64,29,0,21,4,658,0,3,0,4,0,0,0,0,0,10,47,61,8,85,46,12,0,8,0,275,47,37,10,111,74,19,0,24,4,331,60,47,88,296,126,64,5,118,4,814,5,0,3,20,23,13,3,19,0,89,10,9,6,43,24,18,0,14,0,125,0,3,0,10,8,3,0,4,0,29,29,15,11,38,9,20,0,31,17,166,347,698,139,681,389,182,15,238,45,2733,0,7,0,0,0,0,0,0,0,4,4,24,0,0,0,0,0,0,0,27,41,82,3,14,15,0,0,0,0,153,0,15,0,0,3,0,0,0,0,14,21,80,0,14,4,0,0,5,3,139,9,20,0,3,0,0,0,0,0,28,182,557,45,77,82,45,12,55,4,1059,0,3,0,4,0,0,0,0,0,10
LGA21830,14,49,0,15,3,0,0,0,3,83,0,7,0,0,0,0,0,0,0,6,99,324,11,37,42,17,0,13,4,540,0,0,0,0,0,0,0,0,0,4,49,47,5,36,15,8,3,14,4,174,40,30,15,75,32,12,3,15,6,223,71,25,74,153,81,42,0,69,3,523,6,4,0,8,3,7,0,16,3,52,19,6,0,26,16,10,0,10,0,85,3,10,0,0,0,0,0,0,0,9,30,10,5,26,10,6,0,22,6,121,342,546,119,377,211,94,10,161,21,1897,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,16,13,52,5,0,8,0,0,0,0,90,0,10,0,0,0,0,0,0,0,12,20,68,3,12,3,0,3,8,3,117,3,7,0,0,0,0,0,0,0,11,179,433,34,44,52,18,3,30,3,801,0,0,0,0,0,0,0,0,0,3
LGA21890,228,1195,31,151,190,34,3,6,15,1852,55,240,8,17,46,3,0,4,3,372,1381,5763,312,1028,1594,664,40,269,103,11166,3,7,3,7,5,3,0,3,7,40,203,381,105,257,363,166,14,59,16,1567,254,392,182,651,570,245,16,97,26,2438,192,235,354,751,622,298,39,135,24,2653,10,13,16,74,83,45,6,25,7,275,36,39,25,147,180,67,5,33,0,541,20,73,15,25,50,19,0,23,7,239,32,91,30,100,92,58,8,66,72,546,3100,11450,1159,3507,4198,1744,147,777,322,26411,20,99,4,10,3,9,0,0,0,140,156,1258,12,25,51,6,3,10,6,1529,1129,3748,196,381,618,282,101,230,78,6756,62,166,9,13,23,10,0,8,10,304,371,1810,68,206,260,50,20,19,17,2831,97,318,14,23,63,4,0,4,3,528,3006,10269,986,1587,2432,1163,368,744,224,20775,8,9,11,17,9,7,3,9,7,84
LGA22110,38,176,3,34,19,0,0,0,0,270,3,46,0,3,3,0,0,0,0,60,137,769,26,125,122,28,4,37,13,1254,0,0,0,6,3,0,0,0,0,12,65,123,20,105,91,11,3,12,0,435,87,132,31,225,148,48,10,38,10,728,104,82,202,499,296,156,13,139,7,1504,19,4,14,58,46,39,0,20,3,213,18,10,16,71,38,38,3,19,0,212,11,8,5,7,12,3,0,4,0,52,32,31,10,60,41,40,3,50,20,289,550,1523,315,1211,835,372,42,331,60,5231,0,4,0,0,0,0,0,0,0,11,14,36,0,3,0,0,0,0,0,63,61,167,3,15,17,9,0,8,0,283,6,19,0,0,0,0,0,0,0,26,55,217,7,44,23,7,3,5,3,369,12,55,0,9,3,3,0,0,0,80,267,1129,55,179,157,50,20,52,15,1929,0,3,0,6,3,0,0,3,0,13
LGA22170,51,522,9,149,67,25,0,0,3,827,23,121,0,7,31,3,0,0,0,187,510,3059,110,495,669,282,18,103,36,5276,6,14,0,23,14,6,0,3,0,58,188,413,65,355,396,132,10,45,14,1607,330,455,162,959,756,314,23,96,27,3116,325,281,647,1615,1232,557,100,321,50,5134,36,21,28,127,124,88,11,47,7,486,62,43,43,238,261,106,15,54,14,824,12,43,7,31,60,29,8,18,3,213,54,95,34,158,149,97,14,63,64,726,1729,5807,1120,4216,3833,1670,201,761,223,19559,10,44,3,9,3,0,0,0,0,66,27,176,3,0,3,3,0,0,3,213,308,954,49,80,126,58,26,32,16,1643,18,66,0,11,9,10,0,0,0,108,122,718,25,177,86,37,6,12,6,1182,50,163,10,15,31,11,3,4,0,288,1159,4713,403,702,925,475,145,255,74,8849,6,17,10,24,13,13,3,8,0,82
LGA22250,8,31,0,7,0,0,0,0,0,43,0,5,0,0,0,0,0,0,0,3,35,186,10,24,25,3,0,6,0,289,0,0,0,0,0,0,0,0,0,0,20,28,0,16,14,3,0,0,0,87,22,34,8,45,25,8,0,6,0,157,40,23,44,106,64,40,6,27,0,345,6,0,0,10,26,8,4,7,0,54,12,0,0,18,11,7,0,8,0,55,0,4,0,3,3,0,0,0,0,10,14,9,3,14,9,11,0,13,3,81,171,339,68,233,186,76,15,73,8,1157,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,7,12,18,0,0,0,0,0,3,0,35,0,0,0,0,0,0,0,0,0,0,10,41,0,9,0,3,0,0,0,61,0,6,0,0,0,0,0,0,0,5,79,258,18,29,32,6,0,10,0,432,0,0,0,0,0,0,0,0,0,3
LGA22310,233,1018,18,113,180,41,0,3,13,1629,62,172,4,7,26,5,0,0,0,283,1584,6272,277,960,1741,722,29,205,124,11906,4,15,0,5,6,8,0,0,0,38,272,547,84,287,464,160,16,30,16,1875,262,428,137,507,594,228,13,55,20,2245,165,168,333,595,531,238,26,86,23,2160,15,26,13,58,75,31,0,17,4,241,67,73,21,132,185,66,0,15,8,563,38,93,25,42,69,41,5,21,5,331,41,145,27,54,117,62,6,23,70,548,3455,11820,997,2977,4531,1752,99,509,339,26480,37,100,4,4,7,9,0,0,0,159,182,1173,16,14,27,8,3,8,8,1439,1550,4131,203,278,815,331,65,147,112,7643,81,216,7,21,51,15,0,4,3,400,446,1565,46,152,248,64,14,12,22,2578,113,232,11,17,34,12,3,0,7,427,4381,12021,892,1410,2600,1436,216,513,308,23784,9,20,3,7,16,8,0,3,0,58
LGA22410,17,62,0,23,3,0,0,0,0,110,0,15,0,4,0,0,0,0,0,21,65,372,11,32,41,12,3,12,0,537,0,0,0,5,0,0,0,0,0,6,30,69,5,33,28,3,0,3,0,179,36,62,8,112,60,21,3,8,0,312,50,39,84,250,148,68,5,92,10,750,8,3,10,25,26,17,5,13,0,99,4,8,3,36,14,12,0,8,0,92,0,4,3,4,0,3,0,3,0,15,10,10,6,18,15,15,3,15,12,101,238,701,137,543,335,143,22,156,18,2300,0,6,0,0,0,0,0,0,0,9,4,14,0,0,0,0,0,0,0,22,33,48,3,4,4,3,0,3,3,96,0,5,0,0,0,0,0,0,0,8,22,87,0,29,3,0,0,5,0,150,3,15,3,7,4,0,0,0,0,26,124,532,31,49,50,14,10,19,3,822,0,0,0,5,0,0,0,3,0,9
LGA22490,22,106,0,27,14,4,0,0,0,169,3,25,0,3,3,0,0,0,3,42,75,515,26,74,98,21,0,14,5,820,3,0,0,0,3,0,0,0,0,11,43,42,19,57,58,15,5,5,3,251,50,62,15,149,107,29,4,16,9,430,51,39,114,238,220,89,13,74,10,846,7,0,9,14,37,18,0,16,0,102,12,3,13,38,29,21,0,16,0,127,5,6,3,6,8,3,0,0,0,35,19,20,11,23,22,13,0,13,9,127,299,930,210,649,607,219,22,163,37,3124,0,3,0,0,0,0,0,0,0,7,12,30,0,0,4,0,0,0,0,50,37,130,3,11,16,0,0,5,0,207,3,9,0,0,4,0,0,0,0,15,40,144,7,28,14,7,3,3,0,246,9,33,0,9,3,0,0,0,5,63,186,763,52,98,114,39,13,18,4,1289,3,0,6,0,3,0,0,0,0,13
LGA22620,85,602,13,127,83,10,4,8,3,927,17,146,4,15,20,0,0,0,0,193,413,3103,87,353,526,177,8,90,33,4791,0,3,0,18,5,0,0,4,0,34,112,301,54,249,225,66,4,27,12,1051,169,295,65,619,376,126,5,79,17,1754,259,228,529,1241,887,434,60,306,43,3975,27,20,23,78,115,100,7,58,3,438,46,27,36,166,153,79,12,72,11,604,14,37,7,17,35,16,4,16,4,141,46,83,30,100,83,73,10,76,37,528,1302,5607,855,3024,2573,1097,116,737,172,15485,7,47,0,3,0,0,0,0,0,52,24,233,3,6,12,0,0,0,6,285,247,917,25,57,82,16,10,19,12,1376,8,72,0,4,12,0,0,0,0,103,166,884,27,170,108,12,4,12,6,1390,38,180,4,13,21,0,0,8,3,272,938,4894,238,511,705,296,66,203,57,7907,0,10,4,22,11,0,0,4,0,59
LGA22670,36,189,5,113,59,14,0,7,4,427,6,53,0,4,19,7,0,0,0,89,374,2178,197,644,1010,453,64,344,74,5339,0,4,0,20,11,9,0,3,3,51,80,183,110,217,273,101,25,103,11,1112,143,237,213,754,442,254,38,166,36,2280,128,123,326,986,481,242,97,334,35,2744,15,10,15,70,79,47,14,61,4,326,34,20,28,193,133,58,21,64,4,561,23,43,21,57,45,27,8,35,12,262,17,60,29,119,91,71,26,96,70,585,967,3817,1005,3364,2917,1382,308,1300,264,15320,5,20,3,0,3,3,0,0,0,39,25,236,17,8,17,8,4,8,3,327,338,1245,179,248,423,224,144,207,41,3049,21,68,9,7,28,12,6,5,4,153,68,320,19,134,74,18,12,11,11,663,14,84,5,8,22,8,3,3,0,151,1034,4102,837,960,1624,812,563,902,158,10994,8,7,6,30,9,7,9,9,3,96
LGA22750,161,1185,31,238,121,28,3,7,11,1771,54,257,4,19,31,4,0,3,5,385,918,6588,235,1116,1311,496,31,155,96,10952,5,7,4,36,13,3,0,3,0,78,358,785,137,577,574,183,22,63,26,2720,402,650,259,1313,1020,369,32,142,42,4227,457,438,1095,2636,1729,953,109,559,88,8070,55,48,33,194,179,139,14,83,3,749,69,62,49,350,299,148,19,83,14,1096,29,89,20,55,64,31,3,8,9,312,59,160,51,223,167,131,31,115,91,1032,2887,11985,1962,6916,5698,2540,270,1241,417,33914,15,118,3,10,10,0,0,3,0,155,83,895,19,16,33,6,0,4,3,1050,669,2057,111,196,222,95,54,65,42,3509,41,161,6,10,26,8,0,0,3,257,319,1684,59,300,171,36,15,25,16,2630,98,350,12,33,49,10,3,4,7,568,2394,10644,751,1591,1864,878,238,494,198,19062,12,14,13,43,15,11,3,3,0,116
LGA22830,26,331,6,58,21,3,0,3,3,461,3,58,0,5,8,0,0,0,0,77,214,1398,49,153,177,44,3,52,14,2113,3,5,0,10,3,3,0,3,0,24,72,194,16,128,110,30,0,28,4,578,126,202,42,428,276,73,7,54,8,1207,142,140,261,633,438,234,21,163,21,2055,17,12,8,35,67,42,3,27,0,202,21,18,13,85,77,39,3,26,4,279,8,23,3,15,22,11,0,15,3,97,36,46,14,57,46,43,5,64,22,331,718,2695,420,1637,1270,531,42,447,83,7851,3,19,0,0,0,0,0,0,0,24,8,89,0,4,4,0,0,0,0,107,146,393,18,31,41,13,3,20,4,661,8,22,0,3,3,3,0,0,0,35,50,479,6,76,27,6,0,3,5,663,15,77,0,7,14,0,0,3,0,112,499,2124,100,215,247,78,31,108,28,3438,6,7,0,11,3,6,5,3,0,38
LGA22910,16,84,3,24,11,6,0,0,0,139,4,15,0,4,0,0,0,0,0,27,86,303,19,83,86,25,0,29,7,628,0,0,0,4,0,0,0,0,0,0,53,55,13,40,37,16,0,15,0,224,33,51,14,82,51,14,0,16,3,266,32,16,64,128,75,44,5,44,4,416,4,4,0,15,16,10,0,5,0,54,7,3,5,20,21,6,0,3,0,67,3,3,0,3,3,4,0,4,0,21,3,20,7,13,16,6,0,20,8,93,273,700,134,419,321,130,17,130,22,2144,0,8,0,0,0,0,0,0,0,8,16,54,0,0,3,0,0,0,3,77,53,156,7,12,16,3,4,9,3,265,4,12,0,0,0,0,0,0,0,19,29,121,8,26,17,9,0,4,0,216,10,16,0,8,0,0,0,0,0,34,178,500,56,106,120,36,15,54,10,1075,0,0,0,4,0,0,0,0,0,7
LGA22980,7,19,0,0,0,0,0,0,0,28,0,4,0,0,0,0,0,0,0,4,13,117,0,13,21,3,0,0,0,165,0,0,0,0,0,0,0,0,0,0,10,22,0,9,8,0,0,0,0,60,14,17,4,34,22,3,0,6,0,99,18,9,21,80,39,12,0,15,0,185,9,0,3,3,6,3,0,4,0,29,0,0,0,8,3,3,0,3,0,24,0,0,0,0,0,0,0,0,0,0,3,8,0,5,3,4,0,3,4,27,83,207,32,156,100,29,6,40,5,652,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,11,19,0,0,3,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,10,20,0,0,0,0,0,0,0,33,0,4,0,0,0,0,0,0,0,4,38,150,6,18,21,3,0,9,0,241,0,0,0,0,0,0,0,0,0,0
LGA23110,119,551,19,77,70,12,0,10,9,867,34,99,0,4,23,0,0,0,3,166,736,2806,141,413,798,275,23,104,59,5360,4,5,3,5,4,4,0,3,0,27,117,225,52,152,227,91,4,35,9,923,198,265,92,420,420,138,13,37,30,1617,143,114,243,507,507,191,45,116,19,1894,11,18,10,36,68,29,8,13,4,194,39,31,15,90,128,46,9,17,8,392,24,36,13,16,27,18,0,11,4,143,29,56,14,53,80,28,11,31,28,330,1817,5347,640,1875,2554,890,121,390,190,13824,11,48,0,4,0,3,0,0,0,73,69,387,5,4,10,5,0,0,12,496,721,1519,79,127,278,103,51,56,35,2970,42,97,4,8,17,6,5,3,3,184,203,771,37,100,107,15,5,18,16,1278,51,140,7,5,30,3,3,6,3,254,1808,4981,469,628,1232,503,171,302,125,10216,11,7,7,8,4,8,3,3,0,51
LGA23190,15,100,0,23,8,0,0,0,0,142,5,36,0,0,0,0,0,0,0,42,78,532,12,66,71,14,0,6,5,787,0,3,0,0,3,0,0,0,0,7,39,69,5,51,51,13,3,3,3,238,41,77,11,111,92,34,3,5,6,377,57,35,98,227,166,81,10,35,7,710,3,4,3,15,38,18,0,9,0,96,18,10,7,37,32,15,0,11,0,133,9,6,0,4,3,0,0,0,0,28,9,19,4,16,27,14,0,13,10,107,277,982,150,564,502,191,14,83,24,2793,0,7,0,0,0,0,0,0,0,8,3,49,0,0,0,0,0,0,3,63,30,92,0,5,15,4,3,0,3,157,5,10,0,3,0,0,0,0,0,18,18,126,3,25,5,0,0,0,0,185,12,42,3,4,0,0,0,0,0,62,159,746,26,90,87,20,10,21,12,1159,0,3,3,0,3,0,0,0,0,10
LGA23270,59,511,10,191,67,25,0,4,5,867,13,91,0,4,18,0,0,0,0,137,521,3228,190,754,1065,432,64,204,83,6536,7,3,3,40,13,4,0,0,3,78,183,311,97,393,446,148,22,69,18,1678,275,432,177,1250,841,369,46,125,50,3562,258,273,560,1702,1148,490,114,330,54,4936,30,27,22,119,180,96,16,59,3,547,52,50,38,286,270,118,23,67,9,917,19,63,17,55,63,31,7,18,10,278,47,83,42,208,186,122,18,93,74,879,1646,5966,1191,5161,4512,1930,313,1026,322,22068,5,57,3,9,10,0,3,0,0,86,35,242,9,4,16,3,0,4,4,313,454,1388,125,246,357,182,167,135,35,3096,21,71,4,11,10,3,10,0,0,140,119,715,28,210,101,37,21,15,9,1263,38,122,3,15,22,5,3,0,3,219,1422,5285,659,1145,1650,745,572,581,175,12231,16,12,16,37,15,12,7,3,8,127
LGA23350,26,89,0,23,9,0,0,0,0,156,3,27,0,3,0,0,0,0,0,38,96,447,12,62,83,20,0,17,4,740,0,0,0,5,0,0,0,0,0,3,32,79,10,46,45,14,0,5,0,219,47,53,14,89,68,16,3,12,4,301,40,41,90,161,123,60,15,47,3,590,10,0,6,13,19,11,0,4,0,66,13,4,3,19,30,8,3,8,0,84,9,3,0,0,8,0,0,3,0,25,12,22,4,15,27,9,7,20,8,116,332,900,148,438,410,150,23,121,22,2549,0,6,0,0,0,0,0,0,0,6,14,43,0,0,0,0,0,0,0,59,68,133,5,7,3,5,0,0,0,234,3,10,0,0,0,0,0,0,0,21,47,144,8,29,12,0,5,0,3,244,10,31,5,3,0,0,0,0,0,54,194,643,30,84,101,39,3,33,15,1139,0,0,0,3,3,0,0,0,0,8
