LGA_CODE_2016,FOL_Korean_NS,FOL_Korean_Tot,FOL_Macedonian_SEO,FOL_Macedonian_SOLSE_VWorW,FOL_Macedonian_SOLSE_NWorNAA,FOL_Macedonian_SOLSE_Tot,FOL_Macedonian_NS,FOL_Macedonian_Tot,FOL_Maltese_SEO,FOL_Maltese_SOLSE_VWorW,FOL_Maltese_SOLSE_NWorNAA,FOL_Maltese_SOLSE_Tot,FOL_Maltese_NS,FOL_Maltese_Tot,FOL_Persian_ED_SEO,FOL_Persian_ED_SOLSE_VWorW,FOL_Persian_ED_SOLSE_NWorNAA,FOL_Persian_ED_SOLSE_Tot,FOL_Persian_ED_NS,FOL_Persian_ED_Tot,FOL_Polish_SEO,FOL_Polish_SOLSE_VWorW,FOL_Polish_SOLSE_NWorNAA,FOL_Polish_SOLSE_Tot,FOL_Polish_NS,FOL_Polish_Tot,FOL_Russian_SEO,FOL_Russian_SOLSE_VWorW,FOL_Russian_SOLSE_NWorNAA,FOL_Russian_SOLSE_Tot,FOL_Russian_NS,FOL_Russian_Tot,FOL_Samoan_SEO,FOL_Samoan_SOLSE_VWorW,FOL_Samoan_SOLSE_NWorNAA,FOL_Samoan_SOLSE_Tot,FOL_Samoan_NS,FOL_Samoan_Tot,FOL_Serbian_SEO,FOL_Serbian_SOLSE_VWorW,FOL_Serbian_SOLSE_NWorNAA,FOL_Serbian_SOLSE_Tot,FOL_Serbian_NS,FOL_Serbian_Tot,FOL_SAL_Filipino_SEO,FOL_SAL_Filipino_SOLSE_VWorW,FOL_SAL_Filipin_SOLSE_NWorNAA,FOL_SAL_Filipino_SOLSE_Tot,FOL_SAL_Filipino_NS,FOL_SAL_Filipino_Tot,FOL_SAL_Indonesian_SEO,FOL_SAL_Indonesia_SOLSE_VWorW,FOL_SAL_Indones_SOLSE_NWorNAA,FOL_SAL_Indonesian_SOLSE_Tot,FOL_SAL_Indonesian_NS,FOL_SAL_Indonesian_Tot,FOL_SAL_Tagalog_SEO,FOL_SAL_Tagalog_SOLSE_VWorW,FOL_SAL_Tagalog_SOLSE_NWorNAA,FOL_SAL_Tagalog_SOLSE_Tot,FOL_SAL_Tagalog_NS,FOL_SAL_Tagalog_Tot,FOL_SAL_Oth_SEO,FOL_SAL_Oth_SOLSE_VWorW,FOL_SAL_Oth_SOLSE_NWorNAA,FOL_SAL_Oth_SOLSE_Tot,FOL_SAL_Oth_NS,FOL_SAL_Oth_Tot,FOL_SAL_Tot_SEO,FOL_SAL_Tot_SOLSE_VWorW,FOL_SAL_Tot_SOLSE_NWorNAA,FOL_SAL_Tot_SOLSE_Tot,FOL_SAL_Tot_NS,FOL_SAL_Tot_Tot,FOL_Spanish_SEO,FOL_Spanish_SOLSE_VWorW,FOL_Spanish_SOLSE_NWorNAA,FOL_Spanish_SOLSE_Tot,FOL_Spanish_NS,FOL_Spanish_Tot,FOL_Tamil_SEO,FOL_Tamil_SOLSE_VWorW,FOL_Tamil_SOLSE_NWorNAA,FOL_Tamil_SOLSE_Tot,FOL_Tamil_NS,FOL_Tamil_Tot,FOL_Thai_SEO,FOL_Thai_SOLSE_VWorW,FOL_Thai_SOLSE_NWorNAA,FOL_Thai_SOLSE_Tot,FOL_Thai_NS,FOL_Thai_Tot,FOL_Turkish_SEO,FOL_Turkish_SOLSE_VWorW,FOL_Turkish_SOLSE_NWorNAA,FOL_Turkish_SOLSE_Tot,FOL_Turkish_NS,FOL_Turkish_Tot,FOL_Vietnamese_SEO,FOL_Vietnamese_SOLSE_VWorW,FOL_Vietnamese_SOLSE_NWorNAA,FOL_Vietnamese_SOLSE_Tot,FOL_Vietnamese_NS,FOL_Vietnamese_Tot,FOL_Oth_SEO,FOL_Oth_SOLSE_VWorW,FOL_Oth_SOLSE_NWorNAA,FOL_Oth_SOLSE_Tot,FOL_Oth_NS,FOL_Oth_Tot,FOL_Tot_SEO,FOL_Tot_SOLSE_VWorW,FOL_Tot_SOLSE_NWorNAA,FOL_Tot_SOLSE_Tot,FOL_Tot_NS,FOL_Tot_Tot,F_LSatH_NS_SEO,F_LSatH_NS_SOLSE_VWorW,F_LSatH_NS_SOLSE_NWorNAA,F_LSatH_NS_SOLSE_Tot,F_LSatH_NS_NS,F_LSatH_NS_Tot,F_Tot_SEO,F_Tot_SOLSE_VWorW,F_Tot_SOLSE_NWorNAA,F_Tot_SOLSE_Tot,F_Tot_NS,F_Tot_Tot,PSEO_SEO,PSEO_SOLSE_VWorW,PSEO_SOLSE_NWorNAA,PSEO_SOLSE_Tot,PSEO_NS,PSEO_Tot,POL_Afrikaans_SEO,POL_Afrikaans_SOLSE_VWorW,POL_Afrikaans_SOLSE_NWorNAA,POL_Afrikaans_SOLSE_Tot,POL_Afrikaans_NS,POL_Afrikaans_Tot,POL_Arabic_SEO,POL_Arabic_SOLSE_VWorW,POL_Arabic_SOLSE_NWorNAA,POL_Arabic_SOLSE_Tot,POL_Arabic_NS,POL_Arabic_Tot,POL_AIndLng_SEO,POL_AIndLng_SOLSE_VWorW,POL_AIndLng_SOLSE_NWorNAA,POL_AIndLng_SOLSE_Tot,POL_AIndLng_NS,POL_AIndLng_Tot,POL_CL_Cantones_SEO,POL_CL_Cantones_SOLSE_VWorW,POL_CL_Cantones_SOLSE_NWorNAA,POL_CL_Cantones_SOLSE_Tot,POL_CL_Cantones_NS,POL_CL_Cantones_Tot,POL_CL_Mandarin_SEO,POL_CL_Mandarin_SOLSE_VWorW,POL_CL_Mandarin_SOLSE_NWorNAA,POL_CL_Mandarin_SOLSE_Tot,POL_CL_Mandarin_NS,POL_CL_Mandarin_Tot,POL_CL_Oth_SEO,POL_CL_Oth_SOLSE_VWorW,POL_CL_Oth_SOLSE_NWorNAA,POL_CL_Oth_SOLSE_Tot,POL_CL_Oth_NS,POL_CL_Oth_Tot,POL_CL_Tot_SEO,POL_CL_Tot_SOLSE_VWorW,POL_CL_Tot_SOLSE_NWorNAA,POL_CL_Tot_SOLSE_Tot,POL_CL_Tot_NS,POL_CL_Tot_Tot,POL_Croatian_SEO,POL_Croatian_SOLSE_VWorW,POL_Croatian_SOLSE_NWorNAA,POL_Croatian_SOLSE_Tot,POL_Croatian_NS,POL_Croatian_Tot,POL_Dutch_SEO,POL_Dutch_SOLSE_VWorW,POL_Dutch_SOLSE_NWorNAA,POL_Dutch_SOLSE_Tot,POL_Dutch_NS,POL_Dutch_Tot,POL_French_SEO,POL_French_SOLSE_VWorW,POL_French_SOLSE_NWorNAA,POL_French_SOLSE_Tot,POL_French_NS,POL_French_Tot,POL_German_SEO,POL_German_SOLSE_VWorW,POL_German_SOLSE_NWorNAA,POL_German_SOLSE_Tot,POL_German_NS,POL_German_Tot
LGA21270,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,3,5,..,0,0,0,0,0,..,6,0,6,0,6,..,3,0,3,0,3,..,21,0,19,3,24,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,22,4,25,4,32,..,74,3,77,7,83,..,8,0,10,267,279,2702,81,9,84,279,3066,5469,..,..,..,..,5469,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,12,7,13,0,13,..,0,0,0,0,0,..,14,7,19,0,19,..,0,0,0,0,0,..,3,0,3,3,3,..,4,0,4,0,4,..,5,0,5,0,5
LGA21370,0,16,..,0,0,0,0,0,..,7,0,7,0,7,..,3,0,3,0,3,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,52,0,55,0,55,..,8,0,8,0,8,..,44,0,44,0,44,..,3,0,3,0,3,..,104,0,106,0,106,..,13,0,9,0,9,..,0,0,0,0,0,..,12,0,17,0,17,..,3,0,3,0,3,..,6,0,6,0,6,..,96,15,111,0,114,..,499,61,569,9,577,..,57,3,63,1374,1441,16751,558,70,629,1385,18765,33183,..,..,..,..,33183,..,15,0,15,0,15,..,17,0,16,0,20,..,9,0,9,0,9,..,9,0,11,0,11,..,45,8,55,3,60,..,5,0,5,0,5,..,63,14,71,3,74,..,7,0,7,0,7,..,18,0,18,0,18,..,17,8,24,0,24,..,48,0,50,0,50
LGA21450,0,33,..,15,0,13,0,13,..,34,3,34,0,39,..,32,4,39,0,39,..,60,8,70,0,70,..,61,4,68,0,69,..,64,3,70,0,70,..,59,14,68,0,68,..,123,0,119,0,121,..,63,5,62,3,69,..,134,0,131,3,133,..,47,3,54,0,54,..,358,11,371,6,372,..,222,19,238,5,240,..,91,8,104,0,106,..,52,12,67,0,63,..,39,6,45,0,45,..,57,8,68,0,65,..,1088,202,1288,33,1322,..,4741,659,5408,75,5485,..,95,14,101,2523,2633,39659,4836,673,5507,2601,47773,78326,..,..,..,..,78326,..,114,0,110,0,111,..,438,44,478,11,492,..,11,0,11,0,11,..,90,36,129,3,128,..,266,139,411,3,409,..,28,7,38,0,38,..,387,187,576,9,581,..,174,21,198,3,199,..,227,3,233,0,237,..,281,13,293,3,299,..,266,12,274,7,283
LGA21610,0,278,..,189,28,216,8,223,..,145,5,155,3,158,..,424,148,573,10,579,..,650,124,778,10,784,..,331,71,401,4,407,..,1211,93,1305,36,1346,..,1035,239,1273,15,1287,..,960,18,987,11,1000,..,472,47,518,3,519,..,1152,32,1183,17,1203,..,307,22,328,5,332,..,2896,117,3011,40,3051,..,1453,239,1700,19,1719,..,1678,224,1900,18,1916,..,239,56,297,6,300,..,631,146,781,13,789,..,787,400,1183,9,1191,..,11718,3531,15249,234,15483,..,44459,8997,53459,658,54113,..,389,123,511,6823,7332,88822,44848,9116,53966,7485,150274,177273,..,..,..,..,177273,..,512,6,521,3,523,..,3809,543,4347,61,4414,..,5,0,5,0,5,..,1282,443,1726,8,1731,..,3928,1863,5794,35,5829,..,927,282,1201,4,1207,..,6139,2584,8718,48,8766,..,1145,150,1294,15,1310,..,473,14,482,5,494,..,1999,79,2074,11,2089,..,693,18,711,6,713
LGA21670,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,12,0,12,0,12,..,0,0,0,0,0,..,16,0,16,0,15,..,8,0,10,0,10,..,37,0,34,0,39,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,24,3,32,3,33,..,141,14,158,3,165,..,26,3,29,446,475,5944,171,18,188,450,6580,11755,..,..,..,..,11755,..,3,0,3,0,3,..,3,0,3,0,7,..,3,0,3,0,3,..,5,0,5,0,5,..,18,12,23,0,25,..,3,0,3,0,3,..,24,12,30,0,30,..,0,0,0,0,0,..,9,0,9,0,9,..,4,0,3,0,3,..,22,0,24,0,24
LGA21750,0,0,..,3,0,3,0,3,..,4,0,4,0,3,..,0,3,8,0,8,..,3,0,3,0,3,..,5,0,6,0,6,..,0,0,0,0,0,..,3,0,3,0,3,..,20,0,20,0,20,..,6,0,6,0,6,..,12,0,9,0,9,..,5,0,5,0,5,..,38,3,34,0,34,..,3,0,3,0,3,..,0,0,0,0,0,..,5,3,12,0,12,..,0,0,0,0,0,..,3,3,8,0,8,..,77,9,89,4,94,..,328,77,405,7,416,..,18,0,19,688,712,9356,351,81,427,700,10489,18643,..,..,..,..,18643,..,3,0,3,0,3,..,51,9,66,0,66,..,0,0,0,0,0,..,11,12,24,0,23,..,46,34,80,0,79,..,3,4,12,0,12,..,65,51,107,3,115,..,12,0,12,0,12,..,17,0,17,0,17,..,21,0,21,0,21,..,40,0,40,0,40
LGA21830,0,0,..,0,0,0,0,0,..,4,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,7,0,7,..,0,0,0,0,0,..,3,0,4,0,4,..,5,0,8,0,8,..,3,0,3,0,3,..,6,0,6,0,6,..,5,0,5,0,5,..,21,0,24,0,24,..,3,0,9,0,9,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,19,0,18,0,21,..,121,14,136,0,133,..,29,0,33,579,614,7219,153,14,164,584,7970,14519,..,..,..,..,14519,..,6,0,6,0,6,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,18,3,19,0,19,..,0,0,0,0,0,..,19,4,24,0,24,..,0,0,0,0,0,..,31,0,31,0,31,..,5,0,5,0,5,..,26,0,26,0,26
LGA21890,0,88,..,865,263,1129,9,1134,..,130,16,150,3,152,..,166,49,218,3,220,..,104,13,124,0,125,..,70,0,69,0,72,..,44,3,46,0,46,..,129,41,172,3,173,..,176,5,184,0,185,..,156,7,170,0,168,..,248,4,251,3,251,..,94,5,97,0,102,..,676,30,699,8,708,..,534,65,598,0,600,..,212,13,220,3,224,..,189,59,250,0,253,..,165,30,191,0,193,..,1290,507,1792,16,1811,..,1702,368,2067,52,2117,..,21559,6132,27694,295,27991,..,168,36,204,4801,5007,42821,21727,6172,27899,5094,75816,82621,..,..,..,..,82621,..,50,4,56,0,56,..,3490,913,4397,53,4450,..,23,0,23,0,23,..,1168,590,1754,15,1771,..,3482,1823,5306,44,5345,..,272,131,402,3,410,..,4928,2542,7464,54,7520,..,433,67,501,11,513,..,119,7,129,4,131,..,570,17,583,6,593,..,436,15,456,3,458
LGA22110,0,9,..,0,0,0,0,0,..,11,0,11,0,11,..,7,0,7,0,7,..,15,3,19,0,19,..,3,0,5,0,5,..,0,0,0,0,0,..,12,0,12,0,12,..,42,4,41,0,41,..,3,0,3,0,3,..,41,0,41,0,38,..,3,0,3,0,3,..,86,4,93,0,92,..,21,3,23,0,28,..,6,0,6,0,6,..,14,0,15,0,15,..,0,0,0,0,0,..,24,17,43,0,43,..,120,18,136,3,136,..,731,102,830,22,848,..,68,3,72,1914,1988,20093,799,102,899,1935,22932,39559,..,..,..,..,39559,..,32,0,32,0,32,..,13,0,16,0,16,..,13,0,13,0,13,..,34,7,42,0,37,..,82,50,133,0,135,..,13,3,9,0,9,..,124,60,185,3,190,..,10,3,8,0,8,..,60,0,68,4,67,..,38,0,42,4,46,..,154,4,161,4,162
LGA22170,3,44,..,15,3,18,0,23,..,27,0,29,0,29,..,35,5,38,0,38,..,156,14,171,0,171,..,249,53,305,0,305,..,103,9,106,0,106,..,135,12,151,0,151,..,215,0,216,3,218,..,78,6,85,0,83,..,275,13,289,5,292,..,62,0,61,0,63,..,628,24,656,12,666,..,294,43,336,3,341,..,154,18,175,0,175,..,148,36,180,0,182,..,62,10,71,0,71,..,104,32,136,3,136,..,1503,273,1777,47,1824,..,6956,1029,7981,116,8098,..,198,21,219,3998,4215,56411,7147,1050,8199,4112,68727,110620,..,..,..,..,110620,..,235,4,240,3,246,..,442,64,506,12,515,..,10,0,10,0,10,..,295,76,372,3,376,..,787,296,1075,12,1090,..,52,16,67,0,67,..,1129,381,1513,14,1532,..,262,26,291,3,289,..,355,26,376,4,385,..,329,3,333,3,340,..,556,11,570,4,578
LGA22250,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,10,0,10,0,10,..,0,0,0,0,0,..,4,0,4,0,4,..,3,0,3,0,3,..,18,0,18,0,18,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,3,..,14,5,22,0,22,..,92,7,102,3,105,..,15,0,15,348,368,4832,103,7,115,354,5293,9589,..,..,..,..,9589,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,4,0,6,0,6,..,5,0,4,0,4,..,0,0,0,0,0,..,4,3,7,0,7,..,7,0,7,0,7,..,7,0,7,0,7,..,0,0,3,0,3,..,9,0,9,0,9
LGA22310,6,413,..,41,4,53,0,53,..,31,3,36,0,36,..,89,10,99,0,99,..,459,55,517,4,524,..,2073,430,2502,21,2523,..,12,0,12,0,12,..,164,16,175,0,180,..,132,0,131,3,137,..,223,11,240,0,240,..,193,4,195,0,196,..,57,4,59,0,59,..,604,18,627,3,628,..,455,24,483,3,483,..,276,6,282,3,290,..,167,37,199,0,201,..,49,9,64,0,60,..,323,60,386,3,388,..,3542,327,3872,59,3932,..,19787,3325,23108,198,23304,..,177,34,207,3116,3319,46110,19959,3355,23320,3309,72735,89939,..,..,..,..,89939,..,150,0,150,0,152,..,403,29,434,3,434,..,5,0,5,0,5,..,1399,318,1717,11,1732,..,6065,1682,7748,43,7792,..,397,132,530,0,530,..,7864,2129,9999,52,10047,..,204,21,226,0,226,..,136,0,141,3,138,..,1067,43,1110,3,1118,..,629,20,647,5,654
LGA22410,0,0,..,0,0,0,0,0,..,4,3,4,0,4,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,13,0,13,0,13,..,8,0,9,0,9,..,30,0,27,0,27,..,4,4,8,0,8,..,54,3,61,0,61,..,5,0,8,0,10,..,0,0,0,0,0,..,10,0,9,0,11,..,0,0,0,0,0,..,3,0,6,0,6,..,37,8,42,0,41,..,221,22,243,6,246,..,29,0,29,733,766,8793,246,22,272,739,9809,17547,..,..,..,..,17547,..,11,0,11,0,11,..,5,0,5,0,5,..,18,0,18,4,17,..,11,3,7,0,7,..,19,3,18,0,18,..,0,0,4,0,4,..,27,6,30,0,30,..,7,0,7,0,7,..,24,0,24,0,29,..,0,0,0,0,0,..,29,0,27,0,27
LGA22490,0,0,..,5,0,3,0,4,..,6,0,11,0,11,..,0,0,0,0,0,..,3,0,3,0,3,..,5,0,11,0,11,..,0,0,0,0,0,..,9,0,9,0,9,..,6,0,6,0,6,..,0,0,0,0,0,..,4,0,4,0,3,..,0,0,0,0,0,..,11,0,11,0,16,..,13,0,12,3,13,..,0,0,0,0,0,..,16,0,16,0,16,..,0,0,0,0,0,..,5,0,9,0,9,..,58,11,70,0,70,..,296,25,319,9,327,..,24,0,26,513,532,9815,313,27,344,519,10675,19931,..,..,..,..,19931,..,3,0,3,0,4,..,17,3,20,0,20,..,3,0,3,0,3,..,10,0,10,0,10,..,13,3,15,0,15,..,0,0,0,0,0,..,19,3,23,0,23,..,43,3,48,0,48,..,27,0,26,0,26,..,30,0,30,0,30,..,45,3,48,0,48
LGA22620,0,27,..,5,0,5,0,5,..,9,0,9,3,13,..,15,0,18,0,18,..,9,0,9,0,9,..,30,3,31,0,31,..,3,0,4,0,4,..,8,0,8,0,8,..,79,0,85,0,82,..,57,0,57,0,57,..,103,0,103,0,102,..,17,0,17,0,20,..,258,0,261,3,270,..,33,8,40,0,40,..,39,3,38,0,38,..,34,4,40,3,42,..,11,4,15,0,15,..,34,10,47,0,45,..,559,348,907,29,933,..,2069,564,2632,55,2685,..,155,5,162,3663,3829,50377,2225,570,2797,3717,56891,97865,..,..,..,..,97865,..,65,3,69,0,69,..,143,17,160,0,158,..,10,0,10,0,10,..,103,21,127,0,125,..,332,142,478,5,486,..,27,4,29,0,29,..,465,175,633,7,643,..,24,0,27,0,27,..,57,4,59,4,65,..,82,7,80,0,80,..,127,0,124,4,130
LGA22670,0,198,..,127,40,165,3,166,..,120,7,134,3,131,..,223,125,347,0,349,..,313,104,420,7,428,..,216,71,291,0,288,..,342,30,374,7,384,..,806,326,1132,8,1147,..,391,12,406,5,413,..,258,44,303,0,303,..,513,21,535,3,538,..,191,32,231,0,227,..,1361,116,1475,9,1487,..,603,160,756,11,766,..,1055,209,1265,3,1271,..,243,110,352,0,350,..,557,183,737,5,745,..,5144,3783,8924,59,8986,..,8469,4546,13011,179,13191,..,33785,14148,47932,473,48401,..,252,137,383,3761,4148,21948,34030,14287,48318,4232,74506,45355,..,..,..,..,45355,..,77,0,77,0,77,..,2211,443,2654,25,2673,..,3,0,3,0,3,..,2867,1611,4479,25,4503,..,3324,2064,5389,34,5421,..,1020,506,1525,10,1538,..,7210,4179,11396,69,11463,..,618,167,784,12,788,..,143,5,150,3,157,..,892,47,934,14,945,..,293,12,298,5,309
LGA22750,0,80,..,415,122,534,10,548,..,108,4,109,0,109,..,162,43,206,0,207,..,246,43,294,3,301,..,100,31,134,0,134,..,13,0,13,0,13,..,304,97,397,5,406,..,250,7,263,0,263,..,130,3,131,0,131,..,308,10,318,3,321,..,86,3,89,0,91,..,778,22,804,5,805,..,277,59,332,3,341,..,69,5,72,0,72,..,149,38,184,0,188,..,126,22,154,0,154,..,235,118,349,3,352,..,1798,640,2437,51,2486,..,10412,2161,12573,170,12742,..,337,21,358,6588,6947,100530,10741,2189,12930,6761,120217,194156,..,..,..,..,194156,..,161,0,161,3,162,..,532,120,656,10,664,..,27,0,27,0,27,..,360,69,438,0,439,..,1398,374,1771,24,1797,..,100,43,136,0,136,..,1858,488,2347,23,2371,..,1753,341,2101,16,2118,..,480,10,486,9,498,..,355,12,369,3,374,..,812,24,837,10,847
LGA22830,0,13,..,83,14,97,0,96,..,3,0,3,0,3,..,35,10,45,0,45,..,12,3,14,0,14,..,7,0,5,0,5,..,106,3,108,0,112,..,12,7,16,0,16,..,80,9,86,0,87,..,9,3,13,0,11,..,89,3,96,0,95,..,44,9,49,0,49,..,220,24,246,0,250,..,21,3,24,0,24,..,25,0,25,0,25,..,48,16,56,0,60,..,176,67,237,5,239,..,16,9,24,0,26,..,783,347,1133,24,1154,..,3525,1104,4624,70,4696,..,90,26,120,2454,2574,24845,3614,1131,4749,2526,32125,49039,..,..,..,..,49039,..,53,0,53,0,53,..,885,338,1222,15,1234,..,39,0,39,0,39,..,78,49,128,0,131,..,244,185,427,5,436,..,6,5,9,0,9,..,328,235,569,8,576,..,24,0,24,3,22,..,59,0,61,3,59,..,56,0,63,0,65,..,73,4,78,0,78
LGA22910,0,0,..,3,3,3,0,3,..,10,0,10,0,10,..,0,0,0,0,0,..,11,0,14,0,14,..,3,0,3,0,3,..,0,0,0,0,0,..,15,0,16,0,16,..,0,0,0,0,0,..,0,0,0,0,0,..,12,0,12,0,12,..,8,0,8,0,8,..,20,0,20,0,20,..,11,3,12,0,12,..,5,0,5,0,5,..,6,0,12,0,12,..,4,0,4,0,4,..,3,0,3,0,3,..,41,10,49,0,49,..,338,30,369,0,372,..,20,0,20,713,733,6840,357,30,386,713,7944,13232,..,..,..,..,13232,..,8,0,8,0,8,..,8,0,7,0,7,..,0,0,3,0,3,..,10,3,6,0,6,..,32,12,44,0,44,..,3,0,3,0,3,..,43,15,55,0,55,..,32,3,37,0,37,..,33,0,33,0,38,..,38,0,37,0,37,..,56,0,56,3,62
LGA22980,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,7,..,0,0,0,0,0,..,7,0,7,0,7,..,3,0,3,0,3,..,19,0,19,0,19,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,51,36,87,0,87,..,98,47,143,0,143,..,3,0,9,204,206,2522,103,43,151,204,2872,5035,..,..,..,..,5035,..,8,0,8,3,9,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,3,6,9,0,9,..,0,0,0,0,0,..,8,6,16,0,16,..,4,0,4,0,4,..,11,0,11,0,11,..,3,0,3,0,3,..,9,0,9,0,9
LGA23110,0,43,..,430,128,552,4,559,..,601,73,676,12,682,..,62,15,79,3,81,..,186,39,230,4,235,..,53,6,55,0,55,..,43,3,42,0,42,..,247,67,317,8,321,..,242,6,245,3,254,..,149,14,162,7,163,..,242,12,257,0,258,..,54,3,54,0,54,..,684,28,711,13,723,..,294,44,337,3,343,..,73,6,80,3,83,..,114,30,147,0,147,..,38,4,41,0,41,..,636,329,963,3,970,..,1292,411,1700,36,1732,..,10782,2477,13254,154,13407,..,103,23,118,2281,2405,29339,10878,2496,13377,2439,45146,58235,..,..,..,..,58235,..,80,3,84,0,84,..,2583,416,2995,44,3044,..,5,0,5,0,5,..,664,232,893,8,907,..,923,356,1277,9,1284,..,78,25,101,0,104,..,1667,617,2280,14,2299,..,651,112,758,3,761,..,101,7,109,0,109,..,209,26,233,0,230,..,357,17,373,3,375
LGA23190,0,6,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,16,0,20,0,20,..,0,0,0,0,0,..,25,0,25,0,25,..,11,0,11,0,11,..,51,0,52,0,52,..,9,0,8,0,8,..,5,0,5,0,5,..,3,0,3,0,3,..,7,3,14,0,14,..,4,0,4,0,4,..,74,23,103,3,107,..,344,54,395,7,400,..,26,4,29,509,541,9129,365,53,424,516,10067,17827,..,..,..,..,17827,..,6,0,6,0,6,..,15,0,15,0,15,..,4,0,4,0,4,..,20,3,22,0,22,..,40,7,50,0,49,..,0,0,0,0,0,..,60,11,75,0,76,..,0,0,0,0,0,..,11,0,11,0,11,..,11,0,11,0,11,..,23,0,26,0,26
LGA23270,0,48,..,309,31,336,3,345,..,528,37,561,4,572,..,122,57,175,0,178,..,191,31,225,0,225,..,69,10,80,0,76,..,928,68,993,16,1005,..,223,48,270,0,270,..,511,19,529,7,532,..,134,6,143,6,145,..,716,28,749,8,757,..,211,21,232,0,238,..,1580,79,1658,20,1677,..,499,83,589,5,595,..,266,28,292,5,296,..,157,35,195,0,197,..,5110,1643,6754,70,6824,..,637,423,1053,7,1063,..,6699,2733,9433,146,9572,..,35219,8860,44083,512,44591,..,269,120,387,5107,5497,49014,35490,8983,44473,5617,99102,97600,..,..,..,..,97600,..,106,3,103,3,111,..,12927,3192,16126,176,16296,..,12,0,12,0,12,..,402,147,544,3,553,..,779,261,1036,7,1046,..,124,42,159,0,161,..,1296,447,1743,14,1757,..,840,119,955,9,962,..,67,0,67,0,71,..,219,8,223,6,229,..,242,13,254,5,256
LGA23350,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,5,0,5,..,3,0,3,0,3,..,6,0,6,0,6,..,11,0,12,0,12,..,0,0,3,0,3,..,21,0,20,0,20,..,8,0,6,0,6,..,0,0,0,0,0,..,9,0,9,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,34,4,42,0,40,..,185,13,202,3,205,..,17,0,12,447,463,7423,200,19,213,456,8097,14477,..,..,..,..,14477,..,7,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,8,0,6,0,7,..,3,0,3,0,3,..,16,0,14,0,15,..,18,0,18,0,18,..,20,0,22,3,19,..,23,0,24,6,23,..,48,0,52,0,50
LGA23430,0,166,..,54,8,59,0,59,..,51,3,58,0,58,..,83,15,100,3,101,..,328,44,369,4,370,..,851,190,1033,8,1042,..,21,0,22,0,22,..,190,24,213,4,219,..,259,10,265,0,269,..,138,12,154,0,154,..,342,9,352,0,352,..,82,3,86,0,86,..,820,38,862,5,859,..,446,57,503,12,512,..,301,28,329,6,331,..,187,41,229,0,234,..,254,64,320,3,323,..,585,238,818,7,823,..,2171,460,2635,52,2685,..,16638,3656,20295,191,20489,..,199,34,232,3675,3913,53359,16839,3694,20533,3864,77753,104407,..,..,..,..,104407,..,225,3,224,0,225,..,1019,200,1220,14,1238,..,4,0,3,0,3,..,1202,421,1621,12,1633,..,3261,1283,4547,28,4574,..,481,224,705,3,710,..,4948,1926,6873,43,6922,..,406,57,459,4,462,..,196,9,207,3,205,..,758,33,789,13,804,..,611,17,632,10,643
