LGA_CODE_2016,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
LGA21270,65,52,155,206,309,278,75,11,4,1155,93,26,58,64,88,159,276,251,157,1165,5,4,25,17,32,52,38,42,39,264,159,84,234,289,433,487,395,308,201,2588,19,92,222,222,392,378,101,18,6,1453,94,32,88,158,204,199,77,16,4,871,3,8,11,12,16,37,18,0,0,103,5,0,7,5,8,11,6,6,6,51,121,134,329,397,614,622,204,41,17,2486,4,11,15,14,16,18,0,0,0,81,9,6,7,8,5,0,0,0,0,34,13,15,23,23,21,22,0,0,0,113,135,148,346,422,637,643,203,46,18,2597,199,38,75,93,151,276,533,457,246,2077,13,11,47,33,78,108,93,77,70,533,345,195,469,549,859,1034,827,580,336,5206
LGA21370,574,589,1286,1532,2016,1548,302,54,15,7918,453,186,431,373,425,949,1748,1191,593,6352,66,55,133,139,155,184,197,186,118,1236,1091,832,1851,2044,2601,2681,2251,1432,727,15512,281,758,1667,1837,2480,1875,346,47,14,9309,677,379,710,935,1153,1164,399,94,17,5530,37,40,133,114,137,201,58,10,0,737,44,45,40,58,74,57,29,21,3,372,1051,1222,2561,2944,3843,3294,831,165,33,15950,68,67,81,81,105,64,3,0,0,475,85,42,72,47,44,49,8,0,0,349,154,109,148,133,153,115,9,0,0,824,1206,1329,2706,3075,3994,3411,841,167,37,16769,1015,310,573,570,722,1569,3320,2242,939,11261,116,111,237,286,336,375,396,343,193,2395,2334,1758,3520,3936,5053,5357,4554,2744,1164,30424
LGA21450,1548,2310,5211,4971,4914,2804,500,58,15,22331,1313,547,1659,1418,1120,1773,2834,1380,625,12672,144,169,373,354,357,310,239,161,94,2200,3007,3036,7240,6742,6388,4886,3579,1595,730,37205,612,2509,7130,6780,6698,3639,596,63,15,28036,1748,1608,2652,3015,2700,2021,674,94,12,14521,82,103,476,268,267,226,65,9,0,1493,76,113,218,178,165,111,30,14,8,908,2518,4325,10472,10238,9825,5997,1369,183,36,44955,173,247,306,241,224,178,12,0,0,1377,431,159,209,175,119,108,20,0,0,1222,603,408,518,413,342,285,28,0,0,2601,3121,4726,10988,10652,10171,6278,1398,183,36,47551,2805,872,2010,1834,1592,2750,5026,2649,991,20541,305,343,704,708,718,615,476,296,155,4316,6230,5937,13705,13196,12479,9638,6898,3127,1185,72402
LGA21610,4664,7271,15791,15898,14459,8305,1124,98,19,67631,4998,2201,6093,5568,4610,6228,7686,4337,1920,43644,412,492,1129,986,947,753,620,406,234,5984,10073,9966,23011,22450,20023,15281,9435,4845,2179,117254,1268,7152,22174,22985,20927,11632,1413,68,27,87660,5395,5830,7978,9253,7783,5388,1455,177,16,43279,226,312,1251,838,636,599,167,9,0,4026,163,442,802,607,518,314,80,21,7,2959,7052,13739,32206,33685,29862,17928,3119,279,49,137913,475,1082,1457,1180,936,579,41,3,0,5752,1760,887,677,660,478,372,66,7,0,4917,2235,1965,2133,1848,1407,950,111,14,4,10663,9291,15702,34342,35528,31273,18883,3229,289,52,148579,10809,3924,7811,7269,6584,9701,13909,7893,3010,70923,851,1047,2279,2070,1893,1510,1151,760,384,11951,20950,20672,44427,44870,39747,30094,18295,8947,3450,231449
LGA21670,160,205,329,397,579,449,104,15,6,2238,149,78,187,193,242,519,846,529,245,2977,18,15,25,30,52,58,86,64,39,398,320,294,543,620,876,1022,1037,610,288,5614,47,197,379,450,653,488,78,14,5,2319,204,150,220,275,364,392,130,21,3,1757,7,15,24,34,35,37,17,7,0,177,15,14,9,19,23,19,4,5,0,103,268,373,631,776,1072,938,234,43,11,4352,24,59,51,51,49,37,3,0,0,282,29,16,17,20,29,21,4,0,0,143,56,76,71,72,77,64,6,0,0,423,321,453,710,848,1154,999,239,42,11,4776,332,134,245,306,459,920,1638,1017,378,5434,39,33,54,72,113,121,170,116,60,770,693,619,1001,1229,1725,2038,2046,1173,448,10982
LGA21750,326,373,756,829,1126,943,248,36,7,4634,218,101,247,231,231,547,945,648,321,3488,34,37,65,54,86,115,104,82,41,624,575,516,1067,1113,1443,1599,1293,760,371,8743,155,469,1025,1035,1276,1007,249,46,9,5263,399,265,496,627,734,754,301,49,9,3629,20,26,83,52,83,136,45,7,0,440,14,27,44,32,37,32,12,11,5,213,583,781,1648,1740,2133,1923,601,108,22,9545,27,33,49,44,63,35,0,0,0,247,41,13,18,23,10,31,5,0,0,146,69,49,59,65,74,69,7,0,0,398,657,837,1712,1802,2208,1994,606,110,22,9946,468,173,340,341,424,926,1744,1137,496,6054,74,81,151,125,193,225,209,152,66,1276,1191,1081,2202,2272,2823,3144,2567,1402,585,17277
LGA21830,234,241,455,633,865,730,211,34,4,3415,204,76,178,163,192,378,661,535,247,2636,29,26,48,51,75,93,96,72,37,526,466,343,680,850,1129,1199,964,650,289,6579,111,333,627,779,1193,907,268,42,7,4267,294,170,267,411,466,510,220,45,6,2381,23,19,53,50,68,62,48,11,0,331,32,17,18,31,29,33,18,10,3,180,458,533,970,1267,1748,1517,545,111,19,7164,19,36,39,37,31,28,4,0,0,198,25,7,19,9,17,14,4,0,0,97,39,50,56,51,47,39,4,0,0,296,498,584,1027,1319,1803,1561,549,108,24,7457,470,112,239,227,330,645,1252,936,386,4605,51,50,102,115,168,187,187,140,66,1062,1027,743,1367,1655,2303,2391,1985,1191,468,13125
LGA21890,1551,4041,10914,8910,7371,3819,585,58,14,37261,1654,1470,2552,2174,1958,2749,4150,3911,1908,22525,205,395,1012,701,596,449,392,398,420,4566,3409,5909,14483,11782,9915,7013,5123,4371,2343,64348,193,2416,14007,11337,9149,4640,612,49,14,42425,1827,3888,5815,5211,4298,2631,680,75,15,24427,78,186,645,566,332,231,63,14,4,2113,86,212,375,245,217,142,47,20,7,1346,2195,6700,20842,17357,13998,7636,1398,153,38,70311,115,382,890,599,474,288,9,3,0,2760,612,678,577,336,269,177,29,3,0,2676,721,1058,1469,935,740,465,45,6,0,5435,2918,7759,22307,18294,14736,8103,1438,157,38,75743,3616,2825,4086,3175,3194,4605,7257,6867,3099,38725,405,764,2069,1474,1186,879,718,719,597,8815,6937,11345,28467,22933,19113,13592,9410,7744,3736,123281
LGA22110,541,609,1314,1614,2242,1977,467,64,11,8833,473,207,507,463,578,1490,2836,1585,632,8783,78,77,158,168,238,284,311,276,191,1777,1098,892,1978,2243,3056,3747,3607,1929,835,19391,207,685,1560,1694,2320,1946,421,73,9,8910,646,399,891,1136,1451,1527,607,96,8,6756,47,58,152,131,183,249,100,14,0,941,35,29,42,76,80,77,39,19,3,397,935,1171,2649,3034,4031,3798,1161,203,24,17003,65,112,100,117,163,164,7,0,0,735,82,54,59,56,61,98,13,0,0,424,146,165,160,173,226,261,21,0,0,1153,1080,1332,2812,3209,4253,4062,1184,203,26,18156,1055,317,699,740,1036,2594,5644,3134,1076,16297,159,167,311,333,480,555,680,458,294,3432,2292,1822,3817,4278,5771,7207,7505,3801,1391,37892
LGA22170,2176,3317,6966,6905,7267,4837,943,58,10,32480,1605,733,1983,1973,1906,2990,4847,3036,1441,20513,212,261,586,534,539,473,435,366,240,3644,3995,4307,9536,9412,9703,8301,6230,3460,1696,56637,627,3234,9548,9252,9543,6078,827,47,11,39165,2528,2392,3421,4066,3982,3258,1154,102,10,20908,92,151,644,430,346,400,120,4,5,2187,98,155,248,234,217,134,43,11,6,1150,3338,5925,13858,13976,14089,9875,2142,162,30,63406,212,432,525,463,460,367,15,0,0,2475,596,260,263,269,228,210,57,4,0,1888,807,694,788,741,687,576,75,7,0,4365,4142,6620,14647,14715,14775,10448,2217,170,30,67772,3435,1358,2671,2768,2949,4680,8669,5403,2322,34260,437,530,1161,1087,1100,972,816,617,357,7080,8009,8512,18484,18569,18833,16105,11710,6187,2713,109114
LGA22250,142,141,301,366,545,464,144,21,0,2111,143,49,111,121,132,279,558,441,208,2034,14,18,29,29,38,59,66,57,18,331,298,207,434,511,723,806,767,513,223,4481,66,217,390,464,670,558,149,24,3,2536,157,95,183,238,345,346,171,34,5,1574,15,4,28,26,35,65,16,4,0,186,6,8,8,10,17,29,15,5,3,111,241,318,616,738,1067,998,350,69,7,4404,10,21,26,18,47,22,0,0,0,144,22,0,12,10,13,11,0,0,0,75,30,25,40,32,53,33,3,0,0,220,277,344,652,767,1121,1031,347,69,7,4617,320,63,140,168,224,468,1068,803,322,3581,24,40,57,63,80,114,133,108,46,669,620,446,853,1000,1422,1613,1550,982,378,8870
LGA22310,1507,3215,8837,8065,7941,4934,1248,114,26,35886,2162,1569,1904,1792,1558,2515,4027,3401,2429,21355,118,222,579,454,394,355,296,278,243,2939,3792,5008,11324,10306,9895,7803,5572,3794,2695,60185,145,1995,11889,11154,10330,6096,1154,90,11,42863,2025,3364,4153,4426,4436,3441,1669,225,29,23767,74,128,604,462,271,288,106,16,5,1953,37,116,287,208,189,129,47,16,16,1056,2291,5602,16932,16251,15225,9957,2975,342,66,69634,62,268,629,394,411,255,28,3,3,2061,528,585,407,242,227,169,57,3,0,2220,582,853,1038,636,644,421,88,9,3,4278,2870,6455,17975,16890,15870,10375,3058,349,68,73909,4634,2947,2865,2332,2265,4039,6923,5658,3811,35472,264,460,1186,939,827,681,543,456,361,5718,7770,9867,22029,20161,18964,15102,10525,6465,4240,115105
LGA22410,304,276,554,797,1067,850,199,34,5,4079,228,100,259,242,310,629,880,554,291,3482,31,38,69,84,95,115,117,95,48,684,560,409,872,1118,1467,1590,1194,679,346,8240,107,326,656,913,1354,1013,223,49,3,4649,375,202,345,542,668,610,223,50,8,3027,15,21,78,60,85,114,29,4,3,409,26,26,28,41,43,36,16,13,0,230,532,574,1107,1550,2145,1780,501,109,14,8311,42,61,61,71,59,60,3,0,0,352,42,23,27,20,35,27,3,0,0,181,86,89,86,92,93,82,4,0,0,526,619,656,1192,1641,2239,1864,505,109,15,8837,499,165,341,347,511,1078,1719,1033,456,6158,72,79,131,160,212,235,228,182,79,1380,1195,908,1665,2145,2962,3173,2456,1328,555,16377
LGA22490,358,350,834,1165,1265,797,147,11,11,4942,317,68,235,310,313,532,706,287,120,2897,35,22,52,69,72,99,61,25,9,435,705,441,1121,1546,1650,1432,919,322,136,8274,130,402,1053,1545,1618,1015,186,19,6,5981,393,259,468,753,826,635,183,23,10,3557,21,22,102,86,81,75,30,7,0,429,29,23,22,47,47,40,14,7,0,228,574,707,1646,2437,2574,1764,423,51,14,10196,46,44,50,36,58,56,0,0,0,286,78,21,22,37,27,25,3,0,0,217,123,69,70,71,81,89,3,0,0,501,702,773,1720,2503,2658,1853,430,56,16,10699,725,147,304,423,469,896,1433,591,193,5176,66,52,93,153,150,167,143,45,11,894,1488,973,2118,3083,3281,2912,2002,687,225,16769
