LGA_CODE_2016,Ireland_2011,Ireland_2012,Ireland_2013,Ireland_2014,Ireland_2015,Ireland_2016,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1946,Italy_1946_1955,Italy_1956_1965,Italy_1966_1975,Italy_1976_1985,Italy_1986_1995,Italy_1996_2005,Italy_2006_2010,Italy_2011,Italy_2012,Italy_2013,Italy_2014,Italy_2015,Italy_2016,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1946,Japan_1946_1955,Japan_1956_1965,Japan_1966_1975,Japan_1976_1985,Japan_1986_1995,Japan_1996_2005,Japan_2006_2010,Japan_2011,Japan_2012,Japan_2013,Japan_2014,Japan_2015,Japan_2016,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1946,Korea_Rep_Sth_1946_1955,Korea_Rep_Sth_1956_1965,Korea_Rep_Sth_1966_1975,Korea_Rep_Sth_1976_1985,Korea_Rep_Sth_1986_1995,Korea_Rep_Sth_1996_2005,Korea_Rep_Sth_2006_2010,Korea_Republic_South_2011,Korea_Republic_South_2012,Korea_Republic_South_2013,Korea_Republic_South_2014,Korea_Republic_South_2015,Korea_Republic_South_2016,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1946,Lebanon_1946_1955,Lebanon_1956_1965,Lebanon_1966_1975,Lebanon_1976_1985,Lebanon_1986_1995,Lebanon_1996_2005,Lebanon_2006_2010,Lebanon_2011,Lebanon_2012,Lebanon_2013,Lebanon_2014,Lebanon_2015,Lebanon_2016,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1946,Malaysia_1946_1955,Malaysia_1956_1965,Malaysia_1966_1975,Malaysia_1976_1985,Malaysia_1986_1995,Malaysia_1996_2005,Malaysia_2006_2010,Malaysia_2011,Malaysia_2012,Malaysia_2013,Malaysia_2014,Malaysia_2015,Malaysia_2016,Malaysia_Yr_arrival_ns,Malaysia_Tot,Malta_Before_1946,Malta_1946_1955,Malta_1956_1965,Malta_1966_1975,Malta_1976_1985,Malta_1986_1995,Malta_1996_2005,Malta_2006_2010,Malta_2011,Malta_2012,Malta_2013,Malta_2014,Malta_2015,Malta_2016,Malta_Yr_arrival_NS,Malta_Tot,Netherlands_Before_1946,Netherlands_1946_1955,Netherlands_1956_1965,Netherlands_1966_1975,Netherlands_1976_1985,Netherlands_1986_1995,Netherlands_1996_2005,Netherlands_2006_2010,Netherlands_2011,Netherlands_2012,Netherlands_2013,Netherlands_2014,Netherlands_2015,Netherlands_2016,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1946,New_Zealand_1946_1955,New_Zealand_1956_1965,New_Zealand_1966_1975,New_Zealand_1976_1985,New_Zealand_1986_1995,New_Zealand_1996_2005,New_Zealand_2006_2010,New_Zealand_2011,New_Zealand_2012,New_Zealand_2013,New_Zealand_2014,New_Zealand_2015,New_Zealand_2016,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,Pakistan_Before_1946,Pakistan_1946_1955,Pakistan_1956_1965,Pakistan_1966_1975,Pakistan_1976_1985,Pakistan_1986_1995,Pakistan_1996_2005,Pakistan_2006_2010,Pakistan_2011,Pakistan_2012,Pakistan_2013,Pakistan_2014,Pakistan_2015,Pakistan_2016,Pakistan_Yr_arrival_NS,Pakistan_Tot,Philippines_Before_1946,Philippines_1946_1955,Philippines_1956_1965,Philippines_1966_1975,Philippines_1976_1985,Philippines_1986_1995,Philippines_1996_2005,Philippines_2006_2010,Philippines_2011,Philippines_2012,Philippines_2013,Philippines_2014,Philippines_2015,Philippines_2016,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1946,Poland_1946_1955,Poland_1956_1965,Poland_1966_1975,Poland_1976_1985,Poland_1986_1995,Poland_1996_2005,Poland_2006_2010,Poland_2011,Poland_2012,Poland_2013,Poland_2014,Poland_2015,Poland_2016,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1946,Singapore_1946_1955,Singapore_1956_1965,Singapore_1966_1975,Singapore_1976_1985,Singapore_1986_1995,Singapore_1996_2005,Singapore_2006_2010,Singapore_2011,Singapore_2012,Singapore_2013,Singapore_2014,Singapore_2015,Singapore_2016,Singapore_Yr_arrival_ns,Singapore_Tot
LGA21270,0,0,0,0,0,0,0,6,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,3,3,0,0,0,0,0,0,0,0,0,0,21,0,0,0,3,5,13,5,3,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,10,0,0,8,3,3,0,3,31,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA21370,4,6,0,3,0,0,3,50,3,58,52,13,0,3,0,0,0,0,0,0,0,0,12,155,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,8,0,0,0,0,0,0,3,4,0,0,3,0,12,3,3,27,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,4,4,0,0,0,0,3,0,0,20,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,14,0,41,34,4,9,0,3,0,0,0,0,0,0,0,12,106,0,0,3,35,63,66,88,50,10,14,7,5,14,7,22,387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,29,13,46,28,20,8,10,21,12,6,207,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
LGA21450,9,12,0,16,5,0,6,219,5,93,133,79,10,8,3,9,0,0,4,3,0,0,14,358,0,0,0,0,3,3,9,12,0,7,0,0,0,0,6,44,0,0,0,0,0,4,11,31,0,0,3,3,3,4,0,57,0,0,0,4,6,9,13,11,0,0,0,0,0,0,0,38,0,0,7,9,13,23,33,51,8,10,4,6,7,7,0,180,0,26,35,12,4,0,3,0,0,0,0,0,0,0,4,90,0,213,205,47,70,20,21,10,0,0,0,0,0,0,18,618,5,14,19,79,205,266,415,244,112,80,36,45,40,18,58,1640,0,0,0,0,3,7,16,52,12,8,12,9,16,3,8,141,0,0,0,3,33,82,78,257,20,38,35,10,24,13,7,611,0,8,11,13,49,33,12,4,0,0,0,3,0,0,0,119,0,0,4,10,10,10,19,50,8,8,0,0,7,0,5,122
LGA21610,21,17,27,5,5,5,17,544,10,256,645,442,83,35,34,36,6,8,13,3,7,8,86,1658,0,0,0,3,3,14,43,27,4,8,0,0,3,4,6,115,0,0,0,0,4,21,113,170,30,26,24,15,10,4,7,418,0,3,8,141,154,170,120,38,6,5,18,16,8,3,22,707,0,3,7,55,129,315,351,352,43,73,54,38,44,33,27,1531,0,118,134,66,34,10,6,0,0,0,0,0,0,0,20,386,0,417,459,109,95,37,28,25,0,3,0,0,0,11,52,1239,3,11,34,175,633,1042,1869,1312,391,461,356,258,193,115,261,7112,0,3,0,10,30,155,452,586,171,225,246,235,144,76,50,2397,0,0,3,30,293,1033,903,1304,223,203,205,175,133,89,91,4696,0,24,50,68,398,442,164,48,9,11,0,5,15,3,24,1261,0,0,3,25,28,155,211,136,28,35,20,32,43,25,14,741
LGA21670,0,0,0,0,0,0,0,9,0,8,4,3,0,0,0,0,0,0,0,0,0,0,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,12,0,16,38,10,4,3,0,0,0,0,0,0,0,0,8,79,0,0,8,21,39,13,12,3,0,0,0,0,0,0,4,102,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,3,7,0,9,0,9,6,8,6,8,0,62,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
LGA21750,3,0,0,0,0,0,0,28,0,30,24,3,0,0,0,0,0,0,0,0,0,0,5,61,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,4,3,3,0,0,23,0,7,4,3,0,0,0,0,0,0,0,0,0,0,3,17,0,22,30,0,4,3,3,3,0,0,0,0,0,0,3,73,0,0,7,23,34,32,46,37,11,11,4,6,0,0,21,241,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,10,0,0,3,0,3,12,12,14,3,0,0,5,3,4,3,59,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
LGA21830,0,0,5,0,3,0,0,14,0,3,6,3,0,0,0,0,0,0,0,0,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,9,0,0,0,0,4,0,0,0,0,0,0,0,9,0,49,17,8,11,0,3,0,0,0,0,0,0,0,3,94,0,0,6,6,19,26,111,47,4,6,0,3,9,0,3,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,13,0,3,11,3,12,4,3,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,11
LGA21890,37,27,16,9,6,3,22,465,20,1378,2622,1250,120,59,65,49,17,31,52,57,46,24,325,6130,0,3,0,4,13,39,95,69,13,11,6,19,19,16,13,298,0,0,0,3,11,10,37,53,8,8,17,8,12,4,11,186,0,15,85,323,264,223,119,45,7,7,10,13,8,5,44,1170,0,0,6,28,103,177,150,128,22,21,49,63,80,51,34,906,0,116,120,54,25,3,4,4,0,3,0,0,0,0,24,355,0,31,30,15,15,9,27,8,6,0,0,3,8,7,3,173,3,6,24,71,229,297,539,378,123,157,90,80,70,45,72,2197,0,0,0,0,5,18,47,97,37,52,61,89,97,44,8,543,0,0,0,7,76,230,97,149,29,62,68,76,53,45,28,919,0,17,32,24,45,42,17,10,4,0,3,8,0,0,3,211,0,0,0,13,23,36,94,38,8,12,15,13,28,14,9,302
LGA22110,0,8,0,0,0,0,3,69,4,67,53,9,9,5,0,0,0,0,0,0,0,0,12,157,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,11,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,3,3,9,0,0,3,11,0,0,3,49,0,26,14,6,0,0,0,0,0,0,0,0,0,0,0,52,0,109,143,12,12,5,3,6,0,0,0,0,0,0,23,308,3,11,26,52,104,69,74,33,4,10,6,3,0,0,34,440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,17,34,24,24,7,12,9,11,9,11,6,171,0,5,8,6,3,5,3,0,0,0,0,3,0,0,3,34,0,0,0,6,0,0,0,3,0,3,0,0,0,0,0,14
LGA22170,16,14,12,5,0,3,9,448,8,148,186,120,32,10,15,11,4,4,6,3,5,0,32,599,0,0,0,0,0,3,39,15,0,3,0,3,0,3,4,75,0,0,0,0,3,15,12,19,8,3,0,0,0,0,3,63,0,0,6,23,28,33,21,5,0,0,0,3,0,0,3,133,0,0,13,30,53,57,70,51,15,3,9,6,12,10,6,322,0,40,29,17,9,0,0,0,0,0,0,0,0,0,3,101,0,215,242,69,48,15,16,19,8,4,0,0,0,0,57,691,10,11,50,168,518,612,700,437,151,115,106,58,72,15,117,3144,0,0,3,16,3,23,18,13,4,6,11,8,3,3,0,103,0,0,0,13,90,246,195,237,30,52,49,71,36,24,30,1071,0,12,25,18,117,94,40,18,3,0,6,0,0,0,7,341,0,3,0,10,9,29,46,17,4,0,6,3,0,3,0,137
LGA22250,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,11,0,22,15,0,3,0,0,0,0,0,0,0,0,0,0,34,0,0,0,9,12,13,12,9,7,0,0,0,0,0,5,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,20,3,0,0,3,0,0,4,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
LGA22310,62,68,34,30,19,13,11,661,13,269,371,165,44,22,21,30,12,16,12,32,15,9,31,1074,0,3,3,21,22,72,146,103,18,42,46,69,56,36,37,668,0,0,0,3,17,59,152,204,67,30,46,48,49,26,17,706,0,8,10,45,49,25,9,3,0,3,0,0,0,0,4,163,3,4,8,73,177,178,194,186,27,51,43,46,62,45,23,1118,0,20,21,17,11,0,4,0,0,0,0,0,0,0,3,86,0,48,52,11,23,21,21,17,11,5,6,9,10,4,3,236,10,10,52,132,311,287,477,333,112,115,77,44,67,40,49,2116,0,0,0,4,4,14,12,26,8,8,22,14,12,6,3,141,0,0,0,13,77,145,66,103,25,44,53,59,57,42,18,713,83,418,347,81,227,125,48,28,6,0,11,6,6,3,57,1440,3,4,10,33,48,42,104,69,16,21,16,37,50,14,11,485
LGA22410,0,0,0,0,0,0,0,17,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,8,3,0,0,0,0,0,0,0,17,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,21,0,51,32,12,3,3,4,0,0,0,0,0,0,0,3,111,0,3,3,13,55,45,57,37,9,9,7,9,4,0,9,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,10,19,16,15,6,4,6,0,9,7,0,93,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
