LGA_CODE_2016,South_Africa_Before_1946,South_Africa_1946_1955,South_Africa_1956_1965,South_Africa_1966_1975,South_Africa_1976_1985,South_Africa_1986_1995,South_Africa_1996_2005,South_Africa_2006_2010,South_Africa_2011,South_Africa_2012,South_Africa_2013,South_Africa_2014,South_Africa_2015,South_Africa_2016,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1946,Sri_Lanka_1946_1955,Sri_Lanka_1956_1965,Sri_Lanka_1966_1975,Sri_Lanka_1976_1985,Sri_Lanka_1986_1995,Sri_Lanka_1996_2005,Sri_Lanka_2006_2010,Sri_Lanka_2011,Sri_Lanka_2012,Sri_Lanka_2013,Sri_Lanka_2014,Sri_Lanka_2015,Sri_Lanka_2016,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Thailand_Before_1946,Thailand_1946_1955,Thailand_1956_1965,Thailand_1966_1975,Thailand_1976_1985,Thailand_1986_1995,Thailand_1996_2005,Thailand_2006_2010,Thailand_2011,Thailand_2012,Thailand_2013,Thailand_2014,Thailand_2015,Thailand_2016,Thailand_Yr_arrival_ns,Thailand_Tot,FYROM_Before_1946,FYROM_1946_1955,FYROM_1956_1965,FYROM_1966_1975,FYROM_1976_1985,FYROM_1986_1995,FYROM_1996_2005,FYROM_2006_2010,FYROM_2011,FYROM_2012,FYROM_2013,FYROM_2014,FYROM_2015,FYROM_2016,FYROM_arrival_ns,FYROM_Tot,Turkey_Before_1946,Turkey_1946_1955,Turkey_1956_1965,Turkey_1966_1975,Turkey_1976_1985,Turkey_1986_1995,Turkey_1996_2005,Turkey_2006_2010,Turkey_2011,Turkey_2012,Turkey_2013,Turkey_2014,Turkey_2015,Turkey_2016,Turkey_Yr_arrival_ns,Turkey_Tot,United_Kingdom_Before_1946,United_Kingdom_1946_1955,United_Kingdom_1956_1965,United_Kingdom_1966_1975,United_Kingdom_1976_1985,United_Kingdom_1986_1995,United_Kingdom_1996_2005,United_Kingdom_2006_2010,United_Kingdom_2011,United_Kingdom_2012,United_Kingdom_2013,United_Kingdom_2014,United_Kingdom_2015,United_Kingdom_2016,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1946,USA_1946_1955,USA_1956_1965,USA_1966_1975,USA_1976_1985,USA_1986_1995,USA_1996_2005,USA_2006_2010,United_States_America_2011,United_States_America_2012,United_States_America_2013,United_States_America_2014,United_States_America_2015,United_States_America_2016,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1946,Vietnam_1946_1955,Vietnam_1956_1965,Vietnam_1966_1975,Vietnam_1976_1985,Vietnam_1986_1995,Vietnam_1996_2005,Vietnam_2006_2010,Vietnam_2011,Vietnam_2012,Vietnam_2013,Vietnam_2014,Vietnam_2015,Vietnam_2016,Vietnam_Yr_arrival_NS,Vietnam_Tot,Zimbabwe_Before_1946,Zimbabwe_1946_1955,Zimbabwe_1956_1965,Zimbabwe_1966_1975,Zimbabwe_1976_1985,Zimbabwe_1986_1995,Zimbabwe_1996_2005,Zimbabwe_2006_2010,Zimbabwe_2011,Zimbabwe_2012,Zimbabwe_2013,Zimbabwe_2014,Zimbabwe_2015,Zimbabwe_2016,Zimbabwe_Yr_arrival_NS,Zimbabwe_Tot,Born_elsewhere_Before_1946,Born_elsewhere_1946_1955,Born_elsewhere_1956_1965,Born_elsewhere_1966_1975,Born_elsewhere_1976_1985,Born_elsewhere_1986_1995,Born_elsewhere_1996_2005,Born_elsewhere_2006_2010,Born_elsewhere_2011,Born_elsewhere_2012,Born_elsewhere_2013,Born_elsewhere_2014,Born_elsewhere_2015,Born_elsewhere_2016,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1946,Tot_1946_1955,Tot_1956_1965,Tot_1966_1975,Tot_1976_1985,Tot_1986_1995,Tot_1996_2005,Tot_2006_2010,Tot_2011,Tot_2012,Tot_2013,Tot_2014,Tot_2015,Tot_2016,Tot_Yr_arrival_NS,Tot_Tot
LGA21270,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,32,33,7,12,0,0,0,0,3,0,0,0,6,108,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4,0,7,4,0,0,3,3,0,0,0,33,3,27,50,54,36,32,33,44,0,8,16,8,6,4,18,344
LGA21370,0,0,0,5,3,0,8,11,3,0,0,0,0,0,0,32,0,0,0,3,0,0,0,12,4,0,7,0,0,0,3,31,0,0,0,0,0,3,3,7,3,0,4,3,0,0,0,25,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,11,5,129,224,204,76,36,25,29,8,10,0,3,3,3,40,791,0,0,0,8,6,5,10,3,3,0,5,0,3,0,4,52,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,4,0,0,0,0,4,0,3,3,0,0,5,0,0,0,0,14,0,30,35,39,20,24,17,18,4,9,13,10,3,3,13,239,17,323,411,357,211,192,227,269,69,70,68,49,71,41,134,2506
LGA21450,0,3,5,30,65,43,114,111,11,23,15,15,3,4,12,454,0,0,8,45,30,93,152,322,53,44,22,26,39,10,32,877,0,0,0,3,5,12,32,26,4,5,12,8,4,3,10,122,0,0,0,6,4,0,4,0,4,0,0,0,0,0,0,20,0,0,0,18,13,7,7,0,0,0,0,0,0,0,0,42,20,311,791,1340,655,452,455,525,92,73,55,37,31,12,145,4984,0,3,7,22,23,20,48,42,6,3,11,3,10,3,7,206,0,0,0,0,14,30,10,13,0,6,3,3,7,0,3,91,0,0,0,0,12,8,13,42,14,10,4,11,0,0,5,114,8,46,126,425,299,464,779,657,91,86,80,64,79,41,80,3324,46,859,1570,2461,1686,1832,2800,3526,551,528,446,377,428,204,544,17845
LGA21610,3,5,18,77,406,288,567,414,53,64,33,42,38,19,37,2059,0,9,56,445,447,1998,2306,3374,447,667,428,318,339,224,238,11279,0,0,0,0,57,151,161,135,29,26,18,14,22,15,24,655,0,0,13,142,91,117,65,40,3,0,12,0,3,6,17,513,0,0,9,283,143,169,89,43,3,3,0,4,13,0,23,796,28,601,1730,2992,1589,1040,890,936,139,145,118,90,84,37,327,10733,0,9,14,51,37,65,152,93,33,33,19,21,17,13,21,572,0,0,0,12,343,480,286,278,37,41,45,27,30,26,44,1662,0,0,3,4,13,24,126,216,16,10,12,21,20,15,7,492,7,171,545,2604,2688,5944,7671,5463,1002,971,1218,864,855,578,794,31373,65,1979,4580,9556,8951,17009,23818,25091,3797,4217,4180,3212,2990,1940,3041,114422
LGA21670,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,69,169,179,52,16,10,9,0,0,3,0,0,0,23,548,0,0,4,3,0,3,3,4,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,14,15,9,8,18,14,0,3,0,3,0,0,7,114,10,120,284,262,134,74,56,73,7,16,12,16,17,13,66,1160
LGA21750,0,0,0,6,0,3,3,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,3,0,0,3,0,0,4,0,0,16,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,15,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,75,165,141,48,43,34,20,3,0,3,3,0,0,29,572,0,0,5,4,5,3,3,4,0,0,0,0,0,0,0,30,0,0,0,0,4,3,5,4,0,0,3,0,0,0,0,17,0,0,0,0,3,0,9,3,0,3,0,0,0,0,0,16,0,16,30,21,3,12,56,47,16,16,17,11,8,9,13,282,6,178,297,253,124,132,205,216,71,59,62,37,46,32,100,1808
LGA21830,0,0,0,0,3,0,0,0,0,3,0,0,4,0,0,13,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,3,49,83,79,36,8,27,12,3,4,0,0,3,0,13,325,0,3,0,3,0,0,5,0,0,0,0,3,0,3,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,9,12,8,12,3,13,16,0,5,4,0,3,0,3,85,10,128,139,133,90,64,189,108,9,32,19,17,30,6,42,1018
LGA21890,0,0,6,8,53,65,77,62,11,7,6,18,14,15,10,343,0,3,19,35,42,159,105,153,19,48,52,76,59,55,19,838,0,0,0,0,21,47,77,81,19,15,38,22,46,23,22,404,0,49,122,536,125,177,57,15,4,3,14,0,15,0,37,1150,0,3,0,85,37,39,24,21,3,0,8,6,3,5,7,246,10,148,367,557,375,378,507,448,96,107,94,106,87,38,123,3447,0,3,3,45,51,79,104,85,28,24,27,24,26,17,27,562,0,0,0,20,741,627,255,262,59,112,102,194,205,128,86,2798,0,0,0,0,9,4,17,36,7,0,3,3,3,3,0,86,4,145,236,706,572,747,1040,1234,245,372,502,724,716,492,254,7993,56,2326,5881,5789,3491,4942,5503,6748,1319,1768,2231,2694,2604,1723,1776,48845
LGA22110,0,0,11,8,14,6,29,14,3,0,4,3,0,0,0,100,0,0,0,8,0,0,3,0,0,6,4,3,0,0,0,34,0,0,0,0,0,7,7,3,0,4,0,4,6,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,19,303,517,605,164,109,100,83,6,9,0,9,3,0,93,2043,0,3,4,25,14,5,14,12,0,0,3,0,0,0,3,78,0,0,0,3,5,9,23,6,0,0,4,3,4,0,0,63,0,0,0,0,0,4,11,0,0,0,0,0,0,0,0,14,4,39,80,114,59,34,40,29,0,20,0,18,24,5,29,494,44,711,977,964,478,343,402,347,43,87,56,89,63,26,254,4883
LGA22170,0,0,11,29,108,92,249,165,46,40,38,20,27,6,27,857,0,3,40,108,58,103,98,83,16,12,12,15,8,10,16,593,0,0,0,0,20,19,54,71,10,15,22,21,18,11,16,273,0,3,0,15,5,4,10,5,0,0,0,0,0,0,0,42,0,0,0,42,10,13,18,9,0,0,0,0,0,0,3,91,34,626,1680,2531,1304,852,783,680,155,138,112,72,51,39,299,9349,0,6,9,35,39,60,90,61,16,21,7,10,11,3,12,389,0,0,0,0,21,33,34,25,5,8,11,6,6,6,10,177,0,0,4,4,11,17,64,71,4,5,4,4,0,0,3,181,6,133,259,605,494,726,993,629,100,93,97,92,73,39,126,4470,63,1475,3072,4484,3329,3580,4520,3799,755,689,693,604,508,301,960,28846
LGA22250,0,0,0,0,3,0,21,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,30,47,46,10,10,0,3,0,3,0,0,0,0,9,172,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,9,9,4,0,8,7,0,0,7,3,0,0,3,58,9,83,92,75,38,40,62,64,10,12,10,11,7,3,34,548
LGA22310,3,3,34,64,340,856,1246,398,48,30,29,46,60,13,38,3214,0,7,56,186,107,166,108,117,26,21,21,28,52,26,21,955,0,0,0,6,20,31,81,69,28,19,19,21,28,19,17,358,0,0,4,6,5,14,9,10,0,0,4,3,0,0,0,67,0,4,4,39,23,23,9,9,0,0,3,0,0,10,0,119,40,361,569,816,476,446,655,535,145,148,123,122,75,42,113,4662,5,10,19,77,90,123,181,189,51,54,29,65,33,29,30,978,0,0,0,5,237,103,65,102,16,28,32,46,49,26,21,729,0,0,0,10,32,14,52,34,7,5,3,7,3,3,0,151,70,726,837,877,1549,2890,1826,1346,284,317,351,387,371,232,278,12348,319,2444,3773,3998,4370,6992,7778,7684,1736,1914,2062,2748,2849,1656,1425,51751
LGA22410,0,0,0,3,3,3,23,18,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,4,0,0,0,0,3,0,3,19,0,0,0,0,0,3,4,3,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,68,157,168,50,27,26,26,0,0,3,4,0,0,26,549,0,0,0,3,3,0,10,3,0,0,0,0,0,0,0,23,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,18,0,14,20,22,13,19,8,17,4,7,0,0,0,0,8,132,4,168,244,263,147,131,175,161,22,30,30,24,23,17,54,1491
LGA22490,0,0,3,8,4,3,5,5,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,7,0,0,0,0,0,0,5,26,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,189,281,99,72,72,71,12,7,0,9,3,0,37,921,0,0,0,12,6,7,3,8,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,10,0,18,28,68,41,11,18,17,0,6,3,0,0,0,10,217,3,211,341,480,249,174,210,159,25,18,21,20,14,11,95,2021
LGA22620,0,0,3,14,26,16,63,57,13,11,15,9,3,0,0,228,0,0,3,16,12,16,37,46,8,11,3,3,4,6,11,178,0,0,0,0,5,4,21,178,28,19,37,42,24,20,24,408,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,4,0,3,3,0,0,0,0,0,0,0,0,12,26,263,489,645,239,181,204,144,23,8,17,13,9,8,99,2381,0,0,3,29,19,24,37,14,7,4,9,3,10,0,9,176,0,0,0,0,3,6,13,23,3,3,3,4,3,10,6,78,0,0,0,0,0,9,11,15,3,0,0,3,0,3,0,43,6,50,79,120,71,61,144,408,54,57,110,67,76,49,76,1418,48,628,884,1118,702,650,1102,1655,272,232,344,272,298,185,412,8817
LGA22670,0,3,4,32,148,68,58,50,8,7,4,8,6,7,3,412,0,0,47,434,292,1057,966,1421,280,676,359,248,291,158,135,6364,0,0,0,3,142,212,158,272,29,37,59,94,86,44,40,1178,0,0,9,197,172,261,160,74,6,16,10,3,5,0,50,967,0,5,5,231,124,174,109,45,3,0,11,4,4,0,21,745,16,220,506,787,273,137,89,67,19,19,19,11,15,11,76,2265,0,3,0,9,17,18,37,23,10,11,16,9,10,3,5,177,0,0,3,25,3103,4548,1866,1550,242,279,399,342,325,153,424,13286,0,0,0,0,0,0,15,65,8,3,3,6,16,6,0,133,8,99,324,1775,2492,4498,5350,4046,987,1504,1611,1066,944,571,826,26101,48,1235,2949,6037,8629,14761,14180,15622,2681,4344,4674,3886,3659,2199,2866,87766
LGA22750,0,7,12,78,64,78,131,147,41,21,4,18,14,7,4,635,0,4,12,30,26,42,44,99,14,46,24,21,26,23,10,403,0,0,0,0,16,29,60,193,34,34,47,35,39,35,24,550,0,10,137,305,74,63,28,3,4,0,0,0,7,0,15,641,0,0,0,50,17,19,19,7,0,0,0,3,6,3,15,148,56,1026,2291,2524,910,726,770,824,154,97,128,91,86,42,355,10085,0,6,9,77,53,58,132,112,28,17,26,18,31,22,22,611,0,0,0,8,117,84,61,64,17,20,20,9,27,18,76,525,0,0,3,0,11,0,47,54,5,3,13,4,0,0,3,148,16,428,720,976,359,503,689,841,163,224,327,212,238,161,289,6150,113,3610,5566,5973,2738,3020,3920,4990,933,1037,1245,1061,1280,878,1631,37981
