LGA_CODE_2016,A25_34_SOLSE_T_06_10,A25_34_SOLSE_T_11,A25_34_SOLSE_T_12,A25_34_SOLSE_T_13,A25_34_SOLSE_T_14,A25_34_SOLSE_T_15,A25_34_SOLSE_T_16,A25_34_SOLSE_T_YNS,A25_34_SOLSE_T_T,A25_34_L_PinE_NS_B00,A25_34_L_PinE_NS_00_05,A25_34_L_PinE_NS_06_10,A25_34_L_PinE_NS_11,A25_34_L_PinE_NS_12,A25_34_L_PinE_NS_13,A25_34_L_PinE_NS_14,A25_34_L_PinE_NS_15,A25_34_L_PinE_NS_16,A25_34_L_PinE_NS_YNS,A25_34_L_PinE_NS_T,A25_34_T_B00,A25_34_T_00_05,A25_34_T_06_10,A25_34_T_11,A25_34_T_12,A25_34_T_13,A25_34_T_14,A25_34_T_15,A25_34_T_16,A25_34_T_YNS,A25_34_T_T,A35_44_SEO_B00,A35_44_SEO_00_05,A35_44_SEO_06_10,A35_44_SEO_11,A35_44_SEO_12,A35_44_SEO_13,A35_44_SEO_14,A35_44_SEO_15,A35_44_SEO_16,A35_44_SEO_YNS,A35_44_SEO_T,A35_44_SOLSE_VWW_B00,A35_44_SOLSE_VWW_00_05,A35_44_SOLSE_VWW_06_10,A35_44_SOLSE_VWW_11,A35_44_SOLSE_VWW_12,A35_44_SOLSE_VWW_13,A35_44_SOLSE_VWW_14,A35_44_SOLSE_VWW_15,A35_44_SOLSE_VWW_16,A35_44_SOLSE_VWW_YNS,A35_44_SOLSE_VWW_T,A35_44_SOLSE_NWNAA_B00,A35_44_SOLSE_NWNAA_00_05,A35_44_SOLSE_NWNAA_06_10,A35_44_SOLSE_NWNAA_11,A35_44_SOLSE_NWNAA_12,A35_44_SOLSE_NWNAA_13,A35_44_SOLSE_NWNAA_14,A35_44_SOLSE_NWNAA_15,A35_44_SOLSE_NWNAA_16,A35_44_SOLSE_NWNAA_YNS,A35_44_SOLSE_NWNAA_T,A35_44_SOLSE_PinE_NS_B00,A35_44_SOLSE_PinE_NS_00_05,A35_44_SOLSE_PinE_NS_06_10,A35_44_SOLSE_PinE_NS_11,A35_44_SOLSE_PinE_NS_12,A35_44_SOLSE_PinE_NS_13,A35_44_SOLSE_PinE_NS_14,A35_44_SOLSE_PinE_NS_15,A35_44_SOLSE_PinE_NS_16,A35_44_SOLSE_PinE_NS_YNS,A35_44_SOLSE_PinE_NS_T,A35_44_SOLSE_T_B00,A35_44_SOLSE_T_00_05,A35_44_SOLSE_T_06_10,A35_44_SOLSE_T_11,A35_44_SOLSE_T_12,A35_44_SOLSE_T_13,A35_44_SOLSE_T_14,A35_44_SOLSE_T_15,A35_44_SOLSE_T_16,A35_44_SOLSE_T_YNS,A35_44_SOLSE_T_T,A35_44_L_PinE_NS_B00,A35_44_L_PinE_NS_00_05,A35_44_L_PinE_NS_06_10,A35_44_L_PinE_NS_11,A35_44_L_PinE_NS_12,A35_44_L_PinE_NS_13,A35_44_L_PinE_NS_14,A35_44_L_PinE_NS_15,A35_44_L_PinE_NS_16,A35_44_L_PinE_NS_YNS,A35_44_L_PinE_NS_T,A35_44_T_B00,A35_44_T_00_05,A35_44_T_06_10,A35_44_T_11,A35_44_T_12,A35_44_T_13,A35_44_T_14,A35_44_T_15,A35_44_T_16,A35_44_T_YNS,A35_44_T_T,A45_54_SEO_B00,A45_54_SEO_00_05,A45_54_SEO_06_10,A45_54_SEO_11,A45_54_SEO_12,A45_54_SEO_13,A45_54_SEO_14,A45_54_SEO_15,A45_54_SEO_16,A45_54_SEO_YNS,A45_54_SEO_T,A45_54_SOLSE_VWW_B00,A45_54_SOLSE_VWW_00_05,A45_54_SOLSE_VWW_06_10,A45_54_SOLSE_VWW_11,A45_54_SOLSE_VWW_12,A45_54_SOLSE_VWW_13,A45_54_SOLSE_VWW_14,A45_54_SOLSE_VWW_15,A45_54_SOLSE_VWW_16,A45_54_SOLSE_VWW_YNS,A45_54_SOLSE_VWW_T,A45_54_SOLSE_NWNAA_B00,A45_54_SOLSE_NWNAA_00_05,A45_54_SOLSE_NWNAA_06_10,A45_54_SOLSE_NWNAA_11,A45_54_SOLSE_NWNAA_12,A45_54_SOLSE_NWNAA_13,A45_54_SOLSE_NWNAA_14,A45_54_SOLSE_NWNAA_15,A45_54_SOLSE_NWNAA_16,A45_54_SOLSE_NWNAA_YNS,A45_54_SOLSE_NWNAA_T,A45_54_SOLSE_PinE_NS_B00,A45_54_SOLSE_PinE_NS_00_05,A45_54_SOLSE_PinE_NS_06_10,A45_54_SOLSE_PinE_NS_11,A45_54_SOLSE_PinE_NS_12,A45_54_SOLSE_PinE_NS_13,A45_54_SOLSE_PinE_NS_14,A45_54_SOLSE_PinE_NS_15,A45_54_SOLSE_PinE_NS_16,A45_54_SOLSE_PinE_NS_YNS,A45_54_SOLSE_PinE_NS_T,A45_54_SOLSE_T_B00,A45_54_SOLSE_T_00_05,A45_54_SOLSE_T_06_10,A45_54_SOLSE_T_11,A45_54_SOLSE_T_12,A45_54_SOLSE_T_13,A45_54_SOLSE_T_14,A45_54_SOLSE_T_15,A45_54_SOLSE_T_16,A45_54_SOLSE_T_YNS,A45_54_SOLSE_T_T,A45_54_L_PinE_NS_B00,A45_54_L_PinE_NS_00_05,A45_54_L_PinE_NS_06_10,A45_54_L_PinE_NS_11,A45_54_L_PinE_NS_12,A45_54_L_PinE_NS_13,A45_54_L_PinE_NS_14,A45_54_L_PinE_NS_15,A45_54_L_PinE_NS_16,A45_54_L_PinE_NS_YNS,A45_54_L_PinE_NS_T,A45_54_T_B00,A45_54_T_00_05,A45_54_T_06_10,A45_54_T_11,A45_54_T_12,A45_54_T_13,A45_54_T_14,A45_54_T_15,A45_54_T_16,A45_54_T_YNS,A45_54_T_T,A55_64_SEO_B00,A55_64_SEO_00_05,A55_64_SEO_06_10,A55_64_SEO_11,A55_64_SEO_12,A55_64_SEO_13,A55_64_SEO_14,A55_64_SEO_15,A55_64_SEO_16,A55_64_SEO_YNS,A55_64_SEO_T,A55_64_SOLSE_VWW_B00,A55_64_SOLSE_VWW_00_05,A55_64_SOLSE_VWW_06_10,A55_64_SOLSE_VWW_11
LGA21270,3,3,0,3,3,5,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,4,5,6,5,0,4,38,12,7,3,0,0,0,0,0,0,0,20,0,6,11,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,16,7,11,0,0,0,0,0,0,3,41,32,5,0,0,0,0,0,0,0,0,41,3,0,9,0,0,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,3,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,33,4,7,0,0,3,0,0,0,0,61,44,0,0,0,0,0,0,0,0,0,50,8,0,0,0
LGA21370,63,14,16,17,26,17,7,5,176,0,0,0,0,0,0,0,0,0,0,0,30,24,84,18,22,28,32,19,13,6,271,76,26,21,3,8,3,3,3,3,7,150,19,10,46,12,3,8,3,10,4,7,129,0,0,0,0,0,0,0,3,3,0,12,0,0,3,0,0,0,0,0,0,0,3,24,17,49,12,3,13,3,15,4,7,145,0,0,0,0,0,0,0,0,0,0,0,95,37,71,19,11,15,10,11,8,14,296,183,23,11,3,8,0,3,0,0,13,244,37,7,12,0,0,0,0,0,0,5,71,6,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,40,9,18,0,0,0,0,0,0,5,78,3,0,0,0,0,0,0,0,0,0,3,222,30,30,4,4,0,3,3,3,19,323,306,15,10,3,0,3,0,0,3,17,352,46,0,4,0
LGA21450,836,90,112,121,103,108,52,34,1917,3,0,0,0,0,0,0,0,0,0,7,589,380,1017,132,159,145,133,135,60,49,2806,793,217,230,61,36,25,20,13,3,43,1440,324,350,680,71,62,47,39,40,11,25,1653,7,19,35,8,10,4,3,8,3,7,105,3,5,5,0,0,0,0,0,0,0,14,336,375,718,77,77,53,40,42,18,27,1772,0,3,0,0,0,0,0,0,0,3,3,1129,596,950,139,116,81,61,58,17,72,3213,1448,211,219,33,18,10,10,8,3,55,2003,397,172,211,21,18,21,12,13,3,14,875,23,21,28,3,0,3,3,9,5,4,96,3,0,0,0,0,0,0,0,0,0,6,425,194,235,26,22,20,17,17,7,19,978,5,3,0,0,0,0,0,0,0,3,5,1870,399,457,57,33,28,20,27,13,78,2986,1596,73,51,4,4,4,3,5,3,42,1794,468,51,36,0
LGA21610,6459,965,1125,1069,823,721,408,298,16947,0,0,6,0,0,0,0,3,0,14,31,4170,3168,7130,1098,1306,1178,897,784,446,417,20596,2644,791,765,134,138,95,67,59,27,102,4822,4027,3864,5545,612,585,455,312,292,138,178,15997,216,407,641,128,156,161,84,75,62,40,1976,45,29,46,6,3,5,3,0,0,3,153,4296,4300,6227,742,752,623,396,369,199,223,18128,3,4,3,0,0,3,0,0,0,5,21,6944,5099,6999,870,889,724,461,424,229,331,22965,4709,800,645,79,77,50,37,32,19,148,6597,5910,1886,1797,171,166,120,109,62,35,157,10411,760,416,443,81,103,110,66,52,54,90,2169,44,15,10,0,0,0,4,0,0,10,95,6709,2328,2251,252,267,227,174,112,93,254,12676,4,0,0,0,0,0,0,0,0,7,19,11426,3128,2901,336,349,281,216,142,105,407,19291,5108,333,163,23,20,25,15,10,7,122,5830,5620,558,296,46
LGA21670,22,0,10,3,10,3,0,0,50,0,0,0,0,0,0,0,0,0,0,0,8,4,26,0,11,8,12,3,0,3,67,28,4,7,0,0,0,0,0,0,0,46,11,6,13,0,0,3,0,0,0,3,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,13,0,0,3,3,0,0,3,36,0,0,0,0,0,0,0,0,0,0,0,39,8,20,0,0,3,3,0,3,7,85,97,5,4,0,0,0,0,0,0,5,114,16,0,5,0,4,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,5,0,4,0,0,0,0,3,28,0,0,0,0,0,0,0,0,0,4,4,113,6,5,0,4,0,0,0,0,6,150,186,0,4,0,0,0,0,4,0,11,205,27,4,0,0
LGA21750,54,19,11,17,14,10,4,5,163,0,0,0,0,0,0,0,0,0,0,5,30,34,73,27,13,17,21,15,11,9,248,47,19,17,4,0,4,3,0,0,4,104,15,28,28,9,6,9,3,10,3,9,108,0,0,7,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,16,28,41,11,6,12,3,10,3,9,125,0,0,0,0,0,0,0,0,0,0,0,62,50,54,17,7,14,8,5,3,13,232,114,16,4,4,0,0,3,0,0,10,152,28,17,8,3,3,3,0,0,0,3,60,0,3,5,0,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,28,14,8,3,3,7,0,0,3,3,75,0,0,0,0,0,0,0,0,0,0,0,142,35,20,3,6,7,3,0,6,11,228,226,8,5,0,3,0,3,0,0,9,256,24,3,0,3
LGA21830,13,0,6,12,3,9,4,4,57,0,0,0,0,0,0,0,0,0,0,0,12,16,22,7,17,11,0,10,4,11,118,30,22,13,0,0,0,0,5,0,4,78,6,8,11,0,4,0,0,0,3,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,11,0,4,0,0,0,3,3,37,0,0,0,0,0,0,0,0,0,0,0,36,27,24,0,3,0,0,5,3,4,110,87,31,14,4,0,0,4,3,0,3,146,8,0,10,0,0,0,3,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,10,0,0,0,3,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,100,35,21,4,0,0,7,5,0,5,171,127,8,0,3,0,0,0,0,0,3,146,15,0,3,0
LGA21890,2776,435,671,883,1032,934,521,187,8808,0,0,0,0,0,0,3,0,3,12,18,1280,953,3429,606,897,1075,1228,1084,615,277,11444,1138,519,509,89,91,59,43,39,17,72,2587,1096,809,1126,130,166,194,176,153,94,72,4014,91,97,164,39,37,65,40,40,21,31,622,4,5,11,0,3,0,4,0,0,3,31,1193,910,1299,169,203,261,213,196,121,109,4673,4,0,4,0,0,0,0,0,0,4,8,2339,1431,1811,259,300,327,250,231,137,186,7264,1572,221,97,16,16,12,14,3,6,52,1999,2059,262,217,31,40,38,26,24,8,63,2766,363,92,122,26,24,38,40,30,21,33,792,21,0,3,0,0,0,0,0,0,3,30,2442,353,340,60,56,79,71,50,33,105,3590,7,0,0,0,0,0,0,0,0,4,8,4015,577,441,70,72,88,83,51,42,157,5594,1354,39,31,4,0,5,12,3,4,40,1497,2532,64,42,11
LGA22110,70,9,16,18,29,23,8,10,208,0,0,0,0,0,0,0,0,0,0,0,56,34,97,10,19,20,37,26,5,19,332,117,46,40,5,9,6,7,3,0,13,237,30,19,42,3,9,11,6,6,3,7,141,3,3,0,0,0,0,0,0,3,0,13,0,0,0,0,0,0,0,0,0,0,0,33,26,46,3,14,8,12,6,5,7,161,0,0,0,0,0,0,0,0,0,3,3,154,70,89,11,23,11,11,7,4,22,397,301,44,30,0,3,0,7,0,0,15,400,56,24,14,7,0,0,6,0,0,4,112,5,0,7,3,0,0,0,3,0,0,20,0,0,0,0,0,0,0,0,0,0,5,62,23,17,5,3,3,6,4,0,4,131,3,0,0,0,0,0,0,0,0,0,3,366,73,51,5,10,4,9,4,0,18,536,690,21,16,3,4,3,0,0,0,21,760,103,3,8,0
LGA22170,671,95,106,135,118,90,45,52,1829,0,0,3,0,0,0,0,0,0,6,5,880,457,988,182,183,196,162,136,73,100,3365,1246,347,329,74,64,57,37,24,10,56,2245,557,506,631,92,71,71,61,37,24,21,2062,17,24,48,9,5,12,10,16,11,10,159,3,6,3,0,0,0,0,0,0,0,26,572,538,683,98,80,80,72,47,29,32,2236,3,3,0,0,0,0,0,0,0,0,9,1826,884,1011,175,145,138,110,70,42,91,4490,2482,325,263,54,41,33,26,15,8,84,3335,869,264,277,38,28,25,25,13,6,24,1568,59,38,40,5,3,5,9,12,0,8,176,12,4,0,0,0,0,0,0,0,0,19,933,310,322,40,30,34,30,19,12,32,1759,0,0,0,0,0,0,0,0,0,0,5,3420,636,585,93,74,61,55,34,13,119,5100,3099,120,86,10,9,8,13,10,3,77,3432,1020,82,55,20
LGA22250,17,6,3,10,3,3,0,0,44,0,0,0,0,0,0,0,0,0,0,0,6,3,25,6,5,10,6,7,0,4,65,17,0,5,0,0,0,0,0,0,0,26,0,5,15,0,0,3,3,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,0,0,3,3,0,0,3,33,0,0,0,0,0,0,0,0,0,0,3,23,7,24,0,0,3,5,0,0,5,59,39,3,0,3,0,0,0,0,0,3,51,5,7,3,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,5,7,3,0,0,0,0,0,0,7,18,0,0,0,0,0,0,0,0,0,0,0,52,6,3,3,3,0,0,0,0,11,73,74,3,3,0,0,0,0,0,0,0,84,13,0,0,0
LGA22310,2659,456,560,697,864,789,396,170,8084,0,0,3,0,0,0,0,0,0,3,8,1479,1113,3324,675,764,883,1040,929,480,240,10918,1423,639,470,67,86,65,65,40,23,61,2936,1401,1065,1279,239,228,222,247,206,88,57,5027,17,47,86,24,24,43,60,52,30,23,420,3,5,3,0,3,0,0,3,0,0,19,1421,1122,1372,261,257,264,305,265,122,78,5470,0,0,0,0,0,0,0,0,0,3,4,2850,1759,1843,328,342,330,372,309,143,144,8411,2305,405,255,40,35,16,16,14,14,55,3153,2148,405,328,72,51,46,45,41,15,52,3198,110,49,124,34,33,31,36,39,29,23,501,11,3,0,0,0,0,0,0,0,3,22,2267,460,447,101,81,70,81,81,49,76,3718,0,0,0,0,0,0,0,0,0,0,0,4574,864,702,146,118,90,99,91,58,132,6874,2436,123,55,5,16,0,9,3,3,32,2676,2258,95,64,16
LGA22410,24,6,3,6,5,7,5,0,50,0,0,0,0,0,0,0,0,0,3,3,19,12,38,9,6,12,8,7,3,4,104,44,6,23,3,0,4,0,3,0,3,85,13,5,25,4,3,4,0,4,0,4,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,25,4,3,4,0,4,0,4,56,0,0,0,0,0,0,0,0,0,0,0,56,14,46,7,4,9,0,3,0,7,145,142,14,15,0,3,0,0,0,0,3,186,21,7,8,3,9,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,21,8,11,3,4,0,0,0,0,3,54,0,0,0,0,0,0,0,0,0,0,0,163,23,27,3,12,0,0,3,0,5,242,243,15,6,0,0,3,0,0,0,13,287,31,3,8,0
LGA22490,16,0,0,3,3,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,36,13,34,12,3,4,3,0,0,6,117,97,22,17,4,7,6,0,3,0,7,167,24,12,9,0,0,0,3,0,0,0,54,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,23,12,13,0,0,0,3,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,121,35,28,4,3,3,4,3,0,11,221,268,20,26,0,3,0,4,0,0,13,333,35,7,8,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,34,9,14,0,0,0,0,0,0,3,56,0,0,0,0,0,0,0,0,0,0,0,303,28,31,0,3,0,4,3,0,18,391,364,4,12,0,4,0,0,0,0,20,412,59,0,4,0
LGA22620,407,68,54,79,79,75,42,20,950,0,0,0,0,0,0,0,0,0,3,3,174,117,474,85,70,100,86,99,54,41,1301,288,109,106,17,6,9,5,9,3,27,579,66,109,254,43,33,29,28,20,12,13,611,0,3,51,11,8,12,11,11,4,5,118,0,0,0,0,0,0,0,0,0,0,3,71,112,305,54,37,46,42,31,17,18,737,0,0,0,0,0,0,0,0,0,0,0,358,219,408,68,44,52,45,45,24,46,1313,632,63,62,3,12,4,3,4,3,30,823,108,73,80,13,13,7,8,8,8,7,316,15,8,45,0,5,12,9,9,4,7,110,3,0,4,0,0,0,0,0,0,0,10,120,85,126,11,16,23,16,14,13,9,434,0,0,0,0,0,0,0,0,0,0,3,761,142,191,14,26,29,16,18,17,39,1257,853,38,23,0,3,5,9,3,6,30,964,140,23,15,3
LGA22670,5935,852,1594,1616,1285,1115,617,379,17583,0,0,10,0,0,3,0,0,0,14,25,3018,2059,6254,921,1675,1672,1346,1165,649,460,19223,872,206,218,28,31,37,19,27,6,47,1491,3642,1852,2797,330,424,350,231,237,91,152,10115,718,546,721,154,313,301,144,123,80,94,3201,37,16,21,3,3,15,0,4,0,6,102,4396,2420,3540,487,741,658,377,367,171,254,13415,3,5,0,0,0,0,0,0,0,10,23,5269,2629,3764,517,775,696,403,393,179,305,14931,1203,172,138,11,13,13,8,7,8,45,1623,4762,900,805,97,144,100,60,65,22,138,7095,2026,484,481,124,209,167,90,99,73,170,3931,45,12,8,3,3,0,0,0,0,10,83,6834,1393,1294,227,354,268,156,166,100,319,11113,0,0,0,0,0,0,0,0,0,8,14,8042,1567,1430,234,368,283,164,169,110,377,12747,1644,111,54,5,6,6,4,0,3,55,1881,4309,306,151,29
LGA22750,1221,211,260,314,275,318,196,80,3402,0,0,3,0,0,0,0,0,0,80,83,791,436,1545,293,345,389,338,385,233,232,4985,1015,380,382,91,55,56,32,32,18,61,2129,446,358,732,96,120,95,62,71,29,36,2053,24,33,78,18,28,38,23,25,19,12,300,7,0,12,0,0,0,0,0,0,0,16,474,393,816,120,148,137,86,100,49,49,2367,3,0,0,0,0,0,0,0,0,71,77,1492,765,1202,213,206,194,111,135,75,190,4578,2319,271,288,37,21,22,22,10,8,73,3069,868,244,285,29,30,30,26,22,16,34,1593,100,25,68,10,25,31,18,25,14,18,323,13,0,3,0,0,0,0,0,0,6,19,982,270,358,41,57,55,47,39,30,61,1939,4,0,0,0,0,0,0,0,0,43,47,3306,548,642,83,74,79,69,54,34,174,5057,3479,104,81,13,12,13,10,4,0,105,3813,1308,73,45,3
LGA22830,561,69,124,133,143,161,56,55,1571,0,0,0,0,0,0,0,0,0,10,10,173,177,622,89,138,147,162,172,67,80,1838,119,52,44,4,7,5,20,11,0,14,286,118,166,331,43,39,59,38,33,19,16,861,30,43,77,14,23,53,25,10,15,7,297,0,3,8,0,0,0,0,0,0,0,14,153,214,417,55,62,107,72,40,29,25,1172,0,0,0,0,0,0,0,0,0,12,12,269,266,459,63,69,115,88,55,30,51,1475,299,51,32,7,3,9,8,8,4,20,444,240,97,130,19,20,15,18,10,3,10,556,49,43,50,6,19,15,11,8,5,8,221,4,3,0,0,0,0,0,0,0,0,10,298,144,183,30,33,33,24,20,9,17,778,0,0,0,0,0,0,0,0,0,6,12,595,188,212,37,39,37,32,31,14,48,1233,473,24,20,0,0,0,0,3,0,22,543,272,34,26,0
LGA22910,31,0,0,3,4,10,3,3,63,0,0,0,0,0,0,0,0,0,0,0,11,9,47,3,3,7,13,10,4,4,117,75,36,21,5,0,0,0,0,0,5,144,17,8,19,3,5,3,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,14,8,19,3,5,3,3,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,91,40,41,8,11,4,4,0,3,4,211,212,24,17,0,0,0,3,0,0,11,267,36,3,11,3,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,3,11,3,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,247,23,23,3,0,0,3,0,0,12,317,328,12,10,0,0,0,0,0,0,17,368,68,7,3,0
LGA22980,43,0,7,3,0,8,0,0,77,0,0,0,0,0,0,0,0,0,0,0,5,4,49,7,7,3,3,8,0,0,86,8,0,3,0,4,0,0,0,0,0,18,0,8,8,3,3,3,0,0,0,0,28,0,3,13,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,13,18,8,0,3,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,8,15,25,8,3,3,0,3,0,0,66,29,3,0,3,0,0,0,0,0,0,35,0,3,3,0,0,0,0,0,0,0,10,0,0,13,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,3,13,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,28,6,13,3,0,0,0,0,0,0,58,57,0,4,0,0,0,0,0,0,3,65,6,0,0,0
LGA23110,1238,200,251,300,295,274,160,91,3515,0,0,0,0,0,0,0,0,0,6,9,644,516,1593,310,371,406,368,352,186,133,4865,729,413,368,99,63,47,38,32,18,32,1839,722,474,618,89,124,102,115,74,36,34,2384,60,39,84,15,26,23,18,16,11,7,301,10,5,3,0,0,0,0,0,0,0,17,790,514,701,102,148,126,141,90,50,50,2706,0,0,0,0,0,0,0,0,0,0,3,1521,931,1072,207,207,167,182,126,69,78,4552,1337,194,144,30,30,19,19,9,9,38,1826,1265,171,151,26,16,16,12,17,8,34,1715,201,53,48,13,7,16,19,15,7,10,380,11,0,0,0,0,0,0,0,0,0,13,1470,225,196,37,31,36,30,29,13,47,2107,6,0,0,0,0,0,0,0,0,0,9,2813,418,344,64,58,54,49,38,22,81,3937,1501,63,49,12,10,10,8,0,4,35,1693,1526,40,32,15
LGA23190,67,14,11,4,12,9,4,3,130,0,0,0,0,0,0,0,0,0,0,0,21,16,73,17,11,9,12,5,8,6,186,23,20,12,0,0,3,0,0,0,0,64,4,19,62,3,3,4,3,3,3,4,119,0,0,11,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,18,72,3,3,4,3,3,8,4,125,0,0,0,0,0,0,0,0,0,0,0,30,32,85,5,4,4,6,7,8,5,186,62,9,6,0,6,3,0,0,0,3,86,12,5,18,3,0,0,0,0,0,0,50,3,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,11,5,20,3,0,0,0,0,0,3,57,0,0,0,0,0,0,0,0,0,0,0,80,12,31,3,5,3,0,0,0,8,144,117,3,3,0,0,3,0,0,0,5,135,22,3,0,0
LGA23270,4279,713,700,870,786,673,423,224,11887,0,3,0,0,0,0,0,0,0,100,105,2158,1785,4583,788,764,942,842,719,457,378,13414,890,290,264,47,50,30,18,39,4,58,1700,2804,1936,2508,274,311,287,225,199,107,156,8808,369,351,457,107,93,190,124,111,95,56,1945,27,18,20,0,4,0,6,0,0,3,77,3201,2297,2987,382,407,482,348,309,203,216,10830,7,0,0,0,0,0,0,0,0,39,48,4088,2592,3252,430,457,512,375,343,212,315,12579,1940,247,155,28,18,12,12,5,3,72,2492,4956,862,795,118,91,99,73,58,24,162,7228,1007,318,350,92,70,160,78,90,84,82,2334,41,10,6,0,0,0,3,0,0,9,75,6001,1190,1154,207,169,257,160,148,107,250,9639,6,3,3,0,0,0,0,0,0,35,46,7955,1437,1302,238,187,263,171,155,113,354,12176,2117,101,57,5,5,7,3,4,3,78,2381,4007,262,174,36
LGA23350,9,0,3,0,6,4,0,0,23,0,0,0,0,0,0,0,0,0,3,3,9,11,15,0,6,0,10,5,0,5,64,53,19,10,7,3,0,0,0,0,3,93,14,4,13,3,0,3,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,14,4,17,3,0,3,0,0,0,0,48,0,0,0,0,0,0,0,0,0,10,10,66,23,27,4,3,3,0,0,0,12,145,159,17,9,0,0,3,3,0,0,4,199,21,3,3,0,0,0,0,0,0,3,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3,3,0,0,0,0,0,0,3,31,0,0,0,0,0,0,0,0,0,7,7,181,20,15,4,0,3,0,0,0,16,241,262,5,5,0,0,0,0,0,0,9,282,24,0,0,0
LGA23430,1806,261,345,417,424,407,214,140,5315,0,0,0,0,4,0,0,0,0,4,9,1318,905,2211,389,493,515,531,475,255,193,7283,1346,621,608,140,118,93,77,52,35,50,3139,1330,957,1118,154,190,157,147,116,59,64,4295,61,39,104,11,21,37,37,39,24,14,383,12,11,6,0,0,0,3,0,0,3,35,1403,1004,1231,172,216,191,189,155,85,73,4716,0,0,0,0,0,0,0,0,0,3,3,2753,1624,1838,311,330,284,267,205,118,131,7855,2478,447,346,49,53,44,35,28,15,72,3565,2404,475,341,50,39,36,25,21,18,55,3467,282,80,95,25,33,28,29,38,22,31,663,20,6,3,0,0,0,0,0,0,3,30,2703,559,440,79,76,65,50,57,41,96,4162,6,0,0,0,0,0,0,0,0,4,14,5192,998,790,128,131,110,82,88,52,167,7736,2593,141,85,12,5,6,3,10,3,52,2904,2658,129,63,9
LGA23670,1953,244,302,252,262,231,92,96,5185,3,0,0,0,0,0,0,0,0,3,4,1437,1219,2157,297,346,292,302,261,109,126,6554,1218,286,279,44,48,35,39,16,6,46,2018,1473,1251,1425,214,198,148,112,94,43,56,5012,60,98,191,36,39,51,44,40,13,14,574,3,9,11,0,0,0,0,0,0,0,16,1536,1356,1627,253,233,197,150,131,57,70,5599,3,3,0,0,0,0,0,0,0,3,12,2754,1641,1906,293,283,230,185,142,65,123,7630,2403,268,178,26,30,16,17,3,3,58,2998,2385,772,688,98,53,40,38,24,6,59,4161,310,109,171,43,43,37,36,19,10,42,819,16,4,3,0,0,0,0,0,0,0,26,2713,885,856,145,97,77,71,48,18,94,5002,0,0,0,0,0,0,0,0,0,5,6,5116,1148,1037,170,120,92,92,48,22,159,8003,3177,124,62,10,14,3,3,11,3,66,3468,2922,289,152,20
