LGA_CODE_2016,M_LPLFS_EFT_DC_0_4,M_LPLFS_EFT_DC_5_9,M_LPLFS_EFT_DC_10_12,M_LPLFS_EFT_DC_13_14,M_LPLFS_EFT_DC_15_17,M_LPLFS_EFT_DC_18_20,M_LPLFS_EFT_DC_21_24,M_LPLFS_EFT_T,M_LPLFS_EPT_DC_0_4,M_LPLFS_EPT_DC_5_9,M_LPLFS_EPT_DC_10_12,M_LPLFS_EPT_DC_13_14,M_LPLFS_EPT_DC_15_17,M_LPLFS_EPT_DC_18_20,M_LPLFS_EPT_DC_21_24,M_LPLFS_EPT_T,M_LPLFS_EAW_DC_0_4,M_LPLFS_EAW_DC_5_9,M_LPLFS_EAW_DC_10_12,M_LPLFS_EAW_DC_13_14,M_LPLFS_EAW_DC_15_17,M_LPLFS_EAW_DC_18_20,M_LPLFS_EAW_DC_21_24,M_LPLFS_EAW_T,M_LPLFS_HNS_DC_0_4,M_LPLFS_HNS_DC_5_9,M_LPLFS_HNS_DC_10_12,M_LPLFS_HNS_DC_13_14,M_LPLFS_HNS_DC_15_17,M_LPLFS_HNS_DC_18_20,M_LPLFS_HNS_DC_21_24,M_LPLFS_HNS_T,M_LPLFS_EW_T_DC_0_4,M_LPLFS_EW_T_DC_5_9,M_LPLFS_EW_T_DC_10_12,M_LPLFS_EW_T_DC_13_14,M_LPLFS_EW_T_DC_15_17,M_LPLFS_EW_T_DC_18_20,M_LPLFS_EW_T_DC_21_24,M_LPLFS_EW_T_T,M_LPLFS_ULFTW_DC_0_4,M_LPLFS_ULFTW_DC_5_9,M_LPLFS_ULFTW_DC_10_12,M_LPLFS_ULFTW_DC_13_14,M_LPLFS_ULFTW_DC_15_17,M_LPLFS_ULFTW_DC_18_20,M_LPLFS_ULFTW_DC_21_24,M_LPLFS_ULFTW_T,M_LPLFS_ULPTW_DC_0_4,M_LPLFS_ULPTW_DC_5_9,M_LPLFS_ULPTW_DC_10_12,M_LPLFS_ULPTW_DC_13_14,M_LPLFS_ULPTW_DC_15_17,M_LPLFS_ULPTW_DC_18_20,M_LPLFS_ULPTW_DC_21_24,M_LPLFS_ULPTW_T,M_LPLFS_U_T_DC_0_4,M_LPLFS_U_T_DC_5_9,M_LPLFS_U_T_DC_10_12,M_LPLFS_U_T_DC_13_14,M_LPLFS_U_T_DC_15_17,M_LPLFS_U_T_DC_18_20,M_LPLFS_U_T_DC_21_24,M_LPLFS_U_T_T,M_LPLFS_T_LF_DC_0_4,M_LPLFS_T_LF_DC_5_9,M_LPLFS_T_LF_DC_10_12,M_LPLFS_T_LF_DC_13_14,M_LPLFS_T_LF_DC_15_17,M_LPLFS_T_LF_DC_18_20,M_LPLFS_T_LF_DC_21_24,M_LPLFS_T_LF_T,M_LPLFS_NLF_DC_0_4,M_LPLFS_NLF_DC_5_9,M_LPLFS_NLF_DC_10_12,M_LPLFS_NLF_DC_13_14,M_LPLFS_NLF_DC_15_17,M_LPLFS_NLF_DC_18_20,M_LPLFS_NLF_DC_21_24,M_LPLFS_NLF_T,M_LPLFS_LFSNS_DC_0_4,M_LPLFS_LFSNS_DC_5_9,M_LPLFS_LFSNS_DC_10_12,M_LPLFS_LFSNS_DC_13_14,M_LPLFS_LFSNS_DC_15_17,M_LPLFS_LFSNS_DC_18_20,M_LPLFS_LFSNS_DC_21_24,M_LPLFS_LFSNS_T,M_LPLFS_T_DC_0_4,M_LPLFS_T_DC_5_9,M_LPLFS_T_DC_10_12,M_LPLFS_T_DC_13_14,M_LPLFS_T_DC_15_17,M_LPLFS_T_DC_18_20,M_LPLFS_T_DC_21_24,M_LPLFS_T_T,F_LPLFS_EFT_DC_0_4,F_LPLFS_EFT_DC_5_9,F_LPLFS_EFT_DC_10_12,F_LPLFS_EFT_DC_13_14,F_LPLFS_EFT_DC_15_17,F_LPLFS_EFT_DC_18_20,F_LPLFS_EFT_DC_21_24,F_LPLFS_EFT_T,F_LPLFS_EPT_DC_0_4,F_LPLFS_EPT_DC_5_9,F_LPLFS_EPT_DC_10_12,F_LPLFS_EPT_DC_13_14,F_LPLFS_EPT_DC_15_17,F_LPLFS_EPT_DC_18_20,F_LPLFS_EPT_DC_21_24,F_LPLFS_EPT_T,F_LPLFS_EAW_DC_0_4,F_LPLFS_EAW_DC_5_9,F_LPLFS_EAW_DC_10_12,F_LPLFS_EAW_DC_13_14,F_LPLFS_EAW_DC_15_17,F_LPLFS_EAW_DC_18_20,F_LPLFS_EAW_DC_21_24,F_LPLFS_EAW_T,F_LPLFS_HNS_DC_0_4,F_LPLFS_HNS_DC_5_9,F_LPLFS_HNS_DC_10_12,F_LPLFS_HNS_DC_13_14,F_LPLFS_HNS_DC_15_17,F_LPLFS_HNS_DC_18_20,F_LPLFS_HNS_DC_21_24,F_LPLFS_HNS_T,F_LPLFS_EW_T_DC_0_4,F_LPLFS_EW_T_DC_5_9,F_LPLFS_EW_T_DC_10_12,F_LPLFS_EW_T_DC_13_14,F_LPLFS_EW_T_DC_15_17,F_LPLFS_EW_T_DC_18_20,F_LPLFS_EW_T_DC_21_24,F_LPLFS_EW_T_T,F_LPLFS_ULFTW_DC_0_4,F_LPLFS_ULFTW_DC_5_9,F_LPLFS_ULFTW_DC_10_12,F_LPLFS_ULFTW_DC_13_14,F_LPLFS_ULFTW_DC_15_17,F_LPLFS_ULFTW_DC_18_20,F_LPLFS_ULFTW_DC_21_24,F_LPLFS_ULFTW_T,F_LPLFS_ULPTW_DC_0_4,F_LPLFS_ULPTW_DC_5_9,F_LPLFS_ULPTW_DC_10_12,F_LPLFS_ULPTW_DC_13_14,F_LPLFS_ULPTW_DC_15_17,F_LPLFS_ULPTW_DC_18_20,F_LPLFS_ULPTW_DC_21_24,F_LPLFS_ULPTW_T,F_LPLFS_U_T_DC_0_4,F_LPLFS_U_T_DC_5_9,F_LPLFS_U_T_DC_10_12,F_LPLFS_U_T_DC_13_14,F_LPLFS_U_T_DC_15_17,F_LPLFS_U_T_DC_18_20,F_LPLFS_U_T_DC_21_24,F_LPLFS_U_T_T,F_LPLFS_T_LF_DC_0_4,F_LPLFS_T_LF_DC_5_9,F_LPLFS_T_LF_DC_10_12,F_LPLFS_T_LF_DC_13_14,F_LPLFS_T_LF_DC_15_17,F_LPLFS_T_LF_DC_18_20,F_LPLFS_T_LF_DC_21_24,F_LPLFS_T_LF_T,F_LPLFS_NLF_DC_0_4,F_LPLFS_NLF_DC_5_9,F_LPLFS_NLF_DC_10_12,F_LPLFS_NLF_DC_13_14,F_LPLFS_NLF_DC_15_17,F_LPLFS_NLF_DC_18_20,F_LPLFS_NLF_DC_21_24,F_LPLFS_NLF_T,F_LPLFS_LFSNS_DC_0_4,F_LPLFS_LFSNS_DC_5_9,F_LPLFS_LFSNS_DC_10_12,F_LPLFS_LFSNS_DC_13_14,F_LPLFS_LFSNS_DC_15_17,F_LPLFS_LFSNS_DC_18_20,F_LPLFS_LFSNS_DC_21_24,F_LPLFS_LFSNS_T,F_LPLFS_T_DC_0_4,F_LPLFS_T_DC_5_9,F_LPLFS_T_DC_10_12,F_LPLFS_T_DC_13_14,F_LPLFS_T_DC_15_17,F_LPLFS_T_DC_18_20,F_LPLFS_T_DC_21_24,F_LPLFS_T_T,T_LPLFS_EFT_DC_0_4,T_LPLFS_EFT_DC_5_9,T_LPLFS_EFT_DC_10_12,T_LPLFS_EFT_DC_13_14,T_LPLFS_EFT_DC_15_17,T_LPLFS_EFT_DC_18_20,T_LPLFS_EFT_DC_21_24,T_LPLFS_EFT_T
LGA23430,36,77,76,59,110,75,31,461,9,27,31,18,24,18,5,129,0,5,0,3,7,0,0,16,0,0,0,3,3,0,3,11,50,106,101,80,143,93,46,615,0,0,0,3,10,5,0,20,0,7,4,3,0,0,0,17,0,9,4,6,13,5,0,31,47,109,107,83,152,94,44,651,8,21,20,14,19,11,11,108,5,0,0,0,0,0,0,4,60,135,130,100,171,109,61,762,94,236,205,173,290,197,115,1304,146,385,256,210,251,142,56,1441,8,15,8,10,9,5,3,60,4,13,7,7,16,9,0,60,262,644,481,390,571,346,174,2865,0,20,9,8,18,12,3,77,14,49,30,11,17,8,11,142,16,66,41,15,36,20,14,212,274,712,517,408,609,369,188,3082,293,251,161,97,119,84,43,1050,8,10,3,0,0,0,0,25,576,969,680,511,731,452,235,4159,133,315,278,228,405,268,146,1764
LGA23670,35,53,64,47,101,46,25,374,10,18,20,17,23,5,5,101,0,0,0,0,0,3,0,4,3,3,3,0,3,0,0,15,49,80,84,69,133,54,31,494,4,4,3,5,4,3,0,27,0,4,0,0,3,0,0,12,3,7,4,7,11,3,0,40,55,88,89,71,139,56,32,529,19,30,18,12,25,17,9,131,0,0,0,0,0,0,0,0,68,119,109,90,160,73,37,658,90,240,198,186,356,203,132,1411,188,402,309,263,317,150,80,1703,26,15,18,10,17,7,8,101,3,10,8,3,12,5,0,37,309,669,528,458,699,368,218,3252,11,18,18,6,17,7,5,86,23,56,38,13,26,10,9,171,37,73,57,24,39,16,14,259,346,746,585,481,733,385,235,3514,434,355,192,147,193,88,68,1477,3,4,6,0,0,3,0,27,782,1107,788,637,928,476,300,5014,130,297,260,232,459,247,158,1778
LGA23810,30,46,33,28,54,21,5,211,8,25,12,11,20,5,0,79,3,3,0,3,0,0,0,14,0,4,3,0,0,0,0,8,39,83,48,40,74,21,9,304,9,13,7,12,15,3,0,61,0,3,4,0,4,0,0,16,8,21,13,10,21,3,3,77,49,95,56,54,94,22,10,384,39,43,27,22,32,5,3,170,0,0,0,0,0,0,0,5,84,143,87,72,124,31,17,550,37,102,86,87,146,48,16,527,139,285,182,152,174,37,14,984,30,14,8,6,12,0,3,70,5,4,5,0,5,0,0,18,211,409,281,252,336,80,32,1597,21,58,41,20,28,12,0,179,37,90,60,20,41,11,0,254,56,149,101,39,71,18,0,432,270,554,375,292,404,97,30,2028,631,473,210,154,146,41,12,1655,10,15,9,6,0,0,0,43,911,1039,593,450,546,142,44,3722,68,152,117,117,200,66,21,732
LGA23940,0,0,3,4,0,0,0,4,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,3,3,3,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,3,0,0,21,0,0,3,4,0,0,0,9,0,0,0,0,0,0,0,0,0,6,7,7,5,0,0,30,0,5,6,7,7,0,0,26,7,7,6,7,9,7,0,48,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,3,8,16,16,12,16,7,0,79,0,0,0,3,3,4,0,11,0,0,0,0,0,0,0,0,0,3,0,3,3,4,0,8,8,18,16,18,21,7,0,90,38,23,9,17,10,3,0,92,0,3,0,0,0,0,0,4,47,38,30,30,30,13,0,184,0,5,14,9,9,0,0,33
LGA24130,12,20,22,20,37,8,3,127,4,6,5,5,0,5,4,29,0,3,0,0,3,0,0,10,0,0,0,0,0,0,0,0,14,37,27,25,44,12,7,165,0,3,0,0,3,0,0,8,0,0,0,0,0,0,0,3,0,3,0,3,3,0,0,9,17,38,28,31,44,12,7,179,0,7,6,5,3,5,0,26,0,0,0,0,0,0,0,0,14,41,33,34,54,18,6,203,23,38,57,42,85,36,16,295,73,143,91,78,115,47,8,553,3,5,3,3,6,3,0,27,3,3,0,0,0,0,0,7,97,191,158,123,207,80,24,880,0,7,11,3,14,3,0,38,0,5,3,3,4,3,0,19,3,6,8,7,20,5,0,54,101,205,170,127,221,85,22,935,95,104,62,30,48,20,4,360,3,3,0,0,0,0,0,8,195,308,231,159,275,108,29,1303,32,58,79,59,126,47,18,420
LGA24210,14,50,34,31,56,44,23,250,3,6,3,6,10,11,12,48,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,3,18,52,40,40,67,53,31,308,3,9,0,3,4,3,3,34,0,0,0,4,5,0,0,5,3,9,0,5,5,3,8,40,22,64,41,47,79,59,40,348,9,11,9,5,11,14,5,75,0,0,0,0,0,0,0,3,37,79,54,54,89,72,46,423,58,144,131,105,183,138,89,846,72,226,182,124,178,112,76,963,14,4,0,5,0,10,3,41,3,8,0,0,4,11,0,33,147,374,320,233,363,269,164,1875,4,15,3,10,6,3,4,44,10,20,11,17,22,12,4,88,14,31,15,22,24,21,5,128,164,407,336,257,391,286,177,2012,163,205,116,80,145,116,75,889,0,3,3,5,0,3,0,15,324,608,453,335,539,402,249,2911,71,189,168,142,244,181,104,1101
LGA24250,0,4,0,0,4,0,0,16,0,11,0,0,3,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,6,3,6,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,6,12,7,4,6,0,0,34,3,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,15,7,9,6,0,0,42,4,17,10,3,3,3,3,44,9,30,19,10,15,3,0,88,0,0,0,0,3,0,0,6,0,3,0,0,0,0,0,6,12,45,28,17,23,6,4,143,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,4,0,0,3,3,0,0,0,9,12,48,34,20,23,6,4,146,17,21,9,3,9,0,0,61,3,0,0,3,0,0,0,5,30,70,47,23,37,9,4,210,10,21,10,9,8,3,3,56
LGA24330,11,34,28,18,33,20,15,157,8,8,12,3,19,11,0,61,0,0,0,0,0,0,0,3,0,0,0,4,0,3,0,12,18,47,42,25,55,29,16,231,5,7,3,3,3,0,0,16,4,3,0,0,3,0,0,8,5,8,4,3,5,0,0,26,22,49,51,27,55,29,16,259,5,15,15,9,9,4,9,66,0,3,0,0,0,5,0,11,31,63,59,35,69,36,30,329,56,133,95,64,109,60,46,565,79,163,91,64,100,76,31,612,12,9,3,0,3,5,0,34,4,3,11,3,8,8,4,41,156,306,197,135,222,146,84,1250,16,20,8,11,18,18,5,97,17,38,22,9,11,11,9,121,29,59,28,21,37,25,15,218,184,371,230,151,258,176,97,1469,253,236,143,89,131,79,42,970,4,6,4,0,0,0,0,14,443,604,380,241,392,254,145,2454,68,164,122,79,144,81,59,723
LGA24410,19,59,47,49,78,53,33,339,4,10,8,7,10,8,3,58,0,0,0,0,3,0,0,13,3,0,3,0,0,0,0,10,25,64,65,61,100,67,41,419,0,8,5,0,0,3,0,22,0,0,0,0,0,3,0,6,0,8,6,0,0,6,0,21,29,72,68,61,98,72,44,444,5,22,21,12,12,7,6,89,0,3,0,0,3,0,0,5,30,94,90,72,118,80,46,536,60,164,158,140,246,160,87,1019,153,320,237,181,230,124,62,1298,10,3,7,3,10,3,0,48,3,12,3,9,6,3,5,36,231,495,408,328,492,293,154,2402,3,14,5,8,15,3,0,50,21,48,25,7,9,3,4,123,19,64,34,13,24,13,8,176,252,557,440,346,519,303,158,2579,306,252,156,96,135,56,24,1028,4,7,0,0,4,0,0,19,559,818,602,438,661,357,180,3623,75,220,210,191,330,215,123,1358
LGA24600,15,26,9,8,23,19,19,119,8,4,5,3,4,4,3,39,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,24,32,23,12,26,26,22,165,4,0,0,0,0,3,3,13,3,0,0,0,0,4,0,5,4,4,4,0,0,8,3,17,32,35,20,12,25,28,28,184,7,13,9,10,15,10,14,72,0,0,0,0,0,0,0,4,38,44,29,29,40,41,39,265,70,88,37,50,86,71,53,454,50,84,49,32,67,61,48,393,10,7,3,3,3,4,7,34,5,0,0,0,0,3,3,9,131,180,94,85,151,142,106,889,4,18,3,12,12,5,7,59,17,32,12,8,12,5,5,89,20,48,20,20,20,12,14,151,150,225,112,102,176,156,119,1038,228,205,96,80,140,138,67,949,5,10,5,3,0,7,0,32,386,437,212,187,310,299,190,2014,83,110,49,58,109,90,73,579
LGA24650,64,84,60,47,92,37,12,391,12,26,22,11,10,10,6,89,0,3,0,3,6,3,0,11,0,3,0,4,3,0,0,11,74,116,82,64,109,52,13,516,8,14,8,9,8,4,0,41,0,12,4,3,3,0,0,23,12,18,19,5,8,4,3,65,84,134,99,75,123,54,18,580,22,58,41,21,27,16,11,193,4,14,3,0,0,0,0,22,105,209,140,97,148,70,28,796,117,302,240,165,278,137,73,1307,274,434,274,192,275,99,42,1592,34,18,19,15,13,4,6,111,6,9,3,0,11,3,3,41,426,767,542,377,578,244,121,3050,35,67,35,28,37,10,3,218,48,115,63,40,43,12,5,329,86,181,99,68,79,20,9,546,515,947,640,446,650,267,126,3590,996,896,442,231,280,96,52,2991,19,20,8,0,0,6,0,55,1526,1869,1087,676,932,367,178,6641,177,383,302,215,373,175,84,1698
LGA24780,20,34,34,32,41,12,3,184,12,15,5,7,12,0,0,56,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,33,51,44,40,61,14,4,248,4,3,0,0,0,0,0,8,0,3,0,0,0,0,0,8,4,8,0,0,0,0,0,14,42,65,44,47,61,14,4,266,15,28,12,11,15,4,0,85,0,0,3,0,0,0,0,6,56,91,56,55,73,15,3,358,39,82,82,77,113,38,11,434,100,180,119,76,119,26,6,623,16,5,3,0,3,0,0,26,0,6,5,4,6,0,0,25,150,271,208,159,238,63,13,1105,10,31,18,6,11,0,0,79,21,41,22,20,12,3,0,116,33,67,35,27,25,3,0,194,187,339,244,186,261,73,14,1301,406,376,162,100,110,21,7,1173,8,5,3,3,3,0,0,29,598,720,410,293,379,92,21,2502,59,113,115,112,157,49,8,617
LGA24850,16,27,24,19,37,10,0,134,4,5,10,8,10,0,0,37,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,18,31,33,24,50,15,4,178,3,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,9,21,33,34,31,49,15,5,190,4,17,11,9,6,0,4,49,0,0,3,3,0,0,0,7,29,51,42,39,59,15,5,241,39,55,60,62,87,26,14,348,62,113,90,68,82,35,7,459,9,12,5,0,4,3,0,37,4,3,3,3,4,0,3,15,112,182,162,136,180,63,22,859,10,18,11,9,10,0,0,56,14,14,11,10,7,0,0,57,18,35,19,22,17,0,0,118,131,223,179,156,197,68,22,977,254,225,90,73,73,20,3,733,0,0,0,0,3,0,0,3,382,446,274,225,273,85,27,1717,55,82,80,83,131,41,13,475
LGA24900,3,19,11,17,27,3,0,76,3,9,0,3,0,0,0,17,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,5,27,15,18,29,3,0,104,0,3,3,0,0,3,0,9,0,0,0,0,0,0,0,3,0,5,6,0,0,3,0,15,5,36,18,18,29,4,0,116,10,20,15,9,17,0,0,65,3,0,0,0,0,0,0,6,14,55,34,32,50,4,0,192,11,37,41,24,43,8,3,167,64,125,76,50,55,16,0,383,7,3,0,0,10,3,0,22,3,3,3,0,0,0,0,12,87,159,120,78,115,29,3,592,5,19,8,5,6,0,0,42,7,9,7,4,9,0,0,39,15,26,9,14,11,0,0,76,101,188,131,88,129,29,6,666,163,140,53,43,42,10,4,453,0,6,9,3,3,0,0,21,266,337,191,138,167,38,6,1146,19,56,52,38,66,14,3,248
LGA24970,24,45,59,52,101,68,46,398,5,19,19,20,24,26,18,126,0,3,0,4,3,0,0,13,5,0,0,3,0,3,0,13,41,68,83,75,127,92,59,551,3,0,0,0,3,8,0,19,3,8,0,0,7,0,4,22,9,8,5,0,7,6,7,40,48,75,91,82,134,103,61,586,16,21,27,27,27,26,11,158,0,0,0,0,0,0,0,3,61,98,119,107,157,130,78,751,96,251,189,172,304,252,148,1412,118,292,259,173,233,175,99,1345,19,12,12,3,7,13,14,71,3,8,3,11,11,11,13,47,239,555,465,358,552,443,266,2882,8,27,17,12,26,24,6,120,25,38,27,27,19,34,11,172,35,66,40,41,48,57,22,301,269,623,508,395,598,495,284,3182,291,340,208,145,283,188,102,1552,0,3,10,6,3,0,3,24,563,964,725,547,882,688,393,4761,124,296,252,222,404,312,197,1818
LGA25060,19,48,35,30,68,42,36,274,6,12,12,4,15,16,10,82,0,0,0,0,0,0,0,4,0,4,3,3,0,0,0,9,26,61,54,38,87,61,45,362,0,4,0,0,7,4,3,17,0,0,0,3,3,0,0,11,0,4,3,3,8,4,3,25,30,65,53,40,97,61,47,390,6,12,9,14,18,8,3,82,0,0,0,0,3,0,0,3,33,77,68,58,116,67,50,478,48,176,125,112,181,119,86,852,102,222,172,116,163,105,58,933,9,9,6,3,7,0,0,45,9,12,8,9,9,10,4,61,166,418,320,240,357,241,156,1899,11,14,6,14,16,12,8,85,14,42,20,16,17,12,10,121,27,55,28,28,28,25,13,203,196,478,342,266,386,264,164,2101,285,252,162,102,122,65,40,1032,3,5,3,7,3,0,0,23,477,731,506,381,512,330,209,3153,65,225,163,136,244,168,124,1126
LGA25150,5,9,14,9,23,8,0,76,3,7,7,4,10,3,0,34,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,12,23,22,20,30,17,0,120,0,3,0,3,3,0,0,12,0,0,0,0,0,0,0,6,0,3,3,3,5,0,0,14,12,26,22,21,38,14,0,135,3,10,10,6,9,7,0,50,0,3,0,0,0,0,0,3,18,40,33,24,47,17,0,185,18,58,53,29,48,20,12,230,52,111,65,62,65,24,9,402,3,7,3,4,6,0,0,20,3,3,3,3,0,0,0,14,75,176,121,100,125,41,21,666,5,22,14,0,3,3,0,41,9,13,13,17,5,3,0,58,13,32,24,17,9,6,0,99,92,215,152,114,129,44,25,767,166,147,70,34,39,10,8,482,3,3,3,3,3,0,0,15,264,359,222,148,173,59,32,1263,24,69,64,36,75,28,16,311
LGA25250,18,53,46,45,77,41,26,309,11,38,12,10,14,14,4,104,3,3,3,0,0,3,0,11,0,0,0,5,4,0,0,8,35,88,56,57,95,65,32,430,3,6,7,0,3,7,0,26,0,3,0,0,0,0,0,3,3,7,6,0,9,7,0,33,35,97,66,60,101,64,29,461,12,23,27,20,31,22,11,143,4,0,0,0,3,0,0,11,52,122,95,81,128,84,44,613,76,184,186,132,203,150,64,994,162,310,203,127,170,110,61,1143,23,21,7,9,4,3,0,68,8,8,0,7,8,5,3,40,272,527,392,268,383,263,134,2243,7,28,18,8,24,9,7,103,25,50,30,28,25,16,4,177,36,81,48,37,47,21,9,273,305,608,447,304,433,283,137,2517,329,293,222,131,191,97,54,1319,10,5,0,5,3,0,0,32,644,902,671,439,628,386,197,3869,97,243,228,178,274,193,87,1294
LGA25340,31,70,63,78,113,43,14,406,4,28,24,19,32,4,8,110,0,3,0,0,4,0,3,11,3,4,0,0,0,0,3,12,40,101,84,94,144,52,24,535,0,4,6,3,11,0,0,29,3,3,0,0,3,3,0,17,5,8,7,4,13,3,3,48,44,110,95,102,158,51,24,584,11,28,35,15,39,12,6,137,3,9,0,3,3,0,0,18,56,143,131,119,194,68,32,733,68,224,183,160,277,103,46,1061,258,599,449,283,376,106,46,2113,19,25,20,11,17,9,3,108,12,14,15,6,16,0,0,62,354,859,665,457,683,220,97,3345,10,27,23,17,24,7,0,106,32,79,47,34,16,4,0,218,48,108,73,51,39,11,3,323,400,968,739,508,729,228,98,3669,522,491,251,171,173,37,13,1662,7,13,11,8,9,0,0,41,928,1469,994,682,909,272,109,5371,96,289,245,236,388,149,61,1461
LGA25430,0,10,11,11,16,11,0,57,3,3,6,0,6,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,12,14,24,10,0,76,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,8,3,14,15,16,24,10,0,83,4,9,5,7,4,3,0,33,0,0,0,0,0,0,0,3,7,19,19,19,28,18,0,118,0,17,16,20,28,14,0,99,16,71,51,29,45,8,4,222,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,3,19,88,74,51,68,18,6,327,0,3,3,0,7,0,0,16,0,7,3,0,9,4,0,21,0,8,8,0,9,5,0,33,25,95,84,54,81,25,6,363,69,66,33,20,21,5,0,223,0,0,0,0,0,0,0,0,93,159,113,75,105,32,4,578,3,26,31,26,43,23,0,150
LGA25490,5,7,3,6,10,0,0,30,0,3,5,3,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,9,10,11,3,0,39,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,3,11,9,6,10,3,0,43,4,4,3,3,4,0,0,16,0,0,0,0,0,0,0,0,8,13,15,11,16,3,0,65,11,17,17,16,15,7,6,80,28,39,43,29,32,4,0,183,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,10,38,61,59,46,51,10,6,272,0,0,0,0,0,0,0,7,0,11,7,4,3,3,0,26,0,16,6,4,3,3,0,34,43,72,63,53,54,14,6,304,34,44,20,14,13,0,0,124,0,0,0,0,0,0,0,0,74,124,88,67,64,16,3,430,13,27,20,19,21,3,6,107
LGA25620,3,10,8,9,13,6,0,39,0,3,3,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,12,9,9,11,8,0,49,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,3,3,0,0,0,5,3,12,12,10,16,8,0,56,4,4,0,3,3,0,0,15,3,0,0,0,0,0,0,3,11,18,16,16,15,5,0,79,3,20,11,8,19,3,4,60,7,35,15,15,11,8,0,96,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,3,9,55,27,26,28,7,4,170,0,7,5,0,4,0,0,21,3,14,6,0,0,0,0,29,3,19,13,3,9,3,0,46,16,78,43,32,35,8,4,213,28,37,15,8,9,4,0,113,0,0,0,0,3,0,0,3,45,114,60,43,50,14,3,327,5,25,16,19,29,5,4,108
LGA25710,12,35,34,33,45,32,19,206,0,8,0,3,4,6,4,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,48,31,38,51,36,20,241,0,0,3,0,3,0,0,3,0,3,0,0,0,0,0,3,0,3,4,0,3,0,0,9,15,48,39,38,56,36,20,251,3,11,3,3,3,3,4,30,0,0,0,0,0,0,0,6,15,60,45,45,58,41,19,282,28,83,65,75,127,70,38,489,44,139,123,89,102,56,38,592,5,0,3,5,4,3,0,25,0,9,3,0,4,3,0,14,75,231,195,165,240,135,72,1123,0,3,3,3,3,0,0,14,4,19,6,3,6,0,3,47,4,28,9,8,7,0,3,55,83,253,202,170,247,142,78,1179,60,95,47,30,30,22,13,307,3,4,0,0,0,0,0,9,148,356,250,207,281,161,94,1498,39,120,98,110,177,100,55,695
LGA25810,0,4,9,7,14,3,0,35,0,3,3,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,8,9,16,3,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,8,9,16,3,0,50,8,8,8,3,0,3,0,31,0,0,0,0,0,0,0,0,8,23,16,13,19,6,0,77,0,18,12,10,19,3,0,60,8,28,20,24,25,5,0,119,3,4,3,0,6,0,0,20,0,0,0,0,0,0,0,0,20,56,38,33,50,7,0,197,0,0,3,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,5,20,57,42,36,53,7,0,211,47,38,19,16,20,5,0,144,0,0,0,0,0,0,0,0,62,92,66,52,70,8,0,352,0,24,21,21,26,3,0,101
