LGA_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
LGA21270,0,0,0,9,0,0,0,0,0,3,0,0,0,9,38,54,3,3,0,0,0,0,0,0,0,14,12,25,135,36,5,138,12,51,5,50,10,297,60,794
LGA21370,3,11,0,98,5,0,0,7,0,11,0,6,4,35,169,246,15,0,3,3,0,3,0,0,0,54,43,127,756,228,43,619,53,351,34,302,60,1697,262,4413
LGA21450,0,17,0,254,31,4,4,9,4,31,0,8,3,67,331,494,14,3,8,8,5,3,0,9,0,61,60,177,2003,319,76,1288,132,893,62,507,77,2364,439,8165
LGA21610,3,45,3,564,73,9,4,39,12,64,3,34,15,165,842,1250,49,3,22,26,14,14,5,9,17,219,144,520,5388,691,162,3055,309,2734,124,1406,268,6712,1139,21983
LGA21670,0,4,0,15,4,0,0,4,0,4,0,3,0,32,63,99,0,0,0,0,0,0,0,0,0,34,24,63,160,72,12,165,11,133,14,114,14,843,96,1629
LGA21750,0,15,0,50,10,7,0,7,0,3,0,6,4,22,93,143,0,5,6,5,0,0,0,3,0,19,14,51,378,163,36,362,45,178,21,187,37,773,133,2310
LGA21830,0,9,0,72,6,0,0,3,0,0,0,3,3,26,79,123,8,3,0,5,0,3,0,0,0,21,18,63,369,106,28,282,25,135,9,133,18,634,117,1858
LGA21890,3,21,3,858,43,10,8,15,5,24,3,15,3,93,645,863,15,0,9,5,0,5,0,5,4,126,91,261,3720,654,90,1869,177,1260,74,712,102,3794,805,13261
LGA22110,0,21,0,108,10,3,0,9,0,14,0,10,3,54,324,432,12,5,3,12,0,4,0,5,3,80,57,186,703,325,69,691,74,379,52,483,90,2830,441,6137
LGA22170,4,27,0,363,47,4,0,24,12,28,3,14,3,90,533,761,14,3,9,15,3,14,3,7,7,139,68,282,2965,438,94,1689,186,1251,101,762,144,3767,668,12058
LGA22250,0,0,0,20,5,0,0,0,0,4,3,0,0,14,44,72,5,0,0,3,0,0,0,0,0,17,17,45,218,86,13,193,12,90,16,93,29,564,82,1406
LGA22310,7,102,0,1293,33,13,0,20,3,26,0,18,0,72,592,771,22,10,10,12,3,8,0,8,5,100,67,243,3388,700,86,1825,167,1407,83,975,109,3474,711,12927
LGA22410,0,3,0,69,5,0,0,10,0,3,0,0,0,30,72,124,13,0,5,0,0,0,0,6,3,36,27,92,381,118,31,356,42,248,25,185,31,816,128,2370
LGA22490,0,8,0,57,3,0,0,7,0,13,0,4,0,11,99,142,0,0,3,5,0,3,0,0,0,20,11,41,426,112,24,367,40,240,21,195,23,678,119,2238
LGA22620,9,44,0,326,26,8,3,19,3,17,0,19,3,105,477,687,17,6,0,10,4,8,3,11,4,134,72,273,1995,527,104,1700,167,974,101,860,146,4139,615,11327
LGA22670,0,17,0,147,24,5,8,18,4,22,0,17,12,65,493,669,10,0,6,5,3,7,0,13,6,138,104,286,1953,474,68,1173,121,1495,65,789,145,4462,667,11414
LGA22750,3,112,0,909,51,9,3,29,14,55,3,28,8,229,1022,1457,21,4,9,22,5,21,0,22,5,280,163,561,4227,1052,161,3224,281,2037,192,1834,227,9122,1327,23674
LGA22830,5,19,0,175,15,8,5,14,0,23,0,13,3,54,276,403,14,3,10,11,0,0,0,0,7,79,50,175,1208,257,67,893,90,563,50,427,82,2180,376,6197
LGA22910,3,11,0,66,4,0,0,0,0,3,0,6,0,14,98,126,6,7,0,3,0,5,0,0,0,13,16,49,277,128,23,277,26,172,18,187,34,688,119,1945
LGA22980,0,6,0,19,3,0,0,0,0,3,0,0,0,11,33,55,0,0,0,0,0,0,0,0,0,10,7,15,121,30,8,121,5,55,11,41,12,318,49,770
LGA23110,0,17,0,649,29,6,6,10,6,18,0,15,3,63,397,542,15,0,8,6,0,3,0,4,0,78,69,188,2236,250,67,979,117,923,53,470,96,2461,508,8163
LGA23190,0,12,0,72,11,0,0,0,0,4,0,0,0,21,98,142,6,0,0,5,3,0,0,0,0,20,13,50,445,117,20,336,32,169,27,144,35,767,132,2237
LGA23270,3,15,3,293,41,6,4,31,4,32,8,23,6,99,500,756,23,7,3,13,3,8,4,10,8,141,113,331,2921,378,85,1657,191,1635,88,892,188,4515,704,13258
LGA23350,0,10,0,68,0,4,0,0,0,5,0,3,3,16,96,134,3,0,0,6,0,0,3,0,3,21,7,45,365,125,20,276,32,187,21,174,37,613,128,1990
LGA23430,12,44,3,780,36,7,6,20,12,17,3,18,8,96,684,912,16,8,7,18,7,7,0,11,3,132,81,289,3599,550,96,1714,182,1411,69,941,135,4708,843,14261
LGA23670,9,23,0,486,32,3,0,22,11,31,0,26,17,77,567,795,18,7,13,15,9,10,0,5,3,124,80,279,3201,520,84,1932,179,1485,71,986,149,4796,721,14126
LGA23810,3,25,0,273,7,7,0,12,0,26,0,6,5,83,339,496,12,0,4,10,0,7,0,0,5,95,61,206,1161,267,48,1084,91,807,64,591,139,2916,477,7651
LGA23940,0,3,0,16,4,0,0,0,0,8,0,3,3,8,57,88,8,0,0,0,0,0,0,0,0,6,9,28,168,33,12,133,16,72,5,70,13,371,83,982
LGA24130,5,27,5,317,5,7,0,12,0,13,0,11,0,27,236,307,7,0,3,13,0,5,0,3,0,38,25,94,857,276,54,679,74,535,49,371,52,1575,285,4812
LGA24210,12,86,3,850,19,3,0,5,3,25,0,24,3,104,535,723,22,4,4,7,0,3,3,8,5,143,65,266,1761,491,64,1106,88,1102,64,955,103,5182,684,11609
LGA24250,0,5,0,23,0,0,0,4,0,3,0,0,0,8,66,82,3,0,0,0,0,6,0,0,0,15,0,28,173,80,11,139,18,58,8,91,15,404,72,1071
LGA24330,0,4,0,679,27,3,0,15,10,15,3,16,0,21,407,513,0,4,5,4,0,0,0,3,3,31,41,97,2754,404,70,1145,131,831,35,386,56,1333,483,7624
LGA24410,3,30,0,444,22,11,4,13,4,21,5,15,3,79,412,587,18,3,6,3,0,12,0,3,4,84,49,175,2593,396,65,1366,141,997,62,711,105,3301,503,10240
LGA24600,10,159,3,2182,43,11,9,24,11,13,3,14,3,20,967,1109,24,0,6,4,0,5,0,3,3,21,37,99,4952,839,107,2006,231,1984,76,943,116,2241,1026,14514
LGA24650,0,10,0,251,25,0,3,15,6,36,0,19,3,58,364,543,19,3,10,19,3,0,0,9,6,89,66,221,2445,288,77,1229,163,1228,53,562,108,2715,491,9361
LGA24780,3,22,0,121,20,7,3,15,0,11,0,3,5,45,271,383,11,0,4,8,4,5,0,7,3,78,74,203,1101,238,49,806,78,501,41,327,76,2066,395,5681
LGA24850,0,12,0,113,7,0,3,3,3,14,0,6,0,36,168,247,11,0,3,4,0,8,0,4,3,41,28,99,807,133,34,543,61,411,36,292,55,1184,226,3777
LGA24900,0,14,0,68,6,0,0,5,0,8,0,6,3,46,141,225,4,0,4,3,0,7,0,3,4,62,37,128,551,151,56,477,53,268,25,219,47,1499,236,3579
LGA24970,3,95,0,906,33,6,4,17,4,27,6,11,3,108,762,976,13,7,9,3,0,4,0,9,12,134,97,287,3041,620,98,1573,150,1549,78,1238,156,6817,944,16261
LGA25060,0,36,0,918,35,0,4,11,3,32,0,8,3,84,533,711,23,3,6,10,3,12,0,4,5,106,76,248,2920,397,76,1280,126,1003,73,693,91,3438,675,10776
LGA25150,3,9,0,104,6,0,0,3,4,10,3,4,4,24,128,190,9,0,6,4,0,7,0,0,3,31,18,79,641,128,37,417,54,382,22,217,55,1067,163,3196
LGA25250,3,26,3,1056,48,10,3,20,5,22,3,10,13,88,759,982,26,9,13,12,10,10,3,0,10,116,112,307,4832,669,127,2205,223,1510,78,800,145,4004,942,15522
LGA25340,14,194,7,944,31,7,4,28,3,26,4,27,6,203,827,1164,23,11,16,17,6,18,3,20,10,270,148,528,2442,892,158,2009,177,1409,114,1518,203,7900,1113,17941
LGA25430,0,14,0,66,4,0,0,5,0,3,0,0,0,14,106,137,0,0,0,8,0,0,0,0,0,21,16,46,279,151,13,296,23,177,15,203,34,890,132,2230
LGA25490,0,7,4,74,4,3,3,7,0,0,0,3,3,12,86,119,3,0,0,4,3,0,0,0,0,20,15,51,421,106,28,302,46,168,22,128,28,558,125,1931
LGA25620,0,5,0,59,6,5,0,3,0,4,0,0,0,21,92,138,4,0,0,3,3,3,0,4,3,16,11,48,313,108,25,244,23,164,18,142,30,629,109,1800
LGA25710,3,26,3,446,13,3,0,11,3,20,3,5,4,24,254,338,7,0,5,8,0,3,0,3,0,39,16,78,1038,272,42,834,63,565,26,457,58,1625,288,5278
LGA25810,0,0,0,31,3,0,0,3,0,3,0,4,0,21,59,94,4,0,3,0,0,4,0,0,3,27,12,55,229,74,21,222,25,110,12,113,22,565,74,1480
LGA25900,9,112,3,2356,58,3,4,15,7,10,0,13,3,24,897,1033,16,0,9,8,0,6,0,5,3,34,33,117,5253,530,104,1830,223,1328,57,650,76,1625,961,12634
LGA25990,0,0,0,15,0,0,0,0,0,0,0,0,0,8,53,65,0,0,0,0,0,0,0,0,0,21,3,28,105,47,12,130,18,77,10,68,14,344,71,891
LGA26080,0,16,0,27,0,0,0,0,0,0,0,0,0,7,24,29,0,0,0,0,0,0,0,0,0,5,3,6,45,27,0,33,5,14,3,42,7,257,23,458
LGA26170,0,9,0,84,7,4,0,11,3,7,0,8,0,36,153,231,10,3,3,7,0,3,0,3,3,48,24,106,532,220,37,527,41,254,36,314,55,1358,198,3583
LGA26260,0,8,0,60,7,8,0,9,0,3,3,0,0,19,87,129,4,0,0,3,0,0,0,0,0,20,15,54,352,109,31,330,32,162,24,137,21,637,118,1942
LGA26350,16,301,3,2400,45,6,3,21,3,16,0,7,3,55,754,923,8,0,3,9,3,10,0,11,3,50,33,132,4210,599,75,1568,149,1227,62,820,74,2397,811,11999
LGA26430,0,0,0,40,0,0,0,0,0,0,0,3,3,17,81,109,3,3,4,3,0,0,0,3,0,25,9,53,209,84,15,204,22,111,24,131,18,527,95,1441
LGA26490,0,24,0,203,9,0,0,3,0,3,0,5,0,24,181,239,0,0,0,8,0,3,0,7,0,38,18,74,549,207,34,458,28,214,33,281,35,1148,217,3205
LGA26610,3,0,0,63,3,3,0,7,0,7,0,5,0,22,89,136,3,4,11,4,0,0,0,3,0,36,30,94,428,91,27,315,27,201,15,135,37,684,136,2101
LGA26670,0,0,0,25,3,0,0,0,0,0,0,0,0,8,53,65,3,0,3,3,0,0,0,4,0,11,3,29,162,58,14,125,11,59,10,60,13,283,64,867
LGA26700,0,18,0,90,5,0,0,12,0,9,0,3,0,41,144,213,10,0,0,3,0,0,0,0,3,32,35,87,575,191,42,540,35,255,21,234,40,1198,192,3336
LGA26730,3,18,0,112,13,0,3,9,0,4,0,3,0,38,125,192,3,0,0,4,0,5,0,0,0,41,23,76,637,167,28,560,45,261,25,273,42,1249,186,3451
LGA26810,0,15,0,191,10,3,0,3,3,11,0,13,5,52,269,375,11,0,3,3,4,0,0,3,3,59,40,132,776,237,55,711,78,476,46,393,75,1806,346,4994
LGA26890,0,0,0,18,0,0,0,0,0,0,0,3,0,7,30,44,3,0,0,0,0,0,0,0,0,8,9,23,104,24,10,107,7,42,0,35,5,141,38,522
LGA26980,3,100,3,911,23,10,7,18,5,32,3,12,3,109,692,904,11,9,6,6,4,3,4,5,5,112,69,226,2752,654,74,1566,147,1524,73,1167,149,5692,830,14628
LGA27070,3,20,0,310,48,4,3,23,9,50,10,17,7,116,570,850,24,6,8,16,3,12,3,16,13,154,115,369,3472,490,119,1970,214,1751,104,911,160,5551,784,15522
LGA27170,0,12,0,88,12,4,0,8,5,9,0,0,0,34,207,268,10,0,0,0,3,3,0,0,3,43,27,90,829,174,26,649,55,386,25,274,34,1268,249,3975
LGA27260,4,11,3,551,56,7,3,22,8,47,3,19,12,68,702,951,32,0,11,10,3,10,3,0,8,102,80,272,4368,513,119,2116,263,2324,96,887,170,3887,873,15612
LGA27350,10,56,0,1982,40,3,0,18,10,10,0,0,0,18,723,826,18,6,3,0,4,0,0,0,0,22,29,80,4635,428,82,1511,153,873,54,485,65,1287,770,10340
LGA27450,7,37,0,521,34,0,7,16,7,40,0,14,7,106,615,861,23,8,15,21,6,14,4,10,8,160,98,359,3192,699,127,2281,244,1465,123,1150,185,4535,787,14790
LGA27630,0,3,0,19,4,3,0,0,0,3,0,0,0,15,39,62,0,0,0,4,0,0,0,0,0,8,4,25,148,35,9,148,11,53,11,52,6,337,57,864
LGA29399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,4,0,0,0,0,0,6,7,31
LGA29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
