LGA_CODE_2016,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4moSB_FHs_CF_no_C,FoA_4moSB_FHs_CF_C,FoA_4moSB_FHs_OnePF,FoA_4moSB_FHs_Oth_fam,FoA_4moSB_FHs_Tot,FoA_4moSB_Lone_P_H,FoA_4moSB_Group_H,FoA_4moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
LGA21270,761,547,176,24,1505,754,65,2324,7,0,0,0,5,27,0,36,0,0,0,0,0,0,0,0,10,3,0,0,8,27,0,35,8,0,0,0,13,44,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,13,44,0,56,4,0,0,0,4,5,0,10,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,4,3,0,0,9,7,0,19,8,3,0,0,13,16,0,30,3,3,0,0,3,4,0,12,786,554,176,24,1547,844,69,2455
LGA21370,4113,3647,1301,91,9150,3000,293,12443,135,30,72,10,245,496,25,768,3,3,4,0,6,8,0,17,138,31,72,10,255,499,25,786,62,20,31,3,118,311,18,442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5,64,19,31,3,120,311,18,446,4,4,0,0,11,54,0,63,10,5,0,0,13,24,0,39,0,0,0,0,0,0,0,4,4,3,4,0,16,8,0,27,18,15,6,0,45,77,3,124,17,18,0,3,38,14,3,52,4348,3734,1415,108,9603,3908,336,13855
LGA21450,7231,12155,3424,247,23052,4652,629,28330,416,265,249,22,948,774,51,1771,130,106,147,5,390,142,20,556,546,379,393,22,1339,913,78,2330,25,4,11,0,43,94,3,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,3,11,0,40,94,3,137,5,0,0,0,12,20,0,31,13,3,5,0,20,62,0,78,0,0,0,0,0,6,0,11,3,8,3,0,9,5,0,12,28,11,7,0,41,87,0,128,16,26,11,0,52,23,4,80,7839,12567,3842,278,24530,5770,706,31009
LGA21610,17927,40741,10211,957,69835,10795,1830,82465,1505,1752,748,73,4079,2231,163,6472,408,719,285,25,1444,336,60,1836,1912,2474,1035,98,5522,2563,221,8309,167,117,102,13,402,479,23,903,3,3,3,0,15,30,0,39,3,8,0,0,10,3,0,15,0,0,3,0,3,3,0,3,174,122,110,13,422,513,23,961,3,0,3,0,5,31,0,42,14,5,8,0,23,72,0,98,0,0,0,0,3,3,0,3,8,37,22,5,72,41,8,119,22,48,29,6,110,141,8,263,33,40,10,0,90,40,3,133,20066,43429,11402,1079,75980,14058,2092,92127
LGA21670,1522,1040,629,39,3224,1537,166,4932,51,11,23,0,88,217,12,318,0,0,0,0,0,3,0,3,51,15,23,0,90,222,12,317,4,0,0,0,9,62,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,14,62,0,76,7,0,3,0,10,41,0,48,3,0,0,0,3,7,0,14,0,0,0,0,3,10,0,12,6,6,0,0,13,13,0,32,19,6,3,0,28,73,3,101,3,5,4,0,9,13,0,25,1606,1065,661,39,3362,1906,176,5445
LGA21750,2188,1993,772,76,5027,2018,218,7262,47,17,33,12,103,394,28,531,11,4,0,0,15,18,4,36,52,22,35,12,118,409,37,561,12,0,3,0,15,33,3,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0,15,36,3,59,0,3,0,0,8,21,0,29,3,4,0,0,9,11,0,19,0,3,0,0,3,0,0,4,6,3,0,0,11,8,4,24,14,15,3,0,28,45,4,76,14,10,4,0,28,19,3,46,2276,2041,812,86,5216,2530,258,8005
LGA21830,1780,1595,542,58,3978,1595,125,5697,12,0,3,0,16,76,4,102,0,0,0,0,0,4,0,5,12,0,4,0,17,80,4,105,21,8,4,0,36,94,3,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,8,4,0,36,95,3,135,0,0,0,0,0,3,0,3,0,3,0,0,3,4,0,10,0,0,0,0,0,0,0,0,8,5,0,0,9,9,0,16,5,9,0,0,16,11,0,24,23,16,7,0,48,18,0,67,1842,1633,560,56,4092,1803,127,6022
LGA21890,7280,12065,3603,569,23512,6582,2110,32209,1882,1682,786,147,4498,3189,700,8390,1598,1357,501,125,3589,1560,679,5831,3483,3041,1288,278,8083,4751,1381,14221,1066,418,252,79,1818,2416,479,4715,312,86,66,27,487,628,162,1279,556,152,84,38,832,777,206,1812,0,0,0,0,0,3,0,5,1937,650,402,142,3137,3813,856,7808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,66,45,25,8,141,103,55,304,66,45,25,8,144,108,61,307,42,39,20,4,103,70,13,189,12801,15842,5343,1003,34989,15330,4422,54736
LGA22110,5789,3746,1576,123,11234,4480,384,16102,89,35,26,6,156,406,22,579,10,9,8,0,27,33,6,62,95,42,38,9,177,441,27,649,53,7,35,0,102,196,6,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,53,7,35,0,102,199,6,305,16,6,4,0,22,80,4,105,38,3,8,0,52,78,5,135,5,8,0,0,11,7,0,18,11,10,0,0,21,23,0,44,73,25,10,0,102,181,8,297,47,30,22,0,94,108,8,213,6053,3850,1680,134,11717,5413,431,17564
LGA22170,9666,14323,5737,475,30198,7855,1240,39300,1310,699,775,80,2861,3674,212,6744,422,336,335,27,1121,589,88,1799,1732,1039,1108,107,3983,4267,298,8550,145,72,124,19,358,702,67,1121,21,7,8,0,41,89,5,136,16,0,3,0,19,48,9,71,0,0,0,0,0,9,0,9,181,81,138,21,420,844,72,1343,10,0,0,0,16,17,0,26,42,9,24,3,76,281,6,363,0,0,0,0,0,0,0,0,13,19,6,0,31,5,5,46,60,29,24,3,119,307,12,436,12,11,5,0,23,36,0,67,11646,15480,7027,605,34757,13310,1626,49687
LGA22250,1367,992,321,35,2713,1245,88,4048,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,13,0,3,0,19,99,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,3,0,19,99,0,111,9,0,0,0,14,14,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,9,0,0,15,16,4,0,0,19,23,0,42,3,3,0,0,10,0,0,13,1402,1003,321,35,2761,1373,88,4219
LGA22310,5971,12399,2485,302,21163,4423,875,26458,1925,1915,665,98,4613,2777,448,7837,1219,1894,450,59,3625,888,316,4822,3148,3814,1118,160,8236,3667,764,12661,2359,1487,572,156,4569,4164,816,9556,706,231,96,59,1087,873,278,2235,293,65,44,17,418,436,154,1012,3,4,0,0,9,11,0,20,3364,1787,710,229,6090,5481,1250,12825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,29,14,3,88,68,18,178,44,29,14,3,88,68,18,181,31,44,9,3,92,71,12,171,12559,18077,4343,693,35674,13706,2918,52296
LGA22410,2268,1816,737,59,4878,2018,165,7067,34,3,16,0,50,130,3,185,3,3,3,0,9,10,0,19,30,9,19,0,58,140,3,203,19,10,12,0,43,199,10,249,0,0,0,0,0,4,0,6,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,24,10,12,0,45,207,10,266,0,0,3,0,8,9,0,21,3,0,0,0,3,16,0,19,0,0,0,0,0,3,0,5,9,5,0,0,12,9,0,23,11,3,3,0,24,43,0,66,18,8,0,0,24,17,0,46,2345,1851,780,58,5038,2424,179,7644
LGA22490,2138,2965,621,44,5770,1210,114,7093,4,8,0,0,10,9,0,17,0,0,0,0,0,0,0,0,4,8,0,0,10,9,0,17,8,0,0,0,13,8,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,13,8,0,24,0,3,3,0,3,3,0,8,3,0,0,0,3,0,0,3,0,8,0,0,8,4,0,9,0,3,0,0,9,0,0,6,3,15,4,0,18,8,0,31,4,7,0,0,11,6,0,19,2155,2990,624,44,5817,1246,116,7184
LGA22620,10446,11204,4620,408,26682,9094,1398,37175,424,131,295,42,890,1744,186,2818,94,33,56,13,192,159,43,391,522,166,344,52,1086,1901,231,3211,70,37,59,3,171,290,26,490,13,4,0,0,16,39,4,56,0,0,0,0,0,17,0,17,0,0,0,0,0,0,0,0,83,45,62,3,187,347,28,561,4,5,8,0,16,73,3,90,20,3,3,0,24,56,0,78,4,0,0,0,3,4,0,7,26,6,4,0,37,16,3,58,51,18,12,0,81,154,5,241,42,38,17,0,94,71,11,179,11141,11461,5055,462,28125,11569,1669,41361
LGA22670,7424,14599,4957,726,27706,5673,1360,34738,1083,1668,761,110,3619,1914,308,5837,519,831,295,54,1697,367,184,2258,1600,2495,1054,163,5315,2287,499,8098,915,990,479,94,2482,1673,290,4447,97,81,44,8,223,175,36,437,80,43,26,7,165,117,29,313,3,3,3,0,13,8,0,17,1101,1125,544,113,2878,1968,360,5209,6,4,0,0,8,92,3,105,13,5,4,0,21,67,4,90,0,0,0,0,3,8,0,10,29,60,32,10,128,46,6,184,50,69,34,10,161,211,10,392,25,25,14,8,60,53,11,130,10196,18307,6601,1013,36124,10194,2241,48563
LGA22750,20592,24171,9038,745,54548,17222,2447,74212,1524,652,723,70,2971,4439,352,7763,494,257,181,34,960,633,139,1729,2015,908,906,104,3933,5067,488,9490,368,169,166,16,717,1313,112,2150,19,3,6,0,29,71,14,114,41,12,8,0,58,110,16,186,3,0,0,0,3,7,0,8,432,188,173,15,808,1502,141,2457,10,6,4,0,22,47,0,69,31,0,10,0,51,190,6,242,0,3,0,0,3,0,0,3,36,97,17,5,154,65,27,241,85,115,33,7,229,294,31,559,66,58,29,4,154,100,20,276,23186,25436,10177,869,59672,24186,3137,86995
LGA22830,5546,6511,2493,180,14729,4604,569,19902,377,226,171,18,792,1177,101,2066,24,17,5,0,46,36,11,97,402,241,176,20,834,1208,113,2156,9,12,18,0,44,95,5,144,3,0,0,0,3,18,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,20,0,45,119,5,166,24,5,0,0,27,79,3,113,31,0,9,0,42,93,3,141,3,3,0,0,3,7,0,12,13,13,7,0,31,10,4,41,63,24,17,0,102,191,13,303,22,9,6,0,34,16,4,53,6036,6797,2711,201,15752,6139,700,22583
LGA22910,1769,1284,530,33,3612,1652,145,5413,9,3,4,0,17,88,5,116,0,0,0,0,0,4,0,6,15,3,4,0,18,96,8,125,3,0,8,0,11,39,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,0,11,39,0,52,5,0,3,0,6,23,0,25,3,0,0,0,3,3,0,5,0,0,0,0,4,3,0,9,101,73,26,3,202,99,10,304,109,73,26,3,210,128,10,345,20,23,14,0,51,38,6,97,1921,1382,575,37,3912,1952,167,6029
LGA22980,706,507,154,19,1384,653,56,2092,34,14,7,0,63,47,0,103,0,0,0,0,0,4,0,8,33,14,7,0,62,45,0,111,7,0,0,0,7,62,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,62,0,72,3,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,4,0,0,0,4,3,0,4,0,0,0,0,0,0,0,3,7,0,3,0,8,6,0,11,11,4,0,0,19,10,0,27,768,524,164,19,1480,780,58,2320
LGA23110,5163,8390,2520,361,16435,4365,671,21470,1100,1065,488,57,2712,1684,173,4567,1127,1478,429,49,3087,712,167,3971,2229,2546,917,104,5795,2393,343,8540,352,181,179,24,732,944,85,1761,41,18,13,3,74,115,5,200,40,20,55,8,116,167,14,305,0,0,0,0,0,0,0,0,438,213,244,31,933,1227,104,2264,0,4,0,0,5,22,3,23,3,0,0,0,4,14,0,20,0,3,0,0,3,4,0,6,23,21,9,3,46,27,6,79,25,20,4,3,55,68,8,128,19,30,5,3,54,48,6,107,7872,11197,3693,507,23279,8097,1128,32508
LGA23190,2061,1994,738,65,4850,1811,162,6819,82,13,31,3,128,305,3,433,3,0,0,0,5,8,0,11,87,14,32,3,137,308,3,446,47,16,29,4,101,284,19,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,16,29,4,101,284,19,399,0,0,0,0,0,6,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,5,4,0,0,10,3,0,14,9,3,0,0,15,8,0,24,11,4,0,0,13,19,0,30,2213,2032,793,70,5110,2427,186,7721
LGA23270,10511,25117,7275,651,43557,7193,1020,51768,681,1064,579,58,2388,1337,137,3861,412,650,332,33,1426,380,97,1903,1084,1719,913,95,3809,1709,234,5756,379,462,275,29,1146,766,91,2005,0,0,3,0,3,0,0,3,9,18,20,0,51,49,0,102,0,0,3,0,4,3,0,4,385,484,303,29,1201,822,94,2113,3,0,3,0,3,9,0,19,17,3,6,0,28,144,4,174,0,0,0,0,0,0,0,0,7,45,46,0,101,31,10,136,32,50,55,0,133,182,12,330,19,43,13,3,79,57,12,148,12036,27410,8563,783,48787,9963,1370,60129
LGA23350,1874,1696,511,35,4111,1242,118,5472,19,3,11,0,40,61,0,98,0,0,0,0,0,0,0,0,19,3,11,0,40,61,0,98,38,7,21,0,64,141,16,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,7,21,0,64,141,16,218,3,0,0,0,5,9,0,16,3,0,3,0,3,16,0,16,0,0,0,0,0,0,0,0,4,6,0,0,15,12,0,28,11,9,3,0,24,34,0,59,15,11,5,0,30,14,0,40,1953,1729,549,39,4262,1495,139,5897
