LGA_CODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
LGA21670,4932,11105,318,459,3,5,317,469,73,89,0,0,0,0,0,0,76,87,48,64,14,18,12,8,32,61,101,154,25,44,5445,11858,847,..,6289,11858
LGA21750,7262,17556,531,731,36,58,561,787,52,85,0,0,0,0,0,0,59,87,29,38,19,36,4,12,24,62,76,146,46,94,8005,18670,3015,..,11022,18670
LGA21830,5697,13705,102,125,5,7,105,132,133,189,0,0,0,0,0,0,135,194,3,3,10,18,0,0,16,36,24,55,67,163,6022,14254,1210,..,7230,14254
LGA21890,32209,89006,8390,17638,5831,13715,14221,31354,4715,8113,1279,2191,1812,3211,5,8,7808,13526,0,0,4,11,0,0,304,677,307,693,189,409,54736,134978,5081,..,59814,134978
LGA22110,16102,36862,579,864,62,111,649,976,306,464,0,0,0,0,3,0,305,466,105,141,135,198,18,37,44,92,297,470,213,391,17564,39163,4931,..,22497,39163
LGA22170,39300,106024,6744,11602,1799,3806,8550,15408,1121,1774,136,199,71,99,9,9,1343,2079,26,51,363,471,0,4,46,118,436,645,67,127,49687,124287,4169,..,53858,124287
LGA22250,4048,9240,10,12,0,0,10,12,111,138,0,0,0,0,0,0,111,138,30,45,0,0,0,0,15,24,42,70,13,21,4219,9474,773,..,4993,9474
LGA22310,26458,77363,7837,16989,4822,13192,12661,30178,9556,18485,2235,4152,1012,1797,20,38,12825,24463,0,0,0,0,0,0,178,397,181,400,171,399,52296,132803,5015,..,57316,132803
LGA22410,7067,16368,185,247,19,34,203,282,249,340,6,6,8,5,0,3,266,355,21,26,19,22,5,5,23,46,66,101,46,89,7644,17195,1664,..,9313,17195
LGA22490,7093,20049,17,38,0,0,17,38,24,42,0,0,0,0,0,0,24,42,8,14,3,17,9,27,6,23,31,85,19,38,7184,20255,783,..,7965,20255
LGA22620,37175,93825,2818,4394,391,765,3211,5154,490,798,56,87,17,18,0,0,561,902,90,116,78,114,7,12,58,127,241,372,179,379,41361,100630,5013,..,46379,100630
LGA22670,34738,109986,5837,14331,2258,6741,8098,21069,4447,9899,437,892,313,651,17,41,5209,11484,105,128,90,157,10,24,184,526,392,836,130,282,48563,143653,3524,..,52083,143653
LGA22750,74212,190139,7763,12797,1729,3458,9490,16258,2150,3384,114,164,186,307,8,11,2457,3872,69,112,242,320,3,6,241,695,559,1139,276,601,86995,212004,14206,..,101199,212004
LGA22830,19902,52544,2066,3569,97,196,2156,3766,144,226,21,30,0,0,0,0,166,258,113,154,141,195,12,18,41,117,303,487,53,141,22583,57196,2471,..,25055,57196
LGA22910,5413,12176,116,153,6,10,125,161,49,62,0,0,0,0,0,6,52,73,25,30,5,11,9,13,304,677,345,734,97,218,6029,13360,2032,..,8067,13360
LGA22980,2092,4736,103,211,8,10,111,219,72,89,0,0,0,0,0,0,72,89,7,12,0,0,4,11,3,12,11,27,27,56,2320,5119,574,..,2889,5119
LGA23110,21470,58766,4567,9812,3971,10483,8540,20296,1761,3044,200,310,305,525,0,0,2264,3883,23,38,20,21,6,10,79,179,128,249,107,239,32508,83427,2947,..,35457,83427
LGA23190,6819,16512,433,600,11,27,446,625,399,574,0,0,0,0,0,0,399,574,5,9,3,9,3,3,14,28,24,46,30,66,7721,17825,1110,..,8829,17825
LGA23270,51768,166733,3861,9306,1903,5334,5756,14639,2005,4570,3,10,102,237,4,8,2113,4824,19,26,174,222,0,9,136,439,330,697,148,388,60129,187279,4150,..,64276,187279
LGA23350,5472,13528,98,152,0,0,98,152,218,319,0,0,0,0,0,0,218,319,16,19,16,29,0,0,28,56,59,107,40,91,5897,14194,727,..,6625,14194
LGA23430,33536,96294,9241,18184,5149,13116,14392,31296,5975,10790,822,1478,756,1304,9,21,7565,13594,46,60,160,202,0,0,123,262,333,525,212,473,56036,142186,5029,..,61066,142186
LGA23670,45452,130784,4612,8745,1904,4570,6516,13311,920,1461,254,408,149,247,6,7,1322,2120,26,39,102,130,0,0,139,401,269,567,104,203,53657,146986,3645,..,57300,146986
LGA23810,24827,60819,1604,2273,106,216,1710,2487,1453,2041,0,0,0,0,0,0,1458,2036,25,35,60,88,5,7,14,26,112,157,105,173,28211,65681,3827,..,32038,65681
LGA23940,2792,6235,11,15,0,0,11,15,50,66,0,0,0,0,0,0,50,66,30,48,11,11,6,18,15,33,67,114,47,106,2964,6530,844,..,3806,6530
LGA24130,14735,40344,676,1117,12,29,694,1147,146,224,0,0,0,4,6,11,154,232,14,13,18,25,7,9,48,102,79,148,67,140,15728,42016,1858,..,17586,42016
LGA24210,30872,89460,2657,5616,3688,10312,6348,15935,1089,2247,479,913,1102,2115,6,9,2668,5285,14,26,4,7,0,0,23,54,35,84,150,262,40074,111025,3813,..,43887,111025
LGA24250,3077,6982,48,77,0,0,48,77,17,32,0,0,0,0,0,0,17,32,9,20,8,13,3,9,14,31,37,68,25,46,3207,7202,2381,..,5587,7202
LGA24330,15576,43640,2543,5416,4878,13250,7422,18667,3203,6273,1567,2955,2380,4266,36,81,7182,13572,0,5,14,28,0,0,162,381,174,417,131,235,30481,76524,2962,..,33445,76524
LGA24410,35525,95156,2445,4638,929,2117,3373,6751,425,883,365,651,151,246,0,0,942,1780,0,3,3,16,0,0,19,54,29,74,100,230,39962,103993,3065,..,43028,103993
LGA24600,1657,4352,2377,5303,4875,12695,7253,17992,1689,3345,4800,8907,41048,81250,24,50,47554,93548,0,0,4,14,52,59,97,217,156,286,394,786,57012,116968,9720,..,66733,116968
LGA24650,36502,114771,3223,7507,1423,4040,4643,11547,203,437,47,98,89,190,4,6,347,728,40,62,63,90,4,7,17,56,125,214,85,228,41704,127492,2710,..,44411,127492
LGA24780,16631,43192,1650,2714,61,113,1709,2828,1142,1748,0,0,0,0,0,0,1146,1745,109,161,87,164,7,15,23,40,224,377,106,239,19817,48391,2368,..,22180,48391
LGA24850,12761,35252,408,687,47,94,454,787,363,535,0,4,0,4,0,0,364,544,31,40,39,60,8,8,13,23,87,131,51,131,13725,36848,1427,..,15155,36848
LGA24900,9853,24107,310,460,25,57,329,520,497,706,0,0,3,3,3,3,496,709,38,53,35,67,4,11,24,57,105,184,108,217,10899,25737,2017,..,12917,25737
LGA24970,44601,129577,5380,12788,4225,12477,9602,25264,5590,13116,997,1892,1176,2032,8,14,7768,17048,3,12,3,3,4,3,38,85,41,105,206,488,62221,172476,5594,..,67822,172476
LGA25060,24992,70388,4174,8806,4853,12079,9028,20877,3464,6340,2968,5156,2718,5572,6,15,9160,17079,0,0,0,5,0,0,179,398,188,409,151,320,43513,109082,4107,..,47626,109082
LGA25150,10156,27714,661,1255,75,150,735,1404,129,162,0,0,0,0,0,0,131,167,14,14,22,28,6,8,30,83,77,141,52,102,11145,29522,1258,..,12403,29522
LGA25250,34444,95696,7382,15614,8698,21304,16083,36920,4866,8806,1456,2517,3832,6608,27,74,10188,18008,5,24,3,3,0,0,260,625,275,651,231,558,61218,151829,5963,..,67180,151829
LGA25340,48672,124336,4403,7306,1374,2900,5776,10204,2622,4084,52,86,23,49,8,13,2706,4236,133,180,299,406,14,31,22,59,472,669,167,311,57791,139762,27890,..,85684,139762
LGA25430,6949,15545,260,367,11,12,266,380,56,59,0,0,0,0,0,0,57,66,12,20,9,11,5,6,16,32,43,72,58,123,7374,16189,1352,..,8726,16189
LGA25490,5687,14441,72,98,17,35,85,132,23,41,0,0,0,0,0,3,26,48,16,23,6,6,4,6,27,54,46,91,46,109,5897,14818,1679,..,7575,14818
LGA25620,4870,11347,127,192,0,0,134,195,57,71,0,0,0,0,3,3,54,71,72,96,45,57,24,49,18,45,152,244,48,101,5263,11959,1762,..,7028,11959
LGA25710,18502,55332,332,557,345,826,682,1379,487,876,17,22,0,3,0,4,506,908,7,13,0,7,3,10,4,20,15,45,56,138,19759,57795,1307,..,21062,57795
LGA25810,4333,9749,87,109,0,4,87,112,166,224,0,0,0,0,0,0,163,227,25,35,16,23,0,0,13,24,56,85,52,113,4695,10291,959,..,5652,10291
LGA25900,3974,10900,5788,13401,4974,12306,10764,25700,6591,11380,10800,17772,12262,21318,49,89,29702,50560,3,11,3,3,0,0,482,854,484,865,183,328,45110,88357,7142,..,52253,88357
LGA25990,2653,6004,0,3,0,0,0,3,21,33,0,0,0,0,0,0,21,33,13,11,7,24,3,6,3,4,27,48,18,44,2723,6128,626,..,3344,6128
LGA26080,1048,2187,63,93,20,35,80,129,32,36,0,0,0,0,0,0,32,36,0,0,0,3,0,0,8,25,13,28,11,15,1181,2403,1500,..,2676,2403
LGA26170,10155,24492,240,332,10,15,249,345,250,352,0,0,0,0,7,8,254,364,32,36,5,9,3,12,42,71,80,130,49,102,10796,25423,4155,..,14943,25423
LGA26260,5936,13687,166,244,8,10,177,255,106,141,0,0,0,0,0,3,106,147,8,11,4,3,0,4,28,61,38,76,71,128,6326,14295,1293,..,7618,14295
LGA26350,11898,34940,4952,10615,4106,9590,9065,20204,5822,10590,8127,13850,8381,13887,9,15,22347,38340,0,4,8,14,0,7,247,442,257,470,159,325,43724,94284,6687,..,50408,94284
LGA26430,3866,8653,119,145,5,7,120,154,94,131,0,0,0,0,0,0,94,131,27,34,19,24,7,11,15,34,61,109,24,42,4174,9089,1136,..,5307,9089
LGA26490,9358,24835,272,478,314,719,583,1199,86,129,38,54,10,10,0,3,129,197,3,23,11,22,8,10,14,31,43,87,46,115,10163,26435,7332,..,17497,26435
LGA26610,6294,16131,272,425,11,8,276,435,410,678,0,0,0,3,3,0,412,684,48,93,38,57,10,27,19,50,113,224,103,249,7198,17723,925,..,8120,17723
LGA26670,2259,5109,24,35,0,0,24,35,12,16,0,0,0,0,0,0,12,16,13,23,4,10,0,0,8,14,24,43,15,34,2333,5234,587,..,2917,5234
LGA26700,9726,23765,1012,1448,49,75,1066,1524,75,104,0,0,4,3,0,6,78,117,27,41,20,35,3,8,20,42,71,124,35,87,10980,25615,1371,..,12348,25615
LGA26730,10316,26598,1220,1869,319,577,1537,2444,565,799,75,96,0,0,0,3,645,897,7,26,63,115,0,0,4,14,79,151,60,122,12637,30208,1588,..,14225,30208
LGA26810,14918,35821,466,640,81,120,541,764,364,532,31,68,0,0,0,0,399,605,61,104,44,70,6,15,42,74,152,258,77,175,16082,37623,4844,..,20934,37623
LGA26890,1524,3436,23,33,0,0,23,33,15,20,0,0,0,0,0,0,15,20,3,0,0,0,0,0,10,26,19,32,4,9,1586,3523,574,..,2158,3523
LGA26980,39612,113897,9638,19700,4265,11729,13902,31438,2053,3982,1369,2536,1162,1961,13,31,4594,8514,3,10,4,7,0,6,45,107,48,125,148,324,58308,154303,5347,..,63654,154303
LGA27070,53377,163152,4846,12245,3266,8855,8110,21096,1384,3120,438,714,238,453,0,3,2062,4281,0,0,3,9,0,3,20,78,25,92,108,270,63678,188900,4457,..,68131,188900
LGA27170,12316,32323,1382,2209,108,212,1492,2419,333,509,0,0,0,0,0,3,333,510,15,30,9,20,3,3,18,43,46,92,78,187,14260,35528,1363,..,15626,35528
LGA27260,55956,178607,7013,18739,2285,6356,9298,25100,1366,2987,42,65,81,143,4,3,1486,3198,107,147,6,20,0,3,13,37,123,213,82,192,66946,207308,4981,..,71927,207308
LGA27350,5083,13025,8224,18771,5872,14414,14091,33188,3564,6181,4308,7359,8788,16841,11,21,16670,30399,0,3,0,3,0,0,217,491,223,497,189,399,36254,77501,4069,..,40316,77501
LGA27450,48543,133685,2139,3480,512,1049,2647,4531,179,318,49,87,8,12,8,14,243,429,115,156,95,127,18,49,39,101,265,434,205,461,51905,139538,4742,..,56640,139538
LGA27630,2555,5699,15,21,0,0,15,21,46,56,0,0,0,0,0,0,50,57,7,6,0,0,0,0,24,44,29,53,32,72,2679,5892,680,..,3358,5892
LGA29399,46,91,3,10,4,17,6,22,34,91,13,37,35,104,0,0,86,234,3,4,3,10,0,0,0,0,8,11,5,17,151,377,499,..,651,377
LGA29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
LGA29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
