LGA_CODE_2016,POL_Greek_SEO,POL_Greek_SOLSE_VWorW,POL_Greek_SOLSE_NWorNAA,POL_Greek_SOLSE_Tot,POL_Greek_NS,POL_Greek_Tot,POL_IAL_Bengali_SEO,POL_IAL_Bengali_SOLSE_VWorW,POL_IAL_Bengali_SOLSE_NWorNAA,POL_IAL_Bengali_SOLSE_Tot,POL_IAL_Bengali_NS,POL_IAL_Bengali_Tot,POL_IAL_Hindi_SEO,POL_IAL_Hindi_SOLSE_VWorW,POL_IAL_Hindi_SOLSE_NWorNAA,POL_IAL_Hindi_SOLSE_Tot,POL_IAL_Hindi_NS,POL_IAL_Hindi_Tot,POL_IAL_Punjabi_SEO,POL_IAL_Punjabi_SOLSE_VWorW,POL_IAL_Punjabi_SOLSE_NWorNAA,POL_IAL_Punjabi_SOLSE_Tot,POL_IAL_Punjabi_NS,POL_IAL_Punjabi_Tot,POL_IAL_Sinhalese_SEO,POL_IAL_Sinhalese_SOLSE_VWorW,POL_IAL_Sinhale_SOLSE_NWorNAA,POL_IAL_Sinhalese_SOLSE_Tot,POL_IAL_Sinhalese_NS,POL_IAL_Sinhalese_Tot,POL_IAL_Urdu_SEO,POL_IAL_Urdu_SOLSE_VWorW,POL_IAL_Urdu_SOLSE_NWorNAA,POL_IAL_Urdu_SOLSE_Tot,POL_IAL_Urdu_NS,POL_IAL_Urdu_Tot,POL_IAL_Oth_SEO,POL_IAL_Oth_SOLSE_VWorW,POL_IAL_Oth_SOLSE_NWorNAA,POL_IAL_Oth_SOLSE_Tot,POL_IAL_Oth_NS,POL_IAL_Oth_Tot,POL_IAL_Tot_SEO,POL_IAL_Tot_SOLSE_VWorW,POL_IAL_Tot_SOLSE_NWorNAA,POL_IAL_Tot_SOLSE_Tot,POL_IAL_Tot_NS,POL_IAL_Tot_Tot,POL_Italian_SEO,POL_Italian_SOLSE_VWorW,POL_Italian_SOLSE_NWorNAA,POL_Italian_SOLSE_Tot,POL_Italian_NS,POL_Italian_Tot,POL_Japanese_SEO,POL_Japanese_SOLSE_VWorW,POL_Japanese_SOLSE_NWorNAA,POL_Japanese_SOLSE_Tot,POL_Japanese_NS,POL_Japanese_Tot,POL_Korean_SEO,POL_Korean_SOLSE_VWorW,POL_Korean_SOLSE_NWorNAA,POL_Korean_SOLSE_Tot,POL_Korean_NS,POL_Korean_Tot,POL_Macedonian_SEO,POL_Macedonian_SOLSE_VWorW,POL_Macedonian_SOLSE_NWorNAA,POL_Macedonian_SOLSE_Tot,POL_Macedonian_NS,POL_Macedonian_Tot,POL_Maltese_SEO,POL_Maltese_SOLSE_VWorW,POL_Maltese_SOLSE_NWorNAA,POL_Maltese_SOLSE_Tot,POL_Maltese_NS,POL_Maltese_Tot,POL_Persian_ED_SEO,POL_Persian_ED_SOLSE_VWorW,POL_Persian_ED_SOLSE_NWorNAA,POL_Persian_ED_SOLSE_Tot,POL_Persian_ED_NS,POL_Persian_ED_Tot,POL_Polish_SEO,POL_Polish_SOLSE_VWorW,POL_Polish_SOLSE_NWorNAA,POL_Polish_SOLSE_Tot,POL_Polish_NS,POL_Polish_Tot,POL_Russian_SEO,POL_Russian_SOLSE_VWorW,POL_Russian_SOLSE_NWorNAA,POL_Russian_SOLSE_Tot,POL_Russian_NS,POL_Russian_Tot,POL_Samoan_SEO,POL_Samoan_SOLSE_VWorW,POL_Samoan_SOLSE_NWorNAA,POL_Samoan_SOLSE_Tot,POL_Samoan_NS,POL_Samoan_Tot,POL_Serbian_SEO,POL_Serbian_SOLSE_VWorW,POL_Serbian_SOLSE_NWorNAA,POL_Serbian_SOLSE_Tot,POL_Serbian_NS,POL_Serbian_Tot,POL_SAL_Filipino_SEO,POL_SAL_Filipino_SOLSE_VWorW,POL_SAL_Filipin_SOLSE_NWorNAA,POL_SAL_Filipino_SOLSE_Tot,POL_SAL_Filipino_NS,POL_SAL_Filipino_Tot,POL_SAL_Indonesian_SEO,POL_SAL_Indonesia_SOLSE_VWorW,POL_SAL_Indones_SOLSE_NWorNAA,POL_SAL_Indonesian_SOLSE_Tot,POL_SAL_Indonesian_NS,POL_SAL_Indonesian_Tot,POL_SAL_Tagalog_SEO,POL_SAL_Tagalog_SOLSE_VWorW,POL_SAL_Tagalog_SOLSE_NWorNAA,POL_SAL_Tagalog_SOLSE_Tot,POL_SAL_Tagalog_NS,POL_SAL_Tagalog_Tot,POL_SAL_Oth_SEO,POL_SAL_Oth_SOLSE_VWorW,POL_SAL_Oth_SOLSE_NWorNAA,POL_SAL_Oth_SOLSE_Tot,POL_SAL_Oth_NS,POL_SAL_Oth_Tot,POL_SAL_Tot_SEO,POL_SAL_Tot_SOLSE_VWorW,POL_SAL_Tot_SOLSE_NWorNAA,POL_SAL_Tot_SOLSE_Tot,POL_SAL_Tot_NS,POL_SAL_Tot_Tot,POL_Spanish_SEO,POL_Spanish_SOLSE_VWorW,POL_Spanish_SOLSE_NWorNAA,POL_Spanish_SOLSE_Tot,POL_Spanish_NS,POL_Spanish_Tot,POL_Tamil_SEO,POL_Tamil_SOLSE_VWorW,POL_Tamil_SOLSE_NWorNAA,POL_Tamil_SOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_SOLSE_VWorW,POL_Thai_SOLSE_NWorNAA,POL_Thai_SOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_SOLSE_VWorW,POL_Turkish_SOLSE_NWorNAA,POL_Turkish_SOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_SOLSE_VWorW,POL_Vietnamese_SOLSE_NWorNAA,POL_Vietnamese_SOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_SOLSE_VWorW,POL_Oth_SOLSE_NWorNAA,POL_Oth_SOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_SOLSE_VWorW,POL_Tot_SOLSE_NWorNAA,POL_Tot_SOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LSatH_NS_SEO,P_LSatH_NS_SOLSE_VWorW,P_LSatH_NS_SOLSE_NWorNAA,P_LSatH_NS_SOLSE_Tot,P_LSatH_NS_NS,P_LSatH_NS_Tot,P_Tot_SEO,P_Tot_SOLSE_VWorW,P_Tot_SOLSE_NWorNAA,P_Tot_SOLSE_Tot,P_Tot_NS,P_Tot_Tot
LGA21270,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,4,0,4,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,10,..,7,0,9,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,3,11,..,6,0,6,0,6,..,11,0,12,0,12,..,10,0,10,0,10,..,32,0,30,3,32,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,3,0,3,..,50,9,56,4,59,..,141,13,155,11,165,..,10,3,17,555,569,5469,153,17,171,559,6201
LGA21370,..,43,4,47,0,47,..,0,0,0,0,0,..,15,0,15,0,15,..,18,0,22,0,22,..,16,0,18,0,18,..,3,0,3,0,3,..,11,3,12,0,12,..,72,3,74,0,74,..,171,32,207,6,206,..,3,3,3,0,3,..,16,10,32,0,32,..,5,3,8,0,8,..,6,0,6,0,6,..,3,0,3,0,3,..,7,0,7,0,7,..,5,0,5,0,5,..,0,0,0,0,0,..,7,0,7,0,7,..,86,0,84,0,84,..,8,0,8,0,8,..,70,0,69,0,69,..,3,0,3,0,3,..,166,0,169,0,169,..,20,0,21,0,21,..,0,0,0,0,0,..,26,3,27,0,32,..,9,5,14,0,14,..,8,0,8,0,8,..,187,31,217,12,227,..,955,119,1069,20,1089,..,112,11,124,2662,2780,33183,1064,128,1193,2680,37061
LGA21450,..,252,18,267,3,269,..,114,9,124,0,124,..,393,12,404,5,410,..,705,99,799,11,809,..,685,64,747,6,751,..,131,15,144,0,144,..,298,31,325,0,327,..,2333,228,2557,18,2574,..,476,60,539,8,547,..,66,9,70,0,70,..,38,28,63,0,62,..,27,3,27,0,27,..,56,3,57,0,59,..,62,14,74,0,74,..,107,9,120,0,120,..,113,10,122,0,129,..,127,3,129,0,129,..,116,24,137,3,139,..,210,3,213,0,215,..,102,5,101,4,109,..,230,3,229,4,238,..,85,3,88,0,88,..,619,21,636,7,645,..,408,41,448,4,455,..,178,18,198,0,201,..,88,12,100,0,104,..,88,10,93,0,93,..,93,25,119,7,121,..,2107,378,2484,64,2543,..,9256,1172,10428,146,10570,..,199,26,222,5008,5229,78326,9453,1195,10650,5157,94128
LGA21610,..,2203,235,2434,29,2467,..,613,21,638,3,639,..,4441,250,4695,27,4718,..,5871,750,6618,78,6695,..,8301,604,8900,64,8970,..,1648,199,1849,11,1864,..,2051,226,2274,19,2294,..,22919,2064,24977,208,25181,..,2308,256,2565,55,2617,..,165,27,193,3,202,..,337,168,506,4,511,..,367,51,416,10,420,..,269,12,280,6,288,..,911,277,1184,20,1203,..,1249,202,1452,13,1469,..,609,112,718,7,727,..,2341,222,2562,56,2615,..,2086,509,2595,34,2633,..,1705,37,1743,20,1771,..,854,80,931,6,931,..,2032,54,2088,37,2118,..,569,33,601,6,608,..,5159,209,5360,66,5432,..,2818,428,3253,36,3289,..,3619,431,4050,36,4081,..,375,84,457,9,468,..,1283,272,1554,21,1576,..,1552,670,2218,14,2236,..,24593,6460,31053,511,31561,..,89927,16066,105990,1283,107272,..,741,231,972,13779,14753,177273,90663,16303,106968,15059,299301
LGA21670,..,24,0,22,0,22,..,0,0,0,0,0,..,14,0,14,0,14,..,19,4,18,0,18,..,3,0,3,0,3,..,5,0,5,0,5,..,6,0,9,0,9,..,40,4,46,0,46,..,15,0,18,0,19,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,9,0,9,..,0,0,0,0,0,..,3,0,3,0,3,..,12,0,12,0,12,..,0,0,0,0,0,..,3,0,3,0,3,..,29,0,26,0,26,..,3,0,0,0,0,..,21,3,23,0,18,..,8,0,10,0,10,..,53,7,55,0,56,..,9,3,11,0,11,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,3,0,3,0,3,..,46,8,59,3,62,..,279,35,313,11,324,..,43,6,52,870,919,11755,323,40,364,875,12995
LGA21750,..,44,3,48,0,53,..,0,0,0,0,0,..,4,3,10,0,10,..,20,0,20,0,20,..,10,0,10,0,10,..,3,0,4,0,4,..,7,4,12,0,12,..,46,6,52,0,52,..,58,9,63,7,67,..,19,3,22,0,22,..,4,3,3,0,3,..,3,0,3,0,3,..,6,0,6,0,6,..,7,6,12,0,12,..,5,0,5,0,5,..,9,4,9,0,9,..,3,0,3,0,3,..,3,0,3,0,3,..,33,0,33,0,33,..,12,3,16,0,16,..,12,0,13,0,13,..,12,0,14,0,14,..,67,7,71,0,71,..,14,0,14,0,14,..,4,0,4,0,4,..,12,3,17,0,17,..,0,0,5,0,5,..,20,5,20,0,20,..,210,19,233,12,242,..,732,129,866,20,884,..,52,11,59,1385,1443,18643,782,143,923,1401,20972
LGA21830,..,6,0,6,0,6,..,0,0,0,0,0,..,8,0,8,0,8,..,0,0,0,0,0,..,7,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,11,0,15,0,15,..,13,0,15,0,15,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,11,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,3,3,10,0,10,..,0,0,0,0,0,..,4,0,5,0,7,..,15,3,19,0,19,..,10,0,10,0,10,..,22,0,22,0,22,..,5,0,5,0,5,..,52,3,56,0,56,..,11,0,13,0,13,..,0,0,0,0,0,..,4,0,4,0,4,..,4,0,4,0,4,..,0,0,0,0,0,..,36,3,39,3,39,..,243,16,260,7,268,..,53,0,52,1216,1270,14519,290,23,311,1219,16051
LGA21890,..,7087,2119,9203,100,9301,..,389,35,418,0,422,..,1500,71,1573,16,1590,..,1168,117,1285,17,1304,..,472,20,493,3,498,..,663,65,730,12,736,..,1344,96,1441,7,1451,..,5536,403,5940,60,5994,..,7660,1944,9602,104,9708,..,363,39,407,3,408,..,133,41,175,0,176,..,1721,421,2146,23,2170,..,234,27,269,3,273,..,382,112,495,6,502,..,176,22,203,0,202,..,121,5,127,0,127,..,76,5,81,0,85,..,258,75,332,0,332,..,282,13,297,3,298,..,283,12,295,0,299,..,406,9,414,7,418,..,160,9,169,0,174,..,1130,48,1173,17,1192,..,1050,121,1168,12,1181,..,477,29,509,6,516,..,274,83,361,4,359,..,332,41,371,3,373,..,2497,874,3372,27,3401,..,3482,706,4188,109,4296,..,43041,10678,53724,615,54334,..,345,89,438,9326,9764,82621,43389,10768,54158,9945,146719
LGA22110,..,45,7,52,3,61,..,0,0,0,0,0,..,32,0,29,0,30,..,29,0,29,0,29,..,8,0,8,0,8,..,3,0,3,0,3,..,10,0,10,0,10,..,77,3,79,0,83,..,203,12,213,9,223,..,12,0,12,0,17,..,4,0,11,0,11,..,4,0,4,0,4,..,13,0,13,0,13,..,8,0,8,0,8,..,31,3,33,0,33,..,8,3,9,0,9,..,0,0,0,0,0,..,16,0,16,0,16,..,47,5,52,0,52,..,8,0,8,0,8,..,59,0,61,3,62,..,11,0,11,0,11,..,129,6,129,3,131,..,44,3,47,0,50,..,19,3,25,0,25,..,19,6,26,0,26,..,5,0,5,0,5,..,47,30,74,0,74,..,217,36,256,14,264,..,1354,187,1541,45,1586,..,141,6,149,3746,3892,39559,1494,198,1687,3788,45040
LGA22170,..,1016,127,1139,13,1152,..,38,3,41,0,42,..,472,30,503,8,513,..,228,29,261,4,261,..,251,22,273,0,276,..,78,3,82,0,80,..,169,9,181,0,176,..,1241,94,1342,12,1351,..,765,71,833,11,843,..,133,11,139,0,143,..,51,19,69,3,75,..,45,3,52,3,54,..,58,0,59,0,59,..,79,10,88,0,88,..,296,32,326,0,326,..,445,90,533,0,533,..,183,14,202,0,206,..,272,33,305,0,305,..,337,0,337,3,340,..,129,9,142,0,143,..,431,13,447,3,452,..,87,8,93,0,96,..,985,29,1021,17,1032,..,559,69,626,9,633,..,317,33,350,0,350,..,226,47,276,3,273,..,137,15,152,3,157,..,169,53,219,5,219,..,2955,504,3461,90,3552,..,13232,1779,15013,225,15246,..,365,40,405,7877,8279,110620,13602,1822,15423,8102,134143
LGA22250,..,10,3,16,0,16,..,4,0,4,0,4,..,3,0,3,0,3,..,13,3,13,0,15,..,0,0,0,0,0,..,0,0,0,0,0,..,12,0,12,0,12,..,33,3,36,0,34,..,11,0,11,0,11,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,4,0,4,0,4,..,9,0,11,0,11,..,3,0,3,0,3,..,15,0,15,0,15,..,10,0,11,0,11,..,33,0,39,0,39,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,3,..,33,10,40,0,45,..,178,28,205,4,207,..,38,0,43,718,761,9589,213,26,245,719,10549
LGA22310,..,4551,865,5418,50,5468,..,227,5,231,0,231,..,1725,79,1807,6,1809,..,384,18,409,7,412,..,391,14,404,0,406,..,164,4,169,3,172,..,1504,151,1651,9,1662,..,4403,267,4663,29,4697,..,1579,172,1749,22,1767,..,703,185,888,4,892,..,570,189,758,8,762,..,84,6,93,0,91,..,49,3,52,0,52,..,190,26,215,0,212,..,789,80,863,5,873,..,3938,761,4701,34,4735,..,19,0,22,0,22,..,302,28,329,3,327,..,216,3,220,3,220,..,397,25,424,0,424,..,284,5,291,3,288,..,91,4,94,0,94,..,988,32,1023,8,1032,..,864,50,913,9,924,..,582,30,612,3,619,..,256,53,311,0,315,..,113,16,127,3,129,..,640,97,734,3,737,..,7185,641,7829,119,7946,..,38246,5753,44001,367,44372,..,321,64,386,6179,6565,89939,38576,5815,44386,6548,140875
LGA22410,..,10,0,10,0,11,..,10,0,10,0,10,..,13,0,13,0,13,..,3,0,3,0,3,..,14,3,16,0,16,..,3,0,3,0,3,..,4,3,6,0,6,..,41,7,50,0,50,..,14,0,11,0,11,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,13,3,9,0,9,..,4,0,4,0,4,..,4,0,4,0,4,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,15,0,15,0,15,..,12,0,15,0,15,..,34,0,38,0,38,..,4,6,6,0,6,..,72,9,77,0,77,..,11,5,15,0,16,..,0,0,0,0,0,..,13,0,19,0,17,..,3,0,3,0,3,..,10,3,11,0,11,..,76,10,80,0,83,..,398,39,439,6,446,..,56,3,61,1500,1561,17547,451,42,496,1510,19557
LGA22490,..,25,0,26,0,26,..,0,0,0,0,0,..,3,0,3,0,3,..,4,0,5,0,5,..,3,0,3,0,3,..,0,0,3,0,3,..,0,0,0,0,0,..,11,4,14,0,14,..,66,3,67,3,74,..,10,0,15,0,15,..,3,0,3,0,3,..,5,3,8,8,15,..,23,0,21,0,21,..,0,0,0,0,0,..,10,0,10,0,10,..,13,3,17,0,17,..,0,0,0,0,0,..,21,0,19,0,19,..,6,0,6,0,6,..,6,0,6,0,6,..,4,0,4,0,3,..,0,0,0,0,0,..,17,0,17,0,20,..,27,0,26,4,32,..,0,0,0,0,0,..,25,0,25,0,25,..,8,0,8,0,8,..,6,3,9,0,9,..,107,28,134,0,138,..,579,61,638,12,651,..,44,0,47,1063,1105,19931,623,61,687,1075,21688
LGA22620,..,125,21,147,0,142,..,54,7,59,0,58,..,169,11,179,0,185,..,180,25,198,0,200,..,94,8,107,0,107,..,66,4,68,0,72,..,112,14,125,0,125,..,677,61,738,4,742,..,189,11,200,4,205,..,46,0,44,3,46,..,45,15,59,0,59,..,11,0,11,0,11,..,27,0,27,3,28,..,26,3,31,0,31,..,18,0,18,0,18,..,40,5,52,0,52,..,11,0,10,0,10,..,7,4,12,0,12,..,132,0,130,5,135,..,83,0,83,0,83,..,143,0,140,3,145,..,25,0,25,0,23,..,376,4,386,8,388,..,64,8,73,0,73,..,64,3,68,0,72,..,52,10,58,4,64,..,15,6,20,0,20,..,68,25,96,3,94,..,1131,666,1798,46,1843,..,3968,1044,5011,89,5102,..,285,20,309,7207,7515,97865,4251,1071,5320,7293,110477
LGA22670,..,2840,762,3594,31,3630,..,624,60,682,5,691,..,2324,185,2506,18,2527,..,5209,592,5796,58,5858,..,3226,253,3482,28,3506,..,1241,148,1381,12,1400,..,996,114,1110,7,1117,..,13620,1352,14964,131,15098,..,1838,475,2314,34,2349,..,129,38,163,0,163,..,288,122,414,0,414,..,265,69,335,4,342,..,211,14,229,3,228,..,582,286,865,8,871,..,574,164,738,16,759,..,381,120,500,3,503,..,641,72,717,10,729,..,1608,591,2199,24,2217,..,667,18,688,6,693,..,476,75,556,3,553,..,935,36,971,6,976,..,376,81,453,5,463,..,2452,212,2668,23,2692,..,1188,267,1458,17,1472,..,2576,517,3089,23,3116,..,343,177,514,0,518,..,1192,302,1493,16,1509,..,10748,6226,16975,102,17079,..,18861,8670,27528,400,27930,..,71771,25278,97050,969,98023,..,485,270,752,7924,8674,45355,72265,25547,97804,8889,152050
LGA22750,..,788,135,922,11,940,..,115,10,124,0,124,..,525,20,547,3,545,..,700,68,770,6,778,..,237,17,253,0,253,..,218,21,237,0,237,..,331,14,346,7,354,..,2121,155,2275,18,2297,..,2046,317,2359,49,2409,..,244,17,253,0,256,..,117,32,148,0,148,..,835,197,1034,16,1049,..,214,11,224,3,226,..,342,78,416,3,418,..,412,68,477,4,485,..,204,45,254,0,254,..,34,0,32,0,32,..,622,151,773,16,784,..,415,13,425,0,425,..,231,4,232,0,236,..,500,14,511,3,517,..,150,3,157,3,157,..,1297,32,1331,11,1341,..,477,94,566,7,573,..,184,8,197,0,197,..,222,58,272,3,274,..,255,58,318,3,320,..,513,197,708,9,713,..,3734,1191,4925,106,5036,..,20627,3842,24469,343,24807,..,632,53,687,13775,14462,194156,21256,3898,25150,14115,233429
LGA22830,..,186,27,215,4,220,..,36,3,41,0,44,..,116,6,126,0,124,..,728,149,874,15,888,..,109,10,116,0,122,..,113,9,125,0,125,..,147,22,168,0,168,..,1254,193,1447,23,1470,..,1117,190,1302,16,1326,..,26,6,31,0,38,..,24,7,30,0,30,..,179,22,207,3,210,..,3,0,3,0,3,..,69,20,90,0,90,..,24,3,24,0,24,..,15,0,12,0,12,..,199,14,218,3,217,..,20,11,24,0,24,..,131,10,138,0,139,..,16,3,20,0,25,..,148,5,154,0,153,..,61,13,72,0,72,..,351,33,389,3,391,..,38,7,42,0,42,..,56,4,64,0,64,..,69,21,90,0,91,..,351,133,485,3,490,..,35,20,56,0,54,..,1682,740,2421,55,2477,..,7209,2034,9244,151,9388,..,195,45,239,5173,5412,49039,7401,2081,9479,5323,63837
LGA22910,..,47,9,52,0,50,..,3,0,3,0,3,..,3,0,3,0,3,..,12,3,11,0,11,..,0,0,0,0,0,..,0,0,0,0,0,..,17,0,17,0,17,..,39,3,37,0,37,..,67,0,66,3,67,..,10,0,12,0,12,..,0,0,0,0,0,..,9,3,15,0,15,..,26,0,26,0,26,..,0,0,0,0,0,..,15,4,18,0,18,..,10,0,6,0,6,..,0,0,0,0,0,..,33,6,41,0,41,..,3,0,3,0,3,..,4,0,4,0,4,..,15,0,15,0,15,..,8,0,8,0,8,..,29,0,29,0,29,..,25,3,26,0,26,..,6,0,6,0,6,..,18,0,15,0,15,..,3,0,3,0,3,..,4,0,4,0,4,..,96,16,108,0,108,..,644,65,707,8,716,..,32,0,34,1348,1381,13232,676,65,741,1355,15330
LGA22980,..,8,3,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,8,0,8,..,4,0,4,0,4,..,0,0,0,0,0,..,3,0,3,0,3,..,9,0,15,0,15,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,3,0,3,..,12,0,12,0,12,..,3,0,3,0,3,..,10,0,9,0,9,..,3,0,3,0,3,..,23,0,26,0,26,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,110,87,194,0,194,..,207,103,306,5,310,..,4,0,6,372,379,5035,211,103,315,376,5721
LGA23110,..,1918,419,2336,19,2354,..,158,12,165,0,165,..,779,45,819,10,831,..,756,89,843,7,851,..,112,8,123,0,119,..,271,16,288,3,294,..,355,24,385,0,385,..,2433,194,2626,24,2654,..,1958,389,2342,37,2379,..,170,12,185,0,182,..,52,16,73,0,73,..,857,210,1070,10,1076,..,1098,123,1218,11,1237,..,142,25,170,3,168,..,300,60,352,11,366,..,98,13,112,0,112,..,79,5,86,0,86,..,486,116,604,12,611,..,376,16,389,3,394,..,272,17,290,12,303,..,390,18,406,0,409,..,92,3,92,0,92,..,1135,49,1186,16,1196,..,549,67,615,7,621,..,166,16,177,11,185,..,158,40,199,0,199,..,80,10,96,0,96,..,1224,536,1763,20,1775,..,2638,788,3427,64,3492,..,21172,4283,25463,305,25766,..,200,44,246,4539,4785,58235,21378,4332,25708,4843,88778
LGA23190,..,17,0,15,0,15,..,12,0,12,0,12,..,19,3,23,0,23,..,11,0,11,0,11,..,13,0,13,0,11,..,7,0,7,0,9,..,28,3,25,0,25,..,89,7,99,3,100,..,72,4,81,4,85,..,7,0,7,0,7,..,8,0,6,0,6,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,13,0,9,0,9,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,33,3,35,0,35,..,0,0,0,0,0,..,38,0,33,0,33,..,12,0,13,0,13,..,87,3,87,0,87,..,16,0,19,0,19,..,10,0,10,0,10,..,4,3,7,0,7,..,19,4,27,0,27,..,9,0,9,0,9,..,153,49,201,3,209,..,643,88,729,10,746,..,57,4,65,1011,1073,17827,701,97,795,1020,19642
LGA23270,..,2360,410,2771,38,2805,..,374,28,396,5,398,..,2522,143,2667,24,2686,..,4389,614,4996,55,5053,..,2935,219,3157,24,3175,..,2370,234,2600,29,2630,..,1122,301,1422,11,1434,..,13707,1532,15237,153,15386,..,5007,615,5624,76,5699,..,91,13,105,0,105,..,69,19,91,0,91,..,600,59,662,9,667,..,971,56,1031,14,1042,..,313,135,448,5,455,..,347,40,393,0,395,..,106,19,128,0,128,..,1772,156,1930,33,1962,..,462,82,549,0,548,..,859,26,888,8,895,..,235,15,246,10,254,..,1287,50,1333,9,1348,..,383,28,414,3,420,..,2764,119,2884,30,2913,..,940,164,1105,12,1117,..,567,61,622,4,624,..,235,74,310,0,311,..,10534,2812,13348,135,13485,..,1304,649,1948,18,1966,..,13927,4950,18875,278,19150,..,71792,15751,87541,1013,88555,..,553,227,779,10451,11225,97600,72349,15974,88320,11461,197376
LGA23350,..,3,0,3,0,3,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,9,..,40,0,40,0,39,..,15,0,15,0,15,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,12,0,12,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,9,0,9,..,3,0,3,0,3,..,9,0,9,0,9,..,12,3,16,0,16,..,0,0,3,0,3,..,28,3,27,0,27,..,15,0,12,0,12,..,0,0,0,0,0,..,11,0,11,0,11,..,0,0,3,0,3,..,0,0,0,0,0,..,66,14,79,0,82,..,321,23,349,10,361,..,32,0,33,1086,1123,14477,356,27,383,1101,15952
LGA23430,..,5462,1327,6795,48,6836,..,196,6,206,0,202,..,1248,68,1314,4,1321,..,1158,102,1265,12,1280,..,597,18,618,0,618,..,235,14,253,4,255,..,626,52,671,4,675,..,4051,274,4326,33,4355,..,2011,293,2300,30,2333,..,437,56,493,7,493,..,221,98,317,3,317,..,101,11,117,0,117,..,89,9,100,0,100,..,171,33,202,3,206,..,593,78,675,3,676,..,1580,336,1922,16,1938,..,46,5,52,0,52,..,401,42,440,4,450,..,453,12,464,0,468,..,246,26,270,0,275,..,584,15,602,0,602,..,159,3,168,0,167,..,1439,60,1503,5,1507,..,886,105,987,13,1005,..,639,39,674,5,681,..,266,60,331,3,333,..,558,119,676,7,680,..,1158,397,1557,8,1565,..,4278,837,5111,102,5217,..,32552,6428,38979,376,39352,..,387,61,448,7180,7629,104407,32939,6488,39425,7556,151389
LGA23670,..,1598,189,1784,15,1797,..,146,3,154,0,154,..,1301,48,1341,6,1348,..,697,72,761,0,765,..,1987,76,2066,17,2078,..,176,8,186,3,187,..,1001,60,1063,6,1070,..,5302,270,5573,28,5603,..,1616,171,1781,19,1799,..,174,24,197,0,204,..,497,209,701,9,712,..,108,9,113,4,116,..,78,5,85,0,88,..,561,128,685,9,702,..,531,75,607,3,605,..,222,22,242,5,249,..,41,4,41,0,40,..,246,44,285,4,293,..,447,14,459,3,465,..,544,28,573,3,582,..,591,14,600,8,611,..,230,3,234,0,234,..,1811,58,1874,15,1885,..,659,80,740,8,749,..,1044,47,1093,10,1104,..,245,52,298,0,300,..,142,22,163,0,163,..,889,293,1181,9,1188,..,3349,720,4070,99,4163,..,32559,5891,38449,379,38825,..,359,48,407,5389,5800,109490,32916,5941,38851,5768,154110
