LGA_CODE_2016,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_Resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_Resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_Resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_Resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_Resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_Resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_Resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_Resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_Resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_Resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_Resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_Resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_Resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_Resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_Resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_Resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_Resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_Resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_Resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_Resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_Resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_Resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_Resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_Resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_Resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_Resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_Resp,Turkish_BP_B_OS,Turkish_FO_B_OS,Turkish_MO_B_OS,Turkish_BP_B_Aus,Turkish_BP_NS,Turkish_Tot_Resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_Resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_Resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_Resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_Resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_Resp
LGA21270,4,91,76,2395,46,2618,0,0,0,12,0,14,17,0,0,10,0,28,4,0,0,3,0,7,35,5,10,15,0,71,156,81,99,1992,72,2398,27,0,0,3,3,33,6,0,0,4,0,14,25,10,6,177,8,227,4,3,0,0,0,6,4,0,0,0,0,9,32,0,3,0,0,35,30,28,28,917,24,1025,20,8,4,43,3,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,3,0,12,4,5,0,0,0,13,3,0,0,0,0,3,5,0,0,0,0,11,8,0,0,0,0,6,49,37,30,668,25,806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,15,0,21,43,24,15,47,0,127,17,0,0,78,505,609,435,185,159,4772,656,6201
LGA21370,96,789,609,14801,335,16636,0,3,3,104,3,116,93,3,0,88,0,188,21,6,0,14,0,44,189,72,65,159,3,483,1166,733,611,12386,310,15201,200,0,16,0,3,227,23,8,7,84,3,116,185,64,53,1099,23,1424,44,19,4,41,0,112,34,6,3,13,0,60,102,3,0,7,0,108,248,165,94,3861,76,4445,365,102,40,699,24,1236,33,0,0,0,0,33,6,6,9,6,0,22,10,5,6,11,0,35,44,11,8,38,3,96,63,4,7,10,0,86,73,34,25,32,0,165,54,9,13,27,0,106,13,0,0,0,0,19,330,231,143,3202,75,3979,7,3,0,0,0,13,13,0,0,0,0,15,42,5,3,35,3,85,29,0,0,3,0,37,13,0,0,6,0,20,6,3,0,4,0,15,46,16,5,89,0,155,422,91,66,298,12,889,42,16,9,525,2469,3059,3320,1460,1107,28009,3163,37061
LGA21450,722,3928,2904,27574,454,35578,3,11,7,83,0,99,834,28,55,138,10,1065,325,64,40,94,0,531,1502,499,313,1146,28,3495,7320,3592,2779,22628,500,36822,698,35,99,22,3,852,318,33,30,208,7,597,1068,408,260,2026,52,3813,331,113,47,316,6,821,310,68,19,102,10,511,1937,71,48,39,16,2117,1389,767,562,6633,117,9469,1251,560,254,1727,41,3831,60,0,0,3,0,68,89,24,9,55,6,186,50,15,4,22,0,97,252,101,64,208,4,632,384,44,22,24,3,486,411,213,156,72,5,862,332,87,58,172,8,655,177,18,20,51,8,273,1731,775,609,5575,99,8789,181,31,10,44,10,272,336,76,35,35,3,485,258,21,20,88,7,399,894,77,36,49,3,1048,94,30,18,15,3,159,127,13,16,8,0,168,261,67,43,229,3,601,6390,774,614,909,89,8776,348,73,29,571,4723,5746,24962,7337,5287,50673,5869,94128
LGA21610,4852,9096,6353,50074,912,71281,18,33,15,194,11,277,11346,174,293,347,80,12246,1844,240,123,344,32,2582,3336,807,498,1580,61,6287,20849,7295,5619,39977,986,74731,5612,100,410,65,49,6235,1697,103,83,362,22,2260,2975,784,493,3655,88,7999,2460,534,286,1281,43,4608,1657,173,125,263,33,2249,22099,316,191,136,137,22885,3793,1656,1163,12317,213,19149,4854,1469,708,4021,157,11213,564,0,14,3,0,580,1227,220,88,125,22,1687,575,86,31,81,7,777,1019,318,188,599,15,2138,1890,148,114,58,40,2250,1527,450,284,182,26,2470,2077,191,142,313,36,2755,1001,67,81,128,10,1288,4514,1697,1326,10158,208,17905,2615,178,97,137,31,3068,1386,168,116,61,10,1734,1652,75,70,154,19,1967,10966,294,166,127,56,11604,1524,188,108,119,5,1937,2289,58,81,14,48,2499,515,130,84,406,11,1150,59383,2707,1992,2163,707,66956,2542,147,132,1067,13464,17358,159170,17600,12597,93144,16780,299301
LGA21670,38,287,223,5022,165,5731,0,0,0,23,0,21,34,4,0,68,0,106,8,0,0,4,0,13,115,15,15,46,11,205,650,285,257,4407,141,5745,65,0,5,4,0,76,9,0,0,29,0,33,78,26,18,316,6,439,30,18,3,15,4,60,28,0,0,6,0,37,34,0,0,0,0,39,125,54,37,1232,22,1474,53,28,21,243,10,356,0,0,0,0,0,0,5,0,0,0,0,9,3,0,0,0,0,5,23,15,0,23,0,59,11,7,0,7,0,27,23,15,9,0,0,51,29,3,0,9,0,39,10,0,0,0,0,13,144,79,48,1159,23,1453,0,0,0,0,0,3,6,0,0,0,0,9,8,0,5,6,0,20,6,4,0,0,0,10,0,0,0,0,0,0,3,0,0,3,0,7,21,6,10,42,0,78,197,28,26,99,10,353,8,5,3,133,722,877,1444,529,427,9566,1032,12995
LGA21750,49,530,339,7611,185,8723,0,0,0,22,0,24,124,3,9,26,4,158,22,3,4,10,0,43,148,49,31,120,3,347,789,475,357,6568,196,8384,56,3,14,4,3,76,14,7,5,53,0,73,115,43,48,529,14,749,52,12,6,26,0,94,19,8,4,6,0,42,61,0,0,3,0,62,149,140,94,2753,66,3200,142,60,22,298,9,528,11,0,0,0,0,11,10,0,4,12,0,27,4,0,0,0,0,4,23,12,5,20,0,56,61,15,13,4,0,88,44,22,15,5,0,90,39,4,3,17,4,68,12,0,0,4,0,23,229,157,95,2156,42,2676,3,0,0,0,0,4,16,3,0,4,0,24,12,3,5,19,0,37,14,6,3,0,0,17,4,0,0,0,0,4,24,0,0,0,0,25,36,14,3,58,3,112,461,55,51,176,14,761,34,6,13,359,1257,1670,2331,974,664,15326,1676,20972
LGA21830,40,346,232,6334,162,7111,0,3,0,3,0,3,28,0,0,16,3,51,3,0,0,0,0,6,203,55,30,95,4,388,509,322,208,5191,128,6361,58,0,13,0,0,72,14,4,3,21,0,44,80,15,23,351,9,476,18,13,3,11,3,42,12,3,0,8,0,29,23,3,0,3,0,24,113,79,44,2118,28,2386,32,11,3,138,8,192,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,16,3,0,16,3,35,21,12,0,8,0,39,73,22,10,3,0,109,9,3,3,8,0,20,12,0,0,0,0,12,144,108,62,1645,36,1994,5,0,0,3,0,12,10,0,0,0,0,10,9,0,0,3,0,5,8,0,0,0,0,14,4,3,0,0,0,5,0,0,0,0,0,3,16,11,9,42,0,75,141,38,37,86,11,307,16,3,3,244,1081,1346,1313,653,412,12273,1406,16051
LGA21890,1266,4354,2959,21157,461,30195,6,18,11,262,6,305,8594,195,205,274,77,9340,774,69,49,199,9,1093,559,293,176,504,15,1539,6377,3627,2381,20463,494,33338,1043,33,147,16,17,1266,450,94,56,247,6,858,1055,421,298,2094,52,3920,8473,944,518,2273,167,12371,200,55,35,94,8,395,5041,92,81,64,32,5311,2061,1375,890,11125,182,15629,12017,1857,851,4964,297,19988,210,3,10,10,0,234,2133,296,178,284,42,2926,2281,211,113,405,52,3073,739,161,104,375,17,1398,246,27,32,34,6,347,678,202,130,60,16,1079,505,138,99,249,7,1002,197,34,44,75,11,364,1818,999,687,6805,109,10416,434,31,19,54,4,538,191,50,46,7,3,299,604,61,48,127,9,845,762,66,29,42,7,910,435,62,30,23,13,566,3380,48,73,20,29,3555,236,86,51,343,5,727,13876,1278,951,1440,207,17751,705,60,40,449,9054,10313,68656,10338,6664,50095,10963,146719
LGA22110,163,1315,942,15974,447,18845,0,4,3,198,4,206,210,22,16,141,3,387,34,3,0,23,0,58,508,139,95,316,13,1067,2548,1311,888,13603,393,18732,156,0,42,4,5,211,44,14,7,100,8,173,462,126,76,1268,34,1965,91,27,6,57,3,187,40,9,3,21,0,79,139,14,11,18,6,186,398,249,155,3907,95,4810,454,127,49,697,18,1354,9,0,0,0,0,9,3,3,3,11,0,18,4,3,0,7,0,9,103,15,11,63,0,187,46,10,7,15,0,90,115,31,32,38,3,225,107,29,10,47,0,195,35,3,0,9,0,53,652,309,238,3802,82,5082,24,3,0,15,0,43,54,5,6,8,0,80,40,3,3,26,3,78,21,0,3,3,0,27,8,0,0,0,0,14,62,0,10,3,4,82,105,29,19,117,0,269,752,190,107,436,24,1513,80,19,18,493,3435,4042,6219,2415,1664,30399,4344,45040
LGA22170,999,5974,4446,35347,727,47487,0,19,6,159,0,177,1950,78,106,226,24,2381,510,77,53,116,8,755,1565,445,331,819,46,3209,12850,5558,4241,30089,881,53611,1212,23,212,28,32,1503,421,59,48,331,9,868,1682,556,359,2719,64,5371,1193,270,137,605,24,2227,403,88,39,116,8,661,2313,79,69,46,20,2526,2762,1210,894,10128,177,15167,1785,629,318,1978,62,4760,90,3,8,0,0,104,284,69,37,49,14,452,78,16,10,20,0,125,327,113,70,236,11,757,968,117,93,60,26,1255,823,301,192,104,13,1428,756,124,68,203,10,1153,546,43,38,71,7,702,3391,1298,1034,7909,172,13801,352,35,16,25,15,443,575,78,75,25,4,753,415,40,38,117,11,624,555,85,36,45,9,726,198,40,11,25,3,282,236,8,23,5,7,280,516,118,93,319,11,1064,7597,1020,880,1369,142,11010,475,77,58,820,7647,9073,38761,10792,8098,66873,9625,134143
