LGA_CODE_2016,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_H_or_W_in_RM_0_14,P_H_or_W_in_RM_15_24,P_H_or_W_in_RM_25_34,P_H_or_W_in_RM_35_44,P_H_or_W_in_RM_45_54,P_H_or_W_in_RM_55_64,P_H_or_W_in_RM_65_74,P_H_or_W_in_RM_75_84,P_H_or_W_in_RM_85ov,P_H_or_W_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
LGA21270,..,4,11,3,10,7,7,3,0,52,..,11,24,13,24,62,93,105,85,420,3,7,11,7,5,18,6,5,3,65,448,221,213,269,388,418,334,246,128,2672,..,7,155,305,478,576,455,264,74,2306,..,43,82,70,76,41,19,5,0,335,..,3,25,40,42,18,11,12,20,181,931,..,..,..,..,..,..,..,..,931,..,250,..,..,..,..,..,..,..,250,..,94,42,27,30,13,3,0,0,215,..,20,10,3,3,16,12,9,3,78,..,6,6,0,0,3,3,0,0,26,..,19,26,6,25,24,18,8,0,128,..,27,50,54,97,158,180,162,116,840,7,21,18,14,11,34,12,5,0,125,936,493,413,516,776,892,703,474,218,5415
LGA21370,..,71,67,26,48,58,37,23,3,338,..,49,117,93,237,385,444,477,250,2056,50,68,52,27,42,46,68,27,12,384,3031,1755,1685,1884,2402,2379,1934,1191,429,16694,..,77,1220,2098,2784,3040,2565,1294,270,13333,..,332,716,476,526,345,159,42,6,2595,..,85,236,365,390,171,72,85,57,1462,6105,..,..,..,..,..,..,..,..,6105,..,1499,..,..,..,..,..,..,..,1499,..,1152,375,166,117,78,10,0,0,1894,..,106,52,26,52,92,72,45,32,473,..,105,55,16,29,22,12,4,0,245,..,155,149,72,97,118,84,42,4,727,..,117,283,289,561,793,817,701,349,3913,109,143,129,78,87,101,109,54,19,823,6212,3763,3215,3587,4635,4764,3897,2267,730,33066
LGA21450,..,163,147,56,83,101,63,18,10,653,..,66,300,241,379,592,723,485,236,3027,131,201,148,65,61,89,78,34,10,818,10087,5714,6836,6360,5979,4472,3220,1375,482,44526,..,269,5960,8045,7382,5784,4033,1574,290,33330,..,981,2767,1678,1270,609,245,43,6,7594,..,183,641,1038,1191,525,218,125,67,4001,20431,..,..,..,..,..,..,..,..,20431,..,5025,..,..,..,..,..,..,..,5025,..,3491,1525,397,233,87,12,0,0,5753,..,433,328,117,155,253,231,157,104,1769,..,312,293,118,89,51,27,9,5,911,..,294,374,154,219,212,140,37,14,1456,..,158,713,669,952,1123,1127,704,322,5771,282,390,325,179,142,155,130,56,16,1677,20714,11533,12928,12402,11627,8802,6169,2712,820,87715
LGA21610,..,280,390,199,250,280,173,60,12,1637,..,164,612,603,849,1537,1649,1355,615,7377,372,489,411,195,170,230,195,128,51,2232,31714,19116,21848,21483,19049,14385,8590,4257,1411,141854,..,1242,20895,30374,25991,19394,11004,4390,760,114052,..,1691,5832,3688,2872,1403,442,99,23,16052,..,401,1654,2953,3708,1986,791,437,239,12175,64374,..,..,..,..,..,..,..,..,64374,..,19174,..,..,..,..,..,..,..,19174,..,11938,7170,1638,810,338,64,0,0,21950,..,2116,1550,592,673,1124,1037,724,365,8184,..,1049,1050,472,338,231,87,35,11,3270,..,826,1408,726,652,639,368,111,25,4768,..,383,1608,1780,2274,2756,2538,1848,873,14054,755,911,942,529,408,390,340,208,71,4559,65128,39734,42111,42758,37724,28251,16678,7856,2370,282607
LGA21670,..,23,17,16,18,37,34,10,3,155,..,19,41,28,96,208,256,222,133,1004,18,30,15,8,9,20,18,11,6,142,921,576,510,585,807,939,924,530,194,5998,..,26,273,501,790,1025,1053,546,93,4312,..,126,234,187,179,146,83,24,0,969,..,34,90,148,174,89,52,55,29,670,1877,..,..,..,..,..,..,..,..,1877,..,455,..,..,..,..,..,..,..,455,..,358,141,86,77,47,0,0,0,713,..,41,11,20,21,30,27,27,5,172,..,44,15,15,6,3,3,0,0,85,..,55,45,36,59,72,76,17,3,371,..,46,87,106,248,417,481,349,178,1905,41,59,40,43,37,45,47,26,4,337,1914,1243,941,1139,1589,1869,1808,1037,317,11869
LGA21750,..,61,51,21,33,42,24,4,0,232,..,36,73,42,162,282,289,276,158,1324,28,46,31,21,22,50,49,26,14,281,1661,987,981,1034,1322,1386,1068,651,248,9333,..,43,694,1165,1392,1555,1311,609,123,6885,..,217,452,301,344,250,59,18,4,1652,..,40,126,200,214,106,53,61,38,828,3474,..,..,..,..,..,..,..,..,3474,..,750,..,..,..,..,..,..,..,750,..,599,220,91,68,41,8,0,0,1024,..,71,45,9,40,52,37,22,21,295,..,42,34,14,9,12,9,0,3,119,..,139,155,78,73,80,41,17,0,591,..,80,220,182,378,548,526,402,199,2532,53,105,76,56,54,86,78,41,11,566,3531,2084,2019,2096,2559,2733,2123,1171,400,18707
LGA21830,..,16,12,6,27,18,10,3,0,106,..,27,32,37,94,178,205,235,113,919,24,32,16,14,16,23,15,18,0,159,1303,725,623,785,1026,1059,800,553,170,7055,..,30,471,924,1286,1379,1089,528,89,5790,..,135,295,194,201,128,63,17,9,1041,..,25,76,115,146,91,39,56,24,574,2694,..,..,..,..,..,..,..,..,2694,..,690,..,..,..,..,..,..,..,690,..,458,159,75,72,26,5,0,0,794,..,52,36,13,18,33,24,17,10,209,..,33,15,7,4,5,4,4,0,66,..,47,53,25,53,41,28,11,0,257,..,69,104,109,256,378,371,347,166,1803,42,73,37,37,35,46,33,35,3,352,2743,1616,1240,1514,2067,2118,1650,1016,300,14260
LGA21890,..,1658,2274,588,307,226,99,35,17,5215,..,287,1184,1287,1179,1294,1291,1419,875,8826,132,314,359,215,126,104,126,123,56,1545,10830,8241,13282,10953,9262,6510,4716,3799,1607,69201,..,384,7933,10910,9328,6414,4869,3611,812,44259,..,832,5065,3535,2094,1048,291,59,12,12935,..,78,411,1063,1562,1006,491,568,340,5523,21840,..,..,..,..,..,..,..,..,21840,..,6140,..,..,..,..,..,..,..,6140,..,2683,2605,1071,956,454,58,4,0,7825,..,1017,994,269,348,429,318,312,196,3880,..,811,1058,207,138,84,29,10,4,2347,..,3293,4959,1258,673,500,232,89,25,11024,..,529,2272,2404,2403,2438,2117,1980,1181,15325,278,520,726,425,297,215,202,173,92,2925,22122,16282,26020,21134,17801,12589,8606,6806,2662,134030
LGA22110,..,102,61,32,64,86,70,25,13,441,..,63,124,130,306,602,625,657,328,2832,69,104,50,40,63,124,133,56,20,656,3272,1772,1787,2043,2762,3291,3028,1625,531,20110,..,75,1289,1947,2831,3712,4016,1805,300,15984,..,362,815,667,631,571,322,70,12,3455,..,63,237,436,489,243,111,82,61,1723,6486,..,..,..,..,..,..,..,..,6486,..,1398,..,..,..,..,..,..,..,1398,..,1035,401,216,160,71,16,0,0,1902,..,139,60,44,50,96,76,66,46,569,..,103,71,29,26,13,7,0,4,255,..,178,139,85,121,169,140,56,16,902,..,137,285,338,695,1200,1299,1006,453,5414,132,189,126,102,142,218,265,106,31,1313,6617,3680,3428,3871,5132,6295,6250,3195,934,39405
LGA22170,..,313,344,169,219,246,166,59,21,1535,..,170,549,595,849,1487,1629,1260,654,7206,182,262,197,119,123,132,123,88,38,1261,11460,7730,8892,8815,9080,7675,5580,3013,1156,63400,..,221,6007,9538,9426,8329,6103,2683,569,42892,..,1138,4124,2609,1938,1017,371,89,19,11308,..,236,944,1650,2278,1184,465,312,203,7279,23320,..,..,..,..,..,..,..,..,23320,..,6264,..,..,..,..,..,..,..,6264,..,5030,2650,823,497,251,55,0,0,9308,..,651,502,207,259,418,364,259,122,2785,..,469,375,171,167,106,43,11,8,1346,..,568,847,457,516,508,325,119,37,3378,..,314,1296,1563,2150,2738,2519,1789,936,13310,375,526,463,293,291,236,206,125,52,2577,23698,15417,17214,17320,17525,14789,10464,5390,1944,123766
LGA22250,..,22,7,0,17,13,6,4,0,74,..,14,28,35,65,123,166,187,93,709,8,18,8,0,14,17,17,7,4,107,777,451,395,470,672,731,664,427,157,4756,..,21,298,533,781,959,858,468,101,4014,..,84,197,136,141,87,58,10,3,721,..,9,51,67,85,36,26,27,24,322,1571,..,..,..,..,..,..,..,..,1571,..,428,..,..,..,..,..,..,..,428,..,265,90,57,50,26,3,0,0,497,..,33,14,6,10,22,25,11,7,123,..,8,7,8,7,0,3,0,0,37,..,45,22,14,28,27,26,9,0,174,..,37,73,92,178,281,300,279,127,1375,26,42,32,8,37,27,40,17,6,237,1599,982,778,922,1313,1466,1341,815,271,9491
LGA22310,..,1433,1217,240,142,180,110,62,20,3412,..,286,945,889,876,1293,1447,1406,1093,8242,114,174,241,117,88,103,91,84,51,1062,12052,8304,10640,9765,9388,7295,5119,3315,1815,67690,..,296,8142,12622,11787,8867,5996,2968,957,51626,..,769,3539,1962,1540,877,333,64,18,9101,..,29,224,873,1518,880,357,273,261,4413,24453,..,..,..,..,..,..,..,..,24453,..,8181,..,..,..,..,..,..,..,8181,..,2469,2370,667,463,271,65,0,0,6306,..,722,625,159,180,313,284,239,177,2698,..,642,635,130,64,56,24,8,4,1561,..,2698,2746,551,364,379,227,126,40,7140,..,525,1851,1758,1769,2256,2239,1875,1440,13704,221,338,484,252,190,175,152,127,82,2022,24677,16666,20611,18974,17874,14080,9666,5676,2988,131204
LGA22410,..,60,23,12,26,26,15,11,0,164,..,28,62,63,155,272,271,240,132,1211,32,54,23,9,22,42,35,19,3,236,1465,863,788,1027,1349,1398,1012,546,199,8642,..,14,493,1059,1546,1696,1259,586,112,6771,..,204,369,306,313,234,81,12,3,1521,..,26,111,215,226,99,51,42,22,793,2914,..,..,..,..,..,..,..,..,2914,..,721,..,..,..,..,..,..,..,721,..,534,189,94,67,29,6,0,0,926,..,47,16,18,25,38,39,25,11,224,..,43,12,9,9,8,0,0,0,92,..,102,65,27,61,62,37,18,0,375,..,84,158,198,383,555,516,354,175,2429,56,102,65,31,51,72,72,27,15,483,2967,1875,1483,1953,2689,2796,2057,1062,347,17239
LGA22490,..,9,21,12,19,23,17,4,0,101,..,4,35,34,72,129,124,83,44,523,22,33,23,9,25,23,20,3,4,161,2278,1085,1065,1464,1566,1291,809,281,99,9938,..,38,991,1944,2144,1872,1229,354,49,8618,..,130,432,460,362,189,78,12,0,1662,..,17,73,178,186,96,47,33,11,646,4639,..,..,..,..,..,..,..,..,4639,..,1124,..,..,..,..,..,..,..,1124,..,796,262,95,56,25,6,0,0,1247,..,47,13,18,29,51,49,27,24,254,..,46,18,17,20,25,9,0,0,137,..,28,41,29,35,46,32,15,3,232,..,24,94,127,200,315,278,145,62,1247,40,76,52,36,45,43,39,7,4,347,4680,2325,1985,2901,3090,2653,1765,591,159,20155
LGA22620,..,825,398,92,141,182,105,21,8,1784,..,218,553,454,732,1312,1362,1135,651,6415,171,328,184,77,97,137,116,83,41,1238,9658,6723,6621,6389,6786,6638,4944,2806,1091,51658,..,273,4668,6907,7455,7706,5992,2900,594,36495,..,1345,2845,1585,1343,758,296,77,14,8263,..,256,830,1308,1421,747,269,227,145,5214,19602,..,..,..,..,..,..,..,..,19602,..,4830,..,..,..,..,..,..,..,4830,..,3179,1273,518,357,195,35,0,0,5551,..,536,258,89,170,232,220,147,93,1747,..,388,231,108,75,48,23,7,3,880,..,1542,933,268,313,350,218,70,18,3713,..,447,1204,1139,1621,2389,2231,1645,886,11563,344,608,434,246,212,260,207,128,51,2500,19947,13397,12666,12161,12984,12696,9492,5202,1813,100363
LGA22670,..,307,408,172,188,182,118,38,17,1425,..,131,412,373,525,927,1218,1106,543,5236,158,191,236,135,104,140,150,117,48,1291,12732,9173,12225,9418,8263,7559,5713,3298,1273,69653,..,1146,12048,11902,9910,8996,6672,3263,675,54601,..,489,1769,1034,800,497,196,65,13,4861,..,169,842,1669,1870,1285,652,431,272,7188,25897,..,..,..,..,..,..,..,..,25897,..,8668,..,..,..,..,..,..,..,8668,..,4361,4325,1435,814,348,62,4,0,11347,..,1796,1429,487,603,854,658,458,285,6564,..,1157,1328,492,379,230,69,26,7,3688,..,1609,2247,1032,699,463,266,81,28,6421,..,291,1073,1126,1449,1862,2053,1588,756,10194,319,420,589,388,284,244,259,160,66,2724,26211,20092,25648,19556,16794,14777,10890,6077,2099,142146
