LGA_CODE_2016,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
LGA21270,3,13,0,14,151,19,181,7,6,3,15,94,12,119,71,12,0,85,128,24,230,147,7,5,155,89,14,257,114,17,3,133,260,42,429,13,46,0,60,416,66,547,5,28,0,32,338,68,433,0,7,0,7,222,47,281,0,0,0,0,97,39,136,359,136,8,508,1782,326,2619,0,12,0,15,127,12,159,22,5,0,29,46,10,84,103,17,7,127,84,25,234,168,12,15,190,85,15,289,109,42,3,149,241,39,433,7,93,0,98,328,52,487,0,47,0,50,287,56,395,0,11,0,12,239,60,308,0,0,0,0,152,45,201,416,236,23,678,1588,316,2588,7,28,0,28,277,35,345,28,14,3,48,134,16,195,180,20,9,212,209,49,469,311,17,21,347,175,32,549,225,57,8,287,498,80,859,19,143,0,162,747,117,1034,7,81,0,88,622,121,827,0,21,0,18,456,104,580,3,0,0,3
LGA21370,9,64,0,72,994,176,1248,56,37,0,96,760,69,924,599,42,17,659,891,119,1663,984,45,31,1065,656,166,1886,631,97,10,737,1492,220,2452,131,253,3,385,2063,225,2673,16,206,3,230,1806,274,2311,5,44,0,50,1016,248,1316,4,7,0,13,324,105,437,2432,800,69,3304,10015,1597,14913,11,93,0,106,840,144,1091,136,76,10,221,548,62,832,868,109,51,1028,680,147,1851,1207,80,55,1340,551,158,2044,546,277,17,842,1575,193,2601,52,581,4,640,1826,220,2681,13,304,0,324,1645,279,2251,4,61,0,66,1092,278,1432,4,9,0,13,569,146,727,2850,1588,135,4573,9318,1623,15512,19,161,3,182,1831,322,2334,195,117,7,315,1312,127,1758,1468,155,68,1689,1568,264,3520,2190,126,89,2405,1205,323,3936,1180,376,26,1582,3065,409,5053,180,830,12,1020,3892,447,5357,31,516,3,549,3453,547,4554,12,98,0,113,2109,528,2744,9,9,0,18
LGA21450,8,179,4,197,2690,339,3219,182,118,7,306,2410,197,2909,2335,180,62,2575,3517,379,6463,3719,141,100,3952,2104,400,6455,1840,230,29,2097,3570,425,6092,278,474,7,768,3620,363,4750,29,432,8,465,2553,302,3317,10,83,0,96,1237,197,1530,3,7,0,10,365,73,453,8401,1846,215,10457,22070,2670,35199,27,266,0,291,2443,275,3007,367,242,29,645,2188,200,3036,3510,359,209,4071,2775,397,7240,4262,241,241,4740,1616,390,6742,1697,571,69,2334,3652,402,6388,140,1174,20,1327,3218,346,4886,30,732,3,761,2512,306,3579,3,81,0,90,1260,251,1595,3,18,0,21,593,115,730,10029,3670,567,14277,20259,2674,37205,33,451,4,490,5131,613,6230,547,361,38,949,4598,399,5937,5846,532,269,6643,6288,775,13705,7978,379,336,8692,3720,786,13196,3535,798,100,4431,7222,821,12479,417,1646,27,2090,6839,707,9638,56,1164,12,1226,5066,606,6898,11,166,0,181,2498,445,3127,6,18,0,31
LGA21610,46,419,11,476,9593,800,10878,375,380,7,773,9244,694,10708,6437,554,111,7102,12946,1372,21424,11870,384,236,12495,8601,1324,22414,5737,509,108,6358,12222,1149,19727,928,1315,25,2268,11612,933,14812,140,1185,9,1339,6772,744,8859,29,237,4,269,3300,539,4102,9,9,0,19,1055,205,1270,25572,4988,526,31085,75337,7770,114195,95,757,8,860,8518,693,10073,946,754,40,1734,7629,602,9966,10629,1002,410,12043,9647,1315,23011,13939,647,516,15101,6250,1095,22450,5156,1499,184,6845,12080,1094,20023,505,3370,42,3920,10400,968,15281,118,1932,17,2073,6486,869,9435,31,274,3,311,3922,620,4845,7,23,0,32,1828,320,2179,31430,10259,1224,42913,66767,7579,117254,143,1174,23,1335,18114,1501,20950,1327,1132,44,2505,16872,1301,20672,17062,1560,524,19138,22595,2691,44427,25812,1029,754,27591,14849,2424,44870,10896,2012,294,13202,24302,2241,39747,1431,4686,65,6182,22014,1898,30094,262,3121,30,3416,13260,1621,18295,61,515,5,577,7214,1154,8947,19,31,0,47
LGA21670,0,14,0,14,303,48,369,38,23,0,57,245,20,330,144,20,0,169,257,31,464,286,17,7,306,254,46,607,206,20,9,232,537,78,851,44,85,0,126,811,80,1017,8,87,0,97,799,117,1008,4,13,0,19,456,95,568,3,0,0,5,123,34,157,733,282,18,1028,3786,554,5369,3,28,0,33,262,34,320,65,10,0,73,199,24,294,273,33,16,322,189,31,543,339,30,26,396,191,39,620,186,72,4,257,557,63,876,33,172,0,206,738,81,1022,4,101,0,104,786,140,1037,0,18,3,21,478,108,610,0,0,0,3,236,53,288,901,466,49,1416,3631,569,5614,3,42,0,44,566,79,693,96,36,3,137,446,42,619,424,57,14,492,446,64,1001,624,43,28,705,445,85,1229,393,87,14,489,1095,144,1725,71,259,0,330,1546,161,2038,8,190,0,196,1591,256,2046,4,35,3,36,934,206,1173,3,0,0,5
LGA21750,0,30,0,27,518,75,621,31,21,0,56,462,53,573,345,30,10,389,658,98,1142,579,26,14,626,447,81,1154,341,49,10,403,868,114,1383,79,173,3,248,1150,140,1545,12,146,0,162,964,144,1273,0,24,0,28,507,109,636,3,5,0,6,165,44,208,1400,494,41,1933,5738,858,8536,4,43,0,46,455,72,575,68,43,3,119,357,42,516,494,71,30,601,392,67,1067,666,53,39,758,289,70,1113,316,148,16,475,858,108,1443,22,366,4,397,1078,126,1599,10,237,0,250,900,144,1293,0,40,0,43,584,142,760,0,0,0,3,292,76,371,1584,1003,101,2688,5214,845,8743,6,69,0,74,973,146,1191,96,69,8,166,823,90,1081,842,104,37,990,1044,165,2202,1247,78,58,1378,739,150,2272,658,194,29,880,1729,220,2823,103,536,8,641,2230,273,3144,20,385,0,412,1867,291,2567,4,61,0,65,1085,250,1402,3,4,0,10
LGA21830,5,30,0,33,436,85,559,24,18,0,37,330,25,402,229,22,3,256,368,58,678,451,17,13,482,256,68,808,303,43,12,350,716,108,1175,50,98,0,146,927,112,1192,9,80,0,93,803,124,1020,3,15,0,21,422,98,542,4,0,0,4,135,43,175,1084,323,24,1434,4396,713,6548,3,42,0,47,371,47,466,66,29,3,92,219,26,343,353,38,18,414,217,55,680,502,45,33,581,208,61,850,236,106,10,354,679,99,1129,31,254,0,281,818,100,1199,6,133,0,139,704,119,964,4,35,0,35,495,117,650,7,3,0,13,227,56,289,1211,678,63,1950,3939,679,6579,8,71,0,78,813,132,1027,85,44,3,131,551,59,743,579,66,22,667,584,115,1367,956,63,42,1062,460,129,1655,541,150,17,707,1393,198,2303,80,353,0,431,1748,215,2391,21,213,3,232,1510,243,1985,11,46,0,57,917,212,1191,7,3,0,14
LGA21890,15,130,0,145,3060,321,3521,51,110,8,166,4828,441,5435,1729,289,24,2049,10751,1189,13985,4785,179,102,5061,5226,869,11154,3040,163,64,3267,5257,670,9200,541,319,10,873,5200,500,6577,53,602,3,661,3186,441,4291,20,282,3,301,2666,407,3381,3,19,0,29,1139,225,1397,10247,2096,218,12560,41310,5058,58933,22,194,0,219,2882,311,3409,141,276,11,426,5031,454,5909,2746,613,81,3437,9949,1089,14483,5806,468,302,6572,4444,763,11782,3050,483,143,3678,5562,676,9915,254,1070,26,1355,5130,529,7013,58,1084,3,1150,3470,504,5123,17,308,0,330,3532,512,4371,4,22,0,32,1809,501,2343,12102,4524,574,17199,41801,5349,64348,39,324,7,365,5935,635,6937,194,391,16,599,9854,894,11345,4477,901,110,5489,20698,2280,28467,10590,649,398,11638,9661,1633,22933,6092,648,205,6945,10825,1351,19113,803,1389,43,2231,10333,1027,13592,108,1689,10,1807,6656,945,9410,33,593,3,632,6200,918,7744,11,45,0,56
LGA22110,12,54,0,64,924,210,1196,45,38,3,87,743,95,931,674,64,20,754,909,175,1838,1029,48,29,1107,729,199,2034,670,102,19,792,1648,267,2713,144,266,3,416,2742,302,3462,25,263,0,286,3142,470,3902,6,54,0,61,1533,268,1866,3,4,0,6,405,148,558,2608,898,76,3578,12781,2140,18504,12,95,0,114,829,155,1098,127,81,0,211,589,85,892,980,89,62,1129,676,177,1978,1320,79,67,1460,600,182,2243,627,303,28,959,1832,269,3056,67,613,7,689,2731,328,3747,17,391,0,410,2792,403,3607,3,66,0,70,1462,398,1929,4,9,0,9,583,239,835,3154,1728,168,5048,12104,2236,19391,22,147,0,175,1760,364,2292,177,119,3,304,1331,184,1822,1652,156,78,1888,1583,353,3817,2348,123,95,2569,1333,378,4278,1295,407,53,1752,3479,537,5771,209,884,9,1101,5475,635,7207,41,654,0,694,5932,876,7505,12,119,0,134,2995,670,3801,7,13,0,19
LGA22170,26,158,4,186,3453,374,4018,193,151,7,354,3550,305,4200,2519,279,66,2860,5423,663,8950,4665,215,126,5004,3524,636,9157,2562,316,61,2941,5537,650,9126,430,678,12,1122,6066,603,7799,67,833,5,903,4064,511,5484,16,155,0,172,2167,394,2728,3,6,0,10,814,194,1019,10484,2790,281,13554,34587,4330,52474,46,317,0,367,3299,333,3995,404,349,25,781,3215,313,4307,3818,511,236,4560,4332,641,9536,5378,369,333,6078,2733,598,9412,2411,747,108,3267,5804,635,9703,207,1846,18,2074,5668,562,8301,51,1423,8,1484,4152,587,6230,19,194,0,216,2662,581,3460,5,12,0,19,1344,328,1696,12338,5777,733,18848,33206,4583,56637,74,480,3,553,6744,709,8009,595,501,39,1130,6767,614,8512,6333,790,298,7428,9753,1303,18484,10041,583,458,11085,6251,1235,18569,4978,1063,170,6209,11336,1283,18833,642,2525,27,3196,11738,1170,16105,116,2259,18,2386,8219,1098,11710,33,345,0,386,4829,978,6187,7,21,0,29
LGA22250,0,8,0,13,264,51,323,11,9,0,25,199,21,247,154,8,8,170,212,38,416,253,7,11,274,184,39,490,174,27,3,203,454,45,696,30,79,0,105,632,70,807,7,61,0,65,629,87,783,0,6,0,10,386,75,466,0,0,0,0,119,30,153,623,211,18,858,3072,456,4385,3,18,0,23,232,46,298,35,20,9,60,127,25,207,219,25,15,261,141,37,434,292,13,15,323,155,37,511,154,69,9,235,447,43,723,19,175,0,192,544,64,806,4,78,3,89,593,84,767,3,18,0,15,420,78,513,0,3,0,3,192,31,223,730,414,48,1190,2841,449,4481,5,28,0,35,492,94,620,49,29,9,80,320,44,446,371,35,16,428,356,74,853,547,17,30,591,333,73,1000,325,94,7,435,901,89,1422,41,252,3,299,1178,134,1613,12,136,3,155,1225,173,1550,3,20,0,24,803,158,982,0,4,0,6
LGA22310,12,177,0,189,3534,251,3979,41,131,3,179,4410,269,4857,1686,204,13,1906,8092,704,10701,5252,145,90,5491,3831,533,9850,3665,134,66,3872,4714,486,9069,672,477,19,1169,5740,389,7298,74,906,3,984,3654,315,4954,12,252,0,268,2160,242,2670,8,23,0,27,1344,179,1545,11427,2452,212,14085,37479,3366,54926,20,277,3,293,3302,191,3792,84,219,3,307,4437,268,5008,2756,393,69,3223,7437,665,11324,6307,302,266,6875,2948,487,10306,3734,334,141,4205,5234,457,9895,305,1324,30,1655,5733,413,7803,94,1575,10,1675,3528,363,5572,37,354,3,392,3009,384,3794,4,24,0,28,2328,334,2695,13337,4796,524,18656,37961,3564,60185,28,453,5,486,6838,444,7770,128,355,8,484,8845,535,9867,4439,604,88,5130,15530,1369,22029,11565,448,352,12364,6778,1020,20161,7403,464,211,8078,9943,943,18964,973,1802,49,2822,11470,804,15102,170,2477,20,2659,7182,677,10525,46,611,8,659,5172,630,6465,13,46,0,53
LGA22410,4,26,0,28,520,79,629,38,22,0,57,392,55,501,275,33,11,316,397,74,786,520,27,17,565,374,85,1022,317,75,10,396,961,134,1496,62,134,0,192,1245,149,1581,15,101,0,114,988,167,1260,3,18,0,26,504,121,642,0,3,0,8,160,38,210,1229,435,37,1704,5540,891,8134,10,42,0,55,435,75,560,68,26,3,97,268,42,409,441,52,30,521,286,71,872,633,47,40,711,320,91,1118,274,135,7,418,945,105,1467,36,287,3,328,1120,140,1590,4,135,0,140,905,148,1194,3,31,0,32,513,131,679,0,0,0,3,276,66,346,1466,766,79,2311,5063,870,8240,10,70,0,83,954,152,1195,105,48,3,157,652,95,908,711,83,43,840,682,144,1665,1154,74,53,1279,688,173,2145,586,213,19,815,1902,244,2962,100,419,3,523,2366,289,3173,16,234,0,256,1888,308,2456,5,50,0,60,1014,251,1328,0,4,0,4
LGA22490,3,28,0,35,669,80,783,13,19,0,32,451,41,525,412,37,10,458,485,54,1000,932,37,29,998,438,102,1536,504,76,11,590,932,108,1631,85,161,0,252,1139,93,1484,20,127,0,148,822,113,1086,0,24,0,20,303,45,365,0,0,0,0,78,11,83,1976,507,47,2525,5322,647,8491,3,52,0,54,559,95,705,31,38,3,74,350,23,441,593,70,31,686,381,52,1121,1007,65,62,1141,328,81,1546,482,161,25,667,895,92,1650,23,357,3,386,923,119,1432,10,182,3,189,630,94,919,3,18,0,22,268,38,322,9,0,0,9,119,12,136,2159,940,126,3227,4449,601,8274,8,82,0,88,1225,179,1488,41,54,5,103,806,66,973,1000,103,43,1148,868,104,2118,1941,105,93,2140,768,182,3083,988,236,30,1253,1833,195,3281,109,522,4,634,2061,212,2912,28,305,3,336,1460,208,2002,3,36,0,38,567,81,687,6,0,0,6
LGA22620,9,148,0,159,3012,390,3563,206,176,10,392,3047,261,3699,2147,242,60,2450,3679,483,6612,3362,154,102,3621,2185,429,6243,1891,277,48,2221,4044,511,6780,304,758,10,1068,5121,545,6734,54,682,0,742,3956,568,5270,12,134,0,147,2183,439,2768,3,10,0,8,768,209,988,7993,2576,238,10814,27996,3842,42651,50,295,0,347,2792,367,3504,417,306,28,750,2889,241,3884,3053,484,207,3740,2910,477,7129,4085,268,259,4607,1814,440,6863,1736,733,84,2555,4270,481,7304,178,1772,18,1965,4819,519,7304,46,1065,4,1115,3914,566,5595,5,147,0,155,2573,571,3295,16,13,0,26,1337,392,1755,9587,5077,597,15264,27317,4053,46628,60,449,0,511,5801,758,7066,627,479,32,1143,5936,506,7580,5198,722,270,6190,6587,961,13739,7450,421,359,8233,4004,871,13101,3626,1012,134,4777,8315,995,14091,485,2532,22,3035,9935,1065,14036,102,1745,11,1857,7869,1132,10859,19,284,0,300,4758,1007,6065,17,18,0,42
LGA22670,37,151,3,188,4155,407,4746,124,209,5,337,5871,508,6707,2742,304,24,3070,10072,1104,14246,4227,134,42,4405,5630,752,10787,2195,165,43,2403,6025,720,9147,562,441,12,1018,6216,559,7796,101,658,11,769,4390,551,5712,7,181,0,192,2593,407,3189,4,9,0,13,947,139,1106,10000,2251,136,12389,45891,5153,63433,48,222,3,271,3684,323,4274,474,325,11,808,4194,374,5381,4880,443,90,5421,6626,870,12913,5256,220,113,5583,3713,641,9934,1970,478,54,2495,5667,553,8717,325,1307,18,1651,5835,556,8041,74,1094,9,1175,4473,540,6196,19,186,12,212,3123,471,3807,7,16,0,21,1622,263,1907,13043,4285,310,17646,38938,4585,61166,79,372,3,456,7841,726,9021,595,530,16,1143,10058,881,12088,7628,749,115,8489,16694,1982,27166,9484,351,149,9988,9341,1392,20720,4160,640,96,4899,11695,1267,17859,893,1747,37,2672,12053,1115,15838,174,1752,15,1944,8865,1095,11906,26,368,12,402,5714,875,6995,5,27,0,33
LGA22750,32,294,11,333,6383,620,7336,282,258,4,550,6825,600,7975,3787,453,90,4325,8931,1312,14575,7810,264,190,8270,4828,1146,14238,4322,440,129,4890,8322,1113,14323,689,1452,22,2162,10531,990,13682,136,1730,18,1888,8150,1055,11092,27,352,0,386,4762,781,5929,9,23,0,33,1892,428,2351,17088,5281,465,22836,60613,8047,91500,67,557,3,623,5939,549,7109,588,500,35,1131,6003,492,7628,5703,834,336,6885,7295,887,15069,9157,585,547,10288,3932,796,15016,4203,1240,189,5634,9099,912,15653,385,3514,36,3932,10233,1041,15207,102,2886,23,3012,8358,1121,12493,31,465,3,500,5806,1089,7390,19,21,3,47,3321,744,4112,20262,10606,1174,32045,59995,7626,99671,100,849,12,961,12323,1170,14447,873,760,43,1677,12830,1089,15606,9488,1289,429,11209,16226,2202,29642,16965,852,736,18550,8762,1940,29252,8526,1685,316,10524,17420,2026,29972,1071,4968,52,6092,20763,2032,28885,242,4622,37,4898,16510,2178,23587,65,814,5,888,10568,1867,13316,29,45,3,78
LGA22830,21,93,0,112,1877,252,2237,103,64,12,173,1478,172,1823,1140,109,30,1280,2155,449,3888,1857,75,53,1987,1425,401,3808,1075,165,18,1268,2514,432,4216,175,317,9,497,3008,371,3881,35,294,3,331,2321,426,3074,11,63,0,69,1294,268,1633,3,6,0,10,446,89,543,4426,1178,130,5731,16523,2863,25114,38,150,6,196,1656,238,2089,252,119,11,387,1227,137,1751,1692,192,98,1991,1636,332,3961,2300,164,121,2591,1064,316,3970,1019,382,52,1454,2528,349,4333,96,806,7,904,2757,365,4027,24,492,3,521,2152,427,3094,9,70,0,76,1467,310,1859,3,4,0,11,732,195,941,5424,2383,311,8120,15226,2673,26014,56,246,6,309,3525,492,4328,355,180,21,561,2703,308,3571,2835,300,134,3269,3798,780,7850,4157,239,180,4575,2493,709,7777,2092,551,72,2721,5045,787,8548,265,1122,16,1407,5765,734,7911,60,784,9,845,4473,850,6169,17,134,0,145,2764,585,3497,10,11,0,23
LGA22910,3,10,0,10,272,75,354,9,10,0,16,224,39,277,163,7,8,177,309,52,545,391,22,13,428,318,63,808,278,42,7,326,675,99,1099,62,93,3,157,1033,146,1342,14,112,0,128,881,122,1134,0,22,0,22,393,86,501,3,0,0,3,116,36,151,930,314,27,1267,4225,724,6211,5,25,3,25,243,48,320,27,19,0,49,193,32,269,249,30,15,289,250,52,587,488,46,31,565,270,80,916,265,104,12,389,706,106,1195,36,239,5,277,1045,137,1458,12,197,0,206,784,142,1130,0,23,0,24,407,95,527,3,0,0,8,231,77,313,1084,682,66,1832,4116,771,6723,9,28,3,35,510,125,677,31,26,3,65,414,72,549,414,35,17,465,561,109,1136,883,66,45,991,588,149,1723,544,146,21,710,1379,204,2297,101,335,7,434,2079,287,2802,20,312,0,339,1664,270,2265,3,46,0,48,792,183,1027,6,0,0,8
LGA22980,0,7,0,9,136,18,164,7,7,0,10,113,8,130,75,11,3,89,144,13,246,137,7,7,149,104,17,274,97,7,0,100,243,25,372,18,41,0,62,387,41,488,0,23,0,28,324,48,399,0,5,0,5,193,31,226,0,0,0,0,90,13,103,337,106,8,450,1735,212,2406,0,12,0,12,124,22,159,10,9,0,26,81,7,112,116,18,6,142,83,14,239,148,12,11,174,73,12,256,85,18,0,109,269,39,413,9,83,0,95,339,41,469,0,35,0,37,284,40,363,0,3,0,9,204,38,248,0,0,0,0,145,41,190,371,199,21,591,1606,254,2453,0,16,0,17,262,43,319,18,16,0,35,200,10,247,190,30,11,233,225,33,487,283,20,17,320,175,32,525,182,22,3,206,519,69,791,28,125,3,149,721,82,949,6,60,0,66,616,85,766,0,15,0,16,400,70,482,0,3,0,3
LGA23110,8,94,0,100,2150,172,2425,38,81,3,116,2423,191,2732,1318,138,18,1472,4608,429,6509,3309,103,52,3468,2709,428,6604,1926,125,39,2084,3667,377,6127,376,310,8,694,3981,346,5022,50,466,3,523,2444,289,3248,18,126,0,145,1490,257,1893,0,11,0,8,605,121,733,7046,1458,125,8623,24075,2602,35295,15,114,0,132,1947,153,2237,147,125,6,275,2011,153,2439,2004,259,52,2310,3837,438,6583,3949,229,201,4380,2079,370,6828,1901,313,91,2305,3827,372,6512,175,934,14,1122,3838,330,5284,36,804,10,849,2436,321,3599,10,154,3,170,1949,305,2432,13,10,0,20,1016,180,1216,8252,2944,366,11561,22934,2634,37135,26,209,3,233,4097,329,4656,183,198,11,394,4438,344,5173,3320,398,65,3782,8443,867,13093,7264,333,255,7850,4790,799,13433,3823,439,130,4389,7493,748,12638,552,1244,19,1813,7815,681,10308,83,1270,11,1369,4874,609,6854,32,283,3,319,3438,564,4320,8,19,0,32
LGA23190,5,20,0,32,529,45,606,36,21,0,62,455,30,541,380,35,9,432,601,89,1122,571,23,21,621,335,66,1021,361,26,4,396,763,79,1242,61,121,9,193,1023,79,1299,7,111,0,122,746,102,967,0,28,0,25,485,80,588,0,3,0,3,179,34,215,1430,396,50,1878,5117,618,7606,10,52,0,61,457,57,573,83,35,6,128,403,36,563,521,61,37,615,493,55,1169,713,50,46,806,292,64,1170,302,108,9,420,794,58,1268,40,320,3,358,923,99,1376,7,180,0,187,766,111,1059,3,33,0,36,589,106,727,4,9,0,6,328,63,402,1684,832,101,2620,5044,645,8308,15,72,0,91,983,109,1182,123,58,6,192,853,62,1105,902,97,47,1046,1095,152,2291,1292,70,65,1425,633,133,2194,663,136,16,822,1556,139,2512,103,439,8,549,1950,174,2676,10,293,0,302,1507,210,2028,3,55,0,62,1072,186,1316,4,12,0,9
LGA23270,28,237,4,268,6207,590,7069,213,223,3,444,6492,578,7512,3872,373,56,4306,9944,1178,15428,6508,211,102,6828,5794,951,13566,3510,298,63,3872,8110,885,12872,602,760,24,1391,7586,728,9702,88,791,8,889,4622,538,6046,21,173,0,199,2230,328,2746,3,8,0,12,604,101,727,14850,3077,270,18192,51590,5881,75669,66,431,7,509,5895,579,6978,681,423,23,1122,5471,436,7023,6649,595,187,7431,7177,1043,15653,7950,411,280,8642,4293,817,13755,3329,862,118,4307,8337,820,13470,326,2041,37,2404,6945,688,10042,76,1332,16,1420,4504,610,6528,25,173,0,196,2573,407,3178,6,20,0,22,994,155,1168,19108,6284,664,26061,46196,5543,77799,98,666,9,774,12102,1167,14047,892,643,28,1562,11958,1011,14538,10525,971,244,11740,17129,2221,31082,14457,629,381,15468,10083,1772,27319,6838,1159,182,8178,16451,1709,26340,922,2801,64,3797,14539,1412,19741,166,2118,24,2305,9128,1139,12573,48,347,0,389,4800,732,5924,12,28,0,36
