LGA_CODE_2016,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
LGA21270,12,11,3,3,0,0,44,3,14,13,20,28,3,0,0,83,15,85,71,67,88,18,28,14,386,19,26,47,67,77,48,21,8,324,54,126,144,216,194,109,41,13,900,11,12,14,10,18,9,0,0,71,4,15,8,15,11,13,3,3,63,63,150,174,236,218,123,45,15,1033,0,4,3,3,5,8,0,0,21,51,54,50,96,145,131,124,99,756,147,354,369,505,565,345,219,138,2643
LGA21370,67,58,52,34,4,3,291,11,80,91,108,92,52,12,0,448,96,512,575,383,368,207,72,16,2239,98,325,371,489,487,282,121,34,2201,592,1124,1064,1267,1070,631,264,80,6092,68,78,68,55,45,27,5,0,367,46,58,95,86,104,82,31,14,524,705,1260,1235,1418,1223,745,302,101,6977,7,24,22,20,28,43,20,7,169,446,301,376,486,607,677,608,331,3827,1361,2575,2728,2962,2850,2027,1149,499,16148
LGA21450,496,264,197,109,19,7,1625,48,260,308,298,208,112,21,0,1250,432,2007,1961,1169,878,504,125,43,7110,588,1822,1755,1423,912,526,167,43,7247,1816,4125,3382,3120,2047,1066,438,103,16083,173,237,179,164,84,47,7,6,896,121,224,291,266,255,149,46,10,1365,2114,4581,3854,3543,2381,1260,487,113,18346,28,91,78,101,74,84,25,5,488,996,870,898,1008,886,819,557,272,6302,4226,10140,9350,7805,5534,3417,1410,491,42368
LGA21610,2912,1229,677,256,70,13,7967,137,772,922,699,480,202,51,3,3275,2184,8524,7919,4357,2577,1049,370,98,27078,1972,6261,6355,4548,2780,1258,421,106,23695,4655,8980,8509,8428,5658,2698,1090,248,40256,556,581,527,433,288,104,16,3,2516,375,733,879,929,721,407,151,29,4228,5589,10292,9921,9791,6664,3210,1258,287,47003,128,345,410,343,303,170,97,30,1836,2857,2937,2752,2778,2465,2089,1522,806,18198,13003,31806,31189,23747,15951,8238,3784,1332,129054
LGA21670,15,17,33,14,3,0,103,5,13,13,23,20,27,5,0,112,32,102,106,87,104,108,40,13,604,21,76,115,131,149,122,31,10,650,177,308,325,473,420,326,129,37,2190,19,35,34,30,20,15,4,0,149,11,20,38,37,45,37,12,3,201,208,360,389,533,490,379,149,39,2541,5,5,3,8,4,15,6,3,53,136,89,121,176,218,303,225,106,1361,404,665,758,984,1022,965,454,174,5423
LGA21750,39,48,75,52,10,3,279,4,34,36,54,69,44,7,0,254,63,276,303,240,281,225,66,24,1468,63,186,236,284,342,204,74,19,1408,337,704,614,648,580,315,129,33,3359,44,46,32,31,34,13,0,0,198,35,58,55,59,62,34,8,8,322,411,811,699,741,679,367,139,40,3881,4,11,10,21,19,25,8,0,92,236,197,174,298,339,342,260,133,1989,790,1561,1511,1681,1797,1262,565,223,9382
LGA21830,28,27,26,19,6,0,134,3,33,38,38,55,18,11,0,194,46,206,236,198,202,111,33,9,1041,49,110,155,205,196,140,48,15,923,260,398,427,539,384,196,94,31,2330,32,23,28,22,32,15,0,0,154,15,25,33,46,36,37,14,3,212,304,449,489,607,460,246,101,32,2697,4,3,11,7,6,9,10,0,49,197,131,150,249,281,305,252,116,1685,602,960,1113,1329,1231,853,456,179,6718
LGA21890,2967,1782,975,304,70,12,10151,74,1039,1251,1077,661,206,30,14,4342,2396,9629,6955,3921,1885,722,211,75,25789,963,3054,2562,2021,1149,416,171,70,10395,1337,2854,2353,2257,1568,877,532,205,11979,201,184,169,150,92,47,5,3,846,122,267,308,360,252,134,53,24,1516,1660,3300,2826,2765,1909,1052,593,234,14345,80,208,178,128,104,81,29,24,831,1519,2377,1775,1534,1225,1162,1207,903,11696,6916,23405,18514,13232,7913,3943,2303,1318,77555
LGA22110,95,81,139,107,30,7,524,7,85,99,137,195,127,20,3,675,87,471,522,505,663,545,172,38,3007,120,370,442,570,696,677,244,71,3184,579,1100,1148,1411,1495,1201,521,124,7573,83,93,78,81,110,49,9,6,514,40,88,106,111,164,172,67,25,782,700,1280,1335,1608,1771,1423,593,154,8878,13,20,28,28,41,83,42,15,272,546,385,440,655,826,1124,786,451,5199,1488,2665,2959,3588,4325,4085,1886,750,21745
LGA22170,686,479,377,181,49,14,2419,66,422,496,412,384,197,43,9,2028,694,3110,3020,1946,1409,825,309,99,11407,858,2507,2507,2242,1653,953,332,103,11147,2188,4924,4404,4393,3357,1890,843,268,22255,272,252,252,220,161,85,27,4,1272,189,303,400,440,419,257,118,58,2184,2643,5477,5057,5054,3932,2231,983,335,25716,36,103,112,126,152,145,85,22,783,1344,1441,1436,1536,1498,1463,1211,708,10647,5675,13658,13317,11793,9406,6000,3010,1288,64144
LGA22250,13,12,10,3,0,0,55,0,15,11,26,20,14,0,0,93,26,125,122,85,93,59,31,7,550,24,68,107,114,124,83,35,3,550,162,256,275,339,326,213,72,14,1642,29,25,20,24,20,8,0,0,115,10,9,23,31,33,22,6,0,132,195,286,316,388,374,247,76,12,1900,0,9,5,5,6,8,6,0,37,117,84,95,129,186,234,203,72,1131,369,589,678,764,823,640,349,100,4314
LGA22310,3203,2145,1287,641,171,56,11388,55,729,1033,1131,860,377,94,20,4293,2629,8560,7620,5621,3745,1873,712,298,31048,711,2094,2207,2344,1886,1183,517,216,11164,853,1913,1525,1991,1546,979,570,356,9740,119,96,103,105,92,49,17,7,572,95,212,238,375,325,285,116,89,1736,1057,2221,1873,2471,1963,1318,702,449,12049,75,203,184,196,149,170,92,77,1141,951,1384,1120,1046,1052,942,857,658,8013,5737,18821,17232,14962,10926,6500,3144,1770,79099
LGA22410,31,36,44,12,7,0,160,8,24,50,59,58,30,5,3,240,33,222,246,197,221,139,35,12,1101,55,119,199,245,276,174,56,17,1144,285,532,606,768,603,338,117,30,3282,56,45,39,40,37,23,0,0,247,18,40,48,60,65,41,15,3,290,359,617,691,866,711,402,138,35,3823,6,3,4,23,11,19,9,8,93,262,170,214,282,366,371,254,130,2047,730,1180,1437,1708,1682,1146,515,206,8605
LGA22490,63,72,87,38,8,0,328,8,59,131,81,73,44,8,0,402,74,355,424,352,271,149,33,8,1663,53,237,370,387,300,172,46,13,1582,309,718,932,867,629,336,90,23,3912,40,40,64,35,26,16,3,0,220,26,50,63,72,53,52,16,0,330,375,815,1061,975,708,398,109,25,4462,6,5,16,16,20,14,6,4,85,260,121,206,246,279,239,119,27,1501,779,1649,2270,2132,1744,1054,323,81,10027
LGA22620,483,478,391,261,57,10,2187,40,374,537,502,492,249,56,10,2255,714,2758,2437,1601,1434,814,289,79,10134,392,1177,1357,1467,1463,975,360,126,7320,2016,3773,3085,3189,2725,1588,699,198,17280,262,268,202,182,160,65,6,7,1152,143,258,274,284,307,211,86,35,1603,2416,4300,3560,3656,3193,1870,789,244,20038,37,78,67,66,99,112,59,32,553,1269,1063,1008,1184,1380,1470,1250,795,9418,4936,10190,9457,8959,8453,5746,2860,1301,51904
LGA22670,1339,505,271,133,34,8,4501,53,400,322,212,177,94,27,7,1302,1613,6139,3335,1688,1168,558,228,53,14782,1174,3575,2359,1612,1100,596,231,87,10744,1683,3107,2615,2400,1913,1378,662,165,13919,244,240,225,188,144,70,12,5,1128,184,354,369,374,294,197,115,29,1912,2106,3704,3206,2966,2343,1652,781,199,16956,101,324,221,140,141,111,51,14,1114,1621,2057,1588,1402,1399,1383,1110,620,11172,6813,18264,12365,8523,6604,4531,2462,1001,60571
LGA22750,1599,1189,962,587,151,34,6141,87,853,1004,970,943,476,115,20,4472,1916,6766,6048,4012,3433,2073,718,201,25165,1180,3239,3597,3504,3261,2224,890,337,18229,3905,7247,6136,6478,5381,3449,1627,526,34746,473,424,342,313,268,151,45,11,2019,277,441,526,587,656,502,215,93,3300,4661,8109,7005,7375,6302,4105,1880,630,40066,76,174,182,162,216,212,145,65,1231,2370,2335,2179,2415,2567,2843,2434,1571,18720,10410,22968,21617,19632,17689,12520,6333,2861,114020
LGA22830,220,195,139,49,21,6,922,19,192,235,219,221,68,17,3,968,277,1245,1001,736,639,330,90,24,4348,244,785,833,815,660,411,144,60,3955,1048,1843,1668,1722,1374,761,292,76,8790,131,106,99,111,84,44,6,3,588,75,128,137,166,124,99,42,12,792,1256,2079,1897,2000,1583,907,341,90,10166,17,63,52,41,34,37,27,13,298,818,869,813,917,916,952,682,359,6331,2657,5503,5059,4924,4200,2760,1331,558,26983
LGA22910,92,120,151,101,28,4,524,0,21,67,101,125,70,11,0,398,39,193,350,321,391,256,66,17,1630,40,127,209,278,336,226,66,24,1315,160,308,352,465,420,294,114,28,2145,26,23,25,20,25,10,0,0,141,9,28,37,47,57,49,17,4,246,198,360,410,540,506,353,125,30,2526,6,5,8,9,22,25,10,3,80,189,121,159,252,334,324,234,132,1742,469,849,1289,1625,1863,1358,548,211,8220
LGA22980,12,7,12,4,0,0,50,0,9,15,12,13,10,0,0,60,25,76,64,45,71,25,22,4,333,16,49,51,84,73,38,10,5,329,87,134,147,166,155,80,41,7,817,19,12,12,7,11,3,0,0,71,6,10,7,17,24,5,3,0,78,116,157,164,192,191,95,42,8,965,0,0,0,4,6,3,0,0,20,48,37,39,84,96,103,78,60,547,199,344,347,435,467,274,157,84,2304
LGA23110,1360,919,536,201,28,5,4210,26,409,547,517,402,124,27,9,2059,791,3838,3783,2185,1293,559,175,44,12675,456,1512,1557,1419,920,462,149,48,6531,908,1959,1762,2004,1578,815,418,178,9630,88,114,92,99,80,31,16,3,528,92,192,236,262,194,128,42,24,1174,1091,2267,2094,2369,1855,972,474,199,11328,31,103,96,97,79,61,27,17,516,671,936,893,849,834,770,698,416,6064,3142,10153,10324,8356,5924,3159,1578,738,43370
LGA23190,85,55,37,23,9,0,282,5,67,71,71,64,22,3,3,309,92,369,330,252,238,135,44,16,1479,64,207,277,253,317,177,65,32,1390,380,706,551,556,510,240,87,32,3068,49,59,35,31,32,25,6,5,227,30,34,49,49,62,35,18,4,276,449,802,636,633,602,304,109,40,3568,10,11,5,16,13,16,13,6,93,194,174,154,180,230,251,217,145,1552,818,1686,1559,1467,1508,929,460,246,8676
LGA23270,1453,638,353,121,23,3,4502,105,572,543,409,298,108,30,4,2072,1674,5640,4131,2334,1479,592,174,42,16075,1421,3877,3308,2684,1522,659,257,47,13759,2830,5663,4687,4736,3173,1600,582,140,23413,376,390,320,293,192,63,9,3,1643,283,527,541,605,413,222,70,27,2684,3485,6574,5546,5626,3783,1893,662,164,27733,91,319,217,186,162,101,40,21,1131,2204,2426,1997,2017,1722,1472,909,324,13067,9105,21196,17190,13889,9319,4946,2087,607,78335
LGA23350,61,85,114,72,7,3,385,0,43,96,92,110,58,7,3,404,39,181,372,300,363,216,59,19,1542,35,113,220,286,310,230,73,24,1287,209,392,487,612,499,279,97,22,2598,34,20,21,38,23,21,0,0,160,15,21,35,52,39,43,16,3,224,252,435,548,694,565,344,119,27,2991,4,8,5,11,20,19,5,7,84,158,152,197,242,285,259,195,98,1591,488,966,1508,1706,1767,1195,471,181,8283
LGA23430,2014,1211,723,369,108,24,6502,62,589,881,790,585,268,61,18,3247,1490,5931,6210,3953,2439,1102,465,141,21736,799,2647,3082,2845,1973,1188,457,160,13165,1419,3056,3417,3813,2829,1727,969,315,17539,173,138,219,194,136,100,30,5,997,112,242,428,475,451,345,141,58,2254,1705,3431,4069,4480,3416,2174,1135,377,20790,63,175,191,185,177,151,107,49,1094,931,1258,1289,1297,1281,1424,1422,1061,9961,5172,15966,17736,14760,10584,6684,3764,1825,76491
LGA23670,1642,1113,752,289,66,19,5719,67,514,704,594,565,228,67,9,2757,1579,5685,5066,3360,2516,1219,376,117,19918,965,2573,2748,2793,2188,1250,445,144,13103,2003,3884,3781,4498,3597,2069,1098,264,21197,246,189,223,195,150,109,22,6,1148,183,271,346,479,507,333,180,58,2361,2439,4347,4348,5169,4255,2517,1302,327,24705,58,113,150,192,211,164,117,41,1040,898,1012,1027,1114,1247,1211,1084,803,8398,6089,16000,15675,14332,11739,6883,3462,1468,75640
LGA23810,199,181,199,93,24,7,911,24,180,177,207,191,100,15,4,891,366,1254,969,738,778,400,138,38,4685,279,815,825,914,874,494,201,49,4450,1398,2781,2216,2557,2182,1313,549,169,13160,216,209,144,98,95,49,17,4,833,93,168,162,214,207,142,52,14,1044,1708,3152,2520,2865,2481,1498,613,185,15033,14,36,52,59,65,66,24,11,329,999,877,794,1026,1181,1150,943,448,7425,3421,6495,5548,5995,5766,3801,1957,738,33720
LGA23940,7,8,10,13,3,0,46,6,4,13,22,23,12,5,0,86,9,90,90,78,74,47,15,8,405,10,55,78,95,103,55,28,3,427,65,143,163,264,272,142,55,10,1116,6,14,8,25,11,3,4,0,73,6,8,13,17,25,30,7,0,103,85,162,182,311,311,173,62,13,1298,0,0,8,4,5,13,3,0,35,111,66,100,149,190,197,129,62,1006,215,378,479,668,722,504,238,88,3304
LGA24130,368,359,308,210,36,7,1456,8,110,326,322,297,122,31,3,1219,223,822,1482,1160,912,581,158,42,5390,156,441,753,892,760,581,184,49,3815,579,1091,1322,1492,1139,702,271,61,6664,73,70,64,72,61,27,5,0,373,47,85,122,156,150,125,40,21,753,699,1245,1511,1714,1356,854,322,81,7786,12,30,37,48,53,64,16,7,269,475,300,465,589,590,640,353,194,3611,1593,3097,4945,5089,4275,3057,1103,384,23544
LGA24210,1959,1407,1099,578,204,40,7264,31,337,568,695,599,338,113,25,2705,1673,4959,4920,4223,3061,1753,752,195,21529,579,1262,1539,2120,1687,1360,731,221,9495,744,1199,1392,2190,1528,1304,954,267,9571,91,63,77,125,105,60,36,7,555,82,135,206,395,329,316,171,77,1711,920,1393,1668,2709,1965,1675,1154,347,11839,42,120,127,168,161,187,117,36,946,629,670,649,851,851,1066,1135,788,6635,4030,10573,11427,12164,9419,6951,4210,1644,60419
LGA24250,29,27,35,34,4,3,151,5,23,36,30,41,22,0,0,157,28,124,147,122,150,120,37,13,746,12,72,123,131,143,115,39,9,647,127,184,266,293,317,240,69,27,1531,26,7,16,7,10,7,3,0,80,6,16,26,31,31,35,18,9,157,156,213,305,334,363,284,91,31,1778,0,3,9,3,5,11,12,0,43,94,74,92,133,155,170,93,27,844,294,527,735,779,899,762,279,88,4367
LGA24330,1661,718,376,107,19,6,5545,49,713,693,483,264,62,11,0,2263,1562,6437,4423,1891,931,308,73,22,15652,684,2015,1505,1036,598,211,66,31,6139,709,1678,1278,1154,832,360,173,81,6271,130,110,84,80,56,21,4,0,484,73,206,188,193,128,57,17,6,873,910,2000,1548,1430,1018,437,193,90,7623,58,160,122,73,54,39,13,9,515,938,1516,1152,850,701,512,433,332,6415,4359,15329,11098,6487,3938,1668,802,482,44164
LGA24410,1274,751,553,286,84,19,4236,45,532,670,598,484,254,70,9,2659,914,4290,3950,2432,1718,1003,402,119,14826,639,1822,2080,1910,1533,1071,473,141,9672,1383,2955,2760,3155,2161,1346,699,225,14677,158,151,157,125,106,68,22,7,788,100,198,250,356,348,248,148,57,1707,1640,3300,3168,3624,2613,1669,869,285,17170,30,91,99,103,125,124,68,33,665,692,770,791,818,817,868,846,625,6237,4039,11993,12036,10241,7851,5267,2811,1234,55473
LGA24600,3129,1483,1080,687,219,65,15601,186,1296,677,441,411,223,49,11,3296,9080,18326,5099,2360,1719,1075,400,138,38192,2238,3076,1362,922,791,490,187,71,9134,1051,1830,839,630,458,255,90,45,5198,170,143,68,60,40,23,3,0,506,216,276,176,173,130,98,34,10,1126,1437,2253,1088,863,630,381,123,54,6828,422,382,158,85,72,56,41,17,1234,4524,5253,2208,1431,1134,895,455,422,16323,18783,38620,13722,7593,5836,3800,1474,782,90605
LGA24650,1164,450,238,87,23,3,2917,56,360,492,284,182,55,11,0,1443,863,3889,4039,1776,936,372,69,17,11965,827,2582,2740,1697,971,379,97,20,9319,2042,4557,4316,3251,2147,1061,326,77,17776,248,282,272,174,128,46,8,0,1161,201,373,563,419,305,164,40,12,2070,2492,5218,5149,3841,2573,1276,369,87,21005,52,138,177,116,90,74,29,13,681,1597,1965,1861,1463,1198,981,463,146,9667,5951,15043,15614,9631,6198,3222,1064,281,56997
LGA24780,136,93,88,37,10,0,486,25,104,137,165,120,50,12,4,612,203,925,831,609,524,228,95,17,3425,168,542,610,673,610,348,114,24,3088,846,1732,1421,1521,1208,652,248,70,7703,197,143,105,87,69,30,5,4,633,77,109,134,169,141,85,21,4,751,1127,1987,1652,1781,1420,764,275,79,9087,26,28,39,30,35,40,21,13,231,796,728,585,762,879,912,701,387,5753,2362,4419,3999,4117,3676,2378,1224,526,22696
LGA24850,145,97,102,44,16,0,509,14,92,126,137,99,43,8,0,516,152,601,591,409,349,217,83,14,2419,194,627,609,601,427,249,77,20,2816,714,1581,1328,1430,1035,565,180,50,6885,110,100,85,68,64,22,3,3,448,79,100,115,127,113,73,24,15,651,909,1782,1532,1627,1213,653,205,67,7989,12,32,33,34,30,34,16,3,190,618,519,512,603,609,546,357,156,3913,1907,3757,3540,3496,2837,1788,759,264,18349
LGA24900,48,35,32,33,5,0,214,0,53,52,74,78,35,10,0,301,79,339,359,264,251,167,63,19,1546,89,268,281,350,373,255,97,17,1722,449,807,805,915,800,518,267,64,4618,49,50,49,60,50,20,5,0,296,29,57,71,92,76,73,22,12,429,536,910,924,1062,926,615,290,75,5346,3,14,15,10,27,41,27,9,150,356,256,272,369,536,606,494,239,3136,1080,1886,1949,2174,2226,1752,988,363,12418
