LGA_CODE_2016,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
LGA21270,70,0,0,0,0,66,70,0,0,0,0,73,75,0,0,3,0,73,104,0,0,0,0,104,64,0,0,0,0,64,83,0,0,0,0,82,26,0,0,0,0,26,17,0,0,0,0,17,3,0,0,0,0,3,5,0,0,0,0,5,10,0,0,0,0,13,35,0,0,0,0,35,555,4,0,3,4,562
LGA21370,271,3,0,0,0,274,131,3,0,0,0,136,147,3,0,0,0,150,337,3,3,0,0,344,434,9,3,0,0,449,1131,16,4,0,3,1163,830,13,0,3,6,851,557,4,0,0,0,560,150,0,0,0,0,150,139,0,0,0,0,140,85,0,0,3,0,89,223,0,0,0,0,223,4436,65,15,7,12,4538
LGA21450,481,23,0,0,0,502,230,11,0,0,0,244,229,19,0,0,0,240,394,17,0,0,0,417,607,33,0,0,0,645,2172,112,6,3,5,2297,3329,157,4,0,3,3499,3961,108,0,3,11,4080,1330,17,0,0,0,1354,826,12,0,0,0,847,415,6,0,0,0,419,651,11,0,0,3,670,14627,527,16,11,29,15208
LGA21610,1778,130,13,0,3,1919,849,52,3,3,0,908,672,44,0,0,0,717,1341,80,8,0,0,1433,1925,134,11,0,0,2073,6299,556,52,8,7,6915,9249,790,34,4,10,10088,12297,684,21,0,9,13013,4330,202,4,0,6,4544,2502,93,5,0,0,2601,1248,48,3,4,0,1303,1881,103,0,6,3,1993,44370,2921,156,29,35,47516
LGA21670,103,0,0,0,0,111,119,0,0,3,0,118,100,5,0,0,0,104,166,4,0,0,0,171,242,0,0,3,3,252,347,6,0,3,0,358,184,0,0,0,0,189,106,0,0,0,0,106,20,0,0,0,0,24,10,0,0,0,0,10,15,0,0,0,0,15,84,3,0,3,0,87,1504,19,3,16,5,1546
LGA21750,141,3,0,0,5,145,83,0,0,0,0,84,94,3,0,0,0,99,174,3,0,0,0,180,251,3,0,3,0,256,630,5,5,3,0,643,483,3,0,0,0,491,308,5,0,0,0,318,81,0,0,0,0,81,66,0,0,0,0,67,50,0,0,0,3,54,155,0,0,0,0,156,2524,27,3,10,8,2576
LGA21830,184,0,0,0,0,182,64,0,0,0,0,67,81,0,0,0,0,77,177,0,0,0,0,177,202,0,0,0,0,210,367,0,0,0,7,374,203,0,0,0,0,202,163,0,0,0,3,166,45,0,0,0,0,48,46,0,0,0,0,47,76,0,0,0,3,78,140,0,0,0,5,142,1739,3,7,3,17,1780
LGA21890,605,172,33,5,0,819,234,71,22,0,0,331,198,49,20,0,0,263,286,116,38,3,0,437,410,146,65,0,0,624,1184,487,250,6,7,1935,1207,654,305,3,4,2177,2010,833,313,16,6,3181,1133,437,102,10,3,1687,1302,380,78,7,6,1771,904,227,40,3,3,1173,495,131,47,0,3,675,9970,3698,1314,55,35,15078
LGA22110,307,3,3,0,3,316,206,5,3,0,0,212,189,5,0,0,0,198,350,0,0,7,0,357,491,4,0,0,3,502,1162,5,4,0,8,1180,860,7,0,0,4,872,597,0,3,4,7,605,177,0,0,0,0,178,144,0,0,0,0,144,80,0,0,4,0,87,247,3,0,4,4,253,4800,46,18,23,26,4907
LGA22170,811,90,16,3,0,918,357,56,4,0,0,417,358,40,5,3,0,411,668,101,19,0,0,784,998,132,9,0,0,1143,2954,469,63,6,0,3500,3872,536,33,7,6,4446,4206,319,21,8,0,4551,1492,104,3,0,3,1600,971,72,0,0,0,1040,452,28,0,0,0,483,827,70,3,0,0,906,17972,2015,176,25,16,20196
LGA22250,87,0,0,0,0,94,74,0,0,0,0,74,72,0,0,0,0,74,161,0,0,0,0,162,133,0,0,0,0,140,251,0,0,0,0,249,122,0,0,0,0,120,77,0,0,0,0,77,23,0,0,0,0,22,14,0,0,0,0,14,26,0,0,0,0,26,51,0,0,0,0,54,1093,0,3,7,3,1104
LGA22310,764,237,123,3,5,1128,186,59,37,0,0,285,167,71,41,0,0,283,241,94,71,0,0,404,299,129,82,3,3,522,935,353,342,0,0,1639,814,393,461,9,7,1685,1464,723,588,3,3,2783,980,543,268,0,10,1805,1532,699,185,0,11,2428,1701,461,87,7,7,2258,565,167,84,0,3,820,9654,3939,2374,35,49,16047
LGA22410,155,3,3,0,0,155,107,0,0,0,0,108,155,0,3,0,0,161,209,0,0,0,0,215,239,0,0,0,0,238,595,5,0,0,0,604,346,4,3,0,0,357,242,0,0,0,0,238,58,0,0,0,0,63,61,0,0,0,0,61,32,0,0,0,0,33,137,0,0,0,0,143,2337,10,16,4,6,2377
LGA22490,152,0,0,0,0,155,117,0,0,0,0,117,81,0,0,0,0,81,173,0,0,0,0,171,248,0,0,0,0,251,722,0,0,3,5,734,765,0,0,3,0,771,830,3,0,4,0,841,296,0,0,0,0,296,157,0,0,0,0,159,75,0,0,0,0,78,214,0,0,3,0,220,3831,3,4,16,8,3864
LGA22620,670,15,4,0,5,702,469,10,3,3,7,492,414,12,3,3,0,435,799,25,3,0,0,831,1137,37,3,6,7,1186,3287,92,18,8,9,3407,3163,50,15,3,10,3239,2349,31,8,4,7,2402,658,3,0,0,4,663,437,8,0,0,0,450,238,6,0,0,3,244,624,3,0,3,3,634,14243,291,63,28,57,14679
LGA22670,792,89,41,4,0,936,308,42,25,0,0,379,286,36,26,0,0,346,464,70,48,0,0,587,596,117,65,0,0,779,1756,380,214,17,7,2370,2146,459,216,12,3,2834,2611,405,138,17,7,3171,1034,118,25,0,0,1183,821,79,25,0,0,918,413,46,13,0,0,472,586,76,27,3,0,694,11811,1918,855,55,18,14661
LGA22750,1348,72,11,0,0,1435,748,54,11,0,3,813,663,51,6,0,3,728,1302,89,23,4,0,1414,1760,147,39,3,0,1954,5115,353,91,14,12,5581,5779,299,49,10,9,6144,5749,225,36,22,14,6052,1956,67,9,5,3,2046,1389,42,6,3,4,1452,721,26,0,3,4,761,1203,67,17,3,0,1296,27732,1504,300,80,57,29674
LGA22830,324,11,0,0,4,335,186,9,0,0,0,195,189,6,0,3,0,199,464,21,0,3,0,494,725,28,0,3,0,756,1913,38,0,3,0,1961,1527,21,0,0,3,1559,1051,17,0,0,0,1071,288,0,0,0,0,291,186,4,0,0,3,195,129,0,0,0,0,125,346,10,0,4,0,357,7328,169,4,19,13,7533
LGA22910,104,0,0,9,0,112,77,0,0,6,0,87,84,0,0,3,0,94,146,0,0,7,0,157,183,0,0,5,9,199,412,0,0,20,9,449,337,0,0,11,3,358,271,0,0,18,5,291,83,0,0,3,0,85,61,0,0,4,0,68,48,0,0,0,0,46,133,0,0,4,0,137,1943,6,0,102,29,2079
LGA22980,63,3,0,0,0,71,63,4,0,0,0,64,61,3,0,0,0,58,97,0,0,0,0,100,84,3,0,0,3,91,92,0,0,0,0,92,29,0,0,0,0,32,25,0,0,0,0,28,10,0,0,0,0,10,8,0,0,0,0,8,5,0,0,0,0,5,31,0,0,0,0,33,559,17,3,4,9,587
LGA23110,414,138,12,0,3,568,190,44,6,0,0,249,143,41,8,0,0,197,263,64,11,0,0,343,354,95,20,0,3,473,996,353,48,0,3,1403,1052,434,74,0,4,1559,1539,667,63,0,5,2281,796,388,26,0,10,1217,763,368,12,0,3,1145,626,187,3,0,0,822,350,130,14,0,3,500,7492,2910,297,12,38,10743
LGA23190,136,3,0,0,0,137,90,0,0,0,0,87,87,4,0,0,0,93,225,0,3,0,0,231,283,6,7,0,0,301,687,10,7,3,0,705,463,3,0,0,0,468,259,0,0,0,0,263,93,0,0,0,0,93,49,0,0,0,0,49,30,0,0,0,3,32,91,0,3,0,0,90,2491,31,25,5,3,2553
LGA23270,1058,69,14,3,0,1143,528,37,9,4,0,576,451,20,4,0,4,477,784,54,21,0,0,868,1176,113,20,4,0,1311,4109,358,97,6,3,4571,5633,498,127,12,5,6269,6252,338,42,4,7,6642,2030,66,6,0,3,2100,1273,61,8,0,3,1340,706,27,8,0,3,740,1169,83,10,0,0,1256,25162,1709,364,32,30,27298
LGA23350,99,0,0,0,0,100,71,0,0,0,0,71,64,0,0,0,0,75,113,0,0,0,0,118,180,0,4,0,0,185,488,3,3,0,3,495,441,4,0,0,5,447,339,0,0,3,3,348,123,0,0,0,0,126,82,0,0,0,7,82,42,0,0,0,0,42,100,0,0,0,0,103,2134,6,16,12,19,2189
LGA23430,727,244,81,3,3,1057,293,98,19,0,0,411,245,67,34,0,0,346,400,150,65,0,0,612,526,218,91,3,0,843,1560,614,295,5,5,2472,1752,783,410,7,6,2961,2941,1107,491,7,12,4560,1865,657,170,3,5,2696,1937,506,108,7,5,2558,914,229,54,0,6,1199,655,174,64,3,0,895,13818,4841,1880,34,48,20627
LGA23670,1101,92,11,0,0,1210,466,37,6,0,0,509,430,35,9,0,0,471,710,65,3,3,0,786,1019,103,7,3,0,1141,2970,280,47,6,3,3306,3270,416,69,3,4,3765,4867,464,50,16,8,5403,2351,178,11,4,0,2542,1717,88,6,3,0,1815,791,47,5,3,0,848,933,70,13,4,0,1020,20632,1880,233,54,20,22822
LGA23810,387,13,12,0,0,413,360,13,10,0,0,381,384,7,10,0,0,412,870,17,17,0,3,905,1129,17,16,0,0,1163,2268,37,17,0,3,2326,1550,10,12,0,3,1577,1272,7,0,0,0,1287,360,0,0,0,0,360,219,4,0,0,0,222,136,0,0,0,0,142,398,11,4,0,0,412,9333,132,103,9,15,9592
LGA23940,99,0,0,0,0,105,84,0,0,3,4,85,48,0,0,0,0,57,105,0,0,3,0,110,94,0,0,0,0,98,132,0,0,0,0,129,49,0,0,0,3,56,34,0,0,0,3,39,13,0,0,3,0,17,15,0,0,3,0,18,8,0,0,0,0,8,52,0,0,0,0,54,745,0,0,14,16,767
LGA24130,311,8,0,0,0,315,169,0,0,0,0,167,143,3,0,0,0,141,241,10,4,0,0,247,319,4,0,0,0,331,1022,27,9,0,3,1061,1198,27,5,0,3,1238,1555,17,5,3,5,1588,757,10,0,0,0,768,610,3,0,3,0,618,364,0,0,0,0,361,358,3,0,3,0,361,7043,108,24,17,19,7203
LGA24210,762,134,34,0,3,936,203,38,12,0,0,252,192,31,7,0,0,225,259,49,20,0,0,326,339,68,25,0,0,441,1006,200,76,0,0,1278,972,228,133,0,0,1334,1832,385,161,0,6,2381,1191,255,48,0,4,1506,1572,273,55,0,3,1904,1413,178,27,0,0,1617,532,85,24,0,0,638,10267,1925,626,3,22,12843
LGA24250,49,0,0,0,0,52,35,0,0,0,0,35,37,0,0,0,0,37,47,0,0,0,0,47,95,0,0,0,0,96,206,0,0,0,0,211,186,3,0,0,0,188,152,0,0,0,0,149,55,0,0,0,0,55,38,0,0,0,0,41,17,0,0,0,0,21,63,0,0,3,0,65,970,3,0,7,3,986
LGA24330,324,120,50,4,0,497,129,35,15,0,0,180,89,31,26,0,0,142,152,65,32,0,0,250,208,79,61,0,0,343,590,304,209,7,3,1119,687,357,306,3,3,1357,1083,608,292,10,11,1998,854,337,79,4,0,1270,896,292,49,5,0,1234,449,168,32,4,0,653,239,80,20,0,0,337,5686,2472,1175,34,14,9380
LGA24410,719,45,8,0,0,779,358,25,3,0,0,385,292,28,8,0,0,324,511,29,3,0,0,550,666,42,16,0,0,720,1990,150,53,0,4,2202,2428,244,75,0,3,2743,3594,223,68,3,3,3893,1861,85,15,0,3,1969,1326,60,9,0,3,1404,557,16,10,0,4,586,652,31,6,0,0,690,14962,966,279,3,25,16229
LGA24600,38,137,508,0,3,690,3,35,91,0,0,130,3,16,75,0,0,101,6,42,150,0,0,205,14,61,222,0,0,299,33,141,905,0,3,1076,41,165,1106,3,3,1318,69,285,1663,3,4,2025,45,230,850,0,9,1135,69,296,682,0,0,1047,101,332,522,4,7,967,24,76,230,0,0,328,440,1820,7002,16,44,9316
LGA24650,756,62,4,0,0,826,366,26,7,0,0,403,311,33,3,0,0,345,596,57,4,0,0,657,949,101,3,0,0,1053,3411,335,18,3,9,3772,4168,392,19,0,12,4590,5039,346,12,3,14,5411,1855,95,3,0,9,1962,1145,77,0,3,0,1228,596,27,0,0,0,622,945,69,0,0,0,1008,20132,1617,78,7,39,21877
LGA24780,283,10,8,0,0,305,219,6,3,0,0,228,207,6,0,0,0,216,501,20,5,0,3,530,731,24,15,0,3,782,1751,61,13,0,6,1831,1123,17,5,0,0,1150,704,3,0,0,8,711,197,0,0,0,0,201,132,0,0,0,0,133,79,0,0,0,0,79,290,10,0,0,0,300,6212,162,59,10,27,6466
LGA24850,239,4,0,0,0,247,136,0,3,0,0,136,119,0,3,0,0,128,251,3,0,0,0,253,373,6,7,0,0,384,1134,19,5,0,4,1165,1358,22,7,3,5,1387,1327,3,6,0,0,1334,453,0,0,0,0,453,272,0,0,0,3,277,151,0,0,0,0,152,349,3,0,0,0,348,6155,65,27,8,13,6267
LGA24900,185,3,0,0,4,194,132,0,0,0,0,136,118,0,0,0,0,124,223,7,3,0,3,231,375,3,4,0,0,390,805,6,3,0,0,821,560,3,0,0,6,565,368,4,0,0,0,374,119,3,0,0,0,124,78,0,0,0,0,78,90,0,0,3,0,87,197,0,0,0,0,198,3264,27,23,12,19,3344
LGA24970,1105,153,110,0,0,1374,318,45,26,0,0,388,310,40,28,0,0,376,381,73,27,0,0,477,511,78,57,0,0,653,1455,271,216,0,0,1948,1485,377,292,0,4,2158,2497,612,407,0,10,3528,1564,380,211,0,3,2154,2038,324,178,0,5,2547,1531,157,77,0,0,1762,628,78,50,0,0,754,13810,2589,1677,3,38,18115
LGA25060,557,133,62,0,0,743,181,47,15,0,0,246,132,54,23,0,0,213,225,74,23,0,4,327,289,96,61,0,0,449,851,314,192,3,4,1360,846,398,266,4,8,1519,1423,577,360,14,5,2380,1002,432,114,4,3,1554,1294,436,89,0,5,1823,1124,221,41,0,3,1391,493,112,34,6,0,649,8411,2890,1286,35,34,12652
LGA25150,195,5,3,0,3,209,122,6,0,0,0,131,100,4,0,3,0,110,197,3,0,4,0,204,312,10,0,0,3,333,911,34,4,4,3,954,1072,25,3,3,0,1098,1005,34,0,0,0,1040,356,23,0,0,0,374,237,8,0,0,0,241,86,0,0,0,0,84,239,4,0,0,3,249,4829,157,12,16,12,5021
LGA25250,612,177,60,4,3,850,246,69,33,0,0,344,206,54,27,0,3,289,326,128,37,0,0,485,487,148,78,0,3,725,1309,565,294,3,12,2184,1484,720,399,7,10,2628,2317,1180,511,9,9,4023,1431,591,200,3,12,2232,1419,449,114,3,8,1995,845,209,48,0,0,1106,541,144,54,3,0,748,11230,4431,1853,43,56,17605
LGA25340,972,70,33,4,3,1083,455,37,17,0,0,508,406,30,15,4,6,455,696,51,14,0,0,771,930,69,18,3,0,1019,2651,222,101,7,3,2978,3071,198,81,0,9,3352,4148,201,86,3,7,4448,1975,54,26,0,7,2058,1659,46,16,0,7,1725,967,21,4,0,4,994,996,45,18,0,0,1064,18914,1045,430,20,35,20451
LGA25430,175,3,0,0,4,181,102,0,0,0,3,108,98,0,0,0,0,99,183,0,0,0,0,187,224,3,0,0,4,229,569,3,0,0,4,575,449,0,0,4,3,455,336,4,0,0,0,341,105,0,0,0,0,104,74,0,0,0,3,71,28,0,0,0,0,34,110,3,0,0,0,116,2454,19,6,9,25,2509
LGA25490,167,0,0,0,0,170,68,0,0,0,0,69,58,0,0,0,3,67,127,0,0,0,0,131,160,0,0,0,0,160,408,0,3,4,3,414,307,0,0,0,0,306,301,0,0,0,5,306,115,0,0,0,0,115,78,3,0,0,0,78,69,0,0,0,0,72,125,0,0,3,0,127,1974,6,3,9,12,2013
LGA25620,87,3,0,0,0,91,59,0,0,0,0,59,70,0,0,0,0,70,99,0,0,0,0,103,158,0,0,0,0,156,398,0,0,7,0,406,340,0,0,0,0,342,311,0,0,6,0,317,98,0,0,0,0,99,87,0,0,0,4,89,43,0,0,0,0,46,102,3,0,0,3,112,1842,14,3,16,12,1891
LGA25710,497,7,0,0,0,501,208,3,0,0,0,218,154,9,0,5,0,166,261,9,3,0,0,268,391,7,3,0,0,406,1037,28,13,0,3,1083,1192,34,29,0,0,1262,2024,49,31,0,4,2109,1289,25,16,0,3,1328,1235,15,8,0,0,1260,693,9,6,0,0,700,434,10,3,0,3,449,9410,201,108,4,15,9742
LGA25810,85,0,0,0,0,94,90,0,0,0,0,90,81,3,0,0,0,81,180,0,0,0,0,185,209,0,0,0,5,208,294,0,0,0,0,293,157,0,0,0,0,156,65,0,0,0,0,69,25,0,0,0,0,26,19,0,0,3,0,20,14,0,0,0,0,19,74,0,0,0,0,74,1294,4,0,5,16,1316
LGA25900,118,198,258,5,0,580,23,52,84,4,0,162,12,43,91,3,0,149,22,46,125,0,0,199,28,91,209,3,0,329,100,213,657,11,4,990,82,224,863,20,0,1192,154,423,1376,24,3,1975,101,314,739,10,7,1163,219,560,598,7,4,1378,442,979,447,5,0,1870,91,153,184,5,8,436,1384,3293,5636,86,28,10420
LGA25990,64,0,0,0,0,64,46,0,0,0,0,46,47,0,0,0,0,47,92,0,0,0,0,97,109,0,0,0,0,109,198,0,0,0,0,193,121,0,0,0,0,119,52,0,0,0,0,52,22,0,0,0,0,22,9,0,0,0,0,9,10,0,0,0,0,10,53,0,0,0,0,60,824,0,0,0,6,824
LGA26080,13,0,0,0,0,9,3,0,0,0,0,3,4,0,0,0,0,4,8,3,0,0,0,15,13,0,0,0,0,18,37,3,0,0,0,40,26,0,0,0,0,29,35,0,0,0,0,34,18,0,0,0,0,18,23,0,0,0,0,24,19,0,0,0,0,17,17,0,0,0,0,14,210,6,4,0,0,226
LGA26170,242,0,0,0,0,253,152,3,0,0,0,161,124,0,0,0,3,127,237,0,4,0,0,248,327,3,0,3,0,333,761,0,3,5,0,773,619,0,0,0,0,621,528,3,0,3,3,537,180,0,0,0,0,185,138,0,0,0,0,137,82,0,0,0,0,83,195,0,3,0,0,198,3591,18,16,19,17,3654
LGA26260,157,4,0,0,7,163,101,0,0,0,0,106,99,0,0,0,0,97,214,4,0,0,3,226,208,0,3,0,0,215,427,3,0,0,0,432,227,0,0,0,0,231,142,0,0,3,3,149,55,0,0,0,0,55,42,0,0,0,0,41,37,0,0,0,0,41,104,0,0,3,0,107,1813,12,5,9,13,1849
LGA26350,378,176,166,3,5,724,65,36,44,0,0,148,38,42,40,0,0,125,47,37,94,0,3,181,97,63,115,0,0,269,256,163,452,0,0,870,236,161,535,6,4,951,417,359,835,5,4,1619,261,218,402,3,7,888,471,419,343,3,0,1230,1488,584,236,0,4,2314,279,121,100,0,4,508,4019,2370,3371,26,33,9822
LGA26430,78,0,0,0,0,78,55,0,0,0,0,60,55,0,0,0,0,61,112,0,4,0,0,117,126,0,0,0,0,128,276,0,0,0,0,276,181,0,0,0,0,182,122,0,0,0,0,122,42,0,0,0,0,45,31,0,0,0,0,31,26,0,0,0,0,26,68,0,0,0,0,74,1178,3,7,3,4,1196
LGA26490,185,8,0,0,0,193,88,3,0,0,0,94,79,4,0,0,0,82,105,3,0,0,0,109,183,3,0,0,0,193,509,14,3,0,0,528,528,16,4,0,0,541,805,15,4,3,0,832,437,11,3,0,0,456,371,6,0,0,0,382,200,3,0,0,0,209,177,0,0,0,0,183,3665,96,18,12,11,3799
