LGA_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
LGA24780,5681,11274,111,621,626,2909,174,787,2838,11301,3751,15624,261,1073,456,1461,962,2983,1682,5515,5432,21137,44,217,189,663,80,274,1072,3024,1387,4180,90,277,216,469,767,1640,1076,2390,2461,6573,189,393,13763,39378
LGA24850,3777,7478,100,537,511,2420,171,760,2621,10396,3405,14120,247,1055,369,1244,926,2953,1539,5252,4947,19374,34,162,133,450,85,308,695,1918,946,2836,76,235,181,398,601,1295,861,1927,1810,4759,119,252,10643,31868
LGA24900,3579,7101,71,408,288,1358,80,363,1419,5787,1858,7917,127,523,229,708,541,1665,896,2900,2747,10818,17,91,87,314,47,160,511,1406,666,1967,39,135,84,190,373,796,501,1125,1164,3093,82,161,7579,21182
LGA24970,16261,32532,178,939,2296,10137,263,1148,12053,45434,14789,57660,1453,6069,3016,10515,4289,13572,8762,30152,23549,87808,48,229,469,1619,131,438,1659,4284,2310,6561,349,1101,1083,2535,2718,5908,4146,9548,6452,16109,1102,2383,47364,138838
LGA25060,10776,21411,133,743,1435,6467,186,830,7552,28878,9304,36918,895,3780,1521,5471,2700,8697,5120,17947,14421,54863,28,145,267,929,74,251,1270,3295,1642,4614,224,704,573,1302,1945,4255,2742,6262,4384,10877,776,1622,30367,88775
LGA25150,3196,6358,68,408,369,1745,122,588,2047,8166,2613,10907,236,1004,340,1167,774,2479,1354,4651,3968,15556,17,63,98,371,43,166,502,1426,659,2029,56,181,129,275,480,1020,657,1480,1321,3509,79,169,8563,25589
LGA25250,15522,30913,227,1325,1408,6622,275,1241,10641,40047,12556,49239,893,3804,1298,4546,2936,9608,5124,17960,17679,67193,49,241,329,1160,100,369,1665,4232,2148,6002,249,803,619,1416,2686,5875,3560,8093,5707,14100,1148,2440,40057,114651
LGA25340,17941,35471,248,1312,1714,7822,434,1905,8937,35070,11334,46107,963,3875,1474,4925,3296,10368,5733,19171,17072,65274,66,286,440,1483,189,647,2359,6163,3049,8583,282,865,683,1498,2356,4951,3322,7312,6371,15894,397,810,41779,117453
LGA25430,2230,4383,27,149,167,748,45,185,912,3555,1149,4640,68,275,150,483,303,934,525,1691,1672,6334,8,22,57,173,19,54,290,728,372,976,21,73,98,209,273,568,392,848,762,1823,68,136,4732,12677
LGA25490,1931,3812,50,264,207,991,39,193,1043,4268,1336,5720,101,424,133,440,287,882,526,1737,1857,7460,4,29,36,138,18,45,190,504,247,714,27,79,31,59,189,423,248,557,496,1275,53,116,4340,12656
LGA25620,1800,3554,17,101,121,579,47,214,704,2776,894,3669,66,249,107,335,277,831,444,1418,1341,5084,5,18,28,101,9,19,151,417,189,565,19,63,40,77,169,357,226,494,414,1061,32,64,3589,9762
LGA25710,5278,10450,127,681,1077,4933,195,862,4332,17042,5729,23512,792,3348,1036,3720,2098,6729,3925,13798,9655,37311,23,103,144,475,52,194,571,1482,793,2254,134,416,265,611,755,1642,1156,2667,1946,4921,133,276,17008,52959
LGA25810,1480,2919,19,101,128,561,25,117,516,2023,689,2801,41,155,110,328,201,626,354,1116,1040,3912,8,31,34,108,15,49,164,435,215,618,12,34,47,94,141,308,195,434,406,1059,47,88,2972,7981
LGA25900,12634,24613,24,161,480,2133,50,217,5106,18326,5665,20838,234,933,693,2289,778,2356,1709,5583,7379,26417,3,22,133,425,21,71,1034,2360,1196,2886,81,252,461,967,933,1883,1477,3098,2671,5984,673,1394,23351,58408
LGA25990,891,1753,10,77,68,326,24,84,330,1351,428,1842,35,148,44,149,136,414,222,712,653,2554,0,10,11,43,11,41,87,227,111,314,6,19,13,33,96,199,120,247,230,560,15,34,1785,4901
LGA26080,458,890,4,19,27,128,3,18,97,377,136,540,13,37,35,112,42,107,86,258,219,795,3,6,3,11,0,6,29,72,33,102,7,16,12,19,28,57,40,86,75,185,7,8,752,1886
LGA26170,3583,7077,37,199,342,1596,73,332,1542,6294,1992,8417,139,562,245,783,500,1543,883,2889,2878,11304,7,35,66,230,29,96,389,1048,492,1409,32,99,125,268,351,734,503,1096,999,2507,72,140,7526,21024
LGA26260,1942,3814,23,124,188,860,42,183,879,3496,1130,4661,73,292,124,388,310,940,507,1622,1633,6279,5,31,44,145,15,62,199,532,270,771,22,63,60,140,214,436,299,633,571,1398,40,76,4186,11571
LGA26350,11999,23491,59,293,958,4285,73,317,5175,19353,6271,24250,530,2126,1252,4362,1227,3767,3005,10252,9276,34507,9,48,178,577,29,96,800,1974,1020,2697,125,378,483,1082,1047,2188,1644,3654,2666,6352,766,1612,24714,65957
LGA26430,1441,2833,12,54,86,418,19,78,457,1808,572,2357,33,139,71,215,197,586,299,943,873,3294,5,13,27,103,7,25,146,411,191,554,13,45,36,76,147,310,202,432,390,982,34,61,2731,7172
LGA26490,3205,6273,49,253,399,1811,58,261,2160,8578,2670,10900,191,766,327,1073,503,1536,1015,3374,3685,14274,3,27,68,238,12,45,311,830,403,1138,42,119,111,249,286,567,445,932,842,2072,71,146,7805,22768
LGA26610,2101,4159,41,238,237,1129,52,244,1088,4372,1417,5988,87,364,164,510,360,1148,614,2028,2031,8011,9,43,67,256,22,80,336,944,431,1319,28,83,67,137,213,458,307,682,737,1997,80,173,4942,14344
LGA26670,867,1694,8,39,72,327,12,40,287,1160,372,1571,20,93,69,217,82,249,172,562,547,2134,3,8,14,54,5,20,59,144,79,227,7,22,22,50,49,110,77,179,161,407,16,29,1591,4268
LGA26700,3336,6579,58,296,308,1395,86,376,1595,6329,2041,8385,131,530,210,692,508,1556,851,2774,2893,11160,17,75,79,285,40,134,484,1294,623,1786,42,124,101,214,380,795,516,1128,1138,2913,97,204,7467,20856
LGA26730,3451,6833,65,352,340,1558,88,389,1845,7370,2344,9671,205,850,260,860,617,1945,1086,3654,3425,13323,26,103,115,423,43,165,588,1582,775,2273,66,202,163,342,443,951,670,1505,1446,3778,120,248,8440,24181
LGA26810,4994,9798,84,441,453,2088,124,535,2319,9176,2976,12240,181,740,356,1132,783,2403,1318,4270,4293,16513,24,101,132,451,45,172,642,1797,839,2523,53,157,181,387,497,1036,730,1582,1574,4109,134,275,10989,30694
LGA26890,522,1021,5,36,41,186,10,47,211,860,275,1133,14,57,43,122,62,185,118,364,390,1494,4,13,8,24,3,17,33,107,49,162,3,9,16,32,33,68,53,111,103,269,14,36,1028,2823
LGA26980,14628,29232,155,815,2057,9235,211,929,11360,43083,13784,54070,1210,5034,2532,8945,3439,10859,7181,24838,20963,78907,46,218,399,1278,83,277,1519,3862,2050,5634,345,1070,1015,2357,2501,5351,3862,8778,5910,14410,839,1796,42332,124349
LGA27070,15522,31284,453,2555,2473,11690,681,3112,15718,60941,19327,78305,1694,7235,1934,6945,5562,18307,9186,32489,28515,110793,111,520,571,2088,313,1130,3020,8382,4013,12127,490,1614,778,1825,3389,7630,4662,11068,8675,23199,839,1797,53550,167067
LGA27170,3975,7838,71,412,445,2074,100,461,2447,9555,3067,12504,193,785,313,1032,621,1909,1125,3721,4188,16227,23,94,153,550,77,261,912,2508,1155,3416,57,186,189,404,514,1063,761,1655,1916,5070,127,265,10211,29399
LGA27260,15612,31557,492,2967,2831,13749,678,3187,20886,79897,24878,99802,1422,6091,2085,7229,4107,13426,7613,26742,32496,126549,185,946,714,2802,294,1109,3511,9989,4711,14848,420,1408,847,1931,2705,6122,3965,9471,8673,24314,728,1566,57508,183981
LGA27350,10340,20193,17,102,409,1835,58,246,3912,14203,4395,16376,220,857,570,1918,752,2352,1540,5128,5931,21503,19,99,158,558,36,130,906,2352,1113,3138,103,310,414,922,976,2067,1499,3298,2607,6437,659,1371,19536,49506
LGA27450,14790,29378,316,1784,1860,8767,492,2217,9722,38167,12391,50937,1322,5561,1577,5443,4212,13540,7115,24553,19503,75485,93,412,444,1544,204,686,2032,5421,2775,8061,357,1138,721,1605,2420,5204,3502,7949,6268,16010,449,943,41016,121822
LGA27630,864,1706,11,67,64,308,14,47,292,1213,381,1633,25,93,67,214,109,338,200,642,578,2273,3,13,20,80,9,24,91,260,126,377,9,26,22,47,90,196,122,261,247,638,12,31,1706,4645
LGA29399,31,58,0,0,0,3,0,0,23,85,20,89,0,0,0,5,3,3,3,13,27,96,0,0,0,3,0,0,13,25,10,32,0,0,0,0,3,3,3,3,11,30,0,0,70,186
LGA29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
