LGA_CODE_2016,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
LGA23810,151,310,193,163,192,35,14,1057,27,15,4,9,16,0,4,83,9,10,6,0,5,0,0,30,247,486,327,286,405,105,41,1904,27,75,52,30,46,9,0,233,42,88,61,26,44,11,0,270,65,162,112,52,90,19,4,505,316,651,434,339,496,127,40,2408,668,512,234,175,178,44,13,1819,14,15,9,7,0,0,0,43,998,1181,679,526,670,170,54,4272
LGA23940,7,10,12,13,9,7,0,55,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,3,8,22,20,16,25,7,0,95,0,0,0,3,3,4,0,13,0,0,0,0,0,0,0,0,0,3,0,3,3,4,0,14,8,24,21,18,26,7,0,111,38,24,13,18,10,3,0,103,0,3,0,0,0,0,0,4,47,42,36,39,37,13,0,217
LGA24130,73,155,98,81,118,51,10,585,3,11,7,6,9,0,0,39,3,3,0,3,0,0,0,14,114,226,186,149,250,98,27,1047,0,6,13,6,12,3,0,43,3,5,3,3,7,3,0,17,3,11,10,8,22,5,0,62,113,241,196,156,270,105,33,1116,92,112,73,36,50,23,4,391,3,3,0,0,0,0,0,11,213,350,268,198,322,123,33,1510
LGA24210,74,234,185,132,184,122,84,1008,14,4,0,5,0,9,10,46,5,8,3,0,4,11,3,30,169,432,362,275,433,324,202,2192,7,20,3,7,11,8,8,73,10,20,17,20,24,12,3,96,20,38,18,30,36,20,12,166,184,467,375,303,464,346,215,2357,171,216,126,87,159,126,80,960,3,3,3,5,0,0,0,19,361,687,501,393,629,479,296,3341
LGA24250,10,36,21,6,25,3,0,106,0,0,0,0,3,0,0,7,0,3,0,0,0,0,0,6,20,61,36,19,30,6,4,171,0,0,0,0,0,0,0,3,0,3,3,3,0,0,0,8,0,3,7,3,0,0,0,8,20,59,42,23,30,6,4,181,21,22,9,7,9,0,0,65,3,0,0,3,0,0,0,5,39,84,52,26,45,9,4,255
LGA24330,83,174,104,68,120,79,35,675,17,9,3,0,3,3,0,40,3,6,12,4,10,12,4,53,177,354,240,156,281,174,105,1483,15,27,17,10,21,18,5,114,21,40,20,9,14,11,9,129,31,67,34,17,40,29,15,242,212,422,276,179,319,208,120,1727,261,243,160,95,138,84,50,1037,8,8,4,0,0,5,0,24,478,671,435,277,458,287,169,2784
LGA24410,158,326,250,188,244,136,63,1355,18,9,7,5,18,3,0,56,8,12,8,5,4,3,5,49,259,559,470,391,597,361,192,2819,3,21,14,5,13,12,3,73,24,48,28,7,9,6,4,128,25,70,44,15,28,17,5,198,278,626,513,408,618,375,198,3019,311,269,179,107,154,64,32,1114,4,7,3,0,5,0,0,22,596,910,695,515,772,439,231,4159
LGA24600,54,88,61,36,70,69,50,430,14,3,3,3,3,4,5,35,6,0,3,0,0,3,3,13,159,206,112,100,178,167,128,1056,9,17,6,12,12,8,8,67,17,34,15,8,12,13,5,100,20,52,22,20,20,23,15,169,183,255,132,119,202,186,143,1224,239,211,106,92,148,149,82,1020,12,11,5,5,0,7,0,33,426,478,240,208,350,343,224,2279
LGA24650,284,458,295,207,284,106,42,1682,37,22,19,19,18,11,6,124,5,20,8,6,12,4,3,52,500,880,623,438,683,295,135,3559,41,81,49,32,38,11,3,262,47,128,63,46,49,12,5,347,97,207,112,80,84,26,11,613,596,1085,736,514,775,318,149,4173,1015,960,486,253,306,108,63,3185,23,31,9,4,5,5,0,77,1633,2075,1228,772,1081,435,209,7434
LGA24780,115,193,123,89,128,32,3,685,16,4,3,0,3,0,0,28,0,10,6,4,3,0,0,26,186,322,250,203,299,78,17,1358,13,35,18,8,11,0,0,85,21,41,22,15,12,3,0,123,33,78,35,27,25,3,0,210,223,403,292,232,319,83,15,1567,418,396,175,112,129,18,6,1260,8,6,8,5,3,0,0,34,653,805,468,349,448,104,20,2861
