LGA_CODE_2016,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
LGA21270,62,87,179,203,320,347,121,33,17,1369,3,4,11,19,38,51,28,3,0,161,0,0,0,0,0,0,0,0,0,0,4,3,7,0,12,12,0,0,0,35,0,0,0,0,0,0,0,0,0,5,0,0,0,5,3,4,0,0,0,17,0,0,0,3,4,4,0,0,0,13,23,13,12,26,30,18,0,0,0,122,17,5,6,15,15,18,4,0,0,85,0,0,0,3,11,3,0,0,0,19,0,0,0,3,0,0,0,0,0,8,0,0,12,4,12,0,0,0,0,24,0,0,0,0,0,0,0,0,0,4,0,0,8,5,5,4,0,0,0,24,0,3,4,4,5,11,0,0,0,29,0,0,8,8,16,7,13,0,0,54,0,9,34,33,60,43,7,0,0,182,9,12,20,47,74,89,10,0,0,262,0,0,0,4,0,0,0,0,0,4,0,4,4,8,0,3,3,0,0,18
LGA21370,551,686,1341,1479,1892,1795,528,110,19,8401,30,26,62,101,140,159,68,22,3,616,0,0,4,0,0,0,0,0,0,6,36,44,71,106,119,96,9,0,0,471,0,3,14,11,17,3,0,0,0,48,3,6,17,24,47,24,3,0,0,127,3,8,14,14,28,12,6,0,0,87,169,85,147,192,235,168,29,3,0,1026,135,99,108,111,133,105,6,0,0,698,0,3,16,23,43,30,14,0,0,125,11,0,10,7,12,8,4,0,0,43,0,9,33,29,44,25,3,0,0,147,5,5,19,21,14,7,4,0,0,77,6,22,72,65,68,33,6,0,0,286,3,15,30,56,67,45,6,0,0,217,0,11,47,68,100,64,20,0,0,317,31,23,144,181,223,169,27,9,0,805,10,110,311,359,522,448,72,8,3,1837,19,20,15,26,15,12,3,0,0,108,14,40,53,42,55,46,10,3,0,267
LGA21450,1276,2205,5541,5544,5103,3317,869,125,24,24000,10,26,62,91,109,92,54,29,0,475,0,0,10,12,12,3,0,0,0,33,62,91,240,309,361,186,30,0,0,1295,0,8,43,27,25,15,4,0,0,131,12,50,173,253,203,77,11,0,0,778,11,45,169,154,181,88,8,0,0,667,323,452,673,519,516,307,36,3,0,2836,506,290,219,153,149,67,17,0,0,1402,12,42,120,107,165,74,24,0,0,545,15,23,35,45,48,8,3,0,0,183,8,52,178,155,120,59,11,0,0,584,9,67,131,86,69,36,7,0,0,413,10,81,276,293,232,116,35,0,0,1056,17,70,196,184,191,103,29,0,0,784,5,47,231,250,236,116,24,0,0,906,49,139,642,715,641,379,47,0,0,2601,53,400,1045,942,1038,687,105,5,0,4272,45,74,85,72,65,28,8,0,0,377,36,79,243,159,158,90,15,0,0,788
LGA21610,3454,7350,17532,18856,16123,10051,2025,182,31,75599,16,29,72,108,124,80,27,9,0,465,0,4,6,13,8,5,0,0,0,40,120,283,925,1204,1340,770,90,0,0,4740,0,28,141,125,84,38,0,0,0,425,25,133,443,486,420,231,43,0,0,1786,34,156,538,601,580,331,33,0,0,2275,1187,1575,1856,1614,1510,809,92,5,0,8657,1425,772,636,495,453,211,27,3,0,4022,16,112,317,416,445,280,35,3,0,1625,45,85,205,152,110,44,7,0,0,657,18,186,753,658,504,195,27,0,0,2341,28,133,249,211,162,100,16,3,0,908,36,272,938,832,570,328,62,6,0,3041,36,196,601,623,600,366,58,6,0,2484,13,110,580,734,683,421,65,9,0,2615,139,474,1439,1668,1558,910,114,6,0,6309,147,1093,3459,3566,3299,2060,266,15,0,13916,119,168,189,172,145,75,15,0,0,883,90,299,643,505,493,231,44,7,4,2309
LGA21670,133,200,347,411,524,514,131,33,7,2290,0,9,13,10,12,10,9,0,0,73,0,0,0,0,4,0,0,0,0,3,16,11,24,27,61,30,3,0,0,171,0,0,0,0,0,0,0,0,0,4,0,0,5,0,6,3,0,0,0,18,3,0,0,6,8,0,0,0,0,18,56,41,44,47,74,59,11,0,0,327,44,22,27,28,26,28,8,0,0,194,0,0,3,4,11,9,3,0,0,35,0,0,0,3,10,3,0,0,0,22,0,4,11,17,8,4,0,0,0,41,0,0,0,5,4,0,0,0,0,11,0,0,13,13,17,15,7,0,0,65,0,3,3,4,19,18,7,0,0,53,0,3,13,23,43,19,7,3,0,110,0,8,32,57,58,51,10,0,0,219,7,37,65,82,164,125,18,0,0,498,0,4,3,5,6,8,7,0,0,35,0,4,13,11,16,14,3,0,0,67
LGA21750,292,436,909,939,1044,1011,359,75,14,5079,4,20,42,53,78,71,70,18,0,339,0,0,0,0,0,0,0,0,0,0,32,61,72,65,66,40,10,0,0,347,0,0,9,0,0,7,0,0,0,10,3,6,10,18,17,18,0,0,0,70,4,8,5,9,20,4,4,0,0,49,93,46,74,80,115,108,16,0,0,535,108,68,86,72,92,57,15,0,0,492,0,10,14,13,18,19,4,0,0,71,3,3,14,11,11,4,7,0,0,49,3,0,14,18,19,11,0,0,0,63,0,4,12,8,19,6,3,0,0,60,7,6,41,32,35,33,6,0,0,153,3,9,23,39,45,43,12,3,0,178,0,3,36,57,83,66,9,0,0,268,12,19,74,88,131,111,20,3,0,445,13,62,168,171,289,255,47,7,0,1008,3,7,8,11,12,9,9,0,0,55,12,12,26,32,22,17,10,0,0,124
LGA21830,245,317,534,658,908,808,331,75,13,3876,25,38,76,126,189,144,97,24,0,730,0,0,0,0,3,0,0,0,0,4,6,11,24,21,34,14,3,0,0,125,0,0,0,0,4,0,0,0,0,5,3,0,4,5,8,8,3,0,0,38,6,4,3,12,8,11,0,0,0,44,80,26,55,58,77,62,17,0,0,381,50,39,31,40,53,54,9,0,0,275,0,0,4,8,21,10,5,0,0,56,0,0,7,3,3,4,0,0,0,24,0,3,4,9,7,4,0,0,0,30,0,0,3,3,0,5,0,0,0,9,0,9,19,34,14,13,3,0,0,104,6,0,9,20,26,19,7,0,0,86,0,3,22,30,28,31,6,0,0,128,4,14,58,78,117,86,12,0,0,369,12,46,84,110,186,192,25,0,3,659,0,4,0,6,11,4,0,0,0,24,4,6,13,18,12,11,4,0,0,73
LGA21890,997,3137,10606,8909,6991,4017,832,95,19,35606,3,13,35,16,24,6,0,0,0,103,3,0,14,13,3,3,0,0,0,37,52,89,337,298,294,172,28,3,0,1267,0,12,76,74,42,17,0,0,0,221,10,26,139,140,106,50,10,0,0,480,17,59,201,197,157,59,9,0,0,704,403,809,959,593,558,264,50,0,0,3642,405,699,770,300,257,128,13,4,0,2576,3,32,184,183,159,74,7,0,0,650,22,63,282,241,152,58,4,0,0,823,3,84,493,438,323,95,11,3,0,1460,10,53,156,117,83,24,5,0,0,448,10,215,1174,986,619,239,36,4,0,3289,5,130,381,299,261,170,24,0,0,1278,8,82,589,770,684,293,52,3,0,2483,63,308,1345,1303,1205,702,104,5,3,5031,50,489,2133,1689,1459,952,146,10,0,6916,40,140,266,240,162,51,8,0,0,911,30,120,332,285,217,125,30,0,0,1141
LGA22110,455,626,1395,1499,1897,1938,706,135,16,8681,7,14,54,50,85,104,84,32,5,426,0,0,0,0,0,0,0,0,0,3,25,26,79,72,97,96,16,0,0,418,0,3,11,7,10,5,0,0,0,35,3,0,22,27,46,31,7,0,0,137,4,7,20,18,28,14,4,0,0,96,160,104,159,170,242,187,38,5,0,1067,169,95,114,158,175,154,31,5,3,902,3,3,5,17,41,47,14,0,0,136,3,11,7,7,13,14,4,0,0,57,0,8,32,27,36,22,3,0,0,126,7,5,24,22,21,23,5,3,0,113,0,18,48,61,69,67,26,3,0,286,9,13,31,68,70,61,13,3,0,268,4,23,79,108,129,84,18,0,0,440,19,48,173,229,331,257,54,3,0,1110,19,119,308,379,593,554,89,3,3,2060,7,8,17,20,25,16,3,0,0,98,9,29,52,58,57,50,19,0,0,286
LGA22170,1599,2940,7282,7476,7176,5278,1228,109,23,33101,0,13,27,37,38,25,5,0,0,140,0,0,4,6,9,3,3,0,0,24,52,115,307,414,476,313,59,3,0,1746,3,14,53,40,45,22,0,0,0,178,10,52,194,225,210,108,20,0,0,821,14,68,216,221,248,129,22,3,0,933,597,747,826,658,757,546,97,9,0,4235,672,418,293,226,219,152,17,0,0,2009,6,51,129,152,189,111,20,0,0,658,21,41,87,88,67,32,6,0,0,344,5,60,233,232,198,110,25,0,0,866,14,69,156,135,112,60,28,0,0,567,13,100,431,449,354,223,55,0,0,1633,15,70,231,266,303,208,37,3,0,1132,4,58,345,375,402,233,49,9,0,1482,52,230,807,861,882,612,99,5,0,3552,75,550,1588,1513,1774,1339,261,11,3,7111,71,76,99,103,85,49,15,3,0,497,52,145,305,227,255,138,42,0,0,1169
