LGA_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
LGA26610,166,155,323,524,475,1003,259,256,517,35,34,71,818,771,1591,469,443,911,180,182,355,15,19,36,663,642,1306,11,22,37,15,19,38,65,43,105,60,94,159,10,0,11,159,186,342,22,78,101,9,30,43,14,19,31,19,72,89,0,3,3,65,201,272,18,20,39,23,46,65,3,3,6,37,70,105,1424,1324,2752,3342,3348,6690
LGA26670,33,30,66,138,134,278,57,31,92,23,16,35,221,181,404,167,166,328,26,10,38,18,15,35,210,194,399,6,4,8,0,3,6,20,9,28,8,17,25,3,0,4,40,35,74,12,17,26,4,5,11,3,0,3,5,35,39,0,0,0,19,51,73,3,4,11,12,15,25,0,0,0,15,22,39,281,243,523,818,762,1581
LGA26700,200,210,407,634,557,1194,425,387,812,132,154,289,1187,1100,2291,365,359,723,436,461,904,89,96,191,895,916,1812,47,47,92,15,51,63,87,50,132,57,100,160,0,6,4,207,252,456,53,108,162,24,53,73,6,24,26,55,158,206,0,3,3,136,340,472,17,18,39,22,65,90,0,0,0,43,83,130,1130,1317,2447,3798,4216,8011
LGA26730,238,201,441,732,669,1399,593,614,1199,65,56,122,1385,1337,2724,682,647,1329,357,426,779,51,53,106,1086,1124,2216,67,86,149,11,71,85,99,69,170,98,190,284,0,3,6,278,417,692,133,249,387,65,93,162,28,35,58,81,178,258,0,0,3,304,561,868,25,21,46,45,89,135,0,4,4,65,120,181,1256,1398,2655,4627,5152,9777
LGA26810,342,296,637,1176,1079,2258,433,409,844,152,140,283,1757,1629,3387,727,712,1442,398,422,814,180,204,389,1304,1336,2642,44,41,88,19,57,72,109,66,176,70,162,230,0,3,3,246,332,574,85,147,232,19,81,100,19,43,66,82,225,308,0,0,3,206,498,710,36,47,80,60,105,164,0,8,8,93,157,247,2651,1853,4501,6596,6098,12694
LGA26890,31,27,52,113,107,225,34,22,56,4,4,7,148,141,283,117,138,257,0,0,0,8,3,12,125,139,269,0,3,5,0,3,3,10,4,15,8,3,6,0,0,3,16,15,30,10,7,22,0,3,9,4,7,9,3,23,26,0,0,0,22,40,61,3,3,4,3,11,12,0,0,0,8,10,18,119,134,253,462,502,966
LGA26980,1486,1393,2876,4807,4437,9249,1090,1136,2233,466,547,1009,6367,6123,12490,3161,2817,5980,1036,1114,2146,1120,1369,2491,5318,5303,10620,503,340,842,353,424,773,325,123,446,390,526,909,8,11,18,1578,1421,2997,4441,4524,8966,1421,1425,2845,306,320,623,749,1064,1812,27,19,49,6941,7362,14302,305,310,620,442,755,1193,10,9,20,756,1076,1830,3453,3924,7376,25887,26605,52493
LGA27070,1934,1742,3679,6191,5550,11737,2272,2328,4599,528,556,1088,8986,8440,17427,3736,3630,7366,1910,1826,3736,546,546,1092,6193,5999,12190,510,486,995,300,489,797,512,242,756,506,666,1166,16,8,30,1845,1890,3743,2531,2978,5516,906,1048,1954,228,283,513,551,898,1445,17,27,46,4230,5234,9466,378,462,839,423,777,1198,21,25,43,816,1267,2082,5583,5911,11494,29595,30478,60072
LGA27170,411,395,807,1107,1060,2164,478,449,923,239,257,490,1820,1757,3575,752,675,1426,402,423,829,162,187,349,1325,1280,2601,163,116,280,68,106,179,179,118,297,134,249,383,6,0,8,554,593,1142,101,206,307,54,131,189,22,50,76,131,277,408,0,0,0,309,674,984,118,71,195,65,132,191,6,3,12,190,207,396,1376,1366,2740,5971,6271,12250
LGA27260,2280,2168,4451,7313,6580,13897,2640,2532,5169,1435,1439,2880,11384,10557,21939,4133,3951,8087,1815,1963,3785,979,1020,1995,6923,6938,13864,473,436,910,309,568,874,492,212,699,488,787,1273,15,17,35,1782,2011,3795,2221,2457,4675,962,1162,2123,217,313,533,761,1092,1850,19,30,49,4178,5047,9226,541,670,1218,568,1213,1781,11,25,41,1124,1911,3037,7581,6593,14178,35260,35232,70493
LGA27350,441,461,903,1433,1349,2776,278,298,580,161,216,376,1877,1855,3731,638,765,1411,273,227,500,302,353,651,1213,1351,2561,139,131,272,199,262,461,70,63,136,291,307,603,5,7,20,714,771,1491,1355,1867,3218,986,1194,2177,153,212,360,914,1380,2296,9,10,23,3419,4659,8074,112,220,331,245,419,662,3,14,16,355,653,1010,4051,4189,8240,12070,13942,26008
LGA27450,1433,1267,2703,5006,4603,9603,935,937,1871,732,670,1400,6673,6204,12879,3129,2999,6129,936,1056,1996,1025,1152,2178,5086,5207,10298,251,313,567,124,176,294,763,285,1053,458,535,991,9,11,21,1610,1321,2933,1005,1356,2360,229,464,695,138,210,353,379,902,1286,3,12,22,1753,2951,4711,123,158,283,270,567,837,5,9,19,395,735,1135,4081,4319,8393,21036,22014,43047
LGA27630,47,32,77,191,139,335,73,80,155,3,6,4,265,226,497,196,195,387,3,0,3,7,4,18,214,197,408,3,0,5,5,3,8,9,6,12,10,14,30,0,0,0,22,25,53,8,23,30,4,10,17,3,3,10,10,20,35,0,0,0,22,60,78,15,11,24,7,10,16,0,0,0,22,28,42,320,334,649,908,900,1802
LGA29399,4,6,12,20,30,48,0,0,3,4,0,3,25,29,54,9,4,11,0,3,4,3,0,0,13,12,19,0,0,0,0,0,0,0,0,3,4,3,5,0,0,0,9,3,9,0,7,12,0,3,4,3,0,3,7,9,10,0,0,0,6,17,24,0,0,0,0,0,0,0,0,0,0,0,0,126,116,237,182,179,365
LGA29499,27,25,49,63,82,139,9,10,17,7,8,23,76,101,179,49,53,102,5,3,4,20,8,30,67,66,137,16,25,43,11,22,35,7,4,13,13,27,38,0,3,4,55,82,139,78,125,206,43,45,90,6,15,23,12,29,43,3,0,4,147,220,366,18,26,49,36,30,66,0,0,0,58,63,114,1310,734,2042,1743,1279,3025
LGA29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,0,6
