LGA_CODE_2016,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
LGA21270,987,489,428,530,814,939,755,541,330,5808,4,3,0,0,3,5,0,0,0,13,0,0,0,0,3,0,0,4,0,13,16,39,21,7,25,28,20,10,3,180,0,0,3,0,0,0,0,0,0,10,0,4,3,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,38,30,13,36,39,28,11,5,219,22,43,33,15,38,38,28,11,5,233,1009,532,460,542,857,978,774,554,335,6041
LGA21370,6462,3815,3262,3718,4815,4960,4036,2496,1106,34669,14,5,11,7,7,5,6,9,4,71,14,28,21,20,21,42,26,9,3,182,110,193,185,117,151,156,158,92,39,1204,7,0,7,3,11,12,27,3,0,61,9,3,3,3,14,4,12,3,0,51,0,0,5,0,5,9,5,0,0,38,0,0,0,0,0,0,0,3,0,4,4,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,6,0,0,11,0,0,0,0,0,0,0,0,0,0,142,233,223,147,206,230,226,116,43,1565,155,241,231,159,212,233,234,122,44,1633,6617,4060,3491,3872,5027,5192,4268,2618,1151,36301
LGA21450,21305,11643,13138,12797,12033,9110,6370,2928,1106,90439,14,22,11,8,11,9,12,6,3,109,5,5,7,9,4,9,13,3,0,60,284,402,389,230,184,177,154,68,46,1927,4,4,4,4,3,13,8,6,0,42,3,3,0,0,3,5,0,0,0,15,0,0,3,3,4,8,0,0,0,17,3,0,0,0,3,0,5,0,0,16,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,302,415,407,240,204,213,186,77,48,2090,317,441,419,256,217,221,197,87,53,2193,21613,12083,13559,13052,12251,9325,6567,3017,1159,92628
LGA21610,66743,40331,42904,43841,38757,29026,17177,8406,3279,290454,41,40,46,29,27,27,20,18,8,263,10,23,30,32,32,46,20,10,3,204,800,1027,1083,673,491,459,357,254,156,5305,24,17,20,27,42,29,15,10,0,189,12,12,14,11,17,9,6,0,0,77,3,10,18,9,5,8,6,9,0,65,0,0,4,3,6,8,9,0,0,38,0,3,4,10,0,0,0,0,0,21,3,0,9,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,854,1100,1187,757,587,566,420,281,159,5915,897,1142,1231,792,610,592,445,304,174,6182,67639,41470,44141,44628,39366,29621,17620,8703,3449,296635
LGA21670,1962,1226,939,1156,1639,1930,1885,1119,427,12278,3,6,3,0,3,4,3,0,4,27,0,0,0,0,3,5,6,0,0,24,36,69,59,43,44,57,40,17,16,392,0,4,0,0,3,3,0,0,0,12,3,0,0,4,0,7,3,3,0,14,0,0,0,5,0,4,3,0,0,13,0,0,0,0,0,0,0,3,0,7,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,42,81,67,57,55,75,59,30,23,474,44,83,66,54,58,83,61,28,20,496,2009,1309,1012,1207,1696,2012,1943,1143,447,12773
LGA21750,3599,2098,2050,2147,2684,2848,2189,1267,543,19426,3,7,4,0,7,3,6,3,0,34,3,6,10,3,4,3,5,3,0,31,96,125,123,88,92,134,77,43,23,804,3,8,9,5,6,11,10,0,0,61,6,9,10,0,9,9,7,7,0,55,0,5,0,3,3,3,3,0,0,20,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,106,147,155,104,117,165,106,52,27,984,110,156,162,100,125,164,111,55,27,1016,3717,2255,2208,2249,2804,3015,2301,1322,570,20441
LGA21830,2850,1611,1289,1562,2166,2214,1747,1086,431,14957,7,3,0,4,0,5,7,0,0,23,3,5,0,4,9,5,7,0,0,32,59,77,89,50,62,63,38,20,14,466,0,3,0,4,8,4,3,0,0,30,0,0,4,0,0,8,4,6,0,20,0,0,0,4,0,3,0,0,0,9,0,0,0,0,0,3,3,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,88,102,57,81,82,51,27,13,568,65,91,102,59,81,87,56,29,15,590,2918,1702,1391,1620,2248,2299,1799,1116,454,15547
LGA21890,22920,17546,27245,22008,18481,13117,8972,7352,3497,141133,6,45,22,11,12,24,20,18,10,161,7,55,36,19,17,32,27,9,3,197,311,745,777,458,396,334,252,197,105,3567,5,14,21,13,18,18,13,3,3,100,0,5,11,0,10,6,5,7,0,50,4,9,7,4,3,15,9,0,0,53,0,22,5,3,10,3,0,0,0,47,0,8,0,4,0,0,0,0,0,14,0,0,7,3,0,0,4,0,0,19,0,0,0,0,0,0,0,0,0,0,327,864,866,505,448,409,316,211,110,4050,337,904,893,512,462,431,330,224,121,4206,23253,18450,28134,22523,18938,13546,9301,7573,3612,145334
LGA22110,6942,3735,3567,4019,5370,6507,6438,3418,1296,41294,4,8,9,3,12,14,12,5,4,75,3,5,13,7,13,34,26,12,0,121,178,242,243,225,247,382,323,131,50,2013,0,0,16,7,5,16,14,3,0,71,0,0,0,0,9,15,14,0,0,46,6,4,7,3,5,5,9,0,0,46,7,0,0,3,8,7,17,0,0,44,0,0,0,0,0,0,0,0,0,3,0,0,0,5,7,0,0,3,0,15,0,0,0,0,0,0,0,0,0,0,195,266,271,249,288,469,403,153,57,2350,193,273,277,253,306,482,416,157,56,2421,7138,4012,3847,4272,5672,6992,6851,3574,1350,43716
LGA22170,24434,15753,17679,17916,18116,15344,10880,5817,2556,128499,7,17,13,19,15,16,12,13,6,120,11,7,12,11,21,27,20,4,0,117,444,612,648,407,402,333,330,234,168,3587,3,8,13,18,17,23,28,4,0,102,0,8,7,7,7,6,4,0,0,35,0,6,6,0,7,7,3,3,4,46,0,8,0,0,6,4,0,0,0,30,0,0,0,0,0,0,0,0,0,4,8,0,0,3,3,0,3,0,0,19,0,0,0,0,0,0,0,0,0,0,464,648,696,456,461,413,388,246,176,3943,471,666,705,472,478,428,398,258,180,4059,24909,16421,18385,18389,18598,15770,11281,6076,2738,132558
LGA22250,1652,981,800,963,1332,1517,1390,902,351,9884,4,0,3,0,3,3,5,0,0,18,0,5,3,3,0,0,0,4,0,15,25,58,46,24,27,43,47,25,16,312,4,0,4,0,0,5,3,0,0,19,0,0,5,4,4,0,0,0,0,10,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,3,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,62,59,36,30,54,56,31,16,370,35,62,57,33,35,60,62,26,16,394,1680,1046,861,993,1373,1574,1454,927,369,10280
LGA22310,25245,17104,21100,19424,18295,14480,9960,6069,3941,135623,21,10,24,14,6,7,12,16,9,119,6,6,8,25,8,23,25,7,0,114,295,380,551,323,291,309,247,206,184,2796,5,9,14,9,9,10,15,0,0,71,0,12,10,3,3,11,3,0,0,36,3,6,12,3,3,3,8,4,0,44,0,4,4,0,0,7,3,4,0,22,0,3,0,0,0,0,0,0,0,6,0,3,0,0,0,0,4,0,0,17,0,0,0,0,0,0,0,0,0,0,306,422,599,360,321,364,316,227,193,3107,325,435,622,369,328,371,329,243,206,3232,25572,17537,21723,19793,18624,14850,10284,6315,4140,138852
LGA22410,3094,1898,1503,2037,2799,2906,2160,1196,512,18125,6,3,3,0,0,3,0,0,0,21,0,3,0,0,4,6,4,0,0,21,57,106,99,58,70,86,69,19,13,582,0,4,3,3,0,6,0,3,0,18,13,20,16,15,16,25,15,0,0,118,0,0,0,3,3,5,3,3,0,20,0,0,4,3,0,13,5,0,0,25,0,0,9,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,130,126,75,93,143,103,26,13,787,76,130,131,80,93,149,100,31,15,812,3177,2030,1635,2122,2899,3054,2261,1229,529,18934
LGA22490,4812,2349,1999,2973,3154,2738,1827,634,215,20698,3,4,0,4,0,3,3,3,0,23,0,3,4,0,0,4,3,0,0,21,68,95,59,58,43,51,39,21,18,454,9,0,3,0,4,7,7,0,0,31,0,0,0,0,0,0,0,0,0,8,0,0,0,3,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,84,97,75,59,54,67,53,27,18,528,85,106,75,66,54,70,54,26,19,545,4893,2452,2076,3039,3210,2803,1879,663,232,21247
LGA22620,20624,13747,12925,12511,13449,13141,9899,5614,2576,104482,21,20,15,7,14,11,11,5,11,110,8,47,32,23,32,38,42,20,3,253,419,925,644,384,358,393,267,176,135,3702,13,14,15,10,17,17,26,8,0,113,0,16,12,8,8,31,13,4,0,94,0,5,11,6,20,17,3,7,0,71,0,4,4,0,6,6,16,0,0,39,0,3,3,0,3,0,3,0,0,21,0,3,8,3,6,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,445,1009,729,445,444,502,371,215,144,4308,471,1030,744,452,457,511,385,217,152,4416,21094,14776,13665,12962,13907,13653,10281,5829,2724,108899
LGA22670,27032,20523,26293,20124,17386,15373,11364,6678,2872,147648,37,30,35,44,28,18,18,15,3,231,6,13,30,14,28,14,11,4,0,107,413,516,728,461,379,306,227,158,117,3313,11,15,21,19,28,9,9,4,0,118,3,7,7,7,7,7,0,0,0,43,7,3,18,10,3,0,6,0,0,52,0,3,0,5,4,6,3,0,0,17,0,0,0,0,3,0,0,0,0,3,6,0,4,3,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,447,559,817,516,443,347,250,167,125,3671,479,595,851,556,472,368,268,182,123,3899,27507,21118,27150,20682,17859,15737,11635,6861,2998,151552
LGA22750,41087,28354,28112,28062,28728,27018,21172,12311,6083,220936,34,44,31,19,16,19,27,17,23,225,18,70,39,26,34,31,32,13,3,265,756,1483,1126,721,686,695,616,358,251,6690,11,35,23,32,33,52,44,3,3,237,6,14,19,10,19,14,27,7,0,109,3,16,11,9,13,19,15,0,0,92,3,16,7,8,10,20,13,0,0,75,3,3,7,3,3,6,0,0,0,24,3,0,13,8,5,10,0,0,0,35,0,0,0,0,0,0,0,0,0,0,803,1641,1240,818,799,846,740,386,257,7525,836,1684,1263,836,813,862,768,408,278,7750,41925,30035,29378,28899,29549,27879,21944,12716,6360,228686
LGA22830,12326,7354,7395,7430,8176,7400,5501,3179,1413,60175,15,19,13,17,8,5,4,6,3,104,12,29,16,15,26,26,12,4,0,138,287,416,381,298,263,257,187,125,53,2267,5,7,3,15,10,11,4,5,0,60,0,0,6,12,3,9,0,0,0,38,4,4,5,3,4,3,5,0,0,29,0,0,0,4,3,14,8,3,0,36,0,0,0,0,4,0,0,0,0,3,0,0,0,3,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,308,458,414,345,315,328,216,136,57,2577,321,477,430,364,326,336,225,144,60,2678,12646,7832,7825,7793,8498,7740,5726,3322,1472,62854
