LGA_CODE_2016,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_Nthern_Ireland_0_4,F_Nthern_Ireland_5_14,F_Nthern_Ireland_15_24,F_Nthern_Ireland_25_44,F_Nthern_Ireland_45_54,F_Nthern_Ireland_55_64,F_Nthern_Ireland_65_74,F_Nthern_Ireland_75_84,F_Nthern_Ireland_85ov,F_Nthern_Ireland_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_SE_Europe_nfd_0_4,F_SE_Europe_nfd_5_14,F_SE_Europe_nfd_15_24,F_SE_Europe_nfd_25_44,F_SE_Europe_nfd_45_54,F_SE_Europe_nfd_55_64,F_SE_Europe_nfd_65_74,F_SE_Europe_nfd_75_84,F_SE_Europe_nfd_85ov,F_SE_Europe_nfd_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_FYROM_0_4,F_FYROM_5_14,F_FYROM_15_24,F_FYROM_25_44,F_FYROM_45_54,F_FYROM_55_64,F_FYROM_65_74,F_FYROM_75_84,F_FYROM_85ov,F_FYROM_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
LGA22620,0,0,0,14,6,0,4,0,0,24,0,8,39,111,33,15,7,6,0,225,3,0,0,19,0,0,0,0,0,18,0,0,3,7,3,26,43,26,12,121,3,10,24,125,70,89,40,15,0,371,0,0,0,5,3,0,12,9,3,29,0,7,4,19,0,0,3,0,0,29,0,0,0,20,3,3,0,0,0,40,3,16,20,125,56,35,18,3,0,275,0,0,0,0,0,0,3,7,7,13,0,0,0,9,21,48,42,25,8,159,0,0,7,6,5,10,3,0,0,32,0,9,15,38,11,12,17,0,3,105,0,0,0,0,4,0,6,4,0,9,0,10,4,39,11,6,9,6,3,94,0,0,5,18,3,3,0,0,0,28,10,81,71,51,16,3,0,0,0,237,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,4,0,0,8,0,14,10,29,16,9,16,3,0,96
LGA22670,0,9,26,144,79,142,124,90,58,675,9,32,122,291,78,53,15,15,6,614,0,8,5,63,3,3,0,0,0,82,0,7,4,10,3,27,55,66,49,210,31,176,263,369,98,93,38,13,9,1088,0,0,0,3,4,4,17,14,6,51,37,145,139,402,24,28,11,0,0,784,0,0,4,5,7,0,0,0,0,16,20,48,152,478,244,185,79,25,10,1239,0,0,5,46,46,105,85,60,50,398,0,0,4,14,19,27,72,49,20,202,4,7,7,53,23,30,10,3,4,141,0,3,17,45,22,34,47,27,0,207,0,0,0,49,65,92,76,72,23,378,35,156,234,1204,387,347,308,155,95,2910,0,3,15,66,13,13,6,0,0,110,12,135,108,353,85,39,12,0,0,739,0,0,16,142,97,103,71,30,9,480,0,7,6,96,119,66,52,12,7,369,5,17,17,22,8,5,10,0,3,81
LGA22750,0,4,8,15,9,3,3,3,0,43,3,5,38,91,27,21,16,0,0,201,0,0,9,31,3,0,0,0,0,49,0,3,13,24,28,102,265,174,89,702,15,64,104,398,219,177,108,30,18,1121,0,3,3,24,31,42,57,33,5,205,5,36,34,56,3,3,3,0,0,140,0,0,0,28,20,7,4,4,0,67,13,44,94,294,174,133,77,9,8,838,0,0,0,41,19,43,44,47,54,244,3,18,12,68,80,162,180,142,34,707,0,16,25,35,26,26,14,0,0,137,3,20,38,107,71,41,35,24,6,331,0,0,0,13,37,50,61,47,21,229,3,11,16,85,20,20,14,3,8,184,3,0,7,22,4,4,4,0,0,48,9,89,63,115,41,13,7,3,0,340,0,0,5,36,41,90,79,60,16,329,0,0,5,19,16,3,11,8,0,64,4,42,37,122,48,31,36,5,3,327
LGA22830,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,3,3,3,0,0,0,0,12,0,0,0,10,4,28,38,10,8,101,6,43,34,110,66,47,28,8,3,349,0,0,0,0,0,4,3,7,0,19,0,22,22,33,0,0,0,0,0,91,0,0,0,4,3,0,0,0,0,8,3,17,20,105,51,51,26,7,0,269,0,0,0,3,0,3,0,0,3,16,0,0,0,0,6,15,23,7,3,57,0,0,3,7,3,0,0,0,0,16,0,8,6,20,9,7,3,0,0,53,0,0,0,0,0,3,5,3,0,11,6,8,3,30,16,3,3,0,0,68,0,0,30,131,3,3,3,0,0,164,0,0,8,29,18,8,3,0,0,63,0,0,0,3,7,8,5,10,0,35,0,0,7,39,35,20,17,3,0,120,3,11,5,15,8,8,0,0,0,49
LGA22910,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,9,0,0,0,3,4,13,18,16,4,55,0,3,3,28,28,32,22,0,0,122,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,3,6,0,0,0,28,0,0,0,0,0,3,4,0,0,8,0,0,0,3,0,9,15,5,3,33,0,0,0,0,0,0,0,0,0,6,0,3,0,3,7,7,3,0,0,19,0,0,0,0,4,0,0,4,3,15,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,10,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,6,3,18,3,0,0,37
LGA22980,0,0,0,0,0,0,0,0,0,0,0,0,4,19,9,6,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,0,10,0,0,0,9,0,3,4,0,0,18,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,8,3,4,3,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,8,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5
LGA23110,0,0,9,24,8,11,8,3,0,65,0,5,8,73,24,14,7,3,0,144,0,0,14,38,0,3,0,0,0,51,0,0,0,16,14,9,25,12,7,84,30,68,97,446,181,118,34,13,9,987,0,0,0,18,12,16,8,5,0,59,4,0,11,37,4,0,0,0,0,54,0,0,0,9,3,4,0,0,0,19,3,20,58,262,109,111,77,10,6,658,0,0,0,37,13,32,35,30,35,195,3,5,3,46,42,68,56,40,24,284,5,8,12,33,11,12,0,3,0,89,3,0,9,83,29,14,8,7,7,152,0,0,0,11,28,47,32,38,12,161,0,3,7,45,15,12,4,5,3,99,0,3,0,14,8,0,0,0,0,28,11,40,19,106,37,12,3,0,0,231,0,0,0,43,55,92,92,40,9,336,0,0,0,8,7,4,0,0,3,22,0,13,16,80,27,28,8,0,0,175
LGA23190,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,11,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,6,12,7,0,22,0,0,12,17,7,11,3,3,0,52,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,0,0,0,3,0,3,0,3,0,7,4,7,4,37,5,8,0,0,0,67,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,7,8,0,26,0,0,0,4,0,0,0,0,0,3,0,0,3,6,0,3,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,11,0,0,0,3,0,0,0,0,0,3,0,9,7,3,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,13,0,0,0,4,4,0,0,0,0,8
LGA23270,0,3,10,36,19,23,11,4,5,107,0,4,8,14,8,3,3,3,0,47,4,40,75,157,7,3,3,0,0,280,0,3,3,7,10,29,48,23,4,129,60,315,311,543,220,124,51,11,3,1633,0,0,3,0,6,15,28,5,7,61,42,89,91,433,44,24,8,0,0,725,0,3,3,18,21,3,5,0,0,52,8,73,152,593,338,277,90,24,14,1564,0,0,0,47,28,48,31,18,15,186,0,3,6,31,40,68,76,53,11,292,8,30,36,57,34,22,10,5,0,200,4,24,17,54,40,20,16,5,0,186,0,0,0,8,31,23,32,20,4,121,18,113,137,626,368,140,100,38,14,1543,0,0,3,30,4,5,3,0,0,49,3,13,23,151,45,18,5,0,0,255,0,0,3,44,38,52,27,5,0,179,14,52,149,960,1021,507,293,115,26,3132,5,23,36,54,22,22,4,0,0,161
LGA23350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,12,6,8,5,37,0,4,0,28,17,26,7,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,5,3,6,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,5,0,17,0,0,0,0,3,0,0,0,0,4,0,0,0,3,0,3,4,0,0,10,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,6,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,4,0,0,17
LGA23430,0,11,15,88,70,68,77,35,10,375,0,0,5,12,8,6,10,4,0,43,0,0,11,33,3,3,0,0,0,48,0,5,3,23,19,26,54,35,19,193,16,77,112,422,282,183,85,32,14,1216,0,0,0,24,20,18,29,19,4,115,4,8,7,47,11,8,6,0,0,90,0,0,0,12,13,10,0,0,0,43,5,40,65,314,182,165,63,15,5,854,0,6,0,88,50,79,73,30,13,347,0,26,23,95,82,89,111,81,33,544,0,13,13,63,32,17,15,0,0,151,9,40,63,226,114,75,62,26,5,625,0,0,0,9,22,22,32,17,6,110,0,16,27,244,125,166,143,66,37,822,0,3,13,56,8,11,0,0,0,90,3,11,19,174,37,19,8,0,0,277,0,0,0,12,12,4,6,9,3,40,0,3,6,29,66,55,43,25,6,231,12,50,37,86,49,27,12,4,0,273
