LGA_CODE_2016,Canada_Before_1946,Canada_1946_1955,Canada_1956_1965,Canada_1966_1975,Canada_1976_1985,Canada_1986_1995,Canada_1996_2005,Canada_2006_2010,Canada_2011,Canada_2012,Canada_2013,Canada_2014,Canada_2015,Canada_2016,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1946,China_exc_SARs_Taiwan_46_55,China_exc_SARs_Taiwan_56_65,China_exc_SARs_Taiwan_66_75,China_exc_SARs_Taiwan_76_85,China_exc_SARs_Taiwan_86_95,China_exc_SARs_Taiwan_96_05,China_exc_SARs_Taiwan_06_10,China_exc_SARs_Taiwan_2011,China_exc_SARs_Taiwan_2012,China_exc_SARs_Taiwan_2013,China_exc_SARs_Taiwan_2014,China_exc_SARs_Taiwan_2015,China_exc_SARs_Taiwan_2016,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1946,Croatia_1946_1955,Croatia_1956_1965,Croatia_1966_1975,Croatia_1976_1985,Croatia_1986_1995,Croatia_1996_2005,Croatia_2006_2010,Croatia_2011,Croatia_2012,Croatia_2013,Croatia_2014,Croatia_2015,Croatia_2016,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1946,Egypt_1946_1955,Egypt_1956_1965,Egypt_1966_1975,Egypt_1976_1985,Egypt_1986_1995,Egypt_1996_2005,Egypt_2006_2010,Egypt_2011,Egypt_2012,Egypt_2013,Egypt_2014,Egypt_2015,Egypt_2016,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1946,Fiji_1946_1955,Fiji_1956_1965,Fiji_1966_1975,Fiji_1976_1985,Fiji_1986_1995,Fiji_1996_2005,Fiji_2006_2010,Fiji_2011,Fiji_2012,Fiji_2013,Fiji_2014,Fiji_2015,Fiji_2016,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1946,Germany_1946_1955,Germany_1956_1965,Germany_1966_1975,Germany_1976_1985,Germany_1986_1995,Germany_1996_2005,Germany_2006_2010,Germany_2011,Germany_2012,Germany_2013,Germany_2014,Germany_2015,Germany_2016,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1946,Greece_1946_1955,Greece_1956_1965,Greece_1966_1975,Greece_1976_1985,Greece_1986_1995,Greece_1996_2005,Greece_2006_2010,Greece_2011,Greece_2012,Greece_2013,Greece_2014,Greece_2015,Greece_2016,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1946,Hng_Kng_SAR_China_1946_1955,Hng_Kng_SAR_China_1956_1965,Hng_Kng_SAR_China_1966_1975,Hng_Kng_SAR_China_1976_1985,Hng_Kng_SAR_China_1986_1995,Hng_Kng_SAR_China_1996_2005,Hng_Kng_SAR_China_2006_2010,Hong_Kong_SAR_China_2011,Hong_Kong_SAR_China_2012,Hong_Kong_SAR_China_2013,Hong_Kong_SAR_China_2014,Hong_Kong_SAR_China_2015,Hong_Kong_SAR_China_2016,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1946,India_1946_1955,India_1956_1965,India_1966_1975,India_1976_1985,India_1986_1995,India_1996_2005,India_2006_2010,India_2011,India_2012,India_2013,India_2014,India_2015,India_2016,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1946,Indonesia_1946_1955,Indonesia_1956_1965,Indonesia_1966_1975,Indonesia_1976_1985,Indonesia_1986_1995,Indonesia_1996_2005,Indonesia_2006_2010,Indonesia_2011,Indonesia_2012,Indonesia_2013,Indonesia_2014,Indonesia_2015,Indonesia_2016,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1946,Iran_1946_1955,Iran_1956_1965,Iran_1966_1975,Iran_1976_1985,Iran_1986_1995,Iran_1996_2005,Iran_2006_2010,Iran_2011,Iran_2012,Iran_2013,Iran_2014,Iran_2015,Iran_2016,Iran_Yr_arrival_NS,Iran_Tot,Iraq_Before_1946,Iraq_1946_1955,Iraq_1956_1965,Iraq_1966_1975,Iraq_1976_1985,Iraq_1986_1995,Iraq_1996_2005,Iraq_2006_2010,Iraq_2011,Iraq_2012,Iraq_2013,Iraq_2014,Iraq_2015,Iraq_2016,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1946,Ireland_1946_1955,Ireland_1956_1965,Ireland_1966_1975,Ireland_1976_1985,Ireland_1986_1995,Ireland_1996_2005,Ireland_2006_2010
LGA21270,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5,3,0,3,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,3,3,5,0,4,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
LGA21370,0,0,0,0,0,3,3,0,0,0,0,0,0,3,0,20,0,0,0,0,0,7,6,9,0,3,4,0,0,0,6,39,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,14,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,12,0,38,14,13,3,3,3,7,0,0,0,0,0,0,3,88,0,0,8,6,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10,3,3,0,0,0,0,5,32,4,3,7,7,10,5,3,80,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,11,6,3,0,6,3
LGA21450,0,0,3,11,8,13,35,25,3,7,3,0,3,0,7,121,3,5,12,0,5,18,53,78,20,7,19,9,30,3,10,277,0,3,14,92,21,13,12,3,0,0,0,0,0,0,4,165,0,16,9,16,0,4,43,51,18,21,12,13,5,5,0,211,0,0,0,3,15,42,30,51,3,9,0,7,4,7,3,162,0,96,132,57,43,22,23,22,3,3,5,0,5,3,17,435,3,13,25,28,0,7,0,0,0,0,0,0,0,0,4,84,0,0,0,7,3,15,10,3,0,3,4,6,0,0,3,55,0,4,5,54,33,55,272,758,60,60,85,71,94,54,55,1673,0,4,3,0,3,8,31,29,0,0,4,10,3,3,8,115,0,0,0,0,0,8,5,9,3,10,4,5,3,0,5,49,0,0,0,0,0,0,4,3,0,3,0,4,0,0,0,20,0,8,25,37,20,24,22,28
LGA21610,0,3,5,20,23,21,67,44,11,5,4,3,3,6,8,235,0,0,96,23,232,444,962,1363,157,193,178,166,184,116,153,4269,0,9,95,515,71,144,366,23,3,4,0,0,4,0,27,1265,0,25,59,123,46,213,266,215,22,42,66,25,25,9,42,1184,0,0,9,17,134,585,603,335,35,46,45,25,29,10,40,1925,3,228,268,126,116,68,98,51,3,4,5,7,6,0,35,1033,0,35,217,324,45,48,20,17,3,13,13,9,4,0,33,793,0,0,5,14,64,126,98,74,8,15,8,7,13,10,6,455,0,23,14,464,336,1333,4103,7317,713,725,706,695,598,440,464,17931,0,5,8,23,68,100,287,190,27,26,22,20,29,11,25,836,0,0,3,4,8,52,140,165,89,100,220,46,37,17,14,885,0,0,0,11,12,93,174,212,33,8,32,25,35,11,3,651,4,11,50,150,78,81,27,52
LGA21670,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,4,0,8,0,3,0,3,0,0,0,19,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,4,0,0,0,0,0,0,0,10,0,10,14,10,4,0,0,0,0,0,0,0,0,0,0,41,0,0,3,3,4,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,13,0,0,0,3,0,0,4,36,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0
LGA21750,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,16,0,0,0,0,4,3,10,21,0,3,0,0,6,6,3,61,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,10,0,29,17,6,3,3,0,0,0,4,4,0,0,0,3,70,0,3,5,4,0,0,0,0,3,0,0,0,0,0,0,20,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,0,0,0,0,3,0,0,18,7,0,9,0,3,0,7,60,0,0,0,0,0,0,3,4,0,0,0,0,0,3,0,14,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,0,0,0,3
LGA21830,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,9,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,9,3,4,3,3,3,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,3,4,0,0,0,0,0,0,0,15,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3,7,0,0,0,0
LGA21890,0,0,3,26,30,34,52,43,16,20,14,17,18,7,11,298,0,3,4,12,64,735,977,1194,187,238,312,375,340,217,169,4821,0,4,80,170,23,26,37,4,4,0,0,0,3,0,18,370,0,25,82,78,16,59,26,18,7,5,4,15,13,7,10,358,0,0,0,5,33,79,27,21,9,4,0,0,3,3,7,195,0,63,35,50,43,39,76,56,7,8,9,10,8,4,20,436,7,287,1963,1540,166,98,35,23,29,70,52,40,33,8,198,4553,0,0,0,12,40,81,58,43,11,19,15,19,15,13,10,329,0,8,11,70,57,130,390,1622,165,213,353,532,501,383,126,4561,0,0,0,4,15,39,95,52,6,19,17,17,14,9,9,297,0,0,0,3,10,26,40,99,70,74,165,33,30,24,3,581,0,0,0,0,4,36,78,58,16,23,45,22,23,7,7,328,0,10,14,32,39,82,68,97
LGA22110,0,0,0,3,8,5,4,9,0,0,3,0,4,0,3,45,0,0,0,0,3,5,15,21,5,7,3,5,3,3,3,69,0,3,5,5,0,0,0,0,0,0,0,0,0,0,3,18,0,0,7,3,0,0,0,4,0,0,3,0,0,0,3,24,0,0,0,0,12,0,3,3,0,0,0,0,0,0,3,27,0,105,80,38,30,14,9,5,0,0,0,0,3,0,11,297,0,9,13,19,0,0,0,0,0,0,0,0,0,0,3,41,0,0,0,4,6,5,0,0,0,0,0,0,0,0,3,15,4,9,4,7,3,3,17,46,3,6,8,7,8,0,14,134,0,4,0,0,4,0,3,10,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,7,8,18,3,4,5,3
LGA22170,0,0,11,19,20,23,38,20,3,3,15,15,0,3,9,189,3,6,4,0,21,50,208,253,47,44,58,58,65,51,30,891,0,3,32,95,18,56,64,10,0,3,4,0,0,0,8,280,0,21,41,39,5,3,28,7,7,0,3,0,8,0,12,164,0,0,3,0,23,61,125,37,8,8,3,3,4,12,6,289,4,170,183,108,83,60,74,51,9,4,3,11,4,3,25,790,0,35,165,135,22,20,16,7,3,16,9,19,3,0,19,471,0,0,3,8,20,26,22,15,0,3,14,11,11,6,5,149,0,12,15,113,64,115,293,679,80,65,63,71,56,39,50,1712,0,0,4,8,9,19,45,25,5,10,6,4,7,0,11,159,0,0,0,3,3,4,17,8,7,7,12,5,8,0,0,73,0,0,0,0,0,6,3,3,0,4,0,0,0,0,0,23,3,24,41,105,62,90,30,40
LGA22250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,3,0,0,0,0,0,0,0,0,0,0,0,26,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,0,3,7,3,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
LGA22310,0,0,3,47,32,35,61,61,20,13,6,11,3,5,10,318,3,22,36,25,51,654,1084,1444,347,423,471,804,994,500,300,7151,0,5,50,64,9,18,11,5,3,0,3,0,0,0,5,178,0,42,92,91,12,15,7,16,0,0,0,3,7,0,14,303,0,3,3,15,15,29,25,4,3,3,6,0,0,0,3,113,65,284,134,59,48,52,93,50,11,16,6,11,8,5,24,857,3,138,974,705,53,18,15,15,6,16,26,16,13,3,71,2075,0,0,11,37,69,112,106,98,20,20,26,31,18,13,17,571,3,24,24,226,129,247,625,1817,305,370,484,709,672,454,168,6258,4,6,3,9,22,62,167,74,16,13,17,19,28,29,6,462,0,0,0,0,18,20,13,36,27,18,26,14,21,17,6,209,0,4,0,4,3,10,3,11,3,0,0,0,0,7,0,52,0,11,30,50,33,73,62,157
LGA22410,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,13,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,7,0,21,14,4,0,0,0,0,0,0,0,0,0,0,0,46,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,3,0,9,3,0,3,0,0,3,3,35,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,4,3,0,3
