LGA_CODE_2016,M_SE_Europe_nfd_0_4,M_SE_Europe_nfd_5_14,M_SE_Europe_nfd_15_24,M_SE_Europe_nfd_25_44,M_SE_Europe_nfd_45_54,M_SE_Europe_nfd_55_64,M_SE_Europe_nfd_65_74,M_SE_Europe_nfd_75_84,M_SE_Europe_nfd_85ov,M_SE_Europe_nfd_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_FYROM_0_4,M_FYROM_5_14,M_FYROM_15_24,M_FYROM_25_44,M_FYROM_45_54,M_FYROM_55_64,M_FYROM_65_74,M_FYROM_75_84,M_FYROM_85ov,M_FYROM_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot
LGA21270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,13,6,32,12,49,41,79,60,41,26,348,119,402,302,493,429,547,433,281,136,3138,0,0,0,0,0,0,0,0,0,0,124,317,224,433,359,390,310,242,167,2570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
LGA21370,0,0,0,0,0,0,4,0,0,7,0,0,3,13,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,12,0,0,0,0,0,3,3,0,0,9,0,0,0,0,3,0,0,0,0,4,0,3,3,6,5,3,3,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,6,0,0,0,0,0,0,0,0,0,9,0,3,0,17,13,14,22,17,4,92,65,134,128,297,234,272,248,167,62,1599,1024,2354,2174,3556,2452,2673,2311,1316,437,18293,0,0,0,0,0,0,0,0,0,0,975,2017,1731,3242,2186,2185,1717,1113,545,15702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,5,3,0,0,0,3,17,0,0,0,0,0,0,0,0,0,0
LGA21450,0,0,0,3,18,14,9,7,0,52,3,34,31,264,58,31,27,10,0,456,4,0,4,31,0,0,0,0,0,39,3,9,8,9,3,0,0,0,0,33,0,0,0,7,3,5,0,0,0,11,0,0,0,8,10,3,3,0,0,27,0,17,12,32,20,13,11,6,0,107,0,3,8,12,9,10,0,0,0,33,0,7,0,9,19,11,9,3,0,53,0,3,7,28,10,6,5,0,0,57,11,69,111,361,168,129,93,52,14,1016,199,316,325,771,439,390,263,155,53,2917,4056,7106,6131,12922,6092,4750,3317,1530,453,46358,0,0,11,26,5,0,0,0,0,58,3517,6003,5018,10027,4443,3231,2130,905,448,35718,0,4,0,34,3,5,0,0,0,47,0,0,0,16,5,9,4,0,0,43,0,0,3,24,13,4,0,0,0,50,0,4,7,31,9,7,3,0,0,63,0,3,6,26,22,12,9,4,0,73
LGA21610,0,0,3,84,108,114,86,70,7,467,51,432,466,2647,1031,675,359,106,24,5799,0,8,13,63,6,3,8,0,0,92,8,23,38,147,12,4,3,0,0,236,0,7,8,88,66,51,34,14,0,259,0,8,12,112,134,77,52,25,6,420,12,57,51,87,45,19,18,3,0,299,3,20,51,319,170,130,43,5,5,749,0,3,4,24,22,18,19,14,0,108,0,24,52,114,45,12,3,0,0,251,49,367,704,2132,1331,1058,605,313,70,6625,615,1049,1083,2463,1145,958,651,343,132,8432,12161,22666,21587,43836,19727,14812,8859,4102,1270,149024,32,307,955,1725,387,181,77,31,10,3704,10531,16655,13456,20788,9280,6707,3940,1970,991,84322,5,17,13,121,35,15,0,0,0,209,4,4,50,226,124,99,30,16,3,565,8,22,66,479,182,124,38,17,6,952,0,17,10,47,23,5,6,0,0,110,0,0,9,152,132,116,94,29,13,535
LGA21670,0,0,0,0,0,3,0,0,0,4,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,16,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,7,4,9,12,9,0,42,10,42,41,93,92,92,110,71,27,577,296,748,698,1074,851,1017,1008,568,157,6412,0,0,0,0,0,0,0,0,0,0,269,632,565,986,717,783,750,450,225,5381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
LGA21750,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,6,0,0,3,7,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,3,0,0,14,0,0,0,6,3,0,0,0,0,9,0,0,0,0,0,0,0,0,3,3,0,0,0,5,0,3,0,0,0,9,0,9,11,42,16,11,14,8,3,114,22,60,82,171,131,145,136,79,22,856,603,1349,1189,2292,1383,1545,1273,636,208,10485,0,0,0,0,0,0,0,0,0,0,530,1102,969,1775,1207,1293,994,579,294,8735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
LGA21830,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,3,0,3,3,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,3,3,5,0,29,26,69,54,142,117,125,122,74,22,759,439,1096,954,1487,1175,1192,1020,542,175,8082,0,0,0,0,0,0,0,0,0,0,406,881,733,1274,926,1007,741,516,245,6724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0
LGA21890,0,0,0,5,13,12,16,14,7,62,3,13,47,245,51,50,35,9,0,457,0,0,10,75,0,3,0,0,0,96,7,10,32,52,7,3,0,0,0,116,0,9,9,76,76,117,138,93,17,532,0,0,7,39,38,17,17,11,3,122,8,26,23,114,46,22,7,0,3,252,15,31,200,430,245,214,72,39,8,1260,0,0,0,22,14,6,5,3,0,48,0,0,5,21,5,3,0,0,0,41,83,181,263,1175,313,255,179,118,56,2631,287,388,604,1955,688,526,379,350,163,5334,4491,7486,8962,25137,9200,6577,4291,3381,1397,70903,0,4,9,12,8,4,0,0,0,39,3809,6034,6520,15077,6371,3616,1637,1077,961,45105,7,13,27,96,0,3,0,0,0,142,0,0,4,31,15,14,11,14,0,89,0,0,3,28,4,5,10,0,0,53,3,7,20,108,33,13,3,0,0,189,0,3,3,28,20,18,8,3,3,85
LGA22110,0,0,0,0,0,5,3,0,0,13,0,0,0,15,0,7,0,6,0,21,0,0,3,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,5,17,4,0,31,0,3,4,12,5,3,0,0,0,29,0,0,0,3,6,4,6,3,0,20,0,0,3,0,0,0,0,0,0,11,0,6,7,31,20,34,45,39,12,201,69,177,188,380,303,356,451,204,87,2210,1104,2504,2123,3879,2713,3462,3902,1866,558,22107,0,0,0,0,0,0,0,0,0,0,1021,2204,1733,3400,2440,2847,2540,1294,575,18061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,11,3,3,0,22,0,0,0,0,0,3,0,0,0,3
LGA22170,0,0,0,6,21,20,15,9,3,72,0,3,18,104,50,64,34,17,3,288,0,0,5,9,4,4,0,0,0,22,12,11,12,28,3,0,0,0,0,67,0,0,3,5,9,4,0,0,0,22,0,0,0,15,18,10,6,0,0,53,3,10,15,65,30,27,20,8,0,188,0,5,8,35,8,0,0,0,0,62,0,7,0,29,25,25,27,10,3,127,0,3,14,38,15,9,5,0,0,76,11,76,92,461,254,226,180,107,43,1459,264,457,496,1241,653,621,450,251,116,4556,4690,8256,8215,18108,9126,7799,5484,2728,1019,65418,0,0,5,32,15,12,3,0,0,72,4019,6722,6807,13467,6359,5117,3597,1749,952,48783,0,0,3,12,3,0,0,0,0,14,0,0,6,27,24,30,11,9,4,105,0,0,8,35,10,4,6,0,0,59,0,3,9,45,14,14,8,4,0,99,0,0,5,27,16,27,12,4,0,93
LGA22250,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,7,13,0,0,24,14,38,33,79,62,71,87,61,24,464,258,608,566,907,696,807,783,466,153,5257,0,0,0,0,0,0,0,0,0,0,239,528,461,800,622,677,628,418,196,4575,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
