LGA_CODE_2016,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
LGA21750,25,28,17,0,8,0,77,7,4,3,3,3,0,25,26,14,6,3,11,0,53,22,17,14,5,10,0,73,46,38,20,12,12,0,132,50,78,36,28,6,3,204,77,89,35,23,11,3,243,61,114,48,8,18,5,257,59,116,25,15,12,0,226,45,103,22,9,3,0,190,31,51,14,5,0,0,103,39,87,11,8,3,0,143,14,24,5,0,0,0,34,10,17,3,0,0,0,28,12,29,7,0,0,0,47,16,34,9,0,0,0,60,7,11,0,0,0,0,16,15,20,0,0,0,0,31,30,48,21,4,10,0,113,585,910,298,128,114,19,2056
LGA21830,38,41,30,8,9,0,119,13,6,3,3,4,0,30,18,13,7,3,4,0,41,28,14,8,3,3,0,64,32,46,21,19,14,0,132,51,65,29,11,10,0,160,42,73,22,6,6,0,153,36,77,25,6,11,0,160,19,46,16,3,7,0,95,30,44,12,0,3,0,86,16,25,10,0,0,0,49,21,42,12,3,3,0,79,5,12,8,0,0,0,23,5,3,5,0,0,0,18,12,8,3,0,0,0,24,11,12,16,0,3,0,47,4,13,0,0,0,0,16,17,26,13,0,3,0,51,45,45,25,4,5,0,127,451,601,269,69,80,3,1472
LGA21890,128,193,85,26,48,11,490,41,48,30,18,13,0,148,51,85,47,15,30,10,231,43,74,45,17,31,3,206,71,98,78,19,33,4,304,100,172,91,40,54,9,462,143,277,132,41,68,9,659,190,318,104,57,63,21,752,200,356,102,54,53,10,772,217,352,104,40,54,13,778,188,307,83,48,40,4,669,373,719,184,43,65,9,1384,146,286,38,20,16,3,512,151,289,47,10,6,4,503,311,520,88,35,24,8,975,391,930,154,48,34,18,1572,181,417,53,17,7,3,687,92,244,47,19,10,3,413,115,240,112,30,45,16,549,3114,5919,1604,595,692,150,12065
LGA22110,81,25,18,12,5,3,145,40,10,5,0,5,0,66,65,27,28,14,12,0,136,64,31,22,4,14,0,143,119,74,42,19,23,0,275,134,144,61,30,29,0,400,124,176,68,39,33,4,449,176,225,60,38,28,7,529,137,208,50,18,13,0,429,105,182,42,20,8,3,350,56,105,25,12,3,0,210,87,122,37,12,8,3,270,18,40,10,0,0,0,71,15,29,5,3,0,0,54,37,59,18,3,0,0,114,45,52,17,0,9,0,128,20,16,5,0,0,0,38,17,19,0,0,3,0,35,80,63,30,11,12,3,206,1413,1619,550,239,211,27,4062
LGA22170,188,97,99,26,71,10,491,54,28,38,13,19,4,157,106,57,73,22,53,0,312,87,68,81,16,51,9,309,174,122,127,61,103,15,597,231,227,217,77,127,15,895,308,373,231,91,124,11,1141,372,576,313,140,181,16,1603,413,730,241,127,144,20,1670,486,958,277,129,135,25,2005,361,661,167,76,76,9,1344,532,969,304,76,74,18,1973,218,465,87,26,13,6,819,140,270,70,16,18,0,510,277,495,141,32,38,10,997,281,477,178,22,28,9,1002,81,124,49,6,5,4,269,45,79,38,3,12,0,181,204,247,159,41,67,15,734,4551,7029,2887,1010,1336,178,16998
LGA22250,23,11,10,0,4,0,50,9,3,0,0,0,0,14,25,18,9,3,9,0,55,19,15,6,6,8,0,50,42,48,18,10,4,0,127,39,51,17,8,0,0,116,36,65,18,7,3,0,128,19,46,16,4,3,0,93,15,25,10,4,3,0,60,9,30,6,0,0,0,47,6,7,0,0,0,0,17,14,27,6,0,0,0,41,0,8,0,0,0,0,13,3,0,0,0,0,0,3,7,5,0,0,0,0,21,4,6,0,0,0,0,19,3,0,0,0,0,0,5,3,3,9,0,0,0,14,21,7,7,0,0,0,38,297,389,131,42,40,3,903
LGA22310,209,239,185,34,63,11,741,50,47,25,3,13,0,142,64,71,52,10,27,3,227,53,88,48,15,20,3,221,79,97,84,13,33,3,308,79,157,101,24,36,0,397,136,264,143,24,54,6,630,151,244,129,41,48,9,624,135,249,138,34,45,6,601,151,265,118,36,40,8,623,121,252,68,24,17,10,495,294,656,231,57,62,11,1316,129,251,78,21,25,7,500,153,366,84,24,23,3,656,226,502,117,44,30,8,930,475,1374,299,74,51,13,2291,224,711,155,43,19,9,1153,174,646,157,34,24,9,1032,132,318,156,27,53,17,712,3047,6795,2360,587,673,142,13598
LGA22410,28,27,19,4,3,0,78,11,9,4,3,3,0,29,35,15,9,4,7,0,73,49,26,21,4,9,0,115,65,47,21,10,23,0,156,64,60,23,16,17,3,190,74,119,37,26,16,0,268,60,105,40,10,11,0,226,49,82,27,10,10,0,176,35,67,29,3,5,0,137,25,39,11,0,3,0,78,36,52,20,3,0,0,111,5,11,4,0,0,0,29,4,3,0,3,0,0,14,14,14,8,3,0,0,44,13,21,15,0,4,0,55,10,5,3,0,0,0,16,3,4,5,0,0,0,16,46,35,21,7,12,3,122,628,744,308,111,122,9,1925
LGA22490,27,24,14,3,0,0,76,20,7,7,6,5,0,44,44,25,17,8,5,0,99,25,22,11,8,8,0,65,41,42,32,10,22,0,143,54,80,36,23,24,0,214,63,134,56,22,20,0,296,97,160,54,25,18,0,357,78,172,42,18,20,0,329,86,217,52,16,9,0,376,73,167,27,8,3,4,284,88,212,50,15,10,0,372,27,87,14,3,3,0,137,19,55,12,3,0,0,80,60,119,31,3,6,0,218,52,70,18,3,0,0,143,9,20,6,0,3,0,41,7,17,3,3,0,0,39,52,71,42,16,8,0,188,923,1703,515,187,153,17,3509
LGA22620,139,89,73,18,32,10,349,73,28,27,13,16,5,164,151,73,71,24,50,5,365,117,74,59,23,47,0,319,179,165,150,43,84,3,624,301,301,154,78,96,10,936,306,496,191,102,97,18,1202,395,686,183,118,117,15,1508,360,675,166,102,78,5,1383,383,713,161,69,44,5,1384,198,455,80,39,18,7,800,274,539,144,43,17,0,1020,87,192,50,12,5,0,354,49,102,23,5,3,3,185,106,237,62,18,7,0,437,120,211,48,20,11,3,410,32,57,14,8,0,0,117,26,61,10,3,3,4,109,181,167,95,25,42,16,522,3476,5322,1760,754,778,101,12194
LGA22670,170,191,164,52,69,12,656,35,40,40,7,29,0,148,76,75,90,26,38,3,303,75,68,64,25,44,9,286,107,143,115,40,69,9,477,134,201,167,54,97,13,662,195,351,195,86,112,9,947,239,436,188,95,130,25,1111,250,562,219,122,131,13,1296,258,596,203,74,94,13,1238,172,402,131,58,56,16,835,374,735,309,111,116,26,1667,115,315,61,31,33,10,565,137,247,75,21,29,6,514,141,346,123,33,31,11,680,201,476,176,41,44,17,955,55,139,58,15,10,4,279,36,102,44,11,14,3,199,150,210,164,50,57,7,644,2913,5622,2586,952,1191,201,13466
LGA22750,283,231,169,47,53,10,787,109,48,61,14,39,0,273,217,150,130,42,82,4,627,172,141,122,44,69,5,549,291,316,250,74,127,8,1070,417,474,284,126,173,16,1496,495,691,357,164,181,19,1911,654,1072,393,194,185,23,2516,630,1179,316,176,158,22,2478,672,1395,350,160,134,13,2727,459,990,220,74,72,6,1826,655,1434,396,97,94,20,2694,263,548,99,24,17,5,951,159,370,88,14,13,3,647,340,663,184,33,43,4,1259,333,730,209,35,33,7,1353,114,233,59,11,14,0,429,71,153,43,11,9,0,286,269,416,221,57,90,14,1072,6602,11232,3953,1382,1589,184,24942
LGA22830,77,67,39,11,11,0,193,23,17,12,0,8,0,61,59,34,28,13,11,3,149,59,48,20,8,10,0,153,122,116,58,46,39,3,376,163,238,86,63,53,3,606,207,303,112,61,54,3,736,230,379,158,77,54,7,906,164,330,83,47,24,7,663,166,366,96,47,15,7,691,75,193,64,15,14,4,358,128,260,82,19,14,0,510,33,57,15,5,3,3,125,20,40,14,0,0,0,81,35,104,28,8,3,0,180,46,101,23,7,3,0,187,7,39,8,3,4,0,61,11,32,14,0,0,0,58,96,110,48,15,13,3,293,1723,2848,981,445,341,48,6388
LGA22910,25,15,5,0,3,0,46,11,3,3,0,3,0,24,29,3,4,3,11,3,55,37,6,10,0,8,0,67,42,32,19,8,12,0,113,61,39,20,19,20,0,156,59,62,21,11,7,0,162,75,77,23,12,14,0,195,56,65,10,12,3,0,147,49,83,19,4,3,0,156,34,40,14,4,3,0,100,48,65,8,3,5,0,132,16,15,0,3,0,0,28,11,6,0,0,0,0,15,22,28,5,0,3,0,64,24,22,5,3,4,0,52,8,7,3,0,0,0,18,5,11,6,0,4,0,18,41,32,10,7,9,0,101,641,605,187,92,114,3,1643
LGA22980,16,15,6,4,0,0,34,4,8,4,3,3,0,13,15,10,4,0,3,0,36,9,13,7,6,6,3,44,22,31,12,6,7,0,75,26,31,14,4,0,0,77,13,24,5,3,0,0,40,11,17,11,0,0,0,40,7,4,3,0,0,0,10,5,6,3,0,0,0,14,7,4,0,0,0,0,10,3,4,0,0,0,0,13,3,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,7,4,5,0,0,0,0,8,0,3,0,0,0,0,3,0,0,0,0,0,0,3,18,10,3,0,0,0,24,167,183,64,30,19,4,470
LGA23110,101,131,74,13,25,6,350,21,25,30,0,17,0,87,42,60,42,15,26,4,197,43,64,32,6,28,0,170,61,81,76,18,42,6,280,97,126,78,32,37,5,372,99,189,135,39,47,5,507,135,260,126,43,57,14,630,135,286,82,31,43,4,583,154,340,98,49,40,10,681,133,265,72,32,24,11,527,274,519,154,53,55,12,1057,123,204,40,16,23,9,408,112,233,36,13,3,3,397,216,385,60,19,18,4,711,293,590,104,42,19,4,1064,106,255,44,27,15,3,442,73,207,43,12,0,3,344,83,165,92,24,44,11,417,2297,4384,1410,469,560,109,9222
LGA23190,28,23,11,3,4,0,69,10,3,4,6,3,0,28,24,14,10,3,4,0,60,23,19,13,8,5,0,64,60,45,29,18,15,4,169,67,75,36,27,19,7,227,81,135,38,20,10,4,287,79,134,33,13,17,0,279,57,121,35,7,12,0,229,67,103,13,11,3,0,193,21,55,15,3,3,3,96,19,52,18,3,3,0,98,17,23,7,0,0,0,45,5,16,0,0,0,0,23,15,35,11,3,0,0,59,19,26,5,0,0,0,47,8,3,0,0,0,0,14,3,13,0,0,0,0,18,23,16,15,3,3,0,69,626,920,293,120,110,18,2080
LGA23270,197,263,193,48,84,14,798,51,58,54,7,32,0,199,125,115,148,24,79,9,503,105,110,111,22,66,7,427,166,209,205,53,99,4,733,197,387,289,89,154,13,1136,301,587,414,166,184,13,1660,434,1032,432,213,216,28,2354,535,1300,416,192,207,34,2686,647,1508,479,219,175,26,3057,426,1211,288,109,92,25,2157,616,1706,545,128,122,29,3149,255,633,157,50,49,8,1149,198,451,128,24,25,4,829,280,650,247,53,35,7,1272,260,714,269,46,47,14,1347,86,225,103,8,6,3,431,62,139,81,4,15,0,309,223,457,275,82,116,16,1166,5147,11755,4843,1546,1816,260,25361
LGA23350,27,6,12,0,3,0,49,7,4,3,0,0,0,19,18,16,14,3,3,0,54,25,10,8,3,5,0,53,43,23,17,7,8,0,101,55,44,26,11,17,0,155,61,77,32,22,9,0,194,64,102,35,15,10,0,225,62,89,17,15,11,0,193,57,91,33,18,9,0,208,23,59,15,4,3,0,105,50,76,27,13,3,0,168,6,34,7,0,0,0,49,9,16,4,0,0,0,20,32,52,15,0,3,0,92,22,40,10,0,3,0,81,7,9,3,0,0,0,22,6,7,3,0,0,0,18,32,26,14,4,9,0,83,606,783,279,113,102,4,1887
