LGA_CODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
LGA22110,14,7,22,41,23,71,3,0,8,4,0,5,17,10,21,5865,5312,11176,357,400,752,164,7,175,41,0,50,91,39,127,115,42,153,370,355,727,7085,6200,13287,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,3,0,4,75,51,126,74,60,132,4,0,6,4,0,3,4,0,11,14,3,23,549,595,1147,826,1327,2147,122,141,265,8681,8327,17003
LGA22170,846,673,1521,294,319,616,12,3,19,10,5,11,40,28,66,24779,20816,45597,1389,1382,2773,436,14,447,193,14,208,150,42,190,190,75,267,383,446,827,28727,23821,52547,187,135,321,0,0,0,31,21,47,369,243,605,50,67,114,32,6,36,659,468,1135,0,0,0,0,3,0,16,8,22,31,40,74,9,7,13,54,60,114,238,107,348,950,643,1591,137,132,267,7,0,3,4,3,5,145,136,282,857,1376,2239,2119,4044,6159,304,286,588,33101,30305,63406
LGA22250,0,0,0,5,3,5,0,0,3,0,0,0,0,4,3,1508,1212,2721,73,84,156,50,0,50,36,3,43,20,8,29,24,9,36,146,128,278,1878,1451,3327,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,8,18,10,10,18,0,0,0,0,0,0,0,0,0,0,0,0,278,239,518,167,287,448,45,39,80,2379,2023,4404
LGA22310,4814,4087,8900,314,421,738,7,0,5,485,572,1056,74,58,131,20714,17718,38436,716,1333,2045,212,0,215,257,23,279,833,195,1024,217,141,355,733,934,1663,29379,25481,54860,577,474,1049,0,0,0,548,495,1043,600,412,1012,86,159,247,125,54,180,1940,1594,3529,0,0,0,27,42,70,11,15,20,11,25,36,11,12,23,56,91,147,226,184,410,2216,1864,4084,367,366,731,6,6,17,11,10,19,393,381,775,1574,2099,3669,1981,3807,5789,250,218,464,35790,33846,69634
LGA22410,3,0,4,20,8,28,0,0,0,0,0,0,13,10,21,3002,2479,5480,174,190,358,90,0,96,37,6,47,41,3,47,44,14,59,175,179,356,3597,2902,6498,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,13,48,36,16,52,0,0,0,0,0,0,0,0,0,0,0,0,324,290,614,432,586,1016,73,56,126,4460,3849,8311
LGA22490,32,12,50,26,15,37,0,0,0,0,0,0,0,3,3,4076,3229,7304,200,179,374,118,6,123,16,3,19,7,4,16,37,4,36,93,77,170,4604,3529,8134,0,0,0,0,0,0,0,0,0,36,20,52,0,0,0,0,0,0,36,18,55,0,0,0,0,0,0,3,3,3,0,3,3,0,0,0,3,3,12,28,11,41,66,38,105,16,8,24,4,0,4,0,0,5,20,7,29,316,295,607,410,760,1168,75,74,154,5493,4704,10196
LGA22620,128,83,213,212,205,413,9,7,16,7,7,17,41,44,81,18248,16085,34327,1097,1360,2456,342,12,360,164,27,192,304,73,379,126,65,191,750,747,1488,21433,18714,40145,11,9,24,0,0,0,7,3,10,42,30,64,10,4,13,4,3,8,71,48,110,0,0,0,0,0,0,16,5,24,9,16,27,12,6,23,44,33,75,188,103,296,302,184,484,22,18,38,5,4,6,11,3,14,34,22,62,818,1044,1860,2017,3661,5673,241,210,451,24843,23832,48675
LGA22670,1967,1777,3739,512,603,1120,4,4,9,13,13,23,116,43,152,25563,15361,40921,1501,2048,3546,448,7,460,98,10,107,144,18,158,268,113,379,359,414,774,30998,20394,51397,342,353,697,0,0,0,76,78,153,461,293,752,66,122,187,28,13,36,966,862,1829,0,0,0,0,3,3,38,21,57,28,79,108,12,9,18,78,106,185,259,151,409,1302,1116,2421,231,283,519,6,3,10,6,0,5,246,287,538,518,841,1358,1535,2296,3828,480,289,767,35078,25227,60306
LGA22750,1347,812,2163,619,696,1314,22,8,39,19,15,38,106,81,188,37955,33071,71022,2143,2716,4865,550,13,562,248,28,280,664,192,856,299,136,439,1273,1380,2654,45255,39152,84403,87,59,143,0,0,0,80,69,148,467,298,764,47,42,87,68,13,83,747,482,1227,0,0,0,0,0,0,42,56,99,37,75,108,15,13,25,91,142,236,361,222,584,1198,849,2049,271,219,493,18,11,26,26,9,33,306,240,547,1667,2295,3959,4120,7528,11648,515,454,975,53059,50516,103580
LGA22830,14,14,26,42,45,86,3,0,3,0,3,3,19,21,44,10399,8815,19217,660,908,1561,167,4,170,106,14,119,166,53,218,103,34,130,526,442,967,12211,10340,22553,0,0,0,0,0,0,4,0,3,4,3,3,3,0,3,0,0,0,11,9,17,0,0,0,0,0,0,3,0,4,3,8,11,9,0,9,11,11,19,90,38,126,112,54,161,0,3,5,0,0,0,5,0,7,7,3,13,659,652,1308,971,1623,2593,193,158,349,14146,12832,26976
LGA22910,29,34,60,12,7,22,3,0,3,3,0,4,3,5,6,2101,1813,3916,91,113,206,52,0,50,14,3,18,7,4,11,24,13,41,143,130,266,2478,2124,4598,5,5,7,0,0,0,0,3,3,37,22,57,3,3,6,0,0,0,38,33,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,20,8,31,65,47,106,15,12,28,0,0,0,0,0,0,13,19,34,359,344,704,293,510,804,60,41,99,3269,3076,6346
LGA22980,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,752,620,1377,54,42,95,28,5,28,0,0,0,11,3,9,21,3,25,127,88,216,992,766,1764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,10,7,4,10,4,0,4,0,0,0,0,0,0,4,0,4,153,112,268,77,150,222,18,15,31,1254,1043,2298
LGA23110,2274,2329,4598,186,206,395,3,3,13,6,12,22,64,25,89,14399,10927,25325,668,910,1576,169,4,174,189,24,215,461,102,559,141,74,215,297,353,655,18850,14975,33828,239,257,501,0,0,0,133,170,302,299,320,612,51,113,161,78,33,113,804,892,1696,0,0,0,10,11,22,13,10,25,11,19,26,4,7,14,37,45,82,189,98,280,1026,1033,2056,204,249,451,0,8,9,13,6,17,218,263,480,590,981,1571,1362,2295,3662,216,170,386,22262,19715,41978
LGA23190,3,0,3,21,23,45,4,0,8,0,0,4,4,5,10,3350,2951,6294,203,219,423,59,0,61,15,8,19,57,19,80,58,11,63,248,190,436,4029,3421,7450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,4,0,0,0,0,3,8,34,13,44,35,15,53,0,0,0,0,0,0,5,0,5,5,0,5,258,279,541,347,612,960,60,43,102,4731,4379,9111
LGA23270,2077,2165,4245,325,344,677,9,3,10,28,45,74,197,43,241,32880,22894,55772,1851,2178,4029,730,14,747,158,20,183,112,12,126,313,125,435,329,345,676,39009,28201,67211,433,376,807,0,0,0,79,92,170,656,522,1175,86,145,233,37,7,43,1290,1144,2432,0,0,0,3,10,12,51,47,98,18,50,77,8,3,9,81,114,194,348,208,557,1717,1463,3187,296,341,640,3,10,12,11,3,18,306,361,669,679,1482,2159,2577,4244,6821,568,412,978,44863,36162,81025
LGA23350,7,4,12,20,8,33,3,0,3,0,0,3,3,0,4,2591,2433,5026,111,136,243,86,0,87,29,3,34,31,3,32,32,17,45,169,156,326,3076,2765,5838,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,8,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,4,0,4,22,10,34,28,15,40,0,3,3,0,0,0,0,0,0,4,3,4,296,274,565,357,579,938,52,53,105,3802,3689,7492
LGA23430,3283,2783,6066,309,394,700,13,4,12,12,15,29,67,35,103,26096,21986,48087,1039,1672,2713,370,13,381,234,10,247,459,89,545,222,126,345,554,682,1228,32661,27814,60468,373,344,722,0,0,0,148,121,276,603,518,1122,103,139,238,81,38,111,1311,1157,2469,0,0,0,0,3,3,21,13,33,20,46,61,7,0,6,46,61,105,247,137,381,1598,1350,2954,231,279,515,0,7,9,10,8,18,250,293,543,1316,1793,3105,2271,4252,6525,285,216,503,38381,35723,74103
LGA23670,1534,1167,2700,380,391,773,7,3,15,13,14,29,49,33,74,29845,25131,54978,1330,1801,3132,470,9,475,205,13,220,199,30,234,199,101,298,387,387,780,34620,29078,63702,318,248,567,0,0,0,45,42,90,858,497,1353,86,160,247,26,7,33,1335,957,2288,0,0,0,4,3,10,26,24,50,41,52,91,3,3,6,70,91,162,271,154,426,1673,1200,2872,284,218,506,4,10,18,10,6,11,301,231,533,1107,1632,2734,2419,4554,6972,282,253,530,40404,36944,77348
LGA23810,90,59,150,127,85,211,3,7,10,3,0,3,29,22,58,11463,10039,21502,716,706,1422,171,3,174,66,9,78,80,22,103,103,32,130,308,290,601,13173,11265,24437,8,10,17,0,0,0,3,0,3,20,12,30,12,11,19,12,0,12,45,34,82,0,0,0,0,0,0,3,5,11,14,10,24,4,8,5,16,25,43,108,42,146,166,97,267,26,17,36,0,4,4,0,0,0,25,15,44,327,443,765,1456,2171,3622,192,170,360,15336,14158,29490
LGA23940,0,4,0,0,3,3,0,0,0,0,0,0,0,0,0,851,697,1547,33,40,75,41,3,49,11,3,15,10,3,11,29,8,37,143,106,245,1128,867,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,12,10,4,16,0,0,0,0,0,0,4,0,4,4,0,4,297,214,512,86,171,263,26,27,54,1556,1280,2838
LGA24130,514,399,912,27,16,49,0,0,0,6,14,14,14,8,16,7614,6205,13825,367,416,780,192,3,200,21,3,24,38,10,44,67,43,111,259,232,488,9121,7347,16464,15,13,28,0,0,0,36,23,61,201,157,359,17,30,45,24,8,24,286,231,516,0,0,0,0,0,0,3,3,8,0,0,0,0,0,0,3,5,6,88,33,122,381,266,652,73,87,160,0,0,3,6,0,6,82,90,171,705,916,1622,973,1622,2592,121,116,235,11374,10360,21741
LGA24210,404,333,735,1994,1948,3937,0,4,4,14,20,35,43,22,62,18958,15022,33984,747,1513,2260,257,0,261,142,10,157,113,10,126,150,86,234,319,350,668,23153,19313,42468,296,192,490,0,0,0,15,13,28,269,126,393,31,40,70,8,0,8,623,374,994,0,0,0,143,115,256,123,140,264,53,74,124,7,9,13,327,339,664,187,137,329,1132,850,1982,164,138,301,44,40,82,11,3,16,214,183,397,1423,1655,3078,1635,2854,4496,223,177,398,27779,25037,52818
LGA24250,3,0,3,26,20,42,0,0,0,0,0,0,0,3,3,1181,1060,2243,102,80,177,34,0,34,3,0,3,23,8,34,23,13,40,143,142,290,1531,1331,2863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,3,3,12,4,13,11,8,23,0,0,0,0,0,0,0,0,0,0,0,3,165,188,359,195,276,473,32,31,59,1944,1834,3781
LGA24330,2911,2864,5781,402,547,947,12,7,12,133,218,356,70,36,106,12010,8672,20683,524,1031,1556,95,0,100,273,48,317,859,304,1163,126,65,194,562,649,1218,17981,14445,32429,578,541,1119,3,0,3,398,421,817,281,267,543,44,103,148,106,61,164,1408,1388,2795,0,0,0,38,44,81,16,16,31,11,24,31,4,3,10,61,83,148,163,140,303,1632,1612,3247,400,368,767,5,7,18,13,7,22,424,381,806,550,761,1315,1349,2168,3512,198,141,340,22133,19511,41648
LGA24410,1963,1513,3472,225,214,434,8,4,14,5,10,13,36,25,64,19604,16977,36580,918,1115,2033,317,8,326,143,15,155,172,28,193,131,42,176,377,338,719,23898,20281,44177,336,259,591,0,0,0,83,67,144,597,403,1006,71,128,197,53,14,69,1143,860,2011,0,0,0,0,3,3,22,18,42,12,23,38,0,5,8,37,52,81,163,87,251,1347,1005,2348,222,231,447,3,5,10,11,3,17,235,240,475,905,1247,2153,1829,3544,5373,235,179,412,28447,26490,54940
LGA24600,2408,2435,4841,389,473,863,10,4,16,5598,6099,11700,135,119,254,7764,5716,13476,388,776,1165,37,3,40,265,47,315,1644,874,2514,275,153,429,9056,8021,17074,27970,24715,52687,258,240,504,0,0,0,628,669,1298,57,50,113,22,39,61,98,49,148,1071,1046,2117,0,0,4,72,117,186,11,7,16,0,4,11,10,11,25,101,144,240,344,305,648,1516,1494,3007,257,286,534,17,11,30,21,30,49,294,325,617,1370,1277,2651,2237,3426,5656,275,260,536,33655,31495,65156
