LGA_CODE_2016,M_PoDe_PoDe_NFD_Mng,M_PoDe_PoDe_NFD_Pro,M_PoDe_PoDe_NFD_TTW,M_PoDe_PoDe_NFD_CPS,M_PoDe_PoDe_NFD_CA,M_PoDe_PoDe_NFD_Sal,M_PoDe_PoDe_NFD_MOD,M_PoDe_PoDe_NFD_Lab,M_PoDe_PoDe_NFD_IDNS,M_PoDe_PoDe_NFD_Tot,M_PoDe_DoctDe_Mng,M_PoDe_DoctDe_Pro,M_PoDe_DoctDe_TTW,M_PoDe_DoctDe_CPS,M_PoDe_DoctDe_CA,M_PoDe_DoctDe_Sal,M_PoDe_DoctDe_MOD,M_PoDe_DoctDe_Lab,M_PoDe_DoctDe_IDNS,M_PoDe_DoctDe_Tot,M_PoDe_MasDe_Mng,M_PoDe_MasDe_Pro,M_PoDe_MasDe_TTW,M_PoDe_MasDe_CPS,M_PoDe_MasDe_CA,M_PoDe_MasDe_Sal,M_PoDe_MasDe_MOD,M_PoDe_MasDe_Lab,M_PoDe_MasDe_IDNS,M_PoDe_MasDe_Tot,M_GrDiGrCer_GrDiGrCerNFD_Mng,M_GrDiGrCer_GrDiGrCerNFD_Pro,M_GrDiGrCer_GrDiGrCerNFD_TTW,M_GrDiGrCer_GrDiGrCerNFD_CPS,M_GrDiGrCer_GrDiGrCerNFD_CA,M_GrDiGrCer_GrDiGrCerNFD_Sal,M_GrDiGrCer_GrDiGrCerNFD_MOD,M_GrDiGrCer_GrDiGrCerNFD_Lab,M_GrDiGrCer_GrDiGrCerNFD_IDNS,M_GrDiGrCer_GrDiGrCerNFD_Tot,M_GrDi_GrCer_GrDi_Mng,M_GrDi_GrCer_GrDi_Pro,M_GrDi_GrCer_GrDi_TTW,M_GrDi_GrCer_GrDi_CPS,M_GrDi_GrCer_GrDi_CA,M_GrDi_GrCer_GrDi_Sal,M_GrDi_GrCer_GrDi_MOD,M_GrDi_GrCer_GrDi_Lab,M_GrDi_GrCer_GrDi_IDNS,M_GrDi_GrCer_GrDi_Tot,M_GrDi_GrCer_GradCer_Mng,M_GrDi_GrCer_GradCer_Pro,M_GrDi_GrCer_GradCer_TTW,M_GrDi_GrCer_GradCer_CPS,M_GrDi_GrCer_GradCer_CA,M_GrDi_GrCer_GradCer_Sal,M_GrDi_GrCer_GradCer_MOD,M_GrDi_GrCer_GradCer_Lab,M_GrDi_GrCer_GradCer_IDNS,M_GrDi_GrCer_GradCer_Tot,M_BaDe_BaDe_Mng,M_BaDe_BaDe_Pro,M_BaDe_BaDe_TTW,M_BaDe_BaDe_CPS,M_BaDe_BaDe_CA,M_BaDe_BaDe_Sal,M_BaDe_BaDe_MOD,M_BaDe_BaDe_Lab,M_BaDe_BaDe_IDNS,M_BaDe_BaDe_Tot,M_AdvDi_Di_AdvDi_Di_NFD_Mng,M_AdvDi_Di_AdvDi_Di_NFD_Pro,M_AdvDi_Di_AdvDi_Di_NFD_TTW,M_AdvDi_Di_AdvDi_Di_NFD_CPS,M_AdvDi_Di_AdvDi_Di_NFD_CA,M_AdvDi_Di_AdvDi_Di_NFD_Sal,M_AdvDi_Di_AdvDi_Di_NFD_MOD,M_AdvDi_Di_AdvDi_Di_NFD_Lab,M_AdvDi_Di_AdvDi_Di_NFD_IDNS,M_AdvDi_Di_AdvDi_Di_NFD_Tot,M_AdvDi_Di_AdvDi_AsDe_Mng,M_AdvDi_Di_AdvDi_AsDe_Pro,M_AdvDi_Di_AdvDi_AsDe_TTW,M_AdvDi_Di_AdvDi_AsDe_CPS,M_AdvDi_Di_AdvDi_AsDe_CA,M_AdvDi_Di_AdvDi_AsDe_Sal,M_AdvDi_Di_AdvDi_AsDe_MOD,M_AdvDi_Di_AdvDi_AsDe_Lab,M_AdvDi_Di_AdvDi_AsDe_IDNS,M_AdvDi_Di_AdvDi_AsDe_Tot,M_AdvDi_Di_Dip_Mng,M_AdvDi_Di_Dip_Pro,M_AdvDi_Di_Dip_TTW,M_AdvDi_Di_Dip_CPS,M_AdvDi_Di_Dip_CA,M_AdvDi_Di_Dip_Sal,M_AdvDi_Di_Dip_MOD,M_AdvDi_Di_Dip_Lab,M_AdvDi_Di_Dip_IDNS,M_AdvDi_Di_Dip_Tot,M_Cert_CertIII_IV_Mng,M_Cert_CertIII_IV_Pro,M_Cert_CertIII_IV_TTW,M_Cert_CertIII_IV_CPS,M_Cert_CertIII_IV_CA,M_Cert_CertIII_IV_Sal,M_Cert_CertIII_IV_MOD,M_Cert_CertIII_IV_Lab,M_Cert_CertIII_IV_IDNS,M_Cert_CertIII_IV_Tot,M_Cert_CertI_II_Mng,M_Cert_CertI_II_Pro,M_Cert_CertI_II_TTW,M_Cert_CertI_II_CPS,M_Cert_CertI_II_CA,M_Cert_CertI_II_Sal,M_Cert_CertI_II_MOD,M_Cert_CertI_II_Lab,M_Cert_CertI_II_IDNS,M_Cert_CertI_II_Tot,M_Cert_Cert_nfd_Mng,M_Cert_Cert_nfd_Pro,M_Cert_Cert_nfd_TTW,M_Cert_Cert_nfd_CPS,M_Cert_Cert_nfd_CA,M_Cert_Cert_nfd_Sal,M_Cert_Cert_nfd_MOD,M_Cert_Cert_nfd_Lab,M_Cert_Cert_nfd_IDNS,M_Cert_Cert_nfd_Tot,M_LE_ID_Mng,M_LE_ID_Pro,M_LE_ID_TTW,M_LE_ID_CPS,M_LE_ID_CA,M_LE_ID_Sal,M_LE_ID_MOD,M_LE_ID_Lab,M_LE_ID_IDNS,M_LE_ID_Tot,M_LE_NS_Mng,M_LE_NS_Pro,M_LE_NS_TTW,M_LE_NS_CPS,M_LE_NS_CA,M_LE_NS_Sal,M_LE_NS_MOD,M_LE_NS_Lab,M_LE_NS_IDNS,M_LE_NS_Tot,M_Tot_Mng,M_Tot_Pro,M_Tot_TTW,M_Tot_CPS,M_Tot_CA,M_Tot_Sal,M_Tot_MOD,M_Tot_Lab,M_Tot_IDNS,M_Tot_Tot,F_PoDe_PoDe_NFD_Mng,F_PoDe_PoDe_NFD_Pro,F_PoDe_PoDe_NFD_TTW,F_PoDe_PoDe_NFD_CPS,F_PoDe_PoDe_NFD_CA,F_PoDe_PoDe_NFD_Sal,F_PoDe_PoDe_NFD_MOD,F_PoDe_PoDe_NFD_Lab,F_PoDe_PoDe_NFD_IDNS,F_PoDe_PoDe_NFD_Tot,F_PoDe_DoctDe_Mng,F_PoDe_DoctDe_Pro,F_PoDe_DoctDe_TTW,F_PoDe_DoctDe_CPS,F_PoDe_DoctDe_CA,F_PoDe_DoctDe_Sal,F_PoDe_DoctDe_MOD,F_PoDe_DoctDe_Lab,F_PoDe_DoctDe_IDNS,F_PoDe_DoctDe_Tot,F_PoDe_MasDe_Mng,F_PoDe_MasDe_Pro,F_PoDe_MasDe_TTW,F_PoDe_MasDe_CPS,F_PoDe_MasDe_CA,F_PoDe_MasDe_Sal,F_PoDe_MasDe_MOD,F_PoDe_MasDe_Lab,F_PoDe_MasDe_IDNS,F_PoDe_MasDe_Tot,F_GrDiGrCer_GrDiGrCerNFD_Mng,F_GrDiGrCer_GrDiGrCerNFD_Pro,F_GrDiGrCer_GrDiGrCerNFD_TTW,F_GrDiGrCer_GrDiGrCerNFD_CPS,F_GrDiGrCer_GrDiGrCerNFD_CA,F_GrDiGrCer_GrDiGrCerNFD_Sal,F_GrDiGrCer_GrDiGrCerNFD_MOD,F_GrDiGrCer_GrDiGrCerNFD_Lab,F_GrDiGrCer_GrDiGrCerNFD_IDNS,F_GrDiGrCer_GrDiGrCerNFD_Tot
LGA21270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,3,38,47,5,0,0,0,0,3,0,95,0,0,0,0,0,0,0,0,0,0,20,8,6,0,3,3,3,0,0,45,17,0,4,4,3,0,0,3,0,32,169,12,141,3,3,17,46,61,7,471,5,0,0,0,3,0,4,0,0,15,7,4,0,0,0,3,0,0,0,13,3,0,0,0,0,0,0,0,0,3,10,0,10,8,0,3,10,5,0,51,282,81,165,20,17,27,67,82,11,747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,3
LGA21370,0,0,0,0,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,8,27,29,3,3,4,0,0,0,0,68,3,6,0,0,0,0,0,0,0,6,16,53,3,3,0,0,0,4,0,80,3,6,0,0,0,0,0,0,0,13,167,300,36,35,17,25,11,22,4,612,0,0,3,0,0,0,0,3,0,5,100,47,27,23,16,12,18,25,3,267,88,55,47,34,16,13,10,25,4,296,607,58,1259,95,61,140,346,438,48,3051,9,0,8,7,3,11,11,23,0,68,29,7,23,13,0,14,17,27,0,142,9,3,14,4,0,0,3,12,3,48,62,10,38,11,9,15,38,62,29,269,1128,589,1462,225,130,228,449,635,92,4941,0,3,0,0,0,0,0,0,0,5,4,12,0,0,0,0,0,0,0,19,24,93,0,4,8,3,0,0,0,132,3,10,0,0,0,0,0,0,0,14
LGA21450,4,4,0,0,0,0,0,0,0,10,10,72,6,3,3,0,0,0,0,93,129,256,25,8,46,20,24,17,9,538,13,14,3,0,3,0,0,0,0,31,38,125,8,14,10,8,15,4,4,230,10,9,3,3,4,0,4,0,0,39,410,965,170,122,185,122,95,113,34,2210,5,3,3,3,0,0,0,0,0,16,209,152,205,72,76,74,75,59,11,922,247,202,282,159,92,86,107,97,14,1292,1104,256,4555,234,290,358,978,900,120,8791,20,10,31,14,7,23,32,45,0,189,56,23,54,40,17,38,66,48,8,347,20,41,20,0,10,9,18,25,3,150,55,30,137,17,15,31,86,82,49,518,2330,2176,5506,698,756,768,1501,1394,250,15385,4,20,0,0,0,0,0,0,0,27,8,64,0,4,3,0,0,0,0,74,57,342,18,40,67,30,0,15,4,564,3,31,3,3,3,0,0,0,3,39
LGA21610,6,30,0,0,6,0,0,0,0,42,29,306,10,6,15,3,6,5,3,385,627,1335,200,118,327,158,177,123,37,3103,36,66,3,5,20,4,11,3,0,147,137,308,36,44,48,16,22,21,8,645,43,59,11,19,17,3,9,3,3,166,1629,3827,953,508,960,586,697,548,111,9815,6,10,18,7,3,4,11,7,0,64,657,569,815,242,265,235,426,312,38,3555,867,620,1018,496,439,309,568,414,54,4793,2167,673,10506,811,867,880,2554,2255,338,21043,64,39,100,62,55,94,125,104,5,656,160,64,211,124,106,112,239,167,18,1204,86,98,103,32,55,35,117,71,23,620,142,103,328,81,86,103,259,251,197,1560,6652,8115,14332,2554,3258,2541,5213,4292,840,47794,3,44,0,0,7,0,0,0,0,59,15,178,9,9,8,5,0,0,0,218,244,1313,74,296,464,148,18,75,36,2662,10,117,3,13,23,7,0,3,3,187
LGA21670,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,7,14,0,0,0,0,0,0,4,25,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,20,0,3,0,0,0,0,0,0,0,7,24,60,11,11,8,0,3,12,4,122,0,0,0,0,0,0,0,0,0,0,11,14,7,8,0,3,4,4,0,51,11,10,16,22,4,6,0,6,0,75,130,17,383,39,27,34,92,121,16,865,6,0,3,0,0,8,8,5,0,33,8,6,4,9,3,0,5,9,0,41,4,0,4,0,0,0,3,0,0,16,19,3,10,3,0,10,4,22,5,76,219,144,444,98,48,65,120,171,26,1339,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,23,0,0,3,0,0,0,0,28,0,3,0,0,0,0,0,0,0,3
LGA21750,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,11,22,29,0,8,4,0,0,3,0,63,0,0,0,0,0,0,0,0,0,0,7,24,0,0,0,0,0,5,3,45,0,4,0,0,0,0,0,0,0,11,85,184,29,25,18,16,7,35,3,397,0,0,0,0,0,0,0,0,0,0,69,40,23,23,14,13,4,14,0,205,51,23,20,14,7,11,18,26,0,167,312,38,691,65,36,61,215,273,31,1718,6,0,9,0,3,5,8,20,0,58,13,7,17,14,6,6,18,26,0,107,6,3,8,0,0,0,3,3,3,31,40,6,35,6,4,6,28,49,16,179,612,379,832,158,92,114,297,457,52,2997,0,4,0,0,0,0,0,0,0,3,3,12,0,0,0,0,0,0,0,11,17,52,0,5,7,0,0,0,0,94,0,11,0,0,3,0,0,0,0,15
LGA21830,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,12,23,0,0,3,0,0,0,0,40,0,7,0,0,0,0,0,0,0,7,7,18,3,0,0,0,3,3,0,36,0,0,0,0,0,0,0,0,0,0,80,107,19,13,12,5,3,18,4,265,0,0,0,0,0,0,0,0,0,3,77,18,12,4,3,7,3,8,0,133,42,14,10,12,11,4,5,11,3,111,387,23,443,26,14,42,140,167,20,1261,9,0,4,0,0,3,4,12,0,39,19,0,4,5,0,0,9,16,0,52,6,3,0,0,0,0,3,4,0,19,44,3,17,0,5,4,19,30,6,130,688,215,518,67,43,73,194,275,39,2106,0,0,0,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,0,7,5,33,3,0,7,0,0,0,0,48,0,4,0,0,0,0,0,0,0,5
LGA21890,8,29,4,0,0,0,0,0,0,46,83,629,4,10,20,0,0,7,3,760,572,1546,126,118,260,165,94,168,37,3086,25,45,9,4,8,0,0,3,3,110,141,617,38,53,73,18,17,16,5,979,39,81,5,8,17,0,0,0,0,158,1625,4502,672,557,833,494,328,478,122,9612,7,4,8,8,3,3,0,10,0,42,262,386,336,134,132,131,98,112,36,1630,373,384,488,239,173,153,116,192,26,2144,591,266,2793,364,270,305,421,571,82,5662,20,22,31,25,26,24,16,48,9,224,58,54,61,55,46,53,36,51,6,428,39,76,50,18,18,12,20,35,8,275,66,67,120,32,26,56,65,83,84,610,3918,8717,4745,1630,1907,1429,1220,1768,421,25764,11,70,0,7,3,3,0,0,0,96,74,625,6,16,29,8,0,0,5,769,553,2206,72,262,361,114,3,64,36,3673,38,114,0,12,20,9,0,0,5,199
LGA22110,0,4,0,0,0,0,0,0,0,4,14,21,0,0,0,0,0,0,0,38,36,59,0,3,5,4,0,6,0,120,4,10,0,0,0,0,0,0,0,17,21,47,3,11,4,0,3,0,0,96,6,10,0,4,0,0,0,0,0,20,125,359,34,60,32,19,18,24,6,674,0,0,0,0,0,0,0,3,0,7,67,71,22,37,8,10,4,13,4,247,93,70,69,66,32,26,18,31,4,407,528,98,1384,138,92,158,330,402,50,3183,13,13,18,6,4,13,12,25,0,103,33,15,20,13,12,16,27,37,5,181,3,9,11,3,0,0,9,13,0,46,54,17,40,15,8,22,37,67,29,287,1001,792,1605,359,213,270,454,617,104,5422,0,5,0,0,0,0,0,0,0,8,6,16,0,3,0,0,0,0,0,27,24,105,0,9,11,0,0,8,0,166,0,8,0,0,0,0,0,0,0,16
LGA22170,5,12,3,3,0,0,0,0,0,26,16,99,3,0,0,0,0,0,0,115,188,351,32,29,57,27,25,25,11,743,13,28,3,3,7,4,0,0,0,50,69,198,11,25,22,9,8,8,3,359,27,43,5,7,5,6,0,4,0,100,649,1653,296,207,253,199,123,153,41,3580,0,0,6,3,0,4,3,0,0,24,287,296,274,141,109,109,97,98,27,1443,383,323,375,255,172,148,111,133,39,1938,1153,397,5959,455,383,501,1057,1126,171,11203,25,13,53,28,26,31,57,51,3,289,80,44,84,72,53,66,75,74,16,555,37,35,37,17,7,14,33,18,4,213,70,58,158,52,28,46,105,115,72,707,3009,3543,7298,1299,1127,1165,1704,1798,397,21338,3,27,0,5,3,0,0,0,0,43,9,78,3,0,4,0,0,0,3,96,116,605,18,54,74,25,0,9,8,903,5,35,0,5,6,5,0,0,0,58
LGA22250,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,7,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,5,6,0,7,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,41,67,11,7,4,4,0,9,0,138,0,0,0,0,0,0,0,0,0,0,26,11,11,3,0,3,3,0,0,62,30,6,8,8,11,3,0,7,0,78,255,22,283,13,14,30,86,121,12,837,8,0,3,0,0,0,3,7,0,24,6,3,3,3,0,5,5,6,0,29,0,3,0,0,0,0,0,0,0,7,32,3,11,3,3,5,15,16,9,102,406,135,340,41,37,53,107,173,21,1313,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,5,17,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0
LGA22310,18,39,3,3,3,0,0,0,0,65,109,643,8,8,12,6,3,5,3,791,977,1982,152,90,327,186,63,98,59,3937,46,84,6,5,22,6,0,3,0,172,216,542,30,38,63,21,12,6,12,945,46,60,8,9,11,7,3,0,0,145,2796,5753,620,450,856,720,192,311,184,11878,6,8,3,3,4,0,0,3,0,25,398,444,289,112,139,151,60,92,17,1710,422,363,365,191,158,157,67,108,30,1859,670,297,2215,276,228,280,246,372,71,4653,22,22,26,20,20,11,11,24,4,149,78,70,62,57,40,67,33,28,4,443,71,126,46,12,23,31,9,20,12,359,79,126,77,23,23,43,29,37,52,493,5955,10548,3905,1311,1943,1689,725,1113,459,27632,17,59,3,0,6,3,0,0,0,92,74,532,9,6,20,3,0,0,5,648,569,2151,51,191,489,150,9,44,57,3703,41,130,4,11,26,8,0,0,0,221
LGA22410,0,5,0,0,0,0,0,0,0,5,0,12,0,0,0,0,0,0,0,13,16,14,3,0,0,0,0,3,0,40,0,0,0,0,0,0,0,0,0,8,11,23,0,3,0,0,0,3,0,33,3,0,3,0,0,0,0,0,0,8,61,160,18,15,12,4,9,10,3,286,0,0,0,0,0,0,0,3,0,3,48,28,4,15,4,4,16,11,0,140,38,10,16,17,15,4,17,12,3,125,241,53,712,40,30,27,281,180,32,1595,13,5,4,4,3,8,7,14,0,56,16,7,7,3,9,3,21,20,0,84,11,3,4,0,0,0,3,3,0,28,31,6,16,3,3,7,44,32,8,157,487,330,793,104,80,49,395,286,50,2577,0,4,0,0,0,0,0,0,0,8,3,5,0,0,0,0,0,0,0,8,11,35,0,4,3,3,0,0,0,56,0,3,0,0,0,0,0,0,0,3
LGA22490,0,0,0,0,0,0,0,0,0,3,7,20,0,0,0,0,0,0,0,26,17,44,3,4,3,0,0,0,0,76,3,0,0,0,0,0,0,0,0,8,26,40,6,4,3,0,3,0,0,83,3,14,0,0,0,0,0,0,0,23,111,243,26,22,20,19,13,9,3,465,0,0,4,0,0,0,0,0,0,4,52,54,40,17,14,7,7,15,3,218,69,45,63,32,19,13,14,20,0,269,317,54,1071,84,54,63,250,235,42,2164,8,3,4,0,3,7,17,14,0,52,13,7,13,0,3,0,19,16,3,87,3,0,3,0,0,0,3,3,0,20,38,5,37,8,3,12,17,31,22,173,663,536,1267,186,127,120,346,339,77,3666,0,5,0,0,0,0,0,0,0,9,3,9,0,0,4,0,0,0,0,25,17,88,0,8,10,0,0,0,0,131,0,7,0,0,4,0,0,0,0,12
LGA22620,3,14,0,0,0,0,0,0,0,15,14,126,0,6,5,0,0,0,6,158,145,347,14,15,26,4,4,12,8,570,6,24,0,4,3,0,0,0,0,34,78,282,16,44,28,8,5,4,3,463,17,36,0,7,9,0,0,3,4,77,521,1791,153,165,181,111,53,118,24,3120,0,0,3,3,6,0,0,0,0,19,168,238,133,105,53,33,34,50,8,823,245,233,243,194,96,73,50,77,16,1239,1029,296,3983,506,331,373,841,918,97,8378,21,17,41,24,16,18,40,74,3,257,54,24,52,42,19,39,58,76,4,368,16,37,26,12,8,8,16,18,7,145,72,37,97,47,20,50,81,93,40,536,2401,3503,4760,1159,798,732,1180,1447,223,16203,3,31,0,3,0,0,0,0,0,35,9,108,0,0,5,0,0,0,3,131,104,571,9,44,54,17,4,5,3,807,6,47,0,0,6,0,0,0,0,68
LGA22670,3,12,3,0,0,0,0,0,0,13,19,144,11,5,10,3,4,8,3,197,238,670,138,82,172,128,132,131,24,1717,21,30,9,4,9,4,6,3,3,84,30,130,14,13,19,6,12,4,6,243,9,33,3,0,5,3,3,0,0,60,665,1926,639,311,614,359,499,562,82,5661,6,5,7,10,3,3,9,8,0,50,173,185,423,124,154,95,273,196,40,1661,239,202,543,241,196,159,393,312,43,2332,413,138,2851,331,257,251,960,820,107,6134,15,7,46,21,9,19,61,89,3,283,55,20,94,63,33,35,120,89,7,528,36,54,74,23,29,30,66,57,15,382,45,47,168,52,32,37,159,174,117,835,1967,3601,5017,1280,1551,1148,2694,2456,453,20172,0,12,0,0,3,3,0,0,0,25,10,91,3,3,12,3,0,0,0,125,100,573,49,159,253,94,8,83,18,1329,8,39,0,5,13,7,0,4,0,75
LGA22750,3,30,3,3,5,0,0,3,0,42,52,561,7,5,8,4,0,3,0,641,409,866,81,61,85,55,48,47,23,1679,23,48,3,4,8,0,0,0,0,93,162,503,36,64,45,16,18,20,4,856,45,98,10,12,17,0,3,3,3,187,1477,4062,515,473,555,385,208,336,101,8107,4,7,9,5,7,4,3,0,0,39,425,552,453,244,141,131,112,132,28,2212,554,556,638,414,226,193,176,204,45,3008,1691,573,7977,1016,546,687,1502,1770,266,16012,39,32,82,46,26,65,65,121,5,475,122,76,117,99,44,81,129,115,13,789,39,77,61,23,14,16,34,38,4,305,102,95,216,88,42,74,167,200,110,1098,5137,8124,10194,2571,1767,1704,2458,3001,601,35553,10,88,0,4,8,0,0,0,0,114,28,340,6,8,24,4,0,0,5,408,263,1187,31,133,136,40,3,17,20,1831,20,107,4,10,15,5,0,0,3,160
LGA22830,0,10,0,0,0,0,0,0,0,10,7,55,0,0,0,0,0,0,0,65,98,176,14,4,13,7,3,4,0,326,0,7,0,0,0,0,0,0,0,13,26,143,3,14,13,4,0,0,4,204,9,14,0,3,3,0,0,3,0,36,288,728,58,55,67,37,26,56,7,1321,0,0,0,3,0,0,5,0,0,10,123,108,49,40,24,14,24,31,5,422,180,119,122,77,48,46,40,59,8,699,670,138,1982,174,133,198,420,604,54,4378,20,5,20,14,4,15,20,40,0,136,35,17,32,22,6,9,32,38,7,198,16,18,7,9,3,0,4,19,0,76,60,14,69,11,14,24,69,77,48,381,1525,1563,2352,424,330,354,644,932,139,8275,3,9,0,0,0,0,0,0,0,17,3,36,0,4,3,0,0,0,0,50,52,214,4,24,28,3,0,12,0,336,4,10,0,3,3,0,0,0,0,19
LGA22910,0,0,0,0,0,0,0,0,0,3,5,32,0,0,0,0,0,0,3,41,29,57,9,6,5,3,0,3,0,116,3,0,0,0,0,0,0,0,0,3,16,39,4,8,3,4,0,3,0,75,5,3,0,3,0,0,0,0,0,7,91,193,39,25,39,18,12,29,4,450,0,0,0,0,0,0,0,0,0,0,37,39,30,10,11,5,4,10,3,152,36,27,36,32,9,8,0,9,3,170,195,24,458,46,29,31,88,116,18,1008,9,4,11,3,4,4,3,6,0,34,15,8,6,16,5,3,9,13,0,72,0,0,3,0,0,0,4,3,0,16,12,4,21,3,0,3,15,19,7,90,456,430,608,154,110,74,134,220,50,2231,0,4,0,0,0,0,0,0,0,7,9,22,0,0,3,0,0,0,0,36,18,100,0,9,8,7,0,0,3,147,3,11,0,0,0,0,0,0,0,10
LGA22980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,18,38,9,5,0,0,0,3,0,75,0,0,0,0,0,0,0,0,0,0,16,3,3,3,0,0,0,3,0,28,11,4,3,0,3,3,6,9,0,39,112,15,137,9,8,4,52,50,0,400,4,0,3,0,4,3,0,3,0,15,9,3,0,3,0,0,4,6,0,29,4,0,0,0,0,0,0,0,0,4,15,0,3,0,0,0,6,12,0,34,196,76,159,25,21,18,74,87,7,653,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,4,13,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0
LGA23110,6,19,0,0,0,0,0,0,0,29,36,197,4,0,3,0,0,0,5,257,409,680,58,50,110,48,46,43,27,1452,22,28,3,3,9,6,5,3,3,74,86,218,21,21,35,7,5,7,8,415,20,38,5,0,4,3,3,4,0,81,1066,2176,323,214,432,228,151,201,64,4861,7,5,3,3,0,4,3,0,0,21,193,251,209,94,85,49,52,44,16,992,263,234,253,119,141,93,88,86,19,1301,555,229,2391,228,215,196,494,461,89,4852,16,11,21,18,8,11,17,24,0,116,56,33,63,41,27,42,55,33,6,359,36,41,24,16,14,16,27,21,5,189,41,48,71,38,16,23,63,60,45,418,2805,4202,3449,846,1094,726,1017,990,288,15413,4,30,0,4,0,0,0,0,0,43,33,187,5,3,10,3,0,0,3,245,317,841,20,79,172,54,7,16,11,1518,16,71,0,3,8,6,0,0,0,109
LGA23190,0,0,0,0,0,0,0,0,0,0,3,33,0,0,0,0,0,0,0,37,22,31,0,4,3,0,3,0,3,64,0,0,0,0,0,0,0,0,0,5,9,27,3,0,0,0,0,0,0,44,8,10,3,3,0,0,0,0,0,20,85,214,11,25,15,4,9,8,5,374,0,0,0,0,0,0,0,0,0,0,62,35,13,27,12,11,3,12,3,176,65,38,25,30,5,11,12,8,3,201,307,67,723,65,52,95,168,141,23,1630,13,7,4,6,0,5,0,13,3,53,18,8,9,9,0,10,6,13,0,71,13,4,0,0,0,6,3,3,0,27,28,6,20,3,0,12,13,28,7,121,624,475,818,176,99,154,215,225,50,2833,0,7,0,0,0,0,0,0,0,7,0,21,0,0,0,0,0,0,0,25,9,66,0,3,4,3,0,0,0,89,3,6,0,3,0,0,0,0,0,7
LGA23270,0,16,6,3,8,0,3,0,0,28,22,140,3,4,7,3,0,4,3,187,300,692,86,92,159,99,165,85,25,1694,18,28,0,4,3,3,10,0,0,62,56,204,23,25,34,17,20,13,5,389,24,27,3,10,7,4,3,0,0,79,898,2063,469,387,584,310,511,382,91,5698,3,4,11,3,6,5,6,3,3,45,305,335,392,164,180,116,254,165,43,1952,440,322,534,274,263,158,353,208,43,2594,1119,336,5821,581,536,466,1547,1247,197,11850,38,19,68,45,30,28,93,75,7,397,100,47,104,104,79,56,167,89,8,747,49,57,65,33,33,21,78,49,9,396,84,68,208,64,46,53,200,139,91,956,3445,4362,7801,1777,1967,1344,3403,2460,523,27083,3,45,0,3,5,0,0,0,0,52,10,103,4,0,9,0,0,0,5,126,156,695,35,154,203,86,6,52,17,1397,6,44,3,10,5,3,0,0,0,75
LGA23350,0,3,0,0,0,0,0,0,0,3,3,20,0,0,0,0,0,0,0,23,30,44,3,3,3,0,0,0,0,86,0,0,0,0,0,0,0,0,0,4,19,46,4,8,0,0,0,0,0,89,4,9,3,0,0,0,0,0,0,17,101,198,17,17,17,17,3,14,6,393,0,0,0,0,0,0,0,0,0,4,51,40,22,16,10,5,4,11,3,164,51,26,27,33,16,6,7,9,0,187,216,38,591,65,28,57,146,182,23,1349,3,0,9,0,3,3,14,4,0,39,6,5,8,6,0,6,3,10,0,55,0,3,3,0,0,0,4,3,0,16,26,6,21,4,5,10,17,19,14,126,529,444,703,151,87,102,203,271,51,2545,0,3,0,0,0,0,0,0,0,5,5,25,0,0,0,0,0,0,0,32,42,89,0,8,0,3,0,0,0,145,0,10,0,0,0,0,0,0,0,14
